genus_species,individual,Species.code,number,Site,Rainfall,Soil.nutrient,Group,Diamter_of_sapwood_for_mechanical_test (mm),Diameter_of_whole_stem_for_mechanical_test (mm),Estimated_bark_thickness (mm),Drymatter content (sapwood),Drymatter content (whole stem),"Fresh_density (Sapwood, g/cm3)","Dry_density (Sapwood, g/cm3)","Fresh_density (Whole stem, g/cm3)","Dry_wood_density (whole stem, g/cm3)","Youngs_modulus (sapwood, Mpa)","Bending_strength (sapwood, Mpa)","Youngs_modulus (whole stem, Mpa)","Bending_strength (whole stem, Mpa)","Youngs_modulus (bark, Mpa)"
Boronia ledifolia,BorLed_2_at_HR-LN,BorLed,2,"Murrua, Kuringai",high,low,HR-LN,3.59,4.08,0.24325,0.654906284,0.633606557,1.007777778,0.66,1.159,0.73435,16898.1,124.93783,9716.99,102.89636,-1134.43132
Boronia ledifolia,BorLed_3_at_HR-LN,BorLed,3,"Murrua, Kuringai",high,low,HR-LN,3.99,4.54,0.404595,0.629759478,0.565884354,1.022083333,0.643666667,1.130769231,0.639884615,20847.35,143.7948,7738.34,76.79459,-3251.230413
Boronia ledifolia,BorLed_4_at_HR-LN,BorLed,4,"Murrua, Kuringai",high,low,HR-LN,4.84,5.3,0.671165,0.667398119,0.613719907,1.0965625,0.73184375,1.103714286,0.677371429,16291.75,139.35187,8463.5,79.99199,4931.238511
Boronia ledifolia,BorLed_5_at_HR-LN,BorLed,5,"Murrua, Kuringai",high,low,HR-LN,3.73,5.34,0.685195,0.615110906,0.557114867,1.082,0.66555,1.103513514,0.614783784,14190.64,120.28391,5894.58,68.13008,2247.507016
Eriostemon australasius,EriAus_1_at_HR-LN,EriAus,1,"Murrua, Kuringai",high,low,HR-LN,3.64,5.24,0.751232,0.608701216,0.527491409,1.042,0.634266667,0.97,0.511666667,11327.35,100.03703,4454.2,52.89449,2053.958483
Eriostemon australasius,EriAus_2_at_HR-LN,EriAus,2,"Murrua, Kuringai",high,low,HR-LN,4.26,5.64,0.968652,0.675144033,0.578408807,1.056521739,0.713304348,0.99925,0.577975,14222.46,109.13953,4772.62,61.26271,2616.716698
Eriostemon australasius,EriAus_3_at_HR-LN,EriAus,3,"Murrua, Kuringai",high,low,HR-LN,4.01,5.21,0.7349255,0.640209219,0.583771668,1.0925,0.699428571,1.079354839,0.630096774,21506.56,167.73466,7135.49,72.74516,1938.492513
Eriostemon australasius,EriAus_4_at_HR-LN,EriAus,4,"Murrua, Kuringai",high,low,HR-LN,3.72,5.89,1.1045395,0.606570713,0.564050172,0.99875,0.6058125,0.9886,0.55762,11839.06,84.83737,7681.1,83.06981,6932.724246
Eriostemon australasius,EriAus_5_at_HR-LN,EriAus,5,"Murrua, Kuringai",high,low,HR-LN,4.05,5.26,0.762103,0.632933105,0.532872233,1.06,0.670909091,0.969756098,0.516756098,19298.07,147.6095,5309.87,74.09236,536.0140714
Hakea dactyloides,HakDac_1_at_HR-LN,HakDac,1,"Murrua, Kuringai",high,low,HR-LN,6.59,5.4,0.804538,0.561455866,0.561935358,1.130892857,0.634946429,1.167272727,0.655931818,7516.04,93.18794,6422.01,85.37753,6071.030105
Hakea dactyloides,HakDac_2_at_HR-LN,HakDac,2,"Murrua, Kuringai",high,low,HR-LN,6.21,6.4,1.398308,0.582893226,0.575768134,1.187727273,0.692318182,1.1275,0.649178571,6281.8,72.91924,7020.72,85.95081,7103.267852
