species,surface.area(mm2),dry.mass(mg),specific.leaf.area(mm2.mg-1)
Allocasuarina acutivalvis,193.605,116.8,1.6575770548
Allocasuarina acutivalvis,152.813,91.7,1.6664449291
Allocasuarina acutivalvis,165.569,98.9,1.6741051567
Allocasuarina acutivalvis,149.106,88.6,1.6829119639
Allocasuarina acutivalvis,223.434,127.8,1.7483098592
Allocasuarina acutivalvis,153.688,86.9,1.768561565
Allocasuarina acutivalvis,227.176,127.7,1.778981989
Allocasuarina acutivalvis,164.279,91.8,1.7895315904
Allocasuarina acutivalvis,219.017,122.2,1.7922831424
Allocasuarina acutivalvis,228.567,122.9,1.8597803092
Allocasuarina acutivalvis,276.838,142.2,1.9468213783
Allocasuarina acutivalvis,172.03,87.1,1.9750861079
Allocasuarina acutivalvis,227.277,112.2,2.0256417112
Allocasuarina acutivalvis,185.639,90.2,2.0580820399
Allocasuarina acutivalvis,93.787,44,2.1315227273
Allocasuarina acutivalvis,111.978,50.3,2.2262027833
Allocasuarina acutivalvis,134.615,59.4,2.2662457912
Allocasuarina acutivalvis,170.287,73.8,2.3074119241
Allocasuarina fraseriana,136.981,70.4,1.9457528409
Allocasuarina fraseriana,177.235,89.6,1.9780691964
Allocasuarina fraseriana,212.757,104.6,2.0340057361
Allocasuarina fraseriana,147.694,67.5,2.1880592593
Allocasuarina fraseriana,217.626,98,2.2206734694
Allocasuarina fraseriana,298.844,126.4,2.3642721519
Allocasuarina fraseriana,192.831,81.5,2.3660245399
Allocasuarina fraseriana,283.585,119.1,2.3810663308
Allocasuarina fraseriana,134.092,54.3,2.46946593
Allocasuarina fraseriana,321.279,129.9,2.4732794457
Allocasuarina fraseriana,215.138,84.7,2.54
Allocasuarina fraseriana,154.907,60.8,2.5478125
Allocasuarina fraseriana,205.228,79.6,2.578241206
Allocasuarina fraseriana,164.766,63.2,2.607056962
Allocasuarina fraseriana,243.259,93.2,2.6100751073
Allocasuarina fraseriana,281.628,106.8,2.6369662921
Allocasuarina fraseriana,283.463,105.6,2.6843087121
Allocasuarina fraseriana,240.75,89.6,2.6869419643
Allocasuarina fraseriana,279.9,103.7,2.6991321119
Allocasuarina fraseriana,375.781,136.7,2.7489465984
Allocasuarina fraseriana,281.542,100.9,2.7903072349
Allocasuarina fraseriana,266.047,92.2,2.8855422993
Allocasuarina fraseriana,166.516,57.7,2.8858925477
Allocasuarina fraseriana,412.02,138.3,2.979175705
Allocasuarina fraseriana,176.776,58.4,3.0269863014
Allocasuarina huegeliana,218.185,89.6,2.4351004464
Allocasuarina huegeliana,322.706,132,2.4447424242
Allocasuarina huegeliana,316.26,129,2.451627907
Allocasuarina huegeliana,290.325,117.5,2.4708510638
Allocasuarina huegeliana,130.141,51.6,2.5221124031
Allocasuarina huegeliana,186.535,72.1,2.5871705964
Allocasuarina huegeliana,111.835,42.6,2.6252347418
Allocasuarina huegeliana,116.489,43.7,2.6656521739
Allocasuarina huegeliana,194.767,72,2.7050972222
Allocasuarina huegeliana,163.691,60.5,2.7056363636
Allocasuarina huegeliana,218.214,78,2.7976153846
Allocasuarina huegeliana,296.599,104.7,2.8328462273
Allocasuarina huegeliana,247.447,86.9,2.8474913694
Allocasuarina huegeliana,262.347,91.9,2.8547007617
Allocasuarina huegeliana,188.019,65.4,2.8749082569
Allocasuarina huegeliana,186.937,63.7,2.9346467818
Allocasuarina huegeliana,163.225,55.4,2.946299639
Allocasuarina huegeliana,205.199,68.6,2.9912390671
Allocasuarina huegeliana,147.744,48.7,3.0337577002
Allocasuarina huegeliana,212.119,69.8,3.0389541547
Allocasuarina huegeliana,194.803,61.3,3.177862969
Allocasuarina huegeliana,79.913,23.6,3.3861440678
Allocasuarina huegeliana,153.459,45.3,3.387615894
Allocasuarina huegeliana,148.016,40.3,3.672853598
Allocasuarina huegeliana,97.638,25.8,3.7844186047
Allocasuarina muelleriana,179.673,65.5,2.7430992366
Allocasuarina muelleriana,118.97,42.3,2.8125295508
Allocasuarina muelleriana,76.629,26.2,2.9247709924
Allocasuarina muelleriana,98.491,33.5,2.9400298507
Allocasuarina muelleriana,127.28,42.4,3.0018867925
Allocasuarina muelleriana,131.718,43.7,3.0141418764
Allocasuarina muelleriana,69.451,21.4,3.2453738318
Allocasuarina muelleriana,85.205,25.7,3.3153696498
Allocasuarina muelleriana,80.816,24.1,3.3533609959
Allocasuarina muelleriana,68.82,20,3.441
Allocasuarina muelleriana,148.009,42.4,3.4907783019
Allocasuarina muelleriana,77.654,21.3,3.6457276995
Allocasuarina muelleriana,122.569,33.6,3.6478869048
Allocasuarina muelleriana,88.517,23,3.8485652174
Allocasuarina muelleriana,166.48,41.8,3.9827751196
Allocasuarina muelleriana,89.392,22.1,4.0448868778
Allocasuarina muelleriana,79.131,19.4,4.0789175258
Allocasuarina muelleriana,103.41,24.9,4.1530120482
Allocasuarina muelleriana,194.215,46.7,4.1587794433
Allocasuarina muelleriana,83.928,20,4.1964
Allocasuarina muelleriana,70.549,16.4,4.3017682927
Allocasuarina muelleriana,165.168,38.1,4.3351181102
Allocasuarina muelleriana,153.961,34.4,4.4756104651
Allocasuarina muelleriana,157.402,33.8,4.6568639053
Allocasuarina muelleriana,116.61,24.9,4.6831325301
Allocasuarina paludosa,137.239,71.9,1.9087482615
Allocasuarina paludosa,140.903,73.1,1.9275376197
Allocasuarina paludosa,79.913,38.9,2.0543187661
Allocasuarina paludosa,158.643,75.4,2.1040185676
Allocasuarina paludosa,159.295,75.2,2.1182845745
Allocasuarina paludosa,89.772,40.9,2.1949144254
Allocasuarina paludosa,165.182,73.2,2.2565846995
Allocasuarina paludosa,65.329,28.8,2.2683680556
Allocasuarina paludosa,89.743,37.3,2.4059785523
Allocasuarina paludosa,96.003,38.4,2.500078125
Allocasuarina paludosa,173.765,68.7,2.5293304221
Allocasuarina paludosa,82.501,30.4,2.7138486842
Allocasuarina paludosa,111.261,40.5,2.7471851852
Allocasuarina paludosa,71.072,25.8,2.7547286822
Allocasuarina paludosa,62.145,22.3,2.7867713004
Allocasuarina paludosa,51.311,18.2,2.8192857143
Allocasuarina paludosa,52.902,18.6,2.8441935484
Allocasuarina paludosa,64.913,22.2,2.924009009
Allocasuarina paludosa,115.556,39.2,2.9478571429
Allocasuarina paludosa,93.859,31.8,2.9515408805
Allocasuarina paludosa,69.394,22.3,3.111838565
Allocasuarina paludosa,107.741,34.4,3.132005814
Allocasuarina paludosa,66.01,19.8,3.3338383838
Allocasuarina paludosa,50.837,14.9,3.4118791946
Allocasuarina paludosa,53.232,15.3,3.4792156863
Allocasuarina verticillata,311.04,138.6,2.2441558442
Allocasuarina verticillata,222.889,99,2.2514040404
Allocasuarina verticillata,259.737,109.3,2.3763677951
Allocasuarina verticillata,225.785,84,2.6879166667
Allocasuarina verticillata,226.424,84,2.6955238095
Allocasuarina verticillata,249.655,90.2,2.7677937916
Allocasuarina verticillata,160.378,56.6,2.8335335689
Allocasuarina verticillata,129.883,45.2,2.8735176991
Allocasuarina verticillata,186.134,63.6,2.9266352201
Allocasuarina verticillata,197.957,66.3,2.9857767722
Allocasuarina verticillata,171.198,56.6,3.0246996466
Allocasuarina verticillata,80.809,26.4,3.0609469697
Allocasuarina verticillata,177.171,56.1,3.1581283422
Allocasuarina verticillata,497.955,153.7,3.239785296
Allocasuarina verticillata,264.247,79.6,3.3196859296
Allocasuarina verticillata,294.52,82.3,3.5786148238
Allocasuarina verticillata,373.092,104,3.5874230769
Allocasuarina verticillata,78.35,21.4,3.6612149533
Allocasuarina verticillata,155.287,42,3.6973095238
Allocasuarina verticillata,102.958,26.1,3.9447509579
Allocasuarina verticillata,330.005,82.8,3.9855676329
Allocasuarina verticillata,131.302,32.4,4.0525308642
Allocasuarina verticillata,254.968,61.6,4.1390909091
Allocasuarina verticillata,211.294,50.9,4.1511591356
Allocasuarina verticillata,244.529,58.8,4.1586564626
Babingtonia behrii,2.581,0.716,3.6047486034
Babingtonia behrii,4.374,1.21,3.6148760331
Babingtonia behrii,5.507,1.293,4.2590873937
Babingtonia behrii,5.55,1.287,4.3123543124
Babingtonia behrii,3.32,0.747,4.4444444444
Babingtonia behrii,3.987,0.843,4.7295373665
Babingtonia behrii,3.628,0.766,4.7362924282
Babingtonia behrii,3.341,0.705,4.7390070922
Babingtonia behrii,4.023,0.795,5.0603773585
Babingtonia behrii,6.303,1.154,5.4618717504
Babingtonia behrii,4.654,0.85,5.4752941176
Babingtonia behrii,5.521,1,5.521
Babingtonia behrii,4.897,0.866,5.6547344111
Babingtonia behrii,4.137,0.73,5.6671232877
Babingtonia behrii,2.653,0.457,5.8052516411
Babingtonia behrii,6.116,1.042,5.8694817658
Babingtonia behrii,4.718,0.8,5.8975
Babingtonia behrii,7.127,1.18,6.0398305085
Babingtonia behrii,3.879,0.63,6.1571428571
Babingtonia behrii,4.689,0.752,6.2353723404
Banksia grandis,18605.379,4580.1,4.0622211305
Banksia grandis,21305.748,5232.6,4.0717325995
Banksia grandis,10739.968,2629.4,4.0845698638
Banksia grandis,17360.889,4205.5,4.1281391036
Banksia grandis,17708.009,4269.6,4.1474632284
Banksia grandis,25410.19,6068.1,4.1875035019
Banksia grandis,15316.71,3581.1,4.2770964229
Banksia grandis,21205.213,4939.7,4.2928139361
Banksia grandis,24057.528,5586.3,4.3065227431
Banksia grandis,20724.839,4800.5,4.3172250807
Banksia grandis,22128.224,5115,4.3261434995
Banksia grandis,25082.069,5719.7,4.3852070913
Banksia grandis,10159.353,2282.1,4.4517562771
Banksia grandis,21076.285,4673.7,4.5095502493
Banksia grandis,17634.951,3763.9,4.6852868036
Banksia grandis,16434.745,3372.5,4.8731638251
Banksia grandis,14241.56,2889.9,4.9280459531
Banksia grandis,16551.671,3352.6,4.9369656386
Banksia grandis,14198.072,2832.3,5.012912474
Banksia grandis,13546.851,2594.9,5.2205676519
Banksia grandis,15870.091,2876,5.5181123088
Banksia grandis,16947.629,3058.8,5.5406136393
Banksia grandis,18290.74,3094,5.9116806723
Banksia grandis,9377.375,1551.5,6.0440702546
Banksia grandis,15012.546,2437.6,6.1587405645
Banksia littoralis,663.883,169.4,3.919025974
Banksia littoralis,505.599,125.9,4.0158776807
Banksia littoralis,831.474,202.6,4.104017769
Banksia littoralis,1035.756,236.3,4.3832247143
Banksia littoralis,666.178,151.2,4.4059391534
Banksia littoralis,578.22,129.7,4.4581341557
Banksia littoralis,965.545,215.8,4.4742585728
Banksia littoralis,402.806,88.8,4.5361036036
Banksia littoralis,578.177,125.8,4.5960015898
Banksia littoralis,1044.231,224.9,4.6430902623
Banksia littoralis,652.26,139.5,4.6756989247
Banksia littoralis,561.219,119.2,4.7082130872
Banksia littoralis,862.35,181.6,4.748623348
Banksia littoralis,812.853,169.9,4.7843025309
Banksia littoralis,786.122,158.3,4.9660265319
Banksia littoralis,425.715,85.4,4.9849531616
Banksia littoralis,427.808,85.2,5.0212206573
Banksia littoralis,439.037,87.4,5.0233066362
Banksia littoralis,870.452,171.9,5.0637114602
Banksia littoralis,783.871,153.6,5.1033268229
Banksia littoralis,600.555,117.4,5.1154599659
Banksia littoralis,567.923,110.1,5.1582470481
Banksia littoralis,800.291,150.1,5.3317188541
Banksia littoralis,385.941,72.1,5.3528571429
Banksia littoralis,843.478,147,5.7379455782
Bedfordia arborescens,2932.342,346.2,8.4700808781
Bedfordia arborescens,2512.679,284.6,8.8288088545
Bedfordia arborescens,2444.267,261.4,9.3506771232
Bedfordia arborescens,2813.76,281.7,9.9884984026
Bedfordia arborescens,2409.391,232.5,10.362972043
Bedfordia arborescens,1846.745,177.8,10.3866422947
Bedfordia arborescens,1959.692,188,10.423893617
Bedfordia arborescens,2468.424,222.4,11.099028777
Bedfordia arborescens,2046.89,183.1,11.1790824686
Bedfordia arborescens,2000.935,178.5,11.209719888
Bedfordia arborescens,1512.667,134.3,11.2633432614
Bedfordia arborescens,1854.891,161.7,11.471187384
Bedfordia arborescens,1751.681,152.6,11.4789056356
Bedfordia arborescens,1509.619,131.5,11.4799923954
Bedfordia arborescens,2293.074,199.3,11.5056397391
Bedfordia arborescens,2797.526,240.9,11.6128102947
Bedfordia arborescens,1510.86,128.7,11.7393939394
Bedfordia arborescens,2331.78,198,11.7766666667
Bedfordia arborescens,2702.527,228.3,11.8376127902
Bedfordia arborescens,1553.688,130.8,11.8783486239
Bedfordia arborescens,2288.055,190.6,12.0044858342
Bedfordia arborescens,1613.273,134.1,12.0303728561
Bedfordia arborescens,1814.486,150.4,12.0644015957
Bedfordia arborescens,2700.333,222.2,12.1527137714
Bedfordia arborescens,1709.8,127.9,13.3682564504
Callistemon rugulosus,66.885,24.7,2.7078947368
Callistemon rugulosus,75.109,27.2,2.7613602941
Callistemon rugulosus,91.636,32.5,2.8195692308
Callistemon rugulosus,99.775,35,2.8507142857
Callistemon rugulosus,108.824,38,2.8637894737
Callistemon rugulosus,144.087,50,2.88174
Callistemon rugulosus,163.124,56.5,2.8871504425
Callistemon rugulosus,71.94,24.8,2.9008064516
Callistemon rugulosus,73.646,25,2.94584
Callistemon rugulosus,155.975,52.4,2.9766221374
Callistemon rugulosus,98.298,33,2.9787272727
Callistemon rugulosus,143.714,48.2,2.9816182573
Callistemon rugulosus,88.546,29.5,3.001559322
Callistemon rugulosus,86.811,28.5,3.046
Callistemon rugulosus,112.437,36.5,3.0804657534
Callistemon rugulosus,116.804,37.4,3.1231016043
Callistemon rugulosus,86.581,27.3,3.1714652015
Callistemon rugulosus,108.422,34,3.1888823529
Callistemon rugulosus,95.731,29.9,3.2017056856
Callistemon rugulosus,94.189,29.1,3.2367353952
Callistemon rugulosus,73.46,22.6,3.2504424779
Callistemon rugulosus,74.492,22.8,3.2671929825
Callistemon rugulosus,74.205,22.6,3.2834070796
Callistemon rugulosus,109.584,32,3.4245
Callistemon rugulosus,90.088,25.7,3.5053696498
Callitris gracilis,726.509,298,2.4379496644
Callitris gracilis,639.346,260.1,2.4580776624
Callitris gracilis,394.624,149.8,2.6343391188
Callitris gracilis,626.182,236.3,2.6499449852
Callitris gracilis,415.683,153.2,2.7133355091
Callitris gracilis,385.819,142.1,2.7151231527
Callitris gracilis,448.767,163.9,2.7380536913
Callitris gracilis,603.309,214.1,2.8178841663
Callitris gracilis,1508.164,515.8,2.9239317565
Callitris gracilis,310.94,105.3,2.9528964862
Callitris gracilis,397.163,134.4,2.9550818452
Callitris gracilis,682.755,228.3,2.9906044678
Callitris gracilis,436.398,144.7,3.0158811334
Callitris gracilis,712.111,231.9,3.0707675722
Callitris gracilis,328.278,106.4,3.0853195489
Callitris gracilis,316.547,102.2,3.0973287671
Callitris gracilis,205.013,64.5,3.178496124
Callitris gracilis,640.071,196,3.2656683673
Callitris gracilis,331.662,98.6,3.3637119675
Callitris gracilis,171.829,49.5,3.4712929293
Callitris gracilis,312.18,88.4,3.5314479638
Callitris gracilis,432.117,120.9,3.5741687345
Callitris gracilis,719.31,192.6,3.7347352025
Callitris gracilis,377.043,100.3,3.7591525424
Callitris gracilis,182.025,47.8,3.8080543933
Callitris rhomboidea,1545.098,391.2,3.9496370143
Callitris rhomboidea,285.034,68.9,4.1369230769
Callitris rhomboidea,358.421,85.9,4.1725378347
Callitris rhomboidea,975.282,230.2,4.2366724587
Callitris rhomboidea,81.964,19.3,4.2468393782
Callitris rhomboidea,1331.466,299.8,4.4411807872
Callitris rhomboidea,772.764,169.1,4.5698639858
Callitris rhomboidea,451.743,98.4,4.5908841463
Callitris rhomboidea,340.381,72,4.7275138889
Callitris rhomboidea,865.67,180.5,4.7959556787
Callitris rhomboidea,133.955,27.5,4.8710909091
Callitris rhomboidea,1252.285,257,4.8727042802
Callitris rhomboidea,304.809,62.1,4.9083574879
Callitris rhomboidea,888.163,180.6,4.9178460687
Callitris rhomboidea,721.353,146.1,4.9373921971
Callitris rhomboidea,643.276,127.8,5.033458529
Callitris rhomboidea,829.832,164,5.0599512195
Callitris rhomboidea,865.103,162.5,5.3237107692
Callitris rhomboidea,626.297,115.5,5.4224848485
Callitris rhomboidea,970.105,177.7,5.4592290377
Callitris rhomboidea,453.155,82.5,5.4927878788
Callitris rhomboidea,492.32,89,5.5316853933
Callitris rhomboidea,254.918,45.3,5.6273289183
Callitris rhomboidea,891.282,153.8,5.7950715215
Callitris rhomboidea,584.967,88.1,6.6398070375
Casuarina obesa,351.803,285.7,1.2313720686
Casuarina obesa,457.235,363.4,1.2582140892
Casuarina obesa,442.565,343.1,1.2899009035
Casuarina obesa,303.017,229.4,1.3209110724
Casuarina obesa,341.679,225.5,1.5152062084
Casuarina obesa,387.934,255.5,1.518332681
Casuarina obesa,328.701,211.1,1.5570866888
Casuarina obesa,274.837,175.7,1.5642401821
Casuarina obesa,322.498,204.6,1.5762365591
Casuarina obesa,234.175,148.4,1.5779986523
Casuarina obesa,233.866,148.1,1.5791087103
Casuarina obesa,166.702,101.3,1.6456268509
Casuarina obesa,293.731,175.4,1.6746351197
Casuarina obesa,241.933,142,1.7037535211
Casuarina obesa,293.201,171.2,1.7126226636
Casuarina obesa,277.949,159.3,1.7448148148
Casuarina obesa,411.202,234.8,1.751286201
Casuarina obesa,292.448,166.7,1.7543371326
Casuarina obesa,268.506,152.6,1.7595412844
Casuarina obesa,286.676,160.9,1.7817029211
Casuarina obesa,190.787,100.5,1.8983781095
Casuarina obesa,336.007,176.3,1.9058820193
Casuarina obesa,248.981,129.5,1.9226332046
Casuarina obesa,310.18,149.2,2.0789544236
Casuarina obesa,241.639,109.2,2.2128113553
Chamaecytisus palmensis,258.626,29.8,8.6787248322
Chamaecytisus palmensis,285.668,32.6,8.7628220859
Chamaecytisus palmensis,579.876,65,8.9211692308
Chamaecytisus palmensis,356.987,39.5,9.0376455696
Chamaecytisus palmensis,323.208,35.3,9.1560339943
Chamaecytisus palmensis,548.427,59.3,9.2483473862
Chamaecytisus palmensis,861.131,91.2,9.4422258772
Chamaecytisus palmensis,635.4881,67.3,9.4426166419
Chamaecytisus palmensis,322.047,33.9,9.4999115044
Chamaecytisus palmensis,845.744,86.9,9.7323820483
Chamaecytisus palmensis,384.213,36.1,10.6430193906
Chamaecytisus palmensis,734.303,65.8,11.1596200608
Chamaecytisus palmensis,734.303,64.6,11.3669195046
Chamaecytisus palmensis,841.635,73.7,11.4197421981
Chamaecytisus palmensis,592.41,51.8,11.4364864865
Chamaecytisus palmensis,726.745,63.3,11.4809636651
Chamaecytisus palmensis,388.917,33.4,11.6442215569
Chamaecytisus palmensis,481.578,41.1,11.7172262774
Chamaecytisus palmensis,521.962,43.3,12.0545496536
Chamaecytisus palmensis,512.612,42,12.205047619
Chamaecytisus palmensis,756.151,60.4,12.5190562914
Chamaecytisus palmensis,811.52,64,12.68
Chamaecytisus palmensis,787.112,61.6,12.7777922078
Chamaecytisus palmensis,942.987,71.5,13.1886293706
Chamaecytisus palmensis,397.722,27.7,14.3581949458
Corymbia calophylla,3530.323,787.4,4.483519177
Corymbia calophylla,3629.503,744.5,4.8750879785
Corymbia calophylla,3069.287,623.9,4.9195175509
Corymbia calophylla,2533.853,498.3,5.0849949829
Corymbia calophylla,1700.285,333.7,5.0952502248
Corymbia calophylla,2217.327,431.9,5.1338897893
Corymbia calophylla,3488.7,673.6,5.1791864608
Corymbia calophylla,3256.389,628.1,5.1845072441
Corymbia calophylla,3486.979,638.8,5.4586396368
Corymbia calophylla,1576.174,288.2,5.4690284525
Corymbia calophylla,1785.088,312.2,5.7177706598
Corymbia calophylla,3097.969,533.6,5.8057889805
Corymbia calophylla,1661.135,283.8,5.8531888654
Corymbia calophylla,2380.925,406.5,5.8571340713
Corymbia calophylla,2028.72,331.8,6.1142857143
Corymbia calophylla,2957.402,471.8,6.2683382789
Corymbia calophylla,2794.844,432.1,6.4680490627
Corymbia calophylla,2586.218,397.4,6.507845999
Corymbia calophylla,1630.539,246.1,6.6255140187
Corymbia calophylla,3275.29,485.9,6.7406668039
Corymbia calophylla,1349.055,189.6,7.1152689873
Corymbia calophylla,1502.112,210.8,7.1257685009
Corymbia calophylla,2249.192,292.1,7.7000753167
Corymbia calophylla,3843.686,460.5,8.3467665581
Corymbia calophylla,2489.748,268.7,9.2659024935
Dodonaea baueri,53.576,8.82,6.0743764172
Dodonaea baueri,30.309,4.76,6.3674369748
Dodonaea baueri,33.198,5.19,6.3965317919
Dodonaea baueri,53.11,8.11,6.5487053021
Dodonaea baueri,54.293,8.17,6.6454100367
Dodonaea baueri,45.94,6.87,6.6870451237
Dodonaea baueri,30.481,4.51,6.7585365854
Dodonaea baueri,38.497,5.66,6.801590106
Dodonaea baueri,45.646,6.63,6.8847662142
Dodonaea baueri,34.281,4.881,7.0233558697
Dodonaea baueri,41.745,5.83,7.1603773585
Dodonaea baueri,41.803,5.82,7.1826460481
Dodonaea baueri,36.676,5.072,7.2310725552
Dodonaea baueri,48.199,6.66,7.2370870871
Dodonaea baueri,34.36,4.738,7.2520050654
Dodonaea baueri,27.584,3.75,7.3557333333
Dodonaea baueri,42.111,5.68,7.4139084507
Dodonaea baueri,22.88,3.08,7.4285714286
Dodonaea baueri,50.694,6.76,7.499112426
Dodonaea baueri,43.667,5.75,7.5942608696
Dodonaea baueri,32.395,4.25,7.6223529412
Dodonaea baueri,34.575,4.428,7.8082655827
Dodonaea baueri,46.55,5.96,7.8104026846
Dodonaea baueri,59.592,7.6,7.8410526316
Dodonaea baueri,27.584,3.24,8.5135802469
Dodonaea sinuolata,34.066,5.45,6.2506422018
Dodonaea sinuolata,123.329,19.275,6.3983916991
Dodonaea sinuolata,99.128,15.01,6.6041305796
Dodonaea sinuolata,61.356,9.259,6.6266335457
Dodonaea sinuolata,79.311,11.963,6.6296915489
Dodonaea sinuolata,94.046,13.809,6.810485915
Dodonaea sinuolata,51.554,7.557,6.8220193198
Dodonaea sinuolata,45.646,6.67,6.8434782609
Dodonaea sinuolata,47.862,6.875,6.9617454545
Dodonaea sinuolata,102.091,14.594,6.9954090722
Dodonaea sinuolata,111.24,15.886,7.0023920433
Dodonaea sinuolata,35.35,5.046,7.0055489497
Dodonaea sinuolata,66.963,9.538,7.0206542252
Dodonaea sinuolata,98.097,13.691,7.1650719451
Dodonaea sinuolata,112.538,15.665,7.1840408554
Dodonaea sinuolata,73.524,10.135,7.2544647262
Dodonaea sinuolata,39.351,5.409,7.2750970605
Dodonaea sinuolata,79.167,10.835,7.3065989848
Dodonaea sinuolata,82.803,11.315,7.3179849757
Dodonaea sinuolata,63.321,8.643,7.3262755988
Dodonaea sinuolata,39.164,5.178,7.5635380456
Dodonaea sinuolata,68.907,8.526,8.0819845179
Dodonaea sinuolata,71.036,8.49,8.3670200236
Dodonaea sinuolata,75.396,8.914,8.4581557101
Dodonaea sinuolata,53.706,6.317,8.5018204844
Eucalyptus acaciiformis,2124.831,550.9,3.8570176076
Eucalyptus acaciiformis,1983.44,484.8,4.0912541254
Eucalyptus acaciiformis,2450.979,543,4.5137734807
Eucalyptus acaciiformis,4437.946,977.3,4.5410273202
Eucalyptus acaciiformis,3342.261,702.3,4.7590217856
Eucalyptus acaciiformis,2329.234,486.4,4.7887212171
Eucalyptus acaciiformis,1787.103,361.3,4.946313313
Eucalyptus acaciiformis,1548.138,311.5,4.9699454254
Eucalyptus acaciiformis,2737.41,534.5,5.1214405987
Eucalyptus acaciiformis,3099.295,597.3,5.1888414532
Eucalyptus acaciiformis,5254.872,998.9,5.2606587246
Eucalyptus acaciiformis,3122.14,589.1,5.2998472246
Eucalyptus acaciiformis,3742.499,700.5,5.3426109921
Eucalyptus acaciiformis,4437.057,815.7,5.4395696947
Eucalyptus acaciiformis,3718.264,678.4,5.4809316038
Eucalyptus acaciiformis,3402.756,616.1,5.5230579451
Eucalyptus acaciiformis,2472.21,444.9,5.5567768038
Eucalyptus acaciiformis,2477.373,439.7,5.6342347055
Eucalyptus acaciiformis,4957.814,875.8,5.6608974652
Eucalyptus acaciiformis,2434.587,420.5,5.7897431629
Eucalyptus acaciiformis,4310.709,736.5,5.8529653768
Eucalyptus acaciiformis,2642.239,430.8,6.1333310121
Eucalyptus acaciiformis,3097.417,489.8,6.323840343
Eucalyptus acaciiformis,2882.759,431.6,6.6792377201
Eucalyptus acaciiformis,2560.756,369.6,6.928452381
Eucalyptus accedens,2368.069,1015.5,2.3319241753
Eucalyptus accedens,2132.51,912.9,2.335973272
Eucalyptus accedens,1892.606,806.4,2.3469816468
Eucalyptus accedens,833.41,350,2.3811714286
Eucalyptus accedens,2451.739,964.2,2.5427701722
Eucalyptus accedens,1479.942,571.2,2.5909348739
Eucalyptus accedens,1957.196,750.8,2.606814065
Eucalyptus accedens,1464.583,560,2.6153267857
Eucalyptus accedens,1757.647,668.5,2.6292400898
Eucalyptus accedens,2449.602,931.3,2.6303038763
Eucalyptus accedens,1297.013,480.5,2.6992986472
Eucalyptus accedens,2144.004,792.6,2.7050264951
Eucalyptus accedens,1825.937,655.8,2.7842894175
Eucalyptus accedens,1396.171,501.2,2.7856564246
Eucalyptus accedens,2524.388,884.8,2.8530605787
Eucalyptus accedens,1574.69,545.3,2.8877498625
Eucalyptus accedens,1808.929,626.2,2.8887400192
Eucalyptus accedens,1534.615,529.1,2.9004252504
Eucalyptus accedens,1621.304,548.1,2.9580441525
Eucalyptus accedens,1644.643,554.4,2.9665277778
Eucalyptus albens,2294.465,565.9,4.0545414384
Eucalyptus albens,2241.169,528.4,4.2414250568
Eucalyptus albens,2842.742,653.2,4.3520238824
Eucalyptus albens,3751.147,835.1,4.4918536702
Eucalyptus albens,1746.196,359.1,4.8627011974
Eucalyptus albens,3494.414,712.4,4.9051291409
Eucalyptus albens,1512.172,304.1,4.9726142716
Eucalyptus albens,1543.298,305.1,5.0583349721
Eucalyptus albens,2940.939,574.3,5.1209106739
Eucalyptus albens,1837.259,356.7,5.150712083
Eucalyptus albens,2501.651,484.6,5.1623008667
Eucalyptus albens,1230.25,237.7,5.175641565
Eucalyptus albens,2728.72,513.7,5.3118941016
Eucalyptus albens,2112.297,395.2,5.3448810729
Eucalyptus albens,2610.439,484.3,5.3901280198
Eucalyptus albens,2533.329,469.7,5.3935043645
Eucalyptus albens,2326.223,419.7,5.5425851799
Eucalyptus albens,2361.056,420.1,5.6202237562
Eucalyptus albens,2937.655,521.8,5.629848601
Eucalyptus albens,2267.426,400.5,5.6614881398
Eucalyptus albens,1487.09,262.4,5.6672637195
Eucalyptus albens,2388.719,421.3,5.6698765725
Eucalyptus albens,2338.333,399.8,5.8487568784
Eucalyptus albens,3678.784,588.4,6.252182189
Eucalyptus amygdalina,471.533,145.6,3.2385508242
Eucalyptus amygdalina,466.184,128.3,3.6335463757
Eucalyptus amygdalina,650.769,168.6,3.8598398577
Eucalyptus amygdalina,430.182,108.4,3.9684686347
Eucalyptus amygdalina,413.253,91.5,4.5164262295
Eucalyptus amygdalina,652.848,142.6,4.5781767181
Eucalyptus amygdalina,435.76,90.7,4.8044101433
Eucalyptus amygdalina,309.62,64.1,4.8302652106
Eucalyptus amygdalina,498.845,102.3,4.8762952102
Eucalyptus amygdalina,360.2,73.7,4.8873812754
Eucalyptus amygdalina,409.115,83.5,4.8995808383
Eucalyptus amygdalina,405.451,82.6,4.9086077482
Eucalyptus amygdalina,353.245,71.2,4.9613061798
Eucalyptus amygdalina,286.683,57.2,5.0119405594
Eucalyptus amygdalina,528.58,105,5.0340952381
Eucalyptus amygdalina,419.771,82.9,5.0635826297
Eucalyptus amygdalina,497.224,97.3,5.1102158273
Eucalyptus amygdalina,332.329,64.3,5.1684136858
Eucalyptus amygdalina,404.304,77.8,5.1967095116
Eucalyptus amygdalina,507.141,96.4,5.2607987552
Eucalyptus amygdalina,428.346,81.3,5.2687084871
Eucalyptus amygdalina,301.454,56.1,5.3735115865
Eucalyptus amygdalina,479.205,84.7,5.657674144
Eucalyptus amygdalina,323.373,55.5,5.8265405405
