species,fresh.volume(cm3),dry.mass(g),wood.density(g.cm-3))
Hakea rostrata,10.17,6.7427,0.6629990167
Hakea rostrata,10.11,6.8064,0.6732344214
Hakea rugosa,9.09,5.2047,0.5725742574
Hakea rugosa,12.55,7.7932,0.6209721116
Hakea rugosa,10.52,6.6375,0.6309410646
Hakea rugosa,5.13,3.2896,0.6412475634
Hakea rugosa,8.83,6.1244,0.693590034
Hakea trifurcata,9.78,6.1673,0.630603272
Hakea trifurcata,5.12,3.2955,0.6436523438
Hakea trifurcata,9.02,5.8492,0.6484700665
Hakea trifurcata,8.5,5.6465,0.6642941176
Hakea trifurcata,7.4,5.2037,0.7032027027
Kunzea ericifolia,4.5,2.9131,0.6473555556
Kunzea ericifolia,5.18,3.4802,0.6718532819
Kunzea ericifolia,6.25,4.2986,0.687776
Kunzea ericifolia,3.17,2.2192,0.7000630915
Kunzea ericifolia,6.34,4.6425,0.7322555205
Leptomeria drupacea,4.58,2.6042,0.5686026201
Leptomeria drupacea,6.07,3.5989,0.5928995058
Leptomeria drupacea,7.88,4.857,0.6163705584
Leptomeria drupacea,5.24,3.2946,0.628740458
Leptomeria drupacea,4.83,3.0553,0.6325672878
Leptospermum continentale,3.97,2.2573,0.5685894207
Leptospermum continentale,2.37,1.367,0.5767932489
Leptospermum continentale,3.18,2.0151,0.6336792453
Leptospermum continentale,2.56,1.6841,0.6578515625
Leptospermum continentale,3.83,2.5397,0.6631070496
Leptospermum coriaceum,7.22,5.4461,0.7543074792
Leptospermum coriaceum,7.03,5.6646,0.8057752489
Leptospermum coriaceum,7.47,6.1144,0.8185274431
Leptospermum coriaceum,7.06,5.9198,0.8384985836
Leptospermum coriaceum,6.58,5.5502,0.8434954407
Leucopogon parviflorus,4.13,2.8377,0.687094431
Leucopogon parviflorus,4.44,3.0596,0.6890990991
Leucopogon parviflorus,5.95,4.2328,0.711394958
Leucopogon parviflorus,3.33,2.5273,0.7589489489
Leucopogon parviflorus,8.92,6.8597,0.7690246637
Lomatia fraseri,14.72,7.4219,0.504205163
Lomatia fraseri,14.05,7.1157,0.506455516
Lomatia fraseri,16.2,9.1329,0.5637592593
Lomatia fraseri,13.81,7.8539,0.5687110789
Lomatia fraseri,12.16,7.3351,0.6032154605
Melaleuca acuminata,7.3,5.5107,0.754890411
Melaleuca acuminata,4.68,3.5407,0.7565598291
Melaleuca acuminata,7.73,6.0128,0.7778525226
Melaleuca acuminata,6.21,5.0285,0.809742351
Melaleuca acuminata,8.17,6.6569,0.8147980416
Melaleuca adnata,3.24,2.2601,0.6975617284
Melaleuca adnata,6.22,4.455,0.7162379421
Melaleuca adnata,5.13,3.6905,0.7193957115
Melaleuca adnata,6.36,4.7672,0.7495597484
Melaleuca adnata,4.34,3.3386,0.7692626728
Melaleuca armillaris,12.25,7.6063,0.620922449
Melaleuca armillaris,10.09,6.3179,0.6261546085
Melaleuca armillaris,5.84,3.6807,0.6302568493
Melaleuca armillaris,8.2,5.1832,0.632097561
Melaleuca armillaris,8.2,5.27,0.6426829268
Melaleuca brevifolia,4.23,3.0914,0.7308274232
Melaleuca brevifolia,5.72,4.341,0.7589160839
Melaleuca brevifolia,6.6,5.154,0.7809090909
Melaleuca brevifolia,7.7,6.243,0.8107792208
Melaleuca cuticularis,3.83,2.3245,0.6069190601
Melaleuca cuticularis,6.96,4.5422,0.6526149425
Melaleuca cuticularis,4.1,2.6807,0.6538292683
Melaleuca cuticularis,4.93,3.2768,0.6646653144
Melaleuca cuticularis,5.57,3.8095,0.6839317774
Melaleuca decussata,5.6,3.6149,0.6455178571
Melaleuca decussata,3.17,2.1162,0.6675709779
Melaleuca decussata,3.14,2.1855,0.6960191083
Melaleuca decussata,5.86,4.091,0.6981228669
Melaleuca decussata,3.42,2.4762,0.7240350877
Melaleuca ericifolia,11.57,6.8179,0.5892739844
Melaleuca ericifolia,5.84,3.5297,0.6044006849
Melaleuca ericifolia,7.75,4.7488,0.6127483871
Melaleuca ericifolia,6.1,3.7864,0.6207213115
Melaleuca ericifolia,8.93,5.7091,0.6393169093
Melaleuca halmaturorum,4.67,3.4801,0.7452034261
Melaleuca halmaturorum,4.25,3.3432,0.7866352941
Melaleuca halmaturorum,6.79,5.3462,0.7873637703
Melaleuca halmaturorum,5.15,4.1576,0.8073009709
Melaleuca halmaturorum,5.22,4.3157,0.8267624521
Melaleuca hamata,4.91,3.7054,0.7546639511
Melaleuca hamata,7.42,5.8446,0.7876819407
Melaleuca hamata,4.78,3.7941,0.7937447699
Melaleuca hamata,5.28,4.3948,0.8323484848
Melaleuca hamata,4.31,3.6381,0.8441067285
Melaleuca lanceolata,8.13,5.4441,0.6696309963
Melaleuca lanceolata,6.73,4.7793,0.7101485884
Melaleuca lanceolata,8.75,6.2705,0.7166285714
Melaleuca lanceolata,4.97,3.6831,0.7410663984
Melaleuca lanceolata,7.71,5.8632,0.7604669261
Melaleuca lateriflora,11.22,9.1552,0.8159714795
Melaleuca lateriflora,9.92,8.1774,0.8243346774
Melaleuca lateriflora,6.67,5.6783,0.8513193403
Melaleuca lateriflora,8.61,7.3841,0.8576190476
Melaleuca lateriflora,5.32,4.6069,0.8659586466
Melaleuca preissiana,4.34,2.6087,0.6010829493
Melaleuca spathulata,5.45,4.106,0.7533944954
Melaleuca spathulata,6.53,5.0445,0.7725114855
Melaleuca spathulata,8.49,6.6419,0.7823203769
Melaleuca spathulata,3.64,2.8934,0.7948901099
Melaleuca squarrosa,9.05,4.7156,0.5210607735
Melaleuca squarrosa,7.15,3.7868,0.5296223776
Melaleuca squarrosa,8.16,4.4456,0.5448039216
Melaleuca squarrosa,5.27,2.9178,0.5536622391
Melaleuca squarrosa,5.79,3.2277,0.5574611399
Olearia argophylla,11.37,7.9682,0.7008091469
Olearia argophylla,13.32,9.4755,0.7113738739
Olearia argophylla,12.34,8.8869,0.7201701783
Olearia argophylla,11.82,8.6208,0.7293401015
Olearia argophylla,11.23,8.3742,0.7456990205
Olearia lirata,8.69,6.1395,0.7065017261
Olearia lirata,7.65,5.5147,0.720875817
Olearia lirata,3.96,2.8836,0.7281818182
Olearia lirata,7.34,5.3494,0.7288010899
Olearia lirata,9.58,7.1081,0.7419728601
Ozothamnus ferrugineus,11.94,7.0591,0.5912144054
Ozothamnus ferrugineus,13.87,8.4329,0.6079956741
Ozothamnus ferrugineus,10.16,6.3648,0.6264566929
Ozothamnus ferrugineus,12.4,7.9523,0.6413145161
Ozothamnus ferrugineus,12.59,8.1326,0.6459571088
Ozothamnus ferrugineus,9.35,6.2963,0.6734010695
Ozothamnus ferrugineus,14.18,9.7938,0.6906770099
Ozothamnus ferrugineus,7.69,5.383,0.7
Ozothamnus ferrugineus,12.58,9.0034,0.7156915739
Ozothamnus ferrugineus,10.04,7.366,0.7336653386
Prostanthera lasianthos,8.84,2.7968,0.3163800905
Prostanthera lasianthos,11.88,3.9104,0.3291582492
Prostanthera lasianthos,9.5,3.3415,0.3517368421
Prostanthera lasianthos,9.4,3.5974,0.3827021277
Prostanthera lasianthos,12.74,4.8813,0.3831475667
Rhagodia parabolica,6.4,4.3062,0.67284375
Rhagodia parabolica,7.57,5.1572,0.6812681638
Rhagodia parabolica,11.43,7.9478,0.6953455818
Rhagodia parabolica,10.41,7.34612,0.7056791547
Rhagodia parabolica,5.35,3.9641,0.740953271
Senna artemisioides,8.6,6.2013,0.7210813953
Senna artemisioides,12.08,9.0735,0.7511175497
Senna artemisioides,8.58,6.9865,0.8142773893
Senna artemisioides,7.46,6.125,0.8210455764
Senna artemisioides,5.31,4.3983,0.8283050847
Viminaria juncea,8.86,3.3354,0.3764559819
Viminaria juncea,10.35,4.1003,0.3961642512
