taxon_name,family,native_status,source_details,name_resolution_and_type,references,reference_category,plant_growth_form_to_use,woodiness_to_use
Tetratheca angulata,Elaeocarpaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub subshrub,woody
Tetratheca aphylla,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Tetratheca aphylla subsp. aphylla,Elaeocarpaceae,native,APC_accepted,subspecies,species - WA,scraped from online flora,shrub,woody
Tetratheca aphylla subsp. megacarpa,Elaeocarpaceae,native,APC_accepted,subspecies,species - WA,scraped from online flora,shrub,woody
Tetratheca applanata,Elaeocarpaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub subshrub,woody
Tetratheca bauerifolia,Elaeocarpaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Tetratheca butcheriana,Elaeocarpaceae,native,APC_accepted,binomial,"species - Perkins 2016, Nuytsia 27: 203–209",taxon revision; taxonomic species description,subshrub,woody
Tetratheca chapmanii,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Tetratheca ciliata,Elaeocarpaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Tetratheca confertifolia,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Tetratheca decora,Elaeocarpaceae,native,APC_accepted,binomial,species - PlantNet,scraped from online flora,shrub,woody
Tetratheca deltoidea,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Tetratheca efoliata,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Tetratheca ericifolia,Elaeocarpaceae,native,APC_accepted,binomial,species - PlantNet,scraped from online flora,shrub,woody
Tetratheca erubescens,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Tetratheca exasperata,Elaeocarpaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub subshrub,woody
Tetratheca fasciculata,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Tetratheca filiformis,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Tetratheca fordiana,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Tetratheca glandulosa,Elaeocarpaceae,native,APC_accepted,binomial,species - PlantNet,scraped from online flora,shrub,woody
Tetratheca gunnii,Elaeocarpaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Tetratheca halmaturina,Elaeocarpaceae,native,APC_accepted,binomial,species - SA,scraped from online flora,shrub,woody
Tetratheca harperi,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Tetratheca hirsuta,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,climber_woody shrub,woody
Tetratheca hirsuta subsp. boonanarring,Elaeocarpaceae,native,APC_accepted,subspecies,species - WA,scraped from online flora - applied species value to infraspecific taxon,climber_woody shrub,woody
Tetratheca hirsuta subsp. hirsuta,Elaeocarpaceae,native,APC_accepted,subspecies,species - WA,scraped from online flora,climber_woody shrub,woody
Tetratheca hirsuta subsp. viminea,Elaeocarpaceae,native,APC_accepted,subspecies,species - WA,scraped from online flora - applied species value to infraspecific taxon,climber_woody shrub,woody
Tetratheca hispidissima,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Tetratheca insularis,Elaeocarpaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Tetratheca juncea,Elaeocarpaceae,native,APC_accepted,binomial,species - PlantNet,scraped from online flora,shrub,woody
Tetratheca labillardierei,Elaeocarpaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Tetratheca neglecta,Elaeocarpaceae,native,APC_accepted,binomial,species - PlantNet,scraped from online flora,shrub,woody
Tetratheca nephelioides,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Tetratheca nuda,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Tetratheca parvifolia,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Tetratheca paucifolia,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Tetratheca paynterae,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Tetratheca paynterae subsp. cremnobata,Elaeocarpaceae,native,APC_accepted,subspecies,species - WA,scraped from online flora,shrub,woody
Tetratheca paynterae subsp. paynterae,Elaeocarpaceae,native,APC_accepted,subspecies,species - WA,scraped from online flora,shrub,woody
Tetratheca phoenix,Elaeocarpaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub subshrub,woody
Tetratheca pilata,Elaeocarpaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub subshrub,woody
Tetratheca pilifera,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Tetratheca pilosa,Elaeocarpaceae,native,APC_accepted,binomial,species - PlantNet,scraped from online flora,shrub,woody
Tetratheca pilosa subsp. latifolia,Elaeocarpaceae,native,APC_accepted,subspecies,species,scraped from online flora,shrub,woody
Tetratheca pilosa subsp. pilosa,Elaeocarpaceae,native,APC_accepted,subspecies,species,scraped from online flora,shrub,woody
Tetratheca plumosa,Elaeocarpaceae,native,APC_accepted,binomial,"species - Butcher 2009, Nuytsia 19(1): 9–16",taxon revision; taxonomic species description,subshrub,woody
Tetratheca procumbens,Elaeocarpaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub subshrub,woody
Tetratheca pubescens,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Tetratheca remota,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Tetratheca retrorsa,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Tetratheca rubioides,Elaeocarpaceae,native,APC_accepted,binomial,species - PlantNet,scraped from online flora,shrub,woody
Tetratheca rupicola,Elaeocarpaceae,native,APC_accepted,binomial,species - PlantNet,scraped from online flora,shrub,woody
Tetratheca setigera,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Tetratheca shiressii,Elaeocarpaceae,native,APC_accepted,binomial,species,scraped from online flora,subshrub,woody
Tetratheca similis,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Tetratheca sp. Flinders Island (T.Rudman s.n. HO510551),Elaeocarpaceae,native,APC_accepted,phrase_name,species - nre.tas.gov.au/Documents/FlindersIslandReportFULL.pdf,website - without source references or incompletely referenced,shrub,woody
Tetratheca sp. Kent River (B.G.Hammersley 1791),Elaeocarpaceae,native,APC_accepted,phrase_name,species,scraped from online flora,herb,herbaceous
Tetratheca spartea,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Tetratheca spenceri,Elaeocarpaceae,native,APC_accepted,binomial,"species - Butcher 2012, Nuytsia 22(3): 111–120",taxon revision; taxonomic species description,subshrub,woody
Tetratheca stenocarpa,Elaeocarpaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Tetratheca subaphylla,Elaeocarpaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Tetratheca thymifolia,Elaeocarpaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Tetratheca virgata,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Tremandra diffusa,Elaeocarpaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Tremandra stelligera,Elaeocarpaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Bergia ammannioides,Elatinaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Bergia auriculata,Elatinaceae,native,APC_accepted,binomial,species - FoA,scraped from online flora,herb,herbaceous
Bergia barklyana,Elatinaceae,native,APC_accepted,binomial,species - FoA,scraped from online flora,herb,herbaceous
Bergia diacheiron,Elatinaceae,native,APC_accepted,binomial,species - FoA,scraped from online flora,herb,herbaceous
Bergia henshallii,Elatinaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Bergia occultipetala,Elatinaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Bergia pedicellaris,Elatinaceae,native,APC_accepted,binomial,species - FoA,scraped from online flora,herb,herbaceous
Bergia perennis,Elatinaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Bergia perennis subsp. exigua,Elatinaceae,native,APC_accepted,subspecies,species,scraped from online flora,herb,herbaceous
Bergia perennis subsp. obtusifolia,Elatinaceae,native,APC_accepted,subspecies,species,scraped from online flora,herb,herbaceous
Bergia perennis subsp. perennis,Elatinaceae,native,APC_accepted,subspecies,species - FoA,scraped from online flora,herb,herbaceous
Bergia pusilla,Elatinaceae,native,APC_accepted,binomial,species - FoA,scraped from online flora,herb,herbaceous
Bergia trimera,Elatinaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Elatine gratioloides,Elatinaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Elatine macrocalyx,Elatinaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Emblingia calceoliflora,Emblingiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb shrub,herbaceous woody
Ephedra distachya var. distachya,Ephedraceae,,APNI_unplaced,variety,species,scraped from online flora,shrub subshrub,woody
Equisetum arvense,Equisetaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,lycophyte,herbaceous
Equisetum hyemale,Equisetaceae,naturalised,APC_accepted,binomial,family - PlantNet,scraped from online flora - applied family value to individual species,lycophyte,herbaceous
Acrothamnus hookeri,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Acrothamnus maccraei,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Acrothamnus montanus,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Acrothamnus spathaceus,Ericaceae,native,APC_accepted,binomial,species - Lucid,scraped from online flora,shrub tree,woody
Acrotriche affinis,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Acrotriche aggregata,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Acrotriche baileyana,Ericaceae,native,APC_accepted,binomial,genus,scraped from online flora - applied genus value to individual species,shrub,woody
Acrotriche cordata,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Acrotriche depressa,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Acrotriche divaricata,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Acrotriche dura,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Acrotriche fasciculiflora,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Acrotriche halmaturina,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Acrotriche lancifolia,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Acrotriche leucocarpa,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Acrotriche orbicularis,Ericaceae,native,APC_accepted,binomial,genus,scraped from online flora - applied genus value to individual species,shrub,woody
Acrotriche parviflora,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Acrotriche patula,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Acrotriche prostrata,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Acrotriche ramiflora,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Acrotriche rigida,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Acrotriche serrulata,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Acrotriche sp. Israelite Bay (M.Hislop & F.Hort MH2630),Ericaceae,native,APC_accepted,phrase_name,genus,scraped from online flora - applied genus value to individual species,shrub,woody
Agiortia cicatricata,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Agiortia pedicellata,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Agiortia pleiosperma,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Andersonia annelsii,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia aristata,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia auriculata,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia axilliflora,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia barbata,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia bifida,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia brevifolia,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia caerulea,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia caerulea subsp. Concinna (F.Hort 2144),Ericaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora - applied species value to infraspecific taxon,shrub,woody
Andersonia caerulea subsp. Diminuta (B.G.Hammersley 2879),Ericaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora - applied species value to infraspecific taxon,shrub,woody
Andersonia caerulea subsp. Variegata (A.R.Chapman 435),Ericaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora - applied species value to infraspecific taxon,shrub,woody
Andersonia caerulea var. caerulea,Ericaceae,,APNI_unplaced,variety,species - WA,scraped from online flora,shrub,woody
Andersonia carinata,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia depressa,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia echinocephala,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia ferricola,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia geniculata,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia gracilis,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia grandiflora,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Andersonia hammersleyana,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia heterophylla,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia involucrata,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia latiflora,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia lehmanniana,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia lehmanniana subsp. lehmanniana,Ericaceae,native,APC_accepted,subspecies,species - WA,scraped from online flora,shrub,woody
Andersonia lehmanniana subsp. pubescens,Ericaceae,native,APC_accepted,subspecies,species - WA,scraped from online flora,shrub,woody
Andersonia longifolia,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia macranthera,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia micrantha,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia parvifolia,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia pinaster,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia redolens,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia setifolia,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia simplex,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Andersonia sp. Amabile (N.Gibson & M.Lyons 355),Ericaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
"Andersonia sp. Audax (F.Hort, B.Hort & J.Hort 3179)",Ericaceae,native,APC_accepted,phrase_name,genus,scraped from online flora - applied genus value to individual species,shrub,woody
Andersonia sp. Blepharifolia (F. & J.Hort 1919),Ericaceae,native,APC_accepted,phrase_name,species,scraped from online flora,herb shrub,woody
Andersonia sp. Echidna (A.R.Annels ARA 5500),Ericaceae,native,APC_accepted,phrase_name,genus,scraped from online flora - applied genus value to individual species,shrub,woody
Andersonia sp. Fallax (K.L.Lemson KLL 62),Ericaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Andersonia sp. Frankland (W.Jackson BJ8),Ericaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Andersonia sp. Jamesii (J.Liddelow 84),Ericaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Andersonia sp. Kulin (J.M.Powell 2588),Ericaceae,native,APC_accepted,phrase_name,genus,scraped from online flora - applied genus value to individual species,shrub,woody
Andersonia sp. Mitchell River (B.G.Hammersley 925),Ericaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Andersonia sp. Mt Lesueur (E.A.Griffin 5536),Ericaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Andersonia sp. Mysosma (E.A.Griffin 2213),Ericaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Andersonia sp. Nymphaea (K.L.Lemson KLL 215),Ericaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Andersonia sp. Saxatilis (F. & J.Hort 3324),Ericaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Andersonia sp. Virolens (G.J.Keighery 12000),Ericaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Andersonia sprengelioides,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Androstoma verticillata,Ericaceae,native,APC_accepted,binomial,species - Utas,scraped from online flora,shrub,woody
Arbutus unedo,Ericaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,shrub tree,woody
Archeria comberi,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Archeria eriocarpa,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Archeria hirtella,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Archeria minor,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Archeria serpyllifolia,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Astroloma acervatum,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Astroloma chloranthum,Ericaceae,native,APC_accepted,binomial,genus,scraped from online flora - applied genus value to individual species,shrub,woody
Astroloma ciliatum,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Astroloma compactum,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Astroloma drummondii,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Astroloma epacridis,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Astroloma foliosum,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Astroloma glaucescens,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Astroloma humifusum,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Astroloma inopinatum,Ericaceae,native,APC_accepted,binomial,genus,scraped from online flora - applied genus value to individual species,shrub,woody
Astroloma macrocalyx,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Astroloma microcalyx,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Astroloma microdonta,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Astroloma microphyllum,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Astroloma oblongifolium,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Astroloma pallidum,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Astroloma prostratum,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Astroloma serratifolium,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Astroloma sp. Baal Gammon (B.P.Hyland 10341),Ericaceae,native,APC_accepted,phrase_name,genus,scraped from online flora - applied genus value to individual species,shrub,woody
Astroloma sp. Dumbleyung (A.J.G.Wilson 146),Ericaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Astroloma sp. Eneabba (N.Marchant s.n. PERTH 01291777),Ericaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Astroloma sp. Grass Patch (A.J.G.Wilson 110),Ericaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Astroloma sp. Kalbarri (D. & B.Bellairs 1368),Ericaceae,native,APC_accepted,phrase_name,genus,scraped from online flora - applied genus value to individual species,shrub,woody
Astroloma sp. Nannup (R.D.Royce 3978),Ericaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Astroloma sp. Narrogin (R.D.Royce 8158),Ericaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Astroloma sp. sessile leaf (J.L.Robson 657),Ericaceae,native,APC_accepted,phrase_name,species - WA,scraped from online flora,shrub,woody
Astroloma stomarrhena,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Astroloma tectum,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Astroloma xerophyllum,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Brachyloma baxteri,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Brachyloma ciliatum,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Brachyloma daphnoides,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Brachyloma delbi,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Brachyloma depressum,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Brachyloma djerral,Ericaceae,native,APC_accepted,binomial,genus,scraped from online flora - applied genus value to individual species,shrub,woody
Brachyloma elusum,Ericaceae,native,APC_accepted,binomial,genus,scraped from online flora - applied genus value to individual species,shrub,woody
Brachyloma ericoides,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Brachyloma ericoides subsp. bicolor,Ericaceae,native,APC_accepted,subspecies,genus,scraped from online flora - applied genus value to individual species,shrub,woody
Brachyloma ericoides subsp. ericoides,Ericaceae,native,APC_accepted,subspecies,species,scraped from online flora,shrub,woody
Brachyloma geissoloma,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Brachyloma mogin,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Brachyloma nguba,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Brachyloma pirara,Ericaceae,native,APC_accepted,binomial,genus,scraped from online flora - applied genus value to individual species,shrub,woody
Brachyloma preissii,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Brachyloma saxicola,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Brachyloma scortechinii,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Brachyloma stenolobum,Ericaceae,native,APC_accepted,binomial,genus,scraped from online flora - applied genus value to individual species,shrub,woody
Calluna vulgaris,Ericaceae,naturalised,APC_accepted,binomial,species - Wikipedia,website - well referenced material,shrub,woody
Coleanthera coelophylla,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Coleanthera myrtoides,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Coleanthera virgata,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Conostephium drummondii,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Conostephium hortiorum,Ericaceae,native,APC_accepted,binomial,genus - WA,scraped from online flora - applied genus value to individual species,shrub,woody
Conostephium laeve,Ericaceae,native,APC_accepted,binomial,genus - WA,scraped from online flora - applied genus value to individual species,shrub,woody
Conostephium magnum,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Conostephium marchantiorum,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Conostephium minus,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Conostephium papillosum,Ericaceae,native,APC_accepted,binomial,genus - WA,scraped from online flora - applied genus value to individual species,shrub,woody
Conostephium pendulum,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Conostephium preissii,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Conostephium prolatum,Ericaceae,native,APC_accepted,binomial,genus - WA,scraped from online flora - applied genus value to individual species,shrub,woody
Conostephium roei,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Conostephium sp. Cascades (R.Bruhn 24/899 CAS),Ericaceae,native,APC_accepted,phrase_name,genus - WA,scraped from online flora - applied genus value to individual species,shrub,woody
Conostephium uncinatum,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Cosmelia rubra,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Croninia kingiana,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Cyathodes glauca,Ericaceae,native,APC_accepted,binomial,species - Utas,scraped from online flora,shrub,woody
Cyathodes platystoma,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Cyathodes straminea,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Daboecia cantabrica,Ericaceae,naturalised,APC_accepted,binomial,species - Wikipedia,website - well referenced material,shrub,woody
Dielsiodoxa leucantha,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Dielsiodoxa leucantha subsp. leucantha,Ericaceae,native,APC_accepted,subspecies,species - WA,scraped from online flora - applied species value to infraspecific taxon,shrub,woody
Dielsiodoxa leucantha subsp. obtusa,Ericaceae,native,APC_accepted,subspecies,species - WA,scraped from online flora - applied species value to infraspecific taxon,shrub,woody
Dielsiodoxa lycopodioides,Ericaceae,native,APC_accepted,binomial,genus - WA,scraped from online flora - applied genus value to individual species,shrub,woody
Dielsiodoxa oligarrhenoides,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Dielsiodoxa propullulans,Ericaceae,native,APC_accepted,binomial,genus - WA,scraped from online flora - applied genus value to individual species,shrub,woody
Dielsiodoxa tamariscina,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Dracophyllum fitzgeraldii,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,tree,woody
Dracophyllum macranthum,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Dracophyllum milliganii,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
