Site,Species,Family,N,Ca,K,Mg,P,S,Al,B,Co,Cr,Cu,Fe,Mn,Na,Ni,Zn,Se,cellulose,alkaloids,water content (% fresh wt),Total Phenolics_FW,Total Phenolics_DW,Condensed_Tannins_FW,Condensed_Tannins_DW,Condensed_Tannins/Total Phenolics,thickness,leafarea,SLA,Toughness,Tough_adj,Toughness_N_per_m,Tough_adj_N_per_m2,site name,latitude,longitude
15,Buckinghamia celsissima,Proteaceae,0.937,0.3765508,0.7096891,0.1331583,0.0318292,0.0922956,337,12.5,0.1,0.3,3.445,31.8,362.2,28.9,5,4.4,1.097804391,15.4,0,42.6,75.8,13.2,5.3,9.3,7,0.37,45,44.6,1.9,5.1,1185.387017,8599535.973,TF Rd rhyolite,-17.78676,145.55958
5,Calophyllum costatum,Clusiaceae,0.833,0.2186275,0.3206772,0.0809672,0.0395512,0.0834681,51.4,16.4,0.1,0.3,4.123,45.3,105.4,1366,5,6.3,1,24.4,0,47,25.4,4.8,1.4,2.7,5.7,0.35,14.8,49.3,3.5,10.1,2183.607664,18003622.37,Longlands Gap (rhyolite),-17.45501,145.47862
7,Calophyllum costatum,Clusiaceae,1.021,0.2663652,0.4269991,0.0820423,0.0350696,0.0990896,25.6,19,0.1,0.3,4.725,36.7,416.4,474.3,5,7.3,1,26.5,0,50,48.7,9.7,3.2,6.5,6.6,0.31,18.4,60.1,2.5,8,1559.71976,16100333,Arthur Baillie Rd,-17.68914,145.50649
7,Canarium australasicum,Burseraceae,1.4,0.5848482,0.7128173,0.2448778,0.0684016,0.1348497,20.7,24.7,0.1,0.3,5.143,32.5,91.1,1064,5,15.3,1,19,3,53.2,115.8,24.7,0.4,0.8,0.3,0.31,18.6,59.6,1.2,3.7,748.6654847,7446404.014,Arthur Baillie Rd,-17.68914,145.50649
2,Cardwellia sublimis,Proteaceae,1.218,0.9289536,0.6482084,0.3808389,0.0671462,0.1334427,9834.3,8,0.1,0.627,10.633,55.6,334.4,580.6,8.965,9.6,4.92,21.2,0,59.7,46.9,11.6,4.4,11,9.5,0.31,49.2,71.7,1.4,4.5,873.4430655,9056437.315,Mt Fisher: Kjellberg Rd,-17.54112,145.56136
3,Cardwellia sublimis,Proteaceae,1.201,1.0260874,0.3455412,0.2328474,0.0614138,0.1353338,10724.2,10.2,0.1,1.105,9.908,82.2,963.1,1496.9,8.529,5.9,5.438247012,21.8,0,59.8,42.1,10.5,0.8,2.1,2,0.26,71.4,79.9,1.5,5.8,935.8318558,13917499.39,Tully Falls Rd: Smiths,-17.68174,145.52989
4,Cardwellia sublimis,Proteaceae,1.176,0.806841,0.2676368,0.4884772,0.068116,0.1806195,7731.2,12.3,0.1,0.846,13.481,107.8,497.4,1649.6,18.721,6.8,6.572864322,17.1,0,57.3,64.2,15,7,16.4,10.9,0.29,50.8,59.8,1.3,4.4,811.0542751,9465885.438,Malaan SF,-17.58672,145.582
4,Cardwellia sublimis,Proteaceae,1.355,0.5247226,0.8780092,0.2927769,0.0983535,0.1493239,9934.9,9.6,0.1,0.529,8.488,87.5,342.6,2486.7,9.411,8.5,3.876123876,20.1,0,65.5,38.6,11.2,1.7,4.9,4.4,0.31,69.2,82,1.2,3.9,748.6654847,7848912.339,Malaan SF,-17.58672,145.582
8,Cardwellia sublimis,Proteaceae,1.445,0.4744573,0.8823061,0.2015179,0.0612814,0.134187,10993.2,10.3,0.1,0.3,2.074,51.6,141.6,176.5,5,7.5,4.139303483,17.7,0,60.4,38.3,9.7,1.3,3.3,3.4,0.25,74.4,85.7,1.1,4.4,686.2766943,10980427.11,Massey Creek,-17.60993,145.56264
9,Cardwellia sublimis,Proteaceae,1.354,0.4882483,0.8221582,0.1926366,0.0739936,0.1621663,6809,15.5,0.1,0.626,7.9695,58.7,225.5,995.4,5,5.4,5.677222777,22,0,60.4,34.7,8.7,0.8,2,2.3,0.3,64,72.7,1.6,5.1,998.2206462,10606094.37,Lamins Hill (Cairns track),-17.36528,145.71537
9,Cardwellia sublimis,Proteaceae,1.417,0.8512245,0.706668,0.2605803,0.08978085,0.16883215,8250.3,17,0.1,0.7825,9.172,53.7,458.2,817.5,5,7.2,4.690997877,19.9,0,59.5,40.5,10,2.1,5.2,5.2,0.29,69.8,71.7,1.6,5.5,998.2206462,11832356.8,Lamins Hill (Cairns track),-17.36528,145.71537
15,Cardwellia sublimis,Proteaceae,1.399,0.4866154,0.7229713,0.1687388,0.0554678,0.1427672,9866.7,9.6,0.1,0.3,4.379,45.8,187.9,526.6,5,6.7,3.216783217,NA,0,58.3,38.5,9.2,1,2.5,2.7,0.24,56.4,81.3,1.2,5,748.6654847,12997664.66,TF Rd rhyolite,-17.78676,145.55958
15,Cardwellia sublimis,Proteaceae,1.286,0.6531639,0.7241882,0.1086795,0.0456916,0.1253312,8249.6,10.4,0.1,0.3,3.783,62.9,375.5,508.1,5,5.9,2.831505484,18.6,0,55.4,60.1,13.5,7.5,16.8,12.4,0.25,67.4,75.1,1.2,4.7,748.6654847,11729092.59,TF Rd rhyolite,-17.78676,145.55958
16,Cardwellia sublimis,Proteaceae,1.215,0.3391185,0.7301525,0.1982704,0.0561472,0.1064079,8402.1,4.5,0.1,0.3,3.867,36.7,133.4,772.8,5,6.8,2.197802198,22,0,64.7,23.1,6.5,0.6,1.6,2.4,0.25,75.8,100.3,1.2,4.7,748.6654847,11729092.59,Sutties Gap Rd,-17.64678,145.63772
16,Cardwellia sublimis,Proteaceae,1.23,0.8392691,0.6887158,0.1632643,0.0555108,0.1106339,5035.3,10.7,0.1,0.3,3.756,42.8,291,533.8,5,5.7,3.369890329,16.9,0,58.2,45.7,10.9,5.4,12.9,11.8,0.28,79,72.1,1.5,5.4,935.8318558,12032123.86,Sutties Gap Rd,-17.64678,145.63772
6,Carnarvonia sp,Proteaceae,0.846,1.8677261,0.667182,0.4186717,0.0324376,0.1818083,912.4,33.4,0.1,0.3,1.919,32.7,464.9,2441,5,6.6,2.589641434,24,0,61.7,31.4,8.2,6.2,16.1,19.7,0.38,25.4,70.6,1.3,3.5,811.0542751,5746335.957,Mt Haig,-17.10111,145.57346
7,Carnarvonia sp,Proteaceae,1.087,NA,0.7020353,0.3662554,0.035086,0.1589136,2045.9,46.6,0.1,0.3,3.721,34.1,681.8,1268.3,5,5.4,2.445328032,22,0,59.6,34.1,8.4,5.5,13.5,16,0.36,18,65.7,1.5,4.2,935.8318558,7278692.212,Arthur Baillie Rd,-17.68914,145.50649
13,Carnarvonia sp,Proteaceae,0.952,1.8353319,0.5456068,0.5227887,0.0300498,0.1322237,708,40.1,0.1,0.376,3.177,107.4,691.4,1857.9,5,6,1.015936255,24.1,0,63.2,30.5,8.3,3.5,9.6,11.6,0.34,31.6,79,1.5,4.3,935.8318558,7890347.02,Cairns Track,-17.35164,145.72726
14,Carnarvonia sp,Proteaceae,0.97,2.3741774,0.5799442,0.5482978,0.0430827,0.1233284,1861,31.3,0.1,0.3,2.743,30.8,998.5,646.3,5,6,1.6,23.2,0,61.4,33.2,8.6,4.2,10.9,12.6,0.32,25.2,80.8,1.1,3.5,686.2766943,6823773.949,Robson Ck,-17.11917,145.62952
11,Castanospermum australe,Fabaceae,3.135,0.5406304,1.10133795,0.1621502,0.1434927,0.17218645,23.1,14.8,0.1,0.3,15.2495,49.8,317.5,185.4,5,16.3,1,29.4,0,59.1,6,1.5,0.5,1.1,7.7,0.21,29.6,120.3,1.1,5.1,686.2766943,15151563.38,"Tully Falls Rd, near TF",-17.75847,145.54569
17,Castanospermum australe,Fabaceae,2.656,0.8233275,1.2201004,0.1316846,0.3117748,0.1569589,36.7,15.2,0.1,0.3,7.438,13.6,72.9,284.5,5,19.5,1,29.9,0,60.3,15.4,3.9,0.4,0.9,2.4,0.24,40,33.5,1.2,5,748.6654847,12997664.66,Thomas Rd (recent basalt),-17.26548,145.56578
17,Castanospermum australe,Fabaceae,2.969,1.2126784,0.8124033,0.2111651,0.1319807,0.1739085,38.1,15.1,0.1,0.3,10.072,64.3,235.6,230,5,26.4,1,26.5,0,54.7,17.8,3.9,0.4,0.9,2.2,0.2,24.4,45.2,0.9,4.5,561.4991135,14037477.84,Thomas Rd (recent basalt),-17.26548,145.56578
1,Castanospora alphandii,Sapindaceae,1.779,0.5127439,0.7612341,0.3947529,0.1312727,0.2629935,19.3,42.9,0.1,0.3,10.509,35,344.1,140.5,5,22,1,25.5,0,49.8,42.9,8.5,3.7,7.3,8.5,0.25,30.4,74.9,1.5,5.8,935.8318558,14474199.37,Longlands Gap (basalt),-17.46028,145.47473
11,Castanospora alphandii,Sapindaceae,1.782,1.0714336,1.2553686,0.3656131,0.1617084,0.2373477,25.4,56.9,0.1,0.296,4.513,15.1,219.3,236.8,5,37.2,1,25.9,0,58.3,49.1,11.8,4.5,10.8,9.2,0.25,43.8,90.9,1.3,5.2,811.0542751,12976868.4,"Tully Falls Rd, near TF",-17.75847,145.54569
11,Castanospora alphandii,Sapindaceae,1.74,0.3901846,1.0582188,0.239277,0.127445,0.2486236,18,36.8,0.1,0.299,4.955,18.2,258.7,188.8,5,18.7,1,25.3,0,54.6,42.4,9.3,3.6,7.8,8.4,0.25,28.6,86.1,1.2,4.9,748.6654847,12228202.92,"Tully Falls Rd, near TF",-17.75847,145.54569
13,Ceratopetalum virchowii,Cunoniaceae,1.143,0.655324,0.8876584,0.2199596,0.0465669,0.2776929,10872,23.6,0.1,0.536,5.024,106.7,318.3,125.4,5,15.9,1,31.3,0,60.1,10.1,2.5,0.4,1,3.8,0.33,61.8,84,1.8,5.5,1122.998227,10398131.73,Cairns Track,-17.35164,145.72726
9,Cinnamomum laubatii,Lauraceae,1.832,0.39549275,0.92279375,0.11642095,0.1340335,0.1542253,327.6,12.4,0.1,0.733,13.2405,188,402.3,73.9,5,17.1,1,23.9,0,61.1,9.9,2.6,0.5,1.3,5.1,0.27,30.4,99.3,1.3,4.7,811.0542751,10860270.92,Lamins Hill (Cairns track),-17.36528,145.71537
12,Cinnamomum laubatii,Lauraceae,2.092,0.4954272,0.5157095,0.151616,0.1068736,0.2364104,19.9,29.3,0.1,0.373,9.748,42.7,661.2,790.4,7.981,11.9,1,26.4,0,50,11.9,2.4,0.5,1.1,4.5,0.25,18.8,81.7,1.4,5.5,873.4430655,13725533.89,Palmerston: Malaan Rd turnoff,-17.59143,145.70355
14,Cinnamomum laubatii,Lauraceae,1.948,0.7211991,0.4775848,0.0765483,0.0699206,0.1872536,56.4,40.5,0.1,0.3,9.273,56.1,592.2,292.2,5,10.8,1,22.9,0,48.1,8.3,1.6,0.2,0.5,2.9,0.27,22.6,67.3,1.2,4.6,748.6654847,10629201.33,Robson Ck,-17.11917,145.62952
5,Cissus hypoglauca,Vitaceae,1.623,1.1086333,0.5394197,0.2470567,0.0714217,0.1476573,36.5,17.6,0.1,0.3,5.053,55.9,135.6,127.9,5,5.8,1,22.4,0,69.6,37.9,12.5,3,10,8,0.31,27.2,111.5,1.9,6.1,1185.387017,12276503.92,Longlands Gap (rhyolite),-17.45501,145.47862
17,Cordia dichotoma,Boraginaceae,3.424,0.5745146,3.7323146,0.1523792,0.4362878,0.1927918,27.9,28.9,0.1,0.3,12.784,10.7,30.6,787.2,5,14.5,1,23.4,0,72.4,11.2,4.1,0.5,1.7,4.2,0.22,38.4,64.7,0.6,2.7,374.3327423,7656806.093,Thomas Rd (recent basalt),-17.26548,145.56578
3,Cryptocarya angulata,Lauraceae,1.805,0.2847213,0.4346625,0.1749461,0.1074827,0.2084414,74.3,13.7,0.1,0.3,4.793,62.3,307.9,202.3,7.085,16.6,1,16.8,3,51.3,157.6,32.4,13.6,27.9,8.6,0.4,17,51.8,1.1,2.8,686.2766943,4367215.327,Tully Falls Rd: Smiths,-17.68174,145.52989
7,Cryptocarya angulata,Lauraceae,1.641,0.4899767,0.3760212,0.1682701,0.0587703,0.1988136,19.9,10.4,0.1,0.339,5.672,31.4,289.8,140.6,5,18.9,1,20.4,0,48.5,139.4,27,11.4,22.1,8.2,0.36,25.6,58.7,1.1,3,686.2766943,5199065.866,Arthur Baillie Rd,-17.68914,145.50649
8,Cryptocarya angulata,Lauraceae,1.668,0.1418304,0.5420728,0.129856,0.06266205,0.20592595,21.7,8.2,0.1,0.3,7.8375,33.6,75.7,253.2,5,17.2,1,18.2,3,49.4,147.8,29.2,12.4,24.5,8.4,0.37,17.4,51.8,1.1,3,686.2766943,5058550.572,Massey Creek,-17.60993,145.56264
12,Cryptocarya angulata,Lauraceae,1.943,0.360322,0.3783363,0.2163115,0.1255299,0.2163503,18.4,15.9,0.1,0.603,5.386,37.6,429.3,141.3,5.05,11.5,1,18.5,2,51,153.7,31.4,11.9,24.2,7.7,0.35,15,62,1,2.9,623.8879039,5169356.918,Palmerston: Malaan Rd turnoff,-17.59143,145.70355
1,Cryptocarya corrugata,Lauraceae,1.895,0.4004571,0.8393634,0.1043651,0.1115703,0.2930242,35.7,15.8,0.1,0.466,10.408,42.3,625.7,194.4,8.766,19.3,1,25.4,0,51.8,50.5,10.5,5.4,11.1,10.6,0.24,14.2,86.6,0.9,3.9,561.4991135,10138178.44,Longlands Gap (basalt),-17.46028,145.47473
6,Cryptocarya corrugata,Lauraceae,1.813,0.5053696,0.7757456,0.0987357,0.0801587,0.2892025,36.4,9.1,0.1,0.3,5.076,38.9,528.4,146.3,5,28.4,1,24,0,47.7,56.4,10.8,7.1,13.5,12.5,0.31,12.6,62.4,1.4,4.4,873.4430655,8855183.152,Mt Haig,-17.10111,145.57346
5,Cryptocarya densiflora,Lauraceae,1.366,0.1611442,0.4491561,0.0641286,0.0531738,0.1206722,17.3,17,0.1,0.3,4.086,36.1,10.9,421.8,5,10.8,1,20.3,2,49.3,127.7,25.2,8.7,17.1,6.8,0.28,34.8,69.3,1.3,4.6,811.0542751,10249586.99,Longlands Gap (rhyolite),-17.45501,145.47862
6,Cryptocarya densiflora,Lauraceae,1.404,0.1183767,0.5788136,0.1123762,0.0600457,0.1199335,23.4,25,0.1,0.3,3.752,37.5,11.2,314.4,5,12.9,1,23.1,2,53.4,71.2,15.3,6.6,14.1,9.2,0.28,36.6,71.2,1.5,5.2,935.8318558,11586489.64,Mt Haig,-17.10111,145.57346
12,Cryptocarya densiflora,Lauraceae,1.99,0.4392662,1.1768462,0.1578811,0.1042452,0.2677231,409.7,16.3,0.1,0.663,6.025,43.6,1427.1,472.3,5,13.3,1,21.7,0,55.2,48.1,10.7,3.5,7.8,7.2,0.22,31.8,100,1.1,4.8,686.2766943,13612099.72,Palmerston: Malaan Rd turnoff,-17.59143,145.70355
4,Cryptocarya grandis,Lauraceae,1.998,0.4431075,0.6310223,0.2732711,0.0922902,0.2132048,537.8,19.5,0.1,0.495,4.63,76.2,487,2879.2,5.685,13,1,18.4,0,52.7,61.3,13,3.5,7.5,5.8,0.25,27.2,78.6,1,4,623.8879039,9982206.462,Malaan SF,-17.58672,145.582
14,Cryptocarya grandis,Lauraceae,2.06,0.5567295,1.2597627,0.1118252,0.0873314,0.2609118,286.9,13.3,0.1,0.515,6.103,55.6,568,511.5,5,16.8,1,21.7,0,55.4,62.4,14,4.5,10.1,7.2,0.18,32.8,110.1,0.9,4.8,561.4991135,16637010.77,Robson Ck,-17.11917,145.62952
3,Cryptocarya leucophylla,Lauraceae,1.419,0.4466584,1.0263934,0.1681469,0.1603416,0.2279852,108.6,14.3,0.1,0.342,6.325,59.7,201.4,352.7,5,16,1,26.1,0,56.9,54.9,12.7,4.2,9.9,7.7,0.27,67.2,87.7,1.5,5.6,935.8318558,12939897.27,Tully Falls Rd: Smiths,-17.68174,145.52989
7,Cryptocarya leucophylla,Lauraceae,1.463,0.2267623,1.2046884,0.0791976,0.0635825,0.2045363,109.8,16.7,0.1,0.3,7.251,31.5,137.7,339.9,5,10.5,1,27.9,0,54.8,62,13.7,5.6,12.4,9.1,0.3,42,72.9,1.8,5.8,1122.998227,12061832.81,Arthur Baillie Rd,-17.68914,145.50649
8,Cryptocarya leucophylla,Lauraceae,1.616,0.2162013,1.2388415,0.0891399,0.0796746,0.1964303,71.8,15.3,0.1,0.385,6.516,35.3,179,279.9,5,15.6,1,25.2,0,56.4,65.9,15.1,5.2,11.9,7.9,0.27,45,74,1.4,5.2,873.4430655,12015618.89,Massey Creek,-17.60993,145.56264
8,Cryptocarya leucophylla,Lauraceae,1.46,0.1637973,1.1688135,0.0879545,0.0703812,0.1825397,56.9,16.8,0.1,0.3,5.798,30.8,114.7,373.5,5,8.6,1,22.6,0,51,74.6,15.2,7.9,16,10.5,0.34,27.8,56.5,1.6,4.8,998.2206462,8807829.231,Massey Creek,-17.60993,145.56264
9,Cryptocarya leucophylla,Lauraceae,1.399,0.34697735,0.8126573,0.2769569,0.10204615,0.12209855,906.6,47.4,0.1,0.525,5.8095,40.8,69.6,204.1,5,8.7,1,23,0,47.5,92.8,17.7,8.1,15.5,8.8,0.28,49,60.3,1.1,4,686.2766943,8912684.341,Lamins Hill (Cairns track),-17.36528,145.71537
3,Cryptocarya mackinonniana,Lauraceae,1.485,0.3928014,0.8352784,0.1320324,0.1190128,0.2778348,232.8,14,0.1,0.904,8.361,76.6,576.2,754.3,5,19.7,1,32.1,0,51.1,83.1,17,7.4,15.1,8.9,0.55,86.4,48,2.5,4.5,1559.71976,5104537.396,Tully Falls Rd: Smiths,-17.68174,145.52989
12,Cryptocarya mackinonniana,Lauraceae,1.579,0.3685971,0.9290357,0.1289836,0.1156802,0.2293811,125,9.9,0.1,0.851,8.769,65.3,532.1,267,5,17.3,1,29.7,0,49.3,58.2,11.5,6.1,11.9,10.4,0.56,95.8,56.6,2.4,4.2,1497.330969,4679159.279,Palmerston: Malaan Rd turnoff,-17.59143,145.70355
14,Cryptocarya mackinonniana,Lauraceae,1.517,0.4557793,1.1375774,0.0939289,0.0764681,0.214178,145.2,11.7,0.1,0.3,10.454,32.7,313.3,323.1,5,20.2,1,30.3,0,49.3,63.7,12.6,7.4,14.7,11.7,0.42,140,57.1,2.2,5.3,1372.553389,7872871.168,Robson Ck,-17.11917,145.62952
16,Cryptocarya mackinonniana,Lauraceae,1.377,0.5533277,0.9230501,0.0770194,0.0718488,0.3692484,124,10.8,0.1,0.753,6.297,32.8,1210.4,578.5,5,34.6,1,29.6,0,51.4,55.1,11.3,6.7,13.9,12.3,0.56,75.4,57.3,2.1,3.8,1310.164598,4233525.062,Sutties Gap Rd,-17.64678,145.63772
3,Cryptocarya melanocarpa,Lauraceae,1.764,0.4540523,0.9626312,0.1387641,0.1656619,0.2180469,364.9,17.8,0.1,0.727,6.9,69.8,966.8,883.5,5,22.7,1,25.6,0,54.4,33.2,7.3,1.4,3.1,4.3,0.24,39.2,91.6,0.9,3.7,561.4991135,9618271.852,Tully Falls Rd: Smiths,-17.68174,145.52989
9,Cryptocarya murrayi,Lauraceae,1.444,0.643171,1.3713465,0.07614245,0.1134965,0.2187194,65.6,10.3,0.1,0.5785,7.6675,41.6,346.1,351.4,5,25.2,1,30.9,0,57.4,45.8,10.8,4.2,9.8,9.1,0.42,150,82.3,2.1,4.9,1310.164598,7278692.212,Lamins Hill (Cairns track),-17.36528,145.71537
10,Cryptocarya murrayi,Lauraceae,1.712,0.74011405,1.23383215,0.10167865,0.14924395,0.1872284,47.5,16.6,0.1,0.3535,11.1295,44.2,376.5,202.8,5,25.4,1,30.1,0,58.4,19.8,4.8,1.3,3.2,6.7,0.39,65,81.7,1.7,4.4,1060.609437,7038735.326,Wallace Rd (Glen Allyn),-17.42063,145.67164
3,Cryptocarya oblata,Lauraceae,1.406,0.3836897,0.6087391,0.3568321,0.1431658,0.2096919,315.9,24.6,0.1,0.484,4.663,55.1,264.1,1755.9,5,11.2,1,15.9,0,59.1,116.1,28.4,11.9,29.2,10.3,0.36,50.6,78.3,0.8,2.4,499.1103231,4159252.693,Tully Falls Rd: Smiths,-17.68174,145.52989
3,Cryptocarya oblata,Lauraceae,1.555,0.3172362,1.0680756,0.3437226,0.1386017,0.1860229,385.3,22.9,0.1,0.398,7.701,63.4,225.2,1114,5,13.2,1,15.3,0,63.4,90.7,24.8,9.9,27.1,10.9,0.31,45.2,91.5,0.6,1.8,374.3327423,3622574.926,Tully Falls Rd: Smiths,-17.68174,145.52989
8,Cryptocarya oblata,Lauraceae,1.649,0.4690218,0.7772004,0.3536258,0.097125,0.1989591,422.4,20.6,0.1,0.3,5.386,40.2,221.8,2139.3,5,13.3,1,15.5,0,59.3,64.6,15.9,8.1,19.8,12.5,0.3,23,78.8,0.7,2.4,436.7215327,4991103.231,Massey Creek,-17.60993,145.56264
8,Cryptocarya oblata,Lauraceae,1.514,0.4897584,0.7338489,0.3723674,0.086564,0.1813711,526.6,22.2,0.1,0.3,5.038,42.9,265.5,946.8,5,15.9,1,15.7,0,60.8,50.7,12.9,8.2,20.9,16.2,0.3,27.4,80.1,0.7,2.2,436.7215327,4575177.962,Massey Creek,-17.60993,145.56264
12,Cryptocarya onoprienkoana,Lauraceae,1.666,0.3360499,0.6858461,0.1153804,0.1064546,0.1932601,180.2,13.9,0.1,0.545,4.525,64.1,427.6,714.5,5,24.3,1,23.4,0,51.6,51.6,10.7,3.5,7.3,6.8,0.21,23.4,93.6,0.8,3.7,499.1103231,10992310.69,Palmerston: Malaan Rd turnoff,-17.59143,145.70355
5,Cryptocarya putida,Lauraceae,1.088,0.3628032,0.9415498,0.064509,0.05295,0.130603,35.6,9.9,0.6,0.3,6.199,26,381.9,126.9,5,24.7,1,28.9,0,45.5,57,10.5,7.2,13.2,12.6,0.37,27.4,57.1,2.4,6.7,1497.330969,11297429.61,Longlands Gap (rhyolite),-17.45501,145.47862
7,Cryptocarya putida,Lauraceae,1.155,0.2325737,1.0339724,0.05417,0.0563596,0.1780437,50.9,8.5,0.1,0.3,6.615,29.9,172,441.8,5,21.9,1,33,0,47.7,66.2,12.7,7.9,15.1,11.9,0.34,26.4,61.7,2.6,7.7,1622.10855,14129226.06,Arthur Baillie Rd,-17.68914,145.50649
7,Cryptocarya putida,Lauraceae,1.226,0.3645254,0.4582239,0.0792695,0.0475154,0.1495136,127,11.7,0.6,0.665,6.27,60.1,429.1,1242.4,5,14.2,1,30.9,0,43.6,83.5,14.8,7.9,13.9,9.4,0.37,13.4,46.2,2.7,7.2,1684.497341,12140521.37,Arthur Baillie Rd,-17.68914,145.50649
5,Cryptocarya smaragdina,Lauraceae,1.374,0.3335836,0.9299287,0.1012249,0.0629552,0.2399154,408.5,12.6,0.1,0.307,3.508,40.1,167.9,566.9,5,10.5,1,26.5,0,50.9,75.3,15.3,7.7,15.6,10.2,0.27,15.4,70.6,0.9,3.5,561.4991135,8087435.791,Longlands Gap (rhyolite),-17.45501,145.47862
17,Cryptocarya triplinervis,Lauraceae,2.303,0.7022409,1.4670696,0.1317903,0.1539632,0.1592763,37.4,15.9,0.1,0.462,12.427,64.1,50.4,85.3,5,48.6,1,23.2,0,54.1,52.1,11.3,6.4,14,12.3,0.21,16.6,74.1,1.1,5.4,686.2766943,16042831.81,Thomas Rd (recent basalt),-17.26548,145.56578
7,Cryptocarya vulgaris,Lauraceae,1.515,0.2732562,1.3733801,0.065538,0.0563181,0.4079814,232.1,14.2,0.1,0.354,6.394,34.6,199.3,687.4,5,7.9,1,27.7,0,51.6,46.3,9.6,2.3,4.8,5,0.31,19,69.9,2,6.5,1247.775808,13081520.57,Arthur Baillie Rd,-17.68914,145.50649
7,Cryptocarya vulgaris,Lauraceae,1.736,0.5826472,1.2834818,0.0874021,0.0583957,0.3855985,164.7,11.1,0.1,0.316,8.301,40.2,498.2,368.9,5,13.2,1,28.5,0,51.3,35.1,7.2,1.9,4,5.5,0.32,32.8,68.3,2,6.4,1247.775808,12477758.08,Arthur Baillie Rd,-17.68914,145.50649
7,Darlingia darlingiana,Proteaceae,1.117,0.151968,0.6310873,0.0967334,0.0400331,0.1283435,1213.7,15.8,0.1,0.3,2.441,30.4,101.8,608.9,5,7.4,1.521521522,31.2,1,51.6,74.8,15.5,5.8,12,7.8,0.36,71.2,54.9,2.5,7,1559.71976,12131153.69,Arthur Baillie Rd,-17.68914,145.50649
13,Darlingia darlingiana,Proteaceae,1.328,0.200437,0.537089,0.1181578,0.0490649,0.1338935,1807.9,19.5,0.1,0.429,3.286,127.2,67.1,558.2,5,7.7,1.916167665,29.6,1,56.6,78,18,4,9.3,5.2,0.36,150,68.3,2,5.4,1247.775808,9358318.558,Cairns Track,-17.35164,145.72726
15,Darlingia darlingiana,Proteaceae,1.225,0.0856133,0.588528,0.0783125,0.0408779,0.1024822,845.7,16.5,0.1,0.3,2.178,37.7,85.9,963.7,5.496,5.3,1.58,28.3,1,53.6,59.1,12.7,7,15.1,11.9,0.38,63.8,53.9,2.3,6.2,1434.942179,10179223.7,TF Rd rhyolite,-17.78676,145.55958
1,Darlingia ferruginea,Proteaceae,1.317,0.1287376,0.7837584,0.137177,0.1128356,0.2281699,754,14.1,0.1,0.371,5.333,39.5,104,1415.2,5,8.3,1,25.9,1,60.7,85.9,21.8,7.2,18.4,8.4,0.31,NA,98.5,1,3.3,623.8879039,6641387.364,Longlands Gap (basalt),-17.46028,145.47473
1,Darlingia ferruginea,Proteaceae,1.713,0.2115578,0.5110282,0.1295659,0.0744219,0.2026803,1535.4,19.5,0.1,0.41,4.543,49.9,68.6,756.7,5,9.2,1,21,1,54.1,91.6,20,10.1,22,11,0.36,NA,53.7,1.4,3.9,873.4430655,6758785.626,Longlands Gap (basalt),-17.46028,145.47473
2,Darlingia ferruginea,Proteaceae,1.473,0.1780838,0.8359623,0.0997952,0.1126556,0.1645509,664.9,10.8,0.1,0.502,4.678,44.3,50,1052.6,5,9.7,1,28.8,2,65.3,71.3,20.6,5.3,15.3,7.4,0.37,180,65.5,1.1,3.1,686.2766943,5227168.925,Mt Fisher: Kjellberg Rd,-17.54112,145.56136
10,Darlingia ferruginea,Proteaceae,1.325,0.1319369,0.67319175,0.0929036,0.1379828,0.1984164,558,10.8,0.1,0.399,6.0545,77.3,64,1145,5,8.8,1,26,2,65.4,94.2,27.2,3.5,10,3.7,0.33,200,91.7,1.1,3.5,686.2766943,6616992.92,Wallace Rd (Glen Allyn),-17.42063,145.67164
11,Dendrocnide photinophylla,Urticaceae,4.385,7.8867096,1.2926776,0.64609,0.1886595,0.2952357,29.4,41.5,0.1,1.11,8.475,66.8,86.1,191.3,5,11.4,1,NA,0,81.1,4.4,2.3,0.3,1.7,7.3,0.24,60.6,224.4,0.3,1.4,187.1663712,3639346.106,"Tully Falls Rd, near TF",-17.75847,145.54569
17,Dendrocnide photinophylla,Urticaceae,3.115,8.2511387,1.1166001,0.7083364,0.1106752,0.2379013,33.9,57.2,0.1,0.629,4.005,58,35.7,223,5,6.3,1,NA,0,75.3,11.6,4.7,0.6,2.3,4.9,0.34,47.2,37.3,0.5,1.5,311.9439519,2752446.635,Thomas Rd (recent basalt),-17.26548,145.56578
17,Diploglottis diphyllostegia,Sapindaceae,1.914,1.1049043,1.2047166,0.6323831,0.6950383,0.145444,41.7,16.5,0.1,0.648,7.967,12,52.8,371.2,5,31.7,1,24.9,0,51.1,35.3,7.2,6.4,13,18,0.24,45,19.4,0.8,3.2,499.1103231,8318505.385,Thomas Rd (recent basalt),-17.26548,145.56578
3,Doryphora aromatica,Monimiaceae,2.767,0.9737354,0.5039536,0.3917263,0.2040488,0.1972906,333,24,0.1,0.613,6.919,90.4,415.9,274.6,5,17.2,1,26.5,3,66.3,19.9,5.9,0.7,2,3.4,0.27,28.2,108.5,1,3.7,623.8879039,8549574.979,Tully Falls Rd: Smiths,-17.68174,145.52989
