1,Genus_species,Genus,Species,Family,Order,superorder,Species code,location,lat,long,d13C,wood density (g/cm3),LMA (g m-2),Leaf size (cm2),Ks (kg m-1 s-1 MPa -1),PSIpd (MPa),PSImd (MPa),Amass (umol/kg/s),Aarea (umol m-2 s-1),Rmass (umol/kg/s),Rarea,max_ht (m),MOR (Pa),MOE (Pa),LA/SA at 1.0 cm (m2/m2),LA/SA Gleason 2012 (m2/m2),gl N (mg/g),gl P (mg/g),gl K (mg/g),gl S (mg/g),gl C (mg/g),gl Ca (mg/g),gl Mg (mg/g),gl Na (mg/g),gl Cu (mg/kg),gl Zn (mg/kg),gl Mn (mg/kg),gl Fe (mg/kg),gl B (mg/kg),gl Mo (mg/kg),gl Co (mg/kg),gl Si (mg/kg),gl Crude Protein,stem N (mg/g),stem P (mg/g),N area (mg/cm3),P area (mg/cm3),stem K (mg/g),stem S (mg/g),stem C (mg/g),stem Ca (mg/g),stem Mg (mg/g),stem Na (mg/g),stem Cu (mg/kg),stem Zn (mg/kg),stem Mn (mg/kg),stem Fe (mg/kg),stem B (mg/kg),stem Mo (mg/kg),stem Co (mg/kg),stem Si (mg/kg),Crude Protein (%),bark thickness (mm bark/mm whole-stem),Ksap (kg m-1 s-1 MPa -1),Kl (10^4 x kg m-1 s-1 MPa -1),WUE (mmol CO2/mol H2O/m2/s,SA (mm),E (mmol/m2/s)
43,Grevillea striata,Grevillea,striata,Proteaceae,Proteales,Rosidae,GreStr,Claraville,-18.705,141.818,-28.21,0.661,386.7,14.8,2.31,-0.981,-2.729,58.63,22.67,6.42,2.48,8,36.285,2009.066,3676.47911,,6.9258,0.31865667,6.258541563,1.29835,482.055,2.198001493,1.443675523,0,1.935367347,2.900696864,237.5386289,26.13053459,10.96988552,0,0.067166501,132.840499,4.328625,2.9589,0.153251431,1.9558329,0.102984777,1.64924678,6.79938,459.69,11.81070313,0.827584089,0.088197996,5.226025763,19.6875,308.80427,57.05331584,9.416746183,0.19117271,0.099678435,86.6557729,1.8493125,0.3206,2.31,,3.39,21.72851143,6.712687071
44,Melaleuca citrolens,Melaleuca,citrolens,Myrtaceae,Myrtales,Rosidae,MelCit,Claraville,-18.705,141.818,-27.18,0.555,183.4,2.2,1.11,-0.956,-2.222,104.27,19.12,12.87,2.36,9,32.418,1485.826,3892.27627,,13.1985,0.833193277,9.945530771,1.069155,510.51,3.837295477,1.52878936,4.778986159,2.342753831,7.272614928,34.81220761,25.43490756,15.70680919,0,0.094012605,168.6882106,8.2490625,3.6009,0.18403767,1.9984995,0.114187785,3.02048813,0.555135,491.295,2.747572069,1.034292636,1.992532703,3.030523256,12.5690407,10.7061531,32.02943314,6.01441376,0,0.054946221,119.6569767,2.2505625,0.33066,1.11,,2.75,15.02030005,6.347626556
45,Melaleuca stenostachya,Melaleuca,stenostachya,Myrtaceae,Myrtales,Rosidae,MelSte,Claraville,-18.705,141.818,-26.389,0.6,156.4,1.5,2.74,-0.71,-1.88,154.75,24.21,14.98,2.34,9,31.07,1521.143,5454.04586,,12.5475,0.679264036,5.914034909,1.7687,523.53,5.454389395,2.204346269,4.145160239,2.745526871,5.938099808,21.31913052,20.87767226,37.37110125,0.084572937,0.575095969,202.9600528,7.8421875,2.7369,0.127689319,1.64214,0.079026225,1.177031327,0.926415,497.07,2.059659595,1.248949186,1.15875185,2.947089295,7.810804144,82.48088308,36.56943759,7.767636902,0.492006845,0.113731561,127.278737,1.7105625,0.41651,2.74,,3.62,12.84149559,8.093080579
46,Melaleuca viridiflora,Melaleuca,viridiflora,Myrtaceae,Myrtales,Rosidae,MelVer,Claraville,-18.705,141.818,-26.929,0.55,261.2,28.3,3.18,-0.305,-1.493,52.24,13.65,12.9,3.37,5,41.586,2575.778,5062.35141,,10.61904762,0.504128222,6.502639605,1.051125,530,4.985140525,1.551298202,3.3254456,3.581246932,6.748097693,50.67685322,18.20839691,13.99548969,0.063819342,0.159149485,227.5119661,6.636904762,2.3699,0.148041089,1.303445,0.084025456,2.096620282,0.47019,503.895,1.858584568,1.283291328,1.529919732,2.382345915,6.569517439,56.49307215,31.00871954,5.377448638,0,0.165939381,124.8346871,1.4811875,0.30691,3.18,,2.68,18.31342743,4.381730332
47,Petalostigma banksii,Petalostigma,banksii,Picrodendraceae,Euphorbiales,Rosidae,PetBan,Claraville,-18.705,141.818,-26.972,0.728,142.1,3.5,4.08,-0.745,-2.143,111.14,15.79,4.56,0.65,4,42.71,2606.815,7392.51304,,9.214285714,0.419350482,6.836444248,0.790375,511.3,0.9573681,0.851261938,1.814836376,2.391914998,3.55672936,208.5936737,26.34091451,25.49596971,0,27.17211163,224.3603444,5.758928571,2.8409,0.14165908,2.0681752,0.105691431,4.583250479,0.243705,467.25,3.697722808,0.367598227,2.119990177,3.360086248,18.65536655,129.7041207,37.32690465,5.613919502,0,2.827722269,75.37158601,1.7755625,0.304,4.08,,2.65,14.55581558,6.10331097
48,Terminalia platyptera,Terminalia,platyptera,Combretaceae,Myrtales,Rosidae,TerPly,Claraville,-18.705,141.818,-24.863,0.588,121.1,9.3,2.49,-1.066,-2.323,144.62,17.52,15.72,1.9,9,40.162,2956.37,4783.6641,,15.981,0.794825567,5.467310478,0.944035,469.35,5.129266055,2.649611118,0,4.600594882,8.425277644,164.9368624,28.18477113,87.45225736,0,0.262161999,280.4110333,9.988125,3.7239,0.38568911,2.1896532,0.264652782,6.008907389,0.2163,468.615,2.655500729,0.692752188,0.194644871,8.846621293,23.63697132,122.4519932,41.80542052,7.093461351,0,0.236172885,81.1305299,2.3274375,0.21274,2.49,,2.5,22.03346583,7.697902511
49,Ventilago viminalis,Ventilago,viminalis,Rhamnaceae,Rhamnales,Rosidae,VenVim,Claraville,-18.705,141.818,-26.404,0.575,133.4,5.5,3.73,-0.747,-1.798,169.51,22.61,18.58,2.48,12,31.361,1781.133,5213.12194,,11.81904762,0.659064926,5.552930582,1.20725,477.9,9.445939147,2.939901024,0.99819325,12.10828941,15.93076186,100.552827,114.1756969,53.17354456,0.289889794,0.84723886,155.5203642,7.386904762,6.5019,0.411438702,3.7385925,0.221330339,4.295279447,2.82408,453.6,11.83506671,1.350335938,1.039054327,9.990384615,25.60276442,18.35036058,49.09555288,22.72115385,0.274478365,0.360086538,81.21995192,4.0636875,0.34644,3.73,,2.8,11.7715948,8.300306461
136,Acacia aneura,Acacia,aneura,Mimosaceae,Fabales,Rosidae,AcaAne,Fowlers Gap,-31.074,141.679,,0.837,402.65,1.996,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Acacia tetragonophylla,Acacia,tetragonophylla,Fabaceae,Fabales,Rosanae,AcaTet,Fowlers Gap,-31.074,141.679,,0.99,373.8,1.34,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Atriplex angulata,Atriplex,angulata,Amaranthaceae,Caryophyllales,Eudicotidae,AtrAng,Fowlers Gap,-31.074,141.679,,0.911,43.64,0.625,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Atriplex nummularia,Atriplex,nummularia,Amaranthaceae,Caryophyllales,Eudicotidae,AtrNum,Fowlers Gap,-31.074,141.679,,1.01,136.8,0.15,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Casuarina pauper,Casuarina,pauper,Casuarinaceae,Fagales,Rosidae,CasPau,Fowlers Gap,-31.074,141.679,,0.746,589.28,1.003,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Eremophila longifolia,Eremophila,longifolia,Scrophulariaceae,Lamiales,Asterids,EreLon,Fowlers Gap,-31.074,141.679,,0.813,248.46,1.462,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Eremophila sturtii,Eremophila,sturtii,Scrophulariaceae,Lamiales,Asterids,EreStu,Fowlers Gap,-31.074,141.679,,0.802,239.22,1.409,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Flindersia maculosa,Flindersia,maculosa,Rutaceae,Sapindales,Rosidae,FliMac,Fowlers Gap,-31.074,141.679,,,160.38,1.225,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Prostanthera striatiflora,Prostanthera,striatiflora,Lamiaceae,Lamiales,Asterids,ProStr,Fowlers Gap,-31.074,141.679,,0.775,150.91,1.161,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Sclerolaena tricuspis,Sclerolaena,tricuspis,Amaranthaceae,Caryophyllales,Eudicotidae,SclTri,Fowlers Gap,-31.074,141.679,,,112.11,0.562,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Sida petrophila,Sida,petrophila,Malvaceae,Malvales,Rosanae,SidPet,Fowlers Gap,-31.074,141.679,,,193.71,0.895,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Allocasuarina littoralis,Allocasuarina,littoralis,Casuarinaceae,Casuarinales,Hamamelidae,AllLit,Ku-ring-gai,-33.68,151.148,-24.594,0.648,242,0.72,2.63,-0.73,-1.07,55.09,13.33,9.12,2.21,12,61.914,6038.056,5392.77478,,13.0842,0.334906034,3.206245677,0.99583,504.42,4.006508152,1.266112463,0.944941576,5.71132584,7.902667984,456.8720914,51.2529837,17.60150692,0.059288538,0.260499012,159.6907115,8.177625,3.956,0.077703777,2.563488,0.053833457,1.777895683,0.7425,454.23,3.744468825,0.410661871,0.757348022,5.783573141,12.25539568,57.10671463,449.4650465,5.771223022,0.294818945,0.196642686,189.2374101,2.4725,0.21934,2.63,,4.92,17.89697791,3.004615842
51,Banksia ericifolia,Banksia,ericifolia,Proteaceae,Proteales,Rosidae,BanEri,Ku-ring-gai,-33.68,151.148,-25.172,0.639,202.6,0.19,,-0.49,-1.07,82.55,16.72,10.46,2.12,5,60.444,6801.484,6136.27062,,8.3572,0.300605798,2.207736337,1.13839,490.455,2.114775972,0.910710857,2.132522095,3.819046775,6.983013294,141.7667637,56.43054702,19.52538159,0.06770064,0,172.6011817,5.22325,1.942,0.095189078,1.240938,0.060916311,2.065319937,0.7015,467.355,0.947797475,0.562186134,1.158628157,2.796867411,2.64813016,31.50254978,53.94291313,3.832321515,0,0.071029626,136.9068723,1.21375,0.24047,,,3.39,,4.826924795
52,Banksia serrata,Banksia,serrata,Proteaceae,Proteales,Rosidae,BanSer,Ku-ring-gai,-33.68,151.148,-28.357,0.573,262.1,26.29,1.78,-0.83,-1.03,62.62,16.41,4.35,1.14,8,34.661,2743.134,2222.43689,,6.4552,0.221527876,2.167241951,0.75009,494.76,3.650909683,0.782459428,2.159534505,4.025440578,6.308001894,198.3002813,35.90722396,13.54206913,0,0,181.0276989,4.0345,2.021,0.096611441,1.158033,0.061873079,1.673802032,0.771,464.31,2.408662463,1.188607982,1.444865757,6.674216454,7.675073457,106.0186092,110.6240371,6.61777669,0.088002938,0,170.7507958,1.263125,0.32139,1.78,,3.53,11.62609193,4.638927921
53,Banksia spinulosa,Banksia,spinulosa,Proteaceae,Proteales,Rosidae,BanSpi,Ku-ring-gai,-33.68,151.148,-30.056,0.611,231.9,1.87,2.21,-0.64,-1.13,93.72,21.74,5.12,1.19,2.5,58.745,6182.525,3584.84142,,9.446,0.387400384,3.030920157,1.029,476.1,3.3843759,1.476991119,1.846905305,4.096855497,7.881661066,143.0832933,76.14566071,26.02442391,0.166826692,0,328.1427262,5.90375,2.34,0.145830508,1.42974,0.097345197,1.828345642,0.547875,466.725,2.54689891,1.13273063,0.623871126,3.322033898,4.920702179,165.0750605,34.47507718,5.332627119,0,0,137.2944915,1.4625,0.21763,2.21,,4.09,25.64633272,5.310051295
54,Boronia ledifolia,Boronia,ledifolia,Rutaceae,Sapindales,Rosidae,BorLed,Ku-ring-gai,-33.68,151.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Corymbia gummifera,Corymbia,gummifera,Myrtaceae,Myrtales,Rosidae,CorGum,Ku-ring-gai,-33.68,151.148,-26.393,0.577,228.1,20.81,6.15,-0.72,-1.3,54.88,12.52,6.4,1.46,25,50.096,3757.992,6144.06471,,9.213,0.437027477,5.055755791,0.8654,489.2,5.16785467,2.901108921,2.354426442,4.563824544,19.69196649,105.3850419,73.22605163,32.94963652,0.223632331,0.703548546,306.5560972,5.758125,2.788,0.157898402,1.608676,0.093707584,3.536562656,0.335875,471.765,3.066537069,0.62493697,0.956259985,6.132051922,41.56140789,26.65002496,92.34057071,8.466706191,0.142258113,0.183474788,173.8564029,1.7425,0.26493,6.15,,4.79,15.78999025,2.644569747
56,Dillwynia retorta,Dillwynia,retorta,Fabaceae,Fabales,Rosidae,DilRet,Ku-ring-gai,-33.68,151.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Eucalyptus capitellata,Eucalyptus,capitellata,Myrtaceae,Myrtales,Rosidae,EucCap,Ku-ring-gai,-33.68,151.148,-28.919,0.633,287.7,13.64,2.86,-0.71,-2,46.74,13.45,6.1,1.75,20,65.473,5565.707,6864.62995,,8.8892,0.360553125,2.600174405,0.75284,524.58,3.477799405,2.19394125,1.505532679,6.017571429,8.136904762,135.5053929,16.45207143,24.1672619,0,0.073511905,183.3414286,5.55575,1.505,0.081155719,0.952665,0.055282393,1.263554517,0.313875,467.985,1.504338271,0.427913429,0.695957686,5.904565323,12.00704225,32.92860612,29.67992138,6.422899466,0,0,103.4273312,0.940625,0.2608,2.86,,4.04,21.04825845,3.630118156
58,Eucalyptus haemastoma,Eucalyptus,haemastoma,Myrtaceae,Myrtales,Rosidae,EucHae,Ku-ring-gai,-33.68,151.148,-27.512,0.643,265.3,19.35,2.62,-0.9,-1.37,61.62,16.35,6.87,1.82,18,54.477,4178.622,4520.45321,,9.37,0.493733464,3.735170413,0.8826,523.3,2.354491058,1.861521926,2.485737996,7.916462518,7.498162665,159.044586,78.95693471,23.91630941,0,0.059407153,399.410493,5.85625,2.606,0.168721196,1.675658,0.109411169,2.226477105,0.39375,464.835,5.116997169,1.129371615,0.728652511,10.21848843,13.62998523,139.5100935,110.029018,8.789420236,0.062856228,0.081856228,161.9645495,1.62875,0.24466,2.62,,3.02,22.41425827,5.297811541
59,Grevillea buxifolia,Grevillea,buxifolia,Proteaceae,Proteales,Rosidae,GreBux,Ku-ring-gai,-33.68,151.148,-27.645,0.687,125.1,0.57,1.28,-0.53,-1.09,60.44,7.56,13.11,1.64,1.6,58.963,7725.632,3205.23178,,10.09,0.257869683,1.84546603,1.028,496.9,3.750091246,1.620493323,1.010874135,2.673095945,4.585806133,261.3934224,93.13673714,15.71364985,0.21946093,0,257.1512896,6.30625,,,,,,,,,,,,,,,,,,,,0.18154,1.28,,4.84,22.85906067,1.788770295
60,Hakea gibbosa,Hakea,gibbosa,Proteaceae,Proteales,Rosidae,HakGib,Ku-ring-gai,-33.68,151.148,,0.601,405,0.74,,-0.49,-0.99,27.61,11.18,0.05,0.02,2,44.522,4221.818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21598,,,5.83,,2.165383853
61,Hakea sericea,Hakea,sericea,Proteaceae,Proteales,Rosidae,HakSer,Ku-ring-gai,-33.68,151.148,-27.817,,297.9,0.36,2.65,-0.44,-1.41,49.2,14.66,3.74,1.11,3,,,2325.82788,,6.952,0.245192912,2.957018052,1.029,476.1,2.023988752,1.400001814,1.456006894,3.739114659,7.218795356,80.48560716,82.29518687,22.71698113,0.076802129,0,223.4312476,4.345,,,,,,,,,,,,,,,,,,,,0.1833,2.65,,3.87,27.04366208,3.968128671
62,Hakea teretifolia,Hakea,teretifolia,Proteaceae,Proteales,Rosidae,HakTer,Ku-ring-gai,-33.68,151.148,-24.021,0.595,447,0.9,,-0.55,-1.22,74.54,33.32,5.82,2.6,2,50.958,5650.905,2530.23579,,6.1722,0.242323603,3.30691798,1.27699,471.24,4.025627388,2.932452185,1.659045189,2.104622015,5.099092646,39.89760172,24.75390831,25.9080468,0.097898758,0,156.769341,3.857625,1.801,0.080479117,1.071595,0.053050017,0.917175418,1.2525,457.8,2.764680191,1.491874702,0.670134964,2.859785203,40.86754177,95.16646778,66.98337261,8.688812649,0.080761337,0.130071599,130.575179,1.125625,0.22105,,,4.01,,8.341816669
63,Kunzea capitata,Kunzea,capitata,Myrtaceae,Myrtales,Rosidae,KunCap,Ku-ring-gai,-33.68,151.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Lambertia formosa,Lambertia,formosa,Proteaceae,Proteales,Rosidae,LamFor,Ku-ring-gai,-33.68,151.148,-26.792,0.636,233.5,1.85,2.23,-0.99,-1.18,79.86,18.65,6.62,1.55,1.8,50.317,5702.004,3187.96142,,7.116,0.233283555,3.298663655,0.8066,491.6,1.518248894,1.054667527,0.916320674,2.940634218,6.218043265,121.8399705,118.731159,59.42772861,0.14380531,0,323.6323267,4.4475,1.431,0.086857027,0.910116,0.06001028,1.155131864,0.608375,454.65,0.903473025,0.508590438,0.400882707,2.615606936,3.341763006,59.84344894,64.47742413,5.349259393,0,0,126.5805636,0.894375,0.23073,2.23,,4.97,19.12420966,4.347071798
65,Leptospermum trinervium,Leptospermum,trinervium,Myrtaceae,Myrtales,Rosidae,LepTri,Ku-ring-gai,-33.68,151.148,-29.66,0.668,131.5,0.27,0.73,-0.59,-1.16,81.48,10.72,25.46,3.35,3,51.317,4606.177,5203.41704,,10.3642,0.338876205,2.798521266,1.14609,498.435,4.926394041,2.450231083,0.812468595,5.668939416,9.332962413,396.9701973,48.7477458,61.04666172,0.114366963,0.240788823,214.1958457,6.477625,2.2519,0.078735879,1.5042692,0.06021601,1.148608792,0.474915,471.66,3.925539661,0.682968443,0.50437721,6.865176817,3.951375246,63.08386542,130.5494843,6.121070727,0,0,127.6937623,1.4074375,0.19269,0.73,,2.9,16.10488779,3.693083515
66,Leucopogon microphyllus,Leucopogon,microphyllus,Ericaceae,Ericales,Dilleniidae,LeuMic,Ku-ring-gai,-33.68,151.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Persoonia lanceolata,Persoonia,lanceolata,Proteaceae,Proteales,Rosidae,PerLan,Ku-ring-gai,-33.68,151.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Persoonia levis,Persoonia,levis,Proteaceae,Proteales,Rosidae,PerLev,Ku-ring-gai,-33.68,151.148,-27.374,0.598,202.7,21.54,1.22,-0.79,-1.51,62.69,12.71,5.23,1.06,5,37.443,2937.253,3746.72396,,8.7272,0.338138,2.924295949,0.85569,486.15,2.710313118,1.807388371,3.123167799,3.471855731,31.37042984,199.536123,38.63817391,30.75923913,0.068552372,0.111474802,134.0165514,5.4545,1.8359,0.109991497,1.0978682,0.062344099,1.234923469,0.19446,493.71,1.194473397,0.993114674,0.796658163,2.409499514,24.68901846,80.33284742,49.03182702,6.554300292,0,0,91.72157434,1.1474375,0.30871,1.22,,3.11,14.78087928,4.199172582
69,Persoonia pinifolia,Persoonia,pinifolia,Proteaceae,Proteales,Rosidae,PerPin,Ku-ring-gai,-33.68,151.148,-28.353,0.636,176.1,0.27,2.02,-0.59,-1.17,84.82,14.93,6.77,1.19,4,64.96,6782.025,6120.85637,,9.564,0.341154945,3.853671813,0.8498,476.3,2.245909294,1.684285537,1.731662525,3.86804175,18.09393638,116.5395129,39.65914264,40.81274851,0.154696819,0.05777833,250.1041228,5.9775,,,,,,,,,,,,,,,,,,,,0.1583,2.02,,3.99,23.34859934,3.05518209
70,Petrophile pulchella,Petrophile,pulchella,Proteaceae,Proteales,Rosidae,PetPul,Ku-ring-gai,-33.68,151.148,-25.877,0.603,258.7,0.33,1.85,-0.79,-1.1,72.39,18.72,6.8,1.76,2.5,52.533,5524.542,2791.64112,,5.864,0.214408734,2.350363162,0.5873,493.1,0.979559801,0.880959887,2.529454122,7.187806673,8.104759568,134.9251717,80.82850466,17.06121197,0.194430815,0,327.2951754,3.665,1.741,0,1.049823,,0.730736945,0.492625,495.495,0.91636103,1.014058687,0.918742923,1.833821376,46.72706198,34.56991215,69.34744479,5.092423133,0.05054612,0.0579551,202.4359444,1.088125,0.26465,1.85,,3.67,21.41108491,5.164633344
71,Acacia dealbata,Acacia,dealbata,Mimosaceae,Fabales,Rosidae,AcaDea,Longley,-42.982,147.19,,0.45,77.2,136.687,3.25,-0.27,-0.91,176.31,12.405,25.2,1.77,8,35.921,3268.669,,,,,,,,,,,,,,,,,,,,6.292,0.201249388,2.842580151,0.104261164,1.826330191,0.47927,477.015,1.673032566,0.739132591,0.245782321,7.633967924,19.83790402,31.31592801,20.02227534,7.005999021,0,0,98.92690989,3.9325,0.18926,3.25,,3.44,19.43605985,4.1075
72,Acacia terminalis,Acacia,terminalis,Mimosaceae,Fabales,Rosidae,AcaTer,Longley,-42.982,147.19,-24.805,0.54,145.7,30.681,0.43,-0.42,-1.26,94.23,10.061,12.99,1.39,4.5,45.001,3712.164,7729.68626,,17.8742,0.456302103,5.22816124,1.30009,514.29,3.505390328,1.938369118,0.761630406,3.635411597,9.855038023,19.98809316,73.30307462,10.94852662,0,0.080709363,243.8362643,11.171375,4.31,0.077789327,2.337991011,0.050730487,0.921575391,0.19458,486.465,0.834296626,0.242332381,0.127436941,6.189115308,19.38124379,12.03298956,61.73010934,5.389910537,0,0.053118787,109.3497763,2.69375,0.22185,0.43,,6.03,17.41917308,1.608225148
73,Allocasuarina monilifera,Allocasuarina,monilifera,Casuarinaceae,Casuarinales,Hamamelidae,All spp,Longley,-42.982,147.19,-26.48,0.58,412.7,0.772,1.75,-0.35,-1.13,34.38,14.19,6.47,2.67,5,51.281,4862.332,3141.99092,,8.2032,0.261811518,3.972183816,0.65131,493.29,4.638436272,1.560610204,0.971870395,2.22000442,8.396365422,409.6657574,99.86179813,18.17291257,0,0.156311395,216.668222,5.127,2.413,0.082847631,1.398517371,0.048236429,2.172141538,0.34454,467.46,1.532039948,0.478806057,1.023238065,7.067992145,17.21894944,183.0083763,28.82829161,4.962444772,0,0.085695876,109.2860825,1.508125,0.16112,1.75,,5.39,16.54307714,2.197168559
74,Aotus ericoides,Aotus,ericoides,Fabaceae,Fabales,Rosidae,AotEri,Longley,-42.982,147.19,-25.361,0.68,139.7,0.184,1.3,-0.33,-0.99,75.69,10.57,22.53,3.15,1.7,54.427,7070.277,2899.08786,,14.6642,0.371950055,2.956945259,0.87802,523.215,1.298971163,1.339809751,1.77893414,2.953204545,10.11546921,22.44304839,83.41476344,15.32407136,0,0.092864125,393.7192082,9.165125,2.631,0.063193277,1.800463966,0.045040086,1.006914854,0.3311,466.935,0.582490732,0.386783861,0.436380376,3.258217993,25.03806228,39.35504202,14.91992307,4.665719229,0,0,86.65286703,1.644375,0.14958,1.3,,4.17,12.47476177,2.842708847
75,Banksia marginata,Banksia,marginata,Proteaceae,Proteales,Rosidae,BanMar,Longley,-42.982,147.19,-28.068,0.52,129,2.876,3.12,-0.18,-0.74,95.83,12.362,9.7,1.25,6,34.579,3224.126,4941.7792,,8.9812,0.481547899,2.980350898,0.83072,489.3,2.662323944,1.627871631,2.163661,3.85136644,7.867289947,112.4834424,92.32845993,25.60573094,0,0,224.8273434,5.61325,1.456,0.101042299,0.754620249,0.0574953,0.771636202,0.277265,475.335,1.080388039,0.488001255,0.648556103,4.757590597,17.46400588,45.72024976,37.92099902,4.52369001,0,0.062224535,116.5755387,0.91,0.16682,3.12,,5.06,13.43194222,1.813041993
76,Epacris impressa,Epacris,impressa,Epacridaceae,Ericales,Dilleniidae,EpaImp,Longley,-42.982,147.19,-24.317,0.72,141,0.091,0.38,-0.58,-1.12,29.45,4.154,8.26,1.16,1.5,90.731,9590.786,1562.12735,,8.4142,0.290383609,3.83713451,1.03125,517.125,2.964040278,1.096363687,0.366500062,4.177127797,20.68311785,91.67792491,85.99588314,35.52526106,0,0.15294008,188.067628,5.258875,1.278,0.059128342,0.926533232,0.042822562,0.512346105,0.297965,480.795,1.079792538,0.276532967,0.261754831,7.521268838,21.99088478,71.63429752,21.24709772,3.937226544,0,0.060038892,99.28463782,0.79875,0.09093,0.38,,5.24,16.22792827,0.982892055
77,Epacris lanuginosa,Epacris,lanuginosa,Epacridaceae,Ericales,Dilleniidae,EpaLan,Longley,-42.982,147.19,-25.638,0.66,135.5,0.066,0.53,-0.38,-1.33,34.49,4.672,10.28,1.39,1.5,63.358,9523.087,1605.57286,,8.8102,0.439602431,3.543751218,1.14499,498.225,5.026516204,0.936766173,0.310014254,6.647912037,28.19018031,594.8437982,72.24513743,18.70082846,0.05787037,0.118634259,275.7119883,5.506375,1.258,0.041300901,0.835511166,0.027048263,0.930463382,0.24794,475.02,0.777647828,0.166955053,0.146558798,1.375863771,7.545101185,80.888481,6.745454097,3.102048371,0,0.11429541,75.27245805,0.78625,0.10863,0.53,,3.96,15.25043742,1.188615208
78,Eucalyptus amygdalina,Eucalyptus,amygdalina,Myrtaceae,Myrtales,Rosidae,EucAmy,Longley,-42.982,147.19,-27.268,0.6,185.7,7.476,7.27,-0.38,-1.23,89.63,16.641,11.92,2.21,20,61.79,5238.531,7330.26742,,10.2042,0.68525612,4.811480492,0.87626,507.465,2.389937251,1.877642147,1.152383263,5.894858598,10.87350895,188.6725244,74.46232952,12.98315109,0,0.251428926,221.1858847,6.377625,2.122,0.108112975,1.269592729,0.071822728,1.0887167,0.36146,468.615,0.935219536,0.586528737,0.424827331,8.133355945,26.2200296,120.6743957,6.446609213,5.647508633,0,0,75.47360631,1.32625,0.17969,7.27,,3.84,19.53330785,4.526931271
79,Exocarpos cupressiformis,Exocarpos,cupressiformis,Santalaceae,Santales,Rosidae,ExoCup,Longley,-42.982,147.19,-26.618,0.61,301.4,0.546,3.58,-0.66,-2.57,18.34,5.526,11.8,3.56,7,43.125,3306.763,5231.26893,,14.4642,1.464363896,10.00404915,1.20549,536.025,1.824813714,2.007406311,0.90537943,6.215790049,18.87864078,240.3817209,60.0544466,27.51723301,0.182645631,0.231735437,218.4298544,9.040125,3.577,0.20712879,2.174129886,0.131413784,2.649960605,0.475985,487.095,2.771274756,0.76253041,0.415327781,6.627139364,30.50452323,115.0282702,52.81811736,9.074174817,0,0.171882641,140.8103912,2.235625,0.24162,3.58,,2.57,17.54852816,3.216654629
80,Leptospermum glaucescens,Leptospermum,glaucescens,Myrtaceae,Myrtales,Rosidae,LepGla,Longley,-42.982,147.19,-27.525,0.65,102.4,0.295,5.01,-0.63,-1.36,69.38,7.106,15.11,1.55,5,52.086,4776.863,3477.67351,,9.2072,0.504270011,3.900633942,0.86163,519.435,2.134549827,1.775936822,2.934726196,5.55798742,11.66317218,112.8926611,86.01979378,29.04864332,0,0.19977183,243.6563888,5.7545,1.22,0.057921875,0.794672941,0.038416408,0.833305813,0.272205,480.165,1.599720281,0.716600719,0.589292969,4.45,32.024625,61.96509375,27.545,8.47909375,0,0.0938125,103.014625,0.7625,0.25121,5.01,,3.7,16.92201604,1.057491515
