"ITEM_ID","DATEGERMPLASMRECEIVED","MONITORINGPERIOD","THOUSANDSEEDWEIGHT","DEGREEOFPURITY","AVGSEEDPERFRUIT","ORIGINALSEEDQUANTITY","CURRENTSEEDQUANTITY","ADJUSTEDSEEDQUANTITY","METHODSEEDNUMDETERMINED","VIABILITYSUMMARY","PROCESSINGMEASUREMENTSORFACTS"
1196204,20-DEC-91,"",,,"","",,"","","","Current quantity available as 1.372gm packet"
1190762,03-JUN-92,"",,,"","",,"","","","Current quantity available as 1 packet,.159gm large packet"
1232094,21-MAY-91,"",,,"","",,"","","","Current quantity available as .857gm packet"
1232164,21-MAY-91,"",,,"","",,"","","","Current quantity available as 1.793gm packet"
1196903,20-DEC-91,"",0.356,,"","",306,"","","","Current quantity available as .109gm packet"
1232295,21-MAY-91,"",,,"","",,"","","","Current quantity available as 3.26gm packet"
1190848,09-JUN-92,"",,,"","",,"","","","Current quantity available as .018gm packet"
1190882,03-JUN-92,"",,,"","",,"","","","Current quantity available as .765gm packet"
1190899,27-MAY-92,"",,,"","",,"","","","Current quantity available as 1.521gm packet"
1232610,21-MAY-91,"",,,"","",,"","","","Current quantity available as .201gm packet"
1235221,21-MAY-91,"",,,"","",,"","","","Current quantity available as 4.496gm packet,1 large packet"
1190923,27-MAY-92,"",,,"","",,"","","","Current quantity available as .486gm packet"
1190924,27-MAY-92,"",,,"","",,"","","","Current quantity available as 3.302gm packet"
1190936,15-MAY-92,"",,,"","",,"","","","Current quantity available as 6.629gm large packet"
1203676,13-DEC-91,"",1.0386,100,"","",79,"","","","Current quantity available as .082gm large packet"
1232940,15-FEB-00,"",1.0209,,"","",164,"","","","Current quantity available as .167gm packet"
1236128,21-MAY-91,"",,,"","",,"","","","Current quantity available as 6.029gm packet"
1191162,07-APR-92,"",,,"","",,"","","","Current quantity available as 8.831gm packet"
1236346,21-MAY-91,"",,,"","",,"","","","Current quantity available as 7.813gm packet"
1194988,05-FEB-92,"",,,"","",,"","","","Current quantity available as 1.349gm packet"
1251274,22-OCT-01,"",17.562,,"","",122,"","","","Current quantity available as 2.137gm packet"
1341584,,"",,,"","",,"","","","Current quantity available as 2.231gm packet"
1299156,,"",,,"","",,"","","","Current quantity available as 9.907gm packet"
1323949,,"",,,"","",,"","","","Current quantity available as 1 packet"
1299989,24-JAN-00,"",1.5071,,"","",104,"","","","Current quantity available as .1269gm packet,.0301gm packet"
1394603,16-DEC-92,"",,,"","",,"","","","Current quantity available as .932gm packet"
1306605,,"",,,"","",,"","","","Current quantity available as 1 packet"
1340407,,"",,,"","",,"","","","Current quantity available as 1.488gm packet"
1271500,,"",,,"","",,"","","","Current quantity available as 1.945gm packet"
1278199,17-OCT-90,"",,,"","",,"","","","Current quantity available as 2.798gm packet"
1275495,25-OCT-90,"",,,"","",,"","","","Current quantity available as .854gm packet"
1269326,25-OCT-90,"",,,"","",,"","","","Current quantity available as 2.391gm packet"
1275853,25-OCT-90,"",,,"","",,"","","","Current quantity available as 1.093gm packet"
1281184,06-APR-90,"",,,"","",,"","","","Current quantity available as 1 large packet,.489gm packet"
1292183,11-SEP-90,"",,,"","",,"","","","Current quantity available as .015gm packet"
1241964,21-MAY-91,"",,,"","",,"","","","Current quantity available as .266gm packet"
1269799,29-OCT-90,"",,,"","",,"","","","Current quantity available as 1.064gm packet"
1269878,29-OCT-90,"",,,"","",,"","","","Current quantity available as 1.0667gm packet"
1275925,25-OCT-90,"",,,"","",122,"","","","Current quantity available as 122ea packet"
1269901,29-OCT-90,"",,,"","",,"","","","Current quantity available as 1.642gm packet"
1270000,29-OCT-90,"",,,"","",,"","","","Current quantity available as 1.035gm packet"
1270184,29-OCT-90,"",,,"","",,"","","","Current quantity available as .345gm packet"
1289965,,"",,,"","",,"","","","Current quantity available as 4.47gm packet"
1248639,18-APR-91,"",,,"","",,"","","","Current quantity available as .395gm packet"
1248756,18-APR-91,"",,,"","",,"","","","Current quantity available as 1 packet"
1248794,18-APR-91,"",,,"","",,"","","","Current quantity available as .293gm packet"
