family,SID taxa,spauth,infraspecauth,pdadesc,pdasubgroupdesc,method,animalgp,animalspecies,dispnotes,refshort,refdesc
COMBRETACEAE,Lumnitzera littorea,(Jack) Voigt,,Water,Floating in saltwater currents,Method not stated,,,Diaspore=drupe. The diaspore is buoyant.,"(Murray, 1986)","Murray, D.R. 1986. Seed dispersal by water. In: Seed Dispersal (Ed. by D.R. Murray), pp 49-85. Academic Press, Sydney, Australia."
COMBRETACEAE,Lumnitzera racemosa,Willd.,,Water,Floating in saltwater currents,Method not stated,,,Diaspore=drupe. The diaspore is buoyant.,"(Murray, 1986)","Murray, D.R. 1986. Seed dispersal by water. In: Seed Dispersal (Ed. by D.R. Murray), pp 49-85. Academic Press, Sydney, Australia."
COMBRETACEAE,Terminalia catappa,L.,,Water,Floating in saltwater currents,Method not stated,,,Diaspore=fruit. The diaspore is buoyant.,"(Ridley, 1930)","Ridley, H.N. 1930. The Dispersal of Plants Throughout the World. William Clowes and Sons Ltd., London."
COMPOSITAE,Brachyscome ciliaris var. lanuginosa,Less.,Benth.,Wind,,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
COMPOSITAE,Calocephalus platycephalus,(F.Muell.) Benth.,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
COMPOSITAE,Calotis cuneifolia,R.Br.,,Animal,Diaspore is carried accidentally,Assumption based upon diaspore morphology,,,,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
COMPOSITAE,Calotis dentex,R.Br.,,Animal,Diaspore is carried accidentally,Assumption based upon diaspore morphology,,,,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
COMPOSITAE,Calotis hispidula,(F.Muell.) F.Muell.,,Animal,Diaspore is carried accidentally,Assumption based upon diaspore morphology,Mammals (non-bat).,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
COMPOSITAE,Calotis lappulacea,Benth.,,Animal,Diaspore is carried accidentally,Assumption based upon diaspore morphology,,,,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
COMPOSITAE,Calotis latiuscula,F.Muell. & Tate,,Animal,Diaspore is carried accidentally,Assumption based upon diaspore morphology,Mammals (non-bat).,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
COMPOSITAE,Centipeda thespidioides,F.Muell.,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
COMPOSITAE,Chrysocephalum apiculatum,(Labill.) Steetz,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
COMPOSITAE,Craspedia canens,J.Everett & Doust,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
COMPOSITAE,Craspedia variabilis,J.Everett & Doust,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
COMPOSITAE,Leptorhynchos squamatus,(Labill.) Less.,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
COMPOSITAE,Leucochrysum albicans,(A.Cunn.) Paul G.Wilson,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
COMPOSITAE,Microseris lanceolata,(Walp.) Sch.Bip.,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
COMPOSITAE,Olearia viscidula,(F.Muell.) Benth.,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
COMPOSITAE,Picris evae,Lack,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
COMPOSITAE,Pluchea dentex,R.Br. ex Benth.,,Wind,,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
COMPOSITAE,Pluchea indica,(L.) Less.,,Combination: wind+water,,Direct or experimental observation,,,The diaspore is buoyant. Diaspores are blown by wind and float in saltwater currents.,"(van der Pijl, 1982)","van der Pijl, L. 1982. Principles of Dispersal in Higher Plants. 3rd Edn. Springer-Verlag, New York."
COMPOSITAE,Podolepis jaceoides,(Sims) Voss,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
COMPOSITAE,Pterocaulon sphacelatum,(Labill.) Benth. & Hook.f. ex F.Muell.,,Wind,,Assumption based upon the ecology/distribution of the species,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
COMPOSITAE,Rhodanthe anthemoides,(Sieber ex Spreng.) Paul G.Wilson,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
COMPOSITAE,Rutidosis helichrysoides,DC.,,Wind,,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
COMPOSITAE,Senecio diaschides,D.G.Drury,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
COMPOSITAE,Senecio gregorii,F.Muell.,,Wind,,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
COMPOSITAE,Senecio magnificus,F.Muell.,,Wind,,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
COMPOSITAE,Senecio quadridentatus,Labill.,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
COMPOSITAE,Sigesbeckia orientalis,L.,,Animal,Diaspore is carried accidentally,Direct or experimental observation,,,The diaspore has a sticky surface or is covered in adhesive mucus.,"(van der Pijl, 1982)","van der Pijl, L. 1982. Principles of Dispersal in Higher Plants. 3rd Edn. Springer-Verlag, New York."
COMPOSITAE,Streptoglossa odora,(F.Muell.) Dunlop,,Wind,,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
COMPOSITAE,Triptilodiscus pygmaeus,Turcz.,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
COMPOSITAE,Vittadinia cuneata,DC.,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
COMPOSITAE,Vittadinia eremaea,N.T.Burb.,,Wind,,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
COMPOSITAE,Vittadinia muelleri,N.T.Burb.,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
COMPOSITAE,Xerochrysum bracteatum,(Vent.) Tzvelev,,Wind,,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
CONVOLVULACEAE,Convolvulus erubescens,Sims,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
CONVOLVULACEAE,Convolvulus remotus,R.Br.,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
CONVOLVULACEAE,Evolvulus alsinoides var. villosicalyx,(L.) L.,Ooststr.,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
CONVOLVULACEAE,Ipomoea tiliacea,(Willd.) Choisy,,Water?,,Assumption based upon diaspore morphology,,,,"(Foster et al., 1986)","Foster, R.B., Arce, J.B. and Wachter, T.S. 1986. Dispersal and the sequential plant communities in Amazonian Peru floodplain. In: Frugivores and Seed Dispersal (Ed. by A. Estrada and T.H. Fleming), pp.357-370. Dr W. Junk Publishers, Dordrecht."
CRASSULACEAE,Crassula sieberiana,(Schult. & Schult.f.) Druce,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,Seeds are very small (dust seeds),"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
CUNONIACEAE,Davidsonia pruriens,F.Muell.,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Birds.,cassowary,,"(van der Pijl, 1982)","van der Pijl, L. 1982. Principles of Dispersal in Higher Plants. 3rd Edn. Springer-Verlag, New York."
CUPRESSACEAE,Athrotaxis cupressoides,D.Don,,Wind,Diaspore is blown by wind,Direct or experimental observation,,,Also dispersed by water and via vegetative spread. Diaspore=seed. ,"(Gibson et al., 1995)","Gibson, N., Barker, P.C.J., Cullen, P.J. and Shapcott, A. 1995. Conifers of southern Australia. In: Ecology of the Southern Conifers (Ed. by N.J. Enright and R.S. Hill), pp. 223-251. Smithsonian Institute Press, Washington."
CUPRESSACEAE,Callitris columellaris,F.Muell.,,Wind,Diaspore is blown by wind,Method not stated,,,,"(Enright & Ogden, 1995)","Enright, N.J. and Ogden, J. 1995. The southern conifers - a synthesis. In: Ecology of the Southern Conifers (Ed. by N.J. Enright and R.S. Hill), pp. 271-287. Smithsonian Institute Press, Washington."
CUPRESSACEAE,Callitris columellaris,F.Muell.,,Wind,Diaspore is blown by wind,Method not stated,,,Also dispersed by water. ,"(Whelan, 1986)","Whelan, R.J. 1986. Seed dispersal in relation to fire. In: Seed Dispersal (Ed. by D.R. Murray), pp. 237-271. Academic Press, Australia."
CUPRESSACEAE,Callitris macleayana,(F.Muell.) F.Muell.,,Wind,Diaspore is blown by wind,Method not stated,,,,"(Enright & Ogden, 1995)","Enright, N.J. and Ogden, J. 1995. The southern conifers - a synthesis. In: Ecology of the Southern Conifers (Ed. by N.J. Enright and R.S. Hill), pp. 271-287. Smithsonian Institute Press, Washington."
CUPRESSACEAE,Callitris oblonga,Rich.,,Wind,Diaspore is blown by wind,Method not stated,,,,"(Enright & Ogden, 1995)","Enright, N.J. and Ogden, J. 1995. The southern conifers - a synthesis. In: Ecology of the Southern Conifers (Ed. by N.J. Enright and R.S. Hill), pp. 271-287. Smithsonian Institute Press, Washington."
CUPRESSACEAE,Callitris rhomboidea,R.Br. ex Rich. & A.Rich.,,Wind,Diaspore is blown by wind,Method not stated,,,,"(Enright & Ogden, 1995)","Enright, N.J. and Ogden, J. 1995. The southern conifers - a synthesis. In: Ecology of the Southern Conifers (Ed. by N.J. Enright and R.S. Hill), pp. 271-287. Smithsonian Institute Press, Washington."
CUPRESSACEAE,Diselma archeri,Hook.f.,,Wind,,Method not stated,,,"Possibly wind dispersed, but uncertain.","(Enright & Ogden, 1995)","Enright, N.J. and Ogden, J. 1995. The southern conifers - a synthesis. In: Ecology of the Southern Conifers (Ed. by N.J. Enright and R.S. Hill), pp. 271-287. Smithsonian Institute Press, Washington."
CYMODOCEACEAE,Ruppia maritima,L.,,Water,Floating in freshwater currents,Direct or experimental observation,,,"Also dispersed by wind. When washed ashore, clumps of diaspores and other organic matter may be blown along the ground surface by wind.","(Ridley, 1930)","Ridley, H.N. 1930. The Dispersal of Plants Throughout the World. William Clowes and Sons Ltd., London."
CYPERACEAE,Baumea acuta,Palla,,,,,,,diaspore=entire fruit. The seed has persistent perianth segments (wind dispersal?).,"(RBG Kew, Wakehurst Place)","RBG Kew, Wakehurst Place."
CYPERACEAE,Cyperus odoratus,L.,,Water?,,Assumption based upon diaspore morphology,,,,"(Foster et al., 1986)","Foster, R.B., Arce, J.B. and Wachter, T.S. 1986. Dispersal and the sequential plant communities in Amazonian Peru floodplain. In: Frugivores and Seed Dispersal (Ed. by A. Estrada and T.H. Fleming), pp.357-370. Dr W. Junk Publishers, Dordrecht."
CYPERACEAE,Fimbristylis dichotoma,(L.) Vahl,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
CYPERACEAE,Gahnia aspera,Spreng.,,Animal,Diaspore is eaten intentionally,Method not stated,,,Diaspore=fruit. The fruit is fleshy/juicy.,"(Kozlowski, 1972)","Kozlowski, T.T. 1972. Seed Biology. Volume 1: Importance, Development and Germination. Academic Press, London."
DILLENIACEAE,Hibbertia obtusifolia,DC.,,Animal,Diaspore is carried intentionally,Direct or experimental observation,Ants.,Iridomyrmex sp.,Diaspore=seed.,"(Berg, 1975)","Berg, R.Y. 1975. Myrmechorous plants in Australia and their dispersal by ants. Australian Journal of Botany, 23:475-508."
DROSERACEAE,Aldrovanda vesiculosa,L.,,Animal,Diaspore is carried accidentally,Assumption based upon the ecology/distribution of the species,Birds.,,,"(Cook, 1987)","Cook, C.D.K. 1987. Dispersion in aquatic and amphibious vascular plants. In: Plant Life in Aquatic Habitats (Ed. by R.M.M. Crawford), pp. 179-190. Special Publication no 5, British Ecological Society. Blackwell Scientific Publications, Oxford."
DROSERACEAE,Drosera peltata,Sm. ex Willd.,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,Seeds are very small (dust seeds),"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
ELAEOCARPACEAE,Elaeocarpus grandis,F.Muell.,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Birds.,cassowary,,"(van der Pijl, 1982)","van der Pijl, L. 1982. Principles of Dispersal in Higher Plants. 3rd Edn. Springer-Verlag, New York."
ELAEOCARPACEAE,Elaeocarpus reticulatus,Ridl.,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Birds.,,The fruit is fleshy/juicy.,"(O'Dowd & Gill, 1986)","O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London."
ELAEOCARPACEAE,Tetratheca pilosa,Labill.,,Animal,Diaspore is carried intentionally,Direct or experimental observation,Ants.,,Diaspore=seed. The seed has an elaiosome.,"(O'Dowd & Gill, 1986)","O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London."
ERICACEAE,Brachyloma daphnoides,(Sm.) Benth.,,Animal,Diaspore is carried intentionally,Direct or experimental observation,Ants.,"Rhytidoponera tasmaniensis, Iridomyrmex purpureus",Diaspore=drupe.,"(Berg, 1975)","Berg, R.Y. 1975. Myrmechorous plants in Australia and their dispersal by ants. Australian Journal of Botany, 23:475-508."
ERICACEAE,Epacris microphylla,R.Br.,,Wind,,Method not stated,,,,"(Ridley, 1930)","Ridley, H.N. 1930. The Dispersal of Plants Throughout the World. William Clowes and Sons Ltd., London."
ERICACEAE,Epacris purpurascens,S.Watson,,Wind,,Method not stated,,,,"(Ridley, 1930)","Ridley, H.N. 1930. The Dispersal of Plants Throughout the World. William Clowes and Sons Ltd., London."
ERICACEAE,Leucopogon fraseri,A.Cunn.,,Animal,Diaspore is eaten intentionally,Assumption based upon diaspore morphology,,,Diaspore=fruit. Fruit is fleshy,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
ERICACEAE,Lissanthe strigosa,(Sm.) R.Br.,,Animal,Diaspore is eaten intentionally,Assumption based upon diaspore morphology,,,Diaspore=fruit. Fruit is fleshy,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
ERICACEAE,Melichrus urceolatus,R.Br.,,Animal,Diaspore is eaten intentionally,Assumption based upon diaspore morphology,,,Diaspore=fruit. Fruit is fleshy,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
ERICACEAE,Monotoca scoparia,(Sm.) R.Br.,,Animal,Diaspore is carried intentionally,Direct or experimental observation,Ants.,Iridomyrmex sp.,Diaspore=drupe.,"(Berg, 1975)","Berg, R.Y. 1975. Myrmechorous plants in Australia and their dispersal by ants. Australian Journal of Botany, 23:475-508."
ERICACEAE,Monotoca scoparia,(Sm.) R.Br.,,Animal,Diaspore is eaten intentionally,Assumption based upon diaspore morphology,,,Diaspore=fruit. Fruit is fleshy,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
EUPHORBIACEAE,Beyeria viscosa,(Labill.) Miq.,,Animal,Diaspore is carried intentionally,Direct or experimental observation,Ants.,"Melophorus sp., Pheidole sp.",,"(Berg, 1975)","Berg, R.Y. 1975. Myrmechorous plants in Australia and their dispersal by ants. Australian Journal of Botany, 23:475-508."
EUPHORBIACEAE,Euphorbia boophthona,C.A.Gardner,,Animal,Diaspore is carried intentionally,Assumption based upon diaspore morphology,Ants.,,Diaspore=seed. The seed has an elaiosome.,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
EUPHORBIACEAE,Euphorbia drummondii,Boiss.,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
EUPHORBIACEAE,Euphorbia parvicaruncula,D.C.Hassall,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
EUPHORBIACEAE,Excoecaria agallocha,L.,,Water,Floating in saltwater currents,Method not stated,,,Diaspore=capsule. The diaspore is buoyant.,"(Murray, 1986)","Murray, D.R. 1986. Seed dispersal by water. In: Seed Dispersal (Ed. by D.R. Murray), pp 49-85. Academic Press, Sydney, Australia."
EUPHORBIACEAE,Macaranga tanarius,(L.) F.Muell.,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Birds.,,Diaspore=fruit. Fruit is fleshy.,"(Corlett, 1996)","Corlett, R.T. 1996. Characteristics of vertebrate-dispersed fruits in Hong Kong. Journal of Tropical Ecology, 12:819-833."
EUPHORBIACEAE,Mallotus paniculatus,(Lam.) Müll.-Arg.,,Animal,Diaspore is eaten intentionally,Direct or experimental observation,Birds.,,Diaspore=fruit. Fruit is fleshy.,"(Corlett, 1996)","Corlett, R.T. 1996. Characteristics of vertebrate-dispersed fruits in Hong Kong. Journal of Tropical Ecology, 12:819-833."
EUPHORBIACEAE,Mallotus repandus,(Willd.) Müll.Arg.,,Animal,,Method not stated,,,,"(Thapliyal & Phartyal, 2005)","Thapliyal, R.C. & Phartyal, S.S. 2005. Dispersal and germination syndromes of tree seeds in a monsoonal forest in northern India. Seed Science Research, 15(1):29-42."
GENTIANACEAE,Sebaea ovata,(Labill.) R.Br.,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,Seeds are very small (dust seeds),"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
GERANIACEAE,Erodium crinitum,Carolin,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
GOODENIACEAE,Goodenia fascicularis,F.Muell. & Tate,,Wind,,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
GOODENIACEAE,Goodenia hederacea,Sm.,,Animal,Diaspore is carried intentionally,Direct or experimental observation,Ants.,Iridomyrmex sp.,Diaspore=seed.,"(Berg, 1975)","Berg, R.Y. 1975. Myrmechorous plants in Australia and their dispersal by ants. Australian Journal of Botany, 23:475-508."
GOODENIACEAE,Goodenia heterochila,F.Muell.,,Wind,,Assumption based upon the ecology/distribution of the species,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
GOODENIACEAE,Goodenia lunata,J.M.Black,,Wind,,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
HYDROCHARITACEAE,Najas marina,L.,,Animal,Diaspore is eaten intentionally,Experimental evidence,Fish.,Tilapia and grass-carps,,"(Agami, & Waisel, 1988)","Agami, M. & Waisel, Y. 1988. The role of fish in distribution and germination of seeds of the submerged macrophytes Najas marina L. and Ruppia maritima L. Oecologia, 76(1):83-88."
HYPERICACEAE,Hypericum gramineum,G.Forst.,,Unassisted,Seeds drop to the ground close to or beneath the parent plant,Assumption based upon diaspore morphology,,,,"(Jurado et al., 1991)","Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830."
HYPERICACEAE,Hypericum gramineum,G.Forst.,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,Seeds are very small (dust seeds),"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
HYPERICACEAE,Hypericum japonicum,Thunb.,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,Seeds are very small (dust seeds),"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
JUNCACEAE,Juncus australis,Hook.f.,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,,"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
JUNCACEAE,Juncus bufonius,L.,,Wind,Diaspore is blown by wind,Assumption based upon diaspore morphology,,,Seeds are very small (dust seeds),"(McIntyre et al., 1995)","McIntyre, S., Lavorel, S. and Tremont, R.M. 1995. Plant life-history attributes: their relationship to disturbance response in herbaceous vegetation. Journal of Ecology, 83:31-44."
