Species,Date,Day,Temp,CO2,Water,Potnum,Photo (umol m-2 s-1),Cond (mol m-2 s-1),Ci (umol mol-1),Trmmol (mmol m-2 s-1),VpdL (kPa),CiCa,Rdark (umol m-2 s-1)
C. rhomboidea,8/05/2012,44,Elv,400,Dry,458,0.333738132,0.003118813,212.9716323,0.094402135,2.972227653,0.533457386,0.367610407
C. rhomboidea,8/05/2012,44,Elv,400,Dry,452,0.406185587,0.004313524,233.2823149,0.1351706,3.07923214,0.582823667,
C. rhomboidea,8/05/2012,44,Elv,400,Dry,442,2.374620076,0.018933105,181.5505559,0.531453656,2.777007334,0.457712106,0.528590167
C. rhomboidea,8/05/2012,44,Amb,400,Wet,545,9.841641587,0.183615944,284.7528739,2.449489792,1.416728156,0.742068736,0.990801566
C. rhomboidea,8/05/2012,44,Amb,400,Wet,559,9.995232673,0.163217689,273.2623936,2.482398184,1.598335142,0.708982914,1.203581651
C. rhomboidea,8/05/2012,44,Amb,400,Wet,544,9.032635059,0.108350843,239.7772064,1.784684987,1.693206744,0.619752343,
C. rhomboidea,8/05/2012,44,Amb,400,Wet,546,9.285205637,0.100532648,222.5769928,2.076064096,2.120532925,0.576508866,0.832024668
C. rhomboidea,8/05/2012,44,Amb,640,Wet,649,12.66330232,0.118274959,426.0789389,1.986668264,1.734946671,0.688055427,1.54519465
C. rhomboidea,8/05/2012,44,Amb,640,Wet,647,13.38475645,0.114095709,411.4337375,1.87961758,1.701286398,0.662609396,0.754730212
C. rhomboidea,8/05/2012,44,Amb,640,Wet,646,15.02185337,0.156037291,440.2489364,2.611037767,1.75408686,0.712600187,1.317381095
C. rhomboidea,8/05/2012,44,Amb,640,Wet,656,14.11946661,0.158556247,450.8116683,2.908805697,1.921248285,0.729561782,
C. rhomboidea,8/05/2012,44,Elv,640,Wet,343,6.65056848,0.055051437,413.034395,1.280863376,2.32688448,0.655699373,0.966223935
C. rhomboidea,8/05/2012,44,Elv,640,Wet,355,7.548018912,0.051169924,367.1149909,1.299195545,2.536236507,0.584562292,1.068811918
C. rhomboidea,8/05/2012,44,Elv,640,Wet,346,8.585390389,0.075522716,420.1179461,1.697303975,2.270410809,0.670856807,1.257199399
C. rhomboidea,8/05/2012,44,Elv,640,Wet,356,8.639424551,0.083779546,433.9243446,2.175377159,2.628297549,0.691937085,
C. rhomboidea,8/05/2012,44,Elv,400,Wet,446,6.165264069,0.091816847,264.3117829,2.358284681,2.608555172,0.679233256,1.263075076
C. rhomboidea,8/05/2012,44,Elv,400,Wet,454,7.006039786,0.088954479,245.0207284,2.289283479,2.610675806,0.630697576,1.23213199
C. rhomboidea,8/05/2012,44,Elv,400,Wet,457,5.970757972,0.109207668,286.244124,2.637688971,2.468262985,0.732610193,1.022504322
C. rhomboidea,8/05/2012,44,Elv,400,Wet,441,5.172467767,0.061585296,240.5741767,1.708130902,2.784191342,0.613306049,
C. rhomboidea,15/05/2012,51,Amb,400,Dry,542,3.17505859,0.021028044,139.2248728,0.57929158,2.763826805,0.35293651,0.611384838
C. rhomboidea,15/05/2012,51,Amb,400,Dry,543,5.101032888,0.041436543,181.042219,1.044532141,2.545856596,0.461065964,0.662900346
C. rhomboidea,15/05/2012,51,Amb,400,Dry,549,2.29799055,0.016061198,156.5487344,0.353699019,2.195551863,0.394747484,0.360493228
C. rhomboidea,15/05/2012,51,Amb,400,Dry,541,2.315267424,0.015615844,148.1410926,0.35009115,2.231456225,0.373614931,
C. rhomboidea,15/05/2012,51,Amb,640,Dry,660,2.706167033,0.008614685,120.456086,0.159009269,1.834150909,0.189436777,0.302400675
C. rhomboidea,15/05/2012,51,Amb,640,Dry,652,3.774416482,0.015114533,217.6653006,0.338035453,2.227635128,0.342938536,0.051828583
C. rhomboidea,15/05/2012,51,Amb,640,Dry,654,2.849741562,0.011777181,233.2784874,0.227716744,1.926555285,0.367044861,0.382568207
C. rhomboidea,15/05/2012,51,Amb,640,Dry,658,8.135041624,0.032429486,207.7099388,0.648933072,2.004521879,0.331149644,
C. rhomboidea,15/05/2012,51,Elv,640,Dry,351,3.090486395,0.008712372,53.04178403,0.186645707,2.114559259,0.083616925,0.345044045
C. rhomboidea,15/05/2012,51,Elv,640,Dry,347,3.135721802,0.01173255,189.4514618,0.303650176,2.559851064,0.297866176,0.35014593
C. rhomboidea,15/05/2012,51,Elv,640,Dry,342,1.571136771,0.006540736,234.6301742,0.171193715,2.584500386,0.367649701,0.273718394
C. rhomboidea,15/05/2012,51,Elv,640,Dry,348,3.061401714,0.012131177,210.8704695,0.335634442,2.731728424,0.331973578,
C. rhomboidea,15/05/2012,51,Elv,400,Dry,455,1.114208396,0.007259154,139.9321428,0.18109783,2.462503001,0.352305162,0.315810883
C. rhomboidea,15/05/2012,51,Elv,400,Dry,458,-0.012433118,0.00220645,394.4615979,0.060081837,2.679952164,0.987850818,0.314387196
C. rhomboidea,15/05/2012,51,Elv,400,Dry,452,0.080324687,0.002812849,339.0869017,0.075993791,2.667411334,0.845912959,
C. rhomboidea,15/05/2012,51,Elv,400,Dry,442,1.397958137,0.009887282,158.7299091,0.262447435,2.615189514,0.399227849,0.419320404
C. rhomboidea,15/05/2012,51,Amb,400,Wet,546,7.61373342,0.090450353,237.2756731,2.061450348,2.346180282,0.611420782,1.085020729
C. rhomboidea,15/05/2012,51,Amb,400,Wet,545,6.96815548,0.0940914,256.3483677,1.832819354,2.011542034,0.658630491,0.852119272
C. rhomboidea,15/05/2012,51,Amb,400,Wet,544,8.257905724,0.084088368,217.3166835,1.441637538,1.758519175,0.560521424,
C. rhomboidea,15/05/2012,51,Amb,400,Wet,559,9.92885335,0.151377112,265.0858573,2.516362181,1.747505625,0.688883518,0.877095696
C. rhomboidea,15/05/2012,51,Amb,640,Wet,649,13.98075024,0.121548947,411.620177,1.950679701,1.665705712,0.666681009,1.382936329
C. rhomboidea,15/05/2012,51,Amb,640,Wet,647,14.86664511,0.110564393,378.8183189,2.01732437,1.888771889,0.613413929,0.833064804
C. rhomboidea,15/05/2012,51,Amb,640,Wet,646,16.57701925,0.170930217,434.907574,2.799952816,1.733569662,0.708177627,0.970597337
C. rhomboidea,15/05/2012,51,Amb,640,Wet,656,11.96422646,0.139512887,464.8279213,1.837012823,1.379690565,0.748668897,
C. rhomboidea,15/05/2012,51,Elv,640,Wet,343,7.393141473,0.06654164,428.5813054,1.338331043,2.032212491,0.682483899,0.839188215
C. rhomboidea,15/05/2012,51,Elv,640,Wet,355,7.487655591,0.062819823,414.9055823,1.393996552,2.239154565,0.659805354,1.130113879
C. rhomboidea,15/05/2012,51,Elv,640,Wet,346,11.78090569,0.09872452,404.780511,2.296072752,2.380062331,0.650549211,1.341061767
C. rhomboidea,15/05/2012,51,Elv,640,Wet,356,9.011200925,0.073021379,401.9227788,1.822545874,2.524957359,0.642497403,
C. rhomboidea,15/05/2012,51,Elv,400,Wet,446,5.511827339,0.084928343,272.6201206,1.764881308,2.11573572,0.697286374,1.228826942
C. rhomboidea,15/05/2012,51,Elv,400,Wet,454,6.303521648,0.092791505,268.9763857,1.678054309,1.853292683,0.687687802,1.024189875
C. rhomboidea,15/05/2012,51,Elv,400,Wet,457,5.506107307,0.088013362,274.3259876,2.04727923,2.371416226,0.702823307,
C. rhomboidea,15/05/2012,51,Elv,400,Wet,441,6.383537787,0.114512816,285.9357339,2.366644625,2.123331801,0.732411756,1.051611049
C. rhomboidea,21/05/2012,57,Amb,400,Dry,542,2.224916389,0.015238378,153.7893374,0.317016473,2.075756219,0.386494303,
C. rhomboidea,21/05/2012,57,Amb,400,Dry,543,4.753666313,0.036123681,171.5951099,0.720736223,2.010781731,0.435517807,0.541849101
C. rhomboidea,21/05/2012,57,Amb,400,Dry,549,1.505826403,0.010293784,152.4002569,0.235096109,2.273777536,0.383486367,0.528023272
C. rhomboidea,21/05/2012,57,Amb,400,Dry,541,2.285144526,0.015342201,146.216134,0.375499004,2.435423412,0.368749078,
C. rhomboidea,21/05/2012,57,Amb,640,Dry,660,1.779338865,0.008359068,281.38692,0.165005544,1.960492885,0.441367167,0.409986716
C. rhomboidea,21/05/2012,57,Amb,640,Dry,652,1.468289842,0.005852199,221.0038723,0.123047819,2.08338157,0.346529437,0.317310236
C. rhomboidea,21/05/2012,57,Amb,640,Dry,654,2.878760221,0.012548599,254.0249904,0.221403158,1.759486522,0.39982996,0.379133413
C. rhomboidea,21/05/2012,57,Amb,640,Dry,658,7.632913491,0.028454126,180.624101,0.64307008,2.261108953,0.287173798,
C. rhomboidea,21/05/2012,57,Elv,640,Dry,351,0.354285071,0.002078824,346.5613737,0.052012101,2.462079489,0.542147493,0.298267264
C. rhomboidea,21/05/2012,57,Elv,640,Dry,347,0.758729793,0.003039768,217.3013925,0.086580591,2.803755591,0.340977706,
C. rhomboidea,21/05/2012,57,Elv,640,Dry,342,0.67729186,0.003588419,312.045028,0.10690284,2.932897083,0.489681461,
C. rhomboidea,21/05/2012,57,Elv,640,Dry,348,2.687859642,0.008998738,140.6554759,0.222575669,2.436201888,0.221325432,
C. rhomboidea,21/05/2012,57,Elv,400,Dry,455,0.31315545,0.002889994,213.5364007,0.066208316,2.253873477,0.535181721,0.384786748
C. rhomboidea,21/05/2012,57,Elv,400,Dry,458,-0.04840977,0.002221111,420.1844036,0.055111699,2.444269994,1.046919833,0.319195806
C. rhomboidea,21/05/2012,57,Elv,400,Dry,452,0.091813518,0.003673327,345.9974444,0.084315674,2.266596591,0.865567102,0.318511668
C. rhomboidea,21/05/2012,57,Elv,400,Dry,442,1.552857824,0.010329169,145.5862931,0.260529461,2.486447858,0.365774983,
C. rhomboidea,21/05/2012,57,Amb,400,Wet,546,7.818092962,0.119353826,267.2247874,2.230562053,1.941373925,0.691067187,1.323780143
C. rhomboidea,21/05/2012,57,Amb,400,Wet,545,8.548713942,0.144201751,278.0590686,2.54507595,1.853415829,0.717250973,1.136754671
C. rhomboidea,21/05/2012,57,Amb,400,Wet,544,12.14799018,0.14940819,235.7278668,2.423881448,1.707902127,0.618408207,
C. rhomboidea,21/05/2012,57,Amb,400,Wet,559,8.875707328,0.130983751,262.5156628,2.480035639,1.974818915,0.679588869,1.343155953
C. rhomboidea,21/05/2012,57,Amb,640,Wet,649,10.90900507,0.116076538,450.0210984,2.074216862,1.856285039,0.722828083,0.775182493
C. rhomboidea,21/05/2012,57,Amb,640,Wet,647,13.61901977,0.130085795,428.5440591,2.190672559,1.759532833,0.692781004,0.710222862
C. rhomboidea,21/05/2012,57,Amb,640,Wet,646,12.41775359,0.138977721,455.0962809,2.282617446,1.718259471,0.734062779,0.741599922
C. rhomboidea,21/05/2012,57,Amb,640,Wet,656,11.60612972,0.141634412,469.3672541,2.267028022,1.677541391,0.754878034,
C. rhomboidea,21/05/2012,57,Elv,640,Wet,343,5.673454653,0.051973966,432.497023,1.195232384,2.317140547,0.686167051,0.674155105
C. rhomboidea,21/05/2012,57,Elv,640,Wet,355,5.551703293,0.0469757,415.972048,1.190455675,2.544012518,0.660488399,
C. rhomboidea,21/05/2012,57,Elv,640,Wet,346,8.868541652,0.079412484,425.1628795,1.753971516,2.248190288,0.676940166,
C. rhomboidea,21/05/2012,57,Elv,640,Wet,356,10.46316557,0.11107262,447.9414202,2.284415266,2.113425786,0.718485642,
C. rhomboidea,21/05/2012,57,Elv,400,Wet,446,6.667800818,0.111867633,280.7721511,1.841907379,1.695751957,0.72155748,1.473128823
C. rhomboidea,21/05/2012,57,Elv,400,Wet,454,6.881189048,0.093772432,257.6263428,2.014949031,2.192906534,0.659772388,1.339139415
C. rhomboidea,21/05/2012,57,Elv,400,Wet,457,4.639157499,0.090765602,295.9767816,1.969739158,2.216294838,0.753607128,0.931787621
C. rhomboidea,21/05/2012,57,Elv,400,Wet,441,5.334923869,0.081466912,272.2108713,1.765814065,2.198161767,0.694624178,
C. rhomboidea,29/05/2012,65,Amb,400,Dry,542,1.502740534,0.00958774,138.2086417,0.1713907,1.791229927,0.347647459,0.403222779
C. rhomboidea,29/05/2012,65,Amb,400,Dry,543,3.116290015,0.024622255,181.1187641,0.495711948,2.026588941,0.458808261,0.274368042
C. rhomboidea,29/05/2012,65,Amb,400,Dry,549,1.03634447,0.008881819,203.0710333,0.16134905,1.821844361,0.508775161,0.38902662
C. rhomboidea,29/05/2012,65,Amb,400,Dry,541,2.691371926,0.021767837,188.5278142,0.388820615,1.798299849,0.475701386,
C. rhomboidea,29/05/2012,65,Amb,640,Dry,660,1.565177643,0.007242531,277.1242656,0.135925701,1.88229262,0.434528926,0.313184203
C. rhomboidea,29/05/2012,65,Amb,640,Dry,652,1.669081456,0.005108984,103.3982254,0.08586215,1.681266688,0.162311145,0.325265775
C. rhomboidea,29/05/2012,65,Amb,640,Dry,654,1.000535135,0.006833381,389.04217,0.130739853,1.91846375,0.608199283,0.315940263
C. rhomboidea,29/05/2012,65,Amb,640,Dry,658,6.0529109,0.025321694,232.0616313,0.450734148,1.797248744,0.36813251,
C. rhomboidea,29/05/2012,65,Elv,640,Dry,351,0.14587669,0.001121653,413.870769,0.022141476,1.962024434,0.646957546,0.264522689
C. rhomboidea,29/05/2012,65,Elv,640,Dry,347,0.547027232,0.002634647,292.3236711,0.050518773,1.904190178,0.457266329,0.252908203
C. rhomboidea,29/05/2012,65,Elv,640,Dry,342,0.259765774,0.001970254,410.1350459,0.041045662,2.066675672,0.640866018,0.229116157
C. rhomboidea,29/05/2012,65,Elv,640,Dry,348,0.578944271,0.000666419,-760.7609139,0.015506225,2.299330399,-1.190923722,
C. rhomboidea,29/05/2012,65,Elv,400,Dry,455,0.047708635,0.001587524,343.0161288,0.034006132,2.131626972,0.857221073,0.150822481
C. rhomboidea,29/05/2012,65,Elv,400,Dry,458,0.000196869,0.001261118,386.2630422,0.029402801,2.313077798,0.964111165,0.299196185
C. rhomboidea,29/05/2012,65,Elv,400,Dry,452,0,0,456.4344712,0.027957511,2.155187329,1.141593763,0.281615988
C. rhomboidea,29/05/2012,65,Elv,400,Dry,442,0.426082507,0.003603312,198.5331583,0.082499485,2.271262915,0.497726252,
C. rhomboidea,29/05/2012,65,Amb,400,Wet,546,10.22390849,0.171004799,275.4783032,2.233778514,1.39493628,0.716855331,1.061949977
C. rhomboidea,29/05/2012,65,Amb,400,Wet,545,9.768288972,0.204194219,296.6644112,2.30634117,1.223916358,0.769774244,0.768229185
C. rhomboidea,29/05/2012,65,Amb,400,Wet,544,6.82070151,0.072064107,226.208381,1.180376722,1.683975929,0.580292639,
C. rhomboidea,29/05/2012,65,Amb,400,Wet,560,6.72109397,0.071998142,229.6755727,1.114895747,1.591344879,0.587772949,0.804815354
C. rhomboidea,29/05/2012,65,Amb,640,Wet,641,8.856264581,0.072459335,411.9218609,1.189407544,1.689373791,0.657472636,0.927929883
C. rhomboidea,29/05/2012,65,Amb,640,Wet,647,17.35179176,0.168196683,425.5689077,2.411544758,1.527956581,0.694054247,0.870811845
C. rhomboidea,29/05/2012,65,Amb,640,Wet,655,12.88927691,0.132425061,443.2893274,1.956758785,1.556990064,0.715520815,0.856405788
C. rhomboidea,29/05/2012,65,Amb,640,Wet,656,11.8034587,0.110962434,431.9245527,1.724310739,1.623053708,0.693871417,
C. rhomboidea,29/05/2012,65,Elv,640,Wet,343,4.362058972,0.04344855,453.9838962,0.80663891,1.876974692,0.716618931,0.615302038
C. rhomboidea,29/05/2012,65,Elv,640,Wet,355,5.442529979,0.038024957,384.1126632,0.740234146,1.959549178,0.607512432,0.865179835
C. rhomboidea,29/05/2012,65,Elv,640,Wet,356,10.14139669,0.096531681,436.3943638,1.598997259,1.707805794,0.698430804,1.03513019
C. rhomboidea,29/05/2012,65,Elv,400,Wet,446,6.942818894,0.109307289,274.631894,1.87840806,1.785385013,0.704710321,1.347951969
C. rhomboidea,29/05/2012,65,Elv,400,Wet,454,6.262321006,0.09645819,273.0053204,1.789445536,1.911487108,0.69885941,1.004166385
C. rhomboidea,29/05/2012,65,Elv,400,Wet,441,4.617533591,0.055585239,245.8500414,1.187988102,2.16393589,0.626325293,0.721814109
C. rhomboidea,5/06/2012,72,Amb,400,Dry,542,0.258440081,0.003394484,266.3055563,0.06785445,1.940041603,0.66754745,0.389474758
C. rhomboidea,5/06/2012,72,Amb,400,Dry,543,1.610631513,0.013239087,192.5706985,0.273917113,2.017181695,0.483891276,0.33968081
C. rhomboidea,5/06/2012,72,Amb,400,Dry,549,0.098295504,0.00280211,332.1710395,0.057563099,1.992505909,0.829172871,0.301237088
C. rhomboidea,5/06/2012,72,Amb,400,Dry,541,1.078457221,0.009339709,205.3436636,0.164094337,1.712805736,0.514417747,
C. rhomboidea,5/06/2012,72,Amb,640,Dry,660,0.252443624,0.002803083,474.6078791,0.064189835,2.221197668,0.742344323,0.358747046
C. rhomboidea,5/06/2012,72,Amb,640,Dry,652,0.168751123,0.003470414,540.3902444,0.079585995,2.222697578,0.844212889,0.33527176
C. rhomboidea,5/06/2012,72,Amb,640,Dry,654,0.032478139,0.002685352,599.2647486,0.055489067,2.005245573,0.937433207,0.255932234
C. rhomboidea,5/06/2012,72,Amb,640,Dry,658,3.77007209,0.014651188,209.5177688,0.258916478,1.727490358,0.329745054,
C. rhomboidea,5/06/2012,72,Elv,640,Dry,351,0,0.000544486,927.4966046,0.011119307,1.963798235,1.447914734,0.267371562
C. rhomboidea,5/06/2012,72,Elv,640,Dry,347,0.14385057,0.001477624,461.4697573,0.033086426,2.155505433,0.721179755,0.239367337
C. rhomboidea,5/06/2012,72,Elv,640,Dry,342,0,0.000965706,1291.206616,0.023058145,2.293373225,2.007559248,
C. rhomboidea,5/06/2012,72,Elv,640,Dry,348,0.214801194,-0.000155985,2836.605792,-0.003697736,2.27658294,4.437683035,0.275101809
C. rhomboidea,5/06/2012,72,Elv,400,Dry,442,0.215361245,0.002351684,239.0841713,0.06054225,2.477501113,0.599728043,0.199944719
C. rhomboidea,5/06/2012,72,Elv,400,Dry,455,0,0,,,,,0.27921665
C. rhomboidea,5/06/2012,72,Elv,400,Dry,458,0,0,,,,,0.264846921
C. rhomboidea,5/06/2012,72,Amb,400,Wet,546,7.005366982,0.097943206,260.746399,1.811437094,1.862917226,0.670066515,0.600673389
C. rhomboidea,5/06/2012,72,Amb,400,Wet,545,8.497962087,0.152736667,284.6767178,2.468185359,1.662360981,0.734246399,0.77552861
C. rhomboidea,5/06/2012,72,Amb,400,Wet,544,8.605859981,0.10510361,242.9400298,1.647562352,1.585018744,0.627662713,0.646693083
C. rhomboidea,5/06/2012,72,Amb,640,Wet,641,8.459719124,0.06032623,381.4648523,1.137259867,1.870642322,0.609185548,1.008954105
C. rhomboidea,5/06/2012,72,Amb,640,Wet,647,14.37832803,0.122147577,407.058098,2.10274059,1.750372964,0.658308103,0.551537279
C. rhomboidea,5/06/2012,72,Amb,640,Wet,655,14.15992632,0.164377222,458.3287353,2.403484376,1.513656276,0.742160268,0.831904335
C. rhomboidea,5/06/2012,72,Amb,640,Wet,656,11.5651703,0.115280179,442.000985,1.878361155,1.656557188,0.708815453,
C. rhomboidea,5/06/2012,72,Elv,640,Wet,343,4.413461863,0.052156815,477.5404424,1.016425065,1.912770265,0.754305135,0.789673393
C. rhomboidea,5/06/2012,72,Elv,640,Wet,355,4.632151836,0.046338509,451.788297,0.962439319,2.035256342,0.71406809,0.943981924
C. rhomboidea,5/06/2012,72,Elv,640,Wet,356,8.914699804,0.100849423,461.8861909,1.963297237,1.950633393,0.737580132,0.936671613
C. rhomboidea,5/06/2012,72,Elv,400,Wet,446,5.243598511,0.050812491,211.7934574,1.148195196,2.218101161,0.541682321,1.084998295
C. rhomboidea,5/06/2012,72,Elv,400,Wet,454,5.694047587,0.072507607,250.8288941,1.45490088,1.990989516,0.642681802,0.980054712
C. rhomboidea,5/06/2012,72,Elv,400,Wet,441,4.349710459,0.063354832,267.7304025,1.404591938,2.186790012,0.682936005,0.586513702
C. rhomboidea,12/06/2012,79,Amb,400,Dry,542,0,0.003314035,419.0529854,0.070638484,2.109767255,1.045078785,0.313445687
C. rhomboidea,12/06/2012,79,Amb,400,Dry,543,1.670926336,0.01455898,203.2228145,0.295611318,2.01797146,0.511096623,0.288170329
C. rhomboidea,12/06/2012,79,Amb,400,Dry,549,0,0.004112073,395.8863023,0.077640298,1.870151817,0.987079297,0.306612667
C. rhomboidea,12/06/2012,79,Amb,400,Dry,541,0.583727359,0.005421504,216.2010748,0.110446387,2.013961885,0.541950214,
C. rhomboidea,12/06/2012,79,Amb,640,Dry,660,0.093233411,0.00363351,577.5058165,0.077304536,2.106347857,0.903249462,0.219808841
C. rhomboidea,12/06/2012,79,Amb,640,Dry,652,0.017679525,0.003811777,612.080712,0.077341667,2.005551842,0.956611665,0.334292792
C. rhomboidea,12/06/2012,79,Amb,640,Dry,654,0,0.002982234,643.2578126,0.066042222,2.186357924,1.004982307,0.322268114
C. rhomboidea,12/06/2012,79,Amb,640,Dry,658,1.951792602,0.008011814,234.1357167,0.139011562,1.720182613,0.36743012,
C. rhomboidea,12/06/2012,79,Elv,640,Dry,347,0,0.001025509,691.0150993,0.02434866,2.334755826,1.079300454,0.203104287
C. rhomboidea,12/06/2012,79,Elv,640,Dry,348,0.088774358,,1040.467299,-0.008054181,2.501959283,1.627422803,0.297129949
C. rhomboidea,12/06/2012,79,Elv,640,Dry,351,0,0,,,,,0.203606303
C. rhomboidea,12/06/2012,79,Elv,400,Dry,442,0.024793917,0.001472056,360.2277825,0.03107226,2.073725775,0.899773373,0.183767592
C. rhomboidea,12/06/2012,79,Elv,400,Dry,455,0,0,,,,,0.204778257
C. rhomboidea,12/06/2012,79,Elv,400,Dry,458,0,0,,,,,0.188929559
C. rhomboidea,12/06/2012,79,Amb,400,Wet,546,8.347422698,0.096992101,236.3120314,1.632520098,1.730424381,0.60989129,0.788766559
C. rhomboidea,12/06/2012,79,Amb,400,Wet,545,10.23287634,0.163271732,270.6578383,2.528951009,1.631538003,0.702317678,0.770068092
C. rhomboidea,12/06/2012,79,Amb,400,Wet,544,7.474357633,0.069898126,203.6354543,1.345872737,1.955093406,0.524376346,0.844990541
C. rhomboidea,12/06/2012,79,Amb,400,Wet,560,7.97029117,0.084153602,223.1627562,1.490498862,1.808455792,0.574897322,
C. rhomboidea,12/06/2012,79,Amb,640,Wet,641,9.823628957,0.059005415,337.5503279,1.140199376,1.956276083,0.54031881,0.257936185
C. rhomboidea,12/06/2012,79,Amb,640,Wet,647,13.31386664,0.129652271,433.5411126,2.056048296,1.649713263,0.699917284,0.474444381
C. rhomboidea,12/06/2012,79,Amb,640,Wet,655,13.08495652,0.152433867,460.5843139,2.404478003,1.652893009,0.743150262,0.875314498
C. rhomboidea,12/06/2012,79,Amb,640,Wet,656,10.267848,0.118190529,464.2728642,1.959490394,1.714427061,0.743814283,
C. rhomboidea,12/06/2012,79,Elv,640,Wet,343,5.091755967,0.045472193,432.7872801,0.917839533,2.022090057,0.684428568,0.79018231
C. rhomboidea,12/06/2012,79,Elv,640,Wet,355,5.648631142,0.031077706,321.5353798,0.651805708,2.085552365,0.508959083,0.65760373
C. rhomboidea,12/06/2012,79,Elv,640,Wet,356,,,,,,,1.291193473
C. rhomboidea,12/06/2012,79,Elv,400,Wet,446,5.68523019,0.05989697,226.3522556,1.124924779,1.888436847,0.579001814,0.800479032
C. rhomboidea,12/06/2012,79,Elv,400,Wet,454,5.64133469,0.066601886,240.8342537,1.249511138,1.92108536,0.614127168,0.701094313
C. rhomboidea,12/06/2012,79,Elv,400,Wet,441,4.997978228,0.067763374,260.0577414,1.314142757,1.948727777,0.66466311,0.753211741
C. rhomboidea,19/06/2012,86,Amb,400,Dry,543,0.11855846,0.004143719,338.0321721,0.103325958,2.46295802,0.847437992,0.273398606
C. rhomboidea,19/06/2012,86,Amb,400,Dry,549,0,0,,,,,0.259811403
C. rhomboidea,19/06/2012,86,Amb,400,Dry,541,0,0.001197539,580.1149399,0.02846058,2.345072462,1.455158247,
C. rhomboidea,19/06/2012,86,Amb,640,Dry,658,0.183146865,0.003168845,526.0717415,0.067427604,2.101790761,0.823298765,0.273801351
C. rhomboidea,19/06/2012,86,Amb,640,Dry,660,0,0.001649019,713.13965,0.030688315,1.841257463,1.112488034,0.131582793
C. rhomboidea,19/06/2012,86,Amb,640,Dry,654,0,0,,,,,0.178060322
C. rhomboidea,19/06/2012,86,Elv,640,Dry,351,0,0,,,,,0.132933051
C. rhomboidea,19/06/2012,86,Elv,640,Dry,348,0,0,,,,,0.159027484
C. rhomboidea,19/06/2012,86,Elv,640,Dry,347,0,0,,,,,0.068040943
C. rhomboidea,19/06/2012,86,Elv,400,Dry,442,0,0.001112448,952.9182886,0.038152349,3.36325686,2.375834151,0.145915211
C. rhomboidea,19/06/2012,86,Elv,400,Dry,455,0,0,,,,,0.039542721
C. rhomboidea,19/06/2012,86,Elv,400,Dry,458,0,0,,,,,0.041524119
C. rhomboidea,19/06/2012,86,Amb,400,Wet,560,6.608258882,0.069367578,224.6828076,1.377667832,2.016789356,0.574784116,
C. rhomboidea,19/06/2012,86,Amb,400,Wet,546,7.192799797,0.09132136,251.3286828,1.515772533,1.70390406,0.644017027,0.823130128
C. rhomboidea,19/06/2012,86,Amb,400,Wet,544,6.843372837,0.077262505,235.2420095,1.322784134,1.747157271,0.603711933,0.683911555
C. rhomboidea,19/06/2012,86,Amb,400,Wet,545,6.922504959,0.106220183,271.40914,2.01175002,1.950009175,0.695858495,0.860792255
C. rhomboidea,19/06/2012,86,Amb,640,Wet,641,7.480380468,0.047790724,358.7308997,0.869697942,1.83358359,0.571184373,1.010383568
C. rhomboidea,19/06/2012,86,Amb,640,Wet,647,12.74049436,0.096076228,386.6395989,1.762752872,1.882416631,0.622221847,0.547081689
C. rhomboidea,19/06/2012,86,Amb,640,Wet,656,12.1662323,0.130385778,450.2449711,2.105669014,1.679494146,0.725072265,
C. rhomboidea,19/06/2012,86,Amb,640,Wet,655,13.51205796,0.120588726,417.9517675,1.859187897,1.597527197,0.675997716,0.824336974
C. rhomboidea,19/06/2012,86,Elv,640,Wet,343,5.787211856,0.03841243,363.5599705,1.103357022,2.863961876,0.576086998,0.379167661
C. rhomboidea,19/06/2012,86,Elv,640,Wet,355,6.28612474,0.037890285,336.9513596,1.155361467,3.042322208,0.534934651,0.644033097
C. rhomboidea,19/06/2012,86,Elv,640,Wet,356,6.89470444,0.049390125,378.320524,1.480336979,3.001562842,0.600300865,1.191757598
C. rhomboidea,19/06/2012,86,Elv,400,Wet,446,4.823378185,0.052748529,231.1655858,1.346779673,2.567050589,0.587880368,1.384641493
C. rhomboidea,19/06/2012,86,Elv,400,Wet,454,4.325653867,0.04601971,225.8021709,1.361318187,2.957362368,0.573740514,0.519696324
C. rhomboidea,19/06/2012,86,Elv,400,Wet,441,4.454668477,0.046969377,224.8090457,1.39622996,2.971669719,0.570482828,0.881336814
C. rhomboidea,26/06/2012,93,Amb,400,Dry,542,0,0,,,,,0.360804932
C. rhomboidea,26/06/2012,93,Amb,400,Dry,543,0,0,,,,,0.214418545
C. rhomboidea,26/06/2012,93,Amb,400,Dry,549,0,0,,,,,0.221483272
C. rhomboidea,26/06/2012,93,Amb,640,Dry,660,0,0,,,,,0.232452998
C. rhomboidea,26/06/2012,93,Amb,640,Dry,652,0,0,,,,,0.251892186
C. rhomboidea,26/06/2012,93,Amb,640,Dry,654,0,0,,,,,0.136023409
C. rhomboidea,26/06/2012,93,Elv,640,Dry,342,0,0,,,,,0.029976481
C. rhomboidea,26/06/2012,93,Elv,640,Dry,347,0,0,,,,,0.029325947
C. rhomboidea,26/06/2012,93,Elv,640,Dry,351,0,0,,,,,0.023198534
C. rhomboidea,26/06/2012,93,Elv,400,Dry,442,0,0,,,,,0.04
C. rhomboidea,26/06/2012,93,Elv,400,Dry,458,0,0,,,,,0.028757798
