Species,Treatment,Replicate,life_form,WP leaf (Mpa) predawn,leaf RWC at predawn,WP leaf (Mpa) midday,Shoot:Root,Stem mass fraction (SMF) g/g,Root mass fraction (RMF) g/g,WUE ,RGR mg g/day,Transpiration rate g/day,Total plant leaf area cm2,Total leaf dry mass g,Daily transpiration g H20/leaf area cm2,LMA kg/m2,LAR m2/kg whole plant,SLA m2/kg whole plant,LMF total g/g,Stomatal density Upper surface,Stomatal density Lower surface,Mean Stomatal density (upper and lower surfaces),site
Lomandra longifolia,Drought,2,,1,103.654485,1.8,1.007731959,0,0.498074454,2.000769796,4.803412911,4.255,184.1082353,2.737,0.023111405,0.148662551,3.376274258,6.726643599,0.501925546,NA,NA,NA,The University of Melbourne Burnley campus
Lomandra longifolia,Drought,3,,1.9,90.7651715,2.4,0.623087905,0,0.616109575,6.201094531,12.51793936,3.68,227.2649446,3.055,0.016192554,0.134424603,2.855804783,7.439114391,0.383890425,NA,NA,NA,The University of Melbourne Burnley campus
Lomandra longifolia,Drought,4,,0.5,99.70414201,1.2,1.300858152,0,0.434620448,0.479756069,1.144596888,6.205,160.3466667,2.577,0.038697406,0.160714286,3.517917215,6.222222222,0.565379552,NA,NA,NA,The University of Melbourne Burnley campus
Lomandra longifolia,Drought,5,,1.5,63.28671329,2.2,1.688131313,0,0.372005636,3.655301031,8.02991819,4.105,245.849434,4.011,0.016697212,0.163148637,3.849216126,6.129380054,0.627994364,NA,NA,NA,The University of Melbourne Burnley campus
Lomandra longifolia,Watered,1,,0.3,*,2.2,1.535648148,0,0.394376483,3.637886668,19.03889802,42.165,447.3792201,6.634,0.094248901,0.148285832,4.084163046,6.743732591,0.605623517,43.94904459,49.36305732,46.65605096,The University of Melbourne Burnley campus
Lomandra longifolia,Watered,2,,0.2,100.2469136,1.4,1.437059416,0,0.410330579,3.541986815,21.0695259,59.24,532.6902077,7.135,0.111209103,0.133942766,4.402398411,7.465875371,0.589669421,64.64968153,60.50955414,62.57961783,The University of Melbourne Burnley campus
Lomandra longifolia,Watered,3,,0.4,99.7311828,1.1,1.673866511,0,0.373990248,3.876212395,23.66500778,52.765,720.8124898,8.602,0.073202117,0.119337555,5.245706206,8.379591837,0.626009752,46.17834395,50.31847134,48.24840764,The University of Melbourne Burnley campus
Lomandra longifolia,Watered,4,,0.2,100.5698006,1.9,1.045123726,0,0.488967972,3.088135025,16.83977079,34.665,405.2476471,5.026,0.085540287,0.124022929,4.120464129,8.06302521,0.511032028,58.28025478,47.13375796,52.70700637,The University of Melbourne Burnley campus
Lomandra longifolia,Watered,5,,0.45,98.42271293,1.3,1.100864553,0,0.475994513,3.591108404,17.59545101,35.69,485.2451376,5.348,0.073550454,0.110212336,4.754508501,9.073394495,0.524005487,NA,NA,NA,The University of Melbourne Burnley campus
Stypandra glauca,Drought,1,hemicryptophyte,0.8,90.66037736,0.9,0.814326708,0.17319114,0.551168649,5.441088256,8.155835894,13.805,436.6205996,4.705454054,0.031617839,0.107769859,2.557674416,9.279032258,0.275640212,NA,NA,NA,The University of Melbourne Burnley campus
Stypandra glauca,Drought,2,,0.6,91.31736527,1.5,0.736202121,0.178339364,0.575969807,12.75987396,16.50581108,16.005,549.7264361,6.3145,0.029114481,0.114866224,2.138930143,8.705779335,0.245690829,NA,NA,NA,The University of Melbourne Burnley campus
Stypandra glauca,Drought,3,,0.6,89.89361702,1.4,0.898831519,0.168954142,0.526639668,7.250546249,10.35464892,16.53,639.1002631,5.787674897,0.025864486,0.090559733,3.3613857,11.04243542,0.30440619,NA,NA,NA,The University of Melbourne Burnley campus
Stypandra glauca,Drought,4,,0.6,89.96929376,1.5,1.042391181,0.176334943,0.489622169,5.916312983,9.204371203,13.98,669.1673878,6.003084746,0.020891634,0.089709763,3.723595726,11.14705882,0.334042888,NA,NA,NA,The University of Melbourne Burnley campus
Stypandra glauca,Drought,5,,0.5,92.14285714,1.5,1.09299435,0.195512815,0.477784376,6.301474779,9.821796827,16.48,610.5924256,6.051516129,0.026990181,0.099108929,3.296401369,10.08990826,0.326702809,NA,NA,NA,The University of Melbourne Burnley campus
Stypandra glauca,Watered,1,,0.3,92.95558959,0.8,1.015448188,0.172287017,0.496167555,5.304787345,20.7891052,83.24,981.4473675,10.51098471,0.084813514,0.107096774,3.095755504,9.337349398,0.331545428,48.08917197,33.43949045,40.76433121,The University of Melbourne Burnley campus
Stypandra glauca,Watered,2,,0.4,89.28035982,1.1,1.107227644,0.20023757,0.474557176,3.982366878,20.9500451,133.715,1058.975378,10.3916087,0.12626828,0.098128898,3.314062019,10.19067797,0.325205254,30.25477707,30.25477707,30.25477707,The University of Melbourne Burnley campus
Stypandra glauca,Watered,3,,0.3,88.65194212,1.35,1.579037986,0.205844177,0.387741478,4.299972524,15.08025971,78.24,1117.692451,9.740532609,0.070001367,0.087148594,4.663464144,11.47465438,0.406414345,41.08280255,32.80254777,36.94267516,The University of Melbourne Burnley campus
Stypandra glauca,Watered,4,,0.3,92.75521405,1.1,1.291914548,0.235037121,0.436316442,4.918150557,22.15773165,103.29,1441.984644,11.14177151,0.071630444,0.077266922,4.25339108,12.94214876,0.328646437,34.07643312,38.21656051,36.14649682,The University of Melbourne Burnley campus
Stypandra glauca,Watered,5,,0.4,95.25862069,1.2,1.340018026,0.186253139,0.427347135,4.229232387,20.43325689,118.315,1512.77292,12.03828346,0.078210681,0.079577598,4.855634472,12.56635071,0.386399726,NA,NA,NA,The University of Melbourne Burnley campus
