family,species,x,Authority,n,ploidy level,"genome size (holoploid C-value, pg) and error",genome_size,genome size SE,Location notes,Latitude,Longitude,latitude (deg),longitude (deg),Altitude (m),Angiosperm group,Life cycle,Woody or Herbaceous,unknown,subfamily,habitat,Original reference details,site_name
Proteaceae,Sphalmium racemosum,1,"(C.T. White) B.G. Briggs, B. Hyland & L.A.S. Johnson",12,2x,3.79 +/- 0.12,3.79,0.12,"15.5km along Mt Lewis road, Mt Lewis, Queensland",16deg36'S,145deg17'E,-16.6,145.283,1000,eudicot,perennial,Woody,yes,Grevilleoideae,tropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","15.5km along Mt Lewis road, Mt Lewis, Queensland (tropical rainforest)"
Proteaceae,Stenocarpus sinuatus,1,(Loudon) Endl.,11,2x,2.33 +/- 0.07,2.33,0.07,"cultivated, CSIRO Arboretum, Queensland",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Grevilleoideae,tropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, CSIRO Arboretum, Queensland (tropical rainforest)"
Proteaceae,Stenocarpus verticis,1,Foreman,11,2x,1.94 +/- 0.06,1.94,0.06,"cultivated, Tolga, North Queensland",NA,NA,NA,NA,NA,eudicot,perennial,Woody,no,Grevilleoideae,dry sclerophyll woodland,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, Tolga, North Queensland (dry sclerophyll woodland)"
Proteaceae,Stirlingia latifolia,1,(R. Br.) Steud.,13,2x,1.63 +/- 0.05,1.63,0.05,"Gingin, Western Australia",31deg5'S,115deg39'E,-31.083,115.65,150,eudicot,perennial,Woody,yes,Proteoideae,dry sclerophyll woodland,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","Gingin, Western Australia (dry sclerophyll woodland)"
Proteaceae,Strangea linearis,1,Meisn.,11,2x,5.84 +/- 0.19,5.84,0.19,"Glasshouse Mtns National Park, trachyte circuit track between Tiborgargan Creek and Caves Road",26deg52'S,152deg59'E,-26.867,152.983,30,eudicot,perennial,Woody,yes,Grevilleoideae,dry sclerophyll woodland,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","Glasshouse Mtns National Park, trachyte circuit track between Tiborgargan Creek and Caves Road (dry sclerophyll woodland)"
Proteaceae,Symphionema montanum,1,R. Br.,10,2x,2.1 +/- 0.07,2.1,0.07,"Mt Wilson Road, 2.35 km NE of Bells Line of Road",33deg32'S,150deg21'E,-33.533,150.35,930,eudicot,perennial,Woody,yes,Symphionematoideae,dry sclerophyll woodland,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","Mt Wilson Road, 2.35 km NE of Bells Line of Road (dry sclerophyll woodland)"
Proteaceae,Symphionema paludosum,1,R. Br.,10,2x,2.46 +/- 0.08,2.46,0.08,"Appin to Bulli Road, ~1km east of the Cataract Dam turnoff",34deg15'S,150deg51'E,-34.25,150.85,411,eudicot,perennial,Woody,no,Symphionematoideae,dry sclerophyll woodland,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","Appin to Bulli Road, ~1km east of the Cataract Dam turnoff (dry sclerophyll woodland)"
Proteaceae,Telopea truncata,1,(Labill.) R.Br.,11,2x,2.37 +/- 0.08,2.37,0.08,"cultivated, University of Tasmania",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Grevilleoideae,temperate forest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, University of Tasmania (temperate forest)"
Proteaceae,Toronia toru,1,(A. Cunn.) Johnston & Briggs,14,4x,71.48 +/- 2.29,71.48,2.29,"cultivated, Mt Tomah Botanic Garden",NA,NA,NA,NA,NA,eudicot,perennial,Woody,yes,Persoonoideae,temperate forest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, Mt Tomah Botanic Garden (temperate forest)"
Proteaceae,Triunia youngiana,1,(C.T. Moore&F. Muell. ex F. Muell.)L.A.S. Johnson&B. G. Briggs,14,2x,2.85 +/- 0.09,2.85,0.09,"Binna Burra area, Lamington National Park",28deg12'S,153deg11'E,-28.2,153.183,900,eudicot,perennial,Woody,yes,Grevilleoideae,subtropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","Binna Burra area, Lamington National Park (subtropical rainforest)"
Proteaceae,Virotia leptophylla,1,(Guillaum.) L.A.S. Johnson & B.G.Briggs,13,2x,2.8 +/- 0.09,2.8,0.09,"cultivated, Royal Sydney Botanic Gardens",NA,NA,NA,NA,NA,eudicot,perennial,Woody,no,Grevilleoideae,tropical rainforest,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","cultivated, Royal Sydney Botanic Gardens (tropical rainforest)"
Proteaceae,Xylomelum benthamii,1,(Meisn.) Benth.,14,2x,1.62 +/- 0.05,1.62,0.05,"Glasshouse Mtns National Park, trachyte circuit track between Tiborgargan Creek and Caves Road",26deg52'S,152deg59'E,-26.867,152.983,30,eudicot,perennial,Woody,yes,Grevilleoideae,dry sclerophyll woodland,"Jordan GJ, Carpenter RJ, Brodribb TJ, Koutoulis A, Price A. 2014. Environmental adaptation in stomatal size independent of the effects of genome size. New Phytologist 205, 608-617.","Glasshouse Mtns National Park, trachyte circuit track between Tiborgargan Creek and Caves Road (dry sclerophyll woodland)"
