"View","Taxon Name","NT Endemic","NT Only","Current Name","Name w/Data (non-current)","Checklist Category","Taxon Status","Eco Source","Eco Status","Deciduous","Diaspore Dispersal Agent","Diaspore Morphology","Ephiphytic","Fire Response Adult","Fire Response Juvenile","Flowering Breeding System","Growth Form","Growth Form NVIS","Growth Form YB","Longevity","Mass Recruitment","Metabolic Type","Mycorrhiza","Nitrogen Fixing","Palatibility","Parasitic","Phenology Flowering","Phenology Fruit Maturity","Pollen Transfer","Pollination Breeding System","Pollination Syndrome","Presence Defence Compounds","Presence Defence Structures","Response To Grazing","Resprout Type","Resurrection","Seed Bank","Taxon ID","Taxon Id","Underground Storage","Vegetative Spread"
"View","ASTERACEAE Rhodanthe uniflora (J.M.Black) Paul G.Wilson","-","-","Y","-","SR","ACTIVE","Brennan 2004","-","-","-","-","N","-","-","-","Forb","Forb","-","-","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","676","676","-","-"
"-","ASTERACEAE Rutidosis","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","677","-","-"
"-","ASTERACEAE Rutidosis helichrysoides DC.","-","-","Y","-","SR","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","678","-","-"
"-","ASTERACEAE Rutidosis helichrysoides DC. subsp. acutiglumis (Philipson) A.E.Holland","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","22178","-","-"
"View","ASTERACEAE Rutidosis helichrysoides DC. subsp. helichrysoides","-","-","Y","-","SR","ACTIVE","Latz 2004","-","-","-","-","N","Faculative resprouter","-","-","Forb","Forb","-","Annual or ephemeral, Biennial or short-lived perennial","No","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","Basal stem buds (includes lignotuber and basal stem)","-","Soil-stored seed","22177","22177","Without swollen storage structure","Plants always discrete (includes shortly rhizomatous)"
"-","ASTERACEAE Schoenia","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","679","-","-"
"View","ASTERACEAE Schoenia ayersii (F.Muell.) J.M.Black","-","-","Y","-","SR","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","Seeder","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","680","680","-","-"
"View","ASTERACEAE Schoenia cassiniana (Gaudich.) Steetz","-","-","Y","-","SR","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","Seeder","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","681","681","-","-"
"View","ASTERACEAE Schoenia ramosissima (F.Muell.) Paul G.Wilson","-","-","Y","-","SR","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","Seeder","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","682","682","-","-"
"-","ASTERACEAE Senecio","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","683","-","-"
"-","ASTERACEAE Senecio depressicola I.Thomps.","-","-","Y","-","SR","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","24566","-","-"
"-","ASTERACEAE Senecio eremicola I.Thomps.","-","-","Y","-","SR","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","24565","-","-"
"View","ASTERACEAE Senecio glossanthus (Sond.) Belcher","-","-","Y","-","SR","ACTIVE","Brennan 2004","-","-","-","-","N","-","-","-","Forb","Forb","-","-","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","686","686","-","-"
"View","ASTERACEAE Senecio gregorii F.Muell.","-","-","Y","-","SR","ACTIVE","Latz 2004","-","Death of plant and regeneration from seed (include all annuals here)","-","-","N","Seeder","-","-","Forb","Forb","-","Annual or ephemeral","Variable","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","None","-","Soil-stored seed","23763","23763","Without swollen storage structure","Plants always discrete (includes shortly rhizomatous)"
"View","ASTERACEAE Senecio laceratus (F.Muell.) Belcher","-","-","Y","-","SR","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","Seeder","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","687","687","-","-"
"View","ASTERACEAE Senecio lanibracteus I.Thomps.","-","-","Y","-","SR","ACTIVE","Albrecht 2004, Liddle 2004, Brennan 2004","-","-","-","-","N","Resprouter","-","-","Forb, Subshrub","Shrub","-","Perennial","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","24889","24889","-","-"
"View","ASTERACEAE Senecio magnificus F.Muell.","-","-","Y","-","SR","ACTIVE","Latz 2004","-","Evergreen","-","-","N","Seeder","-","-","Subshrub","Shrub","-","Perennial, Biennial or short-lived perennial","No","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","None","-","Soil-stored seed","690","690","Without swollen storage structure","Plants always discrete (includes shortly rhizomatous)"
"-","ASTERACEAE Siemssenia","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","19856","-","-"
"View","ASTERACEAE Siemssenia capillaris Steetz","-","-","Y","-","SR","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","Seeder","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","19857","19857","-","-"
"-","ASTERACEAE Sigesbeckia","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","691","-","-"
"View","ASTERACEAE Sigesbeckia australiensis D.L.Schulz","-","-","Y","-","SR","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","Seeder","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","692","692","-","-"
"View","ASTERACEAE Sigesbeckia australiensis D.L.Schulz subsp. australiensis","N","N","Y","N","SR","ACTIVE","I.D. Cowie","ACTIVE","-","-","-","-","-","-","-","-","Forb","-","Annual or ephemeral","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","26024","26024","-","-"
"-","ASTERACEAE Sonchus","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","693","-","-"
"-","ASTERACEAE Sonchus hydrophilus Boulos","-","-","Y","-","SR","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","24563","-","-"
"View","ASTERACEAE Sonchus oleraceus L.","-","-","Y","-","NT","ACTIVE","Latz 2004","-","Death of plant and regeneration from seed (include all annuals here)","-","-","N","Seeder","-","-","Forb","Forb","-","Annual or ephemeral, Biennial or short-lived perennial","No","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","None","-","Soil-stored seed","695","695","Without swollen storage structure","Plants always discrete (includes shortly rhizomatous)"
"-","ASTERACEAE Sphaeranthus","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","696","-","-"
"-","ASTERACEAE Sphaeranthus africanus L.","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","697","-","-"
"View","ASTERACEAE Sphaeranthus indicus L.","-","-","Y","-","SR","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","-","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","698","698","-","-"
"-","ASTERACEAE Sphaeromorphaea","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","21149","-","-"
"View","ASTERACEAE Sphaeromorphaea harrisii (F.Muell.) A.R.Bean","N","N","Y","N","NT","ACTIVE","Cowie 2021","-","-","-","-","-","-","-","-","-","Forb","-","Annual or ephemeral","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1054944","1054944","-","-"
"View","ASTERACEAE Sphaeromorphaea littoralis (Retz.) A.R.Bean","N","N","Y","N","SR","ACTIVE","-","Name Updated","-","-","-","-","-","-","-","-","Forb","-","Annual or ephemeral","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1054948","1054948","-","-"
"-","ASTERACEAE Sphagneticola","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","22492","-","-"
"-","ASTERACEAE Sphagneticola trilobata (L.) Pruski","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","22493","-","-"
"-","ASTERACEAE Streptoglossa","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","699","-","-"
"View","ASTERACEAE Streptoglossa adscendens (Benth.) Dunlop","-","-","Y","-","SR","ACTIVE","Latz 2004","-","Death of plant and regeneration from seed (include all annuals here)","-","-","N","Seeder","-","-","Forb","Forb","-","Annual or ephemeral","Variable","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","None","-","Soil-stored seed","700","700","Without swollen storage structure","Plants always discrete (includes shortly rhizomatous)"
"View","ASTERACEAE Streptoglossa bubakii (Domin) Dunlop","-","-","Y","-","SR","ACTIVE","Latz 2004","-","Death of plant and regeneration from seed (include all annuals here)","-","-","N","Seeder","-","-","Forb","Forb","-","Annual or ephemeral","Variable","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","None","-","Soil-stored seed","701","701","Without swollen storage structure","Plants always discrete (includes shortly rhizomatous)"
"View","ASTERACEAE Streptoglossa cylindriceps (J.M.Black) Dunlop","-","-","Y","-","SR","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","-","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","702","702","-","-"
"View","ASTERACEAE Streptoglossa decurrens (DC.) Dunlop","-","-","Y","-","SR","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","-","-","-","Forb, Subshrub","Forb, Shrub","-","Perennial, Biennial or short-lived perennial","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","703","703","-","-"
"View","ASTERACEAE Streptoglossa liatroides (Turcz.) Dunlop","-","-","Y","-","SR","ACTIVE","Albrecht 2004, Liddle 2004, Brennan 2004","-","-","-","-","N","-","-","-","Forb","Forb","-","Annual or ephemeral, Biennial or short-lived perennial","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","704","704","-","-"
"View","ASTERACEAE Streptoglossa macrocephala (F.Muell.) Dunlop","-","-","Y","-","SR","ACTIVE","Latz 2004","-","Evergreen","-","-","N","Resprouter","-","-","Subshrub","Shrub","-","Perennial","No","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","Basal stem buds (includes lignotuber and basal stem)","-","Soil-stored seed","705","705","Without swollen storage structure","Plants always discrete (includes shortly rhizomatous)"
"View","ASTERACEAE Streptoglossa odora (F.Muell.) Dunlop","-","-","Y","-","SR","ACTIVE","Yates 2003, Latz 2004","-","Evergreen","-","-","N","Faculative resprouter","-","-","Forb","Forb","-","Annual or ephemeral, Perennial, Biennial or short-lived perennial","Variable","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","Basal stem buds (includes lignotuber and basal stem)","-","Soil-stored seed","706","706","Without swollen storage structure","Plants always discrete (includes shortly rhizomatous)"
"-","ASTERACEAE Symphyotrichum","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","24634","-","-"
"View","ASTERACEAE Symphyotrichum subulatum (Michx.) G.L.Nesom","N","N","Y","N","SR","ACTIVE","Albrecht 2004, Brennan 2004","ACTIVE","-","-","-","N","-","-","-","Forb","Forb, Shrub","-","Annual or ephemeral, Biennial or short-lived perennial","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","464","464","-","-"
"-","ASTERACEAE Synedrella","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","707","-","-"
"View","ASTERACEAE Synedrella nodiflora (L.) Gaertn.","-","-","Y","-","NT","ACTIVE","JRS 2004","-","Death of plant and regeneration from seed (include all annuals here)","-","-","N","Seeder","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","None","-","Soil-stored seed","708","708","Without swollen storage structure","Plants always discrete (includes shortly rhizomatous)"
"-","ASTERACEAE Taraxacum","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","709","-","-"
"-","ASTERACEAE Taraxacum officinale Weber ex F.H.Wigg.","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","710","-","-"
"-","ASTERACEAE Thespidium","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","711","-","-"
"-","ASTERACEAE Thespidium basiflorum (F.Muell.) F.Muell. ex Benth.","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","712","-","-"
"-","ASTERACEAE Tietkensia","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","713","-","-"
"View","ASTERACEAE Tietkensia corrickiae P.S.Short","-","-","Y","-","SR","ACTIVE","Brennan 2004","-","-","-","-","N","-","-","-","Forb","Forb","-","-","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","714","714","-","-"
"-","ASTERACEAE Tolpis","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1050105","-","-"
"View","ASTERACEAE Tolpis barbata (L.) Gaertn.","-","-","Y","-","NT","ACTIVE","I.D. Cowie 2020","ACTIVE","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1050106","1050106","-","-"
"-","ASTERACEAE Trichanthodium","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","715","-","-"
"View","ASTERACEAE Trichanthodium skirrophorum Sond. & F.Muell. ex Sond.","-","-","Y","-","SR","ACTIVE","Brennan 2004","-","-","-","-","N","-","-","-","Forb","Forb","-","-","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","716","716","-","-"
"-","ASTERACEAE Tridax","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","717","-","-"
"View","ASTERACEAE Tridax procumbens L.","-","-","Y","-","NT","ACTIVE","Brennan 2004","-","-","-","-","N","-","-","-","Forb","Forb","-","-","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","718","718","-","-"
"-","ASTERACEAE Verbesina","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","719","-","-"
"View","ASTERACEAE Verbesina encelioides (Cav.) A.Gray","-","-","Y","-","NT","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","-","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","720","720","-","-"
"-","ASTERACEAE Vittadinia","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","723","-","-"
"View","ASTERACEAE Vittadinia arida N.T.Burb.","-","-","Y","-","SR","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","Seeder","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","19860","19860","-","-"
"-","ASTERACEAE Vittadinia dissecta (Benth.) N.T.Burb.","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","726","-","-"
"View","ASTERACEAE Vittadinia dissecta (Benth.) N.T.Burb. var. hirta N.T.Burb.","-","-","Y","-","SR","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","Resprouter","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","727","727","-","-"
"View","ASTERACEAE Vittadinia eremaea N.T.Burb.","-","-","Y","-","SR","ACTIVE","Latz 2004, Liddle 2004","-","-","-","-","N","Faculative resprouter","-","-","Forb","Forb","-","Biennial or short-lived perennial","No","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","Basal stem buds (includes lignotuber and basal stem)","-","Soil-stored seed","728","728","Without swollen storage structure","Plants always discrete (includes shortly rhizomatous)"
"View","ASTERACEAE Vittadinia obovata N.T.Burb.","-","-","Y","-","SR","ACTIVE","Albrecht 2004, Liddle 2004, Brennan 2004","-","-","-","-","N","-","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","19862","19862","-","-"
"View","ASTERACEAE Vittadinia pterochaeta (F.Muell. ex Benth.) J.M.Black","-","-","Y","-","SR","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","-","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","730","730","-","-"
"View","ASTERACEAE Vittadinia pustulata N.T.Burb.","-","-","Y","-","SR","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","-","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","731","731","-","-"
"-","ASTERACEAE Vittadinia sp. Junction Reserve (B.A.Piercey 62)","-","-","Y","-","SR","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","24415","-","-"
"-","ASTERACEAE Vittadinia sp. Keep River (J.L.Egan 5045)","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","725","-","-"
"-","ASTERACEAE Vittadinia spechtii N.T.Burb.","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","19866","-","-"
"View","ASTERACEAE Vittadinia sulcata N.T.Burb.","-","-","Y","-","SR","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","-","-","-","Forb, Subshrub","Forb, Shrub","-","Annual or ephemeral, Biennial or short-lived perennial","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","733","733","-","-"
"View","ASTERACEAE Vittadinia virgata N.T.Burb.","-","-","Y","-","SR","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","Seeder","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","19868","19868","-","-"
"-","ASTERACEAE Waitzia","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","735","-","-"
"-","ASTERACEAE Waitzia acuminata Steetz","-","-","Y","-","SR","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","736","-","-"
"View","ASTERACEAE Waitzia acuminata Steetz var. acuminata","-","-","Y","-","SR","ACTIVE","Liddle 2004, Brennan 2004","-","-","-","-","N","-","-","-","Forb","Forb","-","-","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","737","737","-","-"
"View","ASTERACEAE Waitzia fitzgibbonii (F.Muell.) X.A.Weber & Schmidt-Leb.","N","N","Y","-","SR","ACTIVE","Albrecht 2004, Liddle 2004, Brennan 2004","ACTIVE","-","-","-","N","Seeder","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","599","599","-","-"
"-","ASTERACEAE Wollastonia","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","601","-","-"
"View","ASTERACEAE Wollastonia biflora (L.) DC. var. biflora","N","N","Y","N","NT","ACTIVE","I.D. Cowie","ACTIVE","-","-","-","-","-","-","-","-","Vine","-","Perennial","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1054222","1054222","-","-"
"-","ASTERACEAE Xanthium","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","745","-","-"
"View","ASTERACEAE Xanthium occidentale Bertol.","N","N","Y","N","SR","ACTIVE","I.D. Cowie","ACTIVE","-","-","-","-","-","-","-","-","Forb","-","Annual or ephemeral","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","23907","23907","-","-"
"View","ASTERACEAE Xanthium spinosum L.","-","-","Y","-","NT","ACTIVE","Albrecht 2004, Brennan 2004","-","-","-","-","N","-","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","-","747","747","-","-"
"-","ASTERACEAE Xanthium strumarium L.","N","N","Y","N","SR","ACTIVE","-","-","-","-","-","-","-","-","-","-","Forb","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","748","-","-"
"-","ASTERACEAE Xerochrysum","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","23638","-","-"
"View","ASTERACEAE Xerochrysum boreale Paul G. Wilson","N","N","Y","N","NT","ACTIVE","KNP plots, JRS 2004","ACTIVE","Death of plant and regeneration from seed (include all annuals here)","-","-","N","Seeder","-","-","Forb","Forb","-","Annual or ephemeral, Biennial or short-lived perennial","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","None","-","Soil-stored seed","22644","22644","Without swollen storage structure","Plants always discrete (includes shortly rhizomatous)"
"View","ASTERACEAE Xerochrysum interiore Paul G. Wilson","N","N","Y","N","SR","ACTIVE","KNP plots, JRS 2004","ACTIVE","-","-","-","N","-","-","-","Forb","Forb","-","Annual or ephemeral","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","-","-","Soil-stored seed","22645","22645","Without swollen storage structure","Plants always discrete (includes shortly rhizomatous)"
"View","ASTERACEAE Yyypodolepis sp. Wollunga Well (D.E.Albrecht 8794)","N","N","Y","N","NT","DELETED","-","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1057682","1057682","-","-"
"-","BATACEAE","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","752","-","-"
"-","BATACEAE Batis","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","753","-","-"
"-","BATACEAE Batis argillicola P.Royen","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","Shrub","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","754","-","-"
"-","BIGNONIACEAE","-","-","Y","-","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","755","-","-"
"View","BIGNONIACEAE Dolichandra unguis-cati (L.) L.G.Lohmann","N","N","Y","N","NT","ACTIVE","I.D. Cowie","ACTIVE","-","-","-","-","-","-","-","-","Vine","-","Perennial","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20359","20359","-","-"
"-","BIGNONIACEAE Dolichandrone","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","756","-","-"
"View","BIGNONIACEAE Dolichandrone filiformis (DC.) F.Muell.","N","N","Y","N","NT","ACTIVE","Yates 2003, Liddle 2004","ACTIVE","-","-","-","N","Resprouter","-","-","Tree","Tree","-","Perennial","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","Basal stem buds (includes lignotuber and basal stem)","-","-","758","758","-","capacity to be rhizomatous or root budding"
"View","BIGNONIACEAE Dolichandrone heterophylla (R.Br.) F.Muell.","-","-","Y","-","SR","ACTIVE","Yates 2003","-","-","-","-","N","Resprouter","-","-","Tree","Tree","-","Perennial","-","-","-","-","-","Non parasitic","-","-","-","-","-","-","-","-","Basal stem buds (includes lignotuber and basal stem)","-","-","759","759","-","capacity to be rhizomatous or root budding"
"View","BIGNONIACEAE Dolichandrone occidentalis Jackes","N","N","Y","N","NT","ACTIVE","-","ACTIVE","-","-","-","-","-","-","-","Tree","Tree","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1058302","1058302","-","-"
"-","BIGNONIACEAE Pandorea","N","N","Y","N","NT","ACTIVE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","760","-","-"
