Species,geology & topography,habitat,ecodistrict,plant_growth_form,Fire response,Post-fire recovery and flowering,Conservation Code,Primary Juvenile Period (months),Primary Juvenile Period -value 1,juvenile period value type 1,Primary Juvenile Period -value 2,juvenile period value type 2
Schoenus multiglumis,Reedia swamps TEC and other peaty,Shrubland over closed sedgeland,Forest Mosaic,sedge,,,,,,,,
Tremulina tremula,Reedia swamps TEC and other peaty,Shrubland over closed sedgeland,Forest Mosaic,sedge,OSS,,,,,,,
Cephalotus follicularis,Reedia swamps TEC and other peaty,Shrubland over closed sedgeland,Forest Mosaic,herb,RS,,,,,,,
Acidonia microcarpa,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,OSS,medium,,,,,,
Aotus intermedia,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,OSS,,,,,,,
Banksia littoralis,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,RS,,,,,,,
Banksia occidentalis,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,OSC,medium,,,,,,
Banksia quercifolia,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,OSC,medium,,,,,,
Banksia seminuda,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,OSC,medium to slow,,,,,,
Beaufortia sparsa,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,RS,,,,,,,
Callistachys lanceolatum / sp South Coast,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,OSS,,,,,,,
Hakea linearis,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,RS,,,,,,,
Hakea tuberculata,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,OSC,medium,,,,,,
Hakea sulcata,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,OSC,medium,,,,,,
Hypocalymma ericifolium,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,OSS,,,,,,,
Isopogon axillaris,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,RS,,,,,,,
Kunzea ericifolia,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,OSC,,,,,,,
Leptocarpus tenax,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,RS,,,,,,,
Melaleuca densa,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,OSC?,,,,,,,
Melaleuca incana,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,RS,,,,,,,
Melaleuca pauciflora,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,RS,,,,,,,
Meleluca spathulata,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,RS,,,,,,,
Melaleuca viminea,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,OSC,medium to slow,,,,,,
Pericalymma spongicaule,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,OSC,,,,,,,
Petrophile phyllicoides,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,OSC,slow,,,,,,
Rhadinothamnus anceps,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,OSS,rapid,,,,,,
Sphaerolobium spp,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,,,,,,,,
Sphenotoma gracile,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,OSS,,,,,,,
Taxandria angustifolia,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,RS,,,,,,,
Taxandria fragrans,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,RS,,,,,,,
Evandra aristata,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,RS / OSS,,,,,,,
Leptocarpus tenax,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,RS,,,,,,,
Meeboldina spp,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,,,,,,,,
Schoenus spp,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,,,,,,,,
Tremulina tremula,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,shrub,OSS,,,,,,,
Cephalotus follicularis,Seasonally wet heath-sedgeland and fringing Banksia shrubland,Shrubland- Heathland - Sedgeland,Forest Mosaic,herb,RS,,,,,,,
Agonis flexuosa,Southwest Coastal grassland (Quarram grassland) PEC,Grassland,Forest Mosaic,tree,RS ep/OSC,,,,,,,
Exocarpus odoratus,Southwest Coastal grassland (Quarram grassland) PEC,Grassland,Forest Mosaic,shrub,OSS,rapid,,,,,,
Hakea oleifolia,Southwest Coastal grassland (Quarram grassland) PEC,Grassland,Forest Mosaic,shrub,OSC,medium,,,,,,
Hakea prostrata,Southwest Coastal grassland (Quarram grassland) PEC,Grassland,Forest Mosaic,shrub,RS,,,,,,,
Myoporum oppositifolium,Southwest Coastal grassland (Quarram grassland) PEC,Grassland,Forest Mosaic,shrub,OSS,rapid,,,,,,
Pimelea clavata,Southwest Coastal grassland (Quarram grassland) PEC,Grassland,Forest Mosaic,shrub,OSS,rapid,,,,,,
Austrodanthonia occidentalis,Southwest Coastal grassland (Quarram grassland) PEC,Grassland,Forest Mosaic,grass,RS,,,,,,,
Austrostipa flavescens,Southwest Coastal grassland (Quarram grassland) PEC,Grassland,Forest Mosaic,grass,OSS,rapid,,,,,,
Dichelachne crinita,Southwest Coastal grassland (Quarram grassland) PEC,Grassland,Forest Mosaic,grass,,,,,,,,
Microlaena stipioides,Southwest Coastal grassland (Quarram grassland) PEC,Grassland,Forest Mosaic,grass,RS,,,,,,,
Poa drummoniana,Southwest Coastal grassland (Quarram grassland) PEC,Grassland,Forest Mosaic,grass,RS,,,,,,,
Poa porphryoclados,Southwest Coastal grassland (Quarram grassland) PEC,Grassland,Forest Mosaic,grass,,,,,,,,
Baumea articulata,Baumea,Sedgelands,Forest Mosaic,sedge,,,,,,,,
Allocasuarina decussata,Montane Thicket of the Eastern Stirling Range TEC,Thicket,Quartzite,shrub,RS ep,,,,,,,
Andersonia axilliflora,Montane Thicket of the Eastern Stirling Range TEC,Thicket,Quartzite,shrub,OSS,slow,,,,,,
Beaufortia anisandra,Montane Thicket of the Eastern Stirling Range TEC,Thicket,Quartzite,shrub,OSC,slow,,,,,,
Banksia biterax,Montane Thicket of the Eastern Stirling Range TEC,Thicket,Quartzite,shrub,OSC,,,,,,,
Banksia brownii,Montane Thicket of the Eastern Stirling Range TEC,Thicket,Quartzite,shrub,OSC,slow,,,,,,
Banksia concinna,Montane Thicket of the Eastern Stirling Range TEC,Thicket,Quartzite,shrub,OSC,slow,,,,,,
Banksia montana,Montane Thicket of the Eastern Stirling Range TEC,Thicket,Quartzite,shrub,OSC,slow,,,,,,
Banksia solandri,Montane Thicket of the Eastern Stirling Range TEC,Thicket,Quartzite,shrub,OSC,slow,,,,,,
Banksia oreophila,Montane Thicket of the Eastern Stirling Range TEC,Thicket,Quartzite,shrub,OSC,slow,,,,,,
Calothamnus crassus,Montane Thicket of the Eastern Stirling Range TEC,Thicket,Quartzite,shrub,RS / OSC,,,,,,,
Darwinia collina,Montane Thicket of the Eastern Stirling Range TEC,Thicket,Quartzite,shrub,OSS,slow,,,,,,
Hakea florida,Montane Thicket of the Eastern Stirling Range TEC,Thicket,Quartzite,shrub,RS,,,,,,,
Isopogon latifolius,Montane Thicket of the Eastern Stirling Range TEC,Thicket,Quartzite,shrub,OSC,slow,,,,,,
Kunzea montana,Montane Thicket of the Eastern Stirling Range TEC,Thicket,Quartzite,shrub,OSS,slow,,,,,,
Leucopogon gnaphalioides,Montane Thicket of the Eastern Stirling Range TEC,Thicket,Quartzite,shrub,OSS,slow,,,,,,
Persoonia micranthera,Montane Thicket of the Eastern Stirling Range TEC,Thicket,Quartzite,shrub,OSS,slow,,,,,,
Sphenotoma sp. Stirling,Montane Thicket of the Eastern Stirling Range TEC,Thicket,Quartzite,shrub,OSS,medium,,,,,,
Taxandria floribunda,Montane Thicket of the Eastern Stirling Range TEC,Thicket,Quartzite,shrub,OSC,,,,,,,
Eucalyptus doratoxylon,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,mallee,RS,,,,,,,
Eucalytus ligulata subsp. stirlingica,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,mallee,RS,,,,,,,
Eucalyptus marginata,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,mallee,RS,,,,,,,
Eucalyptus talyuberlup,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,mallee,OSC?,,,,,,,
Aotus genistoides,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSS,,,,,,,
Adenanthos filifolius,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSS,,,,,,,
Beaufortia anisandra,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,slow,,,,,,
Banksia brownii,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,slow,,,,,,
Banksia concinna,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,slow,,,,,,
Banksia rufa subsp. pumilo,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,medium,,,,,,
Banksia foliolata,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,,,,,,,
Banksia grandis,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,shrub,RS,,,,,,,
Banksia hirta,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,medium,,,,,,
Banksia oreophila,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,,,,,,,
Bankisa plumosa subsp. denticulata,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,medium,,,,,,
Banksia solandri,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,slow,,,,,,
Calothamnus crassus,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,shrub,RS / OSC,,,,,,,
Hakea ambigua,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,medium,,,,,,
Hakea lasiantha,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,slow,,,,,,
Kunzea montana,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSS,slow,,,,,,
Lambertia fairallii,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,slow,,,,,,
Leucopogon atherolepis,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSS,,,,,,,
Leucopogon lasiophyllus,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSS,,,,,,,
Isopogon baxteri,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,medium,,,,,,
Isopogon latifolius,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,slow,,,,,,
Sphenotoma sp. Stirling,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSS,medium,,,,,,
Taxandria floribunda,Montane Mallee Thicket PEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,,,,,,,
Allocasuarina decussata,Coyanerup Wetland Suite PEC (peat soil),Thicket/ Mallee Thicket,Quartzite,mallee,RS ep,,,,,,,
Eucalyptus megacarpa,Coyanerup Wetland Suite PEC (peat soil),Thicket/ Mallee Thicket,Quartzite,mallee,RS ep/OSC,,,,,,,
Astartea sp. staminodes,Coyanerup Wetland Suite PEC (peat soil),Thicket/ Mallee Thicket,Quartzite,shrub,OSS?,,,,,,,
Taxandria linearifolia,Coyanerup Wetland Suite PEC (peat soil),Thicket/ Mallee Thicket,Quartzite,shrub,RS,,,,,,,
Homalaspermum firmum,Coyanerup Wetland Suite PEC (peat soil),Thicket/ Mallee Thicket,Quartzite,shrub,RS,,,,,,,
Xyris exilis,Coyanerup Wetland Suite PEC (peat soil),Thicket/ Mallee Thicket,Quartzite,sedge,OSS,medium,,,,,,
Eucalyptus acies,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub mallee,RS,,,,,,,
Eucalyptus acies x Eucalyptus preissiana,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub mallee,RS,,,,,,,
Eucalyptus burdettiana,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub mallee,RS,,,,,,,
Eucalyptus coronata,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub mallee,RS,,,,,,,
Eucalyptus decurva,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub mallee,RS,,,,,,,
Eucalyptus lehmannii subsp. parallela,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub mallee,RS,,,,,,,
Eucalyptus sepulcralis,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub mallee,RS,,,,,,,
Eucalyptus redunca,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub mallee,RS,,,,,,,
Eucalyptus preissiana,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub mallee,RS,,,,,,,
Acacia argutifolia,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,,,,,,,,
Adenanthos ellipticus,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSS,medium,,,,,,
Adenanthos ellipticus x Eucalyptus cuneatus,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSS,,,,,,,
Adenanthos labilliardierei,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSS,,,,,,,
Adenanthos oreophilus,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSS,,,,,,,
Adenanthos venosus,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,RS,,,,,,,
Agonis baxteri (obtusissima),"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,RS,,,,,,,
Banksia baueri,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSC,slow,,,,,,
Banksia heliantha,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSC,,,,,,,
Banksia lemanniana,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSC,slow,,,,,,
Banksia oreophila,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSC,,,,,,,
Banksia plumosa subsp. plumosa,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSC,,,,,,,
Calothamnus macrocarpus,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,RS,,,,,,,
Calothamnus pinifolius,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSC,,,,,,,
Calothamnus sp. Kundip,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSC,,,,,,,
Calothamnus validus,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,,,,,,,,
Calothamnus villosus,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSC?,,,,,,,
Gonocarpus hispidus,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSS,,,,,,,
Hakea hookeriana,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSC,,,,,,,
Hakea victoria,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSC,,,,,,,
Kunzea similis subsp. similis,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSS,,,,,,,
Grevillea coccinea,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSS,,,,,,,
Grevillea infundibularis,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSS,medium,,,,,,
Grevillea aff nudiflora,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSS,,,,,,,
Grevillea infundibularis x aff nudiflora,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSS,,,,,,,
Grevillea coccinea subsp. lanata,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSS,,,,,,,
Grevillea fistulosa,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSS,,,,,,,
Leptospermum conferetum,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSC,,,,,,,
Melaleuca citrina,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,RS,,,,,,,
Melaleuca nesophila,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSC,,,,,,,
Monotoca aristata,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,,,,,,,,
Pityrodia exserta,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,,,,,,,,
Verticodia pityrhops,"Proteaceous 'Barrens Thicket' FRNP (Barrens, Eyre range etc)",Thicket/ Mallee Thicket,Quartzite,shrub,OSS,slow,,,,,,
Eucalyptus doratoxylon,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,mallee,RS ep,,,,,,,
Adenanthos oreophilus,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSS,,,,,,,
Banksia armata var. ignicida,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,,,,,,,
Banksia media,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,,,,,,,
Banksia obovata,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,medium,,,,,,
Banksia prolata subsp. archeos,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,,,,,,,
Beaufortia aff schaueri,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,,,,,,,,
Darwinia sp. Mt Ragged,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSS,,,,,,,
Daviesia grossa,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,,,,,,,,
Daviesia teretifolia,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,RS/OSS,,,,,,,
Dillwynia pungens,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSS,,,,,,,
Grevillea concinna subsp. lemanniana,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSS,,,,,,,
Grevillea oligantha,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSS/RS,,,,,,,
Grevillea pauciflora subsp. axatilis,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSS,,,,,,,
Grevillea plurijuga subsp. plurijuga,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSS/RS,,,,,,,
Hakea drupaceae,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,,,,,,,
Hakea erecta,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,,,,,,,,
Hakea laurina,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,medium,,,,,,
Hakea pandanicarpa subsp. pandanicarpa,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,,,,,,,
Hakea pycnoneura,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,,,,,,,,
Hakea scoparia subsp. trycheria,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,,,,,,,
Hakea verrucosa,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,,,,,,,
Isopogon sp. Fitzgerald,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,,,,,,,,
Isopogon formosus,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,rapid,,,,,,
Kunzea baxteri,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSS,,,,,,,
Labichea lanceolata,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,RS,,,,,,,
Leucopogon apiculatus,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSS,,,,,,,
Melaleuca fulgens,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,RS?,,,,,,,
Melaleuca pentagona subsp. raggedensis,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC?,,,,,,,
Melaleuca undulata,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,,,,,,,
Melaleuca uncinata,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,RS,,,,,,,
Melaleuca viminea,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,medium,,,,,,
Petrophile squamata subsp. northern,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,OSC,,,,,,,
Petrophile teretifolia,Russell Range mixed thicket complexes TEC,Thicket/ Mallee Thicket,Quartzite,shrub,,,,,,,,
Eucalyptus pachyloma,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,mallee,RS ep,,,,,,,
Eucalyptus buprestium,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,mallee,RS ep,,,,,,,
Eucalyptus decipiens,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,mallee,RS,,,,,,,
Eucalyptus preissiana,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,mallee,RS ep,,,,,,,
Eucalyptus marginata,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,mallee,RS ep,,,,,,,
Eucalytpus ligulata subsp. stirlingica,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,mallee,RS ep,,,,,,,
Eucalytpus kalganensis,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,mallee,RS ep,,,,,,,
Eucalyptus erectifolia,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,mallee,RS ep,,,,,,,
Eucalyptus talyuberlup,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,mallee,OSC?,,,,,,,
Adenanthos pungens,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSS,,,,,,,
Banksia aculeata,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,slow,,,,,,
Banksia arctotidis,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,RS?,medium,,,,,,
Banksia baxteri,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,medium to slow,,,,,,
Banksia blechnifolia,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,RS,,,,,,,
Banksia brunnea,SRNP lower slopes: Mallee heath / Banksia shrublands,Mallee heath / Banksia shrublands,Quartzite,shrub,OSC,medium,,,,,,
