species,SLA(mm2/mg),Height (cm),Leaf Size (mm2),Seed mass (mg),"GrowthForm 1=tree; 2=shrub; 3=subshrub; 4=forb; 5=grass; 8=fern; 10=climber; 11=orchid, epiphyte.","Seed Dispersal syndrome 1=unassisted; 2=ant (elaiosome); 3=vertebrate ingestion (fleshy); 4=adhesion (hooks etc); 5=wind (wing, pappus); 6=ballistic+ant; 7=ba llistic; 8=vertebrate.",plant_height_duplicate,seed_mass_duplicate,Height (cm)_filtered,Seed mass (mg)_filtered
Gahnia erythrocarpa,6.96,200,13330,16.7,4,1,Duplicate of Hughes_1992_234,NA,NA,16.7
Grevillea buxifolia,7.61,200,56,59.4,2,2,Duplicate of Hughes_1992_406,NA,NA,59.4
Grevillea oleoides,3.76,200,700,26.4,2,2,NA,Duplicate of Leishman_1993_247,200,NA
Hakea dactyloides,3.71,200,700,20,2,5,NA,NA,200,20
Hakea teretifolia,2.32,200,82,14.4,2,5,NA,NA,200,14.4
Helichrysum diosmifolium,NA,200,15,0.1,2,5,Duplicate of Hughes_1992_351,NA,NA,0.1
Hibbertia linearis,5.59,200,26,5.5,2,2,NA,NA,200,5.5
Hibbertia scandens,13.93,200,1008,7.8,10,3,NA,NA,200,7.8
Isopogon anemonifolius,3.79,200,187,4.1,2,1,Duplicate of Barlow_1981_2741,NA,NA,4.1
Lambertia formosa,4.21,200,107,25.1,2,1,Duplicate of Barlow_1981_2837,NA,NA,25.1
Ochna serrulata,20.31,200,326,83.8,2,3,NA,NA,200,83.8
Persoonia lanceolata,4.65,200,500,102.3,2,3,Duplicate of Hughes_1992_373,NA,NA,102.3
Phebalium squamulosum,5.08,200,12,1.3,2,6,Duplicate of Hughes_1992_357,NA,NA,1.3
Pomaderris sp.,11.41,200,NA,0.6,2,2,NA,NA,200,0.6
Pultenaea stipularis,9.55,200,107,9.3,2,2,Duplicate of Hughes_1992_417,NA,NA,9.3
Ricinocarpos pinifolius,3.24,200,60,48.2,2,2,Duplicate of Hughes_1992_407,NA,NA,48.2
Tylophora barbata,23.35,200,467,10.2,10,5,NA,NA,200,10.2
Woollsia pungens,13.04,200,27,0.2,2,1,NA,NA,200,0.2
Xanthorrhoea arborea,2.51,200,7500,15.3,2,1,Duplicate of Barlow_1981_4258,NA,NA,15.3
Xanthorrhoea media,2.19,200,1330,8.9,2,1,NA,NA,200,8.9
Xanthorrhoea resinosa,NA,200,2170,11.5,2,1,NA,NA,200,11.5
Zieria smithii,11.61,200,187,1.4,2,6,Duplicate of Hughes_1992_361,NA,NA,1.4
Angophora hispida,4.04,250,1750,28.5,2,1,Duplicate of Hughes_1992_258,NA,NA,28.5
Astrotricha floccosa,14.65,300,4500,3.3,2,0,Duplicate of Hughes_1992_318,NA,NA,3.3
Bursaria spinosa,18.47,300,54,1.5,2,5,NA,NA,300,1.5
Casuarina distyla,1.69,300,NA,3.3,2,5,Duplicate of Barlow_1981_0109,NA,NA,3.3
Clematis aristata,30.88,300,90,3,10,5,NA,NA,300,3
Clematis glycinoides,11.14,300,90,3.2,10,5,NA,NA,300,3.2
Clerodendrum tomentosum,10.71,300,1708,23.4,2,3,Duplicate of Hughes_1992_593,NA,NA,23.4
Dillwynia retorta,7.2,300,8.5,5.5,2,2,NA,Duplicate of Kew_2019_1_06000,300,NA
Eustrephus latifolius,24.37,300,1071,24.7,10,3,NA,NA,300,24.7
Geitonoplesium cymosum,40.14,300,282,3.8,10,3,NA,NA,300,3.8
Grevillea sericea,6.12,300,300,21.7,2,2,NA,NA,300,21.7
Haemodorum corymbosum,2.34,300,667,9.9,4,5,NA,NA,300,9.9
Hakea gibbosa,2.43,300,240,59.3,2,5,Duplicate of Barlow_1981_2493,NA,NA,59.3
Hakea sericea,3.05,300,27,28.1,2,5,Duplicate of Hughes_1992_336,NA,NA,28.1
Isopogon anethifolius,4.42,300,100,2.8,2,1,NA,NA,300,2.8
Lantana camara,20.82,300,1008,23,2,3,NA,NA,300,23
Lasiopetalum ferrugineum,6.58,300,563,1.2,2,2,NA,NA,300,1.2
Leptospermum juniperinum,6.36,300,5.4,0.2,2,1,NA,NA,300,0.2
Ligustrum lucidum,12.01,300,4800,21.4,2,3,NA,NA,300,21.4
Ligustrum sinense,8.96,300,1307,22.5,2,3,NA,NA,300,22.5
Maytenus silvestris,9.47,300,233,13.9,2,2,Duplicate of Hughes_1992_441,NA,NA,13.9
Petrophile pulchella,3.82,300,NA,8,2,1,Duplicate of Barlow_1981_3410,NA,NA,8
Pittosporum revolutum,12.05,300,1630,17.1,2,8,Duplicate of Hughes_1992_558,NA,NA,17.1
Polyscias sambucifolia,13.21,300,NA,3.7,2,3,Duplicate of Hughes_1992_388,NA,NA,3.7
Rapanea variabilis,9.21,300,403,27.2,2,3,Duplicate of Hughes_1992_393,NA,NA,27.2
Acronychia oblongifolia,18.09,400,40,2.2,1,3,NA,NA,400,2.2
Banksia ericifolia,4.78,400,10,22.3,2,5,NA,NA,400,22.3
Banksia marginata,4.66,400,173,10.5,2,5,NA,NA,400,10.5
Banksia serrata,4.51,400,2400,62,2,5,Duplicate of Hughes_1992_562,NA,NA,62
Canthium coprosmoides,8.44,400,750,NA,2,3,NA,NA,400,NA
Ceratopetalum gummiferum,7.79,400,111,17.5,2,5,Duplicate of Hughes_1992_343,NA,NA,17.5
