source,site,date,plotid,plotid2,habitat,vegfamily,veggenus,vegspecies,fp,gf,po,fppo,gfpo,vrep,bugcode,buggroup,order,suborder,superfamily,family,subfamily,tribe,genus,species,size,bugnat,pol,her,hexu.a,hfol.a,hgram.a,hnec.a,hpal.a,hgran.a,hxyl.a,hfun.a,hexu.is,hfol.is,hgram.is,hnec.is,hpal.is,hgran.is,hxyl.is,hfun.is,pre,pre.a,pre.is,par,det,det.a,det.is,ela,collby,idby
sn,Westgate Park,24/1/15,wes.g4,Grass17,Grass,Poaceae,Poa,Poa labillardierei,Midstorey,Graminoid,Indigenous,MidInd,GraInd,22,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Westgate Park,24/1/15,wes.g4,Grass17,Grass,Poaceae,Poa,Poa labillardierei,Midstorey,Graminoid,Indigenous,MidInd,GraInd,22,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Argyle Square,5/3/15,arg.m2,Midstorey02,Midstorey,Lamiaceae,Rosmarinus,Rosmarinus officinalis,Midstorey,Shrub,Nonnative,MidNon,ShuNon,6,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Women's Peace Gardens,23/2/15,wom.m2,Midstorey31,Midstorey,Lamiaceae,Rosmarinus,Rosmarinus officinalis,Midstorey,Shrub,Nonnative,MidNon,ShuNon,11,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Royal Park,25/1/15,roy.g3,Grass07,Grass,Poaceae,Rytidosperma ,Rytidosperma sp.,Midstorey,Graminoid,Indigenous,MidInd,GraInd,4,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Royal Park,13/2/15,roy.g9,Grass13,Grass,Poaceae,Rytidosperma ,Rytidosperma sp.,Midstorey,Graminoid,Indigenous,MidInd,GraInd,14,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Westgate Park,7/3/15,wes.g3,Grass16,Grass,Poaceae,Rytidosperma ,Rytidosperma sp.,Midstorey,Graminoid,Indigenous,MidInd,GraInd,21,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Argyle Square,5/3/15,arg.m1,Midstorey01,Midstorey,Lamiaceae,Salvia,Salvia leucantha,Midstorey,Forb,Nonnative,MidNon,ForNon,3,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Women's Peace Gardens,20/1/15,wom.t2,Tree41,Tree,Anacardiaceae,Schinus,Schinus molle,Tree canopy,Tree,Nonnative,CanNon,TreNon,7,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
sn,Women's Peace Gardens,23/2/15,wom.t2,Tree41,Tree,Anacardiaceae,Schinus,Schinus molle,Tree canopy,Tree,Nonnative,CanNon,TreNon,8,hym056,Ants,Hymenoptera,Apocrita,Vespoidea,Formicidae,Dolichoderinae,,Linepithema,Linepithema humile,2.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,Luis Mata,Alan Andersen
