year,remnant,site,quadrat,yrs,yrsq,family,genus,species,species.for.tree,count,mean.log.seed.mass,rem.scale.max.sqrt.height,rem.scale.mean.log.sla
2011,ben,1,6,2011.ben.1,2011.ben.1.6,Campanulaceae,Lobelia,Lobelia.gibbosa,Lobelia_gibbosa,1,-4.605170186,17.21207815,3.695101846
2011,ben,1,6,2011.ben.1,2011.ben.1.6,Poaceae,Pentameris,Pentameris.airoides,Pentameris_airoides,4,-2.979790344,10.85365369,3.301269126
2011,ben,1,6,2011.ben.1,2011.ben.1.6,Asteraceae,Podolepis,Podolepis.canescens,Podolepis_canescens,4,-2.095968474,16.65781958,3.075599177
2011,ben,1,6,2011.ben.1,2011.ben.1.6,Asteraceae,Podotheca,Podotheca.angustifolia,Podotheca_angustifolia,3,-1.523260216,10.02494351,3.108208752
2011,ben,1,6,2011.ben.1,2011.ben.1.6,Amaranthaceae,Ptilotus,Ptilotus.spathulatus,Ptilotus_spathulatus,1,0.055707711,3.278038008,3.178083321
2011,ben,1,6,2011.ben.1,2011.ben.1.6,Cyperaceae,Schoenus,Schoenus.nanus,Schoenus_nanus,1,-2.504848424,8.691827115,3.715453283
2011,ben,1,6,2011.ben.1,2011.ben.1.6,Celastraceae,Stackhousia,Stackhousia.monogyna,Stackhousia_monogyna,1,NA,NA,2.646594026
2011,ben,1,6,2011.ben.1,2011.ben.1.6,Araliaceae,Trachymene,Trachymene.cyanopetala,Trachymene_cyanopetala,14,0.886367463,11.19141061,3.444546993
2011,ben,1,6,2011.ben.1,2011.ben.1.6,Asteraceae,Waitzia,Waitzia.acuminata,Waitzia_acuminata,16,-2.509359171,17.62090321,3.123704477
2011,ben,1,7,2011.ben.1,2011.ben.1.7,Poaceae,Austrostipa,Austrostipa.elegantissima,Austrostipa_elegantissima,4,0.442105577,14.2294459,2.886838198
2011,ben,1,7,2011.ben.1,2011.ben.1.7,Asteraceae,Brachyscome,Brachyscome.iberidifolia,Brachyscome_iberidifolia,3,-2.599345287,8.949556668,3.368078351
