text,category,taxon
P.G. Kodela (ed. November 2019),Contributor,Alectryon tropicus
Paul I. Forster,Author,Aleurites moluccanus
"P.G. Kodela, C. Moon",Editor,Aleurites moluccanus
"P.G. Kodela (ed., 27 April 2021, 24 November 2022)",Contributor,Aleurites moluccanus
Paul I. Forster,Author,Aleurites rockinghamensis
"C. Moon, A.E. Orchard",Editor,Aleurites rockinghamensis
"P.G. Kodela (ed., 27 April 2021, 24 November 2022)",Contributor,Aleurites rockinghamensis
"Barbara G. Briggs, Siegfried L. Krauss & Carolyn L. Connelly",Author,Alexgeorgea ganopoda
Phillip G. Kodela,Editor,Alexgeorgea ganopoda
"Barbara G. Briggs, Siegfried L. Krauss & Carolyn L. Connelly",Author,Alexgeorgea nitens
Phillip G. Kodela,Editor,Alexgeorgea nitens
"Barbara G. Briggs, Siegfried L. Krauss & Carolyn L. Connelly",Author,Alexgeorgea subterranea
Phillip G. Kodela,Editor,Alexgeorgea subterranea
"S.W.L. Jacobs, K.A. McColl, P.G. Kodela",Author,Alisma lanceolatum
P.G. Kodela,Editor,Alisma lanceolatum
"P.G. Kodela (revised edn, including A.C.T. in distribution, addition of references, illustration citations and notes; 24 July 2019)",Contributor,Alisma lanceolatum
"S.W.L. Jacobs, K.A. McColl, P.G. Kodela",Author,Alisma plantago-aquatica
P.G. Kodela,Editor,Alisma plantago-aquatica
"P.G. Kodela (revised edn, including S.A. and A.C.T. in distribution, addition of references, illustration citations and notes; 24 July 2019)",Contributor,Alisma plantago-aquatica
NA,Acknowledgements,Alisma plantago-aquatica
P.I.Forster,Author,Allamanda blanchetti
P.I.Forster,Author,Allamanda cathartica
W.T. Stearn,Author,Allium ampeloprasum
P.G. Kodela (ed. August 2018),Contributor,Allium ampeloprasum
W.T. Stearn,Author,Allium neapolitanum
P.G. Kodela (ed. August 2018),Contributor,Allium neapolitanum
W.T. Stearn,Author,Allium oleraceum
P.G. Kodela (ed. August 2018),Contributor,Allium oleraceum
W.T. Stearn,Author,Allium paniculatum subsp. paniculatum
P.G. Kodela (ed. August 2018),Contributor,Allium paniculatum subsp. paniculatum
W.T. Stearn,Author,Allium roseum
P.G. Kodela (ed. August 2018),Contributor,Allium roseum
W.T. Stearn,Author,Allium scorodoprasum subsp. rotundum
P.G. Kodela (ed. August 2018),Contributor,Allium scorodoprasum subsp. rotundum
W.T. Stearn,Author,Allium scorodoprasum subsp. scorodoprasum
P.G. Kodela (ed. August 2018),Contributor,Allium scorodoprasum subsp. scorodoprasum
W.T. Stearn,Author,Allium scorodoprasum
P.G. Kodela (ed. August 2018),Contributor,Allium scorodoprasum
W.T. Stearn,Author,Allium triquetrum
P.G. Kodela (ed. August 2018),Contributor,Allium triquetrum
W.T. Stearn,Author,Allium vineale
P.G. Kodela (ed. August 2018),Contributor,Allium vineale
"K.L. Wilson, L.A.S. Johnson",Author,Allocasuarina acuaria
John R. Busby (ed. January 2022),Contributor,Allocasuarina acuaria
"K.L. Wilson, L.A.S. Johnson",Author,Allocasuarina acutivalvis subsp. acutivalvis
John R. Busby (ed. January 2022),Contributor,Allocasuarina acutivalvis subsp. acutivalvis
"K.L. Wilson, L.A.S. Johnson",Author,Allocasuarina acutivalvis subsp. prinsepiana
John R. Busby (ed. January 2022),Contributor,Allocasuarina acutivalvis subsp. prinsepiana
"K.L. Wilson, L.A.S. Johnson",Author,Allocasuarina acutivalvis
John R. Busby (ed. January 2022),Contributor,Allocasuarina acutivalvis
"K.L. Wilson, L.A.S. Johnson",Author,Allocasuarina brachystachya
John R. Busby (ed. January 2022),Contributor,Allocasuarina brachystachya
"K.L. Wilson, L.A.S. Johnson",Author,Allocasuarina campestris
John R. Busby (ed. January 2022),Contributor,Allocasuarina campestris
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina corniculata
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina crassa
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina decaisneana
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina decussata
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina defungens
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina dielsiana
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina diminuta subsp. annectens
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina diminuta subsp. diminuta
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina diminuta subsp. mimica
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina diminuta
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina distyla
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina drummondiana
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina emuina
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina eriochlamys subsp. eriochlamys
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina eriochlamys subsp. grossa
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina eriochlamys
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina fibrosa
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina filidens
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina fraseriana
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina glareicola
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina globosa
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina grampiana
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina grevilleoides
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina gymnanthera
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina helmsii
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina huegeliana
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina humilis
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina inophloia
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina lehmanniana subsp. ecarinata
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina lehmanniana subsp. lehmanniana
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina lehmanniana
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina littoralis
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina luehmannii
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina mackliniana subsp. hirtilinea
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina mackliniana subsp. mackliniana
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina mackliniana subsp. xerophila
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina mackliniana
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina media
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina microstachya
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina misera
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina monilifera
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina muelleriana subsp. alticola
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina muelleriana subsp. muelleriana
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina muelleriana subsp. notocolpica
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina muelleriana
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina nana
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina ophiolitica
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina paludosa
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina paradoxa
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina pinaster
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina portuensis
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina pusilla
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina ramosissima
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina rigida subsp. exsul
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina rigida subsp. rigida
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina rigida
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina robusta
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina rupicola
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina scleroclada
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina simulans
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina spinosissima
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina striata
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina tessellata
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina thalassoscopica
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina thuyoides
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina tortiramula
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina torulosa
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina trichodon
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina verticillata
"K.L.Wilson, L.A.S.Johnson",Author,Allocasuarina zephyrea
S.T. Reynolds,Author,Allophylus cobbe
"John R. Busby (ed. November 2019); P.G. Kodela (ed. November 2019, September 2020)",Contributor,Allophylus cobbe
A.R. Bean,Author,Allopterigeron filifolius
John R. Busby (ed. June 2020),Contributor,Allopterigeron filifolius
"M.D. Crisp, P.H. Weston",Author,Alloxylon flammeum
"M.D.Crisp, P.H.Weston",Author,Alloxylon pinnatum
"M.D.Crisp, P.H.Weston",Author,Alloxylon wickhamii
"H.J. Hewson, P.G. Kodela",Author,Alnus cordata
P.G. Kodela,Editor,Alnus cordata
A.Hay,Author,Alocasia brisbanensis
A.Hay,Author,Alocasia macrorrhizos
"P.I. Forster, H.T. Clifford",Author,Aloe arborescens
"P.I.Forster, H.T.Clifford",Author,Aloe parvibracteata
"P.I. Forster, H.T. Clifford",Author,Aloe saponaria
"P.G. Kodela (tentative updates, 31 May 2022)",Contributor,Aloe saponaria
"P.I.Forster, H.T.Clifford",Author,Aloe vera var. officinalis
"P.I.Forster, H.T.Clifford",Author,Aloe vera var. vera
"P.I.Forster, H.T.Clifford",Author,Aloe vera
"P.G. Kodela, C.M. Weiller & I.R. Thompson",Author,Alopecurus aequalis
P.G. Kodela,Editor,Alopecurus aequalis
"P.G. Kodela, C.M. Weiller & I.R. Thompson",Author,Alopecurus geniculatus
P.G. Kodela,Editor,Alopecurus geniculatus
"P.G. Kodela, C.M. Weiller & I.R. Thompson",Author,Alopecurus myosuroides
P.G. Kodela,Editor,Alopecurus myosuroides
"P.G. Kodela, C.M. Weiller & I.R. Thompson",Author,Alopecurus pratensis subsp. pratensis
P.G. Kodela,Editor,Alopecurus pratensis subsp. pratensis
J. Kellermann & K.R. Thiele,Author,Alphitonia excelsa
P.G. Kodela,Editor,Alphitonia excelsa
J. Kellermann & K.R. Thiele,Author,Alphitonia oblata
P.G. Kodela,Editor,Alphitonia oblata
J. Kellermann & K.R. Thiele,Author,Alphitonia petriei
P.G. Kodela,Editor,Alphitonia petriei
J. Kellermann & K.R. Thiele,Author,Alphitonia pomaderroides
P.G. Kodela,Editor,Alphitonia pomaderroides
J. Kellermann & K.R. Thiele,Author,Alphitonia whitei
P.G. Kodela,Editor,Alphitonia whitei
R.M.Smith,Author,Alpinia arctiflora
R.M.Smith,Author,Alpinia arundelliana
R.M.Smith,Author,Alpinia hylandii
R.M. Smith,Author,Alpinia modesta
R.M.Smith,Author,Alpinia racemigera
P.I. Forster,Author,Alstonia actinophylla
P.I. Forster,Author,Alstonia constricta
P.I.Forster,Author,Alstonia linearis
P.I.Forster,Author,Alstonia muelleriana
P.I.Forster,Author,Alstonia scholaris
P.I.Forster,Author,Alstonia spectabilis subsp. ophioxyloides
P.I.Forster,Author,Alstonia spectabilis subsp. spectabilis
P.I. Forster,Author,Alstonia spectabilis
"J.G. Conran, P.G. Kodela",Author,Alstroemeria aurea
P.G. Kodela,Editor,Alstroemeria aurea
"J.G. Conran, P.G. Kodela",Author,Alstroemeria psittacina
P.G. Kodela,Editor,Alstroemeria psittacina
B.L. Rye,Author,Aluta appressa
J.A. Wege,Editor,Aluta appressa
B.L. Rye,Author,Aluta aspera subsp. aspera
J.A. Wege,Editor,Aluta aspera subsp. aspera
B.L. Rye,Author,Aluta aspera subsp. hesperia
J.A. Wege,Editor,Aluta aspera subsp. hesperia
B.L. Rye,Author,Aluta aspera subsp. localis
J.A. Wege,Editor,Aluta aspera subsp. localis
B.L. Rye,Author,Aluta aspera
J.A. Wege,Editor,Aluta aspera
B.L. Rye,Author,Aluta maisonneuvei
J.A. Wege,Editor,Aluta maisonneuvei
NA,Contributor,Aluta maisonneuvei
NA,Acknowledgements,Aluta maisonneuvei
B.L. Rye,Author,Aluta teres
J.A. Wege,Editor,Aluta teres
H.J.Hewson,Author,Alyssum linifolium
P.I. Forster,Author,Alyxia buxifolia
John R. Busby (ed. December 2020),Contributor,Alyxia buxifolia
P.I. Forster,Author,Alyxia grandis
John R. Busby (ed. December 2020),Contributor,Alyxia grandis
P.S. Green,Author,Alyxia gynopogon
P.G. Kodela,Editor,Alyxia gynopogon
"John R. Busby (editorial assistance, December 2020)",Contributor,Alyxia gynopogon
P.I.Forster,Author,Alyxia ilicifolia subsp. ilicifolia
P.I.Forster,Author,Alyxia ilicifolia subsp. magnifolia
P.I. Forster,Author,Alyxia ilicifolia
P.I. Forster,Author,Alyxia orophila
John R. Busby (ed. December 2020),Contributor,Alyxia orophila
P.I.Forster,Author,Alyxia ruscifolia subsp. major
P.I.Forster,Author,Alyxia ruscifolia subsp. ruscifolia
P.I.Forster,Author,Alyxia ruscifolia subsp. tropica
P.I. Forster,Author,Alyxia ruscifolia
P.I. Forster,Author,Alyxia sharpei
John R. Busby (ed. December 2020),Contributor,Alyxia sharpei
P.I. Forster,Author,Alyxia spicata
John R. Busby (ed. December 2020),Contributor,Alyxia spicata
"P.S. Green, P.G. Kodela",Author,Alyxia squamulosa
P.G. Kodela,Editor,Alyxia squamulosa
"John R. Busby (editorial assistance, December 2020)",Contributor,Alyxia squamulosa
P.I.Forster,Author,Alyxia tetanifolia
H.J.Hewson,Author,Amaryllis belladonna
A.E. Orchard,Author,Ambrosia artemisiifolia
"John R. Busby (ed. June 2020); P.G. Kodela (edits and updates August 2020, October 2020)",Contributor,Ambrosia artemisiifolia
A.E. Orchard,Author,Ambrosia confertiflora
"John R. Busby (ed. June 2020); P.G. Kodela (edits and updates August 2020, October 2020)",Contributor,Ambrosia confertiflora
A.E. Orchard,Author,Ambrosia psilostachya
"John R. Busby (ed. June 2020); P.G. Kodela (edits and updates August 2020, October 2020)",Contributor,Ambrosia psilostachya
A.E. Orchard,Author,Ambrosia tenuifolia
"John R. Busby (ed. June 2020); P.G. Kodela (edits and updates August 2020, October 2020)",Contributor,Ambrosia tenuifolia
H.J. Hewson,Author,Ammannia arnhemica
P.G. Kodela,Editor,Ammannia arnhemica
NA,Contributor,Ammannia arnhemica
NA,Acknowledgements,Ammannia arnhemica
H.J. Hewson,Author,Ammannia auriculata
P.G. Kodela,Editor,Ammannia auriculata
"H.J. Hewson, P.G. Kodela",Author,Ammannia baccifera
P.G. Kodela,Editor,Ammannia baccifera
H.J. Hewson,Author,Ammannia crinipes
P.G. Kodela,Editor,Ammannia crinipes
"H.J. Hewson, P.G. Kodela",Author,Ammannia fitzgeraldii
P.G. Kodela,Editor,Ammannia fitzgeraldii
H.J. Hewson,Author,Ammannia muelleri
P.G. Kodela,Editor,Ammannia muelleri
H.J. Hewson,Author,Ammannia multiflora
P.G. Kodela,Editor,Ammannia multiflora
H.J. Hewson,Author,Ammannia striatiflora
P.G. Kodela,Editor,Ammannia striatiflora
"H.J. Hewson, P.G. Kodela",Author,Ammannia triflora
P.G. Kodela,Editor,Ammannia triflora
"M.J.Henwood, C.M.Weiller, I.R.Thompson",Author,Ammophila arenaria subsp. arenaria
"Russell L. Barrett, Jeremy J. Bruhl, Karen L. Wilson",Author,Ammothryon grandiflorum
P.G. Kodela,Editor,Ammothryon grandiflorum
R.M.Smith,Author,Amomum dallachyi
R.M.Smith,Author,Amomum queenslandicum
A. Hay,Author,Amorphophallus galbra
A. Hay,Author,Amorphophallus paeoniifolius
"P.G. Kodela (ed. August 2021, January 2023)",Contributor,Amorphophallus paeoniifolius
"Peter D. Bostock, R.E. Holttum",Author,Ampelopteris prolifera
A.M. Wheeler (editorial assistance January 2023),Contributor,Ampelopteris prolifera
"David A. Halford, Rodney J.F. Henderson",Author,Amperea conferta
"Chris Moon, Tony Orchard",Editor,Amperea conferta
"David A. Halford, Rodney J.F. Henderson",Author,Amperea ericoides
"Chris Moon, Tony Orchard",Editor,Amperea ericoides
NA,Contributor,Amperea ericoides
NA,Acknowledgements,Amperea ericoides
"David A. Halford, Rodney J.F. Henderson",Author,Amperea micrantha
"Chris Moon, Tony Orchard",Editor,Amperea micrantha
"David A. Halford, Rodney J.F. Henderson",Author,Amperea protensa
Tony Orchard,Editor,Amperea protensa
NA,Contributor,Amperea protensa
NA,Acknowledgements,Amperea protensa
"David A. Halford, Rodney J.F. Henderson",Author,Amperea simulans
"Chris Moon, Tony Orchard",Editor,Amperea simulans
"David A. Halford, Rodney J.F. Henderson",Author,Amperea spicata
Tony Orchard,Editor,Amperea spicata
"David A. Halford, Rodney J.F. Henderson",Author,Amperea volubilis
"Chris Moon, Tony Orchard",Editor,Amperea volubilis
"David A. Halford, Rodney J.F. Henderson",Author,Amperea xiphoclada var. papillata
"Chris Moon, Tony Orchard",Editor,Amperea xiphoclada var. papillata
"David A. Halford, Rodney J.F. Henderson",Author,Amperea xiphoclada var. pedicellata
"Chris Moon, Tony Orchard",Editor,Amperea xiphoclada var. pedicellata
"David A. Halford, Rodney J.F. Henderson",Author,Amperea xiphoclada var. xiphoclada
"Chris Moon, Tony Orchard",Editor,Amperea xiphoclada var. xiphoclada
"David A. Halford, Rodney J.F. Henderson",Author,Amperea xiphoclada
"Chris Moon, Tony Orchard",Editor,Amperea xiphoclada
NA,Contributor,Amperea xiphoclada
NA,Acknowledgements,Amperea xiphoclada
J. Kuo,Author,Amphibolis antarctica
J. Kuo,Author,Amphibolis griffithii
"C.M.Weiller, S.W.L.Jacobs, I.R.Thompson",Author,Amphibromus archeri
"C.M.Weiller, S.W.L.Jacobs, I.R.Thompson",Author,Amphibromus fluitans
"C.M.Weiller, S.W.L.Jacobs, I.R.Thompson",Author,Amphibromus macrorhinus
"C.M.Weiller, S.W.L.Jacobs, I.R.Thompson",Author,Amphibromus neesii
"C.M.Weiller, S.W.L.Jacobs, I.R.Thompson",Author,Amphibromus nervosus
"C.M.Weiller, S.W.L.Jacobs, I.R.Thompson",Author,Amphibromus pithogastrus
"C.M.Weiller, S.W.L.Jacobs, I.R.Thompson",Author,Amphibromus recurvatus
"C.M.Weiller, S.W.L.Jacobs, I.R.Thompson",Author,Amphibromus sinuatus
"C.M.Weiller, S.W.L.Jacobs, I.R.Thompson",Author,Amphibromus vickeryae
"C.M.Weiller, S.W.L.Jacobs, I.R.Thompson",Author,Amphibromus whitei
"Peter D. Bostock, R.E. Holttum",Author,Amphineuron immersum
A.M. Wheeler (editorial assistance January 2023),Contributor,Amphineuron immersum
"Peter D. Bostock, R.E. Holttum",Author,Amphineuron opulentum
A.M. Wheeler (editorial assistance January 2023),Contributor,Amphineuron opulentum
"Peter D. Bostock, R.E. Holttum",Author,Amphineuron queenslandicum
"A.M. Wheeler (editorial assistance January 2023), P.G. Kodela (ed. 19 April 2023)",Contributor,Amphineuron queenslandicum
"Peter D. Bostock, R.E. Holttum",Author,Amphineuron terminans
A.M. Wheeler (editorial assistance January 2023),Contributor,Amphineuron terminans
T.D.Macfarlane,Author,Amphipogon amphipogonoides
T.D.Macfarlane,Author,Amphipogon avenaceus
T.D.Macfarlane,Author,Amphipogon caricinus var. caricinus
T.D.Macfarlane,Author,Amphipogon caricinus var. scaber
T.D.Macfarlane,Author,Amphipogon caricinus
T.D.Macfarlane,Author,Amphipogon debilis
T.D.Macfarlane,Author,Amphipogon laguroides subsp. havelii
T.D.Macfarlane,Author,Amphipogon laguroides subsp. laguroides
T.D.Macfarlane,Author,Amphipogon laguroides
T.D.Macfarlane,Author,Amphipogon sericeus
T.D.Macfarlane,Author,Amphipogon setaceus
T.D.Macfarlane,Author,Amphipogon strictus
T.D.Macfarlane,Author,Amphipogon turbinatus
B.A.Barlow,Author,Amyema benthamii
B.A.Barlow,Author,Amyema bifurcatum var. bifurcatum
B.A.Barlow,Author,Amyema bifurcatum var. eburneum
B.A.Barlow,Author,Amyema bifurcatum
B.A.Barlow,Author,Amyema biniflorum
B.A.Barlow,Author,Amyema cambagei
B.A.Barlow,Author,Amyema congener subsp. congener
B.A.Barlow,Author,Amyema congener subsp. divergens
B.A.Barlow,Author,Amyema congener subsp. rotundifolium
B.A.Barlow,Author,Amyema congener
B.A.Barlow,Author,Amyema conspicuum subsp. conspicuum
B.A.Barlow,Author,Amyema conspicuum subsp. obscurinerve
B.A.Barlow,Author,Amyema conspicuum
B.A.Barlow,Author,Amyema dolichopodum
B.A.Barlow,Author,Amyema fitzgeraldii
B.A.Barlow,Author,Amyema friesianum
B.A.Barlow,Author,Amyema gaudichaudii
B.A.Barlow,Author,Amyema gibberulum var. gibberulum
B.A.Barlow,Author,Amyema gibberulum var. tatei
B.A.Barlow,Author,Amyema gibberulum
B.A.Barlow,Author,Amyema glabrum
B.A.Barlow,Author,Amyema haematodes
B.A.Barlow,Author,Amyema herbertianum
B.A.Barlow,Author,Amyema hillianum
B.A.Barlow,Author,Amyema linophyllum subsp. linophyllum
B.A.Barlow,Author,Amyema linophyllum subsp. orientale
B.A.Barlow,Author,Amyema linophyllum
B.A.Barlow,Author,Amyema lucasii
B.A.Barlow,Author,Amyema mackayense subsp. cycnei-sinus
B.A.Barlow,Author,Amyema mackayense subsp. mackayense
B.A.Barlow,Author,Amyema mackayense
B.A.Barlow,Author,Amyema maidenii subsp. angustifolium
B.A.Barlow,Author,Amyema maidenii subsp. maidenii
B.A.Barlow,Author,Amyema maidenii
B.A.Barlow,Author,Amyema melaleucae
B.A.Barlow,Author,Amyema microphyllum
B.A.Barlow,Author,Amyema miquelii
B.A.Barlow,Author,Amyema miraculosum subsp. boormanii
B.A.Barlow,Author,Amyema miraculosum subsp. miraculosum
B.A.Barlow,Author,Amyema miraculosum
B.A.Barlow,Author,Amyema nestor
B.A.Barlow,Author,Amyema pendulum subsp. longifolium
B.A.Barlow,Author,Amyema pendulum subsp. pendulum
B.A. Barlow,Author,Amyema pendulum
B.A.Barlow,Author,Amyema preissii
B.A.Barlow,Author,Amyema quandang var. bancroftii
B.A.Barlow,Author,Amyema quandang var. quandang
B.A.Barlow,Author,Amyema quandang
B.A.Barlow,Author,Amyema quaternifolium
B.A. Barlow,Author,Amyema queenslandicum
B.A.Barlow,Author,Amyema sanguineum var. pulchrum
B.A. Barlow,Author,Amyema sanguineum var. sanguineum
B.A. Barlow,Author,Amyema sanguineum
B.A.Barlow,Author,Amyema seemenianum subsp. flexuosum
B.A.Barlow,Author,Amyema seemenianum
B.A.Barlow,Author,Amyema subcapitatum
B.A. Barlow,Author,Amyema thalassium
B.A.Barlow,Author,Amyema tridactylum
B.A.Barlow,Author,Amyema villiflorum subsp. tomentillum
B.A.Barlow,Author,Amyema villiflorum subsp. villiflorum
B.A.Barlow,Author,Amyema villiflorum
B.A.Barlow,Author,Amyema whitei
B.A.Barlow,Author,Amylotheca dictyophleba
B.A.Barlow,Author,Amylotheca subumbellata
J.G.Conran,Author,Ananas comosus
"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss",Author,Anarthria gracilis
Phillip G. Kodela,Editor,Anarthria gracilis
"B.G. Briggs (final submission June 2018); P.E. Bolton (ed. June 2018); P.G. Kodela (ed. June 2018, August 2018)",Contributor,Anarthria gracilis
"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss",Author,Anarthria humilis
Phillip G. Kodela,Editor,Anarthria humilis
"B.G. Briggs (final submission June 2018); P.E. Bolton (ed. June 2018); P.G. Kodela (ed. June 2018, August 2018)",Contributor,Anarthria humilis
"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss",Author,Anarthria laevis
Phillip G. Kodela,Editor,Anarthria laevis
"B.G. Briggs (final submission June 2018); P.E. Bolton (ed. June 2018); P.G. Kodela (ed. June 2018, August 2018)",Contributor,Anarthria laevis
"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss",Author,Anarthria polyphylla
Phillip G. Kodela,Editor,Anarthria polyphylla
"B.G. Briggs (final submission June 2018), P.E. Bolton (ed. June 2018); P.G. Kodela (ed. June 2018, August 2018)",Contributor,Anarthria polyphylla
"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss",Author,Anarthria prolifera
Phillip G. Kodela,Editor,Anarthria prolifera
"B.G. Briggs (final submission June 2018); P.E. Bolton (ed. June 2018); P.G. Kodela (ed. June 2018, August 2018)",Contributor,Anarthria prolifera
"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss",Author,Anarthria scabra
Phillip G. Kodela,Editor,Anarthria scabra
"B.G. Briggs (final submission June 2018); P.E. Bolton (ed. June 2018); P.G. Kodela (ed. June 2018, August 2018)",Contributor,Anarthria scabra
Hj. Eichler & J.A. Jeanes,Author,Anemone crassifolia
"John R. Busby (ed. October, December 2021)",Contributor,Anemone crassifolia
"Josephine M. Camus, P.G. Kodela",Author,Angiopteris evecta
P.G. Kodela,Editor,Angiopteris evecta
"A.V. Slee, M.I.H. Brooker, S.M. Duffy, J.G. West",Author,Angophora bakeri subsp. bakeri
"P.G. Kodela, John R. Busby",Editor,Angophora bakeri subsp. bakeri
"A.V. Slee, M.I.H. Brooker, S.M. Duffy, J.G. West",Author,Angophora bakeri subsp. crassifolia
"P.G. Kodela, John R. Busby",Editor,Angophora bakeri subsp. crassifolia
"A.V. Slee, M.I.H. Brooker, S.M. Duffy, J.G. West",Author,Angophora bakeri
"P.G. Kodela, John R. Busby",Editor,Angophora bakeri
"A.V. Slee, M.I.H. Brooker, S.M. Duffy, J.G. West",Author,Angophora costata subsp. costata
"P.G. Kodela, John R. Busby",Editor,Angophora costata subsp. costata
"A.V. Slee, M.I.H. Brooker, S.M. Duffy, J.G. West",Author,Angophora costata subsp. euryphylla
"P.G. Kodela, John R. Busby",Editor,Angophora costata subsp. euryphylla
"A.V. Slee, M.I.H. Brooker, S.M. Duffy, J.G. West",Author,Angophora costata subsp. leiocarpa
"P.G. Kodela, John R. Busby",Editor,Angophora costata subsp. leiocarpa
Editor,Author,Angophora costata
P.G. Kodela,Editor,Angophora costata
"John R. Busby (editorial assistance, December 2021)",Contributor,Angophora costata
"A.V. Slee, M.I.H. Brooker, S.M. Duffy, J.G. West",Author,Angophora floribunda
"P.G. Kodela, John R. Busby",Editor,Angophora floribunda
"A.V. Slee, M.I.H. Brooker, S.M. Duffy, J.G. West",Author,Angophora hispida
"P.G. Kodela, John R. Busby",Editor,Angophora hispida
"A.V. Slee, M.I.H. Brooker, S.M. Duffy, J.G. West",Author,Angophora melanoxylon
"P.G. Kodela, John R. Busby",Editor,Angophora melanoxylon
"A.V. Slee, M.I.H. Brooker, S.M. Duffy, J.G. West",Author,Angophora robur
"P.G. Kodela, John R. Busby",Editor,Angophora robur
"A.V. Slee, M.I.H. Brooker, S.M. Duffy, J.G. West",Author,Angophora subvelutina
"P.G. Kodela, John R. Busby",Editor,Angophora subvelutina
"A.V. Slee, M.I.H. Brooker, S.M. Duffy, J.G. West",Author,Angophora woodsiana
"P.G. Kodela, John R. Busby",Editor,Angophora woodsiana
S.D.Hopper,Author,Anigozanthos bicolor subsp. bicolor
S.D.Hopper,Author,Anigozanthos bicolor subsp. decrescens
