Latitude,Longitude,Sex,Height (cm),Diameter (cm),Site ,Date
-33.50106,138.07758,J,77,33,Clements Gap Conservation Park,8/14/2020
-33.50108,138.07762,M,78,62,Clements Gap Conservation Park,8/14/2020
-33.5011,138.0777,J,106,71,Clements Gap Conservation Park,8/14/2020
-33.5011,138.0777,J,68,10,Clements Gap Conservation Park,8/14/2020
-33.5011,138.0777,J,61,11,Clements Gap Conservation Park,8/14/2020
-33.5011,138.0777,J,54,11,Clements Gap Conservation Park,8/14/2020
-33.0117,138.0777,J,87,33,Clements Gap Conservation Park,8/14/2020
-33.0117,138.0777,M,133,99,Clements Gap Conservation Park,8/14/2020
-33.0117,138.0777,F,164,163,Clements Gap Conservation Park,8/14/2020
-32.24873,135.05653,J,70,48,Hiltaba Nature Reserve,10/03/2020
-32.24863,135.05644,M,55,70,Hiltaba Nature Reserve,10/03/2020
-32.24842,135.05646,I,122,80,Hiltaba Nature Reserve,10/03/2020
-32.24836,135.05644,I,227,160,Hiltaba Nature Reserve,10/03/2020
-32.24829,135.05663,F,170,95,Hiltaba Nature Reserve,10/03/2020
-32.2483,135.05663,F,165,150,Hiltaba Nature Reserve,10/03/2020
-32.24831,135.05663,M,65,40,Hiltaba Nature Reserve,10/03/2020
-32.24838,135.05659,I,120,90,Hiltaba Nature Reserve,10/03/2020
-32.24827,135.5669,M,100,50,Hiltaba Nature Reserve,10/03/2020
-32.24836,135.05661,I,180,90,Hiltaba Nature Reserve,10/03/2020
-32.24836,135.05661,M,165,70,Hiltaba Nature Reserve,10/03/2020
-32.24836,135.05661,M,175,100,Hiltaba Nature Reserve,10/03/2020
-32.24841,135.05647,J,54,19,Hiltaba Nature Reserve,10/03/2020
-32.24906,135.05647,F,170,150,Hiltaba Nature Reserve,10/03/2020
-32.24249,135.05638,J,112,50,Hiltaba Nature Reserve,10/03/2020
-32.24916,135.05658,J,92,75,Hiltaba Nature Reserve,10/03/2020
-32.24914,135.05658,M,80,55,Hiltaba Nature Reserve,10/03/2020
-32.24914,135.05659,M,57,36,Hiltaba Nature Reserve,10/03/2020
-32.24946,135.05627,F,80,110,Hiltaba Nature Reserve,10/03/2020
-32.25208,135.05632,M,140,52,Hiltaba Nature Reserve,10/03/2020
-32.25208,135.05632,F,130,170,Hiltaba Nature Reserve,10/03/2020
-32.25033,135.05672,I,110,120,Hiltaba Nature Reserve,10/03/2020
-32.25033,135.05672,I,135,140,Hiltaba Nature Reserve,10/03/2020
-32.25034,135.0567,I,130,90,Hiltaba Nature Reserve,10/03/2020
-32.25029,135.05666,M,93,60,Hiltaba Nature Reserve,10/03/2020
-32.24972,135.05615,F,130,160,Hiltaba Nature Reserve,10/03/2020
-32.24947,135.05611,F,188,265,Hiltaba Nature Reserve,10/03/2020
-32.24944,135.05605,F,183,170,Hiltaba Nature Reserve,10/03/2020
-32.24942,135.05615,F,150,155,Hiltaba Nature Reserve,10/03/2020
-32.24912,135.05603,F,165,180,Hiltaba Nature Reserve,10/03/2020
-32.24903,135.05598,J,58,33,Hiltaba Nature Reserve,10/03/2020
-32.24916,135.05614,J,103,62,Hiltaba Nature Reserve,10/03/2020
-32.24837,135.05615,J,85,52,Hiltaba Nature Reserve,10/03/2020
-32.24829,135.05621,M,72,104,Hiltaba Nature Reserve,10/03/2020
