family,taxa,spauth,infraspecauth,oilcontentval,oilmaterialdesc,moisturestatus,oilnotes,refshort,refdesc
LEGUMINOSAE-CAESALPINIOIDEAE,Tamarindus indica,L.,,7,Entire seed/nut,Moisture content not stated,Mid-point of the range 6-8,"(Riley, 1981)","Riley, J.M. 1981. Growing rare fruit from seeds. California Rare Fruit Growers Yearbook, 13:1-47."
LEGUMINOSAE-CAESALPINIOIDEAE,Tamarindus indica,L.,,7,Entire seed/nut,Moisture content not stated,Mid-point of the range 6-8,"(Some et al., 1990)","Some, L.M., Sary, H. and Bellefontaine, R. 1990. Conservation en chambre froide des graines pretraitees de six especes sahelo-soudaniennes. Bois et Forets des Tropiques, 225:42-46."
LEGUMINOSAE-CAESALPINIOIDEAE,Tamarindus indica,L.,,7.4,Entire seed/nut,Moisture content not stated,,"(Albrecht, 1993)","Albrecht, J. 1993. Tree Seed Handbook of Kenya. Nairobi, Kenya: GTZ Forestry Seed Centre Muguga."
LEGUMINOSAE-CAESALPINIOIDEAE,Tamarindus indica,L.,,7.4,Entire seed/nut,Moisture content not stated,,"(Garcia & Duran, 1989)","Garcia, F.P. and Duran, J.M. 1989. Germinacion de especies endemicas de las regiones mediterranea occidental y Macaronesica. Investigacion Agraria Produccion Vegetales 4:25-33."
LEGUMINOSAE-CAESALPINIOIDEAE,Tamarindus indica,L.,,7.4,Entire seed/nut,Moisture content not stated,,"(Ng et al., 1993)","Ng, N.Q., Lapido, D.O., Kang, B.T. and Atta-Krah, A.N. 1993. Multipurpose tree and shrub germplasm evaluation and conservation at IITA. In Proceedings of the International Consultation on the Development of the ICRAF MTP-Germplasm Resource Centre, Nairobi"
LEGUMINOSAE-CAESALPINIOIDEAE,Tamarindus indica,L.,,7.4,Entire seed/nut,Moisture content not stated,,"(Riley, 1981)","Riley, J.M. 1981. Growing rare fruit from seeds. California Rare Fruit Growers Yearbook, 13:1-47."
LEGUMINOSAE-CAESALPINIOIDEAE,Tamarindus indica,L.,,7.4,Entire seed/nut,Moisture content not stated,,"(Some et al., 1990)","Some, L.M., Sary, H. and Bellefontaine, R. 1990. Conservation en chambre froide des graines pretraitees de six especes sahelo-soudaniennes. Bois et Forets des Tropiques, 225:42-46."
LEGUMINOSAE-MIMOSOIDEAE,Acacia longifolia,(Andrews) Willd.,,12.5,Entire seed/nut,Moisture content not stated,,"(Ewart, 1908)","Ewart, A.J. 1908. On the longevity of seeds. Proceedings of the Royal Society Victoria, 21:1-210."
LEGUMINOSAE-MIMOSOIDEAE,Acacia longifolia,(Andrews) Willd.,,13.2,Entire seed/nut,Moisture content not stated,,"(Ewart, 1908)","Ewart, A.J. 1908. On the longevity of seeds. Proceedings of the Royal Society Victoria, 21:1-210."
LEGUMINOSAE-MIMOSOIDEAE,Acacia stricta,(Andrews) Willd.,,15.9,Entire seed/nut,Moisture content not stated,,,
LEGUMINOSAE-MIMOSOIDEAE,Albizia lebbeck,(L.) Benth.,,5.3,Entire seed/nut,Moisture content not stated,,"(Campbell, 1980)","Campbell, M.W. 1980. Plant Propagation for Reforestation in Nepal. Technical Note 1/80. Department of Forestry, Australian National University."
LEGUMINOSAE-MIMOSOIDEAE,Albizia lebbeck,(L.) Benth.,,5.3,Entire seed/nut,Moisture content not stated,,"(Dent, 1942)","Dent, T.V. 1942. Some records of extreme longevity of seeds of Indian forest plants. Indian Forester, 68:617-631."
LEGUMINOSAE-MIMOSOIDEAE,Albizia lebbeck,(L.) Benth.,,5.3,Entire seed/nut,Moisture content not stated,,"(Dent, 1948)","Dent, T.V. 1948. Indian Forest Records. Silviculture. Vol. 7, No 1. Seed Storage, with Particular Reference to the Storage of Seed of Indian Forest Plants. Delhi."
LEGUMINOSAE-MIMOSOIDEAE,Albizia lebbeck,(L.) Benth.,,5.3,Entire seed/nut,Moisture content not stated,,"(Ewart, 1908)","Ewart, A.J. 1908. On the longevity of seeds. Proceedings of the Royal Society Victoria, 21:1-210."
LEGUMINOSAE-MIMOSOIDEAE,Albizia lebbeck,(L.) Benth.,,5.3,Entire seed/nut,Moisture content not stated,,"(Kandya, 1987)","Kandya, A.K. 1987. Forest seed in India: Research and problems. In Procceedings of the International Symposium on Forest Seed Problems in Africa. Harare, Zimbabwe, August 23 - Sept. 2 1987. (Ed. by S.K. Kamra). Swedish Agriculture University, Umea, Sweden"
LEGUMINOSAE-MIMOSOIDEAE,Albizia lebbeck,(L.) Benth.,,5.3,Entire seed/nut,Moisture content not stated,,"(Kaul, 1979)","Kaul, M.L.H. 1979. The life-span of some indian forest seeds. Beitrage zur Tropischen Lanwirtschaft und Veternarmedzin, 17:283-286."
LEGUMINOSAE-MIMOSOIDEAE,Albizia lebbeck,(L.) Benth.,,5.3,Entire seed/nut,Moisture content not stated,,"(Ng et al., 1993)","Ng, N.Q., Lapido, D.O., Kang, B.T. and Atta-Krah, A.N. 1993. Multipurpose tree and shrub germplasm evaluation and conservation at IITA. In Proceedings of the International Consultation on the Development of the ICRAF MTP-Germplasm Resource Centre, Nairobi"
LEGUMINOSAE-MIMOSOIDEAE,Albizia lebbeck,(L.) Benth.,,5.3,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place)","RBG Kew, Wakehurst Place."
LEGUMINOSAE-MIMOSOIDEAE,Albizia lebbeck,(L.) Benth.,,5.3,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place)","RBG Kew, Wakehurst Place; material provided by The National Center for Agricultural Research and Technology Transfer, Jordan."
LEGUMINOSAE-MIMOSOIDEAE,Albizia lebbeck,(L.) Benth.,,6.8,Entire seed/nut,Moisture content not stated,,"(Campbell, 1980)","Campbell, M.W. 1980. Plant Propagation for Reforestation in Nepal. Technical Note 1/80. Department of Forestry, Australian National University."
LEGUMINOSAE-MIMOSOIDEAE,Albizia lebbeck,(L.) Benth.,,6.8,Entire seed/nut,Moisture content not stated,,"(Dent, 1942)","Dent, T.V. 1942. Some records of extreme longevity of seeds of Indian forest plants. Indian Forester, 68:617-631."
LEGUMINOSAE-MIMOSOIDEAE,Albizia lebbeck,(L.) Benth.,,6.8,Entire seed/nut,Moisture content not stated,,"(Dent, 1948)","Dent, T.V. 1948. Indian Forest Records. Silviculture. Vol. 7, No 1. Seed Storage, with Particular Reference to the Storage of Seed of Indian Forest Plants. Delhi."
LEGUMINOSAE-MIMOSOIDEAE,Albizia lebbeck,(L.) Benth.,,6.8,Entire seed/nut,Moisture content not stated,,"(Ewart, 1908)","Ewart, A.J. 1908. On the longevity of seeds. Proceedings of the Royal Society Victoria, 21:1-210."
LEGUMINOSAE-MIMOSOIDEAE,Albizia lebbeck,(L.) Benth.,,6.8,Entire seed/nut,Moisture content not stated,,"(Kandya, 1987)","Kandya, A.K. 1987. Forest seed in India: Research and problems. In Procceedings of the International Symposium on Forest Seed Problems in Africa. Harare, Zimbabwe, August 23 - Sept. 2 1987. (Ed. by S.K. Kamra). Swedish Agriculture University, Umea, Sweden"
LEGUMINOSAE-MIMOSOIDEAE,Albizia lebbeck,(L.) Benth.,,6.8,Entire seed/nut,Moisture content not stated,,"(Kaul, 1979)","Kaul, M.L.H. 1979. The life-span of some indian forest seeds. Beitrage zur Tropischen Lanwirtschaft und Veternarmedzin, 17:283-286."
LEGUMINOSAE-MIMOSOIDEAE,Albizia lebbeck,(L.) Benth.,,6.8,Entire seed/nut,Moisture content not stated,,"(Ng et al., 1993)","Ng, N.Q., Lapido, D.O., Kang, B.T. and Atta-Krah, A.N. 1993. Multipurpose tree and shrub germplasm evaluation and conservation at IITA. In Proceedings of the International Consultation on the Development of the ICRAF MTP-Germplasm Resource Centre, Nairobi"
LEGUMINOSAE-MIMOSOIDEAE,Albizia lebbeck,(L.) Benth.,,6.8,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place)","RBG Kew, Wakehurst Place."
LEGUMINOSAE-MIMOSOIDEAE,Albizia lebbeck,(L.) Benth.,,6.8,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place)","RBG Kew, Wakehurst Place; material provided by The National Center for Agricultural Research and Technology Transfer, Jordan."
LEGUMINOSAE-MIMOSOIDEAE,Acacia saligna,(Labill.) H.L.Wendl.,,12.7,Entire seed/nut,Moisture content not stated,,"(Dent, 1948)","Dent, T.V. 1948. Indian Forest Records. Silviculture. Vol. 7, No 1. Seed Storage, with Particular Reference to the Storage of Seed of Indian Forest Plants. Delhi."
LEGUMINOSAE-MIMOSOIDEAE,Acacia saligna,(Labill.) H.L.Wendl.,,12.7,Entire seed/nut,Moisture content not stated,,"(Kaul, 1979)","Kaul, M.L.H. 1979. The life-span of some indian forest seeds. Beitrage zur Tropischen Lanwirtschaft und Veternarmedzin, 17:283-286."
LEGUMINOSAE-MIMOSOIDEAE,Acacia saligna,(Labill.) H.L.Wendl.,,12.8,Entire seed/nut,Moisture content not stated,,"(Dent, 1948)","Dent, T.V. 1948. Indian Forest Records. Silviculture. Vol. 7, No 1. Seed Storage, with Particular Reference to the Storage of Seed of Indian Forest Plants. Delhi."
LEGUMINOSAE-MIMOSOIDEAE,Acacia saligna,(Labill.) H.L.Wendl.,,12.8,Entire seed/nut,Moisture content not stated,,"(Kaul, 1979)","Kaul, M.L.H. 1979. The life-span of some indian forest seeds. Beitrage zur Tropischen Lanwirtschaft und Veternarmedzin, 17:283-286."
LEGUMINOSAE-MIMOSOIDEAE,Acacia saligna,(Labill.) H.L.Wendl.,,13.5,Entire seed/nut,Moisture content not stated,,"(Dent, 1948)","Dent, T.V. 1948. Indian Forest Records. Silviculture. Vol. 7, No 1. Seed Storage, with Particular Reference to the Storage of Seed of Indian Forest Plants. Delhi."
LEGUMINOSAE-MIMOSOIDEAE,Acacia saligna,(Labill.) H.L.Wendl.,,13.5,Entire seed/nut,Moisture content not stated,,"(Kaul, 1979)","Kaul, M.L.H. 1979. The life-span of some indian forest seeds. Beitrage zur Tropischen Lanwirtschaft und Veternarmedzin, 17:283-286."
LEGUMINOSAE-MIMOSOIDEAE,Acacia saligna,(Labill.) H.L.Wendl.,,13.6,Entire seed/nut,Moisture content not stated,,"(Dent, 1948)","Dent, T.V. 1948. Indian Forest Records. Silviculture. Vol. 7, No 1. Seed Storage, with Particular Reference to the Storage of Seed of Indian Forest Plants. Delhi."
LEGUMINOSAE-MIMOSOIDEAE,Acacia saligna,(Labill.) H.L.Wendl.,,13.6,Entire seed/nut,Moisture content not stated,,"(Kaul, 1979)","Kaul, M.L.H. 1979. The life-span of some indian forest seeds. Beitrage zur Tropischen Lanwirtschaft und Veternarmedzin, 17:283-286."
LEGUMINOSAE-MIMOSOIDEAE,Acacia deanei subsp. paucijuga,"(R.T.Baker) Welch , Coombs & McGlynn",(F.Muell. ex N.A.Wakef.) Tindale,12,Entire seed/nut,Moisture content not stated,,,
LEGUMINOSAE-MIMOSOIDEAE,Acacia ulicifolia,(Salisb.) Court,,7.5,Entire seed/nut,Moisture content not stated,,,
LEGUMINOSAE-MIMOSOIDEAE,Acacia terminalis,(Salisb.) J.F.Macbr.,,12.7,Entire seed/nut,Moisture content not stated,,"(Harrington, 1972)","Harrington, J.F. 1972. Seed storage and longevity. In Seed Biology, Volume III. (Ed. by T.T. Kozlowski). Academic Press, New York & London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia myrtifolia,(Sm.) Willd.,,18.9,Entire seed/nut,Moisture content not stated,,"(Ewart, 1908)","Ewart, A.J. 1908. On the longevity of seeds. Proceedings of the Royal Society Victoria, 21:1-210."
LEGUMINOSAE-MIMOSOIDEAE,Acacia suaveolens,(Sm.) Willd.,,12.4,Entire seed/nut,Moisture content not stated,,"(Ewart, 1908)","Ewart, A.J. 1908. On the longevity of seeds. Proceedings of the Royal Society Victoria, 21:1-210."
LEGUMINOSAE-MIMOSOIDEAE,Acacia suaveolens,(Sm.) Willd.,,13.5,Entire seed/nut,Moisture content not stated,,"(Ewart, 1908)","Ewart, A.J. 1908. On the longevity of seeds. Proceedings of the Royal Society Victoria, 21:1-210."
LEGUMINOSAE-MIMOSOIDEAE,Acacia floribunda,(Vent.) Willd.,,13.2,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place.)","RBG Kew, Wakehurst Place; material provided by Greening Australia, Queensland, Australia."
LEGUMINOSAE-MIMOSOIDEAE,Acacia linifolia,(Vent.) Willd.,,13.9,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place.)","RBG Kew, Wakehurst Place; material provided by Mount Annan Botanic Garden, New South Wales, Australia."
LEGUMINOSAE-MIMOSOIDEAE,Acacia buxifolia,A.Cunn.,,11.8,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place.)","RBG Kew, Wakehurst Place; material provided by Mount Annan Botanic Garden, New South Wales, Australia."
LEGUMINOSAE-MIMOSOIDEAE,Acacia doratoxylon,A.Cunn.,,10.5,Entire seed/nut,Moisture content not stated,,"(Doran et al., 1983)","Doran, J.C., Turbull, J.W., Boland, D.J. and Gunn, B.V. 1983. Handbook of Seeds of Dry zone Acacias. Rome, Food and Agriculture Organisations of the United Nations."
LEGUMINOSAE-MIMOSOIDEAE,Acacia doratoxylon,A.Cunn.,,10.5,Entire seed/nut,Moisture content not stated,,"(Ewart, 1908)","Ewart, A.J. 1908. On the longevity of seeds. Proceedings of the Royal Society Victoria, 21:1-210."
LEGUMINOSAE-MIMOSOIDEAE,Acacia lanigera,A.Cunn.,,11.9,Entire seed/nut,Moisture content not stated,,"(Ewart, 1908)","Ewart, A.J. 1908. On the longevity of seeds. Proceedings of the Royal Society Victoria, 21:1-210."
LEGUMINOSAE-MIMOSOIDEAE,Acacia verniciflua,A.Cunn.,,15.9,Entire seed/nut,Moisture content not stated,,"(Ewart, 1908)","Ewart, A.J. 1908. On the longevity of seeds. Proceedings of the Royal Society Victoria, 21:1-210."
LEGUMINOSAE-MIMOSOIDEAE,Acacia aulacocarpa,A.Cunn. ex Benth.,,12.6,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place.)","RBG Kew, Wakehurst Place; material provided by Brisbane Botanic Garden, Queensland, Australia."
LEGUMINOSAE-MIMOSOIDEAE,Acacia auriculiformis,A.Cunn. ex Benth.,,6,Entire seed/nut,Moisture content not stated,,"(Langkamp & Plaisted, 1987)","Langkamp, P. and Plaisted, M. 1987. Appendix 1. Native plant seed usage by the mining industry - a survey. In Germination of Australian Native Plant Seed. (Ed. by P. Langkamp), pp. 135-181. Inkata Press, Melbourne, Syney."
LEGUMINOSAE-MIMOSOIDEAE,Acacia auriculiformis,A.Cunn. ex Benth.,,6,Entire seed/nut,Moisture content not stated,,"(Ng et al., 1993)","Ng, N.Q., Lapido, D.O., Kang, B.T. and Atta-Krah, A.N. 1993. Multipurpose tree and shrub germplasm evaluation and conservation at IITA. In Proceedings of the International Consultation on the Development of the ICRAF MTP-Germplasm Resource Centre, Nairobi"
LEGUMINOSAE-MIMOSOIDEAE,Acacia auriculiformis,A.Cunn. ex Benth.,,7.4,Entire seed/nut,Moisture content not stated,,"(Langkamp & Plaisted, 1987)","Langkamp, P. and Plaisted, M. 1987. Appendix 1. Native plant seed usage by the mining industry - a survey. In Germination of Australian Native Plant Seed. (Ed. by P. Langkamp), pp. 135-181. Inkata Press, Melbourne, Syney."
LEGUMINOSAE-MIMOSOIDEAE,Acacia auriculiformis,A.Cunn. ex Benth.,,7.4,Entire seed/nut,Moisture content not stated,,"(Ng et al., 1993)","Ng, N.Q., Lapido, D.O., Kang, B.T. and Atta-Krah, A.N. 1993. Multipurpose tree and shrub germplasm evaluation and conservation at IITA. In Proceedings of the International Consultation on the Development of the ICRAF MTP-Germplasm Resource Centre, Nairobi"
LEGUMINOSAE-MIMOSOIDEAE,Acacia auriculiformis,A.Cunn. ex Benth.,,13.1,Entire seed/nut,Moisture content not stated,,"(Langkamp & Plaisted, 1987)","Langkamp, P. and Plaisted, M. 1987. Appendix 1. Native plant seed usage by the mining industry - a survey. In Germination of Australian Native Plant Seed. (Ed. by P. Langkamp), pp. 135-181. Inkata Press, Melbourne, Syney."
LEGUMINOSAE-MIMOSOIDEAE,Acacia auriculiformis,A.Cunn. ex Benth.,,13.1,Entire seed/nut,Moisture content not stated,,"(Ng et al., 1993)","Ng, N.Q., Lapido, D.O., Kang, B.T. and Atta-Krah, A.N. 1993. Multipurpose tree and shrub germplasm evaluation and conservation at IITA. In Proceedings of the International Consultation on the Development of the ICRAF MTP-Germplasm Resource Centre, Nairobi"
LEGUMINOSAE-MIMOSOIDEAE,Acacia cardiophylla,A.Cunn. ex Benth.,,13.3,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place.)","RBG Kew, Wakehurst Place; material provided by Mount Annan Botanic Garden, New South Wales, Australia."
LEGUMINOSAE-MIMOSOIDEAE,Acacia complanata,A.Cunn. ex Benth.,,10.3,Entire seed/nut,Moisture content not stated,,,
LEGUMINOSAE-MIMOSOIDEAE,Acacia conferta,A.Cunn. ex Benth.,,10.2,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place.)","RBG Kew, Wakehurst Place; material provided by University of Queensland, Australia."
LEGUMINOSAE-MIMOSOIDEAE,Acacia elata,A.Cunn. ex Benth.,,7.7,Entire seed/nut,Moisture content not stated,,"(Ewart, 1908)","Ewart, A.J. 1908. On the longevity of seeds. Proceedings of the Royal Society Victoria, 21:1-210."
LEGUMINOSAE-MIMOSOIDEAE,Acacia elata,A.Cunn. ex Benth.,,9,Entire seed/nut,Moisture content not stated,,"(Ewart, 1908)","Ewart, A.J. 1908. On the longevity of seeds. Proceedings of the Royal Society Victoria, 21:1-210."
LEGUMINOSAE-MIMOSOIDEAE,Acacia hakeoides,A.Cunn. ex Benth.,,13.7,Entire seed/nut,Moisture content not stated,,,"Seed Conservation Centre, Adelaide Botanic Gardens, Southern Australia"
LEGUMINOSAE-MIMOSOIDEAE,Acacia ligulata,A.Cunn. ex Benth.,,10,Entire seed/nut,Moisture content not stated,,"(Langkamp & Plaisted, 1987)","Langkamp, P. and Plaisted, M. 1987. Appendix 1. Native plant seed usage by the mining industry - a survey. In Germination of Australian Native Plant Seed. (Ed. by P. Langkamp), pp. 135-181. Inkata Press, Melbourne, Syney."
LEGUMINOSAE-MIMOSOIDEAE,Acacia ligulata,A.Cunn. ex Benth.,,10.9,Entire seed/nut,Moisture content not stated,,"(Langkamp & Plaisted, 1987)","Langkamp, P. and Plaisted, M. 1987. Appendix 1. Native plant seed usage by the mining industry - a survey. In Germination of Australian Native Plant Seed. (Ed. by P. Langkamp), pp. 135-181. Inkata Press, Melbourne, Syney."
LEGUMINOSAE-MIMOSOIDEAE,Acacia neriifolia,A.Cunn. ex Benth.,,13.4,Entire seed/nut,Moisture content not stated,,"(Ewart, 1908)","Ewart, A.J. 1908. On the longevity of seeds. Proceedings of the Royal Society Victoria, 21:1-210."
LEGUMINOSAE-MIMOSOIDEAE,Acacia siculiformis,A.Cunn. ex Benth.,,11.2,Entire seed/nut,Moisture content not stated,,,
LEGUMINOSAE-MIMOSOIDEAE,Acacia spectabilis,A.Cunn. ex Benth.,,10.6,Entire seed/nut,Moisture content not stated,,"(Langkamp & Plaisted, 1987)","Langkamp, P. and Plaisted, M. 1987. Appendix 1. Native plant seed usage by the mining industry - a survey. In Germination of Australian Native Plant Seed. (Ed. by P. Langkamp), pp. 135-181. Inkata Press, Melbourne, Syney."
LEGUMINOSAE-MIMOSOIDEAE,Acacia adunca,A.Cunn. ex G.Don,,14,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place.)","RBG Kew, Wakehurst Place; material provided by Brisbane Botanic Garden, Queensland, Australia."
LEGUMINOSAE-MIMOSOIDEAE,Acacia cultriformis,A.Cunn. ex G.Don,,12.3,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place.)","RBG Kew, Wakehurst Place; material provided by Mount Annan Botanic Garden, New South Wales, Australia."
LEGUMINOSAE-MIMOSOIDEAE,Acacia cyclops,A.Cunn. ex G.Don,,9.9,Entire seed/nut,Moisture content not stated,,"(Langkamp & Plaisted, 1987)","Langkamp, P. and Plaisted, M. 1987. Appendix 1. Native plant seed usage by the mining industry - a survey. In Germination of Australian Native Plant Seed. (Ed. by P. Langkamp), pp. 135-181. Inkata Press, Melbourne, Syney."
LEGUMINOSAE-MIMOSOIDEAE,Acacia cyclops,A.Cunn. ex G.Don,,12.1,Entire seed/nut,Moisture content not stated,,"(Langkamp & Plaisted, 1987)","Langkamp, P. and Plaisted, M. 1987. Appendix 1. Native plant seed usage by the mining industry - a survey. In Germination of Australian Native Plant Seed. (Ed. by P. Langkamp), pp. 135-181. Inkata Press, Melbourne, Syney."
LEGUMINOSAE-MIMOSOIDEAE,Acacia fimbriata,A.Cunn. ex G.Don,,11,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place.)","RBG Kew, Wakehurst Place; material provided by Brisbane Botanic Garden, Queensland, Australia."
LEGUMINOSAE-MIMOSOIDEAE,Acacia pendula,A.Cunn. ex G.Don,,10.9,Entire seed/nut,Moisture content not stated,,"(Doran et al., 1983)","Doran, J.C., Turbull, J.W., Boland, D.J. and Gunn, B.V. 1983. Handbook of Seeds of Dry zone Acacias. Rome, Food and Agriculture Organisations of the United Nations."
LEGUMINOSAE-MIMOSOIDEAE,Acacia podalyriifolia,A.Cunn. ex G.Don,,10.2,Entire seed/nut,Moisture content not stated,,"(Langkamp & Plaisted, 1987)","Langkamp, P. and Plaisted, M. 1987. Appendix 1. Native plant seed usage by the mining industry - a survey. In Germination of Australian Native Plant Seed. (Ed. by P. Langkamp), pp. 135-181. Inkata Press, Melbourne, Syney."
LEGUMINOSAE-MIMOSOIDEAE,Acacia prominens,A.Cunn. ex G.Don,,10.1,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place.)","RBG Kew, Wakehurst Place; material provided by Mount Annan Botanic Garden, New South Wales, Australia."
LEGUMINOSAE-MIMOSOIDEAE,Acacia acuminata,Benth.,,17.5,Entire seed/nut,Moisture content not stated,,"(Touchell & Dixon, 1993)","Touchell, D.H. and Dixon, K.W. 1993. Cryopreservation of seed of Western Australian native species. Biodiversity and Conservation, 2(6):594-602."
LEGUMINOSAE-MIMOSOIDEAE,Acacia brachystachya,Benth.,,11.6,Entire seed/nut,Moisture content not stated,,,
LEGUMINOSAE-MIMOSOIDEAE,Acacia excelsa,Benth.,,7.1,Entire seed/nut,Moisture content not stated,,,
LEGUMINOSAE-MIMOSOIDEAE,Acacia hemiteles,Benth.,,5.1,Entire seed/nut,Moisture content not stated,,,
LEGUMINOSAE-MIMOSOIDEAE,Acacia implexa,Benth.,,10.2,Entire seed/nut,Moisture content not stated,,,
LEGUMINOSAE-MIMOSOIDEAE,Acacia ixiophylla,Benth.,,14.7,Entire seed/nut,Moisture content not stated,,,
LEGUMINOSAE-MIMOSOIDEAE,Acacia juncifolia,Benth.,,6.9,Entire seed/nut,Moisture content not stated,,,
LEGUMINOSAE-MIMOSOIDEAE,Acacia montana,Benth.,,16.6,Entire seed/nut,Moisture content not stated,,"(Ewart, 1908)","Ewart, A.J. 1908. On the longevity of seeds. Proceedings of the Royal Society Victoria, 21:1-210."
LEGUMINOSAE-MIMOSOIDEAE,Acacia polybotrya,Benth.,,12.1,Entire seed/nut,Moisture content not stated,,"(Doran et al., 1983)","Doran, J.C., Turbull, J.W., Boland, D.J. and Gunn, B.V. 1983. Handbook of Seeds of Dry zone Acacias. Rome, Food and Agriculture Organisations of the United Nations."
LEGUMINOSAE-MIMOSOIDEAE,Acacia pycnantha,Benth.,,14.5,Entire seed/nut,Moisture content not stated,,"(Harrington, 1972)","Harrington, J.F. 1972. Seed storage and longevity. In Seed Biology, Volume III. (Ed. by T.T. Kozlowski). Academic Press, New York & London."
LEGUMINOSAE-MIMOSOIDEAE,Acacia schinoides,Benth.,,8.5,Entire seed/nut,Moisture content not stated,,,
LEGUMINOSAE-MIMOSOIDEAE,Acacia venulosa,Benth.,,10.9,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place.)","RBG Kew, Wakehurst Place; material provided by Greening Australia, Queensland, Australia."
LEGUMINOSAE-MIMOSOIDEAE,Acacia victoriae,Benth.,,2.8,Entire seed/nut,Moisture content not stated,,"(Doran et al., 1983)","Doran, J.C., Turbull, J.W., Boland, D.J. and Gunn, B.V. 1983. Handbook of Seeds of Dry zone Acacias. Rome, Food and Agriculture Organisations of the United Nations."
LEGUMINOSAE-MIMOSOIDEAE,Acacia victoriae,Benth.,,3.8,Entire seed/nut,Moisture content not stated,,"(Doran et al., 1983)","Doran, J.C., Turbull, J.W., Boland, D.J. and Gunn, B.V. 1983. Handbook of Seeds of Dry zone Acacias. Rome, Food and Agriculture Organisations of the United Nations."
LEGUMINOSAE-MIMOSOIDEAE,Acacia viscidula,Benth.,,10.8,Entire seed/nut,Moisture content not stated,,,
LEGUMINOSAE-MIMOSOIDEAE,Acacia lasiocalyx,C.R.P.Andrews,,10.8,Entire seed/nut,Moisture content not stated,,,
LEGUMINOSAE-MIMOSOIDEAE,Acacia filicifolia,Cheel & M.B.Welch,,10.7,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place.)","RBG Kew, Wakehurst Place; material provided by Mount Annan Botanic Garden, New South Wales, Australia."
LEGUMINOSAE-MIMOSOIDEAE,Acacia binervata,DC.,,10.3,Entire seed/nut,Moisture content not stated,,,
LEGUMINOSAE-MIMOSOIDEAE,Acacia coriacea,DC.,,7.7,Entire seed/nut,Moisture content not stated,,,
LEGUMINOSAE-MIMOSOIDEAE,Acacia coriacea,DC.,,9.3,Entire seed/nut,Moisture content not stated,,,
LEGUMINOSAE-MIMOSOIDEAE,Acacia falciformis,DC.,,10.1,Entire seed/nut,Moisture content not stated,,"(RBG Kew, Wakehurst Place.)","RBG Kew, Wakehurst Place; material provided by Mount Annan Botanic Garden, New South Wales, Australia."
LEGUMINOSAE-MIMOSOIDEAE,Acacia mearnsii,De Wild.,,11.4,Entire seed/nut,Moisture content not stated,,"(Albrecht, 1993)","Albrecht, J. 1993. Tree Seed Handbook of Kenya. Nairobi, Kenya: GTZ Forestry Seed Centre Muguga."
LEGUMINOSAE-MIMOSOIDEAE,Acacia mearnsii,De Wild.,,11.4,Entire seed/nut,Moisture content not stated,,"(Dent, 1942)","Dent, T.V. 1942. Some records of extreme longevity of seeds of Indian forest plants. Indian Forester, 68:617-631."
LEGUMINOSAE-MIMOSOIDEAE,Acacia mearnsii,De Wild.,,11.4,Entire seed/nut,Moisture content not stated,,"(Dent, 1948)","Dent, T.V. 1948. Indian Forest Records. Silviculture. Vol. 7, No 1. Seed Storage, with Particular Reference to the Storage of Seed of Indian Forest Plants. Delhi."
LEGUMINOSAE-MIMOSOIDEAE,Acacia mearnsii,De Wild.,,11.4,Entire seed/nut,Moisture content not stated,,"(Goo et al., 1979)","Goo, M.I., Ishikawa, I. and Ikoda, H. 1979. Longevity of Acacia mearnsii De Wild. seeds. 1. Results of 17 years storage. Journal of the Japanese Forestry Society, 61:53-57."
LEGUMINOSAE-MIMOSOIDEAE,Acacia mearnsii,De Wild.,,11.4,Entire seed/nut,Moisture content not stated,,"(Kandya, 1987)","Kandya, A.K. 1987. Forest seed in India: Research and problems. In Procceedings of the International Symposium on Forest Seed Problems in Africa. Harare, Zimbabwe, August 23 - Sept. 2 1987. (Ed. by S.K. Kamra). Swedish Agriculture University, Umea, Sweden"
LEGUMINOSAE-MIMOSOIDEAE,Acacia mearnsii,De Wild.,,11.4,Entire seed/nut,Moisture content not stated,,"(Kaul, 1979)","Kaul, M.L.H. 1979. The life-span of some indian forest seeds. Beitrage zur Tropischen Lanwirtschaft und Veternarmedzin, 17:283-286."
