POT,Soil_nutrient_type,Growth_Treatment,Habitat_preference,Elevation_of_origin,T-growth_Experimental_chamber,VPD,Species_ID,Leaf_Dry_Mass,Stem_Dry_Mass,Root_Dry_Mass,AGB_g,Total_Plant_Biomass,LMF,SMF,RMF,R/S,Mean_Leaf_Dry_Mass,Mean_Lamina_Area,SLA,LAR,LMA,Initial_biomass (g),Initial_Plant_height_cm,Initial_R:S,initial_Stem_Volume (cm3),No_of_days,RGR_mg-g-day,Stem_diamter_base,No_of_fully expanded leaves/leaflets,Plant_height,Height:diamter,pi,radius,Stem_Volume,13C,15N,%C,%N,Leaf_C_area,Leaf_N_Area,Soil_N(%),Soil_C(%),Soil_13C,Soil_15N,Stem13C,Stem15N,Stem_C,Stem_N,Root13C,Root15N,Root_C,Root_N,P(ppm),pH,C:N_Leaf,N:P_Leaf,C:P_leaf,Plant_d13C,Plant_d15N,Plant %N,Plant %C,RDM/LDM,AG_C,AG_N
FIF_NP_11,Nutrient Poor,Elevated,Lowland,300,28,1.4,Flindersia ifflana,4.5252,1.34,20.1,5.8652,25.9652,0.17427942,0.051607536,0.774113044,3.426993112,0.225,15.073,66.99111111,0.580507757,149.2735355,3.2,7.585,0.608695652,26.05870535,211,9.922305072,0.879,60,25.6,29.12400455,3.142857,0.4395,15.54112112,-30.6,3.5,40.4,0.8,19.64980545,0.389105058,0.02,0.3,-20.2,4.4,-26,1.4,41.2,0.5,-27.6,4.3,40,0.7,4826,5.2,50.5,1.657687526,83.71322006,-28.0402662,4.010914609,0.707106435,40.13164081,4.441792628,40.58277297,0.937079724
FIF_NP_14,Nutrient Poor,Cold,Lowland,300,16,0.5,Flindersia ifflana,4.0479,1.326,7.1,5.3739,12.4739,0.324509576,0.106301958,0.569188466,1.321200618,0.104,12.08,116.1538462,0.968422065,86.09271523,3.2,7.585,0.608695652,26.05870535,211,6.447808775,0.926,74,21,22.67818575,3.142857,0.463,14.14835336,-28.9,3.1,41.8,1.3,34.60264901,1.07615894,0.02,0.3,-20.2,4.4,-25.7,2.3,41,0.8,-26.4,4.6,39.1,0.9,5488,5.2,32.15384615,2.368804665,76.16618076,-27.13686257,3.868741131,1.019173635,40.17814958,1.753995899,41.60260146,1.546748172
FIF_NP_15,Nutrient Poor,Cold,Lowland,300,16,0.5,Flindersia ifflana,6.3833,0.99,10.47,7.3733,17.8433,0.357742122,0.05548301,0.586774868,1.419988336,0.112,9.976,89.07142857,0.559089406,112.2694467,3.2,7.585,0.608695652,26.05870535,211,8.144442075,0.798,91,26,32.58145363,3.142857,0.399,13.00899541,-30.8,3.7,40.9,1.5,40.99839615,1.503608661,0.02,0.3,-20.2,4.4,-28.4,2.1,39.9,0.6,-28.6,3.1,37.3,0.7,4924,5.2,27.26666667,3.046303818,83.06255077,-29.37593607,3.259162263,0.980645396,38.73212747,1.640217442,40.76573176,1.580560943
FIF_NP_17,Nutrient Poor,Cold,Lowland,300,16,0.5,Flindersia ifflana,5.9398,3.86,9.1,9.7998,18.8998,0.314278458,0.204234965,0.481486577,0.928590379,0.1564,14.993,95.86317136,0.793288818,104.3153472,3.2,7.585,0.608695652,26.05870535,211,8.417064124,0.779,111,32.5,41.72015404,3.142857,0.3895,15.49611769,-30.8,4.3,41.8,0.8,27.87967718,0.533582338,0.02,0.3,-20.2,4.4,-30.2,2.9,40.5,0.4,-30.2,3.5,43.1,0.7,3477,5.2,52.25,2.300834052,120.2185792,-30.38856707,3.628881787,0.670157356,42.16042709,1.532038116,41.28794873,1.627159738
FIF_NR_03,Nutrient Rich,Ambient,Lowland,300,23,0.62,Flindersia ifflana,62.3,2.367,14.8,64.667,79.467,0.783973222,0.029785949,0.18624083,0.2288648,0.5773,36.588,63.37779318,0.460417532,157.7839729,3.2,7.585,0.608695652,26.05870535,211,15.22365418,1.388,175,85.9,61.88760807,3.142857,0.694,130.0279531,-28.4,6.4,42.9,1.7,11.72515579,0.464633213,0.2,3.9,-27.5,5.4,-21.6,4.7,43,1.1,-25.3,4.8,36.3,1.7,3513,5.8,25.23529412,4.839168802,122.117848,-27.62010898,6.05137856,1.682128431,41.67378912,0.237560193,42.90366029,1.809808712
FIF_NR_02,Nutrient Rich,Ambient,Lowland,300,23,0.62,Flindersia ifflana,52.6958,29.2,20.11,81.8958,102.0058,0.516596115,0.286258232,0.197145653,0.245555938,0.2123,24.76,116.627414,0.242731296,85.74313409,3.2,7.585,0.608695652,26.05870535,211,16.40700884,1.12,152,72,64.28571429,3.142857,0.5495,68.32702489,-28.3,5.2,41.9,1.2,16.92245557,0.484652666,0.2,3.9,-27.5,5.4,-24.2,2.6,42.4,0.5,-26.2,4.9,40.3,1.5,7068,5.8,34.91666667,1.697792869,59.28126769,-26.71233538,4.3965849,1.058762933,41.72769607,0.381624342,42.07827532,1.699170898
FIF_NR_04,Nutrient Rich,Ambient,Lowland,300,23,0.62,Flindersia ifflana,33.5604,35.33,18.22,68.8904,87.1104,0.385262839,0.40557729,0.209159871,0.26447807,0.345,31.757,92.04927536,0.364560374,108.6374658,3.2,7.585,0.608695652,26.05870535,211,15.65888848,1.301,77,38,29.20830131,3.142857,0.3395,13.76536637,-28.7,5.5,42.3,1.6,13.31989798,0.503825928,0.2,3.9,-27.5,5.4,-26.8,1.3,42.3,0.5,-26.9,4,40.6,1,6332,5.8,26.4375,2.526847757,66.80353759,-27.55291538,3.482835574,1.028369058,41.94442822,0.542901753,42.3,1.446146923
FIF_NR_08,Nutrient Rich,Elevated,Lowland,300,28,1.4,Flindersia ifflana,40.347,27.9,20.01,68.247,88.257,0.45715354,0.316122234,0.226724226,0.293199701,0.265,40.331,152.1924528,0.456972251,65.70628053,3.2,7.585,0.608695652,26.05870535,211,15.72086352,1.601,58,68.7,42.91068082,3.142857,0.8005,138.357922,-27.9,5.6,38.1,1.3,9.446827502,0.322332697,0.2,3.9,-27.5,5.4,-23.8,5.5,42,0.9,-25.5,5.4,37,1.7,5788,5.8,29.30769231,2.246026261,65.82584658,-26.0597607,5.523042931,1.264240797,39.08348006,0.495947654,39.6943558,3.016998549
FIF_NR_11,Nutrient Rich,Elevated,Lowland,300,28,1.4,Flindersia ifflana,61.2139,39.2,40.21,100.4139,140.6239,0.435302249,0.278757736,0.285940014,0.400442568,0.4092,37.771,92.30449658,0.268595879,108.337084,3.2,7.585,0.608695652,26.05870535,211,17.92861678,1.435,171,98.6,68.71080139,3.142857,0.7175,159.5310952,-28.7,5.2,43.4,1.1,11.49029679,0.29122872,0.2,3.9,-27.5,5.4,-24.8,2.9,41.7,0.8,-26.6,4.5,36.8,1.2,4541,5.8,39.45454545,2.422373926,95.57366219,-27.0123708,4.358699197,1.044966681,41.03890775,0.656876951,42.73634686,1.80269156
FIF_NR_12,Nutrient Rich,Elevated,Lowland,300,28,1.4,Flindersia ifflana,61.2396,58.9,22.1,120.1396,142.2396,0.430538331,0.414090028,0.155371641,0.183952668,0.3498,35.619,101.8267581,0.250415496,98.20601364,3.2,7.585,0.608695652,26.05870535,211,17.982759,1.639,219,86.5,52.77608298,3.142857,0.8195,182.5738797,-28.6,5.2,41.6,1.3,11.67916,0.36497375,0.2,3.9,-27.5,5.4,-25.1,1.2,42.2,0.6,-28.4,4,26.4,0.9,5754,5.8,32,2.25929788,72.29753215,-27.11961057,3.357193918,0.947988324,39.48680508,0.360877602,41.8941578,1.250973701
FIF_NR_13,Nutrient Rich,Cold,Lowland,300,16,0.5,Flindersia ifflana,20.6759,2.31,20.1,22.9859,43.0859,0.479876247,0.053613827,0.466509926,0.874449119,0.3999,34.571,86.44911228,0.802373862,115.6749877,3.2,7.585,0.608695652,26.05870535,211,12.32248809,0.998,142,69.6,69.73947896,3.142857,0.499,54.4671877,-29.8,4,40.5,1.3,11.71502126,0.376037719,0.2,3.9,-27.5,5.4,-27.6,4.3,43,1.2,-27.3,4.1,40.5,1.2,1880,5.8,31.15384615,6.914893617,215.4255319,-28.51577477,4.062735141,1.247987625,40.63403457,0.972146315,40.75124098,1.601489174
FIF_NR_14,Nutrient Rich,Cold,Lowland,300,16,0.5,Flindersia ifflana,20.902,13.46,10.2,34.362,44.562,0.469054351,0.302051075,0.228894574,0.296839532,0.344,20.241,58.84011628,0.454221085,169.9520775,3.2,7.585,0.608695652,26.05870535,211,12.48213587,0.833,111,59,70.82833133,3.142857,0.4165,32.16671004,-28.7,4.9,40.9,1.5,20.20651154,0.741070105,0.2,3.9,-27.5,5.4,-26.9,1.4,41,0.6,-28.8,2.9,40.1,1.2,3995,5.8,27.26666667,3.754693367,102.3779725,-28.17919752,3.38503209,1.15948566,40.74708945,0.48799158,40.93917118,1.460828823
FIF_NR_18,Nutrient Rich,Cold,Lowland,300,16,0.5,Flindersia ifflana,44.4,1.87,20.78,46.27,67.05,0.662192394,0.027889635,0.309917972,0.449103091,0.491,46.362,94.42362525,0.691454139,105.9056986,3.2,7.585,0.608695652,26.05870535,211,14.41842559,1.095,140,89,81.27853881,3.142857,0.5475,83.84610155,-29,4,40.9,1.2,8.821879988,0.258832665,0.2,3.9,-27.5,5.4,-26.9,2,42,0.7,-27.8,4.4,38.9,1.4,3575,5.8,34.08333333,3.356643357,114.4055944,-28.5695302,4.068187919,1.248038777,40.31084265,0.468018018,40.94445645,1.232331965
FOP_NP_02,Nutrient Poor,Ambient,Upland,1550,23,0.62,Flindersia oppositifolia,1.8725,0.991,8.1,2.8635,10.9635,0.170793998,0.090390842,0.738815159,2.828706129,0.0652,9.847,151.0276074,0.898162083,66.21305982,3.15,11.4,0.244928253,30.10292863,211,5.910754127,0.441,47,29.6,67.12018141,3.142857,0.2205,4.523072194,-27.8,3.9,40.5,1.3,41.12927795,1.320199045,0.02,0.3,-20.2,4.4,-27,2.8,41.6,0.5,-27.6,2.6,38.1,1.2,2921,5.2,31.15384615,4.45053064,138.6511469,-27.57992429,2.840110366,1.15380581,38.82627354,4.32576769,40.88068797,1.819119958
FOP_NP_01,Nutrient Poor,Ambient,Upland,1550,23,0.62,Flindersia oppositifolia,1.32,1.12,4.5,2.44,6.94,0.190201729,0.161383285,0.648414986,1.844262295,0.076,4.61,60.65789474,0.66426513,164.8590022,3.15,11.4,0.244928253,30.10292863,211,3.743598681,0.47,28,35.2,74.89361702,3.142857,0.235,6.109462579,-30.2,3.2,39.6,1.3,85.90021692,2.819956616,0.02,0.3,-20.2,4.4,-30,1.4,39.3,0.5,-28.5,3.2,41.4,1.2,3030,5.2,30.46153846,4.290429043,130.6930693,-29.06541787,2.909510086,1.106051873,40.71873199,3.409090909,39.46229508,1.345901639
FOP_NP_04,Nutrient Poor,Ambient,Upland,1550,23,0.62,Flindersia oppositifolia,3.427,1.88,10.22,5.307,15.527,0.220712308,0.12107941,0.658208282,1.925758432,0.0809,8.42,104.07911,0.542281188,96.0807601,3.15,11.4,0.244928253,30.10292863,211,7.560085266,0.852,108,38.9,45.657277,3.142857,0.426,22.18673625,-31.3,3,45.4,1.4,53.9192399,1.662707838,0.02,0.3,-20.2,4.4,-28.6,1.7,39.7,0.5,-27.2,3.2,40.9,0.9,6605,5.2,32.42857143,2.119606359,68.73580621,-28.27443164,2.974238423,0.96192439,41.74791009,2.982200175,43.3807801,1.506274731
FOP_NP_11,Nutrient Poor,Elevated,Upland,1550,28,1.4,Flindersia oppositifolia,1.5012,1.42,7.98,2.9212,10.9012,0.13770961,0.130260889,0.732029501,2.731754074,0.0536,5.654,105.4850746,0.518658496,94.80014149,3.15,11.4,0.244928253,30.10292863,211,5.883746076,0.756,40,56.1,74.20634921,3.142857,0.378,25.19248925,-28.9,4,38.9,2.3,68.80084896,4.067916519,0.02,0.3,-20.2,4.4,-27.4,2.8,42.2,1.2,-28,4,38.5,1,3871,5.2,16.91304348,5.941617153,100.4908292,-28.04578212,3.843686934,1.205074671,39.03704913,5.315747402,40.50413529,2.543050801
FOP_NP_09,Nutrient Poor,Elevated,Upland,1550,28,1.4,Flindersia oppositifolia,1.2425,1.442,7.098,2.6845,9.7825,0.127012522,0.147406082,0.725581395,2.644067797,0.0982,7.51,76.47657841,0.767697419,130.758988,3.15,11.4,0.244928253,30.10292863,211,5.370581148,0.555,24,39.2,70.63063063,3.142857,0.2775,9.487169569,-29.3,5.4,40.7,1.3,54.19440746,1.7310253,0.02,0.3,-20.2,4.4,-27.8,3.5,41.4,1.3,-27.5,3.4,40.8,1.1,2059,5.2,31.30769231,6.313744536,197.6687712,-27.77284436,3.668765653,1.154883721,40.8757424,5.712676056,41.07601043,2.481747066
FOP_NP_12,Nutrient Poor,Elevated,Upland,1550,28,1.4,Flindersia oppositifolia,1.1446,0.92,9.11,2.0646,11.1746,0.102428722,0.082329569,0.815241709,4.412476993,0.0507,7.411,146.17357,0.663200473,68.41182027,3.15,11.4,0.244928253,30.10292863,211,6.001141672,0.496,41,15.2,30.64516129,3.142857,0.248,2.938133809,-29,3,39.2,1.2,52.89434624,1.619214681,0.02,0.3,-20.2,4.4,-28.6,1.9,40.8,1.2,-27.7,2.5,42.1,1,3433,5.2,32.66666667,3.495484999,114.1858433,-27.90725395,2.50181662,1.036951658,41.69592827,7.959112354,39.91297104,1.511924828
FOP_NP_15,Nutrient Poor,Cold,Upland,1550,16,0.5,Flindersia oppositifolia,1.1135,1.21,9.1,2.3235,11.4235,0.097474504,0.105922003,0.796603493,3.916505272,0.0521,7.576,145.4126679,0.663194292,68.76979937,3.15,11.4,0.244928253,30.10292863,211,6.105545897,0.562,37,27,48.04270463,3.142857,0.281,6.700404553,-29.1,2.8,39.6,1.4,52.27032735,1.847940866,0.02,0.3,-20.2,4.4,-29,0.8,38.5,0.5,-28.8,3.1,29.3,1,3669,5.2,28.28571429,3.815753611,107.9313164,-28.85042675,2.827137042,0.9860288,31.27846982,8.172429277,39.02715731,1.087540349
FOP_NP_13,Nutrient Poor,Cold,Upland,1550,16,0.5,Flindersia oppositifolia,0.362,1.27,8.234,1.632,9.866,0.036691668,0.128724914,0.834583418,5.045343137,0.0595,3.852,64.7394958,0.390431786,154.4652129,3.15,11.4,0.244928253,30.10292863,211,5.410862796,0.389,21,15.2,39.07455013,3.142857,0.1945,1.807205004,-31,3.6,39.1,1.6,101.5057113,4.153686397,0.02,0.3,-20.2,4.4,-27.3,1,40.7,0.6,-28.9,2.9,42.7,0.9,4634,5.2,24.4375,3.452740613,84.37634873,-28.77109264,2.681106832,0.887066694,42.31046017,22.74585635,40.34509804,1.133088235
FOP_NP_17,Nutrient Poor,Cold,Upland,1550,16,0.5,Flindersia oppositifolia,0.221,0.98,8.22,1.201,9.421,0.023458232,0.104022928,0.872518841,6.84429642,0.0501,2.807,56.02794411,0.297951385,178.4823655,3.15,11.4,0.244928253,30.10292863,211,5.192126954,0.486,10,11.9,24.48559671,3.142857,0.243,2.2084325,-30.2,3.8,43.8,1.4,156.0384752,4.987531172,0.02,0.3,-20.2,4.4,-28.5,0.1,38.6,0.6,-28.2,2.6,33.7,0.8,5729,5.2,31.28571429,2.443707453,76.45313318,-28.27812334,2.368092559,0.793270353,34.44664048,37.19457014,39.55686928,0.339217319
FOP_NR_04,Nutrient Rich,Ambient,Upland,1550,23,0.62,Flindersia oppositifolia,31.8585,28.2,30.1,60.0585,90.1585,0.353361025,0.312782489,0.333856486,0.501178018,0.1915,18.904,98.7154047,0.209675183,101.3013119,3.15,11.4,0.244928253,30.10292863,211,15.89652502,0.984,214,124.1,126.1178862,3.142857,0.492,94.41187182,-29.9,2.9,38.1,1.3,20.15446466,0.687685146,0.2,3.9,-27.5,5.4,-28.1,2.2,39.2,0.6,-27,4.9,41.9,2,5207,5.8,29.30769231,2.49663914,73.17073171,-28.36880771,3.34876523,1.314751798,39.71271538,0.9448028,38.61649642,1.722587977
FOP_NR_05,Nutrient Rich,Ambient,Upland,1550,23,0.62,Flindersia oppositifolia,209.8154,27.1,11.43,236.9154,248.3454,0.844853176,0.109122214,0.046024609,0.04824507,0.1595,15.709,98.48902821,0.063254645,101.5341524,3.15,11.4,0.244928253,30.10292863,211,20.69866382,1.389,118,93.5,67.31461483,3.142857,0.6945,141.7361827,-29.8,6.7,39.4,1.3,25.08116366,0.827551085,0.2,3.9,-27.5,5.4,-27.2,5.6,40.1,1.2,-27,5.3,39.9,1.6,3107,5.8,30.30769231,4.184100418,126.8104281,-29.38741334,6.515531111,1.302895161,39.49939785,0.054476459,39.48007078,1.79186334
FOP_NR_06,Nutrient Rich,Ambient,Upland,1550,23,0.62,Flindersia oppositifolia,4.9568,1.12,9.22,6.0768,15.2968,0.32404163,0.073217928,0.602740442,1.517245919,0.2283,22.623,99.09329829,1.478936771,100.914998,3.15,11.4,0.244928253,30.10292863,211,7.489294803,0.974,50,48.2,49.48665298,3.142857,0.487,35.92771374,-30.3,6.9,39.4,1.4,17.41590417,0.618839234,0.2,3.9,-27.5,5.4,-25.8,8.7,40.8,2,-26.9,5.9,39.6,2.5,4251,5.8,28.14285714,3.293342743,92.68407434,-27.92120182,6.429051828,2.106945243,39.62305319,1.860071014,39.65803054,2.745444971
FOP_NR_07,Nutrient Rich,Elevated,Upland,1550,28,1.4,Flindersia oppositifolia,6.2713,17.443,9.66,23.7143,33.3743,0.187908061,0.522647666,0.289444273,0.407349152,0.1831,17.79,97.16002185,0.533044888,102.9229904,3.15,11.4,0.244928253,30.10292863,211,11.18665256,1.156,62,111,96.02076125,3.142857,0.578,116.5475844,-28.4,7.4,40.9,1.3,22.99044407,0.730747611,0.2,3.9,-27.5,5.4,-25.5,6.5,40.3,2,-25.6,6.1,41.6,1.5,887,5.8,31.46153846,14.65614431,461.1048478,-26.0738778,6.553339546,1.723742221,40.78902239,1.540350486,40.45867135,5.124848298
FOP_NR_10,Nutrient Rich,Elevated,Upland,1550,28,1.4,Flindersia oppositifolia,10.3735,1.89,10.23,12.2635,22.4935,0.461177674,0.084024274,0.454798053,0.834182737,0.204,22.009,107.8872549,0.978460444,92.68935436,3.15,11.4,0.244928253,30.10292863,211,9.31670107,1.135,80,103.6,91.27753304,3.142857,0.5675,104.8615102,-27.9,6,40.7,1.6,18.49243491,0.726975328,0.2,3.9,-27.5,5.4,-26.9,5.3,43.5,1.6,-26,5,39.7,1.2,1463,5.8,25.4375,10.93643199,278.1954887,-26.95185943,5.486384956,1.418080779,40.48046991,0.986166675,41.13152444,2.170228728
FOP_NR_12,Nutrient Rich,Elevated,Upland,1550,28,1.4,Flindersia oppositifolia,30.5997,1.679,10.3,32.2787,42.5787,0.718662148,0.039432862,0.24190499,0.319095874,0.1256,13.605,108.3200637,0.31952596,92.31900037,3.15,11.4,0.244928253,30.10292863,211,12.3410032,1.016,298,114,112.2047244,3.142857,0.508,92.46064037,-29.1,7.1,39,1.1,28.66593164,0.808526277,0.2,3.9,-27.5,5.4,-27.3,4.1,42.4,1,-26.7,5.7,42,1.9,743,5.8,35.45454545,14.80484522,524.8990579,-28.44844887,6.643034428,1.289580706,39.8597867,0.336604607,39.17685347,1.256047177
FOP_NR_13,Nutrient Rich,Cold,Upland,1550,16,0.5,Flindersia oppositifolia,4.5268,1.33,10.788,5.8568,16.6448,0.271964818,0.079904835,0.648130347,1.841961481,0.1366,13.034,95.41727672,0.783067384,104.8028234,3.15,11.4,0.244928253,30.10292863,211,7.889551671,0.871,75,52.1,59.8163031,3.142857,0.4355,31.05550981,-30.1,5.6,38.8,1.5,29.7682983,1.150836274,0.2,3.9,-27.5,5.4,-26.4,4.3,39.9,1.5,-27.1,5.1,43.6,2.4,6310,5.8,25.86666667,2.377179081,61.48969889,-27.85996107,5.172058541,2.083317312,41.99892098,2.383140408,39.04979511,2.135842098
FOP_NR_15,Nutrient Rich,Cold,Upland,1550,16,0.5,Flindersia oppositifolia,9.6415,16.99,58.76,26.6315,85.3915,0.112909365,0.198965939,0.688124696,2.206409703,0.147,15.714,106.8979592,0.184023,93.5471554,3.15,11.4,0.244928253,30.10292863,211,15.63907162,0.971,136,104.1,107.2090628,3.142857,0.4855,77.11765572,-27,4.5,40.6,1.3,25.8368334,0.827287769,0.2,3.9,-27.5,5.4,-27.2,4.6,43.5,0.9,-27.2,4.4,41.2,1.7,5366,5.8,31.23076923,2.4226612,75.66157287,-27.17741813,4.451084124,1.495663503,41.58987604,6.094487372,42.45010232,3.40528885
FOP_NR_16,Nutrient Rich,Cold,Upland,1550,16,0.5,Flindersia oppositifolia,20.9797,2.31,20.33,23.2897,43.6197,0.480968461,0.052957723,0.466073815,0.872918071,0.2192,22.498,102.6368613,0.515776129,97.43088275,3.15,11.4,0.244928253,30.10292863,211,12.45548071,0.919,120,70.6,76.8226333,3.142857,0.4595,46.84900306,-28.9,5.6,39.4,1.9,17.51266779,0.844519513,0.2,3.9,-27.5,5.4,-27.1,7.6,38.9,1.1,-28.3,3.1,36.3,1,5325,5.8,20.73684211,3.568075117,73.99061033,-28.52503181,4.540730908,1.438167388,37.92869231,0.969031969,39.35040726,2.465357218
