species,context,location,tree,state,country,lat,lon,elevation,T_min,T_max,P,P_min,P_max,E,E_min,E_max,AI,vessel_density_per_tree,void.wood_ratio_per_tree,vessel_diameter,Dh_per_tree,D_800,tree_height,distance_from_apex,sapwood_density,sapwood_density_stdev,replicates
Eucalyptus radiata,sampled 130 cm abut the tree base,Creswick Forest,2,VIC,Australia,-37.45,143.93,565,15.61,18.69,753.39,380.1,1121,952.65,811.8,1109.4,0.79,553.7486452,7.25709338,122.80061855670102,150.8928065,23.7,NA,NA,0.58,0.008,97
Eucalyptus radiata,sampled 130 cm abut the tree base,Creswick Forest,3,VIC,Australia,-37.45,143.93,565,15.61,18.69,753.39,380.1,1121,952.65,811.8,1109.4,0.79,742.1391148,9.278037876,117.72653846153847,157.2287955,36.6,NA,NA,0.58,0.008,130
Eucalyptus regnans,sampled 130 cm abut the tree base,Marysville State Forest,1,VIC,Australia,-37.61,145.66,480,15.98,18.98,1804.49,882.4,2800.5,934.88,811,1057.2,1.93,879.1494128,17.41026638,151.40357142857144,188.1744213,61.7,6625,NA,0.498,0.025,154
Eucalyptus regnans,sampled 130 cm abut the tree base,Marysville State Forest,2,VIC,Australia,-37.61,145.66,480,15.98,18.98,1804.49,882.4,2800.5,934.88,811,1057.2,1.93,803.2777647,18.12313672,164.97863636363635,189.2349715,61.5,7030,NA,0.498,0.025,88
Eucalyptus regnans,sampled 130 cm abut the tree base,Marysville State Forest,3,VIC,Australia,-37.61,145.66,480,15.98,18.98,1804.49,882.4,2800.5,934.88,811,1057.2,1.93,667.9252033,21.57307941,197.46307692307693,226.9921353,69,6908,NA,0.498,0.025,117
Eucalyptus regnans,sampled 800 cm below the tree apex,Marysville State Forest,1,VIC,Australia,-37.61,145.66,480,15.98,18.98,1804.49,882.4,2800.5,942.15,811,1057.2,1.93,1198.840108,18.6959779,137.4364681857143,157.4070933,12.5,6625,800,NA,NA,210
Eucalyptus regnans,sampled 800 cm below the tree apex,Marysville State Forest,2,VIC,Australia,-37.61,145.66,480,15.98,18.98,1804.49,882.4,2800.5,942.15,811,1057.2,1.93,1415.779761,17.43064043,119.96115017419355,144.3043502,13.2,7030,800,NA,NA,62
Eucalyptus regnans,sampled 800 cm below the tree apex,Marysville State Forest,3,VIC,Australia,-37.61,145.66,480,15.98,18.98,1804.49,882.4,2800.5,942.15,811,1057.2,1.93,1273.051009,22.05600449,143.68135658394618,172.002141,14.1,6908,800,NA,NA,223
Eucalyptus regnans_Otway Ranges,sampled 130 cm abut the tree base,Otway Ranges,1,VIC,Australia,-38.7,143.45,241,13.75,17.2,1635.89,968.3,2312.3,798.37,646.3,918.1,2.05,645.0901536,12.5749416,152.47973451327434,180.2580429,78.9,NA,NA,0.55,0.035,113
Eucalyptus regnans_Otway Ranges,sampled 130 cm abut the tree base,Otway Ranges,2,VIC,Australia,-38.7,143.45,241,13.75,17.2,1635.89,968.3,2312.3,798.37,646.3,918.1,2.05,593.7112918,16.23305377,181.09480769230768,213.6476794,52.2,NA,NA,0.55,0.035,104
Eucalyptus regnans_Otway Ranges,sampled 130 cm abut the tree base,Otway Ranges,3,VIC,Australia,-38.7,143.45,241,13.75,17.2,1635.89,968.3,2312.3,798.37,646.3,918.1,2.05,833.4793135,17.04726275,152.00109589041097,194.4177485,44.4,NA,NA,0.55,0.035,146
Eucalyptus salmonophloia,sampled 130 cm abut the tree base,Quairading,1,WA,Australia,-32,117.3,269,22.13,25.04,398.95,182.7,616,1367.83,1174.8,1496.4,0.29,1758.298823,12.7966069,89.70935064935065,124.8026102,26.8,1800,NA,0.8,0.018,77
Eucalyptus salmonophloia,sampled 130 cm abut the tree base,Quairading,2,WA,Australia,-32,117.3,269,22.13,25.04,398.95,182.7,616,1367.83,1174.8,1496.4,0.29,1689.793674,14.51918656,101.32648648648649,120.7032087,42.8,1800,NA,0.8,0.018,74
Eucalyptus salmonophloia,sampled 130 cm abut the tree base,Quairading,3,WA,Australia,-32,117.3,269,22.13,25.04,398.95,182.7,616,1367.83,1174.8,1496.4,0.29,1926.041004,14.98129391,96.4734597156398,114.1837528,30.8,1800,NA,0.8,0.018,211
Eucalyptus salmonophloia_Kalgoorlie,sampled 130 cm abut the tree base,Kalgoorlie,1,WA,Australia,-30.12,120.39,478,24.15,27.42,246,66.6,552.3,1627.55,1465.9,1790.3,0.15,2223.618902,7.609255899,61.947082093374384,85.39011378,18.2,860,NA,0.932743744,0.017582372,406
Eucalyptus salmonophloia_Kalgoorlie,sampled 130 cm abut the tree base,Kalgoorlie,2,WA,Australia,-30.12,120.39,478,24.15,27.42,246,66.6,552.3,1627.55,1465.9,1790.3,0.15,1410.206096,7.882002346,80.9726039949187,99.25324835,32,1120,NA,0.932743744,0.017582372,246
Eucalyptus salmonophloia_Kalgoorlie,sampled 130 cm abut the tree base,Kalgoorlie,3,WA,Australia,-30.12,120.39,478,24.15,27.42,246,66.6,552.3,1627.55,1465.9,1790.3,0.15,1872.741328,9.722932084,77.73782489257907,99.07568671,51.5,2060,NA,0.932743744,0.017582372,411
Eucalyptus salubris,sampled 130 cm abut the tree base,Kalgoorlie,1,WA,Australia,-30.12,120.39,478,24.15,27.42,246,66.6,552.3,1627.55,1465.9,1790.3,0.15,9063.419056,10.35057725,36.60085955215326,46.38950606,17.4,920,NA,0.873,0.089,522
Eucalyptus salubris,sampled 130 cm abut the tree base,Kalgoorlie,2,WA,Australia,-30.12,120.39,478,24.15,27.42,246,66.6,552.3,1627.55,1465.9,1790.3,0.15,8542.532903,14.62423372,44.518109997012196,57.29106733,38,1160,NA,0.873,0.089,492
Eucalyptus salubris,sampled 130 cm abut the tree base,Kalgoorlie,3,WA,Australia,-30.12,120.39,478,24.15,27.42,246,66.6,552.3,1627.55,1465.9,1790.3,0.15,4566.435271,9.036699628,47.50018559140685,64.33635181,52.1,1180,NA,0.873,0.089,263
Eucalyptus sideroxylon,sampled 130 cm abut the tree base,Richmond - Sefton Plot,1,NSW,Australia,-33.36,150.45,24,22.82,25.7,802.51,277,1753.2,1242.32,1130.1,1393,0.65,2141.465494,13.38298091,85.49463490248081,107.3938688,15.4,972,NA,0.641,0.024,391
Eucalyptus sideroxylon,sampled 130 cm abut the tree base,Richmond - Sefton Plot,2,NSW,Australia,-33.36,150.45,24,22.82,25.7,802.51,277,1753.2,1242.32,1130.1,1393,0.65,1364.659383,9.552882134,86.08216590906355,112.2178375,19.7,1155,NA,0.641,0.024,299
Eucalyptus sideroxylon,sampled 130 cm abut the tree base,Richmond - Sefton Plot,3,NSW,Australia,-33.36,150.45,24,22.82,25.7,802.51,277,1753.2,1242.32,1130.1,1393,0.65,1489.715126,8.686818163,82.49953723966912,107.1592509,18.4,1096,NA,0.641,0.024,272
Eucalyptus socialis,sampled 130 cm abut the tree base,Mildura State Forest,1,VIC,Australia,-34.33,142.09,52,21.87,24.94,333.58,112.2,582.4,1344.11,1208,1476.4,0.25,2237.834869,11.35931275,75.2104081632653,102.6453924,17.98469387755102,918.969387755102,NA,0.7434387755102041,0.02833673469387755,98
Eucalyptus socialis,sampled 130 cm abut the tree base,Mildura State Forest,2,VIC,Australia,-34.33,142.09,52,21.87,24.94,333.58,112.2,582.4,1344.11,1208,1476.4,0.25,2312.04878,8.75253712,65.57580246913581,88.53157712,13.5,695,NA,0.743,0.028,405
Eucalyptus socialis,sampled 130 cm abut the tree base,Mildura State Forest,3,VIC,Australia,-34.33,142.09,52,21.87,24.94,333.58,112.2,582.4,1344.11,1208,1476.4,0.25,2009.484372,10.35067689,75.74170454545454,107.4058032,18.5,915,NA,0.743,0.028,88
Eucalyptus socialis,sampled 800 cm below the tree apex,Mildura State Forest,1,VIC,Australia,-34.33,142.09,52,21.87,24.94,333.58,112.2,582.4,1344.11,1208,1476.4,0.25,2237.834865,11.35931275,75.22986387153061,102.6713773,17.9,917,800,NA,NA,98
Eucalyptus socialis,sampled 800 cm below the tree apex,Mildura State Forest,2,VIC,Australia,-34.33,142.09,52,21.87,24.94,333.58,112.2,582.4,1344.11,1208,1476.4,0.25,3425.257447,8.205973294,50.0360135012,79.06160152,16.8,695,695,NA,NA,150
Eucalyptus socialis,sampled 800 cm below the tree apex,Mildura State Forest,3,VIC,Australia,-34.33,142.09,52,21.87,24.94,333.58,112.2,582.4,1344.11,1208,1476.4,0.25,2009.484369,10.35067687,75.76118894443182,107.4329933,18.5,915,800,NA,NA,88
Eucalyptus tereticornis,sampled 130 cm abut the tree base,Richmond - Sefton Plot,1,NSW,Australia,-33.36,150.45,24,22.82,25.7,802.51,277,1753.2,1242.32,1130.1,1393,0.65,421.7208262,8.157752386,144.59252947181818,206.7990501,33,2320,NA,0.623,0.072,77
Eucalyptus tereticornis,sampled 130 cm abut the tree base,Richmond - Sefton Plot,2,NSW,Australia,-33.36,150.45,24,22.82,25.7,802.51,277,1753.2,1242.32,1130.1,1393,0.65,577.9384013,14.18787428,170.55930202083334,200.5786749,27.6,2060,NA,0.623,0.072,120
Eucalyptus tereticornis,sampled 130 cm abut the tree base,Richmond - Sefton Plot,3,NSW,Australia,-33.36,150.45,24,22.82,25.7,802.51,277,1753.2,1242.32,1130.1,1393,0.65,401.6388821,6.73929425,138.18337973863638,180.1883103,17.5,1698,NA,0.623,0.072,88
Eucalyptus transcontinentalis,sampled 130 cm abut the tree base,Kalgoorlie,1,WA,Australia,-30.12,120.39,478,24.15,27.42,246,66.6,552.3,1627.55,1465.9,1790.3,0.15,1816.503126,8.538294866,73.62919848502513,94.03425475,25.3,1160,NA,0.954850823,0.028576656,398
Eucalyptus transcontinentalis,sampled 130 cm abut the tree base,Kalgoorlie,2,WA,Australia,-30.12,120.39,478,24.15,27.42,246,66.6,552.3,1627.55,1465.9,1790.3,0.15,2140.552678,11.90662552,79.89083091115138,101.7024811,35.9,1540,NA,0.954850823,0.028576656,469
Eucalyptus transcontinentalis,sampled 130 cm abut the tree base,Kalgoorlie,3,WA,Australia,-30.12,120.39,478,24.15,27.42,246,66.6,552.3,1627.55,1465.9,1790.3,0.15,1802.466403,11.82207683,87.57633371027586,108.3303817,49.1,1500,NA,0.954850823,0.028576656,290
Eucalyptus tricarpa,sampled 130 cm abut the tree base,Pyrenees State Forest,1,VIC,Australia,-36.66,143.3,261,19.23,22.27,502.14,201.9,902.2,1152.87,1021.2,1300.9,0.44,736.4303524,14.83125575,152.81201550387595,186.2395176,42,1810,NA,0.659,0.056,129
Eucalyptus tricarpa,sampled 130 cm abut the tree base,Pyrenees State Forest,2,VIC,Australia,-36.66,143.3,261,19.23,22.27,502.14,201.9,902.2,1152.87,1021.2,1300.9,0.44,1164.58755,10.05652105,99.55835341365461,136.8986187,42.5,1862,NA,0.659,0.056,249
Eucalyptus tricarpa,sampled 130 cm abut the tree base,Pyrenees State Forest,3,VIC,Australia,-36.66,143.3,261,19.23,22.27,502.14,201.9,902.2,1152.87,1021.2,1300.9,0.44,993.3246603,13.44627828,122.38621951219513,162.64733,43.7,2010,NA,0.659,0.056,82
Eucalyptus victrix,sampled 130 cm abut the tree base,Port Hedland Area,1,WA,Australia,-20.56,118.24,19,31.57,34.89,309.6,1.8,733.4,2110.34,1958.7,2285.2,0.15,1073.252413,18.5134628,142.71808510638297,164.5120807,25.5,1702,NA,0.631,0.001,47
Eucalyptus victrix,sampled 130 cm abut the tree base,Port Hedland Area,2,WA,Australia,-20.56,118.24,19,31.57,34.89,309.6,1.8,733.4,2110.34,1958.7,2285.2,0.15,1141.757886,14.54399164,118.27459999999999,154.5849961,30,2005,NA,0.631,0.001,50
Eucalyptus victrix,sampled 130 cm abut the tree base,Port Hedland Area,3,WA,Australia,-20.56,118.24,19,31.57,34.89,309.6,1.8,733.4,2110.34,1958.7,2285.2,0.15,867.7359936,11.65656594,126.86552631578947,147.3201553,29.5,1515,NA,0.631,0.001,38
Eucalyptus viminalis,sampled 130 cm abut the tree base,Rubicon State Forest,1,VIC,Australia,-37.39,145.87,920,12.2,15.79,1483.67,689,2517.5,855.81,746.2,981,1.73,713.5936145,11.32695484,133.1296,180.0530648,56.8,5400,NA,0.556,0.061,125
Eucalyptus viminalis,sampled 130 cm abut the tree base,Rubicon State Forest,2,VIC,Australia,-37.39,145.87,920,12.2,15.79,1483.67,689,2517.5,855.81,746.2,981,1.73,736.4338367,16.51293254,158.84573643410852,222.7719425,40.2,5000,NA,0.556,0.061,129
Eucalyptus viminalis,sampled 130 cm abut the tree base,Rubicon State Forest,3,VIC,Australia,-37.39,145.87,920,12.2,15.79,1483.67,689,2517.5,855.81,746.2,981,1.73,542.334996,17.37802807,195.15568421052632,237.5771822,62.2,4760,NA,0.556,0.061,95
Eucalyptus viminalis,sampled 800 cm below the tree apex,Rubicon State Forest,1,VIC,Australia,-37.39,145.87,920,12.2,15.79,1483.67,689,2517.5,867.94,746.2,981,1.73,764.9723552,14.07910583,146.1893524561194,186.3984913,14.2,5400,800,NA,NA,134
Eucalyptus viminalis,sampled 800 cm below the tree apex,Rubicon State Forest,2,VIC,Australia,-37.39,145.87,920,12.2,15.79,1483.67,689,2517.5,867.94,746.2,981,1.73,810.6481026,14.61068884,141.8301954803521,190.5907826,13.5,5000,800,NA,NA,142
Eucalyptus viminalis,sampled 800 cm below the tree apex,Rubicon State Forest,3,VIC,Australia,-37.39,145.87,920,12.2,15.79,1483.67,689,2517.5,867.94,746.2,981,1.73,673.6371557,15.64200746,164.2021289626271,204.890518,13.7,4760,820,NA,NA,118
Eucalyptus viminalis_Creswick,sampled 130 cm abut the tree base,Creswick Forest,1,VIC,Australia,-37.45,143.93,555,15.61,18.69,753.39,380.1,1121,952.65,811.8,1109.4,0.79,827.7705511,10.90257832,119.172,177.4279008,68.8,NA,NA,0.62,0.155,145
Eucalyptus viminalis_Creswick,sampled 130 cm abut the tree base,Creswick Forest,2,VIC,Australia,-37.45,143.93,555,15.61,18.69,753.39,380.1,1121,952.65,811.8,1109.4,0.79,650.798916,15.50778857,169.11092783505154,197.4649766,34.4,NA,NA,0.62,0.155,97
Eucalyptus viminalis_Creswick,sampled 130 cm abut the tree base,Creswick Forest,3,VIC,Australia,-37.45,143.93,555,15.61,18.69,753.39,380.1,1121,952.65,811.8,1109.4,0.79,776.3916893,16.62650314,156.85132352941176,197.6402161,59.2,NA,NA,0.62,0.155,136
