species,population,individual,leaf_width_mm,leaf_length_mm,leaf_hairs_adult,leaf_shape,region,latitude (deg),longitude (deg),site
Pultenaea juniperina,16,9,0.9,5.17,1,linear,Miena,-41.9791114,146.6816817,site_at_ 41.9791114 _deg_S_and_ 146.6816817 _deg_E
Pultenaea juniperina,16,10,0.84,5.1,1,linear,Miena,-41.9791114,146.6816817,site_at_ 41.9791114 _deg_S_and_ 146.6816817 _deg_E
Pultenaea juniperina,17,1,0.98,6.64,1,linear,Liawenee,-41.8927231,146.6551211,site_at_ 41.8927231 _deg_S_and_ 146.6551211 _deg_E
Pultenaea juniperina,17,2,0.72,5.32,1,linear,Liawenee,-41.8927231,146.6551211,site_at_ 41.8927231 _deg_S_and_ 146.6551211 _deg_E
Pultenaea juniperina,17,3,0.76,6.28,1,linear,Liawenee,-41.8927231,146.6551211,site_at_ 41.8927231 _deg_S_and_ 146.6551211 _deg_E
Pultenaea juniperina,17,4,0.78,6.44,1,linear,Liawenee,-41.8927231,146.6551211,site_at_ 41.8927231 _deg_S_and_ 146.6551211 _deg_E
Pultenaea juniperina,17,5,0.8,5.34,1,linear,Liawenee,-41.8927231,146.6551211,site_at_ 41.8927231 _deg_S_and_ 146.6551211 _deg_E
Pultenaea juniperina,17,6,0.7,5.86,1,linear,Liawenee,-41.8927231,146.6551211,site_at_ 41.8927231 _deg_S_and_ 146.6551211 _deg_E
Pultenaea juniperina,17,7,0.9,5.18,1,linear,Liawenee,-41.8927231,146.6551211,site_at_ 41.8927231 _deg_S_and_ 146.6551211 _deg_E
Pultenaea juniperina,17,8,0.76,5.26,1,linear,Liawenee,-41.8927231,146.6551211,site_at_ 41.8927231 _deg_S_and_ 146.6551211 _deg_E
Pultenaea juniperina,17,9,0.84,6.88,1,linear,Liawenee,-41.8927231,146.6551211,site_at_ 41.8927231 _deg_S_and_ 146.6551211 _deg_E
Pultenaea juniperina,17,10,0.74,4.7,1,linear,Liawenee,-41.8927231,146.6551211,site_at_ 41.8927231 _deg_S_and_ 146.6551211 _deg_E
Pultenaea juniperina,18,1,1.02,6.36,1,lanceolate,Quamby Bluff,-41.7031675,146.7199567,site_at_ 41.7031675 _deg_S_and_ 146.7199567 _deg_E
Pultenaea juniperina,18,2,1.092,5.78,1,linear,Quamby Bluff,-41.7031675,146.7199567,site_at_ 41.7031675 _deg_S_and_ 146.7199567 _deg_E
Pultenaea juniperina,18,3,0.84,8.3,1,lanceolate,Quamby Bluff,-41.7031675,146.7199567,site_at_ 41.7031675 _deg_S_and_ 146.7199567 _deg_E
Pultenaea juniperina,18,4,0.96,6.5,1,lanceolate,Quamby Bluff,-41.7031675,146.7199567,site_at_ 41.7031675 _deg_S_and_ 146.7199567 _deg_E
Pultenaea juniperina,18,5,0.94,6.76,1,lanceolate,Quamby Bluff,-41.7031675,146.7199567,site_at_ 41.7031675 _deg_S_and_ 146.7199567 _deg_E
Pultenaea juniperina,18,6,0.88,5.6,1,lanceolate,Quamby Bluff,-41.7031675,146.7199567,site_at_ 41.7031675 _deg_S_and_ 146.7199567 _deg_E
Pultenaea juniperina,18,7,0.88,7.08,1,lanceolate,Quamby Bluff,-41.7031675,146.7199567,site_at_ 41.7031675 _deg_S_and_ 146.7199567 _deg_E
Pultenaea juniperina,18,8,0.88,5.8,1,lanceolate,Quamby Bluff,-41.7031675,146.7199567,site_at_ 41.7031675 _deg_S_and_ 146.7199567 _deg_E
Pultenaea juniperina,18,9,1.24,6.48,1,lanceolate,Quamby Bluff,-41.7031675,146.7199567,site_at_ 41.7031675 _deg_S_and_ 146.7199567 _deg_E
Pultenaea juniperina,18,10,1.14,6.18,1,lanceolate,Quamby Bluff,-41.7031675,146.7199567,site_at_ 41.7031675 _deg_S_and_ 146.7199567 _deg_E
