Location,Tree_ID,Leaf_ID,Species,Leaf.mass_mg,Leaf_length_cm,Leaf.width_cm,LWR,Leaf.area_mm2,sla,Longitude,Latitude,site_spp,MAP_mm
Stirling,SC-2,SC-2A,obliqua,505.2,12.55,3.373,3.720723,2661.6,5.268408551,138.7523,-35.020802,Stirling-obliqua,1035
Stirling,SC-2,SC-2B,obliqua,469.9,10.424,2.92,3.569863,2028.5,4.316875931,138.7523,-35.020802,Stirling-obliqua,1035
Stirling,SC-2,SC-2C,obliqua,256.5,7.507,2.265,3.314349,1284.9,5.009356725,138.7523,-35.020802,Stirling-obliqua,1035
Stirling,SC-2,SC-2D,obliqua,316.7,9.152,2.167,4.22335,1576.3,4.977265551,138.7523,-35.020802,Stirling-obliqua,1035
Stirling,SC-2,SC-2E,obliqua,477.2,11.086,2.935,3.777172,2289.1,4.796940486,138.7523,-35.020802,Stirling-obliqua,1035
Stirling,SC-2,SC-2F,obliqua,524.2,10.657,3.326,3.204149,2317.1,4.420259443,138.7523,-35.020802,Stirling-obliqua,1035
Stirling,SC-2,SC-2G,obliqua,360.4,10.411,2.92,3.565411,1919,5.32463929,138.7523,-35.020802,Stirling-obliqua,1035
Stirling,SC-3,SC-3A,obliqua,479.8,11.163,2.931,3.808598,2143.6,4.467694873,138.7523,-35.020802,Stirling-obliqua,1035
Stirling,SC-3,SC-3B,obliqua,795.1,16.317,3.94,4.141371,3802.9,4.782920387,138.7523,-35.020802,Stirling-obliqua,1035
Stirling,SC-3,SC-3C,obliqua,727.6,14.937,3.92,3.810459,3508.5,4.822017592,138.7523,-35.020802,Stirling-obliqua,1035
Stirling,SC-3,SC-3D,obliqua,725.8,16.412,3.381,4.854185,3611.2,4.975475338,138.7523,-35.020802,Stirling-obliqua,1035
Stirling,SC-3,SC-3E,obliqua,519.3,11.209,3.348,3.347969,2592,4.991334489,138.7523,-35.020802,Stirling-obliqua,1035
Whites Scrub,WS-1,WS-1A,obliqua,917.8,16.885,4.748,3.556234,5092.7,5.548812377,138.7793,-34.969858,Whites Scrub-obliqua,1045
Whites Scrub,WS-1,WS-1B,obliqua,703.2,14.543,5,2.9086,4338.4,6.169510808,138.7793,-34.969858,Whites Scrub-obliqua,1045
Whites Scrub,WS-1,WS-1C,obliqua,1513.2,15.804,6.714,2.353887,8301.5,5.48605604,138.7793,-34.969858,Whites Scrub-obliqua,1045
Whites Scrub,WS-1,WS-1D,obliqua,1029.3,17.751,5.955,2.980856,7025.1,6.825123871,138.7793,-34.969858,Whites Scrub-obliqua,1045
Whites Scrub,WS-1,WS-1E,obliqua,411.1,13.858,3.842,3.606976,3573.4,8.692288981,138.7793,-34.969858,Whites Scrub-obliqua,1045
Whites Scrub,WS-2,WS-2A,obliqua,564.3,13.758,3.507,3.923011,2989,5.296827928,138.7793,-34.969858,Whites Scrub-obliqua,1045
Whites Scrub,WS-2,WS-2B,obliqua,771.5,15.059,4.525,3.327956,4392.4,5.693324692,138.7793,-34.969858,Whites Scrub-obliqua,1045
Whites Scrub,WS-2,WS-2C,obliqua,564.2,15.658,3.835,4.08292,3526.9,6.251152074,138.7793,-34.969858,Whites Scrub-obliqua,1045
Whites Scrub,WS-2,WS-2D,obliqua,391.6,13.68,2.878,4.753301,2280.1,5.822522983,138.7793,-34.969858,Whites Scrub-obliqua,1045
Whites Scrub,WS-2,WS-2E,obliqua,538.6,13.865,3.451,4.017676,2938.3,5.45544003,138.7793,-34.969858,Whites Scrub-obliqua,1045
Whites Scrub,WS-3,WS-3A,obliqua,514.3,14.386,3.969,3.624591,3219.4,6.259770562,138.7793,-34.969858,Whites Scrub-obliqua,1045
Whites Scrub,WS-3,WS-3B,obliqua,316.6,10.354,3.041,3.404801,1989.7,6.284586229,138.7793,-34.969858,Whites Scrub-obliqua,1045
Whites Scrub,WS-3,WS-3C,obliqua,339.9,10.207,2.736,3.730629,1954.2,5.749338041,138.7793,-34.969858,Whites Scrub-obliqua,1045
Whites Scrub,WS-3,WS-3D,obliqua,841.1,14.807,5.064,2.923973,5012.3,5.959220069,138.7793,-34.969858,Whites Scrub-obliqua,1045
Whites Scrub,WS-3,WS-3E,obliqua,473.7,10.814,3.75,2.883733,2526.8,5.33417775,138.7793,-34.969858,Whites Scrub-obliqua,1045
