CODE,plant,coll,yr,treat,observation,bud_depth_mm,SPECIES,Family,MAXHT_cm,GFORM,STEMCATS,specific_leaf_area_mm2/mg
eregla,clip a,43770,1,c,3,4,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,clip 14,43770,1,c,3,4,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,clip 11,43770,1,c,3,23,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,burn 37,43770,1,b,3,11,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,burn 35,43770,1,b,3,16,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,burn 32,43770,1,b,3,13,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,burn 24,43770,1,b,3,10,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,burn 18,43770,1,b,3,17,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
erelon,burn c,43770,1,b,3,15,Eremophila longifolia,Myoporaceae,NA,NA,NA,NA
erelon,burn 6,43770,1,b,3,19,Eremophila longifolia,Myoporaceae,NA,NA,NA,NA
olepim,clip c,43770,1,c,3,6,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,clip b,43770,1,c,3,9,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,clip a,43770,1,c,3,-2,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,c2 b,43770,1,c2,3,-8,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,c2 a,43770,1,c2,3,-2,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,burn c,43770,1,b,3,22,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,burn b,43770,1,b,3,14,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,burn a,43770,1,b,3,25,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
senart,clip59,43770,1,c,3,9,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,clip5,43770,1,c,3,12,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,clip c,43770,1,c,3,7,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,clip b,43770,1,c,3,8,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,clip a,43770,1,c,3,9,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,c2 55,43770,1,c2,3,27,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,burn51,43770,1,b,3,9,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,burn48,43770,1,b,3,12,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,burn42,43770,1,b,3,14,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,burn32,43770,1,b,3,36,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,burn15,43770,1,b,3,16,Senna artemisioides,Fabaceae,NA,NA,NA,NA
arijer,clip3,2000,0,c,4,8,Aristida jerichoensis var. subspinulifera,Poaceae,NA,NA,NA,NA
arijer,clip2,2000,0,c,4,2,Aristida jerichoensis var. subspinulifera,Poaceae,NA,NA,NA,NA
arijer,clip1,2000,0,c,4,8,Aristida jerichoensis var. subspinulifera,Poaceae,NA,NA,NA,NA
arijer,burn3,2000,0,b,4,15,Aristida jerichoensis var. subspinulifera,Poaceae,NA,NA,NA,NA
arijer,burn1,2000,0,b,4,6,Aristida jerichoensis var. subspinulifera,Poaceae,NA,NA,NA,NA
atrsem,clip1,2000,0,c,4,2,Atriplex semibaccata,Chenopodiaceae,NA,NA,NA,NA
boswal,clip3,2000,0,c,4,35,Bossiaea walkeri,Fabaceae,NA,NA,NA,NA
boswal,clip2,2000,0,c,4,60,Bossiaea walkeri,Fabaceae,NA,NA,NA,NA
boswal,burn3,2000,0,b,4,13,Bossiaea walkeri,Fabaceae,NA,NA,NA,NA
boswal,burn2,2000,0,b,4,7,Bossiaea walkeri,Fabaceae,NA,NA,NA,NA
calcun,clip4,2000,0,c,4,4,Calotis cuneifolia,Asteraceae,NA,NA,NA,NA
calcun,clip3,2000,0,c,4,2,Calotis cuneifolia,Asteraceae,NA,NA,NA,NA
calcun,clip2,2000,0,c,4,2,Calotis cuneifolia,Asteraceae,NA,NA,NA,NA
calcun,clip1,2000,0,c,4,0,Calotis cuneifolia,Asteraceae,NA,NA,NA,NA
callap,clip3,2000,0,c,4,2,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
callap,clip2,2000,0,c,4,15,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
callap,clip1,2000,0,c,4,20,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
callap,burn3,2000,0,b,4,6,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
callap,burn2,2000,0,b,4,14,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
callap,burn1,2000,0,b,4,17,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
caslae,clip3,2000,0,c,4,-4,Cassinia laevis,Asteraceae,NA,NA,NA,NA
caslae,clip2,2000,0,c,4,1,Cassinia laevis,Asteraceae,NA,NA,NA,NA
chedes,clip5,2000,0,c,4,-4,Chenopodium desertorum,Chenopodiaceae,NA,NA,NA,NA
chedes,clip4,2000,0,c,4,-4,Chenopodium desertorum,Chenopodiaceae,NA,NA,NA,NA
chedes,clip2,2000,0,c,4,-4,Chenopodium desertorum,Chenopodiaceae,NA,NA,NA,NA
chedes,clip1,2000,0,c,4,-3,Chenopodium desertorum,Chenopodiaceae,NA,NA,NA,NA
cheila,clip3,2000,0,c,4,11,Cheilanthes tenuifolia,Pteridiaceae,NA,NA,NA,NA
cheila,clip2,2000,0,c,4,9,Cheilanthes tenuifolia,Pteridiaceae,NA,NA,NA,NA
cheila,clip1,2000,0,c,4,13,Cheilanthes tenuifolia,Pteridiaceae,NA,NA,NA,NA
chepro,clip4,2000,0,c,4,4,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
chepro,clip3,2000,0,c,4,1,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
chepro,clip2,2000,0,c,4,2,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
chepro,clip1,2000,0,c,4,0,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
chepro,burn3,2000,0,b,4,2,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
chepro,burn2,2000,0,b,4,1,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
chepro,burn1,2000,0,b,4,2,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
dancae,clip3,2000,0,c,4,10,Danthonia caespitosa,Poaceae,NA,NA,NA,NA
dancae,clip2,2000,0,c,4,13,Danthonia caespitosa,Poaceae,NA,NA,NA,NA
dancae,clip1,2000,0,c,4,10,Danthonia caespitosa,Poaceae,NA,NA,NA,NA
dancae,burn3,2000,0,b,4,12,Danthonia caespitosa,Poaceae,NA,NA,NA,NA
dancae,burn2,2000,0,b,4,9,Danthonia caespitosa,Poaceae,NA,NA,NA,NA
dancae,burn1,2000,0,b,4,13,Danthonia caespitosa,Poaceae,NA,NA,NA,NA
digcoe,clip3,2000,0,c,4,5,Digitaria coenicola,Poaceae,NA,NA,NA,NA
digcoe,clip2,2000,0,c,4,14,Digitaria coenicola,Poaceae,NA,NA,NA,NA
digcoe,clip1,2000,0,c,4,12,Digitaria coenicola,Poaceae,NA,NA,NA,NA
digcoe,burn3,2000,0,b,4,11,Digitaria coenicola,Poaceae,NA,NA,NA,NA
digcoe,burn2,2000,0,b,4,11,Digitaria coenicola,Poaceae,NA,NA,NA,NA
digcoe,burn1,2000,0,b,4,9,Digitaria coenicola,Poaceae,NA,NA,NA,NA
digdiv,clip3,2000,0,c,4,11,Digitaria divaricatissima,Poaceae,NA,NA,NA,NA
digdiv,clip2,2000,0,c,4,11,Digitaria divaricatissima,Poaceae,NA,NA,NA,NA
digdiv,clip1,2000,0,c,4,10,Digitaria divaricatissima,Poaceae,NA,NA,NA,NA
digdiv,burn3,2000,0,b,4,13,Digitaria divaricatissima,Poaceae,NA,NA,NA,NA
digdiv,burn2,2000,0,b,4,13,Digitaria divaricatissima,Poaceae,NA,NA,NA,NA
digdiv,burn1,2000,0,b,4,14,Digitaria divaricatissima,Poaceae,NA,NA,NA,NA
einnut,clip3,2000,0,c,4,-2,Einadia nutans,Chenopodiaceae,NA,NA,NA,NA
einnut,clip2,2000,0,c,4,-2,Einadia nutans,Chenopodiaceae,NA,NA,NA,NA
einnut,clip1,2000,0,c,4,0,Einadia nutans,Chenopodiaceae,NA,NA,NA,NA
enctom,clip1,2000,0,c,4,0,Enchylaena tomentosa,Chenopodiaceae,NA,NA,NA,NA
entaci,clip4,2000,0,c,4,10,Enteropogon acicularis,Poaceae,NA,NA,NA,NA
entaci,clip3,2000,0,c,4,4,Enteropogon acicularis,Poaceae,NA,NA,NA,NA
entaci,clip2,2000,0,c,4,9,Enteropogon acicularis,Poaceae,NA,NA,NA,NA
entaci,clip1,2000,0,c,4,10,Enteropogon acicularis,Poaceae,NA,NA,NA,NA
entaci,burn3,2000,0,b,4,10,Enteropogon acicularis,Poaceae,NA,NA,NA,NA
entaci,burn1,2000,0,b,4,12,Enteropogon acicularis,Poaceae,NA,NA,NA,NA
eregla,clip3,2000,0,c,4,6,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,clip2,2000,0,c,4,2,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,clip1,2000,0,c,4,4,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,burn3,2000,0,b,4,10,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,burn2,2000,0,b,4,11,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
erelon,clip3,2000,0,c,4,-8,Eremophila longifolia,Myoporaceae,NA,NA,NA,NA
erelon,clip2,2000,0,c,4,2,Eremophila longifolia,Myoporaceae,NA,NA,NA,NA
erelon,burn1,2000,0,b,4,13,Eremophila longifolia,Myoporaceae,NA,NA,NA,NA
eutmic,clip6,2000,0,c,4,2,Eutaxia microphylla,Proteaceae,NA,NA,NA,NA
eutmic,clip5,2000,0,c,4,-1,Eutaxia microphylla,Proteaceae,NA,NA,NA,NA
eutmic,clip4,2000,0,c,4,13,Eutaxia microphylla,Proteaceae,NA,NA,NA,NA
eutmic,clip3,2000,0,c,4,9,Eutaxia microphylla,Proteaceae,NA,NA,NA,NA
eutmic,clip2,2000,0,c,4,4,Eutaxia microphylla,Proteaceae,NA,NA,NA,NA
eutmic,clip1,2000,0,c,4,0,Eutaxia microphylla,Proteaceae,NA,NA,NA,NA
eutmic,burn4,2000,0,b,4,17,Eutaxia microphylla,Proteaceae,NA,NA,NA,NA
eutmic,burn3,2000,0,b,4,14,Eutaxia microphylla,Proteaceae,NA,NA,NA,NA
eutmic,burn2,2000,0,b,4,12,Eutaxia microphylla,Proteaceae,NA,NA,NA,NA
eutmic,burn1,2000,0,b,4,9,Eutaxia microphylla,Proteaceae,NA,NA,NA,NA
lomsp,clip2,2000,0,c,4,26,Lomandra leucocephala subsp. robusta,Lomadraceae,NA,NA,NA,NA
lomsp,clip1,2000,0,c,4,60,Lomandra leucocephala subsp. robusta,Lomadraceae,NA,NA,NA,NA
minlep,clip3,2000,0,c,4,6,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,clip2,2000,0,c,4,4,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,clip1,2000,0,c,4,2,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,burn3,2000,0,b,4,9,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,burn2,2000,0,b,4,11.5,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,burn1,2000,0,b,4,11,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
olepim,clip3,2000,0,c,4,1,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,clip2,2000,0,c,4,-1,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,clip1,2000,0,c,4,-1,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,burn3,2000,0,b,4,7,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
oleram,clip3,2000,0,c,4,10,Chrysocephalum semipapposum,Asteraceae,NA,NA,NA,NA
oleram,clip2,2000,0,c,4,9,Chrysocephalum semipapposum,Asteraceae,NA,NA,NA,NA
oleram,clip1,2000,0,c,4,7,Chrysocephalum semipapposum,Asteraceae,NA,NA,NA,NA
oleram,burn3,2000,0,b,4,18,Chrysocephalum semipapposum,Asteraceae,NA,NA,NA,NA
oleram,burn1,2000,0,b,4,14,Chrysocephalum semipapposum,Asteraceae,NA,NA,NA,NA
paneff,clip3,2000,0,c,4,15,Panicum queenslandicum var. queenslandicum,Poaceae,NA,NA,NA,NA
paneff,clip2,2000,0,c,4,13,Panicum queenslandicum var. queenslandicum,Poaceae,NA,NA,NA,NA
paneff,clip1,2000,0,c,4,6,Panicum queenslandicum var. queenslandicum,Poaceae,NA,NA,NA,NA
paneff,burn3,2000,0,b,4,11,Panicum queenslandicum var. queenslandicum,Poaceae,NA,NA,NA,NA
paneff,burn2,2000,0,b,4,9,Panicum queenslandicum var. queenslandicum,Poaceae,NA,NA,NA,NA
paneff,burn1,2000,0,b,4,9,Panicum queenslandicum var. queenslandicum,Poaceae,NA,NA,NA,NA
pascon,clip3,2000,0,c,4,3,Paspalidium constrictum,Poaceae,NA,NA,NA,NA
pascon,clip2,2000,0,c,4,4,Paspalidium constrictum,Poaceae,NA,NA,NA,NA
pascon,clip1,2000,0,c,4,6,Paspalidium constrictum,Poaceae,NA,NA,NA,NA
rhaspi,clip2,2000,0,c,4,0,Rhagodia spinescens,Chenopodiaceae,NA,NA,NA,NA
scldia,clip3,2000,0,c,4,1,Sclerolaena diacantha,Chenopodiaceae,NA,NA,NA,NA
scldia,clip2,2000,0,c,4,1,Sclerolaena diacantha,Chenopodiaceae,NA,NA,NA,NA
senart,burn1,2000,0,b,4,-6,Senna artemisioides,Fabaceae,NA,NA,NA,NA
sidcun,clip3,2000,0,c,4,14,Sida cunninghamii,Malvaceae,NA,NA,NA,NA
sidcun,clip3,2000,0,c,4,14,Sida cunninghamii,Malvaceae,NA,NA,NA,NA
sidcun,clip2,2000,0,c,4,12,Sida cunninghamii,Malvaceae,NA,NA,NA,NA
sidcun,clip2,2000,0,c,4,12,Sida cunninghamii,Malvaceae,NA,NA,NA,NA
sidcun,clip1,2000,0,c,4,8,Sida cunninghamii,Malvaceae,NA,NA,NA,NA
sidcun,clip1,2000,0,c,4,8,Sida cunninghamii,Malvaceae,NA,NA,NA,NA
sidcun,burn1,2000,0,b,4,11,Sida cunninghamii,Malvaceae,NA,NA,NA,NA
solsp,clip3,2000,0,c,4,5,Solanum ellipticum,Solanaceae,NA,NA,NA,NA
solsp,clip2,2000,0,c,4,0,Solanum ellipticum,Solanaceae,NA,NA,NA,NA
solsp,clip1,2000,0,c,4,-1,Solanum ellipticum,Solanaceae,NA,NA,NA,NA
spapub,clip3,2000,0,c,4,3,Spartothamnella puberula,Lamiaceae,NA,NA,NA,NA
spapub,clip2,2000,0,c,4,0,Spartothamnella puberula,Lamiaceae,NA,NA,NA,NA
thetri,clip3,2000,0,c,4,14,Themeda triandra,Poaceae,NA,NA,NA,NA
thetri,clip2,2000,0,c,4,14,Themeda triandra,Poaceae,NA,NA,NA,NA
thetri,clip1,2000,0,c,4,9,Themeda triandra,Poaceae,NA,NA,NA,NA
thetri,burn3,2000,0,b,4,17,Themeda triandra,Poaceae,NA,NA,NA,NA
thetri,burn2,2000,0,b,4,21,Themeda triandra,Poaceae,NA,NA,NA,NA
thetri,burn1,2000,0,b,4,13,Themeda triandra,Poaceae,NA,NA,NA,NA
thymit,clip4,2000,0,c,4,14,Thyridolepis mitchelliana,Poaceae,NA,NA,NA,NA
thymit,clip3,2000,0,c,4,6,Thyridolepis mitchelliana,Poaceae,NA,NA,NA,NA
thymit,clip2,2000,0,c,4,5,Thyridolepis mitchelliana,Poaceae,NA,NA,NA,NA
thymit,clip1,2000,0,c,4,16,Thyridolepis mitchelliana,Poaceae,NA,NA,NA,NA
thymit,burn3,2000,0,b,4,11,Thyridolepis mitchelliana,Poaceae,NA,NA,NA,NA
thymit,burn2,2000,0,b,4,10,Thyridolepis mitchelliana,Poaceae,NA,NA,NA,NA
thymit,burn1,2000,0,b,4,15,Thyridolepis mitchelliana,Poaceae,NA,NA,NA,NA
vergre,clip3,2000,0,c,4,-4,Gonocarpus elatus,Haloragaceae,NA,NA,NA,NA
vergre,clip1,2000,0,c,4,2,Gonocarpus elatus,Haloragaceae,NA,NA,NA,NA
vergre,burn1,2000,0,b,4,18,Gonocarpus elatus,Haloragaceae,NA,NA,NA,NA
vitcun,clip4,2000,0,c,4,3,Vittadinia cuneata,Asteraceae,NA,NA,NA,NA
vitcun,clip3,2000,0,c,4,2,Vittadinia cuneata,Asteraceae,NA,NA,NA,NA
vitcun,clip2,2000,0,c,4,0,Vittadinia cuneata,Asteraceae,NA,NA,NA,NA
vitcun,clip1,2000,0,c,4,2,Vittadinia cuneata,Asteraceae,NA,NA,NA,NA
vittri,clip1,2000,0,c,4,-3,Vittadinia triloba,Asteraceae,NA,NA,NA,NA
callap,clip5,43678,1,c,4,9,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
callap,clip4,43678,1,c,4,6,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
callap,clip3,43678,1,c,4,4,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
callap,clip2,43678,1,c,4,3,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
callap,clip1,43678,1,c,4,1,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
callap,burn3,43678,1,b,4,8,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
callap,burn2,43678,1,b,4,19,Calotis lappulacea,Asteraceae,NA,NA,NA,NA
chepro,clip6,43678,1,c,4,5,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
chepro,clip5,43678,1,c,4,5,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
chepro,clip4,43678,1,c,4,1,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
chepro,clip3,43678,1,c,4,4,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
chepro,clip2,43678,1,c,4,4,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
chepro,clip1,43678,1,c,4,2,Chenopodium desertorum subsp. microphyllum,Chenopodiaceae,NA,NA,NA,NA
einnut,clip1,43678,1,c,4,-3,Einadia nutans,Chenopodiaceae,NA,NA,NA,NA
einnut,c2 1,43678,1,c2,4,-2,Einadia nutans,Chenopodiaceae,NA,NA,NA,NA
eregla,clip8,43678,1,c,4,1,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,clip2,43678,1,c,4,9,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,burn9,43678,1,b,4,30,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,burn15,43678,1,b,4,14,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
minlep,clip7,43678,1,c,4,0,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,clip6,43678,1,c,4,0,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,clip5,43678,1,c,4,5,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,clip4,43678,1,c,4,-1,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,clip3,43678,1,c,4,0,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,clip2,43678,1,c,4,0,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,clip1,43678,1,c,4,6,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,burn7,43678,1,b,4,22,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,burn6,43678,1,b,4,15,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,burn5,43678,1,b,4,7,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,burn4,43678,1,b,4,7,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,burn3,43678,1,b,4,7,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,burn2,43678,1,b,4,12,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
minlep,burn1,43678,1,b,4,18,Minuria leptophylla,Asteraceae,NA,NA,NA,NA
olepim,clip5,43678,1,c,4,7,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,clip4,43678,1,c,4,7,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,clip3,43678,1,c,4,6,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,clip2,43678,1,c,4,9,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,clip1,43678,1,c,4,1,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,c2 5,43678,1,c2,4,10,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,c2 4,43678,1,c2,4,2,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,c2 3,43678,1,c2,4,13,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,c2 2,43678,1,c2,4,4,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,c2 1,43678,1,c2,4,-14,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,burn5,43678,1,b,4,14,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,burn4,43678,1,b,4,25,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,burn3,43678,1,b,4,29,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,burn2,43678,1,b,4,27,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,burn1,43678,1,b,4,14,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
scldia,clip4,43678,1,c,4,1,Sclerolaena diacantha,Chenopodiaceae,NA,NA,NA,NA
scldia,clip3,43678,1,c,4,0,Sclerolaena diacantha,Chenopodiaceae,NA,NA,NA,NA
scldia,clip2,43678,1,c,4,1,Sclerolaena diacantha,Chenopodiaceae,NA,NA,NA,NA
scldia,clip1,43678,1,c,4,2,Sclerolaena diacantha,Chenopodiaceae,NA,NA,NA,NA
senart,clip5,43678,1,c,4,1,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,clip4,43678,1,c,4,1,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,clip3,43678,1,c,4,-4,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,clip2,43678,1,c,4,-3,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,clip1,43678,1,c,4,-3,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,c2 5,43678,1,c2,4,-1,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,c2 4,43678,1,c2,4,1,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,c2 2,43678,1,c2,4,-11,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,c2 1,43678,1,c2,4,-6,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,burn6,43678,1,b,4,18,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,burn5,43678,1,b,4,12,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,burn4,43678,1,b,4,14,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,burn3,43678,1,b,4,18,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,burn2,43678,1,b,4,19,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,burn1,43678,1,b,4,14,Senna artemisioides,Fabaceae,NA,NA,NA,NA
eregla,clip a,43770,1,c,4,3,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,clip 14,43770,1,c,4,3,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,clip 11,43770,1,c,4,23,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,burn 37,43770,1,b,4,11,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,burn 35,43770,1,b,4,15,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,burn 32,43770,1,b,4,12,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,burn 24,43770,1,b,4,10,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
eregla,burn 18,43770,1,b,4,16,Eremophila glabra,Myoporaceae,NA,NA,NA,NA
erelon,burn c,43770,1,b,4,14,Eremophila longifolia,Myoporaceae,NA,NA,NA,NA
erelon,burn 6,43770,1,b,4,16,Eremophila longifolia,Myoporaceae,NA,NA,NA,NA
olepim,clip c,43770,1,c,4,5,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,clip b,43770,1,c,4,9,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,clip a,43770,1,c,4,-3,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,c2 b,43770,1,c2,4,-9,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,c2 a,43770,1,c2,4,-2,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,burn c,43770,1,b,4,11,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,burn b,43770,1,b,4,13,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
olepim,burn a,43770,1,b,4,24,Olearia pimeleoides,Asteraceae,NA,NA,NA,NA
senart,clip59,43770,1,c,4,9,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,clip5,43770,1,c,4,12,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,clip c,43770,1,c,4,6,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,clip b,43770,1,c,4,7,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,clip a,43770,1,c,4,5,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,c2 55,43770,1,c2,4,24,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,burn51,43770,1,b,4,9,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,burn48,43770,1,b,4,11,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,burn42,43770,1,b,4,14,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,burn32,43770,1,b,4,35,Senna artemisioides,Fabaceae,NA,NA,NA,NA
senart,burn15,43770,1,b,4,15,Senna artemisioides,Fabaceae,NA,NA,NA,NA
arijer,clip3,2000,0,c,5,7,Aristida jerichoensis var. subspinulifera,Poaceae,NA,NA,NA,NA
arijer,clip2,2000,0,c,5,8,Aristida jerichoensis var. subspinulifera,Poaceae,NA,NA,NA,NA
arijer,clip1,2000,0,c,5,8,Aristida jerichoensis var. subspinulifera,Poaceae,NA,NA,NA,NA
arijer,burn3,2000,0,b,5,14,Aristida jerichoensis var. subspinulifera,Poaceae,NA,NA,NA,NA
arijer,burn1,2000,0,b,5,6,Aristida jerichoensis var. subspinulifera,Poaceae,NA,NA,NA,NA
atrsem,clip1,2000,0,c,5,1,Atriplex semibaccata,Chenopodiaceae,NA,NA,NA,NA
boswal,clip3,2000,0,c,5,35,Bossiaea walkeri,Fabaceae,NA,NA,NA,NA
boswal,clip2,2000,0,c,5,55,Bossiaea walkeri,Fabaceae,NA,NA,NA,NA
boswal,burn3,2000,0,b,5,12,Bossiaea walkeri,Fabaceae,NA,NA,NA,NA
