Family,Species,Diaspore class,Life form,Habitat class,Seed diameter (mm),BFG 1 (%),BFG2 (%),BFG3 (%),BFG4 (%),BFG5 (%),BFG6 (%)
Myrtaceae,Syzygium francisii,ae,trees,3,7,0,22,33,22,3,0
Myrtaceae,Syzygium hodgkinsoniae,ae,stree,3,15,0,4,5,0,0,0
Myrtaceae,Syzygium johnsonii,ae,trees,1,6,9,4,5,0,0,0
Myrtaceae,Syzygium luehmannii,ae,trees,1,4,82,4,10,0,0,0
Myrtaceae,Syzygium moorei,ae,trees,4,25,0,0,0,2,0,0
Myrtaceae,Syzygium oleosum,ae,stree,1,11,91,9,52,8,1,8
Myrtaceae,Waterhousea floribunda,ae,trees,3,12,0,0,14,3,2,3
Nytaginaceae,Pisonia aculeata,adhesive,tclim,4,3,0,0,0,7,5,3
Oleaceae,Jasminum dallachii,ae,sclim,2,3,0,26,14,8,0,0
Oleaceae,Jasminum didymum subsp. racemosum,ae,sclim,6,5.5,0,0,10,18,82,83
Oleaceae,Jasminum  simplicifolium subsp. australiense,ae,sclim,6,6,0,0,14,37,79,83
Oleaceae,Notelaea johnsonii,ae,stree,4,6,0,9,5,35,4,5
Oleaceae,Notelaea longifolia,ae,stree,3,7,55,0,57,23,24,8
Oleaceae,Notelaea microcarpa  var. microcarpa,ae,stree,6,4,0,0,5,7,51,78
Oleaceae,Olea paniculata,ae,trees,wide,4.5,0,26,62,80,46,38
Pandanaceae,Freycinetia excelsa,ae,sclim,3,1,0,0,10,0,0,0
Pandanaceae,Freycinetia  scandens,ae,sclim,3,1,9,0,10,0,0,0
Passifloraceae,Passiflora  aurantia,ae,sclim,6,3,0,0,5,13,22,43
Passifloraceae,Passiflora  herbertiana,ae,sclim,3,3,0,4,5,2,0,0
Phytolaccaceae,Monococcus echinophorus,adhesive,stree,6,1.5,0,0,5,7,16,18
Piperaceae,Piper novae-hollandiae,ae,tclim,1,3,64,43,62,12,4,3
Pittosporaceae,Auranticarpa rhombifolia,eu,stree,5,2.5,0,4,14,18,40,25
Pittosporaceae,Bursaria incana,wa,stree,5,4,0,0,0,0,47,15
Pittosporaceae,Hymenosporum flavum,wa,trees,3,4,0,4,33,27,14,5
Pittosporaceae,Pittosporum ferrugineum,ae,stree,6,2,0,0,0,0,0,10
Pittosporaceae,Pittosporum lancifolium,ae,trees,3,2,0,4,5,3,1,0
Pittosporaceae,Pittosporum multiflorum,ae,stree,wide,4,0,57,71,50,35,13
Pittosporaceae,Pittosporum revolutum,ae,stree,wide,2,64,22,76,47,35,40
Pittosporaceae,Pittosporum spinescens,ae,stree,6,2.5,0,0,0,2,6,50
Pittosporaceae,Pittosporum undulatum,ae,trees,3,1,0,13,52,12,4,5
Pittosporaceae,Pittosporum viscidum,ae,stree,5,2,0,0,0,22,76,58
Plumbaginaceae,Plumbago  zeylanica,adhesive,sclim,5,2,0,0,0,0,20,15
Podocarpaceae,Podocarpus elatus,ae,trees,3,10,27,13,43,35,1,3
Proteaceae,Allorylon pinnatum,wa,trees,2,5,0,4,0,0,0,0
Proteaceae,Floydia praealta,un,trees,3,30,0,0,10,5,0,0
Proteaceae,Grevillea  helmsiae,wa,trees,6,5,0,0,0,5,0,20
Proteaceae,Grevillea  hilliana,wa,trees,4,5,0,0,14,17,0,5
Proteaceae,Grevillea robusta,wa,trees,5,5,0,0,19,13,42,13
Proteaceae,Helicia ferruginea,ae,stree,2,6,0,4,0,0,0,0
Proteaceae,Helicia glabrijlora,ae,stree,2,8,0,48,33,3,0,0
Proteaceae,Hicksbeachia pinnatifolia,ae,stree,2,15,0,4,0,0,0,0
Proteaceae,Lomatia arborescens,wa,stree,2,4,0,4,0,0,0,0
Proteaceae,Macadamia integrifolia,un,stree,4,20,0,0,10,15,0,0
Proteaceae,Macadamia ternifolia,un,stree,3,12,0,4,19,8,0,0
Proteaceae,Macadamia tetraphylla,un,stree,4,20,0,0,0,2,0,0
Proteaceae,Orites e:xcelsa,wa,trees,2,5,0,17,10,0,0,0
Proteaceae,Persoonia  media,ae,stree,2,6,0,4,0,0,0,0
Proteaceae,Stenocarpus salignus,wa,trees,2,4,0,17,lO,3,2,0
Proteaceae,Stenocarpus sinuatus,wa,trees,3,7,9,17,48,23,0,0
Proteaceae,Triunia robusta,ae,stree,3,18,0,0,5,0,0,0
Proteaceae,Triunia youngiana,ae,stree,2,7,0,13,0,0,0,0
Ranunculaceae,Clematis aristata,wa,tclim,3,2,0,0,5,2,0,0
Ranunculaceae,Clematis fawcettii,wa,sclim,3,1,0,4,5,3,3,0
Ranunculaceae,Clematis glycinoides,wa,tclim,wide,1.5,18,26,67,40,29,38
Rhamnaceae,Alphitonia excelsa,ae,trees,6,3,9,0,67,55,73,83
Rhamnaceae,Alphitonia petriei,ae,trees,1,2,9,0,5,0,0,0
Rhamnaceae,Emmenosperma alphitonioides,ae,trees,3,3,9,17,19,2,1,0
Rhamnaceae,Emmenosperma cunninghamii,ae,trees,6,4,0,0,0,0,0,3
Rhamnaceae,Rhamnella vitiensis,ae,sclim,6,4,0,0,0,0,0,23
Rhamnaceae,Ventilago pubiflora,wa,tclim,6,2,0,0,5,27,5,33
Rosaceae,Rubus moorei,ae,tclim,2,1,0,4,0,0,0,0
Rubiaceae,Aidia racemosa,ae,stree,6,2,0,0,0,0,0,18
Rubiaceae,Atractocarpus benthamianus,ae,stree,2,4,0,22,0,3,0,0
Rubiaceae,Atractocarpus chartaceus,ae,stree,wide,3,0,17,43,70,24,38
Rubiaceae,Caelospermum paniculatum var. paniculatum,ae,tclim,1,4,27,4,24,7,0,0
Rubiaceae,Canthium buxifolium,ae,stree,5,4,0,0,5,7,57,30
Rubiaceae,Canthium coprosmoides,ae,stree,wide,4,45,17,43,23,23,20
Rubiaceae,Canthium lamprophyllum,ae,trees,wide,3,36,0,48,43,35,25
Rubiaceae,Canthium  odoratum,ae,stree,6,3.5,0,0,29,33,48,70
Rubiaceae,Canthium sp. (Mt Cooroy),ae,stree,3,NA,0,0,5,0,0,0
Rubiaceae,Everistia vacciniifolia var. nervosa,ae,stree,5,3,0,0,5,17,53,53
Rubiaceae,Everistia vacciniifolia var. vacciniifolia,ae,stree,5,3,0,0,0,5,21,15
Rubiaceae,Hodgkinsonia ovatiflora,ae,stree,wide,1.5,0,30,67,63,24,33
Rubiaceae,Ixora beckleri,ae,stree,4,3,0,4,33,68,22,20
Rubiaceae,Ixora queenslandica,ae,stree,6,4,0,0,0,0,0,8
Rubiaceae,Morinda canthoides,ae,sclim,5,3,0,0,5,45,51,35
Rubiaceae,Morinda jasminoides,ae,sclim,wide,4,55,65,76,38,8,10
Rubiaceae,Pavetta australiensis,ae,stree,6,3,0,0,10,45,68,75
Rubiaceae,Psychotria  daphnoides,ae,stree,wide,8,0,70,62,58,46,73
Rubiaceae,Psychotria loniceroides,ae,stree,wide,4.5,73,9,81,70,24,38
Rubiaceae,Randia moorei,ae,stree,4,3,0,0,0,5,0,0
Rubiaceae,Tarenna cameronii,ae,stree,5,2,0,0,5,12,35,lO
Rubiaceae,Tarenna sp. (Ka Ka Mundi  NP W.J.McDonald+ 4642),ae,stree,6,2,0,0,0,3,3,45
Rutaceae,Acronychia  laevis,ae,stree,5,3,0,4,52,43,67,58
Rutaceae,Acronychia  oblongifolia,ae,stree,3,3,0,9,38,3,0,0
Rutaceae,Acronychia  octandra,un,trees,2,1.5,0,9,0,0,0,0
Rutaceae,Acronychia pauciflora,ae,stree,4,2,0,0,19,37,18,25
Rutaceae,Acronychia  pubescens,ae,stree,2,3,0,30,19,0,0,0
Rutaceae,Acronychia  wilcoxiana,ae,stree,1,3,27,0,24,0,0,0
Rutaceae,Bosistoa medicinalis,un,stree,6,5,0,0,5,0,0,15
Rutaceae,Bosistoa pentacocca var. connaricarpa,eu,stree,6,11,0,0,0,2,1,15
Rutaceae,Bosistoa pentacocca var. pentacocca,eu,stree,4,11,0,9,0,10,1,0
Rutaceae,Bosistoa transversa,un,stree,3,7,0,0,19,15,2,13
Rutaceae,Bouchardatia neurococca,un,stree,4,4,0,4,14,38,9,30
Rutaceae,Citrus australasica,ae,stree,2,4,0,22,0,12,1,0
Rutaceae,Citrus australis,ae,stree,5,5,0,0,24,20,35,0
Rutaceae,Clausena brevistyla,ae,stree,4,1.5,0,4,5,12,4,8
Rutaceae,Dinosperma erythrococcum,eu,trees,5,2,0,0,5,5,32,18
Rutaceae,Dinosperma melanophloia,un,trees,6,2,0,0,10,2,1,13
Rutaceae,Flindersia  australis,wa,trees,wide,6,0,13,52,52,81,78
Rutaceae,Flindersia  bennettiana,wa,trees,1,4,64,4,38,10,5,3
Rutaceae,Flindersia  collina,wa,trees,5,4,0,0,0,7,87,30
Rutaceae,Flindersia  schottiana,wa,trees,3,5,27,9,43,33,7,20
Rutaceae,Flindersia  xanthoxyla,wa,trees,5,4,0,0,14,12,36,3
Rutaceae,Geijera paniculata,un,stree,6,2,0,0,0,3,18,48
Rutaceae,Geijera parviflora,un,stree,6,2,0,0,0,0,1,3
Rutaceae,Geijera salicifolia,un,trees,5,5,0,4,24,22,58,45
Rutaceae,Glycosmis trifoliata,ae,stree,6,5,0,0,0,0,0,8
Rutaceae,Halfordia  kendack,ae,trees,1,3,91,13,29,7,0,0
Rutaceae,Medicosma cunninghamii,un,stree,4,1,0,4,19,30,5,5
Rutaceae,Medicosma elliptica,un,stree,4,NA,0,0,0,5,0,0
Rutaceae,Melicope  elleryana,ae,trees,3,3.5,0,0,14,2,0,0
Rutaceae,Melicope  micrococca,un,trees,wide,4,0,17,24,10,24,25
Rutaceae,Melicope vitiflora,un,trees,3,2,0,0,5,0,0,0
Rutaceae,Micromelum minutum,ae,stree,6,3,0,0,5,8,19,58
Rutaceae,Murraya ovatifoliolata,ae,stree,6,4,0,0,0,2,1,55
Rutaceae,Pentaceras australe,wa,trees,5,5,0,4,14,23,32,3
Rutaceae,Phebalium squamulosum subsp. squamulosum ,un,stree,5,2,0,0,0,0,4,3
Rutaceae,Pitaviaster haplophylla,ae,stree,1,NA,9,0,0,0,0,0
Rutaceae,Sarcomelicope simplicifolia subsp. simplicifolia,ae,trees,wide,3,9,13,48,57,46,23
Rutaceae,Zanthoxylum brachyacanthum,eu,stree,wide,4,0,17,24,32,62,55
Santalaceae,Exocarpos latifolius,ae,stree,6,5,0,0,10,17,51,73
Sapindaceae,Alectryon connatus,ae,stree,5,5,0,0,10,28,59,43
Sapindaceae,Alecfryon coriaceus,ae,stree,3,5,0,0,5,0,0,0
Sapindaceae,Alectryon diversifolius,ae,stree,5,4,0,0,0,0,27,23
Sapindaceae,Alectryon reticulatus,ae,stree,1,5,18,4,10,13,12,0
Sapindaceae,Alecfryon semicinereus,ae,stree,3,5,0,0,5,3,0,0
Sapindaceae,Alectpyon subcinereus,ae,trees,3,5,0,43,52,15,9,0
Sapindaceae,Alectryon subdentatus,ae,stree,5,5,0,4,0,17,68,68
Sapindaceae,Alectryon tomentosus var. tomentosus,ae,stree,6,5,0,0,0,43,51,55
Sapindaceae,Arytera dictyoneura,ae,stree,4,5,0,0,0,7,0,3
Sapindaceae,Arytera distylis,ae,stree,wide,6,0,30,33,45,41,10
Sapindaceae,Aytera divaricata,ae,stree,wide,6,0,26,48,75,71,73
Sapindaceae,Arytera microphylla,ae,stree,6,4,0,0,0,7,14,33
Sapindaceae,Atalaya multiflora,wa,trees,4,6,0,9,5,23,9,8
Sapindaceae,Atalaya rigida,wa,stree,6,5,0,0,0,2,0,8
Sapindaceae,Atalaya salicifolia,wa,trees,6,5,0,0,5,18,54,58
Sapindaceae,Castanospora alphandii,un,trees,3,18,0,4,10,0,0,0
Sapindaceae,Cupaniopsis anacardioides,ae,trees,6,8,0,0,14,12,5,60
Sapindaceae,Cupaniopsis baileyana,ae,stree,3,7,0,4,5,0,0,0
Sapindaceae,Cupaniopsis flagelliformis var. australis,ae,stree,2,8,0,9,0,3,0,0
Sapindaceae,Cupaniopsis newmanii,ae,stree,2,9,0,26,0,3,0,0
Sapindaceae,Cupaniopsis parvifolia,ae,trees,5,5,0,0,10,55,86,28
Sapindaceae,Cupaniopsis serrata,ae,stree,3,8,0,13,38,30,12,5
Sapindaceae,Cupaniopsis shirleyana,ae,stree,6,6,0,0,0,5,1,8
Sapindaceae,Cupaniopsis simulatus,ae,stree,3,8,0,0,5,2,1,3
Sapindaceae,Cupaniopsis tomentella,ae,stree,5,10,0,0,0,0,13,0
Sapindaceae,Cupaniopsis wadsworthii,ae,stree,4,9,0,0,0,10,0,10
Sapindaceae,Diploglottis australis,ae,trees,3,9,0,61,62,35,11,8
Sapindaceae,Elattostachys nervosa,ae,trees,2,6,0,52,43,45,12,8
Sapindaceae,Elattostachys xylocarpa,ae,trees,5,5,0,4,33,65,89,83
Sapindaceae,Guioa acutifolia,ae,stree,1,6,64,0,29,0,0,0
Sapindaceae,Guioa semiglauca,ae,trees,3,6,0,52,86,30,15,5
Sapindaceae,Harpullia alata,ae,stee,2,10,18,22,0,0,1,0
Sapindaceae,Harpullia hillii,ae,trees,5,8,0,0,29,32,45,35
Sapindaceae,Harpullia pendula,eu,trees,6,8,0,0,33,47,39,50
Sapindaceae,Jagera pseudorhus,ae,trees,wide,4,27,17,71,67,55,75
Sapindaceae,Lepiderema pulchella,ae,stree,4,7,0,0,0,2,0,0
Sapindaceae,Mischarytera lautereriana,ae,trees,1,10,73,26,48,5,0,3
Sapindaceae,Mischocarpus anodontus,ae,stree,4,8,0,0,24,48,31,45
Sapindaceae,Mischocarpus australis,ae,trees,1,6,36,17,19,3,1,3
Sapindaceae,Mischocarpus lachnocarpus,ae,stree,2,6,0,4,0,0,0,0
Sapindaceae,Mischocarpus pyriformis,ae,trees,wide,6,73,30,52,30,0,10
Sapindaceae,Rhysotoechia bifoliolata,ae,trees,4,7,0,9,5,22,13,10
Sapindaceae,Sarcopteryx stipata,ae,stree,1,5,91,83,62,2,3,0
Sapindaceae,Toechima dasyrrhache,ae,stree,4,5,0,0,0,3,1,0
Sapindaceae,Toechima tenax,ae,stree,4,5,0,0,14,28,20,0
Sapotaceae,Niemeyera antilogum,ae,stree,4,30,0,0,10,25,9,10
Sapotaceae,Niemeyera chartacea,ae,stree,2,8,0,39,5,0,0,0
Sapotaceae,Planchonella queenslandica,ae,trees,1,8,82,4,57,18,3,13
Sapotaceae,Pouteria australis,ae,trees,2,10,0,48,29,35,4,0
Sapotaceae,Pouteria chartacea,ae,stree,1,8,73,0,24,5,0,0
Sapotaceae,Pouteria cotinifolia,ae,stree,5,5,0,0,0,8,80,70
Sapotaceae,Pouteria eerwah,ae,trees,4,15,0,0,5,5,2,0
Sapotaceae,Pouteria myrsinoides,ae,stree,wide,8,0,13,14,48,59,70
Sapotaceae,Pouteria pohlmaniana,ae,trees,6,7,0,0,14,30,47,55
Sapotaceae,Pouteria sericea,ae,stree,6,8,0,0,0,0,0,8
Simaroubaceae,Ailanthus triphysa,wa,trees,4,5,0,4,24,32,19,23
Simaroubaceae,Guilfoylia monostylis,ae,stree,3,9,0,17,24,5,0,0
Simaroubaceae,Quassia bidw'illii,ae,stree,4,5,0,0,0,3,0,0
Smilacaceae,Eustrephus latifolius,ae,sclim,3,4,0,0,52,30,44,28
Smilacaceae,Geitonoplesium cymosum,ae,sclim,wide,2.5,91,26,86,67,83,83
Smilacaceae,Ripogonum  album,ae,sclim,3,3,0,35,43,30,6,0
Smilacaceae,Ripogonum brevifolium,ae,sclim,4,3,0,9,43,62,39,33
Smilacaceae,Ripogonum discolor,ae,sclim,1,4,27,4,0,2,0,0
Smilacaceae,Ripogonum  elseyanum,ae,sclim,2,3,0,57,33,3,0,0
Smilacaceae,Smilax australis,ae,sclim,wide,3,73,48,95,82,81,78
Smilacaceae,Smilax glyciphylla,ae,sclim,1,3,64,4,5,0,0,0
Solanaceae,Duboisia leichhardtii,ae,stree,6,2,0,0,0,0,0,3
Solanaceae,Duboisia myoporoides,ae,stree,3,2,0,4,24,0,0,3
Solanaceae,Solanum aviculare,ae,stree,3,1,0,0,5,0,0,0
Solanaceae,Solanum callium,ae,stree,2,2.5,0,4,0,0,0,0
Solanaceae,Solanum corifolium,ae,stree,wide,3,0,13,14,37,41,20
Solanaceae,Solanum forfuraceum,ae,stree,3,1,0,4,5,0,0,0
Solanaceae,Solanum inaequilaterum,ae,stree,2,2.5,0,13,0,0,0,0
Solanaceae,Solanum semiarmatum,ae,stree,5,1.5,0,0,0,0,1,0
Solanaceae,Solanum stelligerum,ae,stree,5,1.5,0,0,48,37,78,73
Solanaceae,Solanum stupefactum,ae,stree,5,3.5,0,0,0,0,5,0
Sterculiaceae,Argyrodendron actinophyllum,wa,trees,2,8,0,57,33,13,6,0
Sterculiaceae,"Argyrodendron sp. (Kin Kin W.D.Francis
AQ81198)",wa,trees,4,8,9,9,14,27,13,25
Sterculiaceae,Argyrodendron trifoliolatum,wa,trees,wide,8,9,78,52,83,33,18
Sterculiaceae,Brachychiton acerifolius,eu,trees,2,6,0,48,24,18,1,3
Sterculiaceae,Brachychiton australis,un,trees,6,5.5,0,4,0,0,I,40
Sterculiaceae,Brachychiton discolor,un,trees,5,8,0,4,19,37,59,20
Sterculiaceae,Brachychiton rupestris,un,trees,6,4,0,0,0,0,16,38
Sterculiaceae,Commersonia bartramia,ae,trees,3,1.5,0,0,43,27,1,5
Sterculiaceae,Sterculia  quadri.fida,eu,trees,6,9,0,0,48,40,46,73
Symplocaceae,Symplocos baeuerlenii,ae,stree,2,4,0,4,0,0,0,0
Symplocaceae,Symplocos  stawellii,ae,trees,3,2,0,0,5,2,0,0
Symplocaceae,Symplocos thwaitesii,ae,trees,3,2,0,17,24,8,1,0
Thymeliaceae,Phaleria chermsideana,ae,stree,3,6,0,4,10,2,0,0
Thymeliaceae,Phaleria octandra,ae,stree,1,6,9,0,0,0,0,0
Thymeliaceae,Wikstroemia indica,ae,stree,3,5,0,0,43,22,36,3
Ulmaceae,Aphananthe  philippinensis,ae,trees,4,3.5,0,9,43,70,53,58
Ulmaceae,Celtis paniculata,ae,trees,wide,5,27,0,19,22,21,28
Urticaceae,Trema orientalis,ae,trees,4,2,0,0,0,2,0,0
Urticaceae,Boehmeria  macrophylla,un,stree,3,1,0,9,14,0,0,0
Urticaceae,Dendrocnide excelsa,ae,trees,wide,2.5,0,35,52,45,46,10
Urticaceae,Dendrocnide moroides,ae,stree,3,2,0,0,5,0,0,0
Urticaceae,Dendrocnide photinophylla,ae,trees,wide,2,0,22,38,77,74,73
Verbenaceae,Clerodendrum floribundum,ae,stree,wide,3,27,4,62,37,47,48
Verbenaceae,Clerodendrum tomentosum,ae,stree,5,2,0,0,14,17,20,10
Verbenaceae,Glossocarya hemiderma,un,tclim,6,2,0,0,0,8,7,75
Verbenaceae,Gmelina leichhardtii,ae,trees,3,7,36,43,62,12,2,3
Verbenaceae,Spartothamnella juncea,ae,stree,5,2,0,0,0,5,60,38
Verbenaceae,Vitex lignum-vitae,ae,trees,4,3,0,9,19,72,68,55
Verbenaceae,Vitex melicopea,ae,trees,6,2.5,0,0,5,8,3,35
Vitaceae,Cayratia acris,ae,tclim,5,4.5,0,0,5,27,62,45
Vitaceae,Cayratia clematidea,ae,sclim,3,4,0,4,57,30,43,55
Vitaceae,Cayratia eurynema,ae,sclim,3,4,0,13,19,15,2,0
Vitaceae,Cayratia japonica,ae,sclim,4,4,0,0,0,8,0,5
Vitaceae,Cayratia saponaria,ae,sclim,4,6,0,0,0,2,1,0
Vitaceae,Cissus antarctica,ae,tclim,wide,6,0,39,86,88,82,25
Vitaceae,Cissus hastata,ae,sclim,6,3.5,0,0,0,0,0,0.3
Vitaceae,Cissus hypoglauca,ae,tclim,3,4.5,64,22,71,25,2,0
Vitaceae,Cissus oblonga,ae,sclim,6,5.5,0,0,5,10,2,75
Vitaceae,Cissus opaca,ae,sclim,6,5,0,0,33,28,28,60
Vitaceae,Cissus reniformis,ae,sclim,6,7,0,0,0,0,0,18
Vitaceae,Cissus repens,ae,sclim,6,5,0,0,0,0,0,3
Vitaceae,Cissus sterculiifolia,ae,sclim,1,7,55,43,43,3,0,0
Vitaceae,Tetrastigma nitens,ae,tclim,wide,7.5,0,48,62,68,67,73
Winteraceae,Tasmannia insipida,ae,stree,1,2,55,22,33,2,0,0
Zingiberaceae,Alpinia arundelliana,ae,stree,1,NA,18,0,10,2,0,0
Zingiberaceae,Alpinia caerulea,ae,stree,3,NA,0,22,71,55,9,13
