Species,Modern/Historic,Date Collected,latitude (deg),longitude (deg),site,Replicate,Seed Length (mm),Seed Width (mm),Seed Depth (mm),Length transformed,Width transformed,Depth transformed,Sum,Variance,Mass (g),Number of seeds weighed per replicate,Plant label number,Count_of_leaves_scanned,Leaf_or_leaflet,Leaf area (cm2),Leaf area (m2),Leaf mass (g),LMA (g/m2),Volume of Stem (mL),Mass of dried stem (g),Stem Density (g/mL),Germination %,Viability %,n,Dormant,Notes,Plant ID,HHMMSS,Photo (Asat; umol CO2 m-2 s-1),Conductance (gs; mmol H2O m-2 s-1),Ci,Area,Root (g),Totalshoot (g),Totalplant,Roottoshoot
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,15,5.19,2.81,1.39,1,0.541425819,0.267822736,9.39,0.091248052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,16,6.09,3.35,1.65,1,0.550082102,0.270935961,11.09,0.090209229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,17,6,3.25,1.57,1,0.541666667,0.261666667,10.82,0.09262284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,18,5.95,3.08,1.53,1,0.517647059,0.257142857,10.56,0.094707059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,19,6.61,3.46,1.73,1,0.523449319,0.26172466,11.8,0.093405647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,20,6.51,3.5,1.69,1,0.537634409,0.259600614,11.7,0.093252887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,21,5.71,3.15,1.64,1,0.551663748,0.287215412,10.5,0.086555576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,22,6.45,3.34,1.74,1,0.517829457,0.269767442,11.53,0.091918087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,23,6.72,3.5,1.71,1,0.520833333,0.254464286,11.93,0.095152963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,24,6.44,3.49,1.73,1,0.541925466,0.26863354,11.66,0.091046406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,25,6.43,3.36,1.47,1,0.522550544,0.228615863,11.26,0.10104323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,26,6.31,3.31,1.55,1,0.524564184,0.245641838,11.17,0.096988125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,27,6.26,3.52,1.67,1,0.562300319,0.266773163,11.45,0.090726545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,28,6.24,3.36,1.58,1,0.538461538,0.253205128,11.18,0.094676839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,29,6.01,3.36,1.62,1,0.55906822,0.269550749,10.99,0.090199701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,30,6.34,3.57,1.66,1,0.563091483,0.261829653,11.57,0.091838134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,31,6.83,3.4,1.57,1,0.497803807,0.229868228,11.8,0.101899271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,32,5.96,3.36,1.59,1,0.563758389,0.266778523,10.91,0.090679724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,33,6.51,3.45,1.45,1,0.529953917,0.222734255,11.41,0.102163253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,34,5.97,3.36,1.6,1,0.56281407,0.2680067,10.93,0.090428568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,35,6.77,3.34,1.63,1,0.493353028,0.240768095,11.74,0.099658154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,36,6.12,3.54,1.7,1,0.578431373,0.277777778,11.36,0.087746403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,37,6.34,3.14,1.58,1,0.495268139,0.249211356,11.06,0.097664642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,38,5.78,3.42,1.73,1,0.591695502,0.299307958,10.93,0.082574708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,39,5.9,3.12,1.39,1,0.528813559,0.23559322,10.41,0.099145839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,40,5.96,3.29,1.63,1,0.552013423,0.273489933,10.88,0.089564909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,41,6.1,3.48,1.65,1,0.570491803,0.270491803,11.23,0.089628833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,42,6.26,3.58,1.63,1,0.571884984,0.260383387,11.47,0.091927605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,43,6.54,3.25,1.64,1,0.496941896,0.250764526,11.43,0.09722495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,44,5.98,3.66,1.63,1,0.612040134,0.272575251,11.27,0.088321781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,45,6.38,3.55,1.63,1,0.556426332,0.255485893,11.56,0.093513778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,46,6.51,3.47,1.74,1,0.533026114,0.267281106,11.72,0.091729111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,47,6.15,3.29,1.59,1,0.53495935,0.258536585,11.03,0.093604483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,48,5.9,3.21,1.45,1,0.544067797,0.245762712,10.56,0.096192665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,49,5.87,3.32,1.66,1,0.565587734,0.282793867,10.85,0.087007892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Historic,12/2/1984,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,50,6.34,3.36,1.52,1,0.529968454,0.239747634,11.22,0.098126826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,1,5.89,2.37,1.62,1,0.40237691,0.275042445,9.88,0.099881209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,2,4.96,2.77,1.52,1,0.558467742,0.306451613,9.25,0.082163581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,3,4.46,2.82,1.67,1,0.632286996,0.374439462,8.95,0.065891577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,4,5.17,2.72,1.36,1,0.526112186,0.263056093,9.25,0.092983832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,5,5.25,2.74,1.45,1,0.521904762,0.276190476,9.44,0.090316755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,6,5.23,2.85,1.62,1,0.544933078,0.309751434,9.7,0.082093266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,7,5.21,2.78,1.55,1,0.533589251,0.297504798,9.54,0.085197151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,8,5.42,2.47,1.3,1,0.455719557,0.239852399,9.19,0.102296023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,9,5.27,2.45,1.68,1,0.464895636,0.318785579,9.4,0.085748657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,10,5.69,2.49,1.78,1,0.437609842,0.312829525,9.96,0.089339564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,11,5.35,2,1.77,1,0.373831776,0.330841121,9.12,0.093523161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,12,4.96,2.6,1.34,1,0.524193548,0.27016129,8.9,0.091509857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,13,6.08,2.96,1.54,1,0.486842105,0.253289474,10.58,0.097272719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,14,5.34,2.82,1.5,1,0.528089888,0.280898876,9.66,0.088989886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,15,5.27,2.84,1.34,1,0.538899431,0.25426945,9.45,0.094415779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,16,4.67,2.9,1.49,1,0.620985011,0.319057816,9.06,0.077610517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,17,5.18,2.45,1.22,1,0.472972973,0.235521236,8.85,0.102063177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,18,6.19,2.77,1.4,1,0.447495961,0.226171244,10.36,0.105895143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,19,5.4,2.45,1.47,1,0.453703704,0.272222222,9.32,0.095670629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,20,5.45,2.75,1.53,1,0.504587156,0.280733945,9.73,0.090320867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,21,5.49,2.77,1.27,1,0.504553734,0.23132969,9.53,0.101219158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,22,5.61,2.39,1.72,1,0.426024955,0.306595365,9.72,0.091613418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,23,5.23,2.47,1.72,1,0.472275335,0.328871893,9.42,0.083274534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,24,5.61,2.41,1.24,1,0.429590018,0.221033868,9.26,0.108405717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,25,5.06,2.68,1.36,1,0.529644269,0.268774704,9.1,0.091553098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,26,5.52,2.3,1.43,1,0.416666667,0.259057971,9.25,0.101568152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,27,5.05,2.88,1.48,1,0.57029703,0.293069307,9.41,0.084583429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,28,6.44,2.81,1.67,1,0.436335404,0.25931677,10.92,0.099740558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,29,5.28,2.51,1.74,1,0.475378788,0.329545455,9.53,0.082889342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,30,4.95,2.72,1.32,1,0.549494949,0.266666667,8.99,0.091191602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,31,5.2,2.54,1.51,1,0.488461538,0.290384615,9.25,0.089384451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,32,5.35,2.4,1.77,1,0.448598131,0.330841121,9.52,0.085076038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,33,5.79,2.16,1.73,1,0.373056995,0.298791019,9.68,0.098918556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,34,5.05,2.2,1.46,1,0.435643564,0.289108911,8.71,0.093926304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,35,5.45,2.81,1.57,1,0.51559633,0.288073394,9.83,0.088139233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,36,5.3,2.28,1.51,1,0.430188679,0.28490566,9.09,0.095239112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,37,5.52,2.29,1.58,1,0.414855072,0.286231884,9.39,0.09648927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,38,4.93,2.97,1.57,1,0.602434077,0.318458418,9.47,0.078133307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,39,5.58,2.62,1.47,1,0.46953405,0.26344086,9.67,0.096265321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,40,5.04,2.84,1.42,1,0.563492063,0.281746032,9.3,0.087312085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,41,5.25,2.48,1.42,1,0.472380952,0.27047619,9.15,0.094594709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,42,6.13,2.46,1.43,1,0.401305057,0.233278956,10.02,0.108281063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Modern,11/5/2017,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,43,5.44,2.84,1.5,1,0.522058824,0.275735294,9.78,0.090406935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
