Species,plant_height_m,leaf_area_mm2,SLA_mm2_mg,seed_mass_mg,variance_seed_dimensions,seed_source,dispersal_mode,life-form,nutrient_uptake_strategy,nitrogen_fixing,clonal_spread,vegetative_regeneration,fire_response,dispersal syndrome source,nutrient update source,fire_response source,native_status,plant_growth_form,site
Stellaria pungens,0.4,16,36.36,0.57,0.081,collected for study,Bar,HPr,None,0,C (rhizome),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Stuartina muelleri,0.13,33.3,58.32,0.13,0.097,collected for study,Anem,T,AM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Stylidium graminifolium,0.38,235.4,5.51,0.17,0.093,collected for study,Bar,HE,ECM,0,C (rhizome),vegetative,R,,literature,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Tetratheca bauerifolia,0.35,9.3,7.55,2.81,0.079,collected for study,Myrm,C,AM,0,N,not_vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Thysanotus patersonii,1,,,,,collected for study,,G,Unknown,0,C (tuberous root),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Veronica calycina,0.33,98.2,15.24,0.27,0.152,collected for study,Bar,HPr,None,0,C (stolon),vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Viola hederacea,0.03,230.7,13.66,0.34,0.087,collected for study,Myrm,HF,None,0,C (stolon),vegetative,R,myrmecochory was confirmed from literature (Berg 1975; Rice and Westoby 1981; Benson and McDougall 1996; French and Westoby,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,,Delatite Peninsula
Wahlenbergia gracilenta,0.33,106.8,49.15,0.003,0.121,collected for study,Mob,T,AM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Wahlenbergia muliticaulis,0.66,168.1,44.27,0.008,0.118,collected for study,Mob,HPr,AM,0,C (adventitious root buds),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Wahlenbergia stricta ssp. stricta,0.69,160.5,30.3,0.005,0.116,collected for study,Mob,HPr,AM,0,C (adventitious root buds),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Wurmbea dioica,0.23,155.1,11.03,,,collected for study,Bar,G,AM,0,C (corm),vegetative,R,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,,Delatite Peninsula
Adiantum aethiopicum,0.43,951.8,39.31,,,collected for study,Mob,HE,AM,0,C (rhizome),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,fern,Delatite Peninsula
Asplenium flabellifolium,0.35,658.2,16.81,,,collected for study,Mob,HE,AM,0,C (rhizome),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,fern,Delatite Peninsula
Blechnum fluviatile,0.55,,,,,collected for study,Mob,C,AM,0,C (rhizome),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,fern,Delatite Peninsula
Chelianthes austrotenuifolia,0.51,1174.8,16.44,,,collected for study,Mob,HE,AM,0,C (rhizome),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,fern,Delatite Peninsula
Pteridium esculentum,1.88,,,,,collected for study,Mob,HE,AM,0,C (rhizome),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,fern,Delatite Peninsula
Acetocella vulgaris,0.5,528.2,28.25,0.5,0.013,collected for study,Bar,HP,None,0,C (adventitious root buds),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Aira caryophyllea,0.4,45.8,38.95,0.028,0.168,collected for study,Mob,T,AM,0,N,not_vegetative,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Anagallis arvensis,0.2,49.5,18.45,0.17,0.023,collected for study,Baro,T,AM,0,N,not_vegetative,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Anthoxanthum odoratum,0.57,323.5,37.16,0.25,0.165,collected for study,Epi,HE,AM,0,C (rhizome),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Arctotheca calendula,0.3,3615.8,15.39,1.75,0.099,collected for study,Anem,T,AM,0,N,not_vegetative,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Avena fatua,1.5,916.4,40.3,4.55,0.2,collected for study,Epi,T,AM,0,N,not_vegetative,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Briza maxima,0.57,871.4,56.32,1.3,0.127,collected for study,Anem,T,AM,0,N,not_vegetative,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Briza minor,0.6,215.5,54.42,0.12,0.023,collected for study,Anem,T,AM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Bromus diandrus,0.7,839.1,38.83,4.2,0.121,collected for study,Epi,T,AM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Bromus rubens,0.4,292.4,31.77,3.7,,collected for study,Epi,T,None,0,N,not_vegetative,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Cardamine hirsuta,0.32,134,47.82,0.07,0.149,collected for study,Mob,T,None,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Cardus tenuiflorus,1.33,3066.7,21.16,2.82,0.188,collected for study,Anem,T,AM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Centaurium tenuiflorum,0.37,335.4,13.57,0.001,0.028,collected for study,Mob,T,AM,0,N,not_vegetative,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Cerastium glomeratum,0.43,208.8,38.66,0.08,0.011,collected for study,Mob,T,None,0,N,not_vegetative,S,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,introduced,,Delatite Peninsula
Cirsium vulgare,1.4,6878.9,12.65,1.5,0.19,collected for study,Anem,T,AM,0,N,not_vegetative,S,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,introduced,,Delatite Peninsula
Conyza bonariensis,1.17,999.6,20.95,0.037,0.191,collected for study,Anem,T,AM,0,N,not_vegetative,S,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,introduced,,Delatite Peninsula
Dittrichia graveolens,0.65,116.5,34.18,0.16,0.153,collected for study,Anem,T,AM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Erodium moschatum,0.4,417.1,21.65,1.47,0.16,collected for study,Epi,T,AM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Galium aparine,1.35,46.4,45.49,9.81,0.017,collected for study,Epi,T,AM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Galium muriale,0.12,8.3,78.3,0.08,0.035,collected for study,Mob,T,AM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Gamochaeta purpurea,0.45,218.5,33.11,0.003,0.158,collected for study,Anem,T,AM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Holcus lanatus,0.61,811.2,30.28,0.25,0.176,collected for study,Epi,HE,AM,0,C (rooting at nodes),vegetative,R,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Hordeum vulgare,1,,,2.32,0.191,collected for study,Epi,T,AM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Hypericum perforatum,0.9,78.5,32.82,0.12,0.139,collected for study,Mob,C,AM,0,C (rhizome),vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Hypochoeris glabra,0.49,559.9,29.09,0.37,0.241,collected for study,Anem,T,AM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Hypochoeris radicata,0.37,814.7,28.03,0.97,0.236,collected for study,Anem,HF,AM,0,N,not_vegetative,R,,literature,Ecology of Sydney Flora database (Benson and McDougall,introduced,,Delatite Peninsula
Myosotis discolor,0.3,181.1,40.22,0.87,0.163,collected for study,Epi,T,AM,0,N,not_vegetative,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Lactuca serriola,2,5115.3,43.87,0.12,0.122,collected for study,Anem,T,AM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Linaria pelisseriana,0.7,28.7,44.84,0.15,0.062,collected for study,Mob,T,AM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Petrorhagia dubia,0.55,191,32.91,0.18,0.046,collected for study,Bar,T,None,0,N,not_vegetative,S,,literature,Ecology of Sydney Flora database (Benson and McDougall,introduced,,Delatite Peninsula
Pinus radiata,30,316.6,4.29,18.26,0.102,collected for study,Anem,P,ECM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Poa annua,0.3,173.8,64.28,0.26,0.162,collected for study,Bar,T,AM,0,N,not_vegetative,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Polycarpon tetraphyllum,0.15,50.3,46.92,0.024,0.063,collected for study,Mob,T,None,0,N,not_vegetative,S,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,introduced,,Delatite Peninsula
Prunus cerasifera,7,313.3,34.92,168.53,0.103,collected for study,End,P,AM,0,N,not_vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Rosa rubiginosa,2.25,538.8,10.4,18.23,0.065,collected for study,End,P,AM,0,N,not_vegetative,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Rubus fruiticosus spp. agg.,3,2574.3,9.44,2.52,0.065,collected for study,End,P,AM,0,C (rooting on stems),vegetative,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Sisyrinchium spp. A,0.23,108.7,33.23,0.25,,collected for study,Mob,T,AM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Solanum nigrum,0.9,340.5,18.2,0.94,0.183,collected for study,End,T,AM,0,N,not_vegetative,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Sonchus asper,1.5,1519.1,31.22,0.44,0.137,collected for study,Anem,T,AM,0,N,not_vegetative,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Sonchus oleraceus,1.23,2555,40.35,0.26,0.112,collected for study,Anem,T,AM,0,N,not_vegetative,S,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,introduced,,Delatite Peninsula
Spergula rubra,0.2,16.4,37.3,0.08,0.019,collected for study,Mob,T,None,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Stellaria media,0.28,43.3,59.23,0.32,0.01,collected for study,Bar,T,None,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
"Taraxacum officinale spp. agg,",0.33,818.1,37.33,0.9,0.166,collected for study,Anem,HF,AM,0,N,not_vegetative,S,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,introduced,,Delatite Peninsula
Trifolium angustifolium,0.48,111.9,28.55,1.08,0.044,collected for study,Epi,T,NF + AM,1,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Trifolium arvense,0.4,119,38.86,0.16,0.028,collected for study,Anem,T,NF + AM,1,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Trifolium dubium,0.33,69.4,54.73,0.24,0.01,collected for study,Bar,T,NF + AM,1,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Trifolium glomeratum,0.05,131.6,38.79,0.31,0.039,collected for study,Bar,T,NF + AM,1,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Trifolium subterraeum,0.05,442.9,26.63,5.99,0.039,collected for study,Bar,T,NF + AM,1,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Verbascum virgatum,2,5339.1,10.47,0.2,0.023,collected for study,Mob,HP,AM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Veronica arvensis,0.1,45.8,39.25,1.05,0.051,collected for study,Bar,T,AM,0,N,not_vegetative,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Vicia sativa ssp. nigra,0.3,346.3,32.17,10.11,0.008,collected for study,Bar,T,NF + AM,1,N,not_vegetative,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
Vulpa bromoides,0.57,50,33.65,0.21,0.247,collected for study,Epi,T,AM,0,N,not_vegetative,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,,Delatite Peninsula
