genus_APC,genus_Sjostrom,habit_to_use,lifespan_to_use,sex_type_to_use,fruit_to_use
Sesbania,Sesbania,1,1,1,14
Smithia,Smithia,2,2,1,14
Sophora,Sophora,2,2,1,14
Sphaerolobium,Sphaerolobium,2,2,1,14
Strongylodon,Strongylodon,1,1,1,14
Swainsona,Swainsona,1,NA,1,14
Tadehagi,Tadehagi,2,2,1,14
Templetonia,Templetonia,2,2,1,14
Tephrosia,Tephrosia,2,2,1,14
Trigonella,Trigonella,1,1,1,14
Uraria,Uraria,1,2,1,14
Urodon,Urodon,2,2,1,14
Vandasina,Vandasina,5,2,1,14
Vigna,Vigna,1,NA,1,14
Viminaria,Viminaria,2,2,1,14
Zornia,Zornia,1,2,1,14
Flagellaria,Flagellaria,5,2,1,6
Frankenia,Frankenia,NA,NA,1,3
Canscora,Canscora,1,1,1,3
Centaurium,Centuarium,1,1,1,3
Gentianella,Chionogentias,1,NA,1,3
Exacum,Exacum,1,1,1,3
Gentiana,Gentiana,1,1,1,3
Sebaea,Sebaea,1,1,1,3
Erodium,Erodium,1,1,1,7
Geranium,Geranium,1,NA,1,7
Pelargonium,Pelargonium,NA,NA,1,7
Cyrtandra,Cyrtandra,2,2,1,2
Fieldia,Fieldia,4,2,1,2
Lenbrassia,Lenbrassia,2,2,1,2
Negria,Negria,3,2,1,3
Anthotium,Anthotium,1,2,1,3
Brunonia,Brunonia,1,2,1,16
Coopernookia,Coopernookia,2,2,1,3
Dampiera,Dampiera,NA,2,1,16
Diaspasis,Diaspasis,1,2,1,10
Goodenia,Goodenia,NA,NA,1,NA
Lechenaultia,Lechenaultia,2,2,1,3
Scaevola,Scaevola,NA,2,1,10
Selliera,Selliera,1,2,1,8
Velleia,Velleia,1,NA,1,3
Verreauxia,Verreauxia,2,2,1,16
Abrophyllum,Abrophyllum,8,2,1,2
Anopterus,Anopterus,3,2,1,3
Argophyllum,Argophyllum,NA,2,1,3
Corokia,Corokia,2,2,1,6
Cuttsia,Cuttsia,3,2,1,3
Polyosma,Polyosma,8,2,1,2
Quintinia,Quintinia,3,2,1,3
Tetracarpaea,Tetracarpaea,2,2,1,12
Gunnera,Gunnera,1,2,8,6
Codonocarpus,Codonocarpus,3,2,7,7
Gyrostemon,Gyrostemon,NA,2,8,7
Tersonia,Tersonia,1,1,8,10
Anigozanthos,Anigozanthos,1,2,1,3
Blancoa,Blancoa,1,2,1,3
Conostylis,Conostylis,1,2,1,3
Haemodorum,Haemodorum,1,2,1,3
Macropidia,Macropidia,1,2,1,3
Phlebocarya,Phlebocarya,1,2,1,3
Tribonanthes,Tribonanthes,1,2,1,3
Glischrocaryon,Glischrocaryon,1,2,1,16
Gonocarpus,Gonocarpus,NA,NA,1,16
Haloragis,Haloragis,NA,NA,1,16
Haloragodendron,Haloragodendron,NA,2,1,16
Myriophyllum,Meziella,1,2,8,16
Myriophyllum,Myriophyllum,1,NA,NA,16
Hanguana,Hanguana,1,2,8,6
Nymphaeales,Hydatella,1,1,7,3
Trithuria,Trithuria,1,1,7,3
Enhalus,Enhalus,1,2,8,26
Halophila,Halophila,1,2,13,26
Hydrilla,Hydrilla,1,2,8,26
Vallisneria,Maidenia,1,2,13,26
Thalassia,Thalassia,1,2,8,26
Vallisneria,Vallisneria,1,2,8,26
Hypoxis,Hypoxis,1,2,1,3
Ryticaryum,Ryticaryum,2,2,8,6
Aristea,Aristea,1,2,1,3
Crocosmia,Crocosmia,1,2,1,3
Dietes,Dietes,1,2,1,3
Diplarrena,Diplarrena,1,2,1,3
Isophysis,Isophysis,1,2,1,3
Libertia,Libertia,1,2,1,3
Orthrosanthus,Orthrosanthus,1,2,1,3
Patersonia,Patersonia,1,2,1,3
Juncus,Juncus,1,NA,NA,3
Luzula,Luzula,1,2,1,3
Maundia,Maundia,1,2,1,12
Anisomeles,Anisomeles,1,2,1,7
Platostoma,Ceratanthus,1,2,1,16
Plectranthus,Coleus,1,2,1,7
Pogostemon,Dysophylla,1,2,1,7
Prostanthera,Eichlerago,2,2,1,10
Hemiandra,Hemiandra,2,2,1,7
Hemigenia,Hemigenia,2,2,1,7
Hyptis,Hyptis,1,2,1,7
Leucas,Leucas,1,1,1,7
Lycopus,Lycopus,1,2,1,7
Mentha,Mentha,1,2,1,7
Microcorys,Microcorys,2,2,1,7
Ocimum,Ocimum,1,1,1,7
Orthosiphon,Orthosiphon,1,2,1,7
Plectranthus,Plectranthus,NA,NA,1,7
Pogostemon,Pogostemon,1,2,1,7
Prostanthera,Prostanthera,2,2,1,7
Salvia,Salvia,1,2,1,7
Scutellaria,Scutellaria,1,2,1,7
Teucrium,Teucrium,NA,2,1,7
Westringia,Westringia,2,2,1,7
Prostanthera,Wrixonia,2,2,1,7
Beilschmiedia,Beilschmiedia,3,2,1,6
Cassytha,Cassytha,5,2,1,6
Cryptocarya,Cryptocarya,NA,2,1,6
Endiandra,Endiandra,3,2,1,6
Litsea,Litsea,3,2,8,6
Neolitsea,Neolitsea,3,2,8,6
Cordyline,Cordyline,2,2,1,2
Lomandra,Lomandra,1,2,8,3
Thysanotus,Thysanotus,1,2,1,3
Utricularia,Utricularia,1,NA,1,3
Agrostocrinum,Agrostocrinum,1,2,1,3
Alania,Alania,1,2,1,3
Arnocrinum,Arnocrinum,1,2,1,3
Arthropodium,Arthropodium,1,2,1,3
Astelia,Astelia,1,2,8,2
Borya,Borya,1,2,1,3
Bulbine,Bulbine,1,NA,1,3
Caesia,Caesia,1,2,1,3
Calostemma,Calostemma,1,2,1,10
Campynema,Campynema,1,2,1,3
Chamaescilla,Chamaescilla,1,2,1,3
Chlorophytum,Chlorophytum,1,2,1,3
Corynotheca,Corynotheca,1,2,1,3
Crinum,Crinum,1,2,1,10
Curculigo,Curculigo,1,2,1,29
Dianella,Dianella,1,2,1,2
Dichopogon,Dichopogon,1,2,1,3
Hensmania,Hensmania,1,2,1,3
Herpolirion,Herpolirion,1,2,1,3
Hodgsoniola,Hodgsoniola,1,2,1,3
Iphigenia,Iphigenia,1,2,1,3
Johnsonia,Johnsonia,1,2,1,3
Laxmannia,Laxmannia,1,2,1,3
Milligania,Milligania,1,2,1,3
Molineria,Molineria,1,2,1,2
Neoastelia,Neoastelia,1,2,1,2
Proiphys,Proiphys,1,2,1,3
Asparagus,Protasparagus,2,2,1,2
Sowerbaea,Sowerbaea,1,2,1,3
Stawellia,Stawellia,1,2,1,3
Thelionema,Thelionema,1,2,1,3
Tricoryne,Tricoryne,1,2,1,7
Geniostoma,Geniostoma,3,2,1,3
Logania,Logania,2,2,1,3
Mitrasacme,Mitrasacme,1,NA,1,3
Mitreola,Mitreola,1,1,1,3
Phyllangium,Phyllangium,1,1,1,3
Schizacme,Schizacme,2,2,1,3
Amyema,Amyema,2,2,1,2
Amylotheca,Amylotheca,2,2,1,2
Atkinsonia,Atkinsonia,2,2,1,6
Benthamina,Benthamina,2,2,1,2
Cecarria,Cecarria,2,2,1,2
Dactyliophora,Dactyliophora,2,2,1,2
Decaisnina,Decaisnina,2,2,1,2
Dendrophthoe,Dendrophthoe,2,2,1,2
Diplatia,Diplatia,2,2,1,2
Lysiana,Lysiana,2,2,1,2
Muellerina,Muellerina,2,2,1,2
Nuytsia,Nuytsia,3,2,1,7
Drymophila,Drymophila,1,2,1,2
Ammannia,Ammannia,1,1,1,3
Lythrum,Lythrum,NA,NA,1,3
Ammannia,Nesaea,1,NA,1,3
Pemphis,Pemphis,3,2,1,3
Rotala,Rotala,1,1,1,3
Sonneratia,Sonneratia,3,2,1,2
Stigmaphyllon,Rhyssopteris,4,2,1,21
Tristellateia,Tristellateia,4,2,1,21
Abutilon,Abutilon,2,2,1,7
Althaea,Althaea,1,1,1,7
Alyogyne,Alyogyne,2,2,1,3
Argyrodendron,Argyrodendron,3,2,7,21
Asterotrichion,Asterotrichion,3,2,8,6
Berrya,Berrya,3,2,1,3
Brachychiton,Brachychiton,3,2,7,12
Camptostemon,Camptostemon,3,2,1,3
Commersonia,Commersonia,NA,2,1,3
Corchorus,Corchorus,NA,NA,1,3
Decaschistia,Decaschistia,2,2,1,3
Dicarpidium,Dicarpidium,2,2,NA,3
Gilesia,Gilesia,2,2,1,3
Gossypium,Gossypium,NA,2,1,3
Grewia,Grewia,NA,2,7,6
Guichenotia,Guichenotia,2,2,1,3
Gynatrix,Gynatrix,2,2,8,7
Hannafordia,Hannafordia,2,2,1,3
Helicteres,Helicteres,2,2,1,3
Herissantia,Herissantia,1,2,1,7
Hibiscus,Hibiscus,NA,NA,1,3
Howittia,Howittia,2,2,1,3
Seringia,Keraudrenia,2,2,1,3
Lagunaria,Lagunaria,3,2,1,3
Lasiopetalum,Lasiopetalum,2,2,1,3
Malva,Lavatera,1,2,1,7
Lawrencia,Lawrencia,2,2,NA,3
Lysiosepalum,Lysiosepalum,2,2,1,3
Malvastrum,Malvastrum,1,1,1,3
Radyera,Radyera,2,2,1,3
Commersonia,Rulingia,2,2,1,3
Seringia,Seringia,3,2,1,3
Maesa,Sida,2,2,1,7
Thomasia,Thomasia,2,2,1,3
Triumfetta,Triumfetta,NA,2,1,10
Urena,Urena,2,2,1,7
Waltheria,Waltheria,2,2,1,3
Medinilla,Medinilla,4,2,1,2
Osbeckia,Osbeckia,NA,2,1,3
Dysoxylum,Dysoxylum,8,2,13,3
Owenia,Owenia,3,2,8,6
Xylocarpus,Xylocarpus,3,2,7,3
Memecylon,Memecylon,3,2,1,2
Hypserpa,Hypserpa,4,2,8,6
Legnephora,Legnephora,4,2,8,6
Pachygone,Pachygone,4,2,8,6
Pleogyne,Pleogyne,4,2,8,6
Pycnarrhena,Pycnarrhena,4,2,8,6
Sarcopetalum,Sarcopetalum,4,2,8,6
Stephania,Stephania,4,2,8,6
Tiliacora,Tiliacora,4,2,8,6
Tinospora,Tinospora,4,2,8,6
Liparophyllum,Liparophyllum,1,2,1,3
Nymphoides,Nymphoides,1,NA,1,3
Villarsia,Villarsia,1,2,1,3
Glinus,Glinus,1,NA,1,3
Macarthuria,Macarthuria,2,2,1,3
Mollugo,Mollugo,1,NA,1,3
Daphnandra,Daphnandra,3,2,1,1
Doryphora,Doryphora,3,2,1,1
Steganthera,Kibara,3,2,13,6
Palmeria,Palmeria,4,2,8,6
Wilkiea,Wilkiea,3,2,8,6
Fatoua,Fatoua,1,1,7,1
Maclura,Maclura,4,2,8,1
Trophis,Malaisia,4,2,8,1
Musa,Musa,1,2,3,2
Eremophila,Eremophila,NA,2,1,9
Myoporum,Myoporum,NA,2,1,6
Myristica,Myristica,3,2,8,3
Aegiceras,Aegiceras,2,2,1,3
Ardisia,Ardisia,NA,2,1,6
Embelia,Embelia,4,2,1,6
Maesa,Maesa,NA,NA,NA,NA
Myrsine,Myrsine,2,2,13,6
Tapeinosperma,Tapeinosperma,3,2,1,6
Actinodium,Actinodium,2,2,1,16
Agonis,Agonis,NA,2,1,3
Kunzea,Angasomyrtus,2,2,1,3
Angophora,Angophora,3,2,1,3
Astartea,Astartia,2,2,1,3
Asteromyrtus,Asteromyrtus,8,2,1,2
Austromyrtus,Austromyrtus,2,2,1,2
Backhousia,Backhousia,3,2,1,21
Baeckea,Baeckea,2,2,1,3
Balaustion,Balaustion,2,2,1,10
Beaufortia,Beaufortia,2,2,2,3
Callistemon,Callistemon,NA,2,1,3
Calothamnus,Calothamnus,2,2,1,3
Calytrix,Calytrix,2,2,1,16
Chamelaucium,Chamelaucium,2,2,1,16
Backhousia,Choricarpia,3,2,1,9
Conothamnus,Conothamnus,2,2,2,3
Corymbia,Corymbia,3,2,1,3
Darwinia,Darwinia,2,2,1,9
Eremaea,Eremaea,2,2,1,3
Eucalyptus,Eucalyptus,3,2,1,3
Homalocalyx,Homalocalyx,2,2,1,10
Homalospermum,Homalospermum,3,2,1,3
Homoranthus,Homoranthus,2,2,1,9
Hypocalymma,Hypocalymma,2,2,1,3
Maesa,Kunzea,NA,2,1,3
Leptospermum,Leptospermum,NA,2,NA,3
Lysicarpus,Lysicarpus,3,2,2,3
Malleostemon,Malleostemon,2,2,1,16
Metrosideros,Metrosideros,3,2,1,3
Micromyrtus,Micromyrtus,2,2,1,16
Lithomyrtus,Myrtella,2,2,1,2
Ochrosperma,Ochrosperma,2,2,1,3
Osbornia,Osbornia,2,2,1,9
Pericalymma,Pericalymma,2,2,1,3
Phymatocarpus,Phymatocarpus,2,2,1,3
Pileanthus,Pileanthus,2,2,1,10
Pilidiostigma,Pilidiostigma,NA,2,1,2
Regelia,Regelia,2,2,2,3
Rhodamnia,Rhodamnia,3,2,1,2
Rhodomyrtus,Rhodomyrtus,3,2,1,2
Rinzia,Rinzia,2,2,1,3
Ristantia,Ristantia,3,2,2,3
Scholtzia,Scholtzia,2,2,1,3
Asteromyrtus,Sinoga,2,2,1,3
Syncarpia,Syncarpia,3,2,1,3
Syzygium,Syzygium,3,2,1,6
Thryptomene,Thryptomene,2,2,1,16
Triplarina,Triplarina,2,2,1,3
Tristania,Tristania,3,2,1,3
Tristaniopsis,Tristaniopsis,3,2,1,3
Verticordia,Verticordia,NA,2,1,16
Syzygium,Waterhousea,3,2,1,2
Xanthostemon,Xanthostemon,3,2,1,3
Nelumbo,Nelumbo,1,2,1,16
Nepenthes,Nepenthes,4,2,8,3
Nothofagus,Nothofagus,3,2,7,16
Boerhavia,Boerhavia,1,NA,1,1
Commicarpus,Commicarpus,2,2,1,1
Nymphaea,Nymphaea,1,2,1,2
Anacolosa,Anacolosa,2,2,1,6
Olax,Olax,2,2,1,6
Ximenia,Ximenia,2,2,1,6
Jasminum,Jasminum,4,2,1,2
Nestegis,Nestegis,3,2,1,6
Notelaea,Notelaea,NA,2,1,6
Epilobium,Epilobium,1,2,1,3
Ludwigia,Ludwigia,1,NA,1,3
Cansjera,Cansjera,4,2,1,6
Opilia,Opilia,4,2,1,6
Acianthus,Acianthus,1,2,1,3
Acriopsis,Acriopsis,1,2,1,3
Adenochilus,Adenochilus,1,2,1,3
Anoectochilus,Anoectochilus,1,2,1,3
Aphyllorchis,Aphyllorchis,1,2,1,3
Apostasia,Apostasia,1,2,1,3
Appendicula,Appendicula,1,2,1,3
Arthrochilus,Arthrochilus,1,2,1,3
Bromheadia,Bromheadia,1,2,1,3
Bulbophyllum,Bulbophyllum,1,2,1,3
Burnettia,Burnettia,1,2,1,3
Cadetia,Cadetia,1,2,1,3
Caladenia,Caladenia,1,2,1,3
Calanthe,Calanthe,1,2,1,3
Caleana,Caleana,1,2,1,3
Calochilus,Calochilus,1,2,1,3
Cheirostylis,Cheirostylis,1,2,1,3
Chiloglottis,Chiloglottis,1,2,1,3
Chiloschista,Chiloschista,1,2,1,3
Corybas,Corybas,1,2,1,3
Corymborkis,Corymborkis,1,2,1,3
Crepidium,Crepidium,1,2,1,3
Cryptostylis,Cryptostylis,1,2,1,3
Cyanicula,Cyanicula,1,2,1,3
Cymbidium,Cymbidium,1,2,1,3
Cyrtostylis,Cyrtostylis,1,2,1,3
Dendrobium,Dendrobium,1,2,1,3
Didymoplexis,Didymoplexis,1,2,1,3
Diplocaulobium,Diplocaulobium,1,2,1,3
Dipodium,Dipodium,1,2,1,3
Diuris,Diuris,1,2,1,3
Drakaea,Drakaea,1,2,1,3
Drymoanthus,Drymoanthus,1,2,1,3
Elythranthera,Elythranthera,1,2,1,3
Epipogium,Epipogium,1,2,1,3
Eria,Eria,1,2,1,3
Eriochilus,Eriochilus,1,2,1,3
Erythrorchis,Erythrorchis,1,2,1,3
Eulophia,Eulophia,1,2,1,3
Flickingeria,Flickingeria,1,2,1,3
Gastrodia,Gastrodia,1,2,1,3
Geodorum,Geodorum,1,2,1,3
Glossodia,Glossodia,1,2,1,3
Goodyera,Goodyera,1,2,1,3
Grastidium,Grastidium,1,2,1,3
Habenaria,Habenaria,1,2,1,3
Hetaeria,Hetaeria,1,2,1,3
Leporella,Leporella,1,2,1,3
Leptoceras,Leptoceras,1,2,1,3
Liparis,Liparis,1,2,1,3
Luisia,Luisia,1,2,1,3
Lyperanthus,Lyperanthus,1,2,1,3
Malaxis,Malaxis,1,2,1,3
Micropera,Micropera,1,2,1,3
Microtis,Microtis,1,2,1,3
Mobilabium,Mobilabium,1,2,1,3
Nervilia,Nervilia,1,2,1,3
Oberonia,Oberonia,1,2,1,3
Eulophia,Oeceoclades,1,2,1,3
Orthoceras,Orthoceras,1,2,1,3
Pachystoma,Pachystoma,1,2,1,3
Papillilabium,Papillilabium,1,2,1,3
Paracaleana,Paracaleana,1,2,1,3
Peristeranthus,Peristeranthus,1,2,1,3
Peristylus,Peristylus,1,2,1,3
Phaius,Phaius,1,2,1,3
Pholidota,Pholidota,1,2,1,3
Plexaure,Phreatia,1,2,1,3
Plectorrhiza,Plectorrhiza,1,2,1,3
Appendicula,Podochilus,1,2,1,3
Pomatocalpa,Pomatocalpa,1,2,1,3
Prasophyllum,Prasophyllum,1,2,1,3
Pseudovanilla,Pseudovanilla,1,2,1,3
Pterostylis,Pterostylis,1,2,1,3
Rhinerrhiza,Rhinerrhiza,1,2,1,3
Rhizanthella,Rhizanthella,1,2,1,3
Plexaure,Rhynchophreatia,1,2,1,3
Rimacola,Rimacola,1,2,1,3
Robiquetia,Robiquetia,1,2,1,3
Saccolabiopsis,Saccolabiopsis,1,2,1,3
Sarcochilus,Sarcochilus,1,2,1,3
Schistotylus,Schistotylus,1,2,1,3
Schoenorchis,Schoenorchis,1,2,1,3
Spathoglottis,Spathoglottis,1,2,1,3
Spiculaea,Spiculaea,1,2,1,3
Spiranthes,Spiranthes,1,2,1,3
Taeniophyllum,Taeniophyllum,1,2,1,3
Tainia,Tainia,1,2,1,3
Thelasis,Thelasis,1,2,1,3
Thelymitra,Thelymitra,1,2,1,3
Thrixspermum,Thrixspermum,1,2,1,3
Townsonia,Townsonia,1,2,1,3
Trachoma,Trachoma,1,2,1,3
Trichoglottis,Trichoglottis,1,2,1,3
Tropidia,Tropidia,1,2,1,3
Vanda,Vanda,1,2,1,3
Vrydagzynea,Vrydagzynea,1,2,1,3
Zeuxine,Zeuxine,1,2,1,3
Orobanche,Orobanche,1,2,1,3
Oxalis,Oxalis,1,2,1,3
Freycinetia,Freycinetia,4,2,8,2
Pandanus,Pandanus,3,2,8,6
Adenia,Adenia,4,2,1,2
Passiflora,Passiflora,4,2,1,2
Josephinia,Josephinia,1,1,1,16
Martynia,Martynia,1,1,1,3
Proboscidea,Proboscidea,1,1,1,3
Helmholtzia,Helmholtzia,1,2,1,NA
Philydrella,Philydrella,1,2,1,3
Philydrum,Philydrum,1,2,1,3
Actephila,Actephila,NA,2,7,3
Breynia,Breynia,2,2,7,2
Bridelia,Bridelia,2,2,7,6
Cleistanthus,Cleistanthus,NA,2,7,3
Glochidion,Glochidion,2,2,7,3
Notoleptopus,Leptopus,1,2,7,7
Poranthera,Poranthera,NA,NA,7,3
Monococcus,Monococcus,2,2,13,1
Peperomia,Peperomia,1,2,1,6
Piper,Piper,4,2,8,2
Auranticarpa,Auranticarpa,3,2,7,3
Bursaria,Bursaria,NA,2,NA,3
Cheiranthera,Cheiranthera,NA,2,1,3
Rhytidosporum,Rhytidosporum,2,2,1,NA
Callitriche,Callitriche,1,2,7,17
Plantago,Plantago,1,NA,1,3
Aegialitis,Aegialitis,2,2,1,3
Limonium,Limonium,1,2,1,3
Muellerolimon,Muellerolimon,1,2,1,1
Plumbago,Plumbago,2,2,1,3
Agrostis,Agrostis,1,NA,1,4
Alexfloydia,Alexfloydia,1,2,2,4
Alloteropsis,Alloteropsis,1,NA,2,4
Amphibromus,Amphibromus,1,2,2,4
Amphipogon,Amphipogon,1,2,1,4
Ancistrachne,Ancistrachne,1,2,1,4
Anisopogon,Anisopogon,1,2,1,4
Aristida,Aristida,1,NA,1,4
Arthragrostis,Arthragrostis,1,1,1,4
Arthraxon,Arthraxon,1,2,1,4
Arundinella,Arundinella,1,2,1,4
Astrebla,Astrebla,1,2,1,4
Austrochloris,Austrochloris,1,2,1,4
Poa,Austrofestuca,1,2,1,4
Bambusa,Bambusa,2,2,1,4
Bothriochloa,Bothriochloa,1,2,1,4
Urochloa,Brachiaria,1,NA,2,4
Brachyachne,Brachyachne,1,1,1,4
Bromus,Bromus,1,1,1,4
Calyptochloa,Calyptochloa,1,2,1,4
Capillipedium,Capillipedium,1,2,1,4
Cenchrus,Cenchrus,1,2,2,4
Centotheca,Centotheca,1,1,1,4
Chamaeraphis,Chamaeraphis,1,2,1,4
Chionachne,Chionachne,1,NA,1,4
Chionochloa,Chionochloa,1,2,1,4
Chloris,Chloris,1,NA,2,4
Chrysopogon,Chrysopogon,1,2,7,4
Cleistochloa,Cleistochloa,1,2,1,4
Coelachne,Coelachne,1,1,1,4
Coix,Coix,1,2,7,4
Sporobolus,Crypsis,1,1,1,4
Cymbopogon,Cymbopogon,1,2,1,4
x Cynochloris,Cynochloris,1,2,1,4
Cynodon,Cynodon,1,2,1,4
Cyperochloa,Cyperochloa,1,2,1,4
Cyrtococcum,Cyrtococcum,1,NA,1,4
Dactyloctenium,Dactyloctenium,1,1,1,4
Danthonia,Danthonia,1,2,1,4
Deschampsia,Deschampsia,1,2,1,4
Deyeuxia,Deyeuxia,1,2,1,4
Dichanthium,Dichanthium,1,2,2,4
Dichelachne,Dichelachne,1,NA,1,4
Digitaria,Digitaria,1,NA,1,4
Dimeria,Dimeria,1,1,1,4
Diplachne,Diplachne,1,NA,1,4
Distichlis,Distichlis,1,2,8,4
Dryopoa,Dryopoa,1,2,1,4
Echinochloa,Echinochloa,1,1,2,4
Echinopogon,Echinopogon,1,2,1,4
Ectrosia,Ectrosia,1,NA,NA,4
Elionurus,Elyonurus,1,2,1,4
Elytrophorus,Elytrophorus,1,1,1,4
Enteropogon,Enteropogon,1,2,1,4
Entolasia,Entolasia,1,2,1,4
Eragrostiella,Eragrostiella,1,2,1,4
Eragrostis,Eragrostis,1,NA,1,4
Eremochloa,Eremochloa,1,2,2,4
Eriachne,Eriachne,1,NA,1,4
Eriochloa,Eriochloa,1,2,2,4
Eulalia,Eulalia,1,2,1,4
Festuca,Festuca,1,2,1,4
Garnotia,Garnotia,1,2,1,4
Germainia,Germainia,1,2,2,4
Glyceria,Glyceria,1,2,1,4
Hemarthria,Hemarthria,1,2,1,4
Heterachne,Heterachne,1,1,1,4
Heteropogon,Heteropogon,1,2,3,4
Hierochloe,Hierochloe,1,2,1,4
Hygrochloa,Hygrochloa,1,NA,7,4
Hymenachne,Hymenachne,1,2,1,4
Hyparrhenia,Hyparrhenia,1,2,2,4
Ichnanthus,Ichnanthus,1,1,1,4
Imperata,Imperata,1,2,1,4
Isachne,Isachne,1,NA,4,4
Ischaemum,Ischaemum,1,2,7,4
Iseilema,Iseilema,1,1,7,4
Leersia,Leersia,1,2,1,4
Leptaspis,Leptaspis,1,2,7,4
Leptochloa,Leptochloa,1,2,1,4
Lepturus,Lepturus,1,2,1,4
Lophatherum,Lophatherum,1,2,1,4
Micraira,Micraira,1,2,1,4
Microchloa,Microchloa,1,1,1,4
Microlaena,Microlaena,1,2,1,4
Mnesithea,Mnesithea,1,2,1,4
Monachather,Monachather,1,2,1,4
Triodia,Monodia,1,2,1,4
Neurachne,Neurachne,1,2,2,4
Notochloe,Notochloe,1,2,1,4
Ophiuros,Ophiuros,1,2,2,4
Oplismenus,Oplismenus,1,2,NA,4
Oryza,Oryza,1,1,3,4
Ottochloa,Ottochloa,1,2,1,4
Oxychloris,Oxychloris,1,1,1,4
Panicum,Panicum,1,NA,2,4
Paractaenum,Paractaenum,1,1,1,4
Paraneurachne,Paraneurachne,1,2,2,4
Paspalidium,Paspalidium,1,2,2,4
Paspalum,Paspalum,1,2,1,4
Cenchrus,Pennisetum,1,2,2,4
Pentapogon,Pentapogon,1,1,1,4
Perotis,Perotis,1,1,1,4
Pheidochloa,Pheidochloa,1,1,2,4
Phragmites,Phragmites,1,2,1,4
Plinthanthesis,Plinthanthesis,1,2,1,4
Poa,Poa,1,NA,1,4
Pogonatherum,Pogonatherum,1,2,1,4
Potamophila,Potamophila,1,2,4,4
Psammagrostis,Psammagrostis,1,2,1,4
Pseudochaetochloa,Pseudochaetochloa,1,2,8,4
Pseudopogonatherum,Pseudopogonatherum,1,2,8,4
Pseudoraphis,Pseudoraphis,1,2,4,4
Puccinellia,Puccinellia,1,2,1,4
Rottboellia,Rottboellia,1,1,2,4
Sacciolepis,Sacciolepis,1,NA,2,4
Schizachyrium,Schizachyrium,1,1,1,4
Sehima,Sehima,1,2,7,4
Setaria,Setaria,1,NA,2,4
Spartochloa,Spartochloa,1,2,1,4
Spathia,Spathia,1,1,1,4
Spinifex,Spinifex,1,2,8,4
Sporobolus,Sporobolus,1,NA,3,4
Stenotaphrum,Stenotaphrum,1,2,1,4
Triodia,Symplectrodia,1,2,1,4
Tetrarrhena,Tetrarrhena,1,2,1,4
Thaumastochloa,Thaumastochloa,1,1,1,4
Sporobolus,Thellungia,1,2,1,4
Themeda,Themeda,1,2,2,4
Rytidosperma,Thonandia,1,2,1,4
Thuarea,Thuarea,1,2,7,4
Thyridolepis,Thyridolepis,1,2,2,4
Tragus,Tragus,1,1,1,4
Triodia,Triodia,1,2,1,4
Tripogonella,Tripogon,1,1,1,4
Triraphis,Triraphis,1,1,1,4
Trisetum,Trisetum,1,2,1,4
Uranthoecium,Uranthoecium,1,1,1,4
Urochloa,Urochloa,1,1,2,4
Whiteochloa,Whiteochloa,1,NA,2,4
Xerochloa,Xerochloa,1,2,1,4
Yakirra,Yakirra,1,1,1,4
Zoysia,Zoysia,1,2,1,4
Zygochloa,Zygochloa,1,2,8,4
Cladopus,Torrenticola,1,2,1,3
Malaccotristicha,Tristicha,1,2,1,3
Collomia,Collomia,1,2,1,3
Comesperma,Comesperma,NA,2,1,3
Emblingia,Emblingia,2,2,1,3
Polygala,Polygala,NA,NA,1,3
Salomonia,Salomonia,1,1,1,3
Muehlenbeckia,Muehlenbeckia,NA,2,8,16
Persicaria,Persicaria,1,NA,1,16
Polygonum,Polygonum,1,NA,1,16
Rumex,Rumex,1,NA,1,16
Monochoria,Monochoria,1,2,1,3
Anacampseros,Anacampseros,1,2,1,3
Calandrinia,Calandrinia,1,NA,1,3
Montia,Montia,1,1,1,3
Portulaca,Portulaca,1,NA,1,3
Rumicastrum,Rumicastrum,1,1,1,3
Sedopsis,Sedopsis,1,2,1,3
Posidonia,Posidonia,1,2,1,9
Althenia,Lepilaena,1,NA,NA,17
Zannichellia,Zannichellia,1,2,7,17
Lysimachia,Lysimachia,1,2,1,3
Samolus,Samolus,1,2,1,3
Acidonia,Acidonia,2,2,1,6
Adenanthos,Adenanthos,NA,2,1,16
Agastachys,Agastachys,3,2,1,16
Alloxylon,Alloxylon,3,2,1,3
Banksia,Banksia,NA,2,1,12
Bellendena,Bellendena,2,2,1,6
Cenarrhenes,Cenarrhenes,3,2,1,6
Conospermum,Conospermum,NA,2,1,16
Banksia,Dryandra,NA,2,1,12
Floydia,Floydia,3,2,1,6
Franklandia,Franklandia,2,2,1,16
Grevillea,Grevillea,NA,2,1,12
Hakea,Hakea,NA,2,1,12
Helicia,Helicia,3,2,1,6
Hicksbeachia,Hicksbeachia,3,2,1,12
Isopogon,Isopogon,NA,2,1,16
Lambertia,Lambertia,3,2,1,12
Lomatia,Lomatia,NA,2,1,12
Macadamia,Macadamia,3,2,1,12
Orites,Orites,2,2,1,12
Persoonia,Persoonia,NA,2,1,6
Petrophile,Petrophile,2,2,1,16
Stenocarpus,Stenocarpus,3,2,1,12
Stirlingia,Stirlingia,NA,2,1,16
Strangea,Strangea,2,2,1,12
Symphionema,Symphionema,2,2,1,16
Synaphea,Synaphea,2,2,1,16
Telopea,Telopea,NA,2,1,12
Triunia,Triunia,3,2,1,6
Xylomelum,Xylomelum,3,2,1,12
Pilostyles,Pilostyles,1,2,7,2
