speciesName,genus,speciesEpithet,family,speciesNameComments,photosyntheticPathway_confirmed,photosyntheticPathway_inferred,photosyntheticPathway_combined,source,justification,notes,d13C_perMil,d13CReplicate_perMil,ternVegetationBarcode,ternPrimaryGeneticBarcode,plantMaterialType ,ternPlot,latitude,longitude,dateSurveyed,d13CAdditionalSample_perMil,ternPlotAdditionalSample  ,ternPrimaryGeneticBarcodeAdditionalSample  ,plantMaterialTypeAdditionalSample  ,latitudeAdditionalSample  ,longitudeOfAdditionalSample  ,dateSurveyedAdditionalSample  ,facilityYear
Dittrichia_graveolens,Dittrichia,graveolens,Asteraceae,,C3,,C3,TERN SIA,,,-27.15,,,NSA00516,"flower parts, leaves, stem",NSABHC0004,-31.84728,141.9481,6/6/2012,,,,,,,,University of Adelaide-2023
Diuris_monticola,Diuris,monticola,Orchidaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Diuris_orientis,Diuris,orientis,Orchidaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Diuris_pardina,Diuris,pardina,Orchidaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Diuris_sulphurea,Diuris,sulphurea,Orchidaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Dodonaea_adenophora,Dodonaea,adenophora,Sapindaceae,,C3,,C3,TERN SIA,,,-26.17,,,WAA013310,leaves flowers stem,WAAMUR0002,-28.14313,120.9661,1/10/2016,,,,,,,,University of Adelaide-2023
Dodonaea_amblyophylla,Dodonaea,amblyophylla,Sapindaceae,,C3,,C3,TERN SIA,,,-26.1,,,WAA  002279,leaves,WAACOO0027,-30.50149,120.66,21/01/2014,,,,,,,,University of Adelaide-2023
Dodonaea_barklyana,Dodonaea,barklyana,Sapindaceae,,C3,,C3,TERN SIA,,,-30.4,,,NTA 009439,leaves,NTAGFU0004,-18.62405556,137.12345,15/04/2012,,,,,,,,University of Adelaide-2023
Dodonaea_baueri,Dodonaea,baueri,Sapindaceae,,C3,,C3,TERN SIA,,,-25.57,,,SAA007384,leaves,SAAFLB0005,-33.02677,138.1033,12/9/2018,,,,,,,,University of Adelaide-2023
Dodonaea_boroniifolia,Dodonaea,boroniifolia,Sapindaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Dodonaea_bursariifolia,Dodonaea,bursariifolia,Sapindaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Dodonaea_coriacea,Dodonaea,coriacea,Sapindaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Dodonaea_dodecandra,Dodonaea,dodecandra,Sapindaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Dodonaea_humilis,Dodonaea,humilis,Sapindaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Dodonaea_lanceolata,Dodonaea,lanceolata,Sapindaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Dodonaea_lobulata,Dodonaea,lobulata,Sapindaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Dodonaea_malvacea,Dodonaea,malvacea,Sapindaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Dodonaea_microzyga,Dodonaea,microzyga,Sapindaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Dodonaea_oxyptera,Dodonaea,oxyptera,Sapindaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Dodonaea_pachyneura,Dodonaea,pachyneura,Sapindaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Dodonaea_peduncularis,Dodonaea,peduncularis,Sapindaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Dodonaea_petiolaris,Dodonaea,petiolaris,Sapindaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Dodonaea_physocarpa,Dodonaea,physocarpa,Sapindaceae,,C3,,C3,TERN SIA,,"CAM has been identified in other members of this genus, results warrant further investigation ",-30.78,-30.65,,NTA011185,leaves,NTAGFU0013-53660,-17.89590833,137.011625,12/5/2012,,,,,,,,CSIRO-2019
Dodonaea_pinifolia,Dodonaea,pinifolia,Sapindaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Dodonaea_platyptera,Dodonaea,platyptera,Sapindaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Dodonaea_polyandra,Dodonaea,polyandra,Sapindaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Dodonaea_stenozyga,Dodonaea,stenozyga,Sapindaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Dodonaea_triquetra,Dodonaea,triquetra,Sapindaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Dodonaea_viscosa,Dodonaea,viscosa,Sapindaceae,,C3-CAM,,C3-CAM,Roa et al. 1979,,,,,,,,,,,,,,,,,,,
Dolichandrone_alternifolia,Dolichandrone,alternifolia,Bignoniaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Dolichandrone_filiformis,Dolichandrone,filiformis,Bignoniaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Dolichandrone_heterophylla,Dolichandrone,heterophylla,Bignoniaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Draba_corrugata,Draba,corrugata,Brassicaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Drakaea_glyptodon,Drakaea,glyptodon,Orchidaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Drosera_andersoniana,Drosera,andersoniana,Droseraceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards", No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Drosera_androsacea,Drosera,androsacea,Droseraceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards", No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Drosera_arcturi,Drosera,arcturi,Droseraceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards", No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Drosera_auriculata,Drosera,auriculata,Droseraceae,,C3,,C3,"Caddy-Retalic, 2017",,,,,,,,,,,,,,,,,,,
Drosera_barbigera,Drosera,barbigera,Droseraceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards", No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Drosera_bulbosa,Drosera,bulbosa,Droseraceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Drosera_burmanni,Drosera,burmanni,Droseraceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards", No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Drosera_derbyensis,Drosera,derbyensis,Droseraceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards", No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Drosera_erythrorhiza,Drosera,erythrorhiza,Droseraceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Drosera_glanduligera,Drosera,glanduligera,Droseraceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Drosera_hirsuta,Drosera,hirsuta,Droseraceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards", No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Drosera_huegelii,Drosera,huegelii,Droseraceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards", No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Drosera_humilis,Drosera,humilis,Droseraceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards", No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Drosera_indica,Drosera,indica,Droseraceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Drosera_lanata,Drosera,lanata,Droseraceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards", No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Drosera_macrantha,Drosera,macrantha,Droseraceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards", No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Drosera_menziesii,Drosera,menziesii,Droseraceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards", No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Drosera_modesta,Drosera,modesta,Droseraceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards", No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Drosera_moorei,Drosera,moorei,Droseraceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards", No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Drosera_paleacea,Drosera,paleacea,Droseraceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards", No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Drosera_pallida,Drosera,pallida,Droseraceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards", No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Drosera_parvula,Drosera,parvula,Droseraceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards", No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Drosera_peltata,Drosera,peltata,Droseraceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Drosera_petiolaris,Drosera,petiolaris,Droseraceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Drosera_prostrata,Drosera,prostrata,Droseraceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards", No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Drosera_pygmaea,Drosera,pygmaea,Droseraceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards", No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Drosera_stolonifera,Drosera,stolonifera,Droseraceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards", No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Drosera_subhirtella,Drosera,subhirtella,Droseraceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards", No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Drosera_whittakeri,Drosera,whittakeri,Droseraceae,,C3,,C3,"Caddy-Retalic, 2017",,,,,,,,,,,,,,,,,,,
Drosera_zonaria,Drosera,zonaria,Droseraceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards", No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,,,,,,,,,,,,,,,,,,
Drummondita_hassellii,Drummondita,hassellii,Rutaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,,,,,,,,,,,,,,,,,,
Dryandra_arctotidis,Dryandra,arctotidis,Proteaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Dryandra_erythrocephala,Dryandra,erythrocephala,Proteaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Dryandra_fraseri,Dryandra,fraseri,Proteaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Dryandra_lindleyana,Dryandra,lindleyana,Proteaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Dryandra_nervosa,Dryandra,nervosa,Proteaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Dryandra_nivea,Dryandra,nivea,Proteaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Dryandra_nobilis,Dryandra,nobilis,Proteaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Dryandra_squarrosa,Dryandra,squarrosa,Proteaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Dryandra_xylothemelia,Dryandra,xylothemelia,Proteaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Duboisia_hopwoodii,Duboisia,hopwoodii,Solanaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Duma_coccoloboides,Duma,coccoloboides,Polygonaceae,,C3,,C3,TERN SIA,,,-22.7,,,SAT  002449,stem,SATSTP0006-53514,-29.5305,138.8167,17/08/2013,,,,,,,,CSIRO-2019
Duma_florentula,Duma,florentula,Polygonaceae,,C3,,C3,TERN SIA,,,-26.25,-26.46,,SAS000698,stem,SASMDD0012-56974,-34.05913889,140.7543472,19/11/2013,,,,,,,,CSIRO-2019
Duma_florulenta,Duma,florulenta,Polygonaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Duperreya_commixta,Duperreya,commixta,Convolvulaceae,,C3,,C3,TERN SIA,,,-28.28,,,WAA011535,mixed,WAAPIL0031-58415,-23.14604722,119.2653417,6/8/2016,,,,,,,,University of Adelaide-2020
Duperreya_sericea,Duperreya,sericea,Convolvulaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Dysphania_cristata,Dysphania,cristata,Amaranthaceae,,C3,,C3,TERN SIA,,,-26.1,,,SAS002295,leaves,SASMDD0003-57009,-33.99453056,140.5856361,1/5/2015,,,,,,,,CSIRO-2019
Dysphania_glomulifera,Dysphania,glomulifera,Amaranthaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Dysphania_kalpari,Dysphania,kalpari,Amaranthaceae,,C3,,C3,"Pate et al., 1998",,,,,,,,,,,,,,,,,,,
Dysphania_melanocarpa,Dysphania,melanocarpa,Amaranthaceae,,C3,,C3,TERN SIA,,,-25.05,,,WAA011793,leaves,WAAPIL0033-58417,-23.21400833,119.2023583,7/8/2016,,,,,,,,CSIRO-2019
Dysphania_plantaginella,Dysphania,plantaginella,Amaranthaceae,,C3,,C3,TERN SIA,,,-24.84,,,WAA019073,leaves & flowers ,WAADAL0002,-17.89306,122.65,,,,,,,,,University of Adeliade-2023
Dysphania_pumilio,Dysphania,pumilio,Amaranthaceae,,C3,,C3,TERN SIA,,,-27.46,,,NSA 011715,"flower parts, leaves, stem",NSAMDD0016,-33.28228889,141.0898083,5/6/2014,,,,,,,,University of Adeliade-2023
Dysphania_rhadinostachya,Dysphania,rhadinostachya,Amaranthaceae,,C3,,C3,TERN SIA,,,-25.83,-25.53,,WAA008394,leaves,WAAPIL0007-57602,-21.67714167,116.9739917,1/9/2015,,,,,,,,CSIRO-2019
Dysphania_truncata,Dysphania,truncata,Amaranthaceae,,C3,,C3,TERN SIA,,,-27.27,,,NTA016402,stems & flower parts ,NTAFIN0008-58014,-23.930625,133.4154944,3/3/2016,,,,,,,,University of Adelaide-2019
Ecdeiocolea_monostachya,Ecdeiocolea,monostachya,Ecdeiocoleaceae,,U,C3,C3,"Sage, 2016 (and references therein); Watson & Dallwitz, 1992 onwards",Photosynthetic Pathway of other species in this lineage ,,,,,,,,,,,,,,,,,,
Echinochloa_colona,Echinochloa,colona,Poaceae,,C4,,C4,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Echinopogon_caespitosus,Echinopogon,caespitosus,Poaceae,,U,C3,C3,"Osborne et al., 2014",Photosynthetic Pathway of other species in genus ,,,,,,,,,,,,,,,,,,
Echinopogon_ovatus,Echinopogon,ovatus,Poaceae,,C3,,C3,"Osborne et al., 2014",,,,,,,,,,,,,,,,,,,
Echium_plantagineum,Echium,plantagineum,Boraginaceae,,C3,,C3,"Caddy-Retalic, 2017",,,,,,,,,,,,,,,,,,,
Eclipta_platyglossa,Eclipta,platyglossa,Asteraceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Ectrosia_agrostoides,Ectrosia,agrostoides,Poaceae,,C4,,C4,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Ectrosia_danesii,Ectrosia,danesii,Poaceae,,C4,,C4,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Ectrosia_gulliveri,Ectrosia,gulliveri,Poaceae,,C4,,C4,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Ectrosia_leporina,Ectrosia,leporina,Poaceae,,C4,,C4,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Ectrosia_ovata,Ectrosia,ovata,Poaceae,,U,C4,C4,"Osborne et al., 2014",Photosynthetic Pathway of other species in genus ,,,,,,,,,,,,,,,,,,
Ectrosia_scabrida,Ectrosia,scabrida,Poaceae,,C4,,C4,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Ectrosia_schultzii,Ectrosia,schultzii,Poaceae,,C4,,C4,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Ehretia_saligna,Ehretia,saligna,Boraginaceae,,C3,,C3,TERN SIA,,,-27.79,,,NTA018642,leaves,NTAARP0002-58423,-13.54561111,132.2943639,2/6/2016,,,,,,,,CSIRO-2019
Ehrharta_calycina,Ehrharta,calycina,Poaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Ehrharta_juncea,Ehrharta,juncea,Poaceae,,U,C3,C3,"Osborne et al., 2014",Photosynthetic Pathway of other species in genus ,,,,,,,,,,,,,,,,,,
Ehrharta_longiflora,Ehrharta,longiflora,Poaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Ehrharta_stipoides,Ehrharta,stipoides,Poaceae,,U,C3,C3,"Osborne et al., 2014",Photosynthetic Pathway of other species in genus ,,,,,,,,,,,,,,,,,,
Einadia_hastata,Einadia,hastata,Amaranthaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Einadia_nutans,Einadia,nutans,Amaranthaceae,,C3,,C3,"Caddy-Retalic, 2017",,,,,,,,,,,,,,,,,,,
Einadia_polygonoides,Einadia,polygonoides,Amaranthaceae,,C3,,C3,TERN SIA,,,-29.79,,,QDA024056,leaves,QDABBS0001,-24.80013,147.7694,4/4/2019,,,,,,,,University of Adeliade-2023
Einadia_trigonos,Einadia,trigonos,Amaranthaceae,,C3,,C3,TERN SIA,,,-31.4,,,QDA025514,leaves & stem,QDASEQ0002,-26.90262,151.6327,11/4/2019,,,,,,,,University of Adeliade-2023
Elaeocarpus_arnhemicus,Elaeocarpus,arnhemicus,Elaeocarpaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Elaeocarpus_reticulatus,Elaeocarpus,reticulatus,Elaeocarpaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Elaeodendron_australe,Elaeodendron,australe,Celastraceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Eleocharis_acuta,Eleocharis,acuta,Cyperaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Eleocharis_caespitosissima,Eleocharis,caespitosissima,Cyperaceae,,C4,,C4,"Bruhl & Wilson, 2007",,,,,,,,,,,,,,,,,,,
Eleocharis_dulcis,Eleocharis,dulcis,Cyperaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Eleocharis_pallens,Eleocharis,pallens,Cyperaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Elionurus_citreus,Elionurus,citreus,Poaceae,,C4,,C4,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Elymus_scabrus,Elymus,scabrus,Poaceae,,C3,,C3,"Osborne et al., 2014",,,,,,,,,,,,,,,,,,,
Elythranthera_brunonis,Elythranthera,brunonis,Orchidaceae,,U,U,U,,,,,,,,,,,,,,,,,,,,
Elytrophorus_spicatus,Elytrophorus,spicatus,Poaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Emilia_sonchifolia,Emilia,sonchifolia,Asteraceae,,C3,,C3,TERN SIA,,,-33.28,,,QDA  002118,leaves,QDAEIU0002-53523,-19.5525,144.22415,12/6/2013,,,,,,,,CSIRO-2019
Empodisma_minus,Empodisma,minus,Restionaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Enchylaena_lanata,Enchylaena,lanata,Amaranthaceae,,C3,,C3,TERN SIA,,,-28.16,-28.1,,WAA  001610 ,mixed,WAACOO0010-53441,-31.23180833,120.3298333,15/10/2013,,,,,,,,University of Adelaide-2020
Enchylaena_tomentosa,Enchylaena,tomentosa,Amaranthaceae,,C3,,C3,"Caddy-Retalic, 2017",,,,,,,,,,,,,,,,,,,
Endiandra_glauca,Endiandra,glauca,Lauraceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,,,,,,,,,,,,,,,,,,
Enekbatus_cristatus,Enekbatus,cristatus,Myrtaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,,,,,,,,,,,,,,,,,,
Enekbatus_cryptandroides,Enekbatus,cryptandroides,Myrtaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,,,,,,,,,,,,,,,,,,
Enekbatus_eremaeus,Enekbatus,eremaeus,Myrtaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,,,,,,,,,,,,,,,,,,
Enekbatus_stowardii,Enekbatus,stowardii,Myrtaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Enneapogon_avenaceus,Enneapogon,avenaceus,Poaceae,,C4,,C4,"Caddy-Retalic, 2017",,,,,,,,,,,,,,,,,,,
Enneapogon_caerulescens,Enneapogon,caerulescens,Poaceae,,C4,,C4,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Enneapogon_clelandii,Enneapogon,clelandii,Poaceae,,C4,,C4,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Enneapogon_cylindricus,Enneapogon,cylindricus,Poaceae,,C4,,C4,"Caddy-Retalic, 2017",,,,,,,,,,,,,,,,,,,
Enneapogon_gracilis,Enneapogon,gracilis,Poaceae,,C4,,C4,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Enneapogon_intermedius,Enneapogon,intermedius,Poaceae,,C4,,C4,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Enneapogon_lindleyanus,Enneapogon,lindleyanus,Poaceae,,C4,,C4,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Enneapogon_nigricans,Enneapogon,nigricans,Poaceae,,C4,,C4,"Caddy-Retalic, 2017",,,,,,,,,,,,,,,,,,,
Enneapogon_pallidus,Enneapogon,pallidus,Poaceae,,C4,,C4,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Enneapogon_polyphyllus,Enneapogon,polyphyllus,Poaceae,,C4,,C4,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Enneapogon_purpurascens,Enneapogon,purpurascens,Poaceae,,C4,,C4,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Enneapogon_robustissimus,Enneapogon,robustissimus,Poaceae,,C4,,C4,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Enteropogon_acicularis,Enteropogon,acicularis,Poaceae,,C4,,C4,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Enteropogon_minutus,Enteropogon,minutus,Poaceae,,C4,,C4,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Enteropogon_ramosus,Enteropogon,ramosus,Poaceae,,C4,,C4,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Enteropogon_unispiceus,Enteropogon,unispiceus,Poaceae,,C4,,C4,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Entolasia_stricta,Entolasia,stricta,Poaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Epacris_browniae,Epacris,browniae,Ericaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Epacris_celata,Epacris,celata,Ericaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Epacris_crassifolia,Epacris,crassifolia,Ericaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Epacris_glacialis,Epacris,glacialis,Ericaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Epacris_gunnii,Epacris,gunnii,Ericaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Epacris_impressa,Epacris,impressa,Ericaceae,,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,,,,,,,,,,,,,,,,,,
Epacris_microphylla,Epacris,microphylla,Ericaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Epacris_paludosa,Epacris,paludosa,Ericaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
Epacris_pulchella,Epacris,pulchella,Ericaceae,,C3,,C3,"Kattge et al., 2020",,,,,,,,,,,,,,,,,,,
