bag.id,sample.id,dune,plot.id,subplot,date,type,totalN_perc,totalP_mgkg,NP,pHwater,pHcacl2,pHbacl2,exchAl_mgkg,exchCa_mgkg,exchFe_mgkg,exchK_mgkg,exchMg_mgkg,exchMn_mgkg,exchNa_mgkg,exchAl_cmolkg,exchCa_cmolkg,exchFe_cmolkg,exchK_cmolkg,exchMg_cmolkg,exchMn_cmolkg,exchNa_cmolkg,TEB_cmolkg,ECEC_cmolkg
253,Q.O.24.1,Quindalup - old,Q.O.24,1,12/6/12,subplot,0.0712,220.6448,3.2276,8.59,7.68,8.47,0,1886.533,0,28.2216,63.6605,0,7.4288,0,9.4138,0,0.0722,0.5237,0,0.0323,10.0421,10.0421
254,Q.O.24.2,Quindalup - old,Q.O.24,2,12/6/12,subplot,0.0726,225.0427,3.2262,8.48,7.7,8.49,0,1972.9083,0,11.7471,46.3574,0,7.5572,0,9.8449,0,0.03,0.3814,0,0.0329,10.2892,10.2892
255,Q.O.24.3,Quindalup - old,Q.O.24,3,12/6/12,subplot,0.0682,205.3741,3.3192,8.52,7.62,8.4,0,1965.9005,0,0,60.611,0,13.6573,0,9.8099,0,0,0.4987,0,0.0594,10.3679,10.3679
256,Q.O.24.4,Quindalup - old,Q.O.24,4,12/6/12,subplot,0.0612,217.4541,2.8162,8.56,7.77,8.8,6.1081,3442.6883,0,0,97.0364,0,12.5802,0.0679,17.1791,0,0,0.7983,0,0.0547,18.0321,18.1
257,Q.O.24.5,Quindalup - old,Q.O.24,5,12/6/12,subplot,0.0793,221.1603,3.5837,8.51,7.74,8.43,0,2002.2979,0,0,43.1284,0,0,0,9.9915,0,0,0.3548,0,0,10.3463,10.3463
258,Q.O.24.6,Quindalup - old,Q.O.24,6,12/6/12,subplot,0.0821,201.6066,4.0699,8.52,7.78,8.27,0,2118.748,0,0,98.3058,0,24.7545,0,10.5726,0,0,0.8088,0,0.1077,11.489,11.489
259,Q.O.24.7,Quindalup - old,Q.O.24,7,12/6/12,subplot,0.089,210.4298,4.2276,8.45,7.74,8.39,0,2198.9432,0,0,90.7084,0,16.5088,0,10.9728,0,0,0.7463,0,0.0718,11.7908,11.7908
260,Q.O.3.1,Quindalup - old,Q.O.3,1,16/6/12,subplot,0.2317,498.1273,4.6512,8.3,7.67,8.06,0,5137.1666,0,24.1563,179.2723,0,14.4068,0,25.6346,0,0.0618,1.4749,0,0.0627,27.2339,27.2339
261,Q.O.3.2,Quindalup - old,Q.O.3,2,16/6/12,subplot,0.2171,439.8704,4.9346,8.28,7.77,7.4,0,4065.2767,0,29.0185,284.8139,0,205.7015,0,20.2858,0,0.0742,2.3432,0,0.8947,23.598,23.598
262,Q.O.3.3,Quindalup - old,Q.O.3,3,16/6/12,subplot,0.275,482.6333,5.6988,8.33,7.73,8.17,0,5331.4579,0,36.0002,229.1743,0,48.4738,0,26.6041,0,0.0921,1.8854,0,0.2108,28.7924,28.7924
