dicot,family,genus,species,species_name,endemic to Tasmania,native to New Zealand,native to South America,"habit (s=woody, p=perennial herb, a=annual herb)",dioecious (d=dioecious; h=hermaphrodite or monoecious),"habitat (d=dry forests  woodlands and heaths; c=coastal, sm=saltmarsh; e=estuarine; wf=wet forest; b= waterlogged peats; rf=temperate rainforest; a = aquatic)",alpine (0=absent from alpine; 1= both alpine and lowland; 2= predominantly alpine),fleshy fruit (1=present),seed length (cm),seed width (cm),propagule traits
d,Asteraceae,Senecio,primulifolius,Senecio primulifolius,1,0,0,p,h,b,2,0,0.3,0.1,pappus
d,Asteraceae,Senecio,quadridentatus,Senecio quadridentatus,0,1,0,p,h,b,0,0,0.25,0.15,pappus
d,Asteraceae,Senecio,spathulatus,Senecio spathulatus,0,0,0,p,h,c,0,0,0.45,0.07,pappus
d,Asteraceae,Senecio,squarrosus,Senecio squarrosus,0,0,0,a,h,d,0,0,0.2,0.12,pappus
d,Asteraceae,Senecio,vagus,Senecio vagus,0,0,0,p,h,wf,0,0,0.45,0.07,pappus
d,Asteraceae,Senecio,velleioides,Senecio velleioides,0,0,0,p,h,d,0,0,0.225,0.06,pappus
d,Asteraceae,Solenogyne,dominii,Solenogyne dominii,0,0,0,p,h,d,0,0,0.225,0.06,none
d,Asteraceae,Solenogyne,gunnii,Solenogyne gunnii,0,0,0,p,h,d,0,0,0.25,0.12,none
d,Asteraceae,Taraxacum,aristum,Taraxacum aristum,0,0,0,p,h,d,2,0,,,pappus
d,Asteraceae,Taraxacum,cygnorum,Taraxacum cygnorum,0,,,,h,,0,0,,,pappus
d,Asteraceae,Triptilodiscus,pygmaeus,Triptilodiscus pygmaeus,0,0,0,a,h,d,0,0,0.22,0.04,none
d,Asteraceae,Vittadinia,australasica,Vittadinia australasica,0,0,0,a,h,d,0,0,0.35,0.08,pappus
d,Asteraceae,Vittadinia,cuneata,Vittadinia cuneata,0,0,0,s,h,d,0,0,0.6,0.2,pappus
d,Asteraceae,Vittadinia,gracilis,Vittadinia gracilis,0,0,0,s,h,d,0,0,0.6,0.2,pappus
d,Asteraceae,Vittadinia,megalocephala,Vittadinia megalocephala,0,0,0,s,h,d,0,0,0.6,0.2,pappus
d,Asteraceae,Vittadinia,muelleri,Vittadinia muelleri,0,0,0,p,h,d,0,0,0.45,0.07,pappus
d,Atherospermataceae,Atherosperma,moschatum,Atherosperma moschatum,0,0,0,s,h,rf,0,0,0.7,0.15,plumose
m,Blandfordiaceae,Blandfordia,punicea,Blandfordia punicea,1,0,0,p,h,b,1,0,,,none
d,Boraginaceae,Cynoglossum,australe,Cynoglossum australe,0,0,0,p,h,c,0,0,0.5,0.2,barbs
d,Boraginaceae,Cynoglossum,latifolium,Cynoglossum latifolium,0,0,0,p,h,b,0,0,0.35,0.1,barbs
d,Boraginaceae,Cynoglossum,suaveolens,Cynoglossum suaveolens,0,0,0,p,h,d,0,0,0.6,0.2,barbs
d,Boraginaceae,Myosotis,australis,Myosotis australis,0,1,0,a,h,c/d,1,0,0.15,0.05,none
d,Boraginaceae,Myosotis,exarrhena,Myosotis exarrhena,0,0,0,p,h,d,0,0,0.2,0.1,none
d,Brassicaceae,Ballantina,antipoda,Ballantina antipoda,0,0,0,a,h,d,0,0,0.1,0.1,
d,Brassicaceae,Barbarea,australis,Barbarea australis,0,0,0,a,h,b,0,0,0.2,0.2,
d,Brassicaceae,Cardamine,astoniae,Cardamine astoniae,0,0,0,p,h,b,1,0,0.2,0.15,
d,Brassicaceae,Cardamine,franklinensis,Cardamine franklinensis,0,0,0,p,h,b,1,0,0.14,0.1,
d,Brassicaceae,Cardamine,gunnii,Cardamine gunnii,0,0,0,p,h,b,1,0,0.12,0.05,
d,Brassicaceae,Cardamine,lilacina,Cardamine lilacina,0,0,0,a,h,d,2,0,0.0628,0.0471,
d,Brassicaceae,Cardamine,papillata,Cardamine papillata,0,0,0,a,h,d,0,0,0.1,0.07,
d,Brassicaceae,Cardamine,paucijuga,Cardamine paucijuga,0,0,0,a,h,d,2,0,0.12,0.05,
d,Brassicaceae,Cardamine,tenuifolia,Cardamine tenuifolia,0,0,0,p,h,b,1,0,0.1,0.08,
d,Brassicaceae,Cheesemannia,radicata,Cheesemannia radicata,1,0,0,p,h,d,2,0,0.1,0.08,
d,Brassicaceae,Hutchinsia,tasmanica,Hutchinsia tasmanica,1,0,0,a,h,d,2,0,.,.,
d,Brassicaceae,Lepidium,desvauxii,Lepidium desvauxii,0,0,0,a,h,d/c,0,0,0.15,0.08,
d,Brassicaceae,Lepidium,foliosum,Lepidium foliosum,0,0,0,p,h,c,0,0,0.5,0.1,
d,Brassicaceae,Lepidium,hyssopifolium,Lepidium hyssopifolium,0,1,0,p,h,d,0,0,0.25,0.07,
d,Brassicaceae,Lepidium,pseudotasmanicum,Lepidium pseudotasmanicum,0,0,0,a,h,d,0,0,0.157,0.0471,
d,Brassicaceae,Rorippa,dictyosperma,Rorippa dictyosperma,0,0,0,p,h,b,0,0,0.05,0.05,
d,Brassicaceae,Rorippa,gigantea,Rorippa gigantea,0,1,0,p,h,wf,0,0,0.15,0.1,
d,Brassicaceae,Stenopetalum,lineare,Stenopetalum lineare,0,0,0,a,h,d,0,0,0.05,0.05,
d,Brunoniaceae,Brunonia,australis,Brunonia australis,0,0,0,p,h,d,0,0,0.3,0.2,plumose petals
m,Burmanniaceae,Thismia,rodwayi,Thismia rodwayi,0,1,0,p,h,wf,0,0,,,
d,Callitrichaceae,Callitriche,brachycarpa,Callitriche brachycarpa,0,0,0,a,h,a,0,0,0.08,0.07,
d,Callitrichaceae,Callitriche,sonderi,Callitriche sonderi,0,0,0,a,h,b,0,0,0.05,0.035,
d,Callitrichaceae,Callitriche,umbonata,Callitriche umbonata,0,0,0,a,h,b,0,0,0.1,0.1,
d,Campanulaceae,Istoma,fluviatilis,Istoma fluviatilis,0,0,0,p,h,b,1,0,0.05,0.03,
d,Campanulaceae,Lobelia,alata,Lobelia alata,0,1,1,p,h,sm,0,0,0.0396,0.0198,
d,Campanulaceae,Lobelia,gibbosa,Lobelia gibbosa,0,0,0,p,h,b/d,0,0,0.0594,0.03366,
d,Campanulaceae,Lobelia,pratioides,Lobelia pratioides,0,0,0,p,h,b,0,0,0.08514,0.0297,
d,Campanulaceae,Lobelia,rhombifolia,Lobelia rhombifolia,0,0,0,a,h,d,0,0,0.02,0.015,
d,Campanulaceae,Pratia,pedunculata,Pratia pedunculata,0,0,0,p,h,b,1,1,0.05,0.02,none
d,Campanulaceae,Pratia,surrepens,Pratia surrepens,0,0,0,p,h,b,1,1,0.0297,0.0198,none
d,Campanulaceae,Wahlenbergia,ceracea,Wahlenbergia ceracea,0,0,0,p,h,b,1,0,0.06,0.03,
d,Campanulaceae,Wahlenbergia,gracilenta,Wahlenbergia gracilenta,0,0,0,a,h,d,0,0,0.06336,0.03366,
d,Campanulaceae,Wahlenbergia,gracilis,Wahlenbergia gracilis,0,0,0,p,h,d,0,0,0.06138,0.0297,
d,Campanulaceae,Wahlenbergia,gymnoclada,Wahlenbergia gymnoclada,0,0,0,p,h,d,0,0,0.07,0.035,
d,Campanulaceae,Wahlenbergia,littoricola,Wahlenbergia littoricola,0,0,0,p,h,d,0,0,0.05,0.025,
d,Campanulaceae,Wahlenbergia,multicaulis,Wahlenbergia multicaulis,0,0,0,p,h,d,0,0,0.04,0.02,
d,Campanulaceae,Wahlenbergia,saxicola,Wahlenbergia saxicola,1,0,0,p,h,d,2,0,0.07,0.035,
d,Campanulaceae,Wahlenbergia,stricta,Wahlenbergia stricta,0,0,0,p,h,d,0,0,0.05,0.025,
m,Campynemataceae,Campynema,lineare,Campynema lineare,1,0,0,p,h,b,1,0,,,
d,Caprifoliaceae,Sambucus,gaudichaudiana,Sambucus gaudichaudiana,0,0,0,s,h,d,0,1,0.3,0.3,none
d,Caryophyllaceae,Colobanthus,affinis,Colobanthus affinis,0,1,0,p,h,b,0,0,0.0594,0.03168,
d,Caryophyllaceae,Colobanthus,apetalus,Colobanthus apetalus,0,1,0,p,h,d,1,0,0.1,0.05,
d,Caryophyllaceae,Colobanthus,curtisiae,Colobanthus curtisiae,1,0,0,p,h,d,1,0,0.05,0.03,
d,Caryophyllaceae,Colobanthus,pulvinatus,Colobanthus pulvinatus,0,0,0,p,h,b,2,0,0.0594,0.02772,
d,Caryophyllaceae,Sagina,diemenensis,Sagina diemenensis,1,0,0,p,h,b,0,0,0.04,0.06,
d,Caryophyllaceae,Sagina,tadgelli,Sagina tadgelli,0,0,0,p,h,b,0,0,0.06,0.04,
d,Caryophyllaceae,Scleranthus,biflorus,Scleranthus biflorus,0,1,0,p,h,d,1,0,0.2355,0.1099,
d,Caryophyllaceae,Scleranthus,brockiei,Scleranthus brockiei,0,1,0,p,h,b,1,0,0.17,0.05,
d,Caryophyllaceae,Scleranthus,diander,Scleranthus diander,0,0,0,p,h,d,0,0,0.1413,0.0785,
d,Caryophyllaceae,Scleranthus,fasciculatus,Scleranthus fasciculatus,0,,,,h,,0,0,,,
d,Caryophyllaceae,Stellaria,angustifolia,Stellaria angustifolia,0,,,,,,,,,,
d,Caryophyllaceae,Stellaria,caespitosa,Stellaria caespitosa,0,0,0,a,h,d,0,0,,,
d,Caryophyllaceae,Stellaria,flaccida,Stellaria flaccida,0,0,0,p,h,b/wf,0,0,0.1485,0.099,
d,Caryophyllaceae,Stellaria,multiflora,Stellaria multiflora,0,0,0,a,h,d,0,0,0.1,0.1,
d,Caryophyllaceae,Stellaria,palustris,Stellaria palustris,0,0,0,p,h,b,0,0,,,
d,Caryophyllaceae,Stellaria,pungens,Stellaria pungens,0,0,0,p,h,d,0,0,0.15,0.12,
d,Casuarinaceae,Allocasuarina,crassa,Allocasuarina crassa,1,0,0,s,h,c,0,0,,,wings_small
d,Casuarinaceae,Allocasuarina,duncanii,Allocasuarina duncanii,1,0,0,s,h,d/b,0,0,0.3611,0.0785,wings_small
d,Casuarinaceae,Allocasuarina,littoralis,Allocasuarina littoralis,0,0,0,s,d,d,0,0,0.5,0.08,wings_small
d,Casuarinaceae,Allocasuarina,monilifera,Allocasuarina monilifera,1,0,0,s,h,c,0,0,0.2355,0.0785,wings_small
d,Casuarinaceae,Allocasuarina,paludosa,Allocasuarina paludosa,0,0,0,s,d,d,0,0,0.425,0.08,wings_small
d,Casuarinaceae,Allocasuarina,verticillata,Allocasuarina verticillata,0,0,0,s,d,d,0,0,,,wings_small
d,Casuarinaceae,Allocasuarina,zephyrea,Allocasuarina zephyrea,1,0,0,s,h,b,0,0,,,wings_small
d,Celastraceae,Stackhousia,gunnii,Stackhousia gunnii,1,0,0,p,h,d,0,0,0.22,0.15,
d,Celastraceae,Stackhousia,mongyyna,Stackhousia mongyyna,0,0,0,a,h,d,0,0,0.22,0.15,
d,Celastraceae,Stackhousia,pulvinaris,Stackhousia pulvinaris,0,0,0,p,h,d,2,0,0.15,0.15,
d,Celastraceae,Stackhousia,spathulata,Stackhousia spathulata,0,0,0,p,h,c,0,0,0.5,0.15,
d,Celastraceae,Stackhousia,viminea,Stackhousia viminea,0,0,0,p,h,d,0,0,0.22,0.1,
m,Centrolepidaceae,Aphelia,gracilis,Aphelia gracilis,0,0,0,a,h,b,0,0,0.09,0.03,
m,Centrolepidaceae,Centrolepis,aristata,Centrolepis aristata,0,0,0,a,h,b,0,0,0.07,0.02,
m,Centrolepidaceae,Centrolepis,fascicularis,Centrolepis fascicularis,0,0,0,p,h,b,0,0,0.08,0.03,
m,Centrolepidaceae,Centrolepis,glabra,Centrolepis glabra,0,0,0,a,h,b,0,0,0.04,0.02,
m,Centrolepidaceae,Centrolepis,monogyna,Centrolepis monogyna,1,0,0,p,h,b,1,0,0.08,0.05,
m,Centrolepidaceae,Centrolepis,muscoides,Centrolepis muscoides,1,0,0,p,h,b,1,0,0.05,0.02,
m,Centrolepidaceae,Centrolepis,pedderensis,Centrolepis pedderensis,1,0,0,a,h,b,0,0,0.05,0.02,
m,Centrolepidaceae,Centrolepis,polygyna,Centrolepis polygyna,0,0,0,a,h,c,0,0,0.065,0.035,
m,Centrolepidaceae,Centrolepis,strigosa,Centrolepis strigosa,0,1,0,a,h,b,0,0,0.06,0.02,
m,Centrolepidaceae,Gaimardia,amblyphylla,Gaimardia amblyphylla,1,0,0,p,h,b,0,0,0.08,0.03,
m,Centrolepidaceae,Gaimardia,fitgeraldii,Gaimardia fitgeraldii,1,0,0,p,h,b,2,0,0.1,0.03,
m,Centrolepidaceae,Gaimardia,setacea,Gaimardia setacea,0,1,0,p,h,b,2,0,,,
d,Chenopodiaceae,Atriplex,australasica,Atriplex australasica,0,?,?,a,d,d,0,0,0.1413,0.0628,
d,Chenopodiaceae,Atriplex,billardierei,Atriplex billardierei,0,1,0,s,h,c,0,0,0.4,0.3,
d,Chenopodiaceae,Atriplex,cinerea,Atriplex cinerea,0,0,0,s,d,sm,0,0,0.7,0.6,
d,Chenopodiaceae,Atriplex,paludosa,Atriplex paludosa,0,0,0,s,d,c,0,0,0.8,0.5,
d,Chenopodiaceae,Atriplex,semibaccata,Atriplex semibaccata,0,0,0,a,h,d,0,0,0.25,0.2,
d,Chenopodiaceae,Atriplex,suberecta,Atriplex suberecta,0,0,0,a,h,d,0,0,0.25,0.2,
d,Chenopodiaceae,Chenopodium,erosum,Chenopodium erosum,0,0,0,a,h,sm,0,0,0.15,0.15,
d,Chenopodiaceae,Chenopodium,pumilio,Chenopodium pumilio,0,0,0,a,h,d,0,0,0.08,0.02,
d,Chenopodiaceae,Einadia,nutans,Einadia nutans,0,0,0,p,h,d,0,1,0.125,0.125,none
d,Chenopodiaceae,Rhagodia,candolleana,Rhagodia candolleana,0,0,0,s,h,sm,0,1,0.2,0.2,none
d,Chenopodiaceae,Sarcocornia,blackiana,Sarcocornia blackiana,0,0,0,s,h,sm,0,0,0.1,0.1,
d,Chenopodiaceae,Sarcocornia,quinqueflora,Sarcocornia quinqueflora,0,1,0,s,h,sm,0,0,0.1,0.1,
d,Chenopodiaceae,Sclerostegia,arbuscula,Sclerostegia arbuscula,0,0,0,s,h,sm,0,0,0.15,0.15,
d,Chenopodiaceae,Suaeda,australis,Suaeda australis,0,0,0,s,h,sm,0,0,0.17,0.1,
d,Chenopodiaceae,Threlkeldia,diffusa,Threlkeldia diffusa,0,0,0,s,h,c,0,0,0.3,0.15,
d,Clusiaceae,Hypericum,gramineum,Hypericum gramineum,0,1,0,p,h,d,0,0,0.05,0.02,
d,Clusiaceae,Hypericum,japonicum,Hypericum japonicum,0,1,0,p,h,b,1,0,0.05,0.02,
m,Colcichiaceae,Burchardia,umbellata,Burchardia umbellata,0,0,0,p,h,b/d,0,0,0.2,0.15,
m,Colcichiaceae,Wurmbea,dioica,Wurmbea dioica,0,0,0,p,d,d/c,0,0,0.1,0.1,
m,Colcichiaceae,Wurmbea,latifolia,Wurmbea latifolia,0,0,0,p,d,c,0,0,0.15,0.15,
m,Colcichiaceae,Wurmbea,uniflora,Wurmbea uniflora,0,0,0,p,d,d,0,0,0.08,0.08,
d,Convolvulaceae,Calystegia,sepium,Calystegia sepium,0,1,1,p,h,b,0,0,0.45,0.03,
d,Convolvulaceae,Calystegia,soldanella,Calystegia soldanella,0,1,1,p,h,c,0,0,0.45,0.3,
d,Convolvulaceae,Convolvulus,erubescens,Convolvulus erubescens,0,0,0,p,h,d,0,0,0.4,0.1,
d,Convolvulaceae,Dichondra,repens,Dichondra repens,0,1,1,p,h,c,0,0,0.2,0.2,
d,Convolvulaceae,Wilsonia,backhousei,Wilsonia backhousei,0,0,0,s,h,sm,0,0,0.2669,0.1099,
d,Convolvulaceae,Wilsonia,humilis,Wilsonia humilis,0,0,0,s,h,sm,0,0,0.3,0.3,
d,Convolvulaceae,Wilsonia,rotundifolia,Wilsonia rotundifolia,0,0,0,s,h,sm,0,0,,,
d,Crassulaceae,Crassula,decumbens,Crassula decumbens,0,0,0,a,h,b,0,0,0.0396,0.01386,
d,Crassulaceae,Crassula,helmsii,Crassula helmsii,0,1,0,p,h,b,0,0,0.0396,0.0198,
d,Crassulaceae,Crassula,moschata,Crassula moschata,0,1,1,a,h,b,0,0,0.0594,0.0297,
d,Crassulaceae,Crassula,peduncularis,Crassula peduncularis,0,1,0,a,h,b,0,0,0.0396,0.01782,
d,Crassulaceae,Crassula,sieberana,Crassula sieberana,0,1,0,a,h,d,0,0,0.05544,0.01782,
d,Cucurbitaceae,Sicyos,australis,Sicyos australis,0,1,0,a,h,wf,0,1,0.6,0.5,none
d,Cunoniaceae,Anodopetalum,biglandusosum,Anodopetalum biglandusosum,1,0,0,s,h,rf,0,1,,,none
d,Cunoniaceae,Bauera,rubioides,Bauera rubioides,0,0,0,s,h,b,1,0,,,
d,Cuscutaceae,Cuscuta,tasmanica,Cuscuta tasmanica,0,0,0,a,h,sm,0,0,0.18,0.1,
m,Cymodoceae,Amphibolus,antarctica,Amphibolus antarctica,0,0,0,p,d,e,0,0,12,0.5,
m,Cyperaceae,Baumea,acuta,Baumea acuta,0,0,0,p,h,c,0,0,0.225,0.18,none
m,Cyperaceae,Baumea,arthrophylla,Baumea arthrophylla,0,1,0,p,h,b,0,0,0.225,0.18,none
m,Cyperaceae,Baumea,articulata,Baumea articulata,0,1,0,p,h,c,0,0,0.3,0.22,none
m,Cyperaceae,Baumea,gunnii,Baumea gunnii,0,0,0,p,h,b,0,0,0.3,0.28,none
m,Cyperaceae,Baumea,juncea,Baumea juncea,0,1,0,p,h,b/c,0,0,0.3,0.28,none
m,Cyperaceae,Baumea,planifolia,Baumea planifolia,0,0,0,p,h,b,0,0,0.18,0.1,
m,Cyperaceae,Baumea,rubiginosa,Baumea rubiginosa,0,1,0,p,h,b,0,0,0.3,0.2,none
m,Cyperaceae,Baumea,tetragona,Baumea tetragona,0,0,0,p,h,b,0,0,0.175,0.15,none
m,Cyperaceae,Bolboschoenus,caldwellii,Bolboschoenus caldwellii,0,1,0,p,h,b,0,0,0.35,0.25,none
m,Cyperaceae,Bolboschoenus,medianus,Bolboschoenus medianus,0,1,0,p,h,b,0,0,0.35,0.25,none
m,Cyperaceae,Carex,aff.diandra,Carex aff.diandra,0,0,0,p,h,b,1,0,0.35,0.175,none
m,Cyperaceae,Carex,aff_cirrhosa,Carex aff_cirrhosa,0,0,0,p,h,b,0,0,0.35,0.15,none
m,Cyperaceae,Carex,appressa,Carex appressa,0,1,0,p,h,wf/b,1,0,0.3,0.12,none
m,Cyperaceae,Carex,archeri,Carex archeri,0,0,0,p,h,b,1,0,0.35,0.15,none
m,Cyperaceae,Carex,barbata,Carex barbata,1,0,0,p,h,b,1,0,0.35,0.18,none
m,Cyperaceae,Carex,bichenoviana,Carex bichenoviana,0,0,0,p,h,d,0,0,0.5,0.25,none
m,Cyperaceae,Carex,breviculmis,Carex breviculmis,0,0,0,p,h,b,1,0,0.275,0.17,none
m,Cyperaceae,Carex,capillacea,Carex capillacea,0,1,0,p,h,b,2,0,0.21,0.1,none
m,Cyperaceae,Carex,cataractae,Carex cataractae,1,0,0,p,h,b,0,0,0.325,0.12,none
m,Cyperaceae,Carex,cephalotes,Carex cephalotes,0,0,0,p,h,b,2,0,0.35,0.15,none
m,Cyperaceae,Carex,chlorantha,Carex chlorantha,0,0,0,p,h,b,0,0,0.4,0.15,none
m,Cyperaceae,Carex,curta,Carex curta,0,1,1,p,h,b,1,0,0.25,0.13,none
m,Cyperaceae,Carex,fascicularis,Carex fascicularis,0,1,0,p,h,b,0,0,0.225,0.14,none
m,Cyperaceae,Carex,flaviformis,Carex flaviformis,0,1,0,p,h,b,1,0,0.375,0.18,none
m,Cyperaceae,Carex,gaudichaudiana,Carex gaudichaudiana,0,1,0,p,h,b,1,0,0.36,0.15,none
m,Cyperaceae,Carex,gunniana,Carex gunniana,0,0,0,p,h,d,0,0,0.5,0.2,none
m,Cyperaceae,Carex,hypandra,Carex hypandra,0,0,0,p,h,b,2,0,0.35,0.18,none
m,Cyperaceae,Carex,inversa,Carex inversa,0,1,0,p,h,b,0,0,0.325,0.2,none
m,Cyperaceae,Carex,iynx,Carex iynx,0,0,0,p,h,d,0,0,0.6,0.2,none
m,Cyperaceae,Carex,longebrachiata,Carex longebrachiata,0,0,0,p,h,d,0,0,0.65,0.17,none
m,Cyperaceae,Carex,polyantha,Carex polyantha,0,0,0,p,h,b,1,0,0.25,0.15,none
m,Cyperaceae,Carex,pumila,Carex pumila,0,1,0,p,h,c,0,0,0.6,0.3,none
m,Cyperaceae,Carex,raleighii,Carex raleighii,0,0,0,p,h,b,1,0,0.35,0.15,none
m,Cyperaceae,Carex,tasmanica,Carex tasmanica,0,0,0,p,h,d,0,0,0.325,0.17,none
m,Cyperaceae,Carex,tereticaulis,Carex tereticaulis,0,0,0,p,h,b,0,0,0.375,0.2,none
m,Cyperaceae,Carpha,alpina,Carpha alpina,0,1,0,p,h,b,2,0,0.3,0.1,feathery_style
m,Cyperaceae,Carpha,curvata,Carpha curvata,1,0,0,p,h,b,1,0,0.425,0.09,feathery_style
m,Cyperaceae,Carpha,rodwayi,Carpha rodwayi,1,0,0,p,h,b,2,0,0.325,0.08,feathery_style
m,Cyperaceae,Caustis,pentandra,Caustis pentandra,0,0,0,p,h,c,0,0,0.6,0.3,none
m,Cyperaceae,Chorizandra,australis,Chorizandra australis,0,0,0,p,h,a,0,0,0.35,0.3,none
m,Cyperaceae,Chorizandra,enodis,Chorizandra enodis,0,0,0,p,h,b,0,0,0.25,0.22,none
m,Cyperaceae,Cyperus,gunnii,Cyperus gunnii,0,0,0,p,h,b,0,0,0.225,0.1,none
m,Cyperaceae,Cyperus,lucidus,Cyperus lucidus,0,0,0,p,h,b,0,0,0.3,0.08,none
m,Cyperaceae,Eleocharis,acuta,Eleocharis acuta,0,1,0,p,h,a,1,0,0.15,0.08,none
m,Cyperaceae,Eleocharis,gracilis,Eleocharis gracilis,0,1,0,p,h,b,0,0,0.125,0.08,none
m,Cyperaceae,Eleocharis,pusilla,Eleocharis pusilla,0,1,0,p,h,b,0,0,0.1,0.07,none
m,Cyperaceae,Eleocharis,sphacelata,Eleocharis sphacelata,0,1,0,p,h,a,0,0,0.25,0.1,none
m,Cyperaceae,Gahnia,filum,Gahnia filum,0,0,0,p,h,c,0,0,0.55,0.4,none
m,Cyperaceae,Gahnia,grandis,Gahnia grandis,0,0,0,p,h,b,1,0,0.4,0.28,none
m,Cyperaceae,Gahnia,microstachya,Gahnia microstachya,0,0,0,p,h,d,0,0,0.23,0.12,none
m,Cyperaceae,Gahnia,radula,Gahnia radula,0,0,0,p,h,d,0,0,0.2,0.14,none
m,Cyperaceae,Gahnia,rodwayi,Gahnia rodwayi,1,0,0,p,h,d,0,0,0.3,0.22,none
m,Cyperaceae,Gahnia,siberiana,Gahnia siberiana,0,0,0,p,h,b,0,0,0.4,0.25,none
m,Cyperaceae,Gahnia,trifida,Gahnia trifida,0,0,0,p,h,sm,0,0,0.25,0.15,none
m,Cyperaceae,Gymnoschoenus,sphaerocephalus,Gymnoschoenus sphaerocephalus,0,0,0,p,h,b,0,0,0.4,0.25,none
m,Cyperaceae,Isolepis,alpina,Isolepis alpina,0,0,0,p,h,b,1,0,0.15,0.09,none
m,Cyperaceae,Isolepis,aucklandica,Isolepis aucklandica,0,1,0,p,h,b,1,0,0.125,0.05,none
m,Cyperaceae,Isolepis,cernua,Isolepis cernua,0,1,1,p,h,b,0,0,0.07,0.04,none
m,Cyperaceae,Isolepis,crassiuscula,Isolepis crassiuscula,0,1,0,p,h,a,2,0,0.13,0.05,none
m,Cyperaceae,Isolepis,fluitans,Isolepis fluitans,0,1,0,p,h,a,1,0,0.08,0.03,none
m,Cyperaceae,Isolepis,habra,Isolepis habra,0,1,0,p,h,b,1,0,0.125,0.05,none
m,Cyperaceae,Isolepis,hookeriana,Isolepis hookeriana,0,0,0,a,h,d,0,0,0.07,0.06,none
m,Cyperaceae,Isolepis,inundata,Isolepis inundata,0,1,1,p,h,b,1,0,0.07,0.05,none
m,Cyperaceae,Isolepis,limbata,Isolepis limbata,1,0,0,p,h,b,0,0,0.09,0.06,none
m,Cyperaceae,Isolepis,marginata,Isolepis marginata,0,1,0,a,h,d,0,0,0.09,0.07,none
m,Cyperaceae,Isolepis,montivaga,Isolepis montivaga,0,0,0,p,h,b,1,0,0.09,0.06,none
m,Cyperaceae,Isolepis,nodosa,Isolepis nodosa,0,1,1,p,h,c,0,0,0.12,0.06,none
m,Cyperaceae,Isolepis,platycarpa,Isolepis platycarpa,0,1,0,p,h,b,0,0,0.06,0.02,none
m,Cyperaceae,Isolepis,producta,Isolepis producta,0,0,0,p,h,a,0,0,0.1,0.03,none
m,Cyperaceae,Isolepis,prolifera,Isolepis prolifera,0,,,p,h,,0,0,0.05,0.04,none
m,Cyperaceae,Isolepis,stellata,Isolepis stellata,0,0,0,a,h,b,0,0,0.08,0.06,none
m,Cyperaceae,Isolepis,subtilissima,Isolepis subtilissima,0,1,0,p,h,b,1,0,0.08,0.05,none
m,Cyperaceae,Isolepis,tasmanica,Isolepis tasmanica,0,0,0,p,h,b,0,0,0.13,0.06,none
m,Cyperaceae,Isolepis,wakefieldiana,Isolepis wakefieldiana,0,0,0,a,h,b,0,0,0.06,0.03,none
m,Cyperaceae,Lepidosperma,concavum,Lepidosperma concavum,0,0,0,p,h,d,0,0,0.3,0.2,none
m,Cyperaceae,Lepidosperma,curtisae,Lepidosperma curtisae,0,0,0,p,h,d,0,0,0.3,0.2,none
m,Cyperaceae,Lepidosperma,elatius,Lepidosperma elatius,0,0,0,p,h,b,0,0,0.275,0.275,none
m,Cyperaceae,Lepidosperma,ensiforme,Lepidosperma ensiforme,0,0,0,p,h,b/d,0,0,0.25,0.14,none
m,Cyperaceae,Lepidosperma,filiforme,Lepidosperma filiforme,0,1,0,p,h,b,1,0,0.375,0.3,none
m,Cyperaceae,Lepidosperma,forsythii,Lepidosperma forsythii,0,0,0,p,h,b,0,0,0.45,0.35,none
m,Cyperaceae,Lepidosperma,gladiatum,Lepidosperma gladiatum,0,0,0,p,h,c,0,0,0.4,0.2,none
m,Cyperaceae,Lepidosperma,globosum,Lepidosperma globosum,1,0,0,p,h,b,0,0,0.3,0.25,none
m,Cyperaceae,Lepidosperma,gunnii,Lepidosperma gunnii,0,0,0,p,h,d,0,0,0.325,0.28,none
m,Cyperaceae,Lepidosperma,inops,Lepidosperma inops,0,0,0,p,h,d/b,1,0,0.28,0.2,none
m,Cyperaceae,Lepidosperma,laterale,Lepidosperma laterale,0,1,0,p,h,d,0,0,0.29,0.22,none
m,Cyperaceae,Lepidosperma,longitudinale,Lepidosperma longitudinale,0,0,0,p,h,b,0,0,0.3,0.2,none
m,Cyperaceae,Lepidosperma,oldfieldii,Lepidosperma oldfieldii,1,0,0,p,h,d/wf,0,0,0.3,0.22,none
m,Cyperaceae,Lepidosperma,tortuosum,Lepidosperma tortuosum,0,0,0,p,h,d,0,0,0.325,0.3,none
m,Cyperaceae,Lepidosperma,viscidum,Lepidosperma viscidum,0,0,0,p,h,c,0,0,0.375,0.25,none
m,Cyperaceae,Oreobolus,acutifolius,Oreobolus acutifolius,1,0,0,p,h,b,2,0,0.13,0.1,none
m,Cyperaceae,Oreobolus,distichus,Oreobolus distichus,0,0,0,p,h,b,2,0,0.2,0.13,none
m,Cyperaceae,Oreobolus,oligocephalus,Oreobolus oligocephalus,1,0,0,p,h,b,2,0,0.15,0.09,none
m,Cyperaceae,Oreobolus,oxycarpus,Oreobolus oxycarpus,1,0,0,p,h,b,2,0,0.21,0.13,none
m,Cyperaceae,Oreobolus,pumilio,Oreobolus pumilio,0,0,0,p,h,b,2,0,0.12,0.07,none
m,Cyperaceae,Schoenoplectus,pungens,Schoenoplectus pungens,0,1,0,p,h,b,0,0,0.3,0.15,none
