Spp No,VBA TAXON_ID,Species,Common Name,"PERSEED D, S, G, C, Z (F=inadequate data)","PERVEG V, U, W, N, X (F=inadequate data)","T, I, R, M, K (F=inadequate data)","JUVEN 1, 2, 5, 10, 20, 40 (F=inadequate data)","SPP LIFE 3, 10, 20, 50, 100 (F=inadequate data)","INDIV LIFE A, ASP, B, SP, MP, LP (F = inadequate data)","GEOPHYTE Y, N",MINTFI: Y,VIC ADV,"KFRS: 1, 2, 3, N",REFERENCES  ,
795,500795,Comesperma calymega,Blue-spike Milkwort,S,N,T,2,20,SP,N,,,3,55,
796,500796,Comesperma defoliatum,Leafless Milkwort,G,,T,2,20,SP,,,,3,,
797,500797,Comesperma ericinum,Heath Milkwort,G,N,T,2,20,SP,N,,,3,22,
798,500798,Comesperma polygaloides,Small Milkwort,F,V,T,2,20,SP,N,,Vulnerable,3,12,
799,500799,Comesperma retusum,Mountain Milkwort,G,X,T,1,,,N,,,,"[10], 38",PERVEG = V [10]
800,500800,Comesperma scoparium,Broom Milkwort,G,F,I,5,100,SP,N,,Rare,3,1,
801,500801,Comesperma volubile,Love Creeper,F,V,T,2,50,SP,,,,N,5,
2964,528678,Commersonia breviseta (syn. Rulingia dasyphylla),Hairy Kerrawang,G,X,I,2,10,SP,N,,Endangered,3,15,
802,515321,Commersonia sp. aff. fraseri,,,,,,,,,,,,,
694,500694,Commersonia tatei,Trailing Commersonia,,,,,,,,,Endangered,,,
5726,,Conicosia pugioniforme,,,,,,,,,,,,,
803,500803,Conium maculatum,Hemlock,,,,,,,,,,,,
804,500804,Conospermum mitchellii,Victorian Smoke-bush,G,N,I,5,50,MP,N,,,1,[5],"PERSEED = W, TIRMK = TR [5]"
805,500805,Conospermum patens,Slender Smoke-bush,G,N,I,5,50,MP,N,,,3,"1, 5",
806,500806,Conospermum taxifolium,Variable Smoke-bush,,PERVEG,,,,,,,Vulnerable,,68,
807,500807,Conringia orientalis,Treacle Mustard,,,,,,,,,,,,
5924,505924,Consolida ajacis,Eastern Larkspur,,,,,,,,,,,,
5884,505884,Convolvulus angustissimus,Blushing Bindweed,,,,,,,,,,,,
5885,505885,Convolvulus angustissimus subsp. angustissimus,Blushing Bindweed,S,X,T,,,,,,,,9,
5886,505886,Convolvulus angustissimus subsp. fililobus,Plains Bindweed,,,,,,,,,,,,
5549,505549,Convolvulus angustissimus subsp. omnigracilis,Slender Bindweed,,,,,,,,,Poorly known,,,
808,500808,Convolvulus arvensis,Common Bindweed,,,,,,,,,,,,
5888,505888,Convolvulus clementii,Desert Bindweed,,,,,,,,,Vulnerable,,,
3674,503674,Convolvulus crispifolius,Silver Bindweed,,,,,,,,,Rare,,,
809,500809,Convolvulus erubescens spp. agg.,Pink Bindweed,F,U,T,2,100,SP,Y,,,N,12,
5882,505882,Convolvulus microsepalus,Small-flower Bindweed,,,,,,,,,Presumed extinct,,,
5887,,Convolvulus recurvatus,,,,,,,,,,,,,
3673,503673,Convolvulus remotus,Grass Bindweed,G,V,I,2,100,MP,Y,,,N,19,
5883,505883,Convolvulus wimmerensis,Wimmera Bindweed,,,,,,,,,,,,
811,500811,Conyza bilbaoana,Smooth Fleabane,,,,,,,,,,,,
812,500812,Conyza bonariensis,Flaxleaf Fleabane,D,X,T,1,100,A,N,,,3,23,
5708,,Conyza canadensis,,,,,,,,,,,,,
814,500814,Conyza parva,Small Fleabane,,,,,,,,,,,,
815,500815,Conyza primulaefolia,,,,,,,,,,,,,
810,500810,Conyza sumatrensis,,F,X,T,1,100,A,N,,,,9,Recorded as C. albidain [9]
816,500816,Coopernookia barbata,Purple Coopernookia,PERSEED,PERVEG,,,,,,,Rare,,70,
817,500817,Coprosma hirtella,Rough Coprosma,Z,N,T,10,100,MP,N,Y,,3,"[4], 38, 43","PERVEG = V [4]; JUVEN = 5 [4, 43]"
818,500818,Coprosma moorei,Turquoise Coprosma,Z,U,T,2,100,MP,N,,Rare,3,"26, 28",
819,500819,Coprosma nitida,Shining Coprosma,,,,,,,,,,,,
820,500820,Coprosma nivalis,Snow Coprosma,Z,U,T,2,100,MP,N,,Rare,N,"26, 28",
821,,Coprosma perpusilla,,,,,,,,,,,,,
5248,505248,Coprosma pumila,Dwarf Coprosma,,,,,,,,,Endangered,,,
822,500822,Coprosma quadrifida,Prickly Currant-bush,Z,N,T,10,100,MP,N,Y,,3,"[5], 9, 38, 54",PERVEG = W [5]
823,500823,Coprosma repens,Mirror Bush,,,,,,,,,,,,
824,500824,Coprosma robusta,Karamu,,,,,,,,,,,,
5639,505639,Coprosma X tadgellii,Shining Coprosma x Snow Coprosma hybrid,,,,,,,,,Rare,,,
4393,504393,Cordyline australis,New Zealand Cabbage-tree,,,,,,,,,,,,
5977,505977,Cordyline stricta,Slender Palm-lily,,,,,,,,,,,,
4601,504601,Coreopsis lanceolata,Common Tickseed,,,,,,,,,,,,
5702,505702,Coriandrum sativum,Coriander,,,,,,,,,,,,
4253,504253,Cornus capitata,Himalayan Strawberry-tree,,,,,,,,,,,,
1626,501626,Coronidium scorpioides,,D,W,I,2,100,MP,N,,,3,"[4], 43, 58","PERVEG = V [4, Alpine Ash Forest]"
828,500828,Correa aemula,Hairy Correa,S,,K,5,,MP,N,,Rare,3,[5],TIRMK = TR [5]
829,500829,Correa alba,White Correa,S,X,T,5,50,MP,N,,,N,"5, 48",
4363,504363,Correa alba var. alba,White Correa,,,,,,,,,,,,
4364,504364,Correa alba var. pannosa,Velvet White Correa,,,,,,,,,Rare,,,
4369,,Correa backhouseana,,,,,,,,,,,,,
830,515355,Correa glabra,,,,,,,,,,,,,
831,500831,Correa lawrenceana,Mountain Correa,,,,,,,,,,,,
5466,505466,Correa lawrenceana var. cordifolia,Pink Mountain-correa,,,,,,,,,Vulnerable,,,
4365,504365,Correa lawrenceana var. genoensis,Genoa River Correa,,,,,,,,,Endangered,,,
5465,505465,Correa lawrenceana var. grampiana,Grampians Mountain-correa,G,,I,10,,MP,N,Y,Rare,,5,
4366,504366,Correa lawrenceana var. latrobeana,Mountain Correa,F,,I,5,,,,,,,[5],
4367,504367,Correa lawrenceana var. latrobeana (montane red),Red Mountain-correa,,,,,,,,,Rare,,,
832,500832,Correa reflexa,Common Correa,G,N,T,5,,MP,N,,,3,"[9], 70",PERVEG = W [9]
833,500833,Correa reflexa var. angustifolia,Grampians Correa,S,,F,,,,,,Rare,,[5],
5404,505404,Correa reflexa var. lobata,Powelltown Correa,,,,,,,,,Rare,,,
4370,504370,Correa reflexa var. reflexa,Common Correa,PERSEED,N,F,5,50,,,,,3,"[5], 63",
5467,505467,Correa reflexa var. scabridula,Western Correa,G,V,T,5,100,LP,N,,,N,"1, 5",
4368,504368,Correa reflexa var. speciosa,Eastern Correa,G,N,T,2,50,MP,N,,,,55,
834,500834,Corrigiola litoralis,Strapwort,,,,,,,,,,,,
3731,503731,Cortaderia jubata,Pink Pampas-grass,,,,,,,,,,,,
825,500825,Cortaderia selloana,Pampas Grass,,,,,,,,,,,,
2698,502698,Corunastylis archeri,Elfin Midge-orchid,,,,,,,Y,,,N,27,
4503,504503,Corunastylis arrecta,Erect Midge-orchid,,,,,,,Y,,Rare,N,27,
2040,502040,Corunastylis ciliata,Fringed Midge-orchid,,U,T,5,100,LP,Y,,Poorly known,N,27,
2705,502705,Corunastylis despectans,Sharp Midge-orchid,,U,T,5,100,LP,Y,,,N,27,
2715,502715,Corunastylis morrisii,Bearded Midge-orchid,,U,T,5,100,LP,Y,,,N,27,
2716,515373,Corunastylis nigricans,,,,,,,,Y,,,N,27,
2700,502700,Corunastylis nuda,Tiny Midge-orchid,,,,,,,Y,,Rare,N,27,
2704,505263,Corunastylis nudiscapa,Brownish Midge-orchid,,,,,,,Y,,Endangered,N,27,
2727,502727,Corunastylis pumila,Green Midge-orchid,,,,,,,Y,,Rare,N,27,
4690,504690,Corunastylis sp. aff. morrisii (Pyrete Ranges),Purple-beard Midge-orchid,,,,,,,Y,,Vulnerable,N,27,
5263,,Corunastylis sp. aff. nudiscapa (Otway Ranges),,,,,,,,Y,,,N,27,
2723,502723,Corunastylis sp. aff. rufa (Goldfields),Dark Midge-orchid,,U,T,5,100,LP,Y,,,N,27,
835,500835,Corybas aconitiflorus,Spurred Helmet-orchid,,,,,,,Y,,Rare,N,27,
836,500836,Corybas despectans,Coast Helmet-orchid,,,,,,,Y,,Vulnerable,N,27,
838,515381,Corybas diemenicus,,,U,T,5,100,LP,Y,,,N,27,
839,500839,Corybas fimbriatus,Fringed Helmet-orchid,,,,,,,Y,,Rare,N,27,
840,500840,Corybas fordhamii,Swamp Pelican-orchid,,U,T,5,100,LP,Y,,Rare,N,27,
841,500841,Corybas hispidus,Bristly Helmet-orchid,,,,,,,Y,,Rare,N,27,
837,500837,Corybas incurvus,Slaty Helmet-orchid,,U,T,5,100,LP,Y,,,N,27,
5249,505249,Corybas sp. aff. diemenicus (Coastal),Late Helmet-orchid,,,,,,,Y,,Endangered,N,27,
5622,505622,Corybas sp. aff. diemenicus (Mountains),,,,,,,,Y,,,N,27,
5895,505895,Corybas sp. aff. diemenicus (Wilsons Promontory),Dark Helmet-orchid,,,,,,,Y,,Poorly known,N,27,
842,500842,Corybas unguiculatus,Small Pelican-orchid,,U,T,5,100,LP,Y,,,N,27,
5989,505989,Corybas X miscellus,Veined x Slaty Helmet-orchid hybrid,,,,,,,,,Rare,,,
5544,515386,Corymbia citriodora,,,,,,,,,,,,,
1288,501288,Corymbia gummifera,Red Bloodwood,,,,,,,,,Rare,,,
1295,501295,Corymbia maculata,Spotted Gum,,,,,,,,,Vulnerable,,,
517,500517,Corynotheca licrota,Sand Lily,,,,,,,,,Rare,,,
3690,,Cotoneaster divaricatus,,,,,,,,,,,,,
4765,504765,Cotoneaster franchetii,Grey Cotoneaster,,,,,,,,,,,,
843,,Cotoneaster glaucophyllus,,,,,,,,,,,,,
4766,504766,Cotoneaster horizontalis,Fishbone Cotoneaster,,,,,,,,,,,,
844,500844,Cotoneaster pannosus,Velvet Cotoneaster,,,,,,,,,,,,
4767,503690,Cotoneaster simonsii,Himalayan Cotoneaster,,,,,,,,,,,,
7389,507389,Cotoneaster X watereri,Waterer's Cotoneaster,,,,,,,,,,,,
845,500845,Cotula alpina,Alpine Cotula,S,X,T,1,100,MP,N,,,N,"4, 40, 43",JUVEN = 2 [43]
846,500846,Cotula australis,Common Cotula,C,,T,1,100,MP,,,,N,,
847,500847,Cotula bipinnata,Ferny Cotula,,,,,,,,,,,,
848,500848,Cotula coronopifolia,Water Buttons,,,,,,,,,,,,
851,,Cotula vulgaris,,,,,,,,,,,,,
3671,503671,Cotyledon orbiculata,Pig's Ear,,,,,,,,,,,,
856,500856,Craspedia alba,White Billy-buttons,G,U,T,1,100,MP,,,Vulnerable,N,4,PERSEED = D {4]
4642,504642,Craspedia aurantia,Orange Billy-buttons,G,U,T,1,100,MP,,,Rare,N,4,PERSEED = D {4]
4643,504643,Craspedia canens,Grey Billy-buttons,,,,,,,,,Endangered,,,
4644,504644,Craspedia coolaminica,Ashen Billy-buttons,,V,T,1,100,MP,,,,N,"10, 43",
4645,504645,Craspedia crocata,Crimson Billy-buttons,,,,2,,,,,Rare,,43,
853,500853,Craspedia glauca spp. agg.,Common Billy-buttons,,,T,2,100,SP,,,,N,,
4646,504646,Craspedia haplorrhiza,Plains Billy-buttons,,,,,,,,,Poorly known,,,
4647,504647,Craspedia jamesii,Green Billy-buttons,G,U,T,1,100,SP,,,Rare,N,"4, 26, 28",PERSEED = D {4]
5935,505935,Craspedia lamicola,Bog Billy-buttons,,,,,,,,,Vulnerable,,,
5942,515405,Craspedia maxgrayi,,,,,,,,,,,,,
4649,504649,Craspedia paludicola,Swamp Billy-buttons,,,,,,,,,,,,
4641,504641,Craspedia sp. 1,Mountain Forest Billy-buttons,,,,,,,,,Rare,,,
4651,504651,Craspedia sp. 2,Derrinallum Billy-buttons,,,,,,,,,Endangered,,,
4648,,Craspedia sp. B,,,,,,,,,,,,,
4650,504650,Craspedia variabilis,Variable Billy-buttons,C,U,I,1,10,MP,N,,,,"43, 62",
858,515414,Crassula alata,,,,,,,,,,,,,
5990,505514,Crassula biplanata,White Crassula,,,,,,,,,,,,
864,500864,Crassula closiana,Stalked Crassula,C,,T,1,100,A,,,,N,,
5992,505992,Crassula colligata,Slender Stonecrop,,,,,,,,,,,,
5993,505993,Crassula colligata subsp. colligata,Slender Stonecrop,,,,,,,,,,,,
5994,505994,Crassula colligata subsp. lamprosperma,Slender Stonecrop,,,,,,,,,,,,
859,500859,Crassula colorata,Dense Crassula,C,,T,1,100,A,,,,N,,
4384,504384,Crassula colorata var. acuminata,Dense Crassula,S,,,,100,,,,,N,,
4373,504373,Crassula colorata var. colorata,Dense Crassula,,,,,,,,,,,,
860,500860,Crassula decumbens var. decumbens,Spreading Crassula,C,X,T,1,100,A,N,,,N,58,
5185,,Crassula ericoides,,,,,,,,,,,,,
861,500861,Crassula exserta,Large-fruit Crassula,,,,,,,,,,,,
862,500862,Crassula helmsii,Swamp Crassula,C,,T,1,100,ASP,N,,,N,,
5186,515417,Crassula multicava,,,,,,,,,,,,,
4520,515418,Crassula muscosa,,,,,,,,,,,,,
863,515419,Crassula natans,,,,,,,,,,,,,
865,500865,Crassula peduncularis,Purple Crassula,C,,T,1,100,A,N,,,N,,
5727,505727,Crassula rubricaulis,Red Crassula,,,,,,,,,,,,
4378,515420,Crassula sieberiana,,C,X,T,1,100,A,N,,,N,"[40], 55",PERVEG = resprouter [40]
5991,505991,Crassula spathulata,Fairy Crassula,,,,,,,,,,,,
1461,,Crassula tetragona,,,,,,,,,,,,,
4337,504337,Crassula tetramera,Australian Stonecrop,S,,,,100,,N,,,N,,
867,500867,Crataegus monogyna,Hawthorn,D,,T,5,100,LP,N,,,N,,
5458,505458,Crataegus monogyna subsp. monogyna,Hawthorn,,,,,,,,,,,,
5459,505459,Crataegus monogyna subsp. nordica,Hawthorn,,,,,,,,,,,,
5200,505200,Crataegus X sinaica,Azzarola,,,,,,,,,,,,
868,500868,Cratystylis conocephala,Blue-bush Daisy,,,,,,,,,Endangered,,,
2638,502638,Crepidomanes venosum,Veined Bristle-fern,,,,,,,,,,,,
869,500869,Crepis capillaris,Smooth Hawksbeard,,,,2,,,,,,,43,
870,515428,Crepis foetida,,,,,,,,,,,,,
871,500871,Crepis setosa,Bristly Hawksbeard,,,,,,,,,,,,
872,,Crepis vesicaria,,,,,,,,,,,,,
873,500873,Cressa australis,Rosinweed,,,,,,,,,,,,
874,500874,Crinum flaccidum,Darling Lily,,,,,,,,,Vulnerable,,,
875,500875,Crocosmia X crocosmiiflora,Montbretia,,,,,,,,,,,,
5687,515436,Crotalaria agatiflora,,,,,,,,,,,,,
3710,503710,Croton setiger,Dove Weed,,,,,,,,,,,,
876,500876,Crowea exalata,Small Crowea,,,,,,,,,,,,
5642,505642,Crowea exalata subsp. exalata,Small Crowea,,,,,,,,,,,,
5643,505643,Crowea exalata subsp. revoluta,Whipstick Crowea,,,,,,,,,Vulnerable,,,
4317,515441,Cryptandra amara,,S,N,T,5,20,MP,N,,,3,"4, 68",PERVEG = V [4]; JUVEN = 1 [4]
3675,503675,Cryptandra ericoides,Heathy Cryptandra,,,,,,,,,Vulnerable,,,
879,,Cryptandra propinqua,,,,,,,,,,,,,
880,500880,Cryptandra tomentosa,,C,N,T,5,100,MP,N,,,2,1,
5634,505634,Cryptandra tomentosa var. 1,,,,,,,,,,,,,
4318,504318,Cryptandra tomentosa var. 2,,,,,,,,,,,,,
6187,506187,Cryptochila grandiflora,Mountain Flapwort,,,,,,,,,,,,
881,500881,Cryptostylis erecta,Bonnet Orchid,,,,,,,Y,,Endangered,N,27,
882,500882,Cryptostylis hunteriana,Leafless Tongue-orchid,,,,,,,Y,,Endangered,N,27,
883,500883,Cryptostylis leptochila,Small Tongue-orchid,,,,,,,Y,,,N,27,
884,500884,Cryptostylis subulata,Large Tongue-orchid,,U,T,5,100,LP,Y,,,N,27,
885,500885,Ctenopteris heterophylla,Gipsy Fern,,,,,,,,,,,,
886,,Cucumis myriocarpus,,C,,T,,,,N,,,N,,
2769,502769,Cullen australasicum,Native Scurf-pea,,,,,,,,,Endangered,,,
2770,502770,Cullen cinereum,Hoary Scurf-pea,,,,,,,,,Endangered,,,
5069,505069,Cullen discolor,Grey Scurf-pea,,,,,,,,,Endangered,,,
2768,502768,Cullen microcephalum,Dusky Scurf-pea,,,,,,,,,,,,
2772,502772,Cullen pallidum,Woolly Scurf-pea,,,,,,,,,Endangered,,,
2773,502773,Cullen parvum,Small Scurf-pea,,,,,,,,,Endangered,,,
2774,502774,Cullen patens,Spreading Scurf-pea,,,,,,,,,Endangered,,,
2776,502776,Cullen tenax,Tough Scurf-pea,S,U,I,1,50,MP,N,,Endangered,,62,
5729,505729,Cupressus glabra,Smooth Arizona Cypress,,,,,,,,,,,,
5407,505407,Cupressus lusitanica,Mexican Cypress,,,,,,,,,,,,
888,500888,Cupressus macrocarpa,Monterey Cypress,,,,,,,,,,,,
5408,505408,Cupressus sempervirens,Italian Cypress,,,,,,,,,,,,
5409,505409,Cupressus sempervirens 'Stricta',Pencil Pine,,,,,,,,,,,,
5241,505241,Cuscuta australis,Australian Dodder,,,,,,,,,Poorly known,,,
3672,503672,Cuscuta campestris,Field Dodder,,,,,,,,,,,,
891,500891,Cuscuta epithymum,Common Dodder,,,,,,,,,,,,
5242,505242,Cuscuta planiflora,Small-seed Alfalfa-dodder,,,,,,,,,,,,
893,,Cuscuta racemosa,,,,,,,,,,,,,
3691,503691,Cuscuta suaveolens,Fringed Dodder,,,,,,,,,,,,
894,500894,Cuscuta tasmanica,Golden Dodder,,,,,,,,,,,,
889,,Cuscuta victoriana,,,,,,,,,,,,,
524,500524,Cyanicula caerulea,Blue Fairy,,U,T,5,100,LP,Y,,,N,,
4559,504559,Cyanthillium cinereum,Ironweed,,,,,,,,,Poorly known,,,
895,500895,Cyathea australis,Rough Tree-fern,D,N,T,20,100,LP,N,,,3,5,
896,500896,Cyathea cunninghamii,Slender Tree-fern,,,,,,,,,Vulnerable,,,
897,500897,Cyathea leichhardtiana,Prickly Tree-fern,,,,,,,,,Vulnerable,,,
898,500898,Cyathea X marcescens,Skirted Tree-fern,,,,,,,,,Vulnerable,,,
899,500899,Cyathochaeta diandra,Sheath Sedge,,,,,,,,,Rare,,,
3692,503692,Cycloloma atriplicifolium,Winged Pigweed,,,,,,,,,,,,
5410,505410,Cydonia oblonga,Quince,,,,,,,,,,,,
2351,,Cylindropuntia imbricata,,,,,,,,,,,,,
4990,,Cylindropuntia tunicata,,,,,,,,,,,,,
901,515464,Cymbalaria muralis,,,,,,,,,,,,,
902,500902,Cymbonotus lawsonianus,Bear's-ear,,,,,,,,,Rare,,,
903,500903,Cymbonotus preissianus,Austral Bear's-ear,F,U,T,2,50,SP,,,,N,"[9], 12, 43",PERVEG = X [9]
904,500904,Cymbopogon obtectus,Silky-heads,,,,,,,,,Endangered,,,
905,500905,Cymbopogon refractus,Barbed-wire Grass,Z,U,T,1,50,SP,N,,,,"62, 75",
906,500906,Cynara cardunculus,,,,,,,,,,,,,
907,500907,Cynodon dactylon,Couch,,,,,,,Y,,,,,
4554,504554,Cynodon dactylon var. dactylon,Couch,,,,,100,,Y,,,N,,
4149,504149,Cynodon dactylon var. pulchellus,Native Couch,,,,,,,Y,,Poorly known,,,
4168,504168,Cynodon transvaalensis,Bermuda Couch,,,,,,,,,,,,
908,500908,Cynoglossum australe,Australian Hound's-tongue,,X,T,1,100,ASP,N,,,N,21,
910,500910,Cynoglossum suaveolens,Sweet Hound's-tongue,C,,T,1,100,ASP,,,,N,,
911,500911,Cynosurus cristatus,Crested Dog's-tail,,,,,,,,,,,,
912,500912,Cynosurus echinatus,Rough Dog's-tail,,,T,1,100,A,,,,N,,
913,500913,Cyperus bifax,Downs Nutgrass,,,,,,,,,Vulnerable,,,
914,500914,Cyperus brevifolius,Mullumbimby Couch,,,,,,,,,,,,
915,500915,Cyperus concinnus,Trim Flat-sedge,,,,,,,,,Vulnerable,,,
916,500916,Cyperus congestus,Dense Flat-sedge,,,,,,,,,,,,
917,500917,Cyperus difformis,Variable Flat-sedge,,,,,,,,,,,,
918,500918,Cyperus eragrostis,Drain Flat-sedge,,X,T,1,50,ASP,,,,N,,
4720,504720,Cyperus esculentus,Yellow Nutgrass,,,,,,,,,,,,
919,500919,Cyperus exaltatus,Tall Flat-sedge,,,,,,,,,,,,
920,500920,Cyperus flaccidus,Lax Flat-sedge,,,,,,,,,Vulnerable,,,
921,500921,Cyperus flavidus,Yellow Flat-sedge,,,,,,,,,Vulnerable,,,
4620,504620,Cyperus fulvus,Sticky Sedge,,,,,,,,,Vulnerable,,,
3678,503678,Cyperus gracilis,Slender Flat-sedge,,,,,,,,,Endangered,,,
922,515474,Cyperus gunnii,,,U,T,2,100,MP,,,,N,,
923,500923,Cyperus gymnocaulos,Spiny Flat-sedge,,,,,,,,,,,,
924,500924,Cyperus hamulosus,Curry Flat-sedge,,,,,,,,,,,,
925,500925,Cyperus lhotskyanus,Creeping Flat-sedge,,,,,,,,,,,,
926,500926,Cyperus lucidus,Leafy Flat-sedge,,U,T,1,100,MP,,,,N,,
927,500927,Cyperus nervulosus,Annual Flat-sedge,,,,,,,,,Endangered,,,
928,500928,Cyperus polystachyos,Bunchy Flat-sedge,,,,,,,,,Poorly known,,,
929,500929,Cyperus pygmaeus,Dwarf Flat-sedge,,,,,,,,,Vulnerable,,,
4415,504415,Cyperus reflexus,Flat-sedge,,,,,,,,,,,,
930,500930,Cyperus rigidellus,Curly Flat-sedge,,,,,,,,,Endangered,,,
931,500931,Cyperus rotundus,Nutgrass,,,,,,,,,,,,
932,500932,Cyperus sanguinolentus,Dark Flat-sedge,,,,,,,,,,,,
933,500933,Cyperus sphaeroideus,Globe Kyllinga,,,,,,,,,,,,
934,500934,Cyperus squarrosus,Bearded Flat-sedge,,,,,,,,,Vulnerable,,,
935,500935,Cyperus subulatus,Pointed Flat-sedge,,,,,,,,,Vulnerable,,,
936,515476,Cyperus tenellus,,S,,T,1,100,A,,,,N,,
938,500938,Cyperus vaginatus,Stiff Flat-sedge,,,,,,,,,Presumed extinct,,,
939,500939,Cyperus victoriensis,Yelka,,,,,,,,,Poorly known,,,
940,500940,Cyphanthera albicans,Hoary Ray-flower,G,X,I,5,100,MP,N,,Rare,3,21,
941,500941,Cyphanthera anthocercidea,Large-leaf Ray-flower,,,,,,,,,Rare,,,
942,500942,Cyphanthera myosotidea,Small-leaf Ray-flower,G,X,I,2,50,MP,N,,,N,1,
943,500943,Cyrtomium falcatum,Holly Fern,,,,,,,,,,,,
112,500112,Cyrtostylis reniformis,Small Gnat-orchid,,U,T,5,100,LP,Y,,,N,,
890,500890,Cyrtostylis robusta,Large Gnat-orchid,,,,,,,Y,,,N,,
944,500944,Cystopteris tasmanica,Brittle Bladder-fern,F,F,T,5,F,MP,N,,Rare,N,"26, 28",
945,500945,Cytisus multiflorus,White Spanish Broom,,,,,,,,,,,,
947,500947,Cytisus scoparius,English Broom,S,X,T,5,100,MP,N,,,,62,
948,500948,Dactylis glomerata,Cocksfoot,,,,,,,,,,,,
949,500949,Dactyloctenium radulans,Finger Grass,,,,,,,,,Rare,,,
950,500950,Damasonium minus,Star Fruit,D,,T,2,100,SP,Y,,,N,,
4402,504402,Dampiera dysantha,Shrubby Dampiera,,,,,,,,,,,,
956,500956,Dampiera fusca,Kydra Dampiera,G,,I,2,100,SP,N,,Endangered,3,22,
957,500957,Dampiera galbraithiana,Licola Dampiera,,,,,,,,,Vulnerable,,,
951,,Dampiera lanceolata,,,,,,,,,,,,,
952,500952,Dampiera marifolia,Velvet Dampiera,G,V,I,5,100,MP,Y,,,3,1,
953,500953,Dampiera purpurea,Mountain Dampiera,,,,,,,,,Rare,,,
954,500954,Dampiera rosmarinifolia,Rosemary Dampiera,,,,,,,,,,,,
958,500958,Dampiera stricta,Blue Dampiera,G,N,T,2,50,MP,N,,,3,"55, 70",
3148,503148,Danthonia decumbens,Heath Grass,,,,,,,,,,,,
982,500982,Darwinia camptostylis,Clustered Darwinia,,F,,,,,,,Rare,2,,
983,500983,Darwinia micropetala,Small Darwinia,,,,,,,,,Vulnerable,,,
984,500984,Datura ferox,Long-spine Thorn-apple,,,,,,,,,,,,
985,500985,Datura inoxia,Recurved Thorn-apple,,,,,,,,,,,,
986,500986,Datura stramonium,Common Thorn-apple,,,,,,,,,,,,
987,500987,Datura wrightii,Hairy Thorn-apple,,,,,,,,,,,,
988,500988,Daucus carota,Carrot,,,,,,,,,,,,
989,500989,Daucus glochidiatus,Australian Carrot,C,X,T,1,100,A,N,,,N,"9, 19",
990,,Davallia solida,,,,,,,,,,,,,
991,500991,Daviesia arenaria,Mallee Bitter-pea,,,,,,,,,,,,
992,515488,Daviesia benthamii,,,,,,,,,,,,,
993,500993,Daviesia brevifolia,Leafless Bitter-pea,S,,I,5,50,MP,N,,,2,5,
994,500994,Daviesia buxifolia,Box-leaf Bitter-pea,PERSEED,PERVEG,I,5,20,MP,N,,,2,70,
3813,515494,Daviesia genistifolia,,,,I,5,50,MP,N,,,2,,
4423,504423,Daviesia laevis,Grampians Bitter-pea,S,X,I,5,100,MP,N,,Vulnerable,,60,
996,500996,Daviesia latifolia,Hop Bitter-pea,S,V,I,5,50,MP,N,,,2,68,
4405,504405,Daviesia laxiflora,Tall Bitter-pea,S,,,,,,,,,,54,
1000,501000,Daviesia leptophylla,Narrow-leaf Bitter-pea,S,N,I,5,20,MP,N,,,2,"38, 43, 54",JUVEN = 2 [43]
4406,500997,Daviesia mimosoides,Blunt-leaf Bitter-pea,S,N,I,5,,MP,N,,,2,"38, 43",
4431,504431,Daviesia mimosoides subsp. acris,Blunt-leaf Bitter-pea,,,,,,,,,Rare,,,
4159,504159,Daviesia mimosoides subsp. mimosoides,Blunt-leaf Bitter-pea,,PERVEG,I,,20,,,,,2,68,
998,500998,Daviesia pectinata,Thorny Bitter-pea,S,F,I,5,100,MP,N,,Rare,,[5],
999,500999,Daviesia ulicifolia,Gorse Bitter-pea,S,N,I,5,,MP,N,,,2,[38],PERSEED = S [38]
4424,504424,Daviesia ulicifolia subsp. ruscifolia,Gorse Bitter-pea,,,,,,,,,,,,
4429,504429,Daviesia ulicifolia subsp. ulicifolia,Gorse Bitter-pea,S,N,I,,20,,,,,2,54,
1001,501001,Daviesia wyattiana,Long-leaf Bitter-pea,,,,,,,,,Vulnerable,,,
3118,503118,Delairea odorata,Cape Ivy,,,,,,,,,,,,
1004,501004,Dendrophthoe vitellina,Long-flower Mistletoe,,,,,,,,,Rare,,,
1005,501005,Dennstaedtia davallioides,Lacy Ground-fern,,,,,,,,,,,,
313,,Deparia petersenii,,,,,,,,,,,,,
2415,502415,Derwentia derwentiana,Derwent Speedwell,G,U,T,2,100,MP,N,,,3,"38, 43",
4718,504718,Derwentia derwentiana subsp. derwentiana,Derwent Speedwell,,U,T,2,100,,,,,3,[4],PERVEG = W [4]; JUVEN = 1 [4]
4719,504719,Derwentia derwentiana subsp. maideniana,Derwent Speedwell,,,,,,,,,,,,
3508,503508,Derwentia nivea,Milfoil Speedwell,,,,,,,,,Rare,,,
2416,502416,Derwentia perfoliata,Digger's Speedwell,G,N,T,2,100,MP,N,,,3,"38, 43",JUVEN = 1 [43]
1006,501006,Deschampsia caespitosa,,F,U,T,1,100,MP,N,,,,75,
1007,501007,Desmodium brachypodum,Large Tick-trefoil,,,,,,,,,Vulnerable,,,
1008,501008,Desmodium gunnii,Southern Tick-trefoil,,,,,,,,,,,,
4425,504425,Desmodium varians,Slender Tick-trefoil,S,W,I,2,20,MP,N,,Poorly known,2,"[3], 26, 28",PERSEED = G [3]
