"ITEM_ID","TRAIT","VALUE","species"
1190688,"seed shape","triangular","Leptospermum subglabratum"
1190688,"dispersal appendage","none","Leptospermum subglabratum"
1190877,"seed shape","pyramidal","Scabiosa atropurpurea"
1190877,"dispersal appendage","bristles","Scabiosa atropurpurea"
1190877,"dispersal appendage","awn","Scabiosa atropurpurea"
1190880,"seed shape","terete","Olearia erubescens"
1190880,"dispersal appendage","pappus","Olearia erubescens"
1190882,"seed shape","ellipsoid","Craspedia jamesii"
1190882,"dispersal appendage","pappus","Craspedia jamesii"
1190897,"seed mass","272.8577","Cathormion umbellatum subsp. moniliforme"
1191248,"seed shape","flattened disc","Acacia pendula"
1191533,"dispersal appendage","wing","Allocasuarina monilifera"
1191533,"seed shape","elongated lanceolate samara","Allocasuarina monilifera"
1191608,"dispersal appendage","none","Eucalyptus pulchella"
1191608,"seed shape","comma-shaped","Eucalyptus pulchella"
1191972,"seed mass","0.458","Leucochrysum albicans var. albicans"
1192052,"seed mass","8.187","Acrothamnus hookeri"
1192197,"dispersal appendage","awn","Chloris truncata"
1192197,"dispersal appendage","hairs","Chloris truncata"
1192197,"seed mass","0.256","Chloris truncata"
1192197,"seed shape","triangular","Chloris truncata"
1192206,"seed mass","1.3843","Enneapogon nigricans"
1192206,"dispersal appendage","pappus","Enneapogon nigricans"
1192206,"seed shape","conical","Enneapogon nigricans"
1192214,"seed mass","0.9989","Dichanthium sericeum subsp. sericeum"
1192312,"seed shape","pyramidal","Eucalyptus amygdalina"
1193095,"dispersal appendage","none","Eucalyptus odorata"
1193095,"seed shape","ovuloid","Eucalyptus odorata"
1193095,"seed shape","flattened teardrop","Eucalyptus odorata"
1193130,"dispersal appendage","feathery style","Clematis glycinoides"
1193130,"seed shape","ellipsoid","Clematis glycinoides"
1193170,"seed shape","irregular","Eucalyptus morrisbyi"
1193191,"seed shape","bulging disc","Dodonaea boroniifolia"
1193640,"seed shape","spherical","Hibbertia circumdans"
1193640,"dispersal appendage","aril","Hibbertia circumdans"
1193874,"seed shape","fusiform","Eremophila deserti"
1193941,"seed shape","cuneate","Lepidium pseudopapillosum"
1194013,"seed shape","rectangular","Acacia dawsonii"
1194013,"dispersal appendage","aril","Acacia dawsonii"
1194057,"seed shape","fusiform samara","Casuarina cristata"
1194057,"dispersal appendage","wing","Casuarina cristata"
1194121,"seed mass","5.6273","Acacia littorea"
1194137,"seed shape","curved samara","Casuarina obesa"
1194137,"dispersal appendage","wing","Casuarina obesa"
1194214,"seed shape","ovoid","Acacia caesiella"
1194214,"seed mass","18.8182","Acacia caesiella"
1194214,"dispersal appendage","aril","Acacia caesiella"
1194237,"seed shape","elongated ovuloid","Eucalyptus doratoxylon"
1194237,"seed mass","0.823","Eucalyptus doratoxylon"
1194336,"dispersal appendage","aril","Acacia obtusata"
1194336,"seed shape","ovoid","Acacia obtusata"
1194336,"seed shape","rhomboid","Acacia obtusata"
1194419,"dispersal appendage","aril","Acacia paradoxa"
1194419,"seed shape","ovuloid","Acacia paradoxa"
1194419,"seed mass","9.94","Acacia paradoxa"
1194476,"seed mass","4.4056","Acacia dawsonii"
1194659,"seed shape","ovoid","Elaeocarpus reticulatus"
1194673,"seed shape","globose","Operculina aequisepala"
1194683,"seed mass","11.925","Acacia lycopodiifolia"
1194801,"dispersal appendage","none","Eucalyptus gregsoniana"
1194801,"seed shape","sectoroid","Eucalyptus gregsoniana"
1194988,"seed shape","comma-shaped","Eucalyptus stellulata"
1194988,"dispersal appendage","none","Eucalyptus stellulata"
1194988,"seed shape","pyramidal","Eucalyptus stellulata"
1195010,"seed shape","flattened ovoid","Solanum coactiliferum"
1195010,"seed shape","reniform","Solanum coactiliferum"
1195104,"seed shape","fusiform","Pimelea pauciflora"
1195114,"seed mass","0.32","Myosotis exarrhena"
1195333,"seed shape","ovoid","Arytera microphylla"
1195468,"seed shape","ovuloid","Acacia eremophiloides"
1195468,"dispersal appendage","aril","Acacia eremophiloides"
1195468,"seed mass","3.36","Acacia eremophiloides"
1195472,"dispersal appendage","hairs","Newcastelia velutina"
1195472,"seed shape","roughly pyramidal","Newcastelia velutina"
1195477,"seed mass","38.6438","Hovea pannosa"
1196214,"seed mass","3.5467","Pimelea spectabilis"
1196372,"seed mass","16.77","Callitris verrucosa"
1196438,"dispersal appendage","wing","Hakea oleifolia"
1196438,"seed shape","pointed samara","Hakea oleifolia"
1196526,"seed mass","33.3358","Telopea mongaensis"
1196628,"seed mass","19.78","Acacia euthycarpa subsp. euthycarpa"
1196903,"seed mass","0.356","Eucalyptus leucoxylon subsp. stephaniae"
1196955,"dispersal appendage","inflated seed coat","Dodonaea rhombifolia"
1196955,"seed mass","6.1","Dodonaea rhombifolia"
1196955,"seed shape","spheroid","Dodonaea rhombifolia"
1197021,"dispersal appendage","none","Eucalyptus leptophylla"
1197021,"seed shape","ovoid","Eucalyptus leptophylla"
1197126,"dispersal appendage","wing","Hakea rostrata"
1197126,"seed shape","curved samara","Hakea rostrata"
1197203,"dispersal appendage","persistent calyx","Melichrus urceolatus"
1197203,"seed shape","spheroid","Melichrus urceolatus"
1197332,"dispersal appendage","inflated cell layer","Dodonaea bursariifolia"
1197332,"seed shape","globose","Dodonaea bursariifolia"
1197339,"seed mass","6.0804","Callitris endlicheri"
1197749,"seed shape","ovuloid","Acacia mitchellii"
1197749,"seed mass","11.5469","Acacia mitchellii"
1197749,"dispersal appendage","aril","Acacia mitchellii"
1197767,"seed shape","roughly reniform","Rhytidosporum procumbens"
1197822,"seed mass","16.6885","Bossiaea heterophylla"
1197878,"seed mass","0.578","Plantago antarctica"
1197889,"seed shape","irregular","Bulbine bulbosa"
1199024,"seed mass","3.314","Callistachys lanceolata"
1199130,"seed shape","ovuloid","Acacia cupularis"
1199130,"dispersal appendage","aril","Acacia cupularis"
1199159,"seed mass","16.8325","Acacia saligna"
1199251,"seed mass","2.082","Brunonia australis"
1199784,"seed shape","sectoroid","Eucalyptus arenacea"
1199784,"seed shape","sectoroid","Eucalyptus arenacea"
1199810,"dispersal appendage","wing","Allocasuarina gymnanthera"
1199982,"seed mass","0.039","Melaleuca wilsonii"
1200177,"seed mass","0.037","Melaleuca wilsonii"
1200941,"seed shape","ovoid samara","Hakea purpurea"
1200941,"dispersal appendage","wing","Hakea purpurea"
1200947,"seed shape","lanceolate samara","Allocasuarina inophloia"
1200947,"dispersal appendage","wing","Allocasuarina inophloia"
1201064,"seed mass","0.196","Eucalyptus tenuipes"
1201244,"dispersal appendage","none","Eucalyptus occidentalis"
1201244,"seed shape","flattened teardrop","Eucalyptus occidentalis"
1201244,"seed shape","ovuloid","Eucalyptus occidentalis"
1201495,"seed mass","9.6707","Eucalyptus marginata"
1202029,"seed shape","rectangular","Eucalyptus megacornuta"
1202029,"dispersal appendage","none","Eucalyptus megacornuta"
1202029,"seed shape","ovoid","Eucalyptus megacornuta"
1202188,"dispersal appendage","none","Eucalyptus desmondensis"
1202188,"seed shape","elongated pyramidal","Eucalyptus desmondensis"
1202845,"seed shape","pointed samara","Banksia oreophila"
1202845,"dispersal appendage","wing","Banksia oreophila"
1203115,"seed shape","reniform","Chorizema cordatum"
1203115,"dispersal appendage","aril","Chorizema cordatum"
1203115,"seed mass","2.706","Chorizema cordatum"
1203217,"seed mass","5.3176","Callitris rhomboidea"
1203404,"seed shape","flattened ovoid","Eucalyptus annulata"
1203404,"seed shape","irregular","Eucalyptus annulata"
1203447,"seed shape","flattened disc","Velleia trinervis"
1203447,"dispersal appendage","wing","Velleia trinervis"
1203676,"dispersal appendage","awn","Ammobium craspedioides"
1203676,"seed shape","rectangular","Ammobium craspedioides"
1203676,"seed mass","1.0386","Ammobium craspedioides"
1203685,"dispersal appendage","pappus","Brunonia australis"
1203685,"seed shape","conical","Brunonia australis"
1203706,"seed mass","1.49","Bulbine bulbosa"
1203821,"dispersal appendage","none","Eucalyptus perangusta"
1203821,"seed shape","ovoid","Eucalyptus perangusta"
1204500,"seed shape","fusiform","Tristaniopsis laurina"
1205055,"dispersal appendage","wing","Hakea tephrosperma"
1205055,"seed shape","pointed samara","Hakea tephrosperma"
1205191,"seed mass","4.466","Eucalyptus coronata"
1205419,"dispersal appendage","none","Eucalyptus decurva"
1205419,"seed shape","roughly rectangular","Eucalyptus decurva"
1205541,"seed shape","ovuloid","Acacia cyclops"
1205541,"dispersal appendage","aril","Acacia cyclops"
1205591,"seed shape","reniform to irregular","Rhytidosporum alpinum"
1205717,"seed shape","flattened disc","Polyscias murrayi"
1206406,"seed mass","13.476","Acacia chrysotricha"
1206477,"dispersal appendage","wing","Hakea lissocarpha"
1206477,"seed shape","irregular","Hakea lissocarpha"
1206893,"dispersal appendage","hook","Ranunculus scapiger"
1206893,"seed shape","semi-hemispherical","Ranunculus scapiger"
1206893,"seed mass","0.989","Ranunculus scapiger"
1206893,"dispersal appendage","hairs","Ranunculus scapiger"
1206925,"seed mass","2.418","Ranunculus graniticola"
1206971,"dispersal appendage","none","Eucalyptus largiflorens"
1206971,"seed shape","ovoid","Eucalyptus largiflorens"
1207036,"seed mass","0.096","Leptospermum incanum"
1207041,"seed shape","ovuloid","Eucalyptus dumosa"
1207041,"dispersal appendage","none","Eucalyptus dumosa"
1207041,"seed shape","flattened teardrop","Eucalyptus dumosa"
1207632,"seed mass","0.015","Lobelia dentata"
1207656,"seed mass","1.075","Rumex tenax"
1207656,"dispersal appendage","none","Rumex tenax"
1207656,"seed shape","trigonal","Rumex tenax"
1207671,"seed shape","flattened sectoroid","Banksia paludosa"
1207671,"seed mass","14.4167","Banksia paludosa"
1207914,"seed mass","2.3333","Petrophile helicophylla"
1208011,"seed shape","spheroid","Smilax glyciphylla"
1208088,"seed mass","4.234","Callitris rhomboidea"
1208114,"seed mass","8.466","Ptilotus nobilis subsp. nobilis"
1208237,"seed mass","1.778","Allocasuarina "
1208266,"seed mass","1.696","Allocasuarina "
1208280,"seed shape","globose","Maytenus cunninghamii"
1208388,"dispersal appendage","aril","Acacia harveyi"
1208388,"seed shape","ovuloid","Acacia harveyi"
1208388,"seed mass","11.6778","Acacia harveyi"
1208469,"seed mass","0.665","Olearia archeri"
1208902,"seed shape","pyramidal","Thespesia populneoides"
1208915,"seed mass","6.978","Hakea mitchellii"
1209202,"dispersal appendage","none","Kunzea pulchella"
1209202,"seed shape","fusiform","Kunzea pulchella"
1209202,"seed mass","0.2333","Kunzea pulchella"
1210012,"seed shape","ovoid","Eragrostis eriopoda"
1210012,"seed mass","0.157","Eragrostis eriopoda"
1210045,"seed shape","ovuloid to rectangular","Acacia merrallii"
1210045,"seed mass","3.648","Acacia merrallii"
1210045,"dispersal appendage","aril","Acacia merrallii"
1210110,"seed shape","ovuloid","Eucalyptus fulgens"
1210110,"dispersal appendage","none","Eucalyptus fulgens"
1210110,"seed shape","teardrop","Eucalyptus fulgens"
1210140,"seed mass","0.83","Pimelea trichostachya"
1210191,"dispersal appendage","aril","Acacia bracteolata"
1210191,"seed mass","7.9182","Acacia bracteolata"
1210191,"seed shape","ovoid","Acacia bracteolata"
1210233,"seed shape","ovoid","Acacia nyssophylla"
1210233,"dispersal appendage","aril","Acacia nyssophylla"
1210233,"seed mass","16.088","Acacia nyssophylla"
1210410,"seed shape","ovoid","Acacia oswaldii"
1210410,"dispersal appendage","aril","Acacia oswaldii"
1210692,"seed mass","0.114","Eucalyptus populnea subsp. bimbil"
1210711,"seed shape","elongated ovuloid","Acacia fragilis"
1210711,"dispersal appendage","aril","Acacia fragilis"
1210711,"seed mass","3.717","Acacia fragilis"
1210831,"seed shape","roughly sectoroid","Melaleuca uncinata"
1210867,"seed mass","1.88","Allocasuarina pusilla"
1210922,"seed mass","2.792","Codonocarpus cotinifolius"
1211153,"seed mass","0.126","Chionogentias polysperes"
1211264,"seed shape","sectoroid","Melaleuca striata"
1211654,"seed mass","2.4828","Halgania cyanea var. tuberculosa"
1211662,"seed shape","rounded samara","Hakea nitida"
1211662,"dispersal appendage","wing","Hakea nitida"
1212008,"seed mass","1.6625","Eucryphia wilkiei"
1212045,"seed shape","ovuloid","Sesbania brachycarpa"
1212107,"seed mass","1.167","Eucalyptus stricta"
1212123,"seed shape","terete","Leptospermum deuense"
1212123,"seed mass","0.1091","Leptospermum deuense"
1212123,"seed shape","club shaped","Leptospermum deuense"
1212123,"dispersal appendage","none","Leptospermum deuense"
1212184,"seed shape","ovuloid","Acacia venulosa"
1212184,"seed mass","18.792","Acacia venulosa"
1212184,"dispersal appendage","aril","Acacia venulosa"
1212341,"dispersal appendage","wing","Hakea trifurcata"
1212341,"seed shape","triangular samara","Hakea trifurcata"
1212553,"seed shape","spoon-shaped","Senna planitiicola"
1212561,"seed shape","cuneate","Sida cleisocalyx"
1212561,"dispersal appendage","spines","Sida cleisocalyx"
1212601,"seed mass","36.706","Banksia ornata"
1212939,"seed mass","2.505","Sida cleisocalyx"
1212943,"seed mass","2.492","Sida cleisocalyx"
1212986,"dispersal appendage","none","Eucalyptus croajingolensis"
1212986,"seed shape","sectoroid","Eucalyptus croajingolensis"
1213370,"seed shape","lanceolate samara","Allocasuarina humilis"
1213370,"dispersal appendage","wing","Allocasuarina humilis"
1214363,"seed mass","0.157","Podolepis aristata subsp. affinis"
1214369,"seed mass","0.108","Angianthus tomentosus"
1214417,"seed mass","11.885","Xanthorrhoea "
1215155,"seed shape","flattened disc","Eucalyptus angulosa"
1215155,"dispersal appendage","pseudo-wing","Eucalyptus angulosa"
1215613,"seed shape","sectoroid","Eucalyptus cunninghamii"
1215722,"seed shape","ovuloid","Eucalyptus micranthera"
1215722,"dispersal appendage","none","Eucalyptus micranthera"
1215885,"seed shape","reniform","Bossiaea obcordata"
1215885,"dispersal appendage","aril","Bossiaea obcordata"
1216117,"seed mass","1.035","Allocasuarina portuensis"
1216298,"seed shape","fusiform","Pimelea decora"
1216726,"seed shape","flattened ovuloid to reniform","Solanum hystrix"
1216832,"seed mass","32.832","Alectryon coriaceus"
1216849,"seed shape","spheroid","Syzygium oleosum"
1217140,"dispersal appendage","none","Eucalyptus cooperiana"
1217140,"seed shape","ovoid","Eucalyptus cooperiana"
1217308,"seed shape","ovuloid to rhomboid","Acacia uncinata"
1217308,"dispersal appendage","aril","Acacia uncinata"
1217308,"seed mass","31.2279","Acacia uncinata"
1217547,"seed shape","ovuloid to reniform","Acacia betchei"
1217547,"dispersal appendage","aril","Acacia betchei"
1217706,"seed mass","0.65","Eucalyptus fraseri subsp. fraseri"
1217892,"dispersal appendage","wing","Grevillea whiteana"
1217892,"seed shape","flattened ellipsoid","Grevillea whiteana"
1218159,"seed shape","fusiform","Aster subulatus"
1218159,"dispersal appendage","pappus","Aster subulatus"
1219354,"seed shape","ovuloid","Acacia terminalis"
1219354,"dispersal appendage","aril","Acacia terminalis"
1219773,"seed shape","spheroid","Tasmannia lanceolata"
1220069,"seed mass","3.537","Swainsona laxa"
1220126,"seed mass","3.7872","Kennedia glabrata"
1220308,"seed shape","sectoroid","Melaleuca squarrosa"
1220308,"seed shape","pyramidal","Melaleuca squarrosa"
1220655,"seed mass","3.7735","Xanthostemon oppositifolius"
1220801,"seed shape","ovoid","Maytenus silvestris"
1220807,"seed shape","reniform to irregular","Rhodomyrtus psidioides"
1221377,"seed shape","elongated sectoroid","Leiocarpa brevicompta"
1221377,"dispersal appendage","pappus","Leiocarpa brevicompta"
1221577,"seed mass","0.865","Lepidium oxytrichum"
1222376,"dispersal appendage","aril","Codonocarpus cotinifolius"
1222376,"seed shape","ovuloid","Codonocarpus cotinifolius"
1223035,"seed mass","1.4886","Calotis erinacea"
1223110,"seed mass","4.718","Kennedia glabrata"
1223580,"seed shape","irregular to sectoroid","Cordyline fruticosa"
1224250,"seed mass","18.137","Polyscias elegans"
1225194,"seed mass","0.525","Rutidosis leptorhynchoides"
1225358,"seed mass","0.563","Rutidosis leptorhynchoides"
1225365,"seed mass","3.2618","Swainsona recta"
1225408,"seed mass","0.434","Lepidium ginninderrense"
1225412,"seed mass","1.231","Eucalyptus pauciflora"
1225643,"seed mass","3.126","Casuarina "
1225765,"seed mass","0.676","Pycnosorus pleiocephalus"
1225765,"dispersal appendage","pappus","Pycnosorus pleiocephalus"
1225765,"seed shape","terete","Pycnosorus pleiocephalus"
1226013,"seed mass","4.456","Hybanthus floribundus subsp. floribundus"
1226338,"seed shape","roughly sectoroid","Pittosporum rubiginosum"
1226847,"seed shape","sectoroid","Phyllanthus subcrenulatus"
1226855,"seed shape","curved ovuloid","Acacia mangium"
1226855,"dispersal appendage","aril","Acacia mangium"
1227140,"seed mass","5.1352","Callitris rhomboidea"
1228023,"seed shape","pyramidal","Melaleuca viminea"
1228081,"seed mass","1.72","Eucalyptus multicaulis"
1228086,"seed mass","0.56","Eucalyptus dumosa"
1228139,"seed mass","0.647","Eucalyptus dumosa"
1228175,"seed mass","0.77","Eucalyptus socialis"
1228235,"seed mass","0.596","Eucalyptus incrassata"
1228276,"seed mass","0.208","Eucalyptus gracilis"
1228296,"seed mass","0.186","Eucalyptus largiflorens"
1229712,"seed shape","reniform","Leptosema oxylobioides"
1230595,"seed shape","roughly reniform","Phebalium nottii"
1231065,"dispersal appendage","aril","Acacia doratoxylon"
1231065,"seed shape","elongated ovuloid","Acacia doratoxylon"
1231825,"seed shape","spheroid","Callicarpa pedunculata"
1231921,"seed shape","reniform to rectangular","Boronia anethifolia"
1231921,"dispersal appendage","aril","Boronia anethifolia"
1232094,"seed shape","spheroid","Spartothamnella juncea"
1232164,"seed shape","ovuloid","Tetrastigma nitens"
1232184,"seed shape","sectoroid","Eucalyptus acmenoides"
1232247,"dispersal appendage","none","Eucalyptus microcorys"
1232247,"seed shape","ovoid","Eucalyptus microcorys"
1232247,"seed shape","rectangular","Eucalyptus microcorys"
1232295,"seed shape","pyramidal","Cissus antarctica"
1232385,"seed mass","12.167","Hakea salicifolia subsp. salicifolia"
1232552,"seed shape","flattened ovuloid","Actinotus forsythii"
1232552,"dispersal appendage","hairs","Actinotus forsythii"
1232552,"dispersal appendage","persistent flower parts","Actinotus forsythii"
1232552,"seed mass","0.448","Actinotus forsythii"
1232567,"dispersal appendage","none","Eucalyptus oreades"
1232567,"seed shape","sectoroid","Eucalyptus oreades"
1232940,"seed mass","1.0209","Thomasia petalocalyx"
1233934,"dispersal appendage","aril","Boronia glabra"
1233934,"seed shape","elongated reniform","Boronia glabra"
1234304,"seed shape","reniform","Kennedia procurrens"
1234304,"dispersal appendage","aril","Kennedia procurrens"
1234318,"seed shape","ovuloid hemispherical","Opercularia diphylla"
1234329,"seed shape","ovuloid","Ricinocarpos bowmanii"
1234329,"dispersal appendage","caruncle","Ricinocarpos bowmanii"
1234586,"seed shape","ovuloid","Myoporum montanum"
1234682,"dispersal appendage","strophiole","Philotheca ericifolia"
1234682,"seed shape","reniform","Philotheca ericifolia"
1234814,"seed shape","ovoid to triangular","Solanum vescum"
1235260,"seed shape","flattened ovoid","Atractocarpus fitzalanii"
1235673,"seed mass","9.0097","Acronychia imperforata"
1235673,"seed shape","sectoroid","Acronychia imperforata"
1235855,"dispersal appendage","caruncle","Beyeria viscosa"
1235855,"seed shape","ovuloid","Beyeria viscosa"
1235911,"seed mass","2.42","Stenanthera pinifolia"
1236128,"seed shape","roughly reniform","Pittosporum venulosum"
1236258,"seed shape","roughly reniform","Pittosporum undulatum"
1236346,"seed shape","reniform","Pittosporum spinescens"
1236388,"seed mass","11.886","Acacia gordonii"
1236388,"seed shape","ovoid","Acacia gordonii"
1236388,"dispersal appendage","aril","Acacia gordonii"
1236575,"seed mass","4.41","Gompholobium latifolium"
1236761,"seed shape","roughly sigmoidal","Parsonsia eucalyptophylla"
1236764,"seed shape","cordate","Swainsona galegifolia"
1236771,"seed mass","42.6431","Acacia salicina"
1236839,"seed shape","fusiform","Xyris operculata"
1236839,"seed mass","0.06","Xyris operculata"
1236839,"dispersal appendage","none","Xyris operculata"
1237040,"seed shape","cuneate","Asterolasia hexapetala"
1237242,"seed mass","34.952","Hovea lanceolata"
1237837,"seed shape","roughly rectangular","Phebalium stenophyllum"
1238336,"seed shape","spheroid","Acrotriche rigida"
1238377,"seed shape","teardrop to irregular","Ventilago viminalis"
1238551,"seed shape","sectoroid","Eucalyptus dendromorpha"
1238551,"dispersal appendage","none","Eucalyptus dendromorpha"
1239191,"seed shape","spheroid","Abelmoschus ficulneus"
1239296,"seed mass","32.6628","Neptunia monosperma"
1239330,"seed shape","cordate","Eucalyptus morrisii"
1239330,"seed shape","roughly rectangular","Eucalyptus morrisii"
1239330,"dispersal appendage","none","Eucalyptus morrisii"
1239337,"seed mass","3.3333","Cheiranthera cyanea var. borealis"
1240947,"seed mass","1.157","Commersonia amystia"
1240974,"seed mass","0.89","Commersonia amystia"
1241113,"seed shape","ovoid terete","Ozothamnus eriocephalus"
1241113,"seed mass","0.085","Ozothamnus eriocephalus"
1241504,"seed shape","ovuloid","Bauhinia cunninghamii"
1242356,"seed shape","ovoid","Gahnia aspera"
1242356,"dispersal appendage","spine","Gahnia aspera"
1243272,"seed shape","flattened disc","Polyscias elegans"
1244717,"seed shape","bisected ovoid","Gomphocarpus fruticosus"
1244723,"seed shape","sectoroid","Syzygium paniculatum"
1244738,"seed mass","0.774","Eucalyptus camfieldii"
1245000,"seed mass","1.61","Trachymene composita var. composita"
1245021,"seed mass","3.551","Callitris oblonga subsp. corangensis"
1245021,"seed shape","terete","Callitris oblonga subsp. corangensis"
1245021,"dispersal appendage","wing","Callitris oblonga subsp. corangensis"
1245137,"seed shape","sectoroid","Urena lobata"
1245177,"seed shape","ovuloid","Smilax australis"
1245993,"dispersal appendage","none","Eucalyptus leptophleba"
1245993,"seed shape","teardrop","Eucalyptus leptophleba"
1246687,"seed mass","17.9529","Acacia brunioides subsp. brunioides"
1247425,"seed shape","rectangular","Acacia pravissima"
1247425,"dispersal appendage","aril","Acacia pravissima"
1247425,"seed mass","9.753","Acacia pravissima"
1247469,"seed shape","ovoid to rectangular","Senna aciphylla"
1247503,"seed mass","19.2992","Grevillea iaspicula"
1247538,"seed shape","fusiform","Sambucus gaudichaudiana"
1247559,"seed shape","ovoid","Acacia siculiformis"
1247559,"dispersal appendage","aril","Acacia siculiformis"
1247576,"dispersal appendage","aril","Pomaderris lanigera"
1247576,"seed shape","ovuloid","Pomaderris lanigera"
1247576,"seed mass","1.1375","Pomaderris lanigera"
1248163,"seed mass","0.825","Thomasia solanacea"
1248374,"seed shape","reniform","Mirbelia oxylobioides"
1248665,"seed shape","rectangular","Calothamnus chrysanthereus"
1248839,"seed shape","reniform","Mirbelia platylobioides"
1248910,"seed shape","terete","Olearia megalophylla"
1248910,"dispersal appendage","pappus","Olearia megalophylla"
1249001,"seed shape","ovoid","Coprosma hirtella"
1249138,"seed shape","pyramidal","Melaleuca pauperiflora"
1249339,"seed mass","0.3124","Eucalyptus cadens"
1249388,"seed mass","0.3564","Eucalyptus cadens"
1249388,"seed shape","irregular","Eucalyptus cadens"
1249580,"seed mass","0.2024","Eucalyptus cadens"
1249585,"dispersal appendage","wing","Hakea ulicina"
1249585,"seed mass","7.2","Hakea ulicina"
1249585,"seed shape","semi-circular","Hakea ulicina"
1250850,"seed shape","pyramidal","Melaleuca spicigera"
1250978,"seed shape","cuneate","Calothamnus rupestris"
1251075,"seed shape","roughly sectoroid","Melaleuca systena"
1251274,"seed mass","17.562","Xanthorrhoea glauca subsp. glauca"
1253795,"dispersal appendage","none","Solanum ditrichum"
1253795,"seed shape","reniform","Solanum ditrichum"
1253906,"seed mass","4.9083","Calytrix desolata"
1254410,"seed mass","16","Elaeodendron australe var. australe"
1254424,"seed mass","6.2037","Gossypium sturtianum"
1254452,"dispersal appendage","hairs","Gossypium australe"
1254452,"seed mass","7.5652","Gossypium australe"
1254452,"seed shape","lanceolate","Gossypium australe"
1254467,"seed mass","10.9862","Gossypium australe"
1254474,"seed mass","9.0625","Gossypium sturtianum"
1254474,"dispersal appendage","hairs","Gossypium sturtianum"
1254583,"seed shape","ovoid","Persoonia acerosa"
1254604,"seed mass","22.566","Acacia terminalis"
1254635,"seed mass","0.347","Eucalyptus yilgarnensis"
1255630,"seed mass","18.031","Lomandra spicata"
1256260,"seed shape","ovuloid","Hovea rosmarinifolia"
1256260,"dispersal appendage","aril","Hovea rosmarinifolia"
1256276,"seed shape","ovoid","Persoonia asperula"
1256285,"dispersal appendage","spines","Calotis lappulacea"
1256285,"seed shape","pyramidal","Calotis lappulacea"
1256367,"seed mass","0.5608","Leucochrysum albicans var. tricolor"
1256443,"seed shape","sectoroid","Lomandra patens"
1256938,"seed shape","sectoroid","Eucalyptus apiculata"
1257218,"dispersal appendage","caruncle","Toechima tenax"
1257218,"seed shape","ovuloid","Toechima tenax"
1257778,"seed shape","ovuloid","Toechima dasyrrhache"
1258274,"seed shape","sectoroid","Eucalyptus coccifera"
1258274,"seed shape","pyramidal","Eucalyptus coccifera"
1258334,"seed shape","falcate","Leptospermum lanigerum"
1258334,"seed mass","0.25","Leptospermum lanigerum"
1258334,"seed shape","terete","Leptospermum lanigerum"
1258334,"dispersal appendage","none","Leptospermum lanigerum"
1258400,"seed mass","1.78","Allocasuarina glareicola"
1258640,"seed mass","1.592","Pultenaea villosa"
1258655,"seed shape","fusiform samara","Hakea eriantha"
1258655,"dispersal appendage","wing","Hakea eriantha"
1258662,"dispersal appendage","none","Leptospermum thompsonii"
1258662,"seed shape","falcate to sinusoid","Leptospermum thompsonii"
1258893,"seed mass","11.185","Platylobium formosum"
1258987,"seed mass","7.3294","Daviesia ulicifolia subsp. ulicifolia"
1259090,"dispersal appendage","pappus","Olearia flocktoniae"
1259090,"seed shape","flattened ovuloid","Olearia flocktoniae"
1259951,"seed shape","elongated fusiform","Erigeron bellidioides"
1259951,"seed shape","flattened teardrop","Erigeron bellidioides"
1259951,"dispersal appendage","pappus","Erigeron bellidioides"
1260146,"seed mass","2.612","Pultenaea setulosa"
1260146,"dispersal appendage","aril","Pultenaea setulosa"
1260146,"seed shape","ovoid","Pultenaea setulosa"
1260407,"seed mass","1.012","Ammobium craspedioides"
1260812,"seed mass","9.16","Gahnia subaequiglumis"
1260916,"seed mass","11.613","Acacia dealbata"
1260923,"seed mass","10.282","Acacia dealbata"
1260923,"seed mass","10.282","Acacia dealbata"
1260930,"seed mass","22.8343","Acacia rubida"
1261942,"seed mass","3.4176","Xanthostemon oppositifolius"
1262219,"seed mass","0.1504","Barbarea australis"
1262396,"seed shape","ovoid","Hovea acutifolia"
1262396,"dispersal appendage","aril","Hovea acutifolia"
1262960,"seed mass","2.6612","Allocasuarina emuina"
1263634,"seed shape","globose","Geijera salicifolia"
1264179,"seed mass","3.468","Isopogon anethifolius"
1264195,"seed shape","conical","Conospermum taxifolium"
1264195,"dispersal appendage","bristles","Conospermum taxifolium"
1264382,"seed mass","3.72","Petrophile sessilis"
1264461,"seed shape","sectoroid","Jacquemontia paniculata"
1264737,"seed shape","lanceolate samara","Allocasuarina rupicola"
1264737,"dispersal appendage","wing","Allocasuarina rupicola"
1264765,"dispersal appendage","hairs","Isopogon anethifolius"
1264765,"seed mass","3.46","Isopogon anethifolius"
1264765,"seed shape","pyramidal","Isopogon anethifolius"
1264893,"seed mass","1.4092","Thysanotus juncifolius"
1264893,"seed shape","flattened ovoid","Thysanotus juncifolius"
1264893,"dispersal appendage","aril","Thysanotus juncifolius"
1265207,"seed shape","ovoid","Petalostylis labicheoides"
1265207,"seed mass","14.261","Petalostylis labicheoides"
1265207,"dispersal appendage","aril","Petalostylis labicheoides"
1265225,"seed mass","12.9917","Petalostylis labicheoides"
1266023,"seed mass","19.873","Homalanthus populifolius"
1266026,"seed shape","cordate","Swainsona leeana"
1266030,"seed mass","24.998","Homalanthus populifolius"
1266615,"seed mass","2.3256","Mirbelia dilatata"
1267022,"seed shape","samara","Hakea macraeana"
