species_name,species_name_current,photosynthetic pathway,Authority,k=Kranz n=non-Kranz,d13C value,d13C_replicates,Other evidence,Reference,genus_name,Species sampled,Notes,excluded_names
Aristida vagans,Aristida vagans,c4,Aristida L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Cerros-Tlatilpa & Columbus (2009),Aristida,"Aristida adscensionis L., Aristida aemulans Melderis, Aristida brainii Melderis, Aristida congesta Roem. & Schult., Aristida caput-medusae Domin, Aristida hordeacea Kunth, Aristida kenyensis Henr., Aristida longifolia Trin., Aristida meridionalis Henr., Aristida ramosa R. Br., Aristida rhiniochloa Hochst., Aristida scabrivalvis Hack., Aristida setacea Retz., Aristida sieberiana Trin. (=Aristida longiflora Schumach. & Thonn.), Aristida stipitata Hack., Aristida vestita Thunb., Aristida pungens Desf. (Stipagrostis)",A. longifolia: has non-Kranz leaf anatomy; Metcalfe (1960) lists broad surveys of the genus in the older literature.,
Aristida vickeryae,Aristida vickeryae,c4,Aristida L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Cerros-Tlatilpa & Columbus (2009),Aristida,"Aristida adscensionis L., Aristida aemulans Melderis, Aristida brainii Melderis, Aristida congesta Roem. & Schult., Aristida caput-medusae Domin, Aristida hordeacea Kunth, Aristida kenyensis Henr., Aristida longifolia Trin., Aristida meridionalis Henr., Aristida ramosa R. Br., Aristida rhiniochloa Hochst., Aristida scabrivalvis Hack., Aristida setacea Retz., Aristida sieberiana Trin. (=Aristida longiflora Schumach. & Thonn.), Aristida stipitata Hack., Aristida vestita Thunb., Aristida pungens Desf. (Stipagrostis)",A. longifolia: has non-Kranz leaf anatomy; Metcalfe (1960) lists broad surveys of the genus in the older literature.,
Aristida warburgii,Aristida warburgii,c4,Aristida L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Cerros-Tlatilpa & Columbus (2009),Aristida,"Aristida adscensionis L., Aristida aemulans Melderis, Aristida brainii Melderis, Aristida congesta Roem. & Schult., Aristida caput-medusae Domin, Aristida hordeacea Kunth, Aristida kenyensis Henr., Aristida longifolia Trin., Aristida meridionalis Henr., Aristida ramosa R. Br., Aristida rhiniochloa Hochst., Aristida scabrivalvis Hack., Aristida setacea Retz., Aristida sieberiana Trin. (=Aristida longiflora Schumach. & Thonn.), Aristida stipitata Hack., Aristida vestita Thunb., Aristida pungens Desf. (Stipagrostis)",A. longifolia: has non-Kranz leaf anatomy; Metcalfe (1960) lists broad surveys of the genus in the older literature.,
Arthragrostis aristispicula,Arthragrostis aristispicula,c4,Arthragrostis Lazarides,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Arthragrostis,"Arthragrostis aristispicula B.K. Simon, Arthragrostis deschampsioides (Domin) Lazarides",NA,
Arthragrostis brassiana,Arthragrostis brassiana,c4,Arthragrostis Lazarides,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Arthragrostis,"Arthragrostis aristispicula B.K. Simon, Arthragrostis deschampsioides (Domin) Lazarides",NA,
Arthragrostis brassiana var. brassiana,Arthragrostis brassiana var. brassiana,c4,Arthragrostis Lazarides,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Arthragrostis,"Arthragrostis aristispicula B.K. Simon, Arthragrostis deschampsioides (Domin) Lazarides",NA,
Arthragrostis brassiana var. minutiflora,Arthragrostis brassiana var. minutiflora,c4,Arthragrostis Lazarides,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Arthragrostis,"Arthragrostis aristispicula B.K. Simon, Arthragrostis deschampsioides (Domin) Lazarides",NA,
Arthragrostis clarksoniana,Arthragrostis clarksoniana,c4,Arthragrostis Lazarides,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Arthragrostis,"Arthragrostis aristispicula B.K. Simon, Arthragrostis deschampsioides (Domin) Lazarides",NA,
Arthragrostis deschampsioides,Arthragrostis deschampsioides,c4,Arthragrostis Lazarides,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Arthragrostis,"Arthragrostis aristispicula B.K. Simon, Arthragrostis deschampsioides (Domin) Lazarides",NA,
Arthraxon castratu,Arthraxon castratu,c4,Arthraxon Beauv.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Arthraxon,Arthraxon hispidus (Thunb.) Makino,NA,
Arthraxon hispidus,Arthraxon hispidus,c4,Arthraxon Beauv.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Arthraxon,Arthraxon hispidus (Thunb.) Makino,NA,
Arundinella grevillensis,Arundinella grevillensis,c3,Arundinella Raddi,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Arundinella,"Arundinella metzii Hochst. ex Miq., Arundinella nepalensis Trin, Arundinella villosa Arn. ex Steud.",NA,
Arundinella montana,Arundinella montana,c3,Arundinella Raddi,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Arundinella,"Arundinella metzii Hochst. ex Miq., Arundinella nepalensis Trin, Arundinella villosa Arn. ex Steud.",NA,
Arundinella nepalensis,Arundinella nepalensis,c3,Arundinella Raddi,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Arundinella,"Arundinella metzii Hochst. ex Miq., Arundinella nepalensis Trin, Arundinella villosa Arn. ex Steud.",NA,
Arundinella setosa,Arundinella setosa,c3,Arundinella Raddi,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Arundinella,"Arundinella metzii Hochst. ex Miq., Arundinella nepalensis Trin, Arundinella villosa Arn. ex Steud.",NA,
Astrebla elymoides,Astrebla elymoides,c4,Astrebla F.Muell.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Astrebla,"Astrebla pectinata (Lindl.) F. Muell. ex Benth., Astrebla squarrosa C.E.Hubb.",NA,
Astrebla lappacea,Astrebla lappacea,c4,Astrebla F.Muell.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Astrebla,"Astrebla pectinata (Lindl.) F. Muell. ex Benth., Astrebla squarrosa C.E.Hubb.",NA,
Astrebla pectinata,Astrebla pectinata,c4,Astrebla F.Muell.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Astrebla,"Astrebla pectinata (Lindl.) F. Muell. ex Benth., Astrebla squarrosa C.E.Hubb.",NA,
Astrebla squarrosa,Astrebla squarrosa,c4,Astrebla F.Muell.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Astrebla,"Astrebla pectinata (Lindl.) F. Muell. ex Benth., Astrebla squarrosa C.E.Hubb.",NA,
Australopyrum pectinatum,Australopyrum pectinatum,C3,NA,NA,NA,,NA,NA,Australopyrum,NA,NA,
Australopyrum retrofractum,Australopyrum retrofractum,C3,NA,NA,NA,,NA,NA,Australopyrum,NA,NA,
Agropyron velutinum,Australopyrum velutinum,C3,Agropyron Gaertn.,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Agropyron,"Agropyron cristatum (L.) J. Gaertner, Agropyron - laxum (Fr.) Tutin (Elymus), Agropyron caninum (L.) P.Beauv (Elymus), Agropyron elongatum (Host) P.Beauv. (Elymus), Agropyron intermedium (Host) P. Beauv. (Elymus), Agropyron scabrum (R.Br.) P.Beauv. (Elymus)",NA,
Austrochloris dichanthioides,Austrochloris dichanthioides,C4,Austrochloris Lazarides,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Austrochloris,Austrochloris dichanthoides (Everist) Lazarides,NA,
Austrofestuca littoralis,Austrofestuca littoralis,C3,Austrofestuca Alexeev,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Austrofestuca,Austrofestuca littoralis (Labill.) A. Alexeev,NA,
Stipa aquarii,Austrostipa aquarii,C3,Stipa L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Stipa,"Stipa aristiglumis F. Muell. (Austrostipa), Stipa bigeniculata Hughes (Austrostipa), Stipa blackii Hubbard (Austrostipa), Stipa columbiana Maccun (Achnatherum), Stipa comata Trin. & Rupr. (Hesperostipa), Stipa densiflora Hughes (Austrostipa), Stipa elegantissima Labill. (Austrostipa), Stipa falcata Hughes (Austrostipa), Stipa falcata scabra (Austrostipa), Stipa filiculmis Delile (Nassella), Stipa filifolia Nees (Achnatherum), Stipa gigantea Link (Achnatherum?), Stipa hookeri Stapf (=Trikeraia hookeri (Stapf) Bor), Stipa ichu Kunth (Jarava), Stipa leucotricha Trin. & Rupr. (Nassella), Stipa neomexicana (Thurb.) Scribn. (Ptilagrostis), Stipa nervosa Vickery (Austrostipa), Stipa pubescens R. Br. (Austrostipa), Stipa ramosissima (Trin.) Trin. (Austrostipa), Stipa teretifolia Steudel. (= stipoides, Austrostipa), Stipa verticillata Nees & Sprengel (Austrostipa), Stipa calamagrostis (L.) Wahlenb., Stipa dregeana Steud., Stipa hyalina Nees, Stipa pennata L., Stipa splendens Trin., Stipa tenacissima L., Stipa hookeri Stapf (Trikeraia)",NA,
Stipa aristiglumis,Austrostipa aristiglumis,C3,Stipa L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Stipa,"Stipa aristiglumis F. Muell. (Austrostipa), Stipa bigeniculata Hughes (Austrostipa), Stipa blackii Hubbard (Austrostipa), Stipa columbiana Maccun (Achnatherum), Stipa comata Trin. & Rupr. (Hesperostipa), Stipa densiflora Hughes (Austrostipa), Stipa elegantissima Labill. (Austrostipa), Stipa falcata Hughes (Austrostipa), Stipa falcata scabra (Austrostipa), Stipa filiculmis Delile (Nassella), Stipa filifolia Nees (Achnatherum), Stipa gigantea Link (Achnatherum?), Stipa hookeri Stapf (=Trikeraia hookeri (Stapf) Bor), Stipa ichu Kunth (Jarava), Stipa leucotricha Trin. & Rupr. (Nassella), Stipa neomexicana (Thurb.) Scribn. (Ptilagrostis), Stipa nervosa Vickery (Austrostipa), Stipa pubescens R. Br. (Austrostipa), Stipa ramosissima (Trin.) Trin. (Austrostipa), Stipa teretifolia Steudel. (= stipoides, Austrostipa), Stipa verticillata Nees & Sprengel (Austrostipa), Stipa calamagrostis (L.) Wahlenb., Stipa dregeana Steud., Stipa hyalina Nees, Stipa pennata L., Stipa splendens Trin., Stipa tenacissima L., Stipa hookeri Stapf (Trikeraia)",NA,
Stipa bigeniculata,Austrostipa bigeniculata,C3,Stipa L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Stipa,"Stipa aristiglumis F. Muell. (Austrostipa), Stipa bigeniculata Hughes (Austrostipa), Stipa blackii Hubbard (Austrostipa), Stipa columbiana Maccun (Achnatherum), Stipa comata Trin. & Rupr. (Hesperostipa), Stipa densiflora Hughes (Austrostipa), Stipa elegantissima Labill. (Austrostipa), Stipa falcata Hughes (Austrostipa), Stipa falcata scabra (Austrostipa), Stipa filiculmis Delile (Nassella), Stipa filifolia Nees (Achnatherum), Stipa gigantea Link (Achnatherum?), Stipa hookeri Stapf (=Trikeraia hookeri (Stapf) Bor), Stipa ichu Kunth (Jarava), Stipa leucotricha Trin. & Rupr. (Nassella), Stipa neomexicana (Thurb.) Scribn. (Ptilagrostis), Stipa nervosa Vickery (Austrostipa), Stipa pubescens R. Br. (Austrostipa), Stipa ramosissima (Trin.) Trin. (Austrostipa), Stipa teretifolia Steudel. (= stipoides, Austrostipa), Stipa verticillata Nees & Sprengel (Austrostipa), Stipa calamagrostis (L.) Wahlenb., Stipa dregeana Steud., Stipa hyalina Nees, Stipa pennata L., Stipa splendens Trin., Stipa tenacissima L., Stipa hookeri Stapf (Trikeraia)",NA,
Stipa blackii,Austrostipa blackii,C3,Stipa L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Stipa,"Stipa aristiglumis F. Muell. (Austrostipa), Stipa bigeniculata Hughes (Austrostipa), Stipa blackii Hubbard (Austrostipa), Stipa columbiana Maccun (Achnatherum), Stipa comata Trin. & Rupr. (Hesperostipa), Stipa densiflora Hughes (Austrostipa), Stipa elegantissima Labill. (Austrostipa), Stipa falcata Hughes (Austrostipa), Stipa falcata scabra (Austrostipa), Stipa filiculmis Delile (Nassella), Stipa filifolia Nees (Achnatherum), Stipa gigantea Link (Achnatherum?), Stipa hookeri Stapf (=Trikeraia hookeri (Stapf) Bor), Stipa ichu Kunth (Jarava), Stipa leucotricha Trin. & Rupr. (Nassella), Stipa neomexicana (Thurb.) Scribn. (Ptilagrostis), Stipa nervosa Vickery (Austrostipa), Stipa pubescens R. Br. (Austrostipa), Stipa ramosissima (Trin.) Trin. (Austrostipa), Stipa teretifolia Steudel. (= stipoides, Austrostipa), Stipa verticillata Nees & Sprengel (Austrostipa), Stipa calamagrostis (L.) Wahlenb., Stipa dregeana Steud., Stipa hyalina Nees, Stipa pennata L., Stipa splendens Trin., Stipa tenacissima L., Stipa hookeri Stapf (Trikeraia)",NA,
Stipa blakei,Austrostipa blakei,C3,Stipa L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Stipa,"Stipa aristiglumis F. Muell. (Austrostipa), Stipa bigeniculata Hughes (Austrostipa), Stipa blackii Hubbard (Austrostipa), Stipa columbiana Maccun (Achnatherum), Stipa comata Trin. & Rupr. (Hesperostipa), Stipa densiflora Hughes (Austrostipa), Stipa elegantissima Labill. (Austrostipa), Stipa falcata Hughes (Austrostipa), Stipa falcata scabra (Austrostipa), Stipa filiculmis Delile (Nassella), Stipa filifolia Nees (Achnatherum), Stipa gigantea Link (Achnatherum?), Stipa hookeri Stapf (=Trikeraia hookeri (Stapf) Bor), Stipa ichu Kunth (Jarava), Stipa leucotricha Trin. & Rupr. (Nassella), Stipa neomexicana (Thurb.) Scribn. (Ptilagrostis), Stipa nervosa Vickery (Austrostipa), Stipa pubescens R. Br. (Austrostipa), Stipa ramosissima (Trin.) Trin. (Austrostipa), Stipa teretifolia Steudel. (= stipoides, Austrostipa), Stipa verticillata Nees & Sprengel (Austrostipa), Stipa calamagrostis (L.) Wahlenb., Stipa dregeana Steud., Stipa hyalina Nees, Stipa pennata L., Stipa splendens Trin., Stipa tenacissima L., Stipa hookeri Stapf (Trikeraia)",NA,
Stipa breviglumis,Austrostipa breviglumis,C3,Stipa L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Stipa,"Stipa aristiglumis F. Muell. (Austrostipa), Stipa bigeniculata Hughes (Austrostipa), Stipa blackii Hubbard (Austrostipa), Stipa columbiana Maccun (Achnatherum), Stipa comata Trin. & Rupr. (Hesperostipa), Stipa densiflora Hughes (Austrostipa), Stipa elegantissima Labill. (Austrostipa), Stipa falcata Hughes (Austrostipa), Stipa falcata scabra (Austrostipa), Stipa filiculmis Delile (Nassella), Stipa filifolia Nees (Achnatherum), Stipa gigantea Link (Achnatherum?), Stipa hookeri Stapf (=Trikeraia hookeri (Stapf) Bor), Stipa ichu Kunth (Jarava), Stipa leucotricha Trin. & Rupr. (Nassella), Stipa neomexicana (Thurb.) Scribn. (Ptilagrostis), Stipa nervosa Vickery (Austrostipa), Stipa pubescens R. Br. (Austrostipa), Stipa ramosissima (Trin.) Trin. (Austrostipa), Stipa teretifolia Steudel. (= stipoides, Austrostipa), Stipa verticillata Nees & Sprengel (Austrostipa), Stipa calamagrostis (L.) Wahlenb., Stipa dregeana Steud., Stipa hyalina Nees, Stipa pennata L., Stipa splendens Trin., Stipa tenacissima L., Stipa hookeri Stapf (Trikeraia)",NA,
Stipa campylachne,Austrostipa campylachne,C3,Stipa L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Stipa,"Stipa aristiglumis F. Muell. (Austrostipa), Stipa bigeniculata Hughes (Austrostipa), Stipa blackii Hubbard (Austrostipa), Stipa columbiana Maccun (Achnatherum), Stipa comata Trin. & Rupr. (Hesperostipa), Stipa densiflora Hughes (Austrostipa), Stipa elegantissima Labill. (Austrostipa), Stipa falcata Hughes (Austrostipa), Stipa falcata scabra (Austrostipa), Stipa filiculmis Delile (Nassella), Stipa filifolia Nees (Achnatherum), Stipa gigantea Link (Achnatherum?), Stipa hookeri Stapf (=Trikeraia hookeri (Stapf) Bor), Stipa ichu Kunth (Jarava), Stipa leucotricha Trin. & Rupr. (Nassella), Stipa neomexicana (Thurb.) Scribn. (Ptilagrostis), Stipa nervosa Vickery (Austrostipa), Stipa pubescens R. Br. (Austrostipa), Stipa ramosissima (Trin.) Trin. (Austrostipa), Stipa teretifolia Steudel. (= stipoides, Austrostipa), Stipa verticillata Nees & Sprengel (Austrostipa), Stipa calamagrostis (L.) Wahlenb., Stipa dregeana Steud., Stipa hyalina Nees, Stipa pennata L., Stipa splendens Trin., Stipa tenacissima L., Stipa hookeri Stapf (Trikeraia)",NA,
Stipa centralis,Austrostipa centralis,C3,Stipa L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Stipa,"Stipa aristiglumis F. Muell. (Austrostipa), Stipa bigeniculata Hughes (Austrostipa), Stipa blackii Hubbard (Austrostipa), Stipa columbiana Maccun (Achnatherum), Stipa comata Trin. & Rupr. (Hesperostipa), Stipa densiflora Hughes (Austrostipa), Stipa elegantissima Labill. (Austrostipa), Stipa falcata Hughes (Austrostipa), Stipa falcata scabra (Austrostipa), Stipa filiculmis Delile (Nassella), Stipa filifolia Nees (Achnatherum), Stipa gigantea Link (Achnatherum?), Stipa hookeri Stapf (=Trikeraia hookeri (Stapf) Bor), Stipa ichu Kunth (Jarava), Stipa leucotricha Trin. & Rupr. (Nassella), Stipa neomexicana (Thurb.) Scribn. (Ptilagrostis), Stipa nervosa Vickery (Austrostipa), Stipa pubescens R. Br. (Austrostipa), Stipa ramosissima (Trin.) Trin. (Austrostipa), Stipa teretifolia Steudel. (= stipoides, Austrostipa), Stipa verticillata Nees & Sprengel (Austrostipa), Stipa calamagrostis (L.) Wahlenb., Stipa dregeana Steud., Stipa hyalina Nees, Stipa pennata L., Stipa splendens Trin., Stipa tenacissima L., Stipa hookeri Stapf (Trikeraia)",NA,
Stipa compressa,Austrostipa compressa,C3,Stipa L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Stipa,"Stipa aristiglumis F. Muell. (Austrostipa), Stipa bigeniculata Hughes (Austrostipa), Stipa blackii Hubbard (Austrostipa), Stipa columbiana Maccun (Achnatherum), Stipa comata Trin. & Rupr. (Hesperostipa), Stipa densiflora Hughes (Austrostipa), Stipa elegantissima Labill. (Austrostipa), Stipa falcata Hughes (Austrostipa), Stipa falcata scabra (Austrostipa), Stipa filiculmis Delile (Nassella), Stipa filifolia Nees (Achnatherum), Stipa gigantea Link (Achnatherum?), Stipa hookeri Stapf (=Trikeraia hookeri (Stapf) Bor), Stipa ichu Kunth (Jarava), Stipa leucotricha Trin. & Rupr. (Nassella), Stipa neomexicana (Thurb.) Scribn. (Ptilagrostis), Stipa nervosa Vickery (Austrostipa), Stipa pubescens R. Br. (Austrostipa), Stipa ramosissima (Trin.) Trin. (Austrostipa), Stipa teretifolia Steudel. (= stipoides, Austrostipa), Stipa verticillata Nees & Sprengel (Austrostipa), Stipa calamagrostis (L.) Wahlenb., Stipa dregeana Steud., Stipa hyalina Nees, Stipa pennata L., Stipa splendens Trin., Stipa tenacissima L., Stipa hookeri Stapf (Trikeraia)",NA,
Stipa crinita,Austrostipa crinita,C3,Stipa L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Stipa,"Stipa aristiglumis F. Muell. (Austrostipa), Stipa bigeniculata Hughes (Austrostipa), Stipa blackii Hubbard (Austrostipa), Stipa columbiana Maccun (Achnatherum), Stipa comata Trin. & Rupr. (Hesperostipa), Stipa densiflora Hughes (Austrostipa), Stipa elegantissima Labill. (Austrostipa), Stipa falcata Hughes (Austrostipa), Stipa falcata scabra (Austrostipa), Stipa filiculmis Delile (Nassella), Stipa filifolia Nees (Achnatherum), Stipa gigantea Link (Achnatherum?), Stipa hookeri Stapf (=Trikeraia hookeri (Stapf) Bor), Stipa ichu Kunth (Jarava), Stipa leucotricha Trin. & Rupr. (Nassella), Stipa neomexicana (Thurb.) Scribn. (Ptilagrostis), Stipa nervosa Vickery (Austrostipa), Stipa pubescens R. Br. (Austrostipa), Stipa ramosissima (Trin.) Trin. (Austrostipa), Stipa teretifolia Steudel. (= stipoides, Austrostipa), Stipa verticillata Nees & Sprengel (Austrostipa), Stipa calamagrostis (L.) Wahlenb., Stipa dregeana Steud., Stipa hyalina Nees, Stipa pennata L., Stipa splendens Trin., Stipa tenacissima L., Stipa hookeri Stapf (Trikeraia)",NA,
Stipa curticoma,Austrostipa curticoma,C3,Stipa L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Stipa,"Stipa aristiglumis F. Muell. (Austrostipa), Stipa bigeniculata Hughes (Austrostipa), Stipa blackii Hubbard (Austrostipa), Stipa columbiana Maccun (Achnatherum), Stipa comata Trin. & Rupr. (Hesperostipa), Stipa densiflora Hughes (Austrostipa), Stipa elegantissima Labill. (Austrostipa), Stipa falcata Hughes (Austrostipa), Stipa falcata scabra (Austrostipa), Stipa filiculmis Delile (Nassella), Stipa filifolia Nees (Achnatherum), Stipa gigantea Link (Achnatherum?), Stipa hookeri Stapf (=Trikeraia hookeri (Stapf) Bor), Stipa ichu Kunth (Jarava), Stipa leucotricha Trin. & Rupr. (Nassella), Stipa neomexicana (Thurb.) Scribn. (Ptilagrostis), Stipa nervosa Vickery (Austrostipa), Stipa pubescens R. Br. (Austrostipa), Stipa ramosissima (Trin.) Trin. (Austrostipa), Stipa teretifolia Steudel. (= stipoides, Austrostipa), Stipa verticillata Nees & Sprengel (Austrostipa), Stipa calamagrostis (L.) Wahlenb., Stipa dregeana Steud., Stipa hyalina Nees, Stipa pennata L., Stipa splendens Trin., Stipa tenacissima L., Stipa hookeri Stapf (Trikeraia)",NA,
Stipa densiflora,Austrostipa densiflora,C3,Stipa L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Stipa,"Stipa aristiglumis F. Muell. (Austrostipa), Stipa bigeniculata Hughes (Austrostipa), Stipa blackii Hubbard (Austrostipa), Stipa columbiana Maccun (Achnatherum), Stipa comata Trin. & Rupr. (Hesperostipa), Stipa densiflora Hughes (Austrostipa), Stipa elegantissima Labill. (Austrostipa), Stipa falcata Hughes (Austrostipa), Stipa falcata scabra (Austrostipa), Stipa filiculmis Delile (Nassella), Stipa filifolia Nees (Achnatherum), Stipa gigantea Link (Achnatherum?), Stipa hookeri Stapf (=Trikeraia hookeri (Stapf) Bor), Stipa ichu Kunth (Jarava), Stipa leucotricha Trin. & Rupr. (Nassella), Stipa neomexicana (Thurb.) Scribn. (Ptilagrostis), Stipa nervosa Vickery (Austrostipa), Stipa pubescens R. Br. (Austrostipa), Stipa ramosissima (Trin.) Trin. (Austrostipa), Stipa teretifolia Steudel. (= stipoides, Austrostipa), Stipa verticillata Nees & Sprengel (Austrostipa), Stipa calamagrostis (L.) Wahlenb., Stipa dregeana Steud., Stipa hyalina Nees, Stipa pennata L., Stipa splendens Trin., Stipa tenacissima L., Stipa hookeri Stapf (Trikeraia)",NA,
Stipa dongicola,Austrostipa dongicola,C3,Stipa L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Stipa,"Stipa aristiglumis F. Muell. (Austrostipa), Stipa bigeniculata Hughes (Austrostipa), Stipa blackii Hubbard (Austrostipa), Stipa columbiana Maccun (Achnatherum), Stipa comata Trin. & Rupr. (Hesperostipa), Stipa densiflora Hughes (Austrostipa), Stipa elegantissima Labill. (Austrostipa), Stipa falcata Hughes (Austrostipa), Stipa falcata scabra (Austrostipa), Stipa filiculmis Delile (Nassella), Stipa filifolia Nees (Achnatherum), Stipa gigantea Link (Achnatherum?), Stipa hookeri Stapf (=Trikeraia hookeri (Stapf) Bor), Stipa ichu Kunth (Jarava), Stipa leucotricha Trin. & Rupr. (Nassella), Stipa neomexicana (Thurb.) Scribn. (Ptilagrostis), Stipa nervosa Vickery (Austrostipa), Stipa pubescens R. Br. (Austrostipa), Stipa ramosissima (Trin.) Trin. (Austrostipa), Stipa teretifolia Steudel. (= stipoides, Austrostipa), Stipa verticillata Nees & Sprengel (Austrostipa), Stipa calamagrostis (L.) Wahlenb., Stipa dregeana Steud., Stipa hyalina Nees, Stipa pennata L., Stipa splendens Trin., Stipa tenacissima L., Stipa hookeri Stapf (Trikeraia)",NA,
Stipa drummondii,Austrostipa drummondii,C3,Stipa L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Stipa,"Stipa aristiglumis F. Muell. (Austrostipa), Stipa bigeniculata Hughes (Austrostipa), Stipa blackii Hubbard (Austrostipa), Stipa columbiana Maccun (Achnatherum), Stipa comata Trin. & Rupr. (Hesperostipa), Stipa densiflora Hughes (Austrostipa), Stipa elegantissima Labill. (Austrostipa), Stipa falcata Hughes (Austrostipa), Stipa falcata scabra (Austrostipa), Stipa filiculmis Delile (Nassella), Stipa filifolia Nees (Achnatherum), Stipa gigantea Link (Achnatherum?), Stipa hookeri Stapf (=Trikeraia hookeri (Stapf) Bor), Stipa ichu Kunth (Jarava), Stipa leucotricha Trin. & Rupr. (Nassella), Stipa neomexicana (Thurb.) Scribn. (Ptilagrostis), Stipa nervosa Vickery (Austrostipa), Stipa pubescens R. Br. (Austrostipa), Stipa ramosissima (Trin.) Trin. (Austrostipa), Stipa teretifolia Steudel. (= stipoides, Austrostipa), Stipa verticillata Nees & Sprengel (Austrostipa), Stipa calamagrostis (L.) Wahlenb., Stipa dregeana Steud., Stipa hyalina Nees, Stipa pennata L., Stipa splendens Trin., Stipa tenacissima L., Stipa hookeri Stapf (Trikeraia)",NA,
Stipa echinata,Austrostipa echinata,C3,Stipa L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Stipa,"Stipa aristiglumis F. Muell. (Austrostipa), Stipa bigeniculata Hughes (Austrostipa), Stipa blackii Hubbard (Austrostipa), Stipa columbiana Maccun (Achnatherum), Stipa comata Trin. & Rupr. (Hesperostipa), Stipa densiflora Hughes (Austrostipa), Stipa elegantissima Labill. (Austrostipa), Stipa falcata Hughes (Austrostipa), Stipa falcata scabra (Austrostipa), Stipa filiculmis Delile (Nassella), Stipa filifolia Nees (Achnatherum), Stipa gigantea Link (Achnatherum?), Stipa hookeri Stapf (=Trikeraia hookeri (Stapf) Bor), Stipa ichu Kunth (Jarava), Stipa leucotricha Trin. & Rupr. (Nassella), Stipa neomexicana (Thurb.) Scribn. (Ptilagrostis), Stipa nervosa Vickery (Austrostipa), Stipa pubescens R. Br. (Austrostipa), Stipa ramosissima (Trin.) Trin. (Austrostipa), Stipa teretifolia Steudel. (= stipoides, Austrostipa), Stipa verticillata Nees & Sprengel (Austrostipa), Stipa calamagrostis (L.) Wahlenb., Stipa dregeana Steud., Stipa hyalina Nees, Stipa pennata L., Stipa splendens Trin., Stipa tenacissima L., Stipa hookeri Stapf (Trikeraia)",NA,
