Species,Modern/Historic,Date Collected,Latitude (deg min sec S/N),Longitude (deg min sec E/W),latitude (deg),longitude (deg),site,Replicate,Seed Length (mm),Seed Width (mm),Seed Depth (mm) ,Length transformed,Width transformed,Depth transformed,Sum,Variance
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,48,4.93,3.75,1.53,1,0.760649087,0.310344828,10.21,0.081743005
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,49,5.38,3.54,1.61,1,0.657992565,0.299256506,10.53,0.081855788
Acacia brachybotrya,Historic,11/27/1985,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,50,5.26,3.42,1.49,1,0.650190114,0.283269962,10.17,0.085633256
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,1,4.87,3.23,1.65,1,0.663244353,0.338809035,9.75,0.072870682
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,2,4.53,3.28,1.67,1,0.72406181,0.368653422,9.48,0.066783945
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,3,5.4,3.5,1.86,1,0.648148148,0.344444444,10.76,0.071754306
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,4,5.3,3.59,1.71,1,0.677358491,0.322641509,10.6,0.076526245
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,5,4.74,3.11,1.72,1,0.656118143,0.362869198,9.57,0.06779837
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,6,5.24,3.73,1.85,1,0.711832061,0.353053435,10.82,0.070033636
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,7,4.67,3.35,1.67,1,0.717344754,0.357601713,9.69,0.0691094
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,8,4.66,3.17,1.57,1,0.680257511,0.336909871,9.4,0.073312376
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,9,5.26,3.31,1.84,1,0.629277567,0.349809886,10.41,0.070920499
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,10,4.98,3.37,1.71,1,0.676706827,0.343373494,10.06,0.071865328
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,11,5.13,3.25,1.64,1,0.633528265,0.319688109,10.02,0.077291272
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,12,4.13,3.3,1.79,1,0.799031477,0.433414044,9.22,0.055009345
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,13,4.37,2.94,1.63,1,0.672768879,0.372997712,8.94,0.06556387
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,14,4.79,3.12,1.64,1,0.651356994,0.342379958,9.55,0.072164764
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,15,4.74,3.29,1.6,1,0.694092827,0.337552743,9.63,0.073281822
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,16,5.16,3.12,2.15,1,0.604651163,0.416666667,10.43,0.05910185
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,17,5.24,3.09,1.76,1,0.589694656,0.335877863,10.09,0.074870184
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,18,4.75,3.39,1.74,1,0.713684211,0.366315789,9.88,0.067133026
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,19,4.2,3.21,1.65,1,0.764285714,0.392857143,9.06,0.062460317
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,20,3.91,3.22,1.57,1,0.823529412,0.401534527,8.7,0.063042497
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,21,4.29,3.12,1.61,1,0.727272727,0.375291375,9.02,0.065392434
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,22,5.8,2.72,1.58,1,0.468965517,0.272413793,10.1,0.094445766
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,23,4.19,3.48,1.64,1,0.830548926,0.391408115,9.31,0.065771378
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,24,4.56,3.19,1.45,1,0.699561404,0.317982456,9.2,0.077890419
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,25,4.31,3.26,1.58,1,0.75638051,0.366589327,9.15,0.068055189
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,26,4.86,3.43,1.88,1,0.705761317,0.386831276,10.17,0.062696518
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,27,4.66,3.21,1.82,1,0.688841202,0.39055794,9.69,0.061912481
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,28,4.35,3.15,1.59,1,0.724137931,0.365517241,9.09,0.067475228
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,29,4.62,3.04,1.42,1,0.658008658,0.307359307,9.08,0.079962686
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,30,4.05,3.3,1.75,1,0.814814815,0.432098765,9.1,0.05591966
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,31,5.14,3.36,1.81,1,0.653696498,0.352140078,10.31,0.070064985
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,32,4.29,3.05,1.71,1,0.710955711,0.398601399,9.05,0.060310233
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,33,4.88,3.58,1.57,1,0.733606557,0.321721311,10.03,0.077852989
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,34,4.35,3.42,1.77,1,0.786206897,0.406896552,9.54,0.060150614
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,35,4.3,3.13,1.47,1,0.727906977,0.341860465,8.9,0.072912686
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,36,4.67,3.34,1.58,1,0.715203426,0.338329764,9.59,0.073438927
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,37,5.04,3.23,1.66,1,0.640873016,0.329365079,9.93,0.075084509
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,38,4.41,3.78,1.66,1,0.857142857,0.376417234,9.85,0.071151195
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,39,4.84,3.35,1.58,1,0.69214876,0.326446281,9.77,0.075798367
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,40,4.36,3.82,1.77,1,0.876146789,0.405963303,9.95,0.065476858
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,41,4.63,3.23,1.53,1,0.69762419,0.330453564,9.39,0.074948648
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,42,4.61,2.99,1.55,1,0.648590022,0.336225597,9.15,0.073517441
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,43,4.6,3.11,1.35,1,0.676086957,0.293478261,9.06,0.083386894
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,44,4.84,3.3,1.54,1,0.681818182,0.318181818,9.68,0.077594123
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,45,4.12,2.98,1.42,1,0.723300971,0.344660194,8.52,0.072155717
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,46,4.45,3,1.3,1,0.674157303,0.292134831,8.75,0.083687525
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,47,5.36,3.23,1.8,1,0.60261194,0.335820896,10.39,0.074469846
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,48,4.96,3.14,1.7,1,0.633064516,0.342741935,9.8,0.072324113
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,49,4.39,3.43,1.51,1,0.781321185,0.343963554,9.33,0.074387327
Acacia brachybotrya,Modern,11/1/2016,32 53 00 S,134 22 00 E,-32.8833,134.3667,site_at_32.8833_S_and_134.3667_E,50,4.3,3.32,1.66,1,0.772093023,0.386046512,9.28,0.064212487
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,1,4.5,1.82,1.42,1,0.404444444,0.315555556,7.74,0.092339095
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,2,4.52,1.87,1.5,1,0.413716814,0.331858407,7.89,0.088537996
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,3,4.28,2.05,1.41,1,0.478971963,0.329439252,7.74,0.082609107
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,4,5.02,2.32,1.66,1,0.462151394,0.330677291,9,0.083839939
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,5,5.04,1.99,1.22,1,0.39484127,0.242063492,8.25,0.107113988
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,6,4.74,1.82,1.31,1,0.383966245,0.276371308,7.87,0.101634749
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,7,4.11,1.97,1.37,1,0.479318735,0.333333333,7.45,0.081873907
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,8,4.1,1.8,1.38,1,0.43902439,0.336585366,7.28,0.085034041
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,9,4.79,2.07,1.45,1,0.432150313,0.302713987,8.31,0.091712757
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,10,4.26,1.93,1.46,1,0.453051643,0.342723005,7.65,0.082593107
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,11,4.44,1.92,1.45,1,0.432432432,0.326576577,7.81,0.08742639
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,12,4.66,2.3,1.46,1,0.493562232,0.313304721,8.42,0.084502488
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,13,4.59,2.14,1.53,1,0.466230937,0.333333333,8.26,0.083001737
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,14,3.96,2.27,1.47,1,0.573232323,0.371212121,7.7,0.06870189
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,15,4.54,2.04,1.61,1,0.449339207,0.354625551,8.19,0.080967352
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,16,4.41,1.81,1.16,1,0.410430839,0.263038549,7.38,0.10138094
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,17,4.47,1.96,1.3,1,0.438478747,0.29082774,7.73,0.093336915
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,18,3.92,1.88,1.4,1,0.479591837,0.357142857,7.2,0.077675968
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,19,4.45,1.73,1.19,1,0.388764045,0.26741573,7.37,0.102779391
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,20,3.83,1.92,1.51,1,0.501305483,0.394255875,7.26,0.069675754
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,21,4.83,2.12,1.45,1,0.438923395,0.300207039,8.4,0.091528819
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,22,4.27,1.73,1.16,1,0.405152225,0.271662763,7.16,0.100237605
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,23,4.27,1.96,1.36,1,0.459016393,0.318501171,7.59,0.086316494
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,24,4.26,1.93,1.45,1,0.453051643,0.340375587,7.64,0.082994752
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,25,4.24,1.99,1.56,1,0.469339623,0.367924528,7.79,0.076822762
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,26,4.22,1.82,1.57,1,0.431279621,0.372037915,7.61,0.080143203
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,27,4.4,1.66,1.27,1,0.377272727,0.288636364,7.33,0.100187098
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,28,4,1.63,1.33,1,0.4075,0.3325,6.96,0.0891375
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,29,4.36,1.8,1.43,1,0.412844037,0.327981651,7.59,0.089284712
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,30,3.83,1.95,1.35,1,0.509138381,0.352480418,7.13,0.076085384
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,31,4.43,1.7,1.19,1,0.383747178,0.268623025,7.32,0.10310371
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,32,3.9,1.86,1.29,1,0.476923077,0.330769231,7.05,0.082537804
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,33,3.83,1.87,1.56,1,0.488250653,0.407310705,7.26,0.068857697
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,34,4.84,2.13,1.51,1,0.440082645,0.311983471,8.48,0.089253732
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,35,3.29,2.15,1.42,1,0.653495441,0.431610942,6.86,0.05470714
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,36,4.7,2.35,1.6,1,0.5,0.340425532,8.65,0.078944721
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,37,4.46,2.06,1.36,1,0.461883408,0.304932735,7.88,0.088591276
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,38,4.63,1.88,1.35,1,0.406047516,0.291576674,7.86,0.096416304
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,39,4.14,1.87,1.25,1,0.451690821,0.301932367,7.26,0.090040997
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,40,4.63,1.69,1.23,1,0.365010799,0.265658747,7.55,0.105815466
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,41,3.95,2.07,1.48,1,0.524050633,0.374683544,7.5,0.071095444
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,42,5.01,2.14,1.55,1,0.427145709,0.309381238,8.7,0.090998309
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,43,3.68,1.82,1.16,1,0.494565217,0.315217391,6.66,0.084061909
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,44,4.74,1.67,1.08,1,0.352320675,0.227848101,7.49,0.114577832
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,45,3.47,1.76,1.36,1,0.507204611,0.391930836,6.59,0.069542605
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,46,4.09,1.82,1.28,1,0.444987775,0.312958435,7.19,0.088610714
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,47,3.69,2.09,1.55,1,0.566395664,0.420054201,7.33,0.06064063
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,48,3.11,1.9,1.34,1,0.610932476,0.430868167,6.35,0.056411971
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,49,4.13,1.82,0.99,1,0.440677966,0.239709443,6.94,0.10347458
Acacia concurrens,Historic,11/27/1984,26 27 00 S,150 39 00 E,-26.45,150.65,site_at_26.4500_S_and_150.6500_E,50,4.93,2.15,1.43,1,0.436105477,0.290060852,8.51,0.093702184
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,1,4.32,2,1.47,1,0.462962963,0.340277778,7.79,0.082077094
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,2,4.97,1.87,1.39,1,0.376257545,0.279678068,8.23,0.101916214
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,3,3.16,1.42,1.39,1,0.449367089,0.439873418,5.97,0.068558725
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,4,4.4,1.83,1.31,1,0.415909091,0.297727273,7.54,0.094257346
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,5,4.42,1.66,1.39,1,0.375565611,0.314479638,7.47,0.095954219
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,6,3.92,1.78,1.43,1,0.454081633,0.364795918,7.13,0.078831448
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,7,4.57,1.78,1.42,1,0.389496718,0.310722101,7.77,0.094891524
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,8,3.09,1.68,1.11,1,0.54368932,0.359223301,5.88,0.072537992
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,9,4.32,2.01,1.54,1,0.465277778,0.356481481,7.87,0.079097841
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,10,3.54,1.94,1.48,1,0.548022599,0.418079096,6.96,0.062200092
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,11,3.14,1.64,1.3,1,0.522292994,0.414012739,6.08,0.064812185
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,12,4.25,1.83,1.34,1,0.430588235,0.315294118,7.42,0.089593849
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,13,3.49,1.58,1.27,1,0.452722063,0.363896848,6.34,0.079114475
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,14,4.49,1.92,1.42,1,0.427616927,0.316258352,7.83,0.089725084
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,15,3.76,1.52,1.47,1,0.404255319,0.390957447,6.75,0.080669043
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,16,4.43,1.79,1.46,1,0.404063205,0.329571106,7.68,0.090018293
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,17,4.33,1.91,1.47,1,0.441108545,0.339491917,7.71,0.084328503
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,18,4.14,1.62,1.33,1,0.391304348,0.321256039,7.09,0.09290117
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,19,4.13,1.93,1.43,1,0.467312349,0.346246973,7.49,0.080645109
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,20,4.08,1.65,1.41,1,0.404411765,0.345588235,7.14,0.087382257
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,21,4.11,1.79,1.35,1,0.435523114,0.328467153,7.25,0.0867835
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,22,3.96,1.76,1.42,1,0.444444444,0.358585859,7.14,0.080825086
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,23,4.06,1.78,1.55,1,0.438423645,0.381773399,7.39,0.077864598
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,24,4,1.79,1.37,1,0.4475,0.3425,7.16,0.083176389
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,25,3.64,1.65,1.44,1,0.453296703,0.395604396,6.73,0.074167438
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,26,4.53,1.66,1.13,1,0.366445916,0.249448124,7.32,0.108711931
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,27,4.06,1.74,1.14,1,0.428571429,0.280788177,6.94,0.096181794
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,28,5.06,1.85,1.41,1,0.365612648,0.278656126,8.32,0.103371748
Acacia concurrens,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,29,4.56,1.73,1.35,1,0.379385965,0.296052632,7.64,0.098627569
