Species,Modern/Historic,Date Collected,Latitude (deg min sec S/N),Longitude (deg min sec E/W),latitude (deg),longitude (deg),site,Plant label number,Leaf area (cm2),Leaf area (m2),Leaf mass (g),LMA (g/m2)
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,8,0.198,1.98E-05,0.00031,15.65656566
Acacia chinchillensis,Modern,9/1/2009,26 45 19 S,150 37 42 E,-26.7553,150.6283,site_at_26.7553_S_and_150.6283_E,9,0.335,3.35E-05,0.00053,15.82089552
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,1,62.506,0.0062506,0.3173,50.76312674
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,13,50.385,0.0050385,0.2348,46.60117098
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,15,21.242,0.0021242,0.0856,40.29752377
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,20,40.999,0.0040999,0.2723,66.41625405
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,24,56.79,0.005679,0.3009,52.9846804
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,25,7.02,0.000702,0.0332,47.29344729
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,26,37.961,0.0037961,0.2113,55.66239035
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,27,65.955,0.0065955,0.3668,55.61367599
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,28,63.878,0.0063878,0.3816,59.73887723
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,30,59.867,0.0059867,0.3148,52.58322615
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,31,4.698,0.0004698,0.028,59.59982971
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,33,27.705,0.0027705,0.139,50.1714492
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,34,5.896,0.0005896,0.0334,56.64857531
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,36,6.554,0.0006554,0.023,35.09307293
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,37,28.045,0.0028045,0.1844,65.75147085
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,38,65.909,0.0065909,0.3064,46.48833998
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,5,37.468,0.0037468,0.2223,59.3306288
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,6,63.698,0.0063698,0.2996,47.03444378
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,7,44.614,0.0044614,0.2509,56.23795221
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,9,22.337,0.0022337,0.10901,48.80243542
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,1,67.673,0.0067673,0.368,54.37914678
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,14,56.962,0.0056962,0.3296,57.86313683
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,15,36.337,0.0036337,0.1836,50.52701104
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,16,56.218,0.0056218,0.2893,51.46038635
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,17,8.434,0.0008434,0.0518,61.41806972
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,2,40.262,0.0040262,0.2044,50.76747305
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,23,56.77,0.005677,0.3296,58.05883389
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,24,51.914,0.0051914,0.2845,54.80217282
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,25,46.248,0.0046248,0.2682,57.99169694
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,26,16.001,0.0016001,0.0583,36.4352228
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,28,32.145,0.0032145,0.1761,54.78301447
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,32,66.379,0.0066379,0.3921,59.06988656
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,34,67.578,0.0067578,0.3767,55.74299328
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,35,45.279,0.0045279,0.2035,44.94357208
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,36,41.608,0.0041608,0.1896,45.56815997
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,37,53.244,0.0053244,0.2943,55.27383367
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,44,41.404,0.0041404,0.2486,60.04250797
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,7,54.121,0.0054121,0.2578,47.63400528
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,8,71.326,0.0071326,0.4119,57.74892746
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,10,4.459,0.0004459,0.0249,55.84211707
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,11,6.444,0.0006444,0.0385,59.74549969
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,12,5.841,0.0005841,0.0407,69.67984934
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,13,3.318,0.0003318,0.0179,53.94816154
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,15,4.225,0.0004225,0.022,52.07100592
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,17,3.478,0.0003478,0.0208,59.80448534
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,19,4.025,0.0004025,0.0289,71.80124224
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,20,3.779,0.0003779,0.0204,53.98253506
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,22,5.084,0.0005084,0.0288,56.64830842
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,23,4.8,0.00048,0.0292,60.83333333
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,25,5.285,0.0005285,0.0382,72.28003784
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,29,2.43,0.000243,0.0107,44.03292181
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,33,5.367,0.0005367,0.0294,54.77920626
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,35,3.173,0.0003173,0.0184,57.98928459
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,4,3.493,0.0003493,0.0229,65.55969081
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,40,4.738,0.0004738,0.0292,61.62937949
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,7,3.548,0.0003548,0.0174,49.04171364
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,8,3.055,0.0003055,0.0181,59.24713584
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,9,5.403,0.0005403,0.0277,51.26781418
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,10,6.083,0.0006083,0.0388,63.78431695
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,14,4.504,0.0004504,0.0339,75.26642984
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,15,3.31,0.000331,0.0208,62.83987915
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,18,4.464,0.0004464,0.0281,62.94802867
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,2,6.869,0.0006869,0.0417,60.70752657
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,20,4.036,0.0004036,0.0224,55.50049554
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,23,5.162,0.0005162,0.0414,80.2014723
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,24,3.647,0.0003647,0.0196,53.7428023
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,26,3.369,0.0003369,0.0225,66.78539626
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,27,4.228,0.0004228,0.0298,70.48249763
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,28,2.934,0.0002934,0.0167,56.91888207
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,3,5.276,0.0005276,0.0397,75.24639879
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,32,4.349,0.0004349,0.0229,52.65578294
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,33,4.668,0.0004668,0.0258,55.26992288
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,37,2.992,0.0002992,0.0151,50.46791444
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,4,4.934,0.0004934,0.0307,62.22132144
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,41,5.377,0.0005377,0.0357,66.39389994
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,5,2.936,0.0002936,0.0162,55.17711172
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,7,3.311,0.0003311,0.0264,79.73421927
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,8,6.868,0.0006868,0.0496,72.2189866
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,9,2.308,0.0002308,0.0181,78.42287695
Acacia dealbata,Historic,2/25/1986,42 17 00 S,146 37 00 E,-42.2833,146.6167,site_at_42.2833_S_and_146.6167_E,10,0.166,1.66E-05,1.00E-04,6.024096386
Acacia dealbata,Historic,2/25/1986,42 17 00 S,146 37 00 E,-42.2833,146.6167,site_at_42.2833_S_and_146.6167_E,11,0.174,1.74E-05,2.00E-04,11.49425287
Acacia dealbata,Historic,2/25/1986,42 17 00 S,146 37 00 E,-42.2833,146.6167,site_at_42.2833_S_and_146.6167_E,13,0.16,1.60E-05,NA,NA
Acacia dealbata,Historic,2/25/1986,42 17 00 S,146 37 00 E,-42.2833,146.6167,site_at_42.2833_S_and_146.6167_E,14,0.289,2.89E-05,1.00E-04,3.460207612
Acacia dealbata,Modern,1/26/2018,42 16 55 S,146 37 09 E,-42.2819,146.6192,site_at_42.2819_S_and_146.6192_E,10,0.162,1.62E-05,4.00E-04,24.69135802
Acacia dealbata,Modern,1/26/2018,42 16 55 S,146 37 09 E,-42.2819,146.6192,site_at_42.2819_S_and_146.6192_E,12,0.146,1.46E-05,1.00E-04,6.849315068
Acacia dealbata,Modern,1/26/2018,42 16 55 S,146 37 09 E,-42.2819,146.6192,site_at_42.2819_S_and_146.6192_E,13,0.222,2.22E-05,1.00E-04,4.504504505
Acacia dealbata,Modern,1/26/2018,42 16 55 S,146 37 09 E,-42.2819,146.6192,site_at_42.2819_S_and_146.6192_E,14,0.137,1.37E-05,6.00E-04,43.79562044
Acacia dealbata,Modern,1/26/2018,42 16 55 S,146 37 09 E,-42.2819,146.6192,site_at_42.2819_S_and_146.6192_E,15,0.21,2.10E-05,1.00E-04,4.761904762
Acacia dealbata,Modern,1/26/2018,42 16 55 S,146 37 09 E,-42.2819,146.6192,site_at_42.2819_S_and_146.6192_E,17,0.354,3.54E-05,2.00E-04,5.649717514
Acacia dealbata,Modern,1/26/2018,42 16 55 S,146 37 09 E,-42.2819,146.6192,site_at_42.2819_S_and_146.6192_E,2,0.175,1.75E-05,1.00E-04,5.714285714
Acacia dealbata,Modern,1/26/2018,42 16 55 S,146 37 09 E,-42.2819,146.6192,site_at_42.2819_S_and_146.6192_E,4,0.167,1.67E-05,3.00E-04,17.96407186
Acacia dealbata,Modern,1/26/2018,42 16 55 S,146 37 09 E,-42.2819,146.6192,site_at_42.2819_S_and_146.6192_E,5,0.279,2.79E-05,8.00E-04,28.67383513
Acacia dealbata,Modern,1/26/2018,42 16 55 S,146 37 09 E,-42.2819,146.6192,site_at_42.2819_S_and_146.6192_E,6,0.15,1.50E-05,1.00E-04,6.666666667
Acacia dealbata,Modern,1/26/2018,42 16 55 S,146 37 09 E,-42.2819,146.6192,site_at_42.2819_S_and_146.6192_E,9,0.237,2.37E-05,5.00E-04,21.09704641
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,11,0.29,2.90E-05,0.00046,15.86206897
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,12,0.252,2.52E-05,8.00E-04,31.74603175
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,15,0.28,2.80E-05,0.00063,22.5
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,17,0.371,3.71E-05,0.00115,30.99730458
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,19,0.431,4.31E-05,0.00139,32.25058005
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,2,0.303,3.03E-05,0.0014,46.20462046
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,21,0.323,3.23E-05,0.0014,43.34365325
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,24,0.357,3.57E-05,0.00073,20.44817927
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,27,0.303,3.03E-05,0.00071,23.43234323
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,29,0.182,1.82E-05,0.00066,36.26373626
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,3,0.199,1.99E-05,0.00058,29.14572864
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,30,0.275,2.75E-05,0.00068,24.72727273
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,32,0.221,2.21E-05,0.00059,26.69683258
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,36,0.254,2.54E-05,0.00057,22.44094488
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,37,0.238,2.38E-05,0.00093,39.07563025
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,38,0.219,2.19E-05,0.00043,19.6347032
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,5,0.207,2.07E-05,0.00032,15.4589372
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,6,0.297,2.97E-05,0.00059,19.86531987
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,8,0.206,2.06E-05,0.00077,37.37864078
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,9,0.308,3.08E-05,0.00101,32.79220779
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,1,0.24,2.40E-05,0.00098,40.83333333
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,10,0.171,1.71E-05,0.00023,13.4502924
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,12,0.267,2.67E-05,0.00086,32.20973783
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,14,0.245,2.45E-05,0.00066,26.93877551
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,16,0.271,2.71E-05,0.00072,26.56826568
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,17,0.251,2.51E-05,0.00091,36.25498008
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,18,0.348,3.48E-05,0.00134,38.50574713
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,2,0.276,2.76E-05,0.00055,19.92753623
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,20,0.345,3.45E-05,0.00116,33.62318841
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,21,0.239,2.39E-05,0.00072,30.12552301
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,23,0.209,2.09E-05,0.00083,39.71291866
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,26,0.22,2.20E-05,0.00062,28.18181818
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,27,0.314,3.14E-05,0.00119,37.89808917
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,3,0.245,2.45E-05,0.00049,20
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,30,0.211,2.11E-05,0.00043,20.37914692
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,35,0.284,2.84E-05,0.00084,29.57746479
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,39,0.222,2.22E-05,0.00079,35.58558559
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,6,0.169,1.69E-05,0.00046,27.21893491
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,7,0.228,2.28E-05,0.00074,32.45614035
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,9,0.226,2.26E-05,0.00037,16.37168142
Acacia georgensis,Historic,12/14/1984,36 39 00 S,149 54 00 E,-36.65,149.9,site_at_36.6500_S_and_149.9000_E,15,9.184,0.0009184,0.0528,57.4912892
Acacia georgensis,Historic,12/14/1984,36 39 00 S,149 54 00 E,-36.65,149.9,site_at_36.6500_S_and_149.9000_E,29,15.47,0.001547,0.01216,7.860374919
Acacia georgensis,Historic,12/14/1984,36 39 00 S,149 54 00 E,-36.65,149.9,site_at_36.6500_S_and_149.9000_E,5,3.976,0.0003976,0.0176,44.26559356
Acacia georgensis,Modern,12/20/2016,36 39 34 S,149 54 20 E,-36.6594,149.9056,site_at_36.6594_S_and_149.9056_E,15,2.932,0.0002932,0.0108,36.83492497
Acacia georgensis,Modern,12/20/2016,36 39 34 S,149 54 20 E,-36.6594,149.9056,site_at_36.6594_S_and_149.9056_E,34,11.201,0.0011201,0.07,62.49442014
Acacia georgensis,Modern,12/20/2016,36 39 34 S,149 54 20 E,-36.6594,149.9056,site_at_36.6594_S_and_149.9056_E,39,32.802,0.0032802,0.02578,7.859276873
Acacia georgensis,Modern,12/20/2016,36 39 34 S,149 54 20 E,-36.6594,149.9056,site_at_36.6594_S_and_149.9056_E,5,10.144,0.0010144,0.0877,86.45504732
Acacia georgensis,Modern,12/20/2016,36 39 34 S,149 54 20 E,-36.6594,149.9056,site_at_36.6594_S_and_149.9056_E,7,13.835,0.0013835,0.0101,7.300325262
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,1,21.38,0.002138,0.1841,86.10851263
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,10,14.569,0.0014569,0.1475,101.2423639
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,11,29.558,0.0029558,0.2405,81.36545098
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,13,21.321,0.0021321,0.193,90.5210825
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,15,24.167,0.0024167,0.2047,84.70227997
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,18,16.28,0.001628,0.1096,67.32186732
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,19,30.785,0.0030785,0.279,90.62855287
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,20,21.976,0.0021976,0.1426,64.88896979
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,22,22.043,0.0022043,0.1822,82.65662569
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,27,18.257,0.0018257,0.2638,144.4925234
