Species,Modern/Historic,Date Collected,Latitude (deg min sec S/N),Longitude (deg min sec E/W),latitude (deg),longitude (deg),site,Plant label number,Volume of Stem (mL),Mass of dried stem (g),Stem Density (g/mL)
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,7,0.1185,0.0285,0.240506329
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,5,0.2816,0.0571,0.202769886
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,6,0.2867,0.0638,0.222532264
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,38,0.1934,0.0509,0.263185109
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,26,0.3224,0.083,0.257444169
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,13,0.2223,0.0553,0.248762933
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,31,0.0931,0.0242,0.259935553
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,28,0.2305,0.0589,0.255531453
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,20,0.3158,0.0905,0.286573781
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,15,0.1129,0.0209,0.185119575
Acacia concurrens,Historic,11/25/1984,27 32 00 S,152 08 00 E,-27.5333,152.1333,site_at_27.5333_S_and_152.1333_E,25,0.0821,0.0175,0.213154689
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,25,0.3809,0.0972,0.255185088
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,2,0.1773,0.0383,0.216018049
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,17,0.1595,0.0373,0.233855799
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,23,0.3723,0.0892,0.239591727
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,4,0.2538,0.06,0.236406619
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,7,0.4914,0.1116,0.227106227
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,1,0.4449,0.1265,0.284333558
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,15,0.2328,0.0556,0.238831615
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,26,0.0943,0.0196,0.207847296
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,14,0.3948,0.1088,0.275582573
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,16,0.4131,0.1086,0.262890341
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,37,0.3564,0.1031,0.289281706
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,9,0.106,0.0191,0.180188679
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,36,0.2534,0.0581,0.229281768
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,8,0.4433,0.1333,0.300699301
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,24,0.4448,0.1278,0.287320144
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,35,0.1638,0.0346,0.211233211
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,34,0.4599,0.0938,0.203957382
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,32,0.4133,0.1161,0.280909751
Acacia concurrens,Modern,12/1/2016,26 38 60 S,153 04 00 E,-26.65,153.0667,site_at_26.6500_S_and_153.0667_E,28,0.1918,0.0462,0.240875912
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,35,0.0282,0.0152,0.539007092
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,23,0.1013,0.0586,0.578479763
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,22,0.0951,0.0405,0.425867508
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,19,0.0194,0.0094,0.484536082
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,7,0.0306,0.0121,0.395424837
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,4,0.0376,0.0156,0.414893617
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,8,0.046,0.0239,0.519565217
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,40,0.0648,0.0321,0.49537037
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,12,0.1269,0.0586,0.46178093
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,25,0.1129,0.0615,0.544729849
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,10,0.0756,0.0375,0.496031746
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,11,0.0946,0.0377,0.398520085
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,9,0.0456,0.0279,0.611842105
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,15,0.094,0.0399,0.424468085
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,24,0.0862,0.0391,0.453596288
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,17,0.0643,0.0326,0.506998445
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,20,0.0745,0.0362,0.48590604
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,33,0.055,0.0262,0.476363636
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,29,0.0849,0.0334,0.393404005
Acacia cultriformis,Historic,11/22/1984,29 00 00 S,151 30 00 E,-29,151.5,site_at_29.0000_S_and_151.5000_E,13,0.0773,0.0391,0.505821475
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,26,0.0917,0.0393,0.428571429
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,40,0.0898,0.0445,0.495545657
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,18,0.0527,0.0279,0.529411765
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,19,0.009,0.0103,1.144444444
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,2,0.1042,0.0425,0.407869482
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,27,0.084,0.0483,0.575
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,37,0.0288,0.0146,0.506944444
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,8,0.0247,0.018,0.728744939
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,5,0.0212,0.0129,0.608490566
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,13,0.0603,0.0386,0.64013267
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,14,0.0511,0.0251,0.491193738
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,10,0.0836,0.0427,0.51076555
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,15,0.0536,0.0329,0.61380597
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,28,0.0664,0.0397,0.597891566
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,20,0.1211,0.0638,0.526837325
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,33,0.0217,0.0101,0.465437788
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,32,0.1485,0.0691,0.465319865
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,4,0.0199,0.0103,0.51758794
Acacia cultriformis,Modern,11/6/2017,29 00 59 S,151 30 14 E,-29.0164,151.5039,site_at_29.0164_S_and_151.5039_E,7,0.0494,0.0302,0.611336032
Acacia dealbata,Historic,2/25/1986,42 17 00 S,146 37 00 E,-42.2833,146.6167,site_at_42.2833_S_and_146.6167_E,11,0.8167,0.2465,0.301824415
Acacia dealbata,Historic,2/25/1986,42 17 00 S,146 37 00 E,-42.2833,146.6167,site_at_42.2833_S_and_146.6167_E,10,0.9316,0.3049,0.327286389
Acacia dealbata,Historic,2/25/1986,42 17 00 S,146 37 00 E,-42.2833,146.6167,site_at_42.2833_S_and_146.6167_E,13,0.3763,0.112,0.297634866
Acacia dealbata,Historic,2/25/1986,42 17 00 S,146 37 00 E,-42.2833,146.6167,site_at_42.2833_S_and_146.6167_E,14,0.3754,0.1111,0.295950986
Acacia dealbata,Modern,1/26/2018,42 16 55 S,146 37 09 E,-42.2819,146.6192,site_at_42.2819_S_and_146.6192_E,10,0.5997,0.1923,0.32066033
Acacia dealbata,Modern,1/26/2018,42 16 55 S,146 37 09 E,-42.2819,146.6192,site_at_42.2819_S_and_146.6192_E,17,0.026,0.0101,0.388461538
Acacia dealbata,Modern,1/26/2018,42 16 55 S,146 37 09 E,-42.2819,146.6192,site_at_42.2819_S_and_146.6192_E,15,0.8134,0.2797,0.343865257
Acacia dealbata,Modern,1/26/2018,42 16 55 S,146 37 09 E,-42.2819,146.6192,site_at_42.2819_S_and_146.6192_E,6,0.8449,0.2746,0.325008877
Acacia dealbata,Modern,1/26/2018,42 16 55 S,146 37 09 E,-42.2819,146.6192,site_at_42.2819_S_and_146.6192_E,4,0.2776,0.0899,0.323847262
Acacia dealbata,Modern,1/26/2018,42 16 55 S,146 37 09 E,-42.2819,146.6192,site_at_42.2819_S_and_146.6192_E,9,0.8187,0.2986,0.364724563
Acacia dealbata,Modern,1/26/2018,42 16 55 S,146 37 09 E,-42.2819,146.6192,site_at_42.2819_S_and_146.6192_E,14,0.5553,0.1545,0.278227985
Acacia dealbata,Modern,1/26/2018,42 16 55 S,146 37 09 E,-42.2819,146.6192,site_at_42.2819_S_and_146.6192_E,5,0.3457,0.1035,0.299392537
Acacia dealbata,Modern,1/26/2018,42 16 55 S,146 37 09 E,-42.2819,146.6192,site_at_42.2819_S_and_146.6192_E,13,0.5923,0.1739,0.293601216
Acacia dealbata,Modern,1/26/2018,42 16 55 S,146 37 09 E,-42.2819,146.6192,site_at_42.2819_S_and_146.6192_E,2,1.0811,0.3069,0.283877532
Acacia dealbata,Modern,1/26/2018,42 16 55 S,146 37 09 E,-42.2819,146.6192,site_at_42.2819_S_and_146.6192_E,12,0.5451,0.1651,0.302880205
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,2,0.3813,0.1577,0.413585104
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,17,0.5898,0.2596,0.440149203
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,24,0.0905,0.0507,0.560220994
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,9,0.2097,0.0494,0.23557463
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,19,0.1018,0.0859,0.843811395
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,15,0.3785,0.1398,0.369352708
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,36,0.3678,0.2643,0.718597064
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,27,0.1317,0.0512,0.388762339
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,6,0.5074,0.2141,0.421955065
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,30,0.3779,0.172,0.455146864
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,8,0.5035,0.2502,0.496921549
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,12,0.0237,0.0732,3.088607595
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,32,0.1528,0.0711,0.465314136
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,38,0.5771,0.2737,0.474267891
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,11,0.1506,0.0567,0.376494024
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,21,0.572,0.2711,0.473951049
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,29,0.4218,0.2899,0.687292556
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,37,0.3765,0.2473,0.656839309
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,3,0.1913,0.1174,0.613695766
Acacia deanei,Historic,6/27/1984,34 42 30 S,146 35 30 E,-34.7083,146.5917,site_at_34.7083_S_and_146.5917_E,5,0.4339,0.2289,0.527540908
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,12,0.6055,0.3086,0.509661437
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,3,0.4326,0.1625,0.375635691
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,20,0.4329,0.1937,0.447447447
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,9,0.6066,0.2955,0.487141444
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,6,0.5525,0.3036,0.549502262
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,27,0.5647,0.2914,0.516026209
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,10,0.5565,0.2951,0.530278527
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,17,0.6245,0.2318,0.371176942
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,35,0.847,0.3586,0.423376623
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,1,0.57,0.2564,0.449824561
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,14,0.2696,0.1127,0.418026706
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,30,0.9154,0.3486,0.380817129
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,2,0.2202,0.1024,0.465031789
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,39,0.4554,0.2237,0.491216513
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,21,0.1449,0.2059,1.420979986
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,16,0.5267,0.1755,0.333206759
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,7,0.45,0.2018,0.448444444
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,26,0.4804,0.217,0.451706911
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,18,1.0335,0.446,0.431543299
Acacia deanei,Modern,11/23/2017,34 44 07 S,146 34 11 E,-34.7353,146.5697,site_at_34.7353_S_and_146.5697_E,23,0.6441,0.303,0.470423847
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,19,0.1208,0.0488,0.40397351
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,22,0.1121,0.0499,0.445138269
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,36,0.0585,0.0179,0.305982906
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,16,0.0914,0.0349,0.381838074
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,10,0.104,0.0347,0.333653846
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,37,0.0682,0.0311,0.45601173
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,5,0.0341,0.0142,0.416422287
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,27,0.1142,0.0426,0.373029772
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,11,0.1448,0.0548,0.378453039
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,35,0.0707,0.0256,0.362093352
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,1,0.0786,0.0291,0.370229008
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,34,0.0249,0.0083,0.333333333
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,33,0.0632,0.0207,0.327531646
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,32,0.0241,0.0092,0.381742739
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,28,0.0245,0.0086,0.351020408
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,13,0.0839,0.0254,0.302741359
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,9,0.0765,0.0246,0.321568627
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,30,0.094,0.0302,0.321276596
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,20,0.1044,0.038,0.363984674
Acacia hakeoides,Historic,12/2/1984,30 37 00 S,149 17 00 E,-30.6167,149.2833,site_at_30.6167_S_and_149.2833_E,18,0.081,0.0305,0.37654321
Acacia hakeoides,Modern,11/5/2017,30 28 54 S,149 36 19 E,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,22,0.0969,0.0405,0.417956656
Acacia hakeoides,Modern,11/5/2017,30 28 54 S,149 36 19 E,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,33,0.0492,0.0223,0.453252033
Acacia hakeoides,Modern,11/5/2017,30 28 54 S,149 36 19 E,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,14,0.0553,0.0212,0.383363472
Acacia hakeoides,Modern,11/5/2017,30 28 54 S,149 36 19 E,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,25,0.1756,0.0675,0.384396355
Acacia hakeoides,Modern,11/5/2017,30 28 54 S,149 36 19 E,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,8,0.0519,0.021,0.404624277
Acacia hakeoides,Modern,11/5/2017,30 28 54 S,149 36 19 E,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,11,0.0504,0.0207,0.410714286
Acacia hakeoides,Modern,11/5/2017,30 28 54 S,149 36 19 E,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,31,0.1239,0.0444,0.358353511
Acacia hakeoides,Modern,11/5/2017,30 28 54 S,149 36 19 E,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,26,0.0955,0.0343,0.359162304
Acacia hakeoides,Modern,11/5/2017,30 28 54 S,149 36 19 E,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,27,0.0696,0.027,0.387931034
Acacia hakeoides,Modern,11/5/2017,30 28 54 S,149 36 19 E,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,18,0.0784,0.0313,0.399234694
Acacia hakeoides,Modern,11/5/2017,30 28 54 S,149 36 19 E,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,1,0.0979,0.0326,0.33299285
Acacia hakeoides,Modern,11/5/2017,30 28 54 S,149 36 19 E,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,32,0.0355,0.0128,0.36056338
Acacia hakeoides,Modern,11/5/2017,30 28 54 S,149 36 19 E,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,5,0.0645,0.0186,0.288372093
Acacia hakeoides,Modern,11/5/2017,30 28 54 S,149 36 19 E,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,15,0.0225,0.0103,0.457777778
Acacia hakeoides,Modern,11/5/2017,30 28 54 S,149 36 19 E,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,12,0.0448,0.0201,0.448660714
Acacia hakeoides,Modern,11/5/2017,30 28 54 S,149 36 19 E,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,17,0.0403,0.017,0.421836228
Acacia hakeoides,Modern,11/5/2017,30 28 54 S,149 36 19 E,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,36,0.0762,0.028,0.367454068
Acacia hakeoides,Modern,11/5/2017,30 28 54 S,149 36 19 E,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,28,0.0988,0.0447,0.45242915
Acacia hakeoides,Modern,11/5/2017,30 28 54 S,149 36 19 E,-30.4817,149.6053,site_at_30.4817_S_and_149.6053_E,38,0.1251,0.0467,0.373301359
