Individual,Species,Batch,Nutrient Treatment,Grass Treatment,Continent,Climate,Leaf Habit,Mass_g,RMF_g_per_g,SER_mm_per_day,SLA_mm2_per_mg,N_mg_per_g,P_mg_per_g,K_mg_per_g,A_nmol_CO2_per_g_s,gs_mmol_H2O_per_m2_s,PWUE_umol_CO2_per_mmol_H2O,photosynthetic_rate_per_area_saturated,PWUE_2,STRL_m_per_g,Seed location,context
1043,Eucalyptus erythrophloia,1,Nl,G1,Australia,Semi-arid,Evergreen,0.57,0.129,NA,42.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
1044,Eucalyptus erythrophloia,1,Nh,G1,Australia,Semi-arid,Evergreen,0.57,0.111,NA,30.62,15.86,2.72,16.36,55.34,92.26,1.02,1.80731548,0.019589372,NA,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
1045,Eucalyptus erythrophloia,1,Nh,G1,Australia,Semi-arid,Evergreen,0.66,0.117,NA,NA,26.37,4.54,40.81,NA,1,NA,NA,NA,NA,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
1046,Eucalyptus erythrophloia,1,Nh,G1,Australia,Semi-arid,Evergreen,0.6,0.146,NA,39.86,22.41,7,38.22,205.95,78.12,1.07,5.166833919,0.066139707,NA,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
1047,Eucalyptus erythrophloia,1,Nh,G0,Australia,Semi-arid,Evergreen,2.32,0.13,0.11,29.23,18.22,5.64,25.67,62.38,20,1.11,2.134108792,0.10670544,18.54,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1049,Eucalyptus erythrophloia,1,Nh,G0,Australia,Semi-arid,Evergreen,2.66,0.111,0.12,22.53,15.26,4.99,28.09,5.51,4,1.07,0.244562805,0.061140701,14.91,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1050,Eucalyptus erythrophloia,1,Nh,G0,Australia,Semi-arid,Evergreen,0.95,0.042,0.1,38.93,22.14,9.72,35.15,NA,25.98,NA,NA,NA,34.96,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1051,Eucalyptus erythrophloia,1,Nh,G0,Australia,Semi-arid,Evergreen,1.05,0.049,0.13,37.19,23.67,3.57,32.49,37.19,37.76,1.03,1,0.026483051,56.67,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1052,Eucalyptus erythrophloia,1,Nl,G0,Australia,Semi-arid,Evergreen,0.75,0.095,0.08,NA,25.54,4.03,22.36,NA,16.48,1.03,NA,NA,49.56,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1053,Eucalyptus erythrophloia,1,Nl,G0,Australia,Semi-arid,Evergreen,2.76,0.126,0.12,29.98,16.4,2.96,25.27,10.85,26.18,1.01,0.361907939,0.013823833,20.29,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1054,Eucalyptus erythrophloia,1,Nl,G0,Australia,Semi-arid,Evergreen,0.86,0.064,0.1,22.97,19.09,2.54,21.42,60.18,56.2,1.05,2.619939051,0.046618133,29.28,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1055,Eucalyptus erythrophloia,1,Nl,G0,Australia,Semi-arid,Evergreen,2.06,0.086,0.13,29.33,15.36,2.33,18.54,27.4,14,1.07,0.934197068,0.066728362,36.81,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1056,Eucalyptus erythrophloia,1,Nl,G0,Australia,Semi-arid,Evergreen,1.25,0.065,0.08,26.98,19.82,2.9,19.3,60.29,58.14,1.04,2.234618236,0.038435126,40.11,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1058,Eucalyptus erythrophloia,2,Nh,G0,Australia,Semi-arid,Evergreen,3.9,0.088,0.22,19.13,14.69,3.49,18.22,31.61,33,1.05,1.652378463,0.050072075,24.86,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1060,Eucalyptus erythrophloia,2,Nh,G0,Australia,Semi-arid,Evergreen,5.19,0.053,0.18,22.67,14.13,3.19,23.22,16.87,46,1.02,0.744155271,0.016177289,23.59,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1061,Eucalyptus erythrophloia,2,Nh,G0,Australia,Semi-arid,Evergreen,1.29,0.074,0.12,39.03,19.75,3.59,23.83,12.71,14,1.02,0.325646938,0.023260496,26.95,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
1063,Eucalyptus erythrophloia,2,Nl,G0,Australia,Semi-arid,Evergreen,1,0.093,0.12,22.97,13.77,2.69,18.42,NA,32.76,NA,NA,NA,33.38,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1064,Eucalyptus erythrophloia,2,Nl,G0,Australia,Semi-arid,Evergreen,2.8,0.085,0.16,20.28,14.24,1.74,15.92,7.08,20,1.02,0.349112426,0.017455621,18,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1065,Eucalyptus erythrophloia,2,Nl,G0,Australia,Semi-arid,Evergreen,1.18,0.164,0.05,28.95,17.83,2.42,30.91,15.47,46,1.01,0.534369603,0.01161673,50.46,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1066,Eucalyptus erythrophloia,2,Nl,G0,Australia,Semi-arid,Evergreen,1.51,0.113,0.13,28.11,20.22,2.35,16.48,9.43,33,1.01,0.335467805,0.010165691,44.18,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
1067,Eucalyptus erythrophloia,2,Nl,G1,Australia,Semi-arid,Evergreen,0.54,0.098,NA,36.66,13.95,0.9,8.66,NA,NA,NA,NA,NA,NA,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
1068,Eucalyptus erythrophloia,2,Nl,G1,Australia,Semi-arid,Evergreen,0.84,0.155,NA,24.57,10.27,1.28,12.43,1,44.7,1,0.040700041,9.11E-04,NA,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
1069,Eucalyptus erythrophloia,2,Nl,G1,Australia,Semi-arid,Evergreen,0.65,0.161,NA,38.04,15.62,2.55,21.24,10.08,39.17,1.01,0.264984227,0.006764979,NA,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
1070,Eucalyptus erythrophloia,2,Nl,G1,Australia,Semi-arid,Evergreen,0.86,0.231,NA,20.54,14.5,1.9,15.91,29.75,67,1.02,1.448393379,0.021617812,NA,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
1071,Eucalyptus erythrophloia,1,Nl,G1,Australia,Semi-arid,Evergreen,0.56,0.177,NA,32.85,NA,NA,NA,NA,120.63,NA,NA,NA,NA,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
1072,Eucalyptus erythrophloia,1,Nl,G1,Australia,Semi-arid,Evergreen,0.59,0.105,NA,44.61,NA,NA,NA,NA,139.77,NA,NA,NA,NA,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
1073,Eucalyptus erythrophloia,1,Nl,G1,Australia,Semi-arid,Evergreen,0.6,0.25,NA,37.84,NA,NA,NA,25.36,62.16,1.01,0.670190275,0.010781697,NA,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
1074,Eucalyptus erythrophloia,1,Nl,G1,Australia,Semi-arid,Evergreen,0.57,0.162,NA,NA,NA,NA,NA,NA,28.12,1.03,NA,NA,NA,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
1075,Eucalyptus erythrophloia,2,Nh,G1,Australia,Semi-arid,Evergreen,1.57,0.091,NA,25.64,17.4,2.54,18.46,16.38,29,1.02,0.638845554,0.022029157,NA,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
1076,Eucalyptus erythrophloia,2,Nh,G1,Australia,Semi-arid,Evergreen,1.51,0.189,NA,21.63,11.24,2.65,16.53,20.46,114,1.01,0.94590846,0.008297443,NA,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
1077,Eucalyptus erythrophloia,2,Nh,G1,Australia,Semi-arid,Evergreen,1.28,0.092,NA,26.19,16.91,3.12,13.41,11.47,10000,1,0.437953417,4.38E-05,NA,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
1078,Eucalyptus erythrophloia,2,Nh,G1,Australia,Semi-arid,Evergreen,0.82,0.097,NA,37.89,19.23,3.13,21.07,1,18,1,0.026392188,0.001466233,NA,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
1079,Eucalyptus erythrophloia,2,Nh,G1,Australia,Semi-arid,Evergreen,2.9,0.115,NA,19.42,12.38,1.66,9.03,28.18,45,1.03,1.451081359,0.032246252,NA,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
1080,Eucalyptus erythrophloia,2,Nl,G1,Australia,Semi-arid,Evergreen,0.56,0.233,NA,40.03,16.53,1.14,13.51,1,58.84,1,0.024981264,4.25E-04,NA,"Charters Towers, Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
1081,Eucalyptus platyphylla,1,Nh,G0,Australia,Humid,Deciduous,5.55,0.15,0.13,22.8,16.73,1.76,17.62,32.91,17,1.09,1.443421053,0.084907121,5.41,Springmount,Nutrient_treatment_Nh_and_grass_treatment_G0
1082,Eucalyptus platyphylla,1,Nh,G0,Australia,Humid,Deciduous,31.35,0.123,0.35,15.79,21.39,1.23,14.34,188.94,79,1.15,11.96580114,0.151465837,6.14,Springmount,Nutrient_treatment_Nh_and_grass_treatment_G0
1083,Eucalyptus platyphylla,1,Nh,G0,Australia,Humid,Deciduous,8.37,0.095,0.18,18.21,19.34,1.3,17.43,26.49,13,1.12,1.454695222,0.111899632,9.34,Springmount,Nutrient_treatment_Nh_and_grass_treatment_G0
1084,Eucalyptus platyphylla,1,Nh,G0,Australia,Humid,Deciduous,5.13,0.162,0.16,21.15,22.33,3.23,19.88,155.36,65,1.11,7.345626478,0.113009638,3.41,Springmount,Nutrient_treatment_Nh_and_grass_treatment_G0
1085,Eucalyptus platyphylla,1,Nl,G0,Australia,Humid,Deciduous,28.68,0.223,0.36,16.84,18.8,0.94,14.2,7.74,11,1.04,0.459619952,0.041783632,15.5,Springmount,Nutrient_treatment_Nl_and_grass_treatment_G0
1086,Eucalyptus platyphylla,1,Nl,G0,Australia,Humid,Deciduous,22.88,0.219,0.28,13.09,13.81,0.7,10.7,14.09,10,1.11,1.076394194,0.107639419,13.7,Springmount,Nutrient_treatment_Nl_and_grass_treatment_G0
1087,Eucalyptus platyphylla,1,Nl,G0,Australia,Humid,Deciduous,32.47,0.102,0.42,19.45,19.23,1.21,18.79,55.46,26,1.11,2.851413882,0.109669765,NA,Springmount,Nutrient_treatment_Nl_and_grass_treatment_G0
1088,Eucalyptus platyphylla,1,Nl,G0,Australia,Humid,Deciduous,14.39,0.236,0.2,17.03,14.3,0.7,12.81,NA,NA,NA,NA,NA,21.82,Springmount,Nutrient_treatment_Nl_and_grass_treatment_G0
1089,Eucalyptus platyphylla,1,Nl,G0,Australia,Humid,Deciduous,18.66,0.308,0.34,13.24,15.93,0.9,12.22,93.66,46,1.16,7.074018127,0.153783003,NA,Springmount,Nutrient_treatment_Nl_and_grass_treatment_G0
1090,Eucalyptus platyphylla,2,Nh,G0,Australia,Humid,Deciduous,67.3,0.229,0.63,11.85,9.98,0.78,7.99,70.9,98,1.06,5.983122363,0.061052269,NA,Springmount,Nutrient_treatment_Nh_and_grass_treatment_G0
1091,Eucalyptus platyphylla,2,Nh,G0,Australia,Humid,Deciduous,45.53,0.24,0.47,11.55,10.69,1.53,12.8,72.61,122,1.05,6.286580087,0.051529345,9.25,Springmount,Nutrient_treatment_Nh_and_grass_treatment_G0
1092,Eucalyptus platyphylla,2,Nh,G0,Australia,Humid,Deciduous,60.42,0.104,0.55,15.19,14.49,0.86,10.3,87.58,102,1.06,5.765635286,0.056525836,5.07,Springmount,Nutrient_treatment_Nh_and_grass_treatment_G0
1093,Eucalyptus platyphylla,2,Nh,G0,Australia,Humid,Deciduous,51.26,0.12,0.72,13.79,10.24,1.12,9.95,108.56,127,1.06,7.872371284,0.061987175,NA,Springmount,Nutrient_treatment_Nh_and_grass_treatment_G0
1094,Eucalyptus platyphylla,2,Nh,G0,Australia,Humid,Deciduous,60.59,0.157,0.65,13.13,10.25,0.81,7.86,56.14,82,1.05,4.275704494,0.052142738,5.11,Springmount,Nutrient_treatment_Nh_and_grass_treatment_G0
1095,Eucalyptus platyphylla,2,Nl,G0,Australia,Humid,Deciduous,20.55,0.247,0.39,14.2,12.35,0.9,10.03,80.5,276,1.02,5.669014085,0.020539906,2.46,Springmount,Nutrient_treatment_Nl_and_grass_treatment_G0
1096,Eucalyptus platyphylla,2,Nl,G0,Australia,Humid,Deciduous,31.39,0.268,0.4,10.17,6.09,0.68,7.2,52.84,80,1.07,5.19567355,0.064945919,4.43,Springmount,Nutrient_treatment_Nl_and_grass_treatment_G0
1097,Eucalyptus platyphylla,1,Nh,G0,Australia,Humid,Deciduous,22.74,0.119,0.37,20.61,20.25,1.38,16.45,174.12,77,1.11,8.448326055,0.10971852,16.21,Springmount,Nutrient_treatment_Nh_and_grass_treatment_G0
1098,Eucalyptus platyphylla,1,Nh,G1,Australia,Humid,Deciduous,5.98,0.166,NA,19.88,22.85,1.52,18.93,30.83,12,1.14,1.550804829,0.129233736,NA,Springmount,Nutrient_treatment_Nh_and_grass_treatment_G1
1099,Eucalyptus platyphylla,1,Nh,G1,Australia,Humid,Deciduous,4.74,0.218,NA,20.44,20.84,1.39,6.56,9.18,9,1.05,0.449119374,0.049902153,NA,Springmount,Nutrient_treatment_Nh_and_grass_treatment_G1
1100,Eucalyptus platyphylla,1,Nh,G1,Australia,Humid,Deciduous,0.96,0.169,NA,24.68,17.55,1.3,12.37,42.95,13,1.14,1.740275527,0.133867348,NA,Springmount,Nutrient_treatment_Nh_and_grass_treatment_G1
1101,Eucalyptus platyphylla,1,Nh,G1,Australia,Humid,Deciduous,1.73,0.099,NA,21.2,21.41,1.08,13.92,79.44,21,1.19,3.747169811,0.178436658,NA,Springmount,Nutrient_treatment_Nh_and_grass_treatment_G1
1102,Eucalyptus platyphylla,1,Nh,G1,Australia,Humid,Deciduous,0.51,0.4,NA,NA,17.29,0.99,12.84,NA,NA,NA,NA,NA,NA,Springmount,Nutrient_treatment_Nh_and_grass_treatment_G1
1103,Eucalyptus platyphylla,1,Nl,G1,Australia,Humid,Deciduous,0.55,0.164,NA,NA,NA,NA,NA,NA,33.32,1.19,NA,NA,NA,Springmount,Nutrient_treatment_Nl_and_grass_treatment_G1
1104,Eucalyptus platyphylla,1,Nl,G1,Australia,Humid,Deciduous,0.84,0.076,NA,33.42,22.73,1.52,14.33,41.5,232.98,1.01,1.241771394,0.005329948,NA,Springmount,Nutrient_treatment_Nl_and_grass_treatment_G1
1105,Eucalyptus platyphylla,1,Nl,G1,Australia,Humid,Deciduous,0.53,0.1,NA,20.57,NA,NA,NA,54.79,123.06,1.02,2.663587749,0.021644627,NA,Springmount,Nutrient_treatment_Nl_and_grass_treatment_G1
1106,Eucalyptus platyphylla,1,Nl,G1,Australia,Humid,Deciduous,0.68,0.098,NA,34.51,14.39,0.9,9.72,175.77,47.59,1.11,5.093306288,0.107024717,NA,Springmount,Nutrient_treatment_Nl_and_grass_treatment_G1
1107,Eucalyptus platyphylla,1,Nl,G1,Australia,Humid,Deciduous,0.93,0.122,NA,23.34,14.57,1.01,10.5,138.68,30,1.2,5.941730934,0.198057698,NA,Springmount,Nutrient_treatment_Nl_and_grass_treatment_G1
1108,Eucalyptus platyphylla,2,Nh,G1,Australia,Humid,Deciduous,22.3,0.123,NA,11.3,10.21,1.6,9.07,57.48,212,1.02,5.086725664,0.023993989,NA,Springmount,Nutrient_treatment_Nh_and_grass_treatment_G1
1109,Eucalyptus platyphylla,2,Nh,G1,Australia,Humid,Deciduous,3.74,0.141,NA,15.19,14.63,1.66,9.63,38.98,84,1.03,2.566161949,0.030549547,NA,Springmount,Nutrient_treatment_Nh_and_grass_treatment_G1
1110,Eucalyptus platyphylla,2,Nh,G1,Australia,Humid,Deciduous,5.24,0.113,NA,22.78,11.8,1.12,8.47,67.07,129,1.02,2.944249342,0.022823638,NA,Springmount,Nutrient_treatment_Nh_and_grass_treatment_G1
1111,Eucalyptus platyphylla,2,Nh,G1,Australia,Humid,Deciduous,20.52,0.167,NA,13.81,9.96,1.32,5.27,63.12,122,1.04,4.570601014,0.037463943,NA,Springmount,Nutrient_treatment_Nh_and_grass_treatment_G1
1112,Eucalyptus platyphylla,2,Nh,G1,Australia,Humid,Deciduous,12.17,0.078,NA,21.79,16.06,1.68,11.31,212.38,280,1.04,9.746672786,0.034809546,NA,Springmount,Nutrient_treatment_Nh_and_grass_treatment_G1
1113,Eucalyptus platyphylla,2,Nl,G1,Australia,Humid,Deciduous,3.81,0.019,NA,14.1,7.03,0.47,6.95,NA,NA,NA,NA,NA,NA,Springmount,Nutrient_treatment_Nl_and_grass_treatment_G1
1114,Eucalyptus platyphylla,2,Nl,G1,Australia,Humid,Deciduous,2.54,0.268,NA,13.5,7.31,0.74,4.54,76.61,91,1.06,5.674814815,0.062360602,NA,Springmount,Nutrient_treatment_Nl_and_grass_treatment_G1
1115,Eucalyptus platyphylla,2,Nl,G1,Australia,Humid,Deciduous,2.94,0.304,NA,15.1,7.81,0.51,5.3,62.92,259,1.02,4.166887417,0.016088368,NA,Springmount,Nutrient_treatment_Nl_and_grass_treatment_G1
1116,Eucalyptus platyphylla,2,Nl,G1,Australia,Humid,Deciduous,1.47,0.338,NA,20.03,9.37,0.87,7.96,67.1,56,1.06,3.349975037,0.059820983,NA,Springmount,Nutrient_treatment_Nl_and_grass_treatment_G1
1117,Eucalyptus platyphylla,2,Nl,G1,Australia,Humid,Deciduous,5.45,0.189,NA,17.73,10.96,0.7,7.65,133.98,267,1.03,7.556683587,0.028302186,NA,Springmount,Nutrient_treatment_Nl_and_grass_treatment_G1
1118,Eucalyptus platyphylla,2,Nl,G0,Australia,Humid,Deciduous,29.3,0.353,0.32,10.64,6.41,0.71,6.95,61.62,162,1.04,5.791353383,0.035749095,11.75,Springmount,Nutrient_treatment_Nl_and_grass_treatment_G0
1119,Eucalyptus platyphylla,2,Nl,G0,Australia,Humid,Deciduous,26.41,0.329,0.22,12.74,9.41,0.94,9.99,NA,NA,NA,NA,NA,4.03,Springmount,Nutrient_treatment_Nl_and_grass_treatment_G0
1120,Eucalyptus platyphylla,2,Nl,G0,Australia,Humid,Deciduous,33.15,0.192,0.49,11.88,8.45,0.92,7.89,49.71,42,1.1,4.184343434,0.099627225,5.97,Springmount,Nutrient_treatment_Nl_and_grass_treatment_G0
1121,Eucalyptus tessellaris,1,Nh,G1,Australia,Humid,Evergreen,2.52,0.21,NA,23.31,16.04,0.7,8.39,48.2,15.46,1.14,2.067782068,0.133750457,NA,"Mareeba, Queensland",Nutrient_treatment_Nh_and_grass_treatment_G1
1122,Eucalyptus tessellaris,1,Nh,G1,Australia,Humid,Evergreen,1.24,0.194,NA,31.86,16.89,1.07,12.2,NA,NA,NA,NA,NA,NA,"Mareeba, Queensland",Nutrient_treatment_Nh_and_grass_treatment_G1
1123,Eucalyptus tessellaris,1,Nh,G1,Australia,Humid,Evergreen,1.66,0.222,NA,28,19.78,1.02,15.49,168.32,53.12,1.12,6.011428571,0.113166954,NA,"Mareeba, Queensland",Nutrient_treatment_Nh_and_grass_treatment_G1
1124,Eucalyptus tessellaris,1,Nl,G1,Australia,Humid,Evergreen,3.64,0.181,NA,18.1,12.72,0.52,5.61,NA,91.37,NA,NA,NA,NA,"Mareeba, Queensland",Nutrient_treatment_Nl_and_grass_treatment_G1
1125,Eucalyptus tessellaris,1,Nh,G1,Australia,Humid,Evergreen,6.83,0.14,NA,23.14,17.77,0.96,17.73,65.79,35,1.08,2.843128781,0.081232251,NA,"Mareeba, Queensland",Nutrient_treatment_Nh_and_grass_treatment_G1
1126,Eucalyptus tessellaris,1,Nh,G1,Australia,Humid,Evergreen,1.73,0.145,NA,23.69,16.68,1.16,10.76,1,8.11,1,0.042211904,0.00520492,NA,"Mareeba, Queensland",Nutrient_treatment_Nh_and_grass_treatment_G1
1127,Eucalyptus tessellaris,1,Nl,G1,Australia,Humid,Evergreen,1,0.141,NA,31.37,14.42,0.86,7.67,17.92,22.57,1.03,0.571246414,0.025309987,NA,"Mareeba, Queensland",Nutrient_treatment_Nl_and_grass_treatment_G1
1128,Eucalyptus tessellaris,2,Nh,G1,Australia,Humid,Evergreen,5.27,0.387,NA,17.42,13.36,1.11,7.66,77.65,125,1.04,4.457520092,0.035660161,NA,"Mareeba, Queensland",Nutrient_treatment_Nh_and_grass_treatment_G1
1129,Eucalyptus tessellaris,2,Nh,G1,Australia,Humid,Evergreen,19.06,0.238,NA,16.06,15.4,0.83,12.84,121.47,204,1.04,7.563511831,0.037076038,NA,"Mareeba, Queensland",Nutrient_treatment_Nh_and_grass_treatment_G1
1130,Eucalyptus tessellaris,2,Nh,G1,Australia,Humid,Evergreen,21.56,0.113,NA,16.67,12.32,1.42,13.01,129.37,177,1.04,7.76064787,0.043845468,NA,"Mareeba, Queensland",Nutrient_treatment_Nh_and_grass_treatment_G1
1131,Eucalyptus tessellaris,2,Nh,G1,Australia,Humid,Evergreen,8.32,0.222,NA,34.74,15.59,1.54,13.4,28.79,31,1.03,0.828727691,0.026733151,NA,"Mareeba, Queensland",Nutrient_treatment_Nh_and_grass_treatment_G1
1132,Eucalyptus tessellaris,2,Nh,G1,Australia,Humid,Evergreen,2.24,0.056,NA,24.51,10.98,1.24,10.06,35.32,105,1.01,1.441044472,0.013724233,NA,"Mareeba, Queensland",Nutrient_treatment_Nh_and_grass_treatment_G1
1133,Eucalyptus tessellaris,2,Nl,G1,Australia,Humid,Evergreen,7.16,0.193,NA,18.87,9.05,0.86,6.07,NA,NA,NA,NA,NA,NA,"Mareeba, Queensland",Nutrient_treatment_Nl_and_grass_treatment_G1
1134,Eucalyptus tessellaris,2,Nl,G1,Australia,Humid,Evergreen,0.7,0.452,NA,34.05,19.9,2.43,12.87,114.1,103.2,1.03,3.350954479,0.032470489,NA,"Mareeba, Queensland",Nutrient_treatment_Nl_and_grass_treatment_G1
1135,Eucalyptus tessellaris,2,Nl,G1,Australia,Humid,Evergreen,1.87,0.231,NA,18.53,7.43,0.6,4.5,51.03,157,1.02,2.753912574,0.017540844,NA,"Mareeba, Queensland",Nutrient_treatment_Nl_and_grass_treatment_G1
1136,Eucalyptus tessellaris,2,Nl,G1,Australia,Humid,Evergreen,1.92,0.325,NA,16.8,7.99,0.6,5.27,43,191,1.01,2.55952381,0.013400648,NA,"Mareeba, Queensland",Nutrient_treatment_Nl_and_grass_treatment_G1
1137,Eucalyptus tessellaris,2,Nl,G1,Australia,Humid,Evergreen,1.2,0.098,NA,32.07,9.59,1.03,5.85,29.86,38,1.02,0.931088244,0.024502322,NA,"Mareeba, Queensland",Nutrient_treatment_Nl_and_grass_treatment_G1
1138,Eucalyptus tessellaris,2,Nh,G0,Australia,Humid,Evergreen,66.35,0.238,0.46,12.05,7.36,0.77,3.96,33.54,46,1.06,2.78340249,0.06050875,3.96,"Mareeba, Queensland",Nutrient_treatment_Nh_and_grass_treatment_G0
1139,Eucalyptus tessellaris,2,Nh,G0,Australia,Humid,Evergreen,68.48,0.068,0.69,18.79,10.92,1.5,9.58,NA,NA,NA,NA,NA,9.62,"Mareeba, Queensland",Nutrient_treatment_Nh_and_grass_treatment_G0
1140,Eucalyptus tessellaris,2,Nh,G0,Australia,Humid,Evergreen,52.83,0.13,0.52,16.13,11.54,0.73,5.39,110.65,142,1.05,6.859888407,0.048309073,9,"Mareeba, Queensland",Nutrient_treatment_Nh_and_grass_treatment_G0
1141,Eucalyptus tessellaris,2,Nh,G0,Australia,Humid,Evergreen,38,0.281,0.48,14.11,9.84,0.97,9.28,61.67,126,1.03,4.370659107,0.034687771,15.96,"Mareeba, Queensland",Nutrient_treatment_Nh_and_grass_treatment_G0
1142,Eucalyptus tessellaris,2,Nh,G0,Australia,Humid,Evergreen,59.47,0.145,0.57,13.54,7.2,0.8,5.63,83.6,72,1.09,6.174298375,0.085754144,23.31,"Mareeba, Queensland",Nutrient_treatment_Nh_and_grass_treatment_G0
1143,Eucalyptus tessellaris,2,Nl,G0,Australia,Humid,Evergreen,10.98,0.149,0.29,15.26,11.57,0.98,7.07,97.14,200,1.03,6.365661861,0.031828309,6.93,"Mareeba, Queensland",Nutrient_treatment_Nl_and_grass_treatment_G0
1144,Eucalyptus tessellaris,2,Nl,G0,Australia,Humid,Evergreen,29.1,0.154,0.33,11.73,5.46,1.13,4.81,59.63,100,1.05,5.083546462,0.050835465,12.67,"Mareeba, Queensland",Nutrient_treatment_Nl_and_grass_treatment_G0
1145,Eucalyptus tessellaris,2,Nl,G0,Australia,Humid,Evergreen,11.65,0.329,0.24,15.23,11.01,1.1,5.62,55.83,55,1.07,3.665791202,0.066650749,5.74,"Mareeba, Queensland",Nutrient_treatment_Nl_and_grass_treatment_G0
1146,Eucalyptus tessellaris,2,Nl,G0,Australia,Humid,Evergreen,8.24,0.25,0.16,13.04,13.45,1.03,10.41,132.75,151,1.07,10.18021472,0.067418641,9.63,"Mareeba, Queensland",Nutrient_treatment_Nl_and_grass_treatment_G0
1147,Eucalyptus tessellaris,2,Nl,G0,Australia,Humid,Evergreen,17.31,0.209,0.29,15.49,12.89,1.03,8.73,25.79,108,1.02,1.664945126,0.015416159,27.33,"Mareeba, Queensland",Nutrient_treatment_Nl_and_grass_treatment_G0
1148,Eucalyptus tessellaris,1,Nl,G0,Australia,Humid,Evergreen,25.23,0.199,0.22,17.28,14.17,1.21,13.8,NA,83,NA,NA,NA,31.14,"Mareeba, Queensland",Nutrient_treatment_Nl_and_grass_treatment_G0
1149,Eucalyptus tessellaris,1,Nl,G0,Australia,Humid,Evergreen,18.42,0.281,0.22,20.02,15.3,1.02,14.05,41.04,17,1.13,2.04995005,0.120585297,49,"Mareeba, Queensland",Nutrient_treatment_Nl_and_grass_treatment_G0
1150,Eucalyptus tessellaris,1,Nl,G0,Australia,Humid,Evergreen,13.37,0.214,0.18,22.76,17.07,0.96,13.36,144.39,70,1.09,6.344024605,0.090628923,20.5,"Mareeba, Queensland",Nutrient_treatment_Nl_and_grass_treatment_G0
1151,Eucalyptus tessellaris,1,Nl,G0,Australia,Humid,Evergreen,24.32,0.207,0.2,15.6,13.16,0.84,12.29,75.88,35,1.14,4.864102564,0.138974359,45.2,"Mareeba, Queensland",Nutrient_treatment_Nl_and_grass_treatment_G0
1152,Eucalyptus tessellaris,1,Nl,G1,Australia,Humid,Evergreen,1.12,0.088,NA,31.93,16.03,0.65,8.08,1,69.77,1,0.031318509,4.49E-04,NA,"Mareeba, Queensland",Nutrient_treatment_Nl_and_grass_treatment_G1
1153,Eucalyptus tessellaris,1,Nl,G1,Australia,Humid,Evergreen,1.51,0.083,NA,27.27,14.93,0.83,11.43,99.17,89,1.04,3.636596993,0.04086064,NA,"Mareeba, Queensland",Nutrient_treatment_Nl_and_grass_treatment_G1
1154,Eucalyptus tessellaris,1,Nl,G1,Australia,Humid,Evergreen,0.97,0.127,NA,36.5,21.15,1.62,16.71,28.15,97.72,1.01,0.771232877,0.007892273,NA,"Mareeba, Queensland",Nutrient_treatment_Nl_and_grass_treatment_G1
