Ecosystem,species records,R+,S+,resp.type,Conserved R+,Conserved S+,Genus number,Genus,Family,Family number
Eucalypt Forest,Bossiaea_cinerea,yes,X,X,Conserved,Strongly Conserved,83,Bossiaea,Fabo,52
Eucalypt Shrubland,Bossiaea_divaricata,X,yes,X,Conserved,Strongly Conserved,83,Bossiaea,Fabo,52
Heath,Bossiaea_ensata,yes,yes,Basal,Conserved,Strongly Conserved,83,Bossiaea,Fabo,52
Heath,Bossiaea_eriocarpa,no,yes,Killed,Conserved,Strongly Conserved,83,Bossiaea,Fabo,52
Eucalypt Forest,Bossiaea_foliosa,yes,yes,Basal,Conserved,Strongly Conserved,83,Bossiaea,Fabo,52
Heath,Bossiaea_foliosa_sens_lat,yes,yes,Basal,Conserved,Strongly Conserved,83,Bossiaea,Fabo,52
Heath,Bossiaea_heterophylla,yes,yes,Basal,Conserved,Strongly Conserved,83,Bossiaea,Fabo,52
Eucalypt Forest,Bossiaea_kiamensis,yes,X,X,Conserved,Strongly Conserved,83,Bossiaea,Fabo,52
Eucalypt Forest,Bossiaea_lenticularis,yes,yes,Basal,Conserved,Strongly Conserved,83,Bossiaea,Fabo,52
Heath,Bossiaea_linophylla,no,yes,Killed,Conserved,Strongly Conserved,83,Bossiaea,Fabo,52
Eucalypt Forest,Bossiaea_neo-anglica,yes,yes,Basal,Conserved,Strongly Conserved,83,Bossiaea,Fabo,52
Eucalypt Forest,Bossiaea_obcordata,yes,yes,Basal,Conserved,Strongly Conserved,83,Bossiaea,Fabo,52
Heath,Bossiaea_ornata,yes,yes,X,Conserved,Strongly Conserved,83,Bossiaea,Fabo,52
Eucalypt Forest,Bossiaea_prostrata,yes,X,X,Conserved,Strongly Conserved,83,Bossiaea,Fabo,52
Eucalypt Forest,Bossiaea_rhombifolia,no,yes,Killed,Conserved,Strongly Conserved,83,Bossiaea,Fabo,52
Eucalypt Forest,Bossiaea_rhombifolia_subsp._rhombifolia,no,X,Killed,Conserved,Strongly Conserved,83,Bossiaea,Fabo,52
Eucalypt Forest,Bossiaea_scolopendria,yes,yes,Basal,Conserved,Strongly Conserved,83,Bossiaea,Fabo,52
Eucalypt Forest,Bossiaea_scortechinii,yes,yes,Basal,Conserved,Strongly Conserved,83,Bossiaea,Fabo,52
Heath,Bossiaea_spinosa,yes,yes,X,Conserved,Strongly Conserved,83,Bossiaea,Fabo,52
Eucalypt Forest,Bossiaea_spp.,X,X,X,Conserved,Strongly Conserved,83,Bossiaea,Fabo,52
Eucalypt Forest,Bossiaea_stephensonii,yes,yes,Basal,Conserved,Strongly Conserved,83,Bossiaea,Fabo,52
Eucalypt Forest,Brachychiton_acerifolius,X,X,X,Strongly Conserved,Conserved,84,Brachychiton,Malv,70
Savanna,Brachychiton_diversifolius,yes,no,Basal,Strongly Conserved,Conserved,84,Brachychiton,Malv,70
Savanna,Brachychiton_megaphyllus,yes,no,Epicormic,Strongly Conserved,Conserved,84,Brachychiton,Malv,70
Savanna,Brachychiton_paradoxus,yes,no,Epicormic,Strongly Conserved,Conserved,84,Brachychiton,Malv,70
Savanna,Brachychiton_populneus,yes,no,X,Strongly Conserved,Conserved,84,Brachychiton,Malv,70
Eucalypt Forest,Brachychiton_populneus_subsp._populneus,yes,yes,Basal,Strongly Conserved,Conserved,84,Brachychiton,Malv,70
Acacia Shrublands,Brachychiton_rupestris,yes,no,Epicormic,Strongly Conserved,Conserved,84,Brachychiton,Malv,70
Savanna,Brachychiton_sp.,yes,no,Epicormic,Strongly Conserved,Conserved,84,Brachychiton,Malv,70
Eucalypt Forest,Brachyloma_daphnoides_,yes,yes,Basal,Conserved,Strongly Conserved,85,Brachyloma,Eric,47
Eucalypt Forest,Brachyloma_daphnoides_subsp._daphnoides,yes,X,Basal,Conserved,Strongly Conserved,85,Brachyloma,Eric,47
Eucalypt Forest,Brachyloma_daphnoides_subsp._glabrum,yes,yes,Basal,Conserved,Strongly Conserved,85,Brachyloma,Eric,47
Heath,Brachyloma_moolya,X,X,X,Conserved,Strongly Conserved,85,Brachyloma,Eric,47
Eucalypt Shrubland,Brachyloma_nguba,X,X,X,Conserved,Strongly Conserved,85,Brachyloma,Eric,47
Eucalypt Forest,Brachyloma_saxicola,no,yes,Killed,Conserved,Strongly Conserved,85,Brachyloma,Eric,47
Eucalypt Shrubland,Brachyloma_ericoides,no,yes,Killed,Conserved,Strongly Conserved,85,Brachyloma,Eric,47
Heath,Breynia_cernua,yes,no,Epicormic,Strongly Conserved,Unknown,86,Breynia,Phyl,94
Acacia Shrublands,Breynia_oblongifolia,yes,no,Basal,Strongly Conserved,Unknown,86,Breynia,Phyl,94
Acacia Shrublands,Bridelia_leichhardtii,yes,no,Basal,Strongly Conserved,Unknown,87,Bridelia,Phyl,94
Savanna,Bridelia_tomentosa,yes,yes,Epicormic,Strongly Conserved,Unknown,87,Bridelia,Phyl,94
Eucalypt Forest,Brucea_javanica,yes,no,Basal,Unknown,Unknown,88,Brucea,Sima,120
Heath,Buchanania_obovata,yes,yes,Epicormic,Unknown,Unknown,89,Buchanania,Anac,5
Eucalypt Forest,Bursaria_calcicola,X,X,X,Strongly Conserved,Unknown,90,Bursaria,Pitt,98
Savanna,Bursaria_incana,yes,yes,Basal,Strongly Conserved,Unknown,90,Bursaria,Pitt,98
Eucalypt Forest,Bursaria_longisepala,yes,no,Basal,Strongly Conserved,Unknown,90,Bursaria,Pitt,98
Acacia Shrublands,Bursaria_spinosa,yes,no,Basal,Strongly Conserved,Unknown,90,Bursaria,Pitt,98
Eucalypt Forest,Bursaria_spinosa_subsp._lasiophylla,yes,no,Basal,Strongly Conserved,Unknown,90,Bursaria,Pitt,98
Eucalypt Forest,Bursaria_spinosa_subsp._spinosa,yes,no,Basal,Strongly Conserved,Unknown,90,Bursaria,Pitt,98
Eucalypt Forest,Bursaria_tenuifolia,yes,no,Basal,Strongly Conserved,Unknown,90,Bursaria,Pitt,98
Eucalypt Forest,Caesia_parviflora_var._minor,yes,X,X,Unknown,Unknown,91,Caesia,Heme,58
Grassland,Cajanus_acutifolius,no,yes,Killed,Unknown,Unknown,92,Cajanus,Fabo,52
Rainforest,Calamus_muelleri,yes,no,Basal,Unknown,Unknown,93,Calamus,Arec,11
Rainforest,Caldcluvia_paniculosa_,yes,no,Basal,Unknown,Unknown,94,Caldcluvia,Cuno,34
Heath,Calectasia_grandiflora_subsp._wheatbelt_(A.M._Coates_4315),yes,no,X,Unknown,Unknown,95,Calectasia,Dasy,40
Heath,Calectasia_pignattiana,no,no,X,Unknown,Unknown,95,Calectasia,Dasy,40
Rainforest,Callicarpa_pedunculata,yes,no,Basal,Unknown,Unknown,96,Callicarpa,Lami,63
Eucalypt Forest,Callicoma_serratifolia,yes,no,Basal,Unknown,Unknown,97,Callicoma,Cuno,34
Eucalypt Forest,Callistemon_citrinus,yes,yes,Basal,Strongly Conserved,Strongly Conserved,98,Callistemon,Myrt,78
Eucalypt Forest,Callistemon_comboynensis,yes,yes,Basal,Strongly Conserved,Strongly Conserved,98,Callistemon,Myrt,78
Eucalypt Forest,Callistemon_flavovirens,yes,yes,Basal,Strongly Conserved,Strongly Conserved,98,Callistemon,Myrt,78
Eucalypt Forest,Callistemon_linearis,yes,yes,Basal,Strongly Conserved,Strongly Conserved,98,Callistemon,Myrt,78
Eucalypt Forest,Callistemon_pallidus,yes,X,X,Strongly Conserved,Strongly Conserved,98,Callistemon,Myrt,78
Eucalypt Forest,Callistemon_pinifolius,yes,X,X,Strongly Conserved,Strongly Conserved,98,Callistemon,Myrt,78
Eucalypt Forest,Callistemon_pityoides,yes,yes,Basal,Strongly Conserved,Strongly Conserved,98,Callistemon,Myrt,78
Eucalypt Forest,Callistemon_pungens,yes,yes,Basal,Strongly Conserved,Strongly Conserved,98,Callistemon,Myrt,78
Eucalypt Forest,Callistemon_rigidus,yes,X,X,Strongly Conserved,Strongly Conserved,98,Callistemon,Myrt,78
Eucalypt Shrubland,Callistemon_rugulosus,yes,yes,X,Strongly Conserved,Strongly Conserved,98,Callistemon,Myrt,78
Eucalypt Forest,Callistemon_salignus,yes,X,X,Strongly Conserved,Strongly Conserved,98,Callistemon,Myrt,78
Eucalypt Forest,Callistemon_shiressii,yes,X,X,Strongly Conserved,Strongly Conserved,98,Callistemon,Myrt,78
Eucalypt Forest,Callistemon_sieberi,yes,yes,Basal,Strongly Conserved,Strongly Conserved,98,Callistemon,Myrt,78
Eucalypt Forest,Callistemon_sp._aff._flavovirens,yes,yes,Basal,Strongly Conserved,Strongly Conserved,98,Callistemon,Myrt,78
Eucalypt Forest,Callistemon_subulatus,yes,X,X,Strongly Conserved,Strongly Conserved,98,Callistemon,Myrt,78
Eucalypt Forest,Callistemon_viminalis,yes,yes,Basal,Strongly Conserved,Strongly Conserved,98,Callistemon,Myrt,78
Heath,Callitris_acuminatus,yes,yes,X,Unknown,Conserved,99,Callitris,Cupr,35
Savanna,Callitris_baileyi,no,yes,Killed,Unknown,Conserved,99,Callitris,Cupr,35
Eucalypt Forest,Callitris_endlicheri,no,yes,Killed,Unknown,Conserved,99,Callitris,Cupr,35
Eucalypt Forest,Callitris_endlicheri_juvenile,no,yes,Killed,Unknown,Conserved,99,Callitris,Cupr,35
Acacia Shrublands,Callitris_glaucophylla,no,yes,Killed,Unknown,Conserved,99,Callitris,Cupr,35
Eucalypt Forest,Callitris_gracilis_subsp._gracilis,X,X,X,Unknown,Conserved,99,Callitris,Cupr,35
Savanna,Callitris_intratropica,no,no,Killed,Unknown,Conserved,99,Callitris,Cupr,35
Heath,Callitris_monticola,no,yes,Killed,Unknown,Conserved,99,Callitris,Cupr,35
Eucalypt Forest,Callitris_muelleri,no,X,Killed,Unknown,Conserved,99,Callitris,Cupr,35
Eucalypt Shrubland,Callitris_rhomboidea,no,yes,Killed,Unknown,Conserved,99,Callitris,Cupr,35
Heath,Callitris_roei,no,yes,Killed,Unknown,Conserved,99,Callitris,Cupr,35
Eucalypt Shrubland,Callitris_verrucosa,no,yes,Killed,Unknown,Conserved,99,Callitris,Cupr,35
Heath,Calothamnus_gracilis,yes,yes,X,Strongly Conserved,Strongly Conserved,100,Calothamnus,Myrt,78
Heath,Calothamnus_hirsutus,yes,yes,X,Strongly Conserved,Strongly Conserved,100,Calothamnus,Myrt,78
Heath,Calothamnus_quadrifidus,yes,yes,X,Strongly Conserved,Strongly Conserved,100,Calothamnus,Myrt,78
Heath,Calothamnus_sanguineus,yes,yes,X,Strongly Conserved,Strongly Conserved,100,Calothamnus,Myrt,78
Heath,Calothamnus_sp.,yes,yes,X,Strongly Conserved,Strongly Conserved,100,Calothamnus,Myrt,78
Heath,Calothamnus_torulosus,yes,yes,X,Strongly Conserved,Strongly Conserved,100,Calothamnus,Myrt,78
Eucalypt Forest,Calotis_dentex,no,X,Killed,Unknown,Unknown,101,Calotis,Aste,13
Heath,Calycopeplus_collinus,no,yes,Killed,Unknown,Unknown,102,Calycopeplus,Euph,50
Heath,Calytrix_achaeta,yes,no,Basal,Conserved,Conserved,103,Calytrix,Myrt,78
Eucalypt Shrubland,Calytrix_alpestris,no,yes,Killed,Conserved,Conserved,103,Calytrix,Myrt,78
Heath,Calytrix_arborescens,no,no,Killed,Conserved,Conserved,103,Calytrix,Myrt,78
Heath,Calytrix_breviseta_subsp._stipulosa,no,yes,Killed,Conserved,Conserved,103,Calytrix,Myrt,78
Savanna,Calytrix_brownii,no,yes,Killed,Conserved,Conserved,103,Calytrix,Myrt,78
Spinifex Grassland,Calytrix_carinata,yes,no,Basal,Conserved,Conserved,103,Calytrix,Myrt,78
Heath,Calytrix_decussata,no,yes,Killed,Conserved,Conserved,103,Calytrix,Myrt,78
Heath,Calytrix_depressa,yes,yes,X,Conserved,Conserved,103,Calytrix,Myrt,78
Heath,Calytrix_exstipulata,yes,no,Basal,Conserved,Conserved,103,Calytrix,Myrt,78
Heath,Calytrix_flavescens,no,yes,Killed,Conserved,Conserved,103,Calytrix,Myrt,78
Heath,Calytrix_fraseri,no,yes,Killed,Conserved,Conserved,103,Calytrix,Myrt,78
Eucalypt Shrubland,Calytrix_leschenaultii,no,yes,Killed,Conserved,Conserved,103,Calytrix,Myrt,78
Heath,Calytrix_leschenaultii,no,yes,Killed,Conserved,Conserved,103,Calytrix,Myrt,78
Heath,Calytrix_megaphylla,yes,no,Basal,Conserved,Conserved,103,Calytrix,Myrt,78
Heath,Calytrix_nematoclada,X,yes,X,Conserved,Conserved,103,Calytrix,Myrt,78
Heath,Calytrix_simplex_subsp._suboppositifolia,X,yes,X,Conserved,Conserved,103,Calytrix,Myrt,78
Heath,Calytrix_sp.,yes,yes,X,Conserved,Conserved,103,Calytrix,Myrt,78
Heath,Calytrix_superba,yes,yes,X,Conserved,Conserved,103,Calytrix,Myrt,78
Heath,Calytrix_tetragona,yes,yes,Basal,Conserved,Conserved,103,Calytrix,Myrt,78
Heath,Calytrix_verticillata,no,yes,Killed,Conserved,Conserved,103,Calytrix,Myrt,78
Savanna,Canarium_australianum,yes,yes,Basal,Unknown,Unknown,104,Canarium,Burs,21
Rainforest,Cansjera_leptostachya,yes,X,X,Unknown,Unknown,105,Cansjera,Opil,85
Acacia Shrublands,Capparis,yes,no,Basal,Strongly Conserved,Conserved,106,Capparis,Capp,25
Rainforest,Capparis_arborea_,yes,no,Basal,Strongly Conserved,Conserved,106,Capparis,Capp,25
Savanna,Capparis_canescens,yes,yes,Basal,Strongly Conserved,Conserved,106,Capparis,Capp,25
Acacia Shrublands,Capparis_lasiantha,yes,no,Epicormic,Strongly Conserved,Conserved,106,Capparis,Capp,25
Grassland,Capparis_lasiantha,yes,no,Basal,Strongly Conserved,Conserved,106,Capparis,Capp,25
Savanna,Capparis_lasianthera,yes,yes,Basal,Strongly Conserved,Conserved,106,Capparis,Capp,25
Acacia Shrublands,Capparis_mitchellii,yes,no,Epicormic,Strongly Conserved,Conserved,106,Capparis,Capp,25
Grassland,Capparis_nummularia,yes,X,Basal,Strongly Conserved,Conserved,106,Capparis,Capp,25
Acacia Shrublands,Capparis_sarmentosa,yes,X,Basal,Strongly Conserved,Conserved,106,Capparis,Capp,25
Rainforest,Capparis_sepiaria,yes,yes,X,Strongly Conserved,Conserved,106,Capparis,Capp,25
Acacia Shrublands,Capparis_umbonata,yes,no,Epicormic,Unknown,Conserved,106,Capparis,Capp,25
Savanna,Carallia_brachiata,yes,no,Epicormic,Unknown,Unknown,107,Carallia,Rhiz,108
Eucalypt Forest,Cardamine_paucijuga,X,X,X,Unknown,Unknown,108,Cardamine,Bras,20
Grassland,Carissa_lanceolata,yes,no,Basal,Strongly Conserved,Conserved,109,Carissa,Apoc,9
Savanna,Carissa_lanceolata,yes,yes,Basal,Strongly Conserved,Conserved,109,Carissa,Apoc,9
Acacia Shrublands,Carissa_ovata,yes,no,Basal,Strongly Conserved,Conserved,109,Carissa,Apoc,9
Savanna,Carissa_ovata,yes,yes,Basal,Strongly Conserved,Conserved,109,Carissa,Apoc,9
Savanna,Carpentaria_acuminata,no,yes,Killed,Unknown,Unknown,110,Carpentaria,Arec,11
Acacia Shrublands,Cassia,X,X,X,Unknown,Unknown,111,Cassia,Caes,23
Acacia Shrublands,Cassia_brewsteri,yes,no,Underground,Strongly Conserved,Unknown,111,Cassia,Caes,23
Savanna,Cassia_mimosoides,yes,no,X,Strongly Conserved,Unknown,111,Cassia,Caes,23
Eucalypt Forest,Cassinia_aculeata,no,no,Killed,Conserved,Conserved,112,Cassinia,Aste,13
Eucalypt Forest,Cassinia_adunca,X,X,X,Conserved,Conserved,112,Cassinia,Aste,13
Eucalypt Forest,Cassinia_arcuata,no,X,Killed,Conserved,Conserved,112,Cassinia,Aste,13
Eucalypt Forest,Cassinia_aureonitens,no,X,Killed,Conserved,Conserved,112,Cassinia,Aste,13
Rainforest,Cassinia_compacta,no,no,Killed,Conserved,Conserved,112,Cassinia,Aste,13
Eucalypt Forest,Cassinia_cunninghamii,no,X,Killed,Conserved,Conserved,112,Cassinia,Aste,13
Eucalypt Forest,Cassinia_denticulata,no,X,Killed,Conserved,Conserved,112,Cassinia,Aste,13
Eucalypt Forest,Cassinia_laevis,yes,yes,Basal,Conserved,Conserved,112,Cassinia,Aste,13
Eucalypt Forest,Cassinia_leptocephala,X,X,X,Conserved,Conserved,112,Cassinia,Aste,13
Eucalypt Forest,Cassinia_longifolia,no,yes,Killed,Conserved,Conserved,112,Cassinia,Aste,13
Heath,Cassinia_monticola,yes,yes,Basal,Conserved,Conserved,112,Cassinia,Aste,13
Savanna,Cassinia_quinquefaria,no,yes,Killed,Conserved,Conserved,112,Cassinia,Aste,13
Eucalypt Forest,Cassinia_sp.,yes,yes,Basal,Conserved,Conserved,112,Cassinia,Aste,13
Eucalypt Forest,Cassinia_sp._D,X,X,X,Conserved,Conserved,112,Cassinia,Aste,13
Eucalypt Forest,Cassinia_sp._indet._79/42,no,no,Killed,Conserved,Conserved,112,Cassinia,Aste,13
Eucalypt Forest,Cassinia_spp.,X,X,X,Conserved,Conserved,112,Cassinia,Aste,13
Eucalypt Forest,Cassinia_subtropica,no,no,Killed,Conserved,Conserved,112,Cassinia,Aste,13
Eucalypt Forest,Cassinia_trinerva,no,X,Killed,Conserved,Conserved,112,Cassinia,Aste,13
Eucalypt Forest,Cassinia_uncata,no,no,Killed,Conserved,Conserved,112,Cassinia,Aste,13
Heath,Cassytha_flava,no,yes,Killed,Unknown,Strongly Conserved,113,Cassytha,Laur,64
Heath,Cassytha_glabella_forma_dispar,no,yes,Killed,Unknown,Strongly Conserved,113,Cassytha,Laur,64
Eucalypt Shrubland,Cassytha_melantha,no,yes,Killed,Unknown,Strongly Conserved,113,Cassytha,Laur,64
Eucalypt Shrubland,Cassytha_pomiformis,no,yes,Killed,Unknown,Strongly Conserved,113,Cassytha,Laur,64
Heath,Cassytha_sp.,no,yes,Killed,Unknown,Strongly Conserved,113,Cassytha,Laur,64
Acacia Shrublands,Casuarina_cristata,no,no,Killed,Unknown,Conserved,114,Casuarina,Casu,27
Savanna,Casuarina_cunninghammiana,yes,yes,Epicormic,Conserved,Conserved,114,Casuarina,Casu,27
Rainforest,Casuarina_cunninghamiana_subsp._cunninghamiana_,yes,no,Epicormic,Conserved,Conserved,114,Casuarina,Casu,27
Eucalypt Forest,Casuarina_glauca,yes,no,Epicormic,Conserved,Conserved,114,Casuarina,Casu,27
Acacia Shrublands,Cayratia,X,X,X,Unknown,Unknown,115,Cayratia,Vita,130
Acacia Shrublands,Cayratia_clematidea,yes,no,Basal,Conserved,Unknown,115,Cayratia,Vita,130
Eucalypt Forest,Cayratia_clematidea,yes,no,Basal,Conserved,Unknown,115,Cayratia,Vita,130
Rainforest,Cayratia_eurynema,no,no,Killed,Conserved,Unknown,115,Cayratia,Vita,130
Rainforest,Celastrus_sp.,no,no,Killed,Unknown,Unknown,116,Celastrus,Cela,28
Rainforest,Celastrus_subspicata_,yes,no,Basal,Unknown,Unknown,116,Celastrus,Cela,28
Rainforest,Celastrus_subspicatus,no,no,Killed,Unknown,Unknown,116,Celastrus,Cela,28
Eucalypt Forest,Celtis_australis,X,X,X,Unknown,Unknown,117,Celtis,Ulma,127
Rainforest,Celtis_philippensis,yes,no,X,Unknown,Unknown,117,Celtis,Ulma,127
Rainforest,Cenarrhenes_nitida,yes,no,Basal,Unknown,Unknown,118,Cenarrhenes,Prot,104
Rainforest,Cephalaralia_cephalobotrys,yes,no,Basal,Unknown,Unknown,119,Cephalaralia,Aral,10
Eucalypt Forest,Ceratopetalum_apetalum,yes,no,Basal,Strongly Conserved,Unknown,120,Ceratopetalum,Cuno,34
Eucalypt Forest,Ceratopetalum_gummiferum,yes,no,Basal,Strongly Conserved,Unknown,120,Ceratopetalum,Cuno,34
Eucalypt Forest,Chamaecrista_nomame_var._nomame,X,X,X,Unknown,Unknown,121,Chamaecrista,Caes,23
Eucalypt Shrubland,Chamelaucium_ciliatum,X,yes,X,Unknown,Strongly Conserved,122,Chamelaucium,Myrt,78
Heath,Chamelaucium_megalopetalum,no,yes,Killed,Unknown,Strongly Conserved,122,Chamelaucium,Myrt,78
Heath,Chamelaucium_naviculum,no,yes,Killed,Unknown,Strongly Conserved,122,Chamelaucium,Myrt,78
Eucalypt Forest,Cheiranthera_cyanea_var._cyanea,yes,no,Basal,Unknown,Unknown,123,Cheiranthera,Pitt,98
Grassland,Chenopodiaceae sp.,X,X,X,Conserved,Unknown,123,Cheiranthera,Pitt,98
Acacia Shrublands,Chenopodium,X,X,X,Conserved,Unknown,124,Chenopodium,Chen,29
Acacia Shrublands,Chenopodium_auricomum,yes,no,Basal,Conserved,Unknown,124,Chenopodium,Chen,29
Acacia Shrublands,Chenopodium_desertorum_subsp._anidiophyllum,yes,no,Basal,Conserved,Unknown,124,Chenopodium,Chen,29
Eucalypt Shrubland,Chenopodium_desertorum_subsp._desertorum,no,no,Killed,Conserved,Unknown,124,Chenopodium,Chen,29
Acacia Shrublands,Chenopodium_murale,X,X,X,Conserved,Unknown,124,Chenopodium,Chen,29
Acacia Shrublands,Chenopodium_nitrariaceum,yes,no,Basal,Conserved,Unknown,124,Chenopodium,Chen,29
Grassland,Chenopodium_sp._,no,no,Killed,Conserved,Unknown,124,Chenopodium,Chen,29
Eucalypt Forest,Chionanthus_ramiflora,yes,yes,Basal,Unknown,Unknown,125,Chionanthus,Olea,83
Eucalypt Forest,Chloanthes_stoechadis,no,X,Killed,Unknown,Unknown,126,Chloanthes,Lami,63
Eucalypt Forest,Choretrum_candollei,yes,no,Underground,Strongly Conserved,Unknown,127,Choretrum,Sant,115
Eucalypt Forest,Choretrum_pauciflorum,yes,no,Basal,Strongly Conserved,Unknown,127,Choretrum,Sant,115
Eucalypt Forest,Choretrum_sp._A,X,X,X,Strongly Conserved,Unknown,127,Choretrum,Sant,115
Eucalypt Forest,Choricarpia_leptopetala,yes,X,X,Unknown,Unknown,128,Choricarpia,Myrt,78
Eucalypt Forest,Chorizandra_cymbaria,yes,yes,Basal,Conserved,Unknown,129,Chorizandra,Cype,39
Heath,Chorizema_aciculare_subsp._aciculare,yes,yes,X,Conserved,Strongly Conserved,130,Chorizema,Fabo,52
Heath,Chorizema_glycinifolium,X,yes,X,Conserved,Strongly Conserved,130,Chorizema,Fabo,52
Eucalypt Forest,Chorizema_parviflorum,yes,X,X,Conserved,Strongly Conserved,130,Chorizema,Fabo,52
Heath,Chorizema_rhombeum,no,yes,Killed,Conserved,Strongly Conserved,130,Chorizema,Fabo,52
Eucalypt Forest,Chrysanthemoides_monilifera,no,X,Killed,Unknown,Unknown,131,Chrysanthemoides,Aste,13
Eucalypt Forest,Chrysanthemoides_monilifera_ssp_monilifera,X,X,X,Unknown,Unknown,131,Chrysanthemoides,Aste,13
Eucalypt Forest,Chrysanthemoides_monilifera_subsp._rotundata,no,X,Killed,Unknown,Unknown,131,Chrysanthemoides,Aste,13
Eucalypt Forest,Cineraria_lyratiformis,X,X,X,Unknown,Unknown,132,Cineraria,Aste,13
Eucalypt Forest,Cinnamomum_camphora,yes,X,X,Strongly Conserved,Unknown,133,Cinnamomum,Laur,64
Rainforest,Cinnamomum_oliveri_,yes,no,Basal,Strongly Conserved,Unknown,133,Cinnamomum,Laur,64
Rainforest,Cinnamonum_virens_,X,X,X,Strongly Conserved,Unknown,133,Cinnamomum,Laur,64
Rainforest,Cissus_antarctica_,yes,no,Basal,Strongly Conserved,Unknown,134,Cissus,Vita,130
Rainforest,Cissus_hypoglauca_,yes,no,Basal,Strongly Conserved,Unknown,134,Cissus,Vita,130
Eucalypt Forest,Cissus_oblonga,yes,no,Basal,Strongly Conserved,Unknown,134,Cissus,Vita,130
Rainforest,Cissus_opaca,yes,no,X,Strongly Conserved,Unknown,134,Cissus,Vita,130
Rainforest,Citronella_moorei___,yes,no,Basal,Unknown,Unknown,135,Citronella,Icac,61
Acacia Shrublands,Citrus_glauca,X,X,X,Unknown,Unknown,136,Citrus,Ruta,113
Savanna,Citrus_gracilis,yes,no,Epicormic,Unknown,Unknown,136,Citrus,Ruta,113
Rainforest,Claoxylon_australe_,yes,no,Basal,Unknown,Unknown,137,Claoxylon,Euph,50
Acacia Shrublands,Clematicissus_opaca,yes,no,Basal,Unknown,Unknown,138,Clematicissus,Vita,130
Eucalypt Forest,Clematis,yes,no,Basal,Strongly Conserved,Unknown,139,Clematis,Ranu,106
Rainforest,Clematis_aristata,yes,no,Basal,Strongly Conserved,Unknown,139,Clematis,Ranu,106
Eucalypt Forest,Clematis_glycinoides,yes,no,Basal,Strongly Conserved,Unknown,139,Clematis,Ranu,106
Eucalypt Forest,Clematis_glycinoides_var._glycinoides,yes,X,X,Strongly Conserved,Unknown,139,Clematis,Ranu,106
Eucalypt Forest,Clematis_microphylla,yes,no,Basal,Strongly Conserved,Unknown,139,Clematis,Ranu,106
Eucalypt Forest,Clematis_microphylla_var._leptophylla,yes,no,X,Strongly Conserved,Unknown,139,Clematis,Ranu,106
Eucalypt Forest,Clematis_microphylla_var._microphylla,yes,no,X,Strongly Conserved,Unknown,139,Clematis,Ranu,106
Grassland,Cleome_viscosa,yes,no,Basal,Unknown,Unknown,140,Cleome,Cleo,30
Savanna,Clerodendrum_floribundum,yes,yes,Epicormic,Strongly Conserved,Unknown,141,Clerodendrum,Lami,63
Acacia Shrublands,Clerodendrum_floribundum_var__ovatum,yes,no,Basal,Strongly Conserved,Unknown,141,Clerodendrum,Lami,63
Eucalypt Forest,Clerodendrum_tomentosum,yes,no,Basal,Strongly Conserved,Unknown,141,Clerodendrum,Lami,63
Heath,Cochlospermum_fraseri,yes,yes,Epicormic,Unknown,Unknown,142,Cochlospermum,Bixa,17
Spinifex Grassland,Codonocarpus_cotinifolius,yes,yes,Epicormic,Unknown,Strongly Conserved,143,Codonocarpus,Gyro,55
Eucalypt Shrubland,Codonocarpus_pyramidalis,no,yes,Killed,Unknown,Strongly Conserved,143,Codonocarpus,Gyro,55
Eucalypt Forest,Coelospermum_paniculatum,X,X,X,Unknown,Unknown,144,Coelospermum,Rubi,112
Savanna,Coelospermum_reticulatus,yes,no,Epicormic,Unknown,Unknown,144,Coelospermum,Rubi,112
Heath,Coleanthera_myrtoides,X,X,X,Unknown,Unknown,145,Coleanthera,Eric,47
Heath,Comesperma_aphyllum,no,yes,Killed,Conserved,Conserved,146,Comesperma,Poly,102
Eucalypt Forest,Comesperma_defoliatum,yes,no,Basal,Conserved,Conserved,146,Comesperma,Poly,102
Eucalypt Forest,Comesperma_ericinum,yes,no,Basal,Conserved,Conserved,146,Comesperma,Poly,102
Eucalypt Forest,Comesperma_ericinum_f._A,no,X,Killed,Conserved,Conserved,146,Comesperma,Poly,102
Eucalypt Forest,Comesperma_retusum,yes,X,X,Conserved,Conserved,146,Comesperma,Poly,102
Heath,Comesperma_scoparium,X,yes,X,Conserved,Conserved,146,Comesperma,Poly,102
Eucalypt Forest,Comesperma_sphaerocarpum,yes,X,X,Conserved,Conserved,146,Comesperma,Poly,102
Eucalypt Shrubland,Comesperma_spinosum,yes,yes,X,Conserved,Conserved,146,Comesperma,Poly,102
Heath,Comesperma_virgatum,no,yes,Killed,Conserved,Conserved,146,Comesperma,Poly,102
Spinifex Grassland,Comesperma_viscidulum,no,yes,Killed,Conserved,Conserved,146,Comesperma,Poly,102
Rainforest,Commersonia_bartramia,no,yes,Killed,Unknown,Strongly Conserved,147,Commersonia,Malv,70
Rainforest,Commersonia_breviseta,no,yes,Killed,Unknown,Strongly Conserved,147,Commersonia,Malv,70
Eucalypt Forest,Commersonia_fraseri,X,X,X,Unknown,Strongly Conserved,147,Commersonia,Malv,70
Eucalypt Forest,Commersonia_brevicata,no,yes,Killed,Conserved,Strongly Conserved,147,Commersonia,Malv,70
Eucalypt Forest,Commersonia_dasyphylla,no,yes,Killed,Conserved,Strongly Conserved,147,Commersonia,Malv,70
