location_name,latitude (deg),longitude (deg),locality,state
33.6 km W of turnoff to Louisa Downs Station,-18.43,126.35,"33.6 km W of turnoff to Louisa Downs Station, WA",WA
34 km ESE of Augusta .,-34.17,115.2,"34 km ESE of Augusta ., WA",WA
34 km NNW of Bullfinch,-30.58,119.06,"34 km NNW of Bullfinch, WA",WA
35 km E of Hyden,-32.27,119.12,"35 km E of Hyden, WA",WA
35 km E of Jerramungup,-33.53,119.15,"35 km E of Jerramungup, WA",WA
35 km E of Norseman,-32.12,122.06,"35 km E of Norseman, WA",WA
35 km N of Pingrup,-33.2,118.45,"35 km N of Pingrup, WA",WA
35 km W of Southern Cross_1,-31.13,119.04,"35 km W of Southern Cross, WA",WA
35 km W of Southern Cross_2,-31.13,119.06,"35 km W of Southern Cross, WA",WA
36 km E of Southern Cross,-31.13,119.39,"36 km E of Southern Cross, WA",WA
36 km NE of Wubin,-30.0,116.42,"36 km NE of Wubin, WA",WA
36 km NNE of Neale Junction,-28.03,126.02,"36 km NNE of Neale Junction, WA",WA
36 km W of Meekatharra,-26.35,118.1,"36 km W of Meekatharra, WA",WA
37 km NE of Lavertoh.,-28.21,122.37,"37 km NE of Lavertoh., WA",WA
37 km NE of Laverton,-28.21,122.37,"37 km NE of Laverton, WA",WA
37 km NE ofLaverton,-28.21,122.37,"37 km NE ofLaverton, WA",WA
37 km SW of Youanmi,-28.27,118.18,"37 km SW of Youanmi, WA",WA
37km SW Youanmi,-28.4503,118.3003,"37km SW Youanmi, WA",WA
38 km NE of Wubin,-30.0,116.42,"38 km NE of Wubin, WA",WA
38 km NNE ofZanthus,-29.5,123.36,"38 km NNE ofZanthus, WA",WA
4 km E of Gibson,-33.39,121.51,"4 km E of Gibson, WA",WA
4 km S of Yellowdine_1,-31.17,119.39,"4 km S of Yellowdine, WA",WA
4 km S of Yellowdine_2,-31.57,119.39,"4 km S of Yellowdine, WA",WA
4.5 km NNE of Mt Jackson,-30.35,119.04,"4.5 km NNE of Mt Jackson, WA",WA
