species,diaspore_type,dispersal_mode,seed_dispersal_uncertain,showy_fruit_no_reward,diaspore_diam_mm_lower,diaspore_diam_mm_upper,mean_diaspore_diam_mm,diaspore_notes,diaspore_measurement_notes,fruit_type,fruit_diam_mm_lower,fruit_diam_mm_upper,fruit_notes,Butler_dispersal_mode,Butler_seed_diam_mm,
Planchonella australis,berry,endozoochory,,NA,30,50,40,black,,berry,30,50,black,ae,10,
Planchonella cotinifolia,berry,endozoochory,,NA,5,10,7.5,black,estimated diam,berry,5,10,black,ae,5,
Planchonella myrsinifolia,berry,endozoochory,,NA,10,15,12.5,black,estimated diam,berry,10,15,black,ae,8,
Planchonella pohlmaniana,berry,endozoochory,,NA,20,25,22.5,purple,,berry,20,25,purple,ae,7,
Pleioluma queenslandica,berry,endozoochory,,NA,10,20,15,black,estimated diam,berry,10,20,black,ae,8,
Pleurostylia opposita,drupe,endozoochory,,NA,5,7,6,yellow,,drupe,5,7,yellow,ae,3,
Podocarpus elatus,receptacle,endozoochory,,NA,8,12,10,black,,receptacle,8,12,black,ae,10,
Polyalthia nitidissima,berry,endozoochory,,NA,6,10,8,berry like; red,,berry,6,10,berry like; red,ae,5,
Polyosma cunninghamii,berry,endozoochory,,NA,15,20,17.5,black,,berry,15,20,black,ae,9,
Polyscias elegans,drupe,endozoochory,,NA,5,,5,purple,,drupe,5,0,purple,ae,4,
Pseudoweinmannia lachnocarpa,seed,anemochory,,NA,1,,1,,used Butler,capsule,4,8,brown,wa,1,
Psychotria daphnoides,drupe,endozoochory,,NA,6,8,7,yellow,,drupe,6,8,yellow,ae,4,
Psychotria simmondsiana,drupe,endozoochory,,NA,5,6,5.5,white,,drupe,5,6,white,ae,2,
Psydrax johnsonii,drupe,endozoochory,,NA,4,6,5,black,,drupe,4,6,black,ae,2,
Psydrax lamprophylla,drupe,endozoochory,,NA,4,6,5,black,,drupe,4,6,black,ae,3,
Psydrax odorata,drupe,endozoochory,,NA,5,7,6,black,,drupe,5,7,black,ae,3.5,
Quintinia verdonii,seed,anemochory,,no,0.5,,0.5,,used Butler,capsule,1,2,brown,un,0.5,
Rhodamnia acuminata,berry,endozoochory,,NA,4,8,6,black,,berry,4,8,black,ae,3,
Rhodamnia argentea,berry,endozoochory,,NA,6,10,8,black,,berry,6,10,black,ae,3,
Rhodamnia dumicola,berry,endozoochory,,NA,10,12,11,black,,berry,10,12,black,ae,3,
Rhodamnia glabrescens,berry,endozoochory,,NA,4,7,5.5,black,,berry,4,7,black,ae,2.5,
Rhodamnia rubescens,berry,endozoochory,,NA,5,7,6,black,,berry,5,7,black,ae,2,
Rhodamnia sp. Glastonbury,berry,endozoochory,,NA,5,7,6,black,,berry,5,7,black,ae,2.5,
Rhodamnia whiteana,berry,endozoochory,,NA,12,13,12.5,black,,berry,12,13,black,ae,3,
Rhodosphaera rhodanthema,drupe,endozoochory,,NA,10,,10,brown,,drupe,10,0,brown,ae,9,
Rhysotoechia bifoliolata,seed_aril,endozoochory,,NA,7,,7,yellow aril,used Butler,capsule,15,25,yellow,ae,7,
Ricinocarpus ledifolius,seed,unknown,,no,1,,1,,used Butler,capsule,10,,green,un,1,
Sambucus australasica,drupe,endozoochory,,NA,5,,5,yellow,,drupe,5,0,yellow,ae,2,
Santalum lanceolatum,drupe,endozoochory,,NA,7,15,11,blue,,drupe,7,15,blue,ae,NA,
Sarcomelicope simplicifolia,drupe,endozoochory,,NA,12,15,13.5,yellow,,drupe,12,15,yellow,ae,3,
Sarcopteryx stipata,seed_aril,endozoochory,,NA,5,,5,yellow,,capsule,12,20,pink,ae,5,
Schizomeria ovata,drupe,endozoochory,,NA,12,17,14.5,white,,drupe,12,17,white,ae,6,
Scolopia braunii,berry,endozoochory,,NA,8,12,10,black,,berry,8,12,black,ae,3,
Siphonodon australis,drupe,endozoochory,,NA,20,50,35,yellow,,drupe,20,50,yellow,ae,4.5,
Sloanea australis,seed_aril,endozoochory,,NA,6,,6,red aril,used Butler,capsule,15,20,yellow,ae,6,
Sloanea woollsii,seed_aril,endozoochory,,NA,4,,4,yellow aril,used Butler,capsule,10,20,brown,ae,4,
Solanum inaequilaterum,berry,endozoochory,,NA,11,13,12,red aril,,berry,11,13,red aril,ae,2.5,
Solanum stupefactum,berry,endozoochory,,NA,18,23,20.5,orange,,berry,18,23,orange,ae,3.5,
Stenocarpus salignus,seed,anemochory,,NA,4,,4,,excluding 15 mm wing,follicle,20,,brown,wa,4,
Stenocarpus sinuatus,seed,anemochory,,NA,7,,7,,excluding 30 mm wing,follicle,20,,brown,wa,7,
Sterculia quadrifida,seed,endozoochory,,yes,9,,9,,used Butler,follicle,30,,brown,eu,9,
Streblus brunonianus,drupe,endozoochory,,NA,4,6,5,yellow,,drupe,4,6,yellow,ae,4,
Strychnos psilosperma,berry,endozoochory,,NA,8,10,9,red,,berry,8,10,red,ae,6,
Symplocos stawellii,drupe,endozoochory,,NA,5,12,8.5,black,,drupe,5,12,black,ae,2,
Symplocos thwaitesii,drupe,endozoochory,,NA,8,14,11,black,,drupe,8,14,black,ae,2,
Synoum glandulosum,seed_aril,endozoochory,,NA,6,,6,red aril,used Butler,capsule,10,15,pink,ae,6,
Syzygium australe,berry,endozoochory,,NA,15,25,20,red,,berry,15,25,red,ae,8,
Syzygium corynanthum,berry,endozoochory,,NA,13,20,16.5,red,,berry,13,20,red,ae,7,
Syzygium crebrinerve,berry,endozoochory,,NA,17,25,21,purple,,berry,17,25,purple,ae,8,
Syzygium francisii,berry,endozoochory,,NA,10,15,12.5,purple,,berry,10,15,purple,ae,7,
Syzygium hodgkinsoniae,berry,endozoochory,,NA,30,50,40,red,,berry,30,50,red,ae,15,
Syzygium luehmannii,berry,endozoochory,,NA,9,12,10.5,pink,,berry,9,12,pink,ae,4,
Syzygium oleosum,berry,endozoochory,,NA,13,40,26.5,purple,,berry,13,40,purple,ae,11,
Tabernaemontana pandacaqui,seed,endozoochory,,NA,4,,4,red,used Butler,follicle,30,,yellow,ae,4,
Tasmannia insipida,berry,endozoochory,,NA,12,20,16,purple,,berry,12,20,purple,ae,2,
Terminalia porphyrocarpa,drupe,endozoochory,,NA,10,20,15,purple,,drupe,10,20,purple,ae,5,
Toechima tenax,seed_aril,endozoochory,,NA,5,,5,yellow aril,,capsule,20,30,yellow,ae,5,
Toona ciliata,seed,anemochory,,NA,3.5,,3.5,,used Butler,capsule,5,10,brown,wa,3.5,
Triflorensia cameronii,drupe,endozoochory,,NA,7,8,7.5,black,,drupe,7,8,black,ae,2,
Triflorensia ixoroides,drupe,endozoochory,,NA,7,10,8.5,black,,drupe,7,10,black,ae,2,
Triunia youngiana,drupe,endozoochory,,NA,12,15,13.5,drupaceous; red,,drupe,12,15,drupaceous; red,ae,7,
Turraea pubescens,seed_aril,endozoochory,,NA,4,,4,orange aril,used Butler,capsule,15,,yellow,eu,4,
Vitex lignum-vitae,drupe,endozoochory,,NA,8,14,11,pink,,drupe,8,14,pink,ae,3,
Vitex melicopea,drupe,endozoochory,,NA,8,16,12,red,,drupe,8,16,red,ae,2.5,
Wilkiea austroqueenslandica,drupe,endozoochory,,NA,9,12,10.5,black,estimated diam,drupe,9,12,black,ae,7,
Wilkiea huegeliana,drupe,endozoochory,,NA,7,11,9,black,estimated diam,drupe,7,11,black,ae,7,
Wilkiea macrophylla,drupe,endozoochory,,NA,10,15,12.5,black,estimated diam,drupe,10,15,black,ae,7,
Xanthostemon oppositifolius,seed,anemochory,,NA,5,,5,,estimated diam,capsule,3,12,brown,wa,2,
Xylosma terrae-reginae,berry,endozoochory,,NA,8,10,9,black,,berry,8,10,black,ae,3,
Zanthoxylum brachyacanthum,seed,endozoochory,,yes,6,,6,,assumed 1mm thick walls,follicle,8,10,red,eu,4,
