Species,Date,Temp,CO2,Potnum,MeasTemp,Time.x,A_sat_umol_per_m2_s1,Cond_at_A_sat_mol_per_m2_s1,Ci_at_A_sat_ppm,Trans_at_A_sat_mmol_per_m2_s1,Time.y,A_max_umol_per_m2_s1,Cond_at_A_max_mol_per_m2_s1,Ci_at_A_max_ppm,Trans_at_A_max_mmol_per_m2_s1,CO2R,LA (cm2),Height (cm),Basaldia (mm),LeafDW (g),StemDW (g),RootDW (g),LMA (g m-2),LAR (m2 kg-1),age_at_harvest,Water,RootShoot,Leafnum,LAR m2 kg-1),Basaldia1 (mm),Basaldia2 (mm),Tipdia1 (mm),Tipdia2 (mm),Branchnum,Mainstemnum,Primarybranchnum,Secondarybranchnum,Tertiarybranchnum,leaf_area_cm2_one_leaf,leaf_dry_mass_g_one_leaf,LMA_g_m2_one_leaf,LSolSugA (g m-2),LStarchA (g m-2),LSolPro (g m-2),ChlAandB (umol m-2),ChlAB,LeafpercentN (%),LeafpercentC (%),harvest_age,sample_temp,context
Eucalyptus sideroxylon,3/04/2008,Amb,640,230,28,50130,18.9,0.507,312,8.5,14:05:29,27.7,0.47,1330,7.87,1499.06,1792,93,NA,15.4,14.04,14.94,85.74,NA,150_days,Wet,0.51,587,4,7.81,6.81,0.82,0.6,43,1,38,5,0,4.93,0.0418,84.79,9.58,8.7,NA,NA,NA,3.7507,49.79,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_640_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,3/04/2008,Amb,640,281,28,42147,22.6,0.447,292,7.18,11:52:26,47.9,0.443,1250,7.1,1499.07,737,103,NA,7.54,9.44,7.8,102.48,NA,150_days,Wet,0.45,354,2.9,6.49,6.67,0.84,0.75,33,1,33,0,0,NA,NA,NA,NA,NA,6.46,27.33,2.01,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_640_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,3/04/2008,Amb,640,282,28,35491,14.6,0.218,269,3.91,10:01:27,27.8,0.222,1230,3.83,1499.46,1546,101,NA,13.15,12.28,7.34,84.93,NA,150_days,Wet,0.29,471,4.7,7.17,7.46,0.74,0.7,42,1,35,7,0,6.87,0.0526,76.56,6.27,8.88,NA,NA,NA,3.2107,49.85,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_640_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,31/03/2008,Elv,640,523,28,59549,17.6,0.538,334,7.87,16:45:02,32.2,0.52,1650,7.73,1800.24,1697,116,NA,15.23,16.36,19.65,89.83,NA,150_days,Wet,0.62,627,3.3,7.53,7.3,0.67,0.69,52,1,52,0,0,3.71,0.0363,97.84,10.56,5.04,NA,NA,NA,3.2027,52.31,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_640_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,31/03/2008,Elv,640,554,28,51513,17,0.379,313,6.05,14:31:41,18.8,0.362,1680,4.33,1800.66,1442,113,NA,13.31,13.8,10.56,92.3,NA,150_days,Wet,0.39,516,3.8,8.11,7.83,0.79,0.68,42,1,42,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_640_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,31/03/2008,Elv,640,556,28,39227,21.1,0.526,322,7.06,11:07:43,47.2,0.527,1590,10,1798.37,2638,121,NA,21.02,20.26,18.4,79.56,NA,150_days,Wet,0.44,674,4.4,7.85,7.9,0.81,0.89,52,1,46,6,0,NA,NA,NA,NA,NA,4.3,31,2.31,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_640_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,31/03/2008,Elv,640,559,28,41661,20.2,0.473,315,8.16,11:47:15,35.2,0.436,1610,7.5,1801.2,1648,120,NA,14.13,16.23,11.53,85.74,NA,150_days,Wet,0.38,425,3.9,7.29,7.22,0.85,0.82,39,1,39,0,0,5.24,0.0422,80.53,7.1,2.13,NA,NA,NA,3.4573,51.45,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_640_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,31/03/2008,Elv,640,567,28,49119,22.7,0.604,326,6.69,13:52:05,47.5,0.626,1620,9.08,1800.96,872,103,NA,6.26,6.36,6.36,71.94,NA,150_days,Wet,0.5,329,4.5,5.55,6.26,0.81,0.82,33,1,33,0,0,5.09,0.0317,62.28,4.12,0.38,NA,NA,NA,4.1077,51.17,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_640_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,7/04/2008,Amb,400,11,28,53065,20.025,0.30624999999999997,278.75,4.4350000000000005,15:10:19,30.9,0.312,1290,4.65,1500.41,613,59,NA,4.78,3.89,4.76,78.69,NA,150_days,Wet,0.54,159,4.5,4.84,4.94,0.74,0.63,16,1,16,0,0,NA,NA,NA,NA,NA,3.51,12.87,2.68,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_400_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,7/04/2008,Amb,400,30,28,45851.5,11.225000000000001,0.1655,276.5,3.08,13:08:53,24,0.167,1220,3.07,1501.04,866,65,NA,7.08,5.02,10.62,81.79,NA,150_days,Wet,0.86,287,3.8,6.45,6.29,0.57,0.57,25,1,25,0,0,NA,NA,NA,NA,NA,4.99,20.83,2.76,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_400_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,1/04/2008,Amb,640,246,34,40985,14.4,0.254,273,4.23,11:33:02,30.8,0.228,1190,3.62,1498.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Amb_temp_and_640_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,1/04/2008,Amb,640,249,34,56139,16.6,0.295,268,6.04,15:45:42,29.3,0.151,1080,3.9,1499.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Amb_temp_and_640_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,1/04/2008,Amb,640,256,34,47195,15.5,0.398,297,7.01,13:16:35,25.9,0.298,1260,5.9,1500.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Amb_temp_and_640_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,1/04/2008,Amb,640,271,34,38611,16.9,0.283,264,4.71,10:53:37,31.6,0.192,1140,3.3,1498.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Amb_temp_and_640_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,1/04/2008,Amb,640,279,34,49308,19.2,0.308,253,6.4,13:51:50,38.8,0.199,1070,4.65,1499.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Amb_temp_and_640_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,1/04/2008,Elv,280,443,34,49014,13.6,0.234,269,5.19,13:47:22,20.3,0.0986,1070,2.74,1500.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_280_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,1/04/2008,Elv,280,462,34,51279,14.3,0.313,288,6.09,14:02:31,20.7,0.328,1980,6.34,2201.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_280_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,1/04/2008,Elv,280,472,34,40061,15.5,0.402,297,7.23,11:18:15,27.1,0.202,1180,4.84,1499.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_280_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,1/04/2008,Elv,280,474,34,38118,12.4,0.222,276,4.23,10:45:27,20.4,0.092,1050,2.47,1500.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_280_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,1/04/2008,Elv,280,477,34,57758,13.9,0.233,266,5.13,16:12:58,21.5,0.102,1060,2.81,1500.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_280_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,2/04/2008,Amb,280,143,34,41218,18.8,0.506,296,7.92,11:36:58,32.3,0.412,1260,7.11,1499.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Amb_temp_and_280_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,2/04/2008,Amb,280,151,34,56358,17.2,0.228,233,5.77,15:49:42,29.9,0.0757,756,2.48,1501.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Amb_temp_and_280_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,2/04/2008,Amb,280,153,34,49170,12.5,0.1605,237.5,4.315,13:30:46,19.8,0.0664,921,2.22,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Amb_temp_and_280_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,2/04/2008,Amb,280,159,34,37584,18.6,0.406,281,6.68,10:36:22,30.3,0.143,1050,3.46,1499.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Amb_temp_and_280_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,2/04/2008,Amb,400,44,34,46835.25,15.75,0.2735,265,6.1425,13:24:12,30.7,0.187,1120,4.92,1500.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Amb_temp_and_400_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,2/04/2008,Amb,400,71,34,55529.25,9.3175,0.114,234.5,3.4925,15:49:09,23.2,0.0607,782,2.1,1500.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Amb_temp_and_400_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,2/04/2008,Amb,400,72,34,36729.25,14.35,0.334,294.5,5.555,10:35:58,27.9,0.304,1250,5.44,1500.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Amb_temp_and_400_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,2/04/2008,Amb,400,74,34,48911,13.925,0.32825000000000004,293,6.875,13:58:28,27,0.196,1170,5,1500.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Amb_temp_and_400_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,2/04/2008,Amb,400,79,34,39284.75,14.175,0.37275,301.25,6.45,11:18:25,25.6,0.231,1220,5.19,1500.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Amb_temp_and_400_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,31/03/2008,Elv,400,360,34,35752,15.45,0.3645,293.5,5.7,10:28:39,21.5,0.398,1620,5.74,1799.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_400_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,31/03/2008,Elv,400,361,34,47008.75,16.7,0.5185000000000001,310.75,6.0225,13:26:21,28.8,0.343,1560,5.57,1799.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_400_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,31/03/2008,Elv,400,375,34,56915,16.35,0.434,300,6.577500000000001,15:50:44,23.3,0.44,2010,7.02,2212.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_400_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,31/03/2008,Elv,400,379,34,49113.25,12.649999999999999,0.3005,298.25,5.075,14:01:20,22.2,0.0987,1330,2.57,1800.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_400_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,31/03/2008,Elv,400,380,34,40673,16.1,0.5447500000000001,316,6.285,11:39:00,26.1,0.419,1020,5.79,1200.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_400_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,31/03/2008,Elv,640,514,34,37156,15.9,0.489,308,7.43,10:29:16,23,0.367,1600,6.25,1799.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_640_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,31/03/2008,Elv,640,521,34,41079,15.1,0.332,287,6.19,11:34:41,30.8,0.259,1490,5.33,1800.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_640_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,31/03/2008,Elv,640,528,34,49023,13.8,0.353,299,6.49,13:47:15,20.9,0.298,1590,5.16,1801.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_640_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,31/03/2008,Elv,640,547,34,47245,18.8,0.403,280,7.12,13:17:25,32.9,0.328,1530,5.32,1799.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_640_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus saligna,31/03/2008,Elv,640,585,34,55377,14.7,0.267,275,4.85,15:32:55,31.3,0.166,1380,3.74,1801.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_640_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus sideroxylon,1/04/2008,Elv,400,314,34,48049.75,29.525,0.64,306.25,11.4,13:48:19,37.3,0.477,1320,8.4,1498.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_400_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus sideroxylon,1/04/2008,Elv,400,317,34,40374.75,21.225,0.42474999999999996,299.5,9.9825,11:38:15,34.3,0.461,1320,9.67,1500.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_400_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus sideroxylon,1/04/2008,Elv,400,326,34,57316.5,20.675,0.4395,306.25,8.817499999999999,16:22:13,33.8,0.412,1310,8.7,1499.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_400_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus sideroxylon,1/04/2008,Elv,400,330,34,37742.75,25.8,0.49075,294.75,9.155000000000001,10:58:25,33,0.197,1180,3.61,1501.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_400_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus sideroxylon,1/04/2008,Elv,400,350,34,50264,18.866666666666667,0.7608333333333334,345.3333333333333,11.566666666666666,14:27:18,29.4,0.638,1370,12.8,1499.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_400_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus sideroxylon,2/04/2008,Elv,280,413,34,38035,23.9,0.44,294,8.1,10:46:10,34.9,0.388,1300,7.59,1499.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_280_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus sideroxylon,2/04/2008,Elv,280,420,34,59099,23.6,0.47,296,9.5,16:38:24,25.2,0.391,1330,8.54,1499.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_280_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus sideroxylon,2/04/2008,Elv,280,434,34,48619,16.1,0.239,272,5.69,13:44:11,26,0.123,1100,3.12,1501.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_280_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus sideroxylon,2/04/2008,Elv,280,485,34,51366,30.4,0.496,279,10.8,14:27:45,39.5,0.422,1290,8.96,1501.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_280_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus sideroxylon,2/04/2008,Elv,280,491,34,40966,24.5,0.583,315,9.69,11:35:28,33,0.457,1330,8.07,1501.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Elv_temp_and_280_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus sideroxylon,3/04/2008,Amb,280,106,34,41504,18.39285714,0.243,303,4.94,11:41:58,23.57142857,0.227,1330,4.98,1500.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Amb_temp_and_280_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus sideroxylon,3/04/2008,Amb,280,117,34,54178,37.9,0.914,291,17.9,15:13:02,48.2,0.522,1260,12.2,1499.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Amb_temp_and_280_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus sideroxylon,3/04/2008,Amb,280,120,34,38493,21.8,0.626,301,8.28,10:51:43,30.6,0.618,1330,8.34,1500.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Amb_temp_and_280_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus sideroxylon,3/04/2008,Amb,280,122,34,48023,21.7,0.34,263,7.76,13:30:33,34.2,0.241,1180,6.38,1499.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Amb_temp_and_280_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus sideroxylon,3/04/2008,Amb,280,125,34,49979,21.9,0.441,278,9.79,14:03:17,29.4,0.393,1280,8.54,1499.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Amb_temp_and_280_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus sideroxylon,3/04/2008,Amb,400,4,34,46303.5,20.025,0.5025,314,9.4325,13:18:48,27,0.368,1310,8.06,1499.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Amb_temp_and_400_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus sideroxylon,3/04/2008,Amb,400,30,34,49320,9.5,0.143,275,4.13,13:54:43,33.3,0.109,937,3.42,1499.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Amb_temp_and_400_ppm_CO2_and_measurements_made_at_34_deg_C
Eucalyptus sideroxylon,3/04/2008,Amb,400,33,34,39693.25,17.5433333325,0.48824999999999996,286.75,11.35,11:29:39,40.97666667,0.473,1210,10.2,1500.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,measurements_made_at_34_deg_C,grown_at_Amb_temp_and_400_ppm_CO2_and_measurements_made_at_34_deg_C
