species,Tree,Leaf type,Obs,initial entry,Photosynthesis (umol m-2 s-1),PARi (umol m-2 s-1),Irradiance,Stomatal conductance (mol m-2 s-1),Ci (umol mol-1),Ci/Ca,Transpiration (mmol m-2 s-1),Leaf to air VPD (kPa),Tair (degC),Tleaf (degC),CO2R (umol mol-1),CO2S (umol mol-1),H2OR (mmol mol-1),H2OS (mmol mol-1),RH_R,RH_S,Atmospheric pressure (kPa),Reference air saturation vapor pressure (kPa),Reference air vapor pressure (kPa),Reference air vapor pressure deficit (kPa),sampling_period
Eucalyptus miniata,EM3,expanding,9,131,-5.03,1372,saturating,0.047,508,1.404,1.82,3.79,36.81,38.46,356.48,361.72,27.939,30.06,45.25,48.68,101.1,6.213,2.811,3.402,October
Eucalyptus miniata,EM3,expanding,10,132,-6.33,1549,saturating,0.202,395,1.094,5.88,2.99,37.11,37.69,355.89,360.94,28.332,35.14,45.13,55.98,101,6.315,2.85,3.465,October
Eucalyptus miniata,EM3,expanding,11,133,-4.2,1230,saturating,0.223,373,1.042,6.27,2.91,37.47,37.57,355.68,358.02,28.304,35.557,44.21,55.54,101,6.441,2.847,3.593,October
Eucalyptus miniata,EM3,expanding,12,134,-3.05,400,limiting,0.0763,400,1.116,2.9,3.75,37.55,38.69,356.17,358.57,27.949,31.316,43.47,48.7,101,6.469,2.812,3.657,October
Eucalyptus miniata,EM3,expanding,13,135,-2.46,1462,saturating,0.13,368,1.031,4.4,3.4,37.64,38.25,355.79,356.86,28.001,33.111,43.35,51.26,101,6.5,2.818,3.682,October
Eucalyptus miniata,EM3,expanding,14,136,-6.58,1426,saturating,0.0887,459,1.266,3.31,3.69,37.65,38.6,356.2,362.67,27.63,31.479,42.75,48.7,101,6.504,2.78,3.723,October
Eucalpytus tetradonta,ET3,expanding,15,137,-1.76,1461,saturating,0.0676,376,1.046,2.96,4.31,37.97,39.51,358.7,359.54,25.395,28.85,38.61,43.87,101.1,6.618,2.555,4.063,October
Eucalpytus tetradonta,ET3,expanding,16,138,-5.01,504,limiting,0.116,414,1.143,3.62,3.14,37.95,36.61,357.83,362.29,25.824,30.042,39.29,45.71,101,6.611,2.597,4.013,October
Eucalpytus tetradonta,ET3,expanding,17,139,-2.78,416,limiting,0.0792,395,1.099,2.89,3.61,37.93,37.83,357.47,359.56,26.16,29.531,39.86,45,101,6.603,2.632,3.971,October
Eucalpytus tetradonta,ET3,expanding,18,140,-5.81,282,limiting,0.158,407,1.122,4.38,2.83,37.83,36,357.74,362.8,25.963,31.052,39.77,47.57,101,6.568,2.612,3.956,October
Eucalpytus tetradonta,ET3,expanding,19,141,-1.45,464,limiting,0.13,358,1.001,3.91,3.02,37.71,36.4,357.63,357.69,25.877,30.434,39.9,46.93,101,6.525,2.604,3.922,October
Eucalpytus tetradonta,ET3,expanding,20,142,-1.92,1279,saturating,0.0617,384,1.069,2.61,4.15,37.59,39,358.11,359.29,25.456,28.498,39.49,44.21,101,6.483,2.56,3.923,October
Eucalyptus tetrodonta,ET3,mature,21,143,13.2,589,saturating,0.588,287,0.849,8.98,1.78,37.1,34.34,357.63,338.21,25.914,36.293,41.3,57.84,101,6.312,2.607,3.705,October
Eucalyptus tetrodonta,ET3,mature,22,144,16,1360,saturating,0.608,276,0.825,9.58,1.84,36.92,34.76,357.68,334.64,25.841,36.926,41.6,59.44,101,6.25,2.6,3.65,October
Eucalyptus tetrodonta,ET3,mature,23,145,15.3,1435,saturating,0.651,281,0.838,10.2,1.84,36.89,35.07,357.75,335.23,26.091,37.874,42.05,61.04,101,6.24,2.624,3.616,October
Eucalyptus tetrodonta,ET3,mature,24,146,13.9,1634,saturating,0.455,270,0.801,9.62,2.36,36.89,36.52,357.47,336.97,26.374,37.462,42.52,60.39,101,6.24,2.653,3.587,October
Eucalyptus tetrodonta,ET3,mature,25,147,12.2,1677,saturating,0.453,278,0.82,9.41,2.32,36.95,36.29,357.58,339.1,26.258,37.11,42.18,59.62,101,6.261,2.641,3.62,October
Eucalpytus tetradonta,ET3,mature,26,148,8.67,388,limiting,0.422,296,0.86,7.96,2.09,36.86,34.95,357.83,344.14,25.831,35.052,41.7,56.58,101,6.23,2.598,3.632,October
Eucalyptus tetrodonta,ET3,mature,27,149,16.9,1111,saturating,0.614,273,0.817,9.68,1.85,36.16,34.59,358.21,333.97,25.138,36.348,42.17,60.98,101,5.995,2.528,3.467,October
Eucalpytus tetradonta,ET3,mature,28,150,7.12,320,limiting,0.707,319,0.922,8.68,1.48,36.1,32.93,358.19,346.07,25.107,35.125,42.27,59.13,101,5.976,2.526,3.45,October
Eucalpytus tetradonta,ET3,mature,29,151,5.52,249,limiting,0.681,324,0.931,8.43,1.48,36.05,32.86,358.23,348.04,25.124,34.928,42.41,58.96,101,5.959,2.527,3.432,October
Eucalpytus tetradonta,ET3,mature,30,152,4.17,227,limiting,0.665,329,0.941,8.28,1.49,36.02,32.82,358.06,349.62,25.224,34.785,42.64,58.81,101,5.95,2.537,3.413,October
Eucalpytus tetradonta,ET3,mature,31,153,5.15,303,limiting,0.628,325,0.932,7.64,1.44,35.86,32.37,358.16,348.79,25.183,34.033,42.95,58.04,101,5.897,2.533,3.364,October
Eucalpytus tetradonta,ET3,mature,32,154,5.32,292,limiting,0.659,325,0.933,7.94,1.44,35.82,32.45,358.05,348.35,25.071,34.268,42.86,58.58,101,5.884,2.522,3.362,October
Eucalpytus tetradonta,ET3,mature,33,155,5.24,259,limiting,0.665,326,0.935,8.05,1.45,35.8,32.49,358.19,348.53,24.946,34.276,42.69,58.65,101,5.878,2.509,3.369,October
Eucalyptus miniata,EM3,old,49,156,20.3,1772,saturating,0.56,251,0.761,11.2,2.29,36.79,36.52,358.62,329.82,25.241,38.132,40.88,61.75,101,6.206,2.537,3.669,October
Eucalyptus miniata,EM3,old,50,157,17.7,1904,saturating,0.56,262,0.789,11.2,2.3,37.02,36.66,357.89,332.2,25.612,38.549,40.97,61.67,101,6.285,2.575,3.71,October
Eucalyptus miniata,EM3,old,51,158,20,1600,saturating,0.582,256,0.774,11.1,2.21,37.22,36.45,359.42,330.9,25.889,38.742,40.97,61.3,100.9,6.353,2.603,3.75,October
Eucalyptus miniata,EM3,old,52,159,19.2,1450,saturating,0.539,253,0.767,10.6,2.25,37.23,36.44,357.34,330.06,26.035,38.303,41.17,60.57,100.9,6.357,2.617,3.74,October
Eucalyptus miniata,EM3,old,53,160,19,1430,saturating,0.605,260,0.787,11.5,2.22,37.2,36.61,357.65,330.37,25.925,39.175,41.05,62.03,100.9,6.347,2.605,3.741,October
Eucalyptus miniata,EM3,old,54,161,22.4,1655,saturating,0.741,257,0.788,12.5,2.04,37.03,36.25,357.91,326.09,25.251,39.692,40.35,63.43,100.9,6.288,2.537,3.751,October
Eucalyptus miniata,EM3,old,55,162,15.8,1867,saturating,0.619,274,0.82,12,2.26,37.05,36.76,357.79,334.14,25.449,39.215,40.64,62.62,100.9,6.295,2.558,3.737,October
Eucalyptus miniata,EM3,old,56,163,21,745,saturating,0.832,268,0.818,12.3,1.84,37.05,35.55,357.57,327.44,25.316,39.511,40.43,63.1,100.9,6.295,2.545,3.75,October
Eucalpytus tetradonta,ET1,mature,1,164,3.78,451,limiting,0.132,292,0.817,4.37,3.34,38.49,36.36,363.83,357.43,22.179,27.265,32.68,40.17,100.7,6.807,2.224,4.582,October
Eucalyptus tetrodonta,ET1,mature,2,165,7.95,1271,saturating,0.209,270,0.768,6.7,3.3,38.4,37.18,364.17,351.74,22.553,30.395,33.38,44.99,100.7,6.774,2.261,4.513,October
Eucalpytus tetradonta,ET1,mature,3,166,4.61,1641,limiting,0.14,281,0.788,5.54,3.99,38.39,38.41,364.68,356.81,21.546,27.98,31.92,41.45,100.7,6.77,2.161,4.609,October
Eucalyptus tetrodonta,ET1,mature,4,167,11,1668,saturating,0.435,286,0.824,11.5,2.93,38.52,37.23,364.9,346.88,20.958,34.311,30.83,50.47,100.7,6.818,2.102,4.716,October
Eucalyptus tetrodonta,ET1,mature,5,168,13.2,1139,saturating,0.465,280,0.812,10.9,2.62,38.59,35.85,365.13,344.8,20.12,32.765,29.47,47.99,100.7,6.843,2.017,4.827,October
Eucalpytus tetradonta,ET1,mature,6,169,9.25,372,limiting,0.35,289,0.826,8.68,2.68,38.34,35.42,364.72,349.98,20.69,30.782,30.72,45.7,100.7,6.752,2.074,4.678,October
Eucalyptus tetrodonta,ET1,mature,7,170,7.25,1133,saturating,0.272,290,0.821,8.06,3.13,37.52,36.09,365.22,353.12,19.114,28.5,29.67,44.24,100.7,6.458,1.916,4.542,October
Eucalyptus tetrodonta,ET1,mature,8,171,12.1,1653,saturating,0.263,251,0.724,8.72,3.47,37.54,37.42,365.04,346.89,19.444,29.604,30.14,45.89,100.7,6.465,1.949,4.516,October
Eucalyptus tetrodonta,ET1,mature,9,172,15.1,1730,saturating,0.352,252,0.735,10.2,3.12,37.76,37.03,364.92,342.63,19.872,31.705,30.45,48.57,100.7,6.543,1.992,4.551,October
Eucalyptus tetrodonta,ET1,mature,10,173,11.6,1102,saturating,0.361,276,0.794,9.87,2.96,38.04,36.24,365.56,347.57,19.218,30.69,29,46.31,100.7,6.643,1.926,4.716,October
Eucalpytus tetradonta,ET2,mature,11,174,1.44,234,limiting,0.222,333,0.924,6.23,2.91,38.28,35.34,364.83,360.41,20.973,28.228,31.23,42.04,100.7,6.73,2.102,4.628,October
Eucalpytus tetradonta,ET2,mature,12,175,3.97,262,limiting,0.359,323,0.905,8.16,2.47,37.99,34.6,365.05,356.79,20.885,30.376,31.6,45.97,100.7,6.625,2.093,4.531,October
Eucalpytus tetradonta,ET2,mature,13,176,-0.0972,247,limiting,0.209,347,0.957,5.77,2.85,37.74,34.95,365.02,362.63,20.88,27.601,32.03,42.34,100.7,6.536,2.093,4.442,October
Eucalyptus tetrodonta,ET2,mature,14,177,5.89,1433,saturating,0.192,287,0.806,5.97,3.2,37.74,36.38,365.51,355.89,21.795,28.757,33.42,44.1,100.7,6.536,2.184,4.351,October
Eucalyptus tetrodonta,ET2,mature,15,178,4.89,1351,saturating,0.189,295,0.827,6.16,3.33,37.82,36.69,365.16,356.68,21.298,28.465,32.52,43.46,100.7,6.564,2.135,4.429,October
Eucalpytus tetradonta,ET2,mature,16,179,2.55,297,limiting,0.345,331,0.924,7.73,2.42,37.84,34.37,364.55,358.17,21.107,30.098,32.19,45.91,100.7,6.571,2.115,4.456,October
Eucalpytus tetradonta,ET2,mature,17,180,2.46,312,limiting,0.403,334,0.933,8.21,2.25,37.65,34,364.49,358.02,21.217,30.757,32.69,47.39,100.7,6.504,2.126,4.378,October
Eucalpytus tetradonta,ET2,expanding,18,181,-3.6,1620,saturating,0.109,397,1.082,4.17,3.83,37.37,37.42,364.46,366.94,21.225,26.091,33.21,40.82,100.7,6.406,2.127,4.278,October
Eucalpytus tetradonta,ET2,expanding,19,182,-5.21,393,limiting,0.116,420,1.139,4.04,3.5,37.31,36.49,364.13,368.59,21.439,26.157,33.66,41.07,100.7,6.385,2.149,4.236,October
Eucalpytus tetradonta,ET2,expanding,20,183,0.413,371,limiting,0.35,345,0.957,7.35,2.28,37.1,33.96,364.04,360.37,21.779,30.322,34.58,48.15,100.7,6.312,2.183,4.129,October
Eucalpytus tetradonta,ET2,expanding,21,184,-1.96,448,limiting,0.11,375,1.028,3.45,3.13,37,35.33,363.98,364.82,22.024,26.05,35.16,41.59,100.7,6.278,2.207,4.07,October
Eucalpytus tetradonta,ET2,expanding,22,185,3.45,990,saturating,0.167,304,0.85,5.61,3.41,36.99,37.03,364.06,357.51,22.309,28.859,35.65,46.11,100.7,6.274,2.237,4.037,October
Eucalpytus tetradonta,ET2,expanding,23,186,-4.01,1495,saturating,0.107,405,1.104,4.03,3.74,37.07,37.62,363.9,366.95,22.899,27.619,36.43,43.94,100.7,6.302,2.296,4.006,October
Eucalpytus tetradonta,ET2,expanding,24,187,3.15,1242,saturating,0.188,310,0.867,6.44,3.5,37.13,37.54,363.92,357.39,22.208,29.693,35.21,47.08,100.7,6.322,2.226,4.096,October
Eucalyptus tetrodonta,ET2,mature,25,188,11.5,1673,saturating,0.388,279,0.806,9.79,2.75,37.23,36.42,364.23,346.35,21.976,33.353,34.65,52.6,100.7,6.357,2.203,4.154,October
Eucalyptus tetrodonta,ET2,mature,26,189,12,1752,saturating,0.336,270,0.775,9.24,2.95,37.53,36.82,366.58,348.34,22.001,32.698,34.13,50.72,100.7,6.462,2.205,4.256,October
Eucalyptus tetrodonta,ET2,mature,27,190,14.4,1763,saturating,0.574,283,0.827,12.2,2.46,37.83,36.39,364.53,342.3,22.024,36.175,33.61,55.2,100.7,6.568,2.207,4.36,October
Eucalpytus tetradonta,ET2,mature,28,191,9.07,490,limiting,0.435,299,0.856,9.17,2.34,37.78,34.91,364.15,349.41,21.945,32.605,33.59,49.9,100.7,6.55,2.2,4.35,October
Eucalyptus tetrodonta,ET2,mature,29,192,13.2,1241,saturating,0.444,277,0.805,10.4,2.59,37.73,36.1,364.21,344.13,21.814,33.852,33.46,51.93,100.7,6.532,2.186,4.346,October
Eucalyptus miniata,EM1,expanding,30,193,-2.95,1538,saturating,0.0666,409,1.116,3.11,4.57,38.76,39.43,364.3,366.48,22.361,25.99,32.45,37.72,100.7,6.906,2.241,4.665,October
Eucalyptus miniata,EM1,expanding,31,194,-1.33,1771,saturating,0.0932,358,0.984,4.62,4.89,38.91,40.59,364.26,363.84,22.04,27.422,31.73,39.48,100.7,6.962,2.209,4.753,October
Eucalyptus miniata,EM1,expanding,32,195,-2.97,1739,saturating,0.0776,396,1.082,4.04,5.11,39.14,40.94,364.1,365.89,21.987,26.717,31.26,37.98,100.7,7.049,2.204,4.846,October
Eucalyptus miniata,EM1,expanding,33,196,-4.65,1662,saturating,0.0763,434,1.18,3.83,4.92,39.39,40.5,363.78,367.67,22.245,26.729,31.2,37.49,100.7,7.144,2.229,4.915,October
Eucalyptus miniata,EM1,expanding,34,197,-2.52,1670,saturating,0.0846,382,1.047,4.33,5.03,39.51,40.79,363.79,364.91,21.768,26.835,30.35,37.41,100.7,7.191,2.182,5.008,October
Eucalyptus miniata,EM1,mature,35,198,12.4,1638,saturating,0.492,283,0.823,11.8,2.7,39.58,37.08,363.49,343.66,22.403,36.101,31.12,50.14,100.7,7.218,2.246,4.971,October
Eucalyptus miniata,EM1,mature,36,199,12.3,451,limiting,0.613,293,0.852,12.8,2.44,39.58,36.57,363.75,343.74,22.207,36.97,30.83,51.33,100.7,7.218,2.225,4.992,October
Eucalyptus miniata,EM1,mature,37,200,2.73,345,limiting,0.464,331,0.93,10.1,2.44,39.29,35.59,363.43,355.84,22.039,33.762,31.09,47.62,100.7,7.106,2.209,4.897,October
Eucalyptus miniata,EM1,mature,38,201,5.4,313,limiting,0.659,327,0.927,10.4,1.88,38.46,33.92,363.51,352.6,22.045,34.16,32.52,50.39,100.7,6.796,2.21,4.586,October
Eucalyptus miniata,EM1,mature,39,202,12.4,554,limiting,0.542,289,0.841,11.3,2.37,37.94,35.8,363.32,343.84,22.07,35.095,33.47,53.22,100.7,6.607,2.211,4.396,October
Eucalyptus miniata,EM1,mature,40,203,15.5,1610,saturating,0.431,263,0.771,10.4,2.67,37.72,36.37,364,341.17,21.989,34.043,33.76,52.26,100.7,6.529,2.204,4.325,October
Eucalyptus miniata,EM1,mature,41,204,15.4,1594,saturating,0.485,270,0.792,11.4,2.63,37.84,36.64,363.96,340.8,22.143,35.342,33.76,53.89,100.7,6.571,2.218,4.353,October
Eucalyptus miniata,EM1,mature,42,205,13.2,843,limiting,0.534,285,0.83,11.5,2.45,38.12,36.18,363.7,343.19,22.323,35.579,33.54,53.45,100.7,6.672,2.238,4.434,October
Eucalyptus miniata,EM1,mature,43,206,12.6,615,limiting,0.411,276,0.801,9.71,2.6,38.1,35.99,363.78,344.6,22.155,33.435,33.31,50.27,100.7,6.665,2.22,4.445,October
Eucalyptus miniata,EM1,mature,44,207,12.6,1564,saturating,0.451,280,0.813,11.1,2.74,38.12,36.75,364.03,344.42,21.75,34.597,32.67,51.97,100.7,6.672,2.18,4.492,October
Eucalyptus miniata,EM2,mature,45,208,13.4,1089,saturating,0.723,297,0.866,11.7,1.95,37.9,34.55,363.8,342.92,21.784,35.317,33.12,53.7,100.7,6.593,2.183,4.409,October
Eucalyptus miniata,EM2,mature,46,209,11.8,411,limiting,0.641,300,0.869,10.8,1.98,37.95,34.59,363.71,345.19,22.786,35.21,34.54,53.38,100.7,6.611,2.283,4.327,October
Eucalyptus miniata,EM2,mature,47,210,20.9,1543,saturating,1.04,282,0.846,14.4,1.82,37.83,35.18,363.98,333.14,21.97,38.613,33.54,58.94,100.7,6.568,2.203,4.365,October
Eucalyptus miniata,EM2,mature,48,211,15.3,1206,saturating,0.602,282,0.827,11.6,2.25,37.78,35.37,364.16,341.03,21.42,34.9,32.78,53.41,100.7,6.55,2.147,4.403,October
Eucalyptus miniata,EM2,mature,49,212,18,1563,saturating,0.833,284,0.842,13.7,2.04,37.53,35.31,364.48,337.33,20.983,36.805,32.55,57.1,100.7,6.462,2.103,4.358,October
Eucalyptus miniata,EM2,mature,50,213,18.5,1508,saturating,0.849,283,0.841,13.6,2,37.28,35.25,364.21,336.55,21.332,37.047,33.54,58.25,100.7,6.374,2.138,4.236,October
Eucalyptus miniata,EM2,expanding,51,214,-2.23,1432,saturating,0.0837,384,1.051,3.35,3.96,37.21,37.62,364.12,365.33,21.484,25.409,33.91,40.11,100.7,6.35,2.153,4.197,October
Eucalyptus miniata,EM2,expanding,52,215,-3.64,559,limiting,0.084,412,1.122,3.4,4.01,37.12,37.83,364.3,367.16,21.714,25.692,34.44,40.74,100.7,6.319,2.176,4.143,October
Eucalyptus miniata,EM2,expanding,53,216,-2.24,1381,saturating,0.0475,413,1.129,2.18,4.48,37.13,38.8,364.09,365.82,22.031,24.584,34.93,38.97,100.7,6.322,2.208,4.114,October
Eucalyptus miniata,EM2,expanding,54,217,-3.42,1326,saturating,0.0964,399,1.089,3.96,4.07,37.25,38.36,363.9,366.25,22.351,26.972,35.2,42.48,100.7,6.364,2.24,4.124,October
Eucalyptus miniata,EM2,expanding,55,218,-1.13,1315,saturating,0.114,356,0.98,4.54,3.97,37.13,38.06,363.9,363.28,21.623,26.915,34.28,42.67,100.7,6.322,2.167,4.155,October
Eucalyptus miniata,EM2,expanding,56,219,-4.85,437,limiting,0.0694,456,1.237,2.78,3.94,37.14,37.45,364.01,368.59,21.76,25.005,34.47,39.61,100.7,6.326,2.18,4.145,October
Eucalpytus tetradonta,ET1,expanding,57,220,-1.34,1509,saturating,0.026,417,1.144,1.26,4.71,37.69,39.08,363.41,364.46,21.802,23.284,33.49,35.77,100.6,6.518,2.183,4.335,October
Eucalpytus tetradonta,ET1,expanding,58,221,-2.39,692,limiting,0.0479,419,1.146,2.08,4.25,37.62,37.98,363.78,365.74,21.445,23.881,33.07,36.83,100.6,6.493,2.147,4.346,October
Eucalpytus tetradonta,ET1,expanding,59,222,-2.72,1484,saturating,0.0477,430,1.175,2.12,4.34,37.3,38.23,363.62,365.95,21.337,23.822,33.49,37.39,100.6,6.381,2.137,4.244,October
Eucalpytus tetradonta,ET1,expanding,60,223,-1.95,1600,saturating,0.0402,414,1.133,1.92,4.63,37.24,39.01,364,365.5,21.563,23.814,33.94,37.49,100.6,6.36,2.159,4.202,October
Eucalpytus tetradonta,ET1,expanding,61,224,-1.75,1305,saturating,0.0378,412,1.127,1.71,4.41,37.04,38.19,364.12,365.46,21.028,23.04,33.47,36.67,100.6,6.291,2.106,4.186,October
Eucalpytus tetradonta,ET1,expanding,62,225,-1.07,498,limiting,0.0286,401,1.1,1.12,3.82,36.91,36.32,363.88,364.68,21.139,22.454,33.89,36,100.6,6.247,2.117,4.13,October
Eucalyptus tetrodonta,ET1,mature,63,226,9.28,1166,saturating,0.219,264,0.754,5.94,2.82,36.48,34.9,363.84,350.19,20.879,27.817,34.26,45.65,100.6,6.102,2.09,4.011,October
Eucalyptus tetrodonta,ET1,mature,64,227,8.63,1594,saturating,0.219,267,0.761,6.8,3.22,36.51,36.43,364.06,350.83,20.852,28.789,34.16,47.16,100.6,6.112,2.088,4.024,October
Eucalyptus tetrodonta,ET1,mature,65,228,6.3,1484,saturating,0.153,268,0.757,5.2,3.44,36.57,36.62,364.02,354.23,21.133,27.214,34.51,44.44,100.6,6.132,2.116,4.016,October
Eucalyptus tetrodonta,ET1,mature,66,229,10.4,1551,saturating,0.306,274,0.787,8.22,2.86,36.74,35.87,364.16,348.2,20.911,30.48,33.84,49.32,100.6,6.189,2.094,4.095,October
Eucalyptus tetrodonta,ET1,mature,67,230,9,1113,saturating,0.155,237,0.675,5.28,3.46,36.77,36.58,364.21,351.2,20.692,26.85,33.43,43.38,100.6,6.199,2.072,4.127,October
Eucalyptus tetrodonta,ET1,mature,68,231,10.1,1497,saturating,0.24,261,0.748,7.31,3.16,36.94,36.54,364.35,349.14,21.181,29.688,33.9,47.51,100.6,6.257,2.121,4.136,October
