Sp code,Species Name,Status,Family,Fire Response,FR data source,Seed storage,SS data source,Life Form,Seed mass (mg),SM data source,Nutrient-acquisition strategy,NAS data source,Leaf P,Leaf N
LABLAN,Labichea lanceolata,native,CAESALPINIACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,57.25,Kew SID,AMF,Brundrett 2009; Brundrett pers. comm. 10 Aug 2012,,
LABPUN,Labichea punctata,native,CAESALPINIACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,37.04,Nursery records,AMF,Brundrett&Abbott 1991,,
LACFIL,Lachnagrostis filiformis,native,POACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Family,annual grass,0.14,Kew SID,AMF,Lamont 1982 for Family,,
LACSAL,Lactuca saligna*,weed,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,0.57,Kew SID,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,,
LACSER,Lactuca serriola*,weed,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,0.58,Kew SID,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,,
LAGHUE,Lagenophora huegelii,native,ASTERACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,1.64,Weighed,AMF,Lamont 1982 for Family,0.07,1.68
LASFLO,Lasiopetalum floribundum,native,MALVACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,1.13,Weighed,AMF,Brundrett 2008 for Genus,0.06,1.79
LASGLA,Lasiopetalum glabratum,native,MALVACEAE,RESPROUTER,Burrows et al. 2008,soil,Inferred using data for Genus,shrub,2.27,Approximation: avg seed mass of Lasiopetalum species (n = 14).,AMF,Brundrett 2008 for Genus,,
LAVSTO,Lavandula stoechas*,weed,LAMIACEAE,SEEDER,Alcoa DB,soil,Infered (weed),shrub,0.80,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,,
LAXSQU,Laxmannia squarrosa,native,ASPARAGACEAE,SEEDER,Alcoa DB,soil,Default,perennial forb,0.18,Nursery records,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,,
LECBIL,Lechenaultia biloba,native,GOODENIACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,1.00,Roche 1997 ,AMF,Brundrett&Abbott 1991,0.05,1.58
LEPCUN,Leptomeria cunninghamii,native,SANTALACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,7.60,Weighed,Root hemiparasite,Florabase,,
LEPERU,Leptospermum erubescens,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,0.11,Kew SID,AMF/ECM,Brundrett 2009 for Genus; Brundrett pers. comm. 10 Aug 2012,,
LEPFIM,Leporella fimbriata,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,perennial forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,,
