Family ,Species,Status,Fruit type,Sex type,Code,Source
Myrtaceae,Austromyrtus lasioclada ,e,berry,bi,1,Hyland et al.  (2003)
Myrtaceae,Austromyrtus minutiflora ,e,berry,bi,1,Hyland et al.  (2003)
Myrtaceae,Austromyrtus ssp. (Annan River BH 25539RFK) ,e,berry,bi,1,Hyland et al.  (2003)
Myrtaceae,Austromyrtus ssp. (Bamaga BH 10235) ,e,berry,bi,1,Hyland et al.  (2003)
Myrtaceae,Austromyrtus ssp. (Byerstown Range GPG 2037) ,e,berry,bi,1,Hyland et al.  (2003)
Myrtaceae,Austromyrtus ssp. (Cape Flattery LJW 13537) ,e,berry,bi,1,Hyland et al.  (2003)
Myrtaceae,Austromyrtus ssp. (Danbulla LSS 10123) ,e,berry,bi,1,Hyland et al.  (2003)
Myrtaceae,Austromyrtus ssp. (Forty Mile Scrub GCS 1785) ,e,berry,bi,1,Hyland et al.  (2003)
Myrtaceae,Austromyrtus ssp. (Gillies BG 1484) ,e,berry,bi,1,Hyland et al.  (2003)
Myrtaceae,Austromyrtus ssp. (Leo Creek BG 5244) ,e,berry,bi,1,Hyland et al.  (2003)
Myrtaceae,Austromyrtus ssp. (McIlwraith Range BH 11148) ,e,berry,bi,1,Hyland et al.  (2003)
Myrtaceae,Austromyrtus ssp. (Mt Lewis BG 831) ,e,berry,bi,1,Hyland et al.  (2003)
Myrtaceae,Austromyrtus ssp. (Windsor Tableland BG 412) ,e,berry,bi,1,Hyland et al.  (2003)
Myrtaceae,Backhousia angustifolia ,e,capsule,bi,1,Guymer 1988; Hyland et al. (2003)
Myrtaceae,Backhousia bancroftii ,e,capsule,bi,1,Guymer 1988; Hyland et al. (2003)
Myrtaceae,Backhousia hughesii ,e,capsule,bi,1,Guymer 1988; Hyland et al. (2003)
Myrtaceae,Barongia lophandra ,e,capsule,bi,1,Wilson and Hyland (1988)
Myrtaceae,Callistemon recurvus ,e,capsule,bi,1,Hyland et al.  (2003)
Myrtaceae,Callistemon viminalis ,e,capsule,bi,1,Hyland et al.  (2003)
Myrtaceae,Corymbia intermedia ,e,capsule,bi,1,Hill and Johnson (1995)
Myrtaceae,Corymbia tessellaris ,n,capsule,bi,1,Hill and Johnson (1995)
Myrtaceae,Corymbia torelliana ,e,capsule,bi,1,Hill and Johnson (1995)
Myrtaceae,Decaspermum humile ,e,berry,bi,1,Scott (1979)
Myrtaceae,Eucalyptus crebra ,e,capsule,bi,1,Hyland et al.  (2003)
Myrtaceae,Eucalyptus grandis ,e,capsule,bi,1,Hyland et al.  (2003)
Myrtaceae,Eucalyptus houseana ,e,capsule,bi,1,Hyland et al.  (2003)
Myrtaceae,Eucalyptus macta ,e,capsule,bi,1,Hyland et al.  (2003)
Myrtaceae,Eucalyptus pellita ,e,capsule,bi,1,Hyland et al.  (2003)
Myrtaceae,Eucalyptus tereticornis ,n,capsule,bi,1,Hyland et al.  (2003)
Myrtaceae,Eugenia reinwardtiana ,n,berry,bi,1,Hyland et al. (2003)
Myrtaceae,Leptospermum wooroonooran ,e,capsule,bi,1,Hyland et al. (2003)
Myrtaceae,Lindsayomyrtus racemoides ,e,capsule,bi,1,Hyland et al. (2003)
Myrtaceae,Lophostemon confertus ,e,capsule,bi,1,Hyland et al. (2003)
Myrtaceae,Lophostemon grandiflorus ssp. riparius ,e,capsule,bi,1,Hyland et al. (2003)
Myrtaceae,Lophostemon lactifluus ,e,capsule,bi,1,Hyland et al. (2003)
Myrtaceae,Lophostemon suaveolens ,n,capsule,bi,1,Hyland et al. (2003)
Myrtaceae,Melaleuca argentea ,e,capsule,bi,1,Hyland et al. (2003)
Myrtaceae,Melaleuca bracteata ,e,capsule,bi,1,Hyland et al. (2003)
Myrtaceae,Melaleuca dealbata ,n,capsule,bi,1,Hyland et al. (2003)
Myrtaceae,Melaleuca leucadendra ,n,capsule,bi,1,Hyland et al. (2003)
Myrtaceae,Melaleuca viridiflora ,n,capsule,bi,1,Hyland et al. (2003)
Myrtaceae,Mitrantia bilocularis ,e,capsule,mono,3,Wilson and Hyland (1988)
Myrtaceae,Myrtaceae Gen. Nov. ssp. (Boonjee BH 6589) ,e,?,bi,1,Hyland et al. (2003)
Myrtaceae,Neofabricia myrtifolia ,e,"capsule, deh",bi,1,Clarkson and Thompson (1989)
Myrtaceae,Pilidiostigma tropicum ,e,berry,bi,1,Hyland et al. (2003)
Myrtaceae,Rhodamnia australis ,e,berry,bi,1,Hyland et al. (2003)
Myrtaceae,Rhodamnia blairiana ,e,berry,bi,1,Hyland et al. (2003)
Myrtaceae,Rhodamnia costata ,e,berry,bi,1,Hyland et al. (2003)
Myrtaceae,Rhodamnia sessiliflora ,e,berry,bi,1,Hyland et al. (2003)
Myrtaceae,Rhodamnia spongiosa ,n,berry,bi,1,Hyland et al. (2003)
Myrtaceae,Rhodamnia ssp. (Cape York LSS 12538) ,e,berry,bi,1,Hyland et al. (2003)
Myrtaceae,Rhodamnia ssp. (McIlwraith Range LJW 9527) ,e,berry,bi,1,Hyland et al. (2003)
Myrtaceae,Rhodamnia ssp. (Silver Plains BH 2866RFK) ,e,berry,bi,1,Hyland et al. (2003)
Myrtaceae,Rhodomyrtus macrocarpa ,n,berry,bi,1,Hyland et al. (2003)
Myrtaceae,Rhodomyrtus pervagata ,e,berry,bi,1,Hyland et al. (2003)
Myrtaceae,Rhodomyrtus sericea ,e,berry,bi,1,Hyland et al. (2003)
Myrtaceae,Rhodomyrtus trineura ssp. capensis ,e,berry,bi,1,Hyland et al. (2003)
Myrtaceae,Ristantia gouldii ,e,capsule,bi,1,Wilson and Hyland (1988)
Myrtaceae,Ristantia pachysperma ,e,capsule,bi,1,Hyland et al. (2003)
Myrtaceae,Sphaerantia chartacea ,e,capsule,mono,3,Wilson and Hyland (1988)
Myrtaceae,Sphaerantia discolor ,e,capsule,mono,3,Wilson and Hyland (1988)
Myrtaceae,Syncarpia glomulifera ssp. glomulifera ,e,capsule,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium alatoramulum ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium alliiligneum ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium angophoroides ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium apodophyllum ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium aqueum ,n,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium argyropedicum,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium armstrongii ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium australe ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium bamagense ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium banksii ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium boonjee ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium branderhorstii ,n,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium buettnerianum ,n,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium bungadinnia ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium canicortex ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium cormiflorum ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium corynanthum ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium dansiei ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium endophloium ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium erythrocalyx ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium erythrodoxum ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium fibrosum ,n,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium forte ssp. forte ,n,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium forte ssp. potamophilum ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium gustavioides ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium johnsonii ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium kuranda ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium luehmannii ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium macilwraithianum ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium malaccense ,n,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium minutuliflorum ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium nervosum ,n,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium oleosum ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium papyraceum ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium pseudofastigiatum ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium puberulum ,n,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium sayeri ,n,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium sharoniae ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium ssp. (Bartle Frere BH 12923) ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium ssp. (Mt Misery GS 1131) ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium suborbiculare ,n,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium tierneyanum ,n,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium trachyphloium ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium velarum ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium wesa ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium wilsonii ssp. cryptophlebium ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Syzygium xerampelinum ,e,drupe,bi,1,Hyland et al. (2003)
Myrtaceae,Thaleropia queenslandica ,e,"capsule, deh",bi,1,Hyland et al. (2003)
Myrtaceae,Thryptomene oligandra ,e,nut,bi,1,Hyland et al. (2003)
Myrtaceae,Tristaniopsis exiliflora ,e,capsule,bi,1,Hyland et al. (2003)
Myrtaceae,Uromyrtus metrosideros ,e,berry,bi,1,"P. Wilson, pers. comm.."
Myrtaceae,Uromyrtus ssp. (Tinaroo Range GPG 2034) ,e,berry,bi,1,Hyland et al. (2003)
Myrtaceae,Waterhousea hedraiophylla ,e,berry,bi,1,Hyland et al. (2003)
Myrtaceae,Waterhousea mulgraveana ,e,berry,bi,1,Hyland et al. (2003)
Myrtaceae,Waterhousea unipunctata ,e,berry,bi,1,Hyland et al. (2003)
Myrtaceae,Welchiodendron longivalve ,n,capsule,bi,1,Hyland et al. (2003)
Myrtaceae,Xanthostemon arenarius ,e,capsule,bi,1,"P. Wilson, pers. comm; "
Myrtaceae,Xanthostemon chrysanthus ,e,capsule,bi,1,"P. Wilson, pers. comm; "
Myrtaceae,Xanthostemon crenulatus ,n,capsule,bi,1,"P. Wilson, pers. comm; "
Myrtaceae,Xanthostemon eucalyptoides ,e,capsule,bi,1,"P. Wilson, pers. comm; "
Myrtaceae,Xanthostemon formosus ,e,capsule,bi,1,"P. Wilson, pers. comm; "
Myrtaceae,Xanthostemon graniticus ,e,capsule,bi,1,"P. Wilson, pers. comm; "
Myrtaceae,Xanthostemon paradoxus ,e,capsule,bi,1,"P. Wilson, pers. comm; "
Myrtaceae,Xanthostemon umbrosus ,e,capsule,bi,1,"P. Wilson, pers. comm; "
Myrtaceae,Xanthostemon verticillatus ,e,capsule,bi,1,"P. Wilson, pers. comm; "
Myrtaceae,Xanthostemon whitei ,e,capsule,bi,1,"P. Wilson, pers. comm; "
Myrtaceae,Xanthostemon xerophilus ,e,capsule,bi,1,Hyland et al. (2003)
Myrtaceae,Xanthostemon youngii ,e,capsule,bi,1,Hyland et al. (2003)
Nyctaginaceae,Pisonia grandis ,n,achene,unres,4,Meikle & Hewson (1984)
Nyctaginaceae,Pisonia umbellifera ,n,achene,unres,4,Meikle & Hewson (1984)
Ochnaceae,Brackenridgea nitida ssp. australiana ,e,drupe,bi,1,Hyland et al. (2003)
Oleaceae,Chionanthus axillaris ,e,drupe,bi,1,Hyland et al. (2003)
Oleaceae,Chionanthus ramiflora ,n,drupe,bi,1,Hyland et al. (2003)
Oleaceae,Chionanthus sleumeri ,e,drupe,bi,1,Hyland et al. (2003)
Oleaceae,Ligustrum australianum ,e,drupe,bi,1,Hyland et al. (2003)
Oleaceae,Linociera sp. (Little Pine LA BH 2520RFK) ,e,drupe,bi,1,Hyland et al. (2003)
Oleaceae,Notelaea longifolia ,e,drupe,bi,1,Green 1968
Oleaceae,Notelaea microcarpa ,e,drupe,bi,1,Green 1968
Oleaceae,Olea paniculata ,n,drupe,bi,1,Green (1994)
Phyllanthaceae (Euphorbiaceae),Antidesma bunius ,n,drupe,dio,2,Airy-Shaw (1974)
Phyllanthaceae (Euphorbiaceae),Antidesma erostre ,e,drupe,dio,2,Airy-Shaw (1974)
Phyllanthaceae (Euphorbiaceae),Antidesma ghesaembilla ,n,drupe,dio,2,Airy-Shaw (1974)
Phyllanthaceae (Euphorbiaceae),Antidesma hylandii ,e,drupe,dio,2,Hyland et al. (2003)
Phyllanthaceae (Euphorbiaceae),Antidesma parvifolium ,e,drupe,dio,2,Airy-Shaw  (1974)
Phyllanthaceae (Euphorbiaceae),Cleistanthus apodus ,n,capsule,mono,3,Airy-Shaw (1974)
Phyllanthaceae (Euphorbiaceae),Cleistanthus discolor ,e,capsule,mono,3,Airy-Shaw (1974)
Phyllanthaceae (Euphorbiaceae),Cleistanthus hylandii ,e,capsule,mono,3,Airy-Shaw (1974)
Phyllanthaceae (Euphorbiaceae),Cleistanthus myrianthus ,n,capsule,mono,3,Airy-Shaw (1974)
Phyllanthaceae (Euphorbiaceae),Cleistanthus peninsularis ,n,capsule,mono,3,Airy-Shaw (1974)
Phyllanthaceae (Euphorbiaceae),Cleistanthus semiopacus ,e,capsule,mono,3,Airy-Shaw (1974)
Phyllanthaceae (Euphorbiaceae),Cleistanthus xerophilus ,e,capsule,mono,3,Airy-Shaw (1974)
Phyllanthaceae (Euphorbiaceae),Glochidion apodogynum,n,capsule,mono,3,Hyland et al. (2003)
Phyllanthaceae (Euphorbiaceae),Glochidion disparipes ,n,capsule,mono,3,"Cumming 15491, NSW"
Phyllanthaceae (Euphorbiaceae),Glochidion harveyanum var. harveyanum ,n,capsule,mono,3,"Wannan 512, NSW"
Phyllanthaceae (Euphorbiaceae),Glochidion harveyanum var. pubescens ,e,capsule,mono,3,"Hyland 15697, QRS"
Phyllanthaceae (Euphorbiaceae),Glochidion hylandii ,e,capsule,mono,3,"GJM 2148, NSW"
Phyllanthaceae (Euphorbiaceae),Glochidion lobocarpum ,n,capsule,mono,3,"Batianoff 9318, NSW"
Phyllanthaceae (Euphorbiaceae),Glochidion philippicum ,n,capsule,mono,3,"Forster 21314 & R. Jensen, QRS"
Phyllanthaceae (Euphorbiaceae),Glochidion pungens ,e,capsule,mono,3,Hyland et al. (2003)
Phyllanthaceae (Euphorbiaceae),Glochidion sessiliflorum var. pedicellatum ,e,capsule,mono,3,"Gillison 5032, QRS"
Phyllanthaceae (Euphorbiaceae),Glochidion sessiliflorum var. sessiliflorum ,e,capsule,mono,3,"Gray 7355, QRS"
Phyllanthaceae (Euphorbiaceae),Glochidion sessiliflorum var. stylosum ,e,capsule,mono,3,Hyland et al. (2003)
Phyllanthaceae (Euphorbiaceae),Glochidion sumatranum ,n,capsule,mono,3,"Hyland 6989, QRS"
Phyllanthaceae (Euphorbiaceae),Glochidion xerocarpum ,n,capsule,mono,3,"Dunlop 7406, QRS"
Phyllanthaceae (Euphorbiaceae),Phyllanthus clamboides ,n,capsule,mono,3,"Jago 4629, NSW"
Phyllanthaceae (Euphorbiaceae),Phyllanthus cuscutiflorus ,n,capsule,mono,3,"Gray 18632, QRS"
Phyllanthaceae (Euphorbiaceae),Phyllanthus praelongipes ,n,capsule,mono,3,"Tucker 276, QRS"
Pittosporaceae,Auranticarpa edentata ,e,capsule,bi,1,"Cayzer, Crisp & Telford (2000)"
Pittosporaceae,Auranticarpa ilicifolia ,e,capsule,bi,1,"Cayzer, Crisp & Telford (2000)"
Pittosporaceae,Auranticarpa papyracea ,e,capsule,bi,1,"Cayzer, Crisp & Telford (2000)"
Pittosporaceae,Bursaria spinosa ,e,capsule,bi,1,"Cayzer, Crisp & Telford (1999)"
Pittosporaceae,Bursaria tenuifolia ,e,capsule,mono,3,"Cayzer, Crisp & Telford (2000)"
Pittosporaceae,Citriobatus spinescens ,n,"fleshy, indeh",mono,3,"Cayzer, Crisp & Telford (2000b)"
Pittosporaceae,Hymenosporum flavum ,n,capsule,bi,1,Hyland et al. (2003)
Pittosporaceae,Pittosporum ferrugineum ,n,capsule,dio,2,"Cayzer, Crisp & Telford (2000b)"
Pittosporaceae,Pittosporum trilobum ,e,capsule,dio,2,Hyland et al. (2003)
Pittosporaceae,Pittosporum venulosum ,e,capsule,bi/mono/dio,4,unresolved
Pittosporaceae,Pittosporum wingii ,e,capsule,dio,2,"Cayzer, Crisp & Telford (2000b)"
Polygalaceae (Xanthophyllaceae),Xanthophyllum fragrans ,e,"fleshy, indeh",bi,1,van der Meijden (1982)
Polygalaceae (Xanthophyllaceae),Xanthophyllum octandrum ,e,"deh, capsule",bi,1,van der Meijden (1982)
Proteaceae,Alloxylon flammeum ,e,capsule,bi,1,Weston and Crisp (1991)
Proteaceae,Alloxylon wickhamii ,e,capsule,bi,1,Weston and Crisp (1991)
Proteaceae,Athertonia diversifolia ,e,capsule,bi,1,Weston (1995)
Proteaceae,Austromuellera trinervia ,e,follicles,bi,1,"Sanderson 1413, QRS"
Proteaceae,Austromuellera valida ,e,follicles,mono,3,Hyland (1999)
Proteaceae,Banksia aquilonia ,e,follicles,bi,1,Hyland et al. (2003)
Proteaceae,Buckinghamia celsissima ,e,follicles,bi,1,Foreman and Hyland (1995)
Proteaceae,Buckinghamia ferruginiflora ,e,follicles,bi,1,Foreman and Hyland (1988)
Proteaceae,Cardwellia sublimis ,e,follicles,bi,1,Hyland (1995)
Proteaceae,Carnarvonia araliifolia var. araliifolia ,e,follicles,bi,1,Douglas (1996); Hyland et al. (2003)
Proteaceae,Carnarvonia araliifolia var. montana ,e,follicles,bi,1,Douglas (1996); Hyland et al. (2003)
Proteaceae,Catalepidia heyana ,e,follicles,bi,1,Weston (1995)
Proteaceae,Darlingia darlingiana ,e,follicles,bi,1,Hyland (1995)
Proteaceae,Darlingia ferruginea ,e,follicles,bi,1,Hyland (1995)
Proteaceae,Eidothea zoexylocarya ,e,drupe,mono,3,Douglas and Hyland (1995)
Proteaceae,Gevuina bleasdalei ,e,follicles,bi,1,Weston (1995e)
Proteaceae,Grevillea baileyana ,e,follicles,bi,1,Makinson (2000)
Proteaceae,Grevillea hilliana ,e,follicles,bi,1,Makinson (2000)
Proteaceae,Helicia australasica ,n,drupe,bi,1,Hyland et al. (2003)
Proteaceae,Helicia blakei ,e,follicles,bi,1,Hyland et al. (2003)
Proteaceae,Helicia grayi ,e,follicles,bi,1,Hyland et al. (2003)
Proteaceae,Helicia lamingtoniana ,e,drupe,bi,1,Hyland et al. (2003)
Proteaceae,Helicia lewisensis ,e,drupe,bi,1,Hyland et al. (2003)
Proteaceae,Helicia nortoniana ,e,drupe,bi,1,Hyland et al. (2003)
Proteaceae,Hicksbeachia pilosa ,e,drupe,bi,1,Weston (1995)
Proteaceae,Hollandaea riparia ,e,drupe,bi,1,Hyland (1995)
Proteaceae,Hollandaea sayeriana ,e,drupe,bi,1,Hyland (1995)
Proteaceae,Hollandaea ssp. (Pinnacle Rock Track PIF 10714) ,e,follicles,bi,1,Hyland et al. (2003)
Proteaceae,Lomatia fraxinifolia ,e,follicles,bi,1,"Wilson, Hewson & Moffat (1995)"
Proteaceae,Macadamia claudiensis ,e,follicles,bi,1,Gross (1995)
Proteaceae,Macadamia grandis ,e,follicles,bi,1,Gross (1995)
Proteaceae,Macadamia whelanii ,e,follicles,bi,1,Gross (1995)
Proteaceae,Megahertzia amplexicaulis ,e,follicles,bi,1,Hyland et al. (2003).
Proteaceae,Musgravea heterophylla ,e,follicles,bi,1,"Dansie 2015, QRS"
Proteaceae,Musgravea stenostachya ,e,follicles,bi,1,"Sankowsky 1432, QRS"
Proteaceae,Neorites kevediana ,e,follicles,bi,1,Hewson (1995)
Proteaceae,Opisthiolepis heterophylla ,e,follicles,bi,1,Foreman (1995)
Proteaceae,Orites excelsa ,e,follicles,bi,1,Hyland et al. (2003).
Proteaceae,Orites megacarpa ,e,follicles,bi,1,Hyland et al. (2003).
Proteaceae,Orites ssp. (Pinnacle Rock Track WWC 867) ,e,follicles,bi,1,Hyland et al. (2003).
Proteaceae,Placospermum coriaceum ,e,follicles,mono,3,"Stocker 1622, QRS"
Proteaceae,Sphalmium racemosum ,e,follicles,mono,3,"Gray 5728, QRS"
Proteaceae,Stenocarpus cryptocarpus ,e,follicles,bi,1,Foreman (1995)
Proteaceae,Stenocarpus cunninghamii ,e,follicles,bi,1,Foreman (1995)
Proteaceae,Stenocarpus davallioides ,e,follicles,bi,1,Foreman (1995)
Proteaceae,Stenocarpus reticulatus ,e,follicles,bi,1,Foreman (1995)
Proteaceae,Stenocarpus sinuatus ,e,follicles,bi,1,Foreman (1995)
Proteaceae,Stenocarpus ssp. (Hinchinbrook Is. FDH AQ229860) ,e,follicles,bi,1,Foreman (1995)
Proteaceae,Stenocarpus verticis ,e,follicles,bi,1,Foreman (1995)
Proteaceae,Triunia erythrocarpa ,e,follicles,bi,1,Hyland et al.  (2003)
Putranjivaceae (Euphorbiaceae),Drypetes acuminata ,e,drupe,dio,2,Forster (1997)
Putranjivaceae (Euphorbiaceae),Drypetes deplanchei ,n,drupe,dio,2,Forster (1997)
Putranjivaceae (Euphorbiaceae),Drypetes iodoformis ,e,drupe,dio,2,Forster (1997)
Rhamnaceae,Alphitonia excelsa ,e,follicles,bi,1,Hyland et al.  (2003)
Rhamnaceae,Alphitonia incana ,n,follicles,bi,1,Hyland et al.  (2003)
Rhamnaceae,Alphitonia petriei ,e,drupe,bi,1,Hyland et al.  (2003)
Rhamnaceae,Alphitonia ssp. (Forty Mile Scrub BH 25763RFK) ,e,drupe,bi,1,Hyland et al.  (2003)
Rhamnaceae,Alphitonia ssp. (Kimberley BH 25117RFK) ,e,drupe,bi,1,Hyland et al.  (2003)
Rhamnaceae,Alphitonia whitei ,e,drupe,bi,1,Hyland et al.  (2003)
Rhamnaceae,Emmenosperma alphitonioides ,e,drupe,bi,1,Hyland et al.  (2003)
Rhamnaceae,Emmenosperma cunninghamii ,e,drupe,bi,1,Hyland et al.  (2003)
Rhamnaceae,Schistocarpaea johnsonii ,e,drupe,bi,1,Hyland et al.  (2003)
Rhamnaceae,Ventilago viminalis ,e,drupe,bi,1,Hyland et al.  (2003)
Rhamnaceae,Ziziphus quadrilocularis ,e,drupe,bi,1,Hyland et al.  (2003)
Rhamnaceae,Ziziphus timoriensis ,e,capsule,bi,1,Hyland et al.  (2003)
Rhizophoraceae,Carallia brachiata ,n,nut,bi,1,McCusker (1984)
Rosaceae,Prunus brachystachya ,n,drupe,dio,2,Hyland et al. (2003)
Rosaceae,Prunus turneriana ,n,drupe,dio,2,Hyland et al. (2003)
Rubiaceae,Aidia racemosa ,n,pulpy,bi,1,Hyland et al. (2003)
Rubiaceae,Aidia ssp. (Gap Creek LWJ 651) ,e,drupe,dio,2, Hyland et al. (2003)
Rubiaceae,Anthocephalus chinensis ,n,drupe,dio,2, Hyland et al. (2003)
Rubiaceae,Antirhea ssp. (Mt Lewis BG 5733) ,e,berry,dio,2,Hyland et al.  (2003)
Rubiaceae,Antirhea tenuiflora ,n,berry,dio,2,Hyland et al. (2003)
Rubiaceae,Atractocarpus fitzalanii ssp. fitzalanii ,e,berry,dio,2,Puttock (1989)
Rubiaceae,Atractocarpus fitzalanii ssp. tenuipes ,e,berry,dio,2,Puttock (1990)
Rubiaceae,Atractocarpus sessilis ,e,berry,dio,2,Puttock (1991)
Rubiaceae,Bobea myrtoides ,e,"indeh, fleshy",bi,1,Hyland et al.  (2003)
Rubiaceae,Canthium attenuatum ,e,drupe,bi,1,Hyland et al.  (2003)
Rubiaceae,Canthium coprosmoides ,n,drupe,bi,1,Hyland et al.  (2003)
Rubiaceae,Canthium costatum ,e,drupe,bi,1,Hyland et al.  (2003)
Rubiaceae,Canthium graciliflorum ,n,drupe,bi,1,Hyland et al.  (2003)
Rubiaceae,Canthium lamprophyllum ,e,drupe,bi,1,Hyland et al.  (2003)
Rubiaceae,Canthium odoratum ,e,drupe,bi,1,Hyland et al.  (2003)
Rubiaceae,Canthium ssp. (Friday Island LJB 18158) ,e,,bi,1,Hyland et al.  (2003)
Rubiaceae,Canthium ssp. (Herberton Range SFK 1377) ,e,drupe,bi,1,Hyland et al.  (2003)
Rubiaceae,Canthium ssp. (Kimberley BH 25133RFK) ,e,drupe,bi,1,Hyland et al.  (2003)
Rubiaceae,Canthium ssp. (Whitfield Range BH 1020RFK) ,e,drupe,bi,1,Hyland et al.  (2003)
Rubiaceae,Gardenia ovularis ,e,berry,dio,2,Osunkoya and Swanborough (2001)
Rubiaceae,Gardenia scabrella ,e,berry,dio,2,Hyland et al. (2003)
Rubiaceae,Guettarda speciosa ,n,drupe,bi,1,Hyland et al. (2003)
Rubiaceae,Ixora orophila ,e,drupe,bi,1,Hyland et al. (2003)
Rubiaceae,Ixora ssp. (North Mary LA BH 8618) ,e,drupe,bi,1,Hyland et al. (2003)
Rubiaceae,Ixora timorensis ,n,drupe,bi,1,Hyland et al. (2003)
Rubiaceae,Kailarsenia ochreata ,e,drupe,dio,2,Puttock (1989)
Rubiaceae,Morinda citrifolia var. citrifolia ,n,drupe,bi,1,Hyland et al. (2003)
Rubiaceae,Nauclea orientalis ,n,syncarp,bi,1,Hyland et al. (2003) 
Rubiaceae,Neonauclea glabra ,n,capsule,bi,1,Risdale (1989)
Rubiaceae,Pavetta kimberleyana ,e,drupe,bi,1,Reynolds (1993)
Rubiaceae,Psychotria fitzalanii ,e,drupe,bi,1,Hyland et al. (2003)
Rubiaceae,Psychotria nesophila ,e,drupe,bi,1,Hyland et al. (2003)
Rubiaceae,Randia audasii ,e,berry,bi,1,Hyland et al. (2003)
Rubiaceae,Tarenna australis ,e,berry,bi,1,Hyland et al. (2003)
Rubiaceae,Tarenna dallachiana ,n,berry,bi,1,Hyland et al. (2003)
Rubiaceae,Timonius singularis ,n,drupe,dio,2, Wong (1988)
Rubiaceae,Timonius timon ,n,drupe,dio,2, Darwin (1993)
Rubiaceae,Wendlandia cannata ,e,capsule,bi,1,Hyland et al. (2003)
Rubiaceae,Wendlandia urceolata ,e,capsule,bi,1,Hyland et al. (2003)
Rutaceae,Acronychia aberrans ,e,drupe,bi,1,Hartley (1974)
Rutaceae,Acronychia acidula ,e,drupe,bi,1,Hartley (1974)
Rutaceae,Acronychia acronychioides ,e,drupe,bi,1,Hartley (1974)
Rutaceae,Acronychia acuminata ,e,drupe,bi,1,Hartley (1974)
Rutaceae,Acronychia chooreechillum ,e,drupe,bi,1,Hartley (1974)
Rutaceae,Acronychia crassipetala ,e,drupe,bi,1,Hartley (1974)
Rutaceae,Acronychia imperforata ,e,drupe,bi,1,Hartley (1974)
Rutaceae,Acronychia laevis ,n,drupe,bi,1,Hartley (1974)
Rutaceae,Acronychia ssp. (Batavia Downs JRC 8511) ,e,drupe,bi,1,Hyland et al.  (2003)
