species,treatment,trait_name,value,source_id,sampling_date
Leptospermum polygalifolium,High-P,Rdarea (umol CO2 m-2 s-1),1.296,Wright_2001,1998
Lomatia silaifolia,High-P,Rdarea (umol CO2 m-2 s-1),0.815,Wright_2001,1998
Macrozamia communis,High-P,Rdarea (umol CO2 m-2 s-1),1.2,Wright_2001,1998
Persoonia linearis,High-P,Rdarea (umol CO2 m-2 s-1),0.706,Wright_2001,1998
Pultenea daphnoides,High-P,Rdarea (umol CO2 m-2 s-1),0.87,Wright_2001,1998
Pultenea flexilis,High-P,Rdarea (umol CO2 m-2 s-1),1.154,Wright_2001,1998
Syncarpia glomulifera,High-P,Rdarea (umol CO2 m-2 s-1),0.912,Wright_2001,1998
Synoum glandulosum,High-P,Rdarea (umol CO2 m-2 s-1),0.781,Wright_2001,1998
Xylomelum pyriforme,High-P,Rdarea (umol CO2 m-2 s-1),0.639,Wright_2001,1998
Acacia suaveolens,Low-P,Aarea (umol Co2 m-2 s-1),9.64,Wright_2001,1998
Boronia ledifolia,Low-P,Aarea (umol Co2 m-2 s-1),8.7,Wright_2001,1998
Corymbia gummifera,Low-P,Aarea (umol Co2 m-2 s-1),13,Wright_2001,1998
Eriostemon australasius,Low-P,Aarea (umol Co2 m-2 s-1),10.1,Wright_2001,1998
Eucalyptus haemastoma,Low-P,Aarea (umol Co2 m-2 s-1),11.99,Wright_2001,1998
Grevillea buxifolia,Low-P,Aarea (umol Co2 m-2 s-1),8.64,Wright_2001,1998
Hakea dactyloides,Low-P,Aarea (umol Co2 m-2 s-1),12.61,Wright_2001,1998
Lambertia formosa,Low-P,Aarea (umol Co2 m-2 s-1),9.35,Wright_2001,1998
Leptospermum trinervium,Low-P,Aarea (umol Co2 m-2 s-1),4.5,Wright_2001,1998
Persoonia levis,Low-P,Aarea (umol Co2 m-2 s-1),8.18,Wright_2001,1998
Phyllota phylicoides,Low-P,Aarea (umol Co2 m-2 s-1),8.39,Wright_2001,1998
Acacia suaveolens,Low-P,LL (year),2.45,Wright_2002,1998-2000
Boronia ledifolia,Low-P,LL (year),1.61,Wright_2002,1998-2000
Corymbia gummifera,Low-P,LL (year),1.22,Wright_2002,1998-2000
Eriostemon australasius,Low-P,LL (year),1.01,Wright_2002,1998-2000
Eucalyptus haemastoma,Low-P,LL (year),1.55,Wright_2002,1998-2000
Grevillea buxifolia,Low-P,LL (year),1.25,Wright_2002,1998-2000
Hakea dactyloides,Low-P,LL (year),3.45,Wright_2002,1998-2000
Lambertia formosa,Low-P,LL (year),2.48,Wright_2002,1998-2000
Leptospermum trinervium,Low-P,LL (year),1.85,Wright_2002,1998-2000
Persoonia levis,Low-P,LL (year),3.79,Wright_2002,1998-2000
Phyllota phylicoides,Low-P,LL (year),1.87,Wright_2002,1998-2000
Acacia suaveolens,Low-P,LMA (g m-2),208.6,Tsujii_2023,2019-2020
Boronia ledifolia,Low-P,LMA (g m-2),139.9,Tsujii_2023,2019-2020
Corymbia gummifera,Low-P,LMA (g m-2),183.7,Tsujii_2023,2019-2020
Eriostemon australasius,Low-P,LMA (g m-2),179.2,Tsujii_2023,2019-2020
Eucalyptus haemastoma,Low-P,LMA (g m-2),268.7,Tsujii_2023,2019-2020
Grevillea buxifolia,Low-P,LMA (g m-2),120.4,Tsujii_2023,2019-2020
Hakea dactyloides,Low-P,LMA (g m-2),278.9,Tsujii_2023,2019-2020
Lambertia formosa,Low-P,LMA (g m-2),196.1,Tsujii_2023,2019-2020
Leptospermum trinervium,Low-P,LMA (g m-2),125.6,Tsujii_2023,2019-2020
Persoonia levis,Low-P,LMA (g m-2),197.3,Tsujii_2023,2019-2020
Phyllota phylicoides,Low-P,LMA (g m-2),82.3,Tsujii_2023,2019-2020
Acacia suaveolens,Low-P,N (mg g-1),17.28,Tsujii_2023,2019-2020
Boronia ledifolia,Low-P,N (mg g-1),10.47,Tsujii_2023,2019-2020
Corymbia gummifera,Low-P,N (mg g-1),9.17,Tsujii_2023,2019-2020
Eriostemon australasius,Low-P,N (mg g-1),10.74,Tsujii_2023,2019-2020
Eucalyptus haemastoma,Low-P,N (mg g-1),8.47,Tsujii_2023,2019-2020
Grevillea buxifolia,Low-P,N (mg g-1),8.05,Tsujii_2023,2019-2020
Hakea dactyloides,Low-P,N (mg g-1),5.95,Tsujii_2023,2019-2020
Lambertia formosa,Low-P,N (mg g-1),6.04,Tsujii_2023,2019-2020
Leptospermum trinervium,Low-P,N (mg g-1),9.38,Tsujii_2023,2019-2020
Persoonia levis,Low-P,N (mg g-1),7.86,Tsujii_2023,2019-2020
Phyllota phylicoides,Low-P,N (mg g-1),12.55,Tsujii_2023,2019-2020
Acacia suaveolens,Low-P,P_senesced (mg g-1),0.071,Wright_2003,1998-2000
Boronia ledifolia,Low-P,P_senesced (mg g-1),0.054,Wright_2003,1998-2000
Corymbia gummifera,Low-P,P_senesced (mg g-1),0.047,Wright_2003,1998-2000
Eriostemon australasius,Low-P,P_senesced (mg g-1),0.056,Wright_2003,1998-2000
Eucalyptus haemastoma,Low-P,P_senesced (mg g-1),0.069,Wright_2003,1998-2000
Grevillea buxifolia,Low-P,P_senesced (mg g-1),0.053,Wright_2003,1998-2000
Hakea dactyloides,Low-P,P_senesced (mg g-1),0.023,Wright_2003,1998-2000
Lambertia formosa,Low-P,P_senesced (mg g-1),0.057,Wright_2003,1998-2000
Leptospermum trinervium,Low-P,P_senesced (mg g-1),0.048,Wright_2003,1998-2000
Persoonia levis,Low-P,P_senesced (mg g-1),0.03,Wright_2003,1998-2000
Phyllota phylicoides,Low-P,P_senesced (mg g-1),0.029,Wright_2003,1998-2000
Acacia suaveolens,Low-P,P-i (mg g-1),0.054,Tsujii_2023,2019-2020
Boronia ledifolia,Low-P,P-i (mg g-1),0.08,Tsujii_2023,2019-2020
Corymbia gummifera,Low-P,P-i (mg g-1),0.069,Tsujii_2023,2019-2020
Eriostemon australasius,Low-P,P-i (mg g-1),0.081,Tsujii_2023,2019-2020
Eucalyptus haemastoma,Low-P,P-i (mg g-1),0.097,Tsujii_2023,2019-2020
Grevillea buxifolia,Low-P,P-i (mg g-1),0.073,Tsujii_2023,2019-2020
Hakea dactyloides,Low-P,P-i (mg g-1),0.061,Tsujii_2023,2019-2020
Lambertia formosa,Low-P,P-i (mg g-1),0.049,Tsujii_2023,2019-2020
Leptospermum trinervium,Low-P,P-i (mg g-1),0.049,Tsujii_2023,2019-2020
Persoonia levis,Low-P,P-i (mg g-1),0.078,Tsujii_2023,2019-2020
Phyllota phylicoides,Low-P,P-i (mg g-1),0.056,Tsujii_2023,2019-2020
Acacia suaveolens,Low-P,P-L (mg g-1),0.058,Tsujii_2023,2019-2020
Boronia ledifolia,Low-P,P-L (mg g-1),0.067,Tsujii_2023,2019-2020
Corymbia gummifera,Low-P,P-L (mg g-1),0.112,Tsujii_2023,2019-2020
Eriostemon australasius,Low-P,P-L (mg g-1),0.062,Tsujii_2023,2019-2020
Eucalyptus haemastoma,Low-P,P-L (mg g-1),0.106,Tsujii_2023,2019-2020
Grevillea buxifolia,Low-P,P-L (mg g-1),0.067,Tsujii_2023,2019-2020
Hakea dactyloides,Low-P,P-L (mg g-1),0.058,Tsujii_2023,2019-2020
Lambertia formosa,Low-P,P-L (mg g-1),0.061,Tsujii_2023,2019-2020
Leptospermum trinervium,Low-P,P-L (mg g-1),0.063,Tsujii_2023,2019-2020
Persoonia levis,Low-P,P-L (mg g-1),0.061,Tsujii_2023,2019-2020
Phyllota phylicoides,Low-P,P-L (mg g-1),0.056,Tsujii_2023,2019-2020
Acacia suaveolens,Low-P,P-M (mg g-1),0.035,Tsujii_2023,2019-2020
Boronia ledifolia,Low-P,P-M (mg g-1),0.019,Tsujii_2023,2019-2020
Corymbia gummifera,Low-P,P-M (mg g-1),0.074,Tsujii_2023,2019-2020
Eriostemon australasius,Low-P,P-M (mg g-1),0.041,Tsujii_2023,2019-2020
Eucalyptus haemastoma,Low-P,P-M (mg g-1),0.065,Tsujii_2023,2019-2020
Grevillea buxifolia,Low-P,P-M (mg g-1),0.03,Tsujii_2023,2019-2020
Hakea dactyloides,Low-P,P-M (mg g-1),0.023,Tsujii_2023,2019-2020
Lambertia formosa,Low-P,P-M (mg g-1),0.047,Tsujii_2023,2019-2020
Leptospermum trinervium,Low-P,P-M (mg g-1),0.05,Tsujii_2023,2019-2020
Persoonia levis,Low-P,P-M (mg g-1),0.025,Tsujii_2023,2019-2020
Phyllota phylicoides,Low-P,P-M (mg g-1),0.045,Tsujii_2023,2019-2020
Acacia suaveolens,Low-P,P-N (mg g-1),0.06,Tsujii_2023,2019-2020
Boronia ledifolia,Low-P,P-N (mg g-1),0.083,Tsujii_2023,2019-2020
Corymbia gummifera,Low-P,P-N (mg g-1),0.126,Tsujii_2023,2019-2020
Eriostemon australasius,Low-P,P-N (mg g-1),0.072,Tsujii_2023,2019-2020
Eucalyptus haemastoma,Low-P,P-N (mg g-1),0.113,Tsujii_2023,2019-2020
Grevillea buxifolia,Low-P,P-N (mg g-1),0.068,Tsujii_2023,2019-2020
Hakea dactyloides,Low-P,P-N (mg g-1),0.061,Tsujii_2023,2019-2020
Lambertia formosa,Low-P,P-N (mg g-1),0.056,Tsujii_2023,2019-2020
Leptospermum trinervium,Low-P,P-N (mg g-1),0.086,Tsujii_2023,2019-2020
Persoonia levis,Low-P,P-N (mg g-1),0.088,Tsujii_2023,2019-2020
Phyllota phylicoides,Low-P,P-N (mg g-1),0.057,Tsujii_2023,2019-2020
Acacia suaveolens,Low-P,P-R (mg g-1),0.032,Tsujii_2023,2019-2020
Boronia ledifolia,Low-P,P-R (mg g-1),0.03,Tsujii_2023,2019-2020
Corymbia gummifera,Low-P,P-R (mg g-1),0.042,Tsujii_2023,2019-2020
Eriostemon australasius,Low-P,P-R (mg g-1),0.031,Tsujii_2023,2019-2020
Eucalyptus haemastoma,Low-P,P-R (mg g-1),0.029,Tsujii_2023,2019-2020
Grevillea buxifolia,Low-P,P-R (mg g-1),0.02,Tsujii_2023,2019-2020
Hakea dactyloides,Low-P,P-R (mg g-1),0.021,Tsujii_2023,2019-2020
Lambertia formosa,Low-P,P-R (mg g-1),0.026,Tsujii_2023,2019-2020
Leptospermum trinervium,Low-P,P-R (mg g-1),0.035,Tsujii_2023,2019-2020
Persoonia levis,Low-P,P-R (mg g-1),0.035,Tsujii_2023,2019-2020
Phyllota phylicoides,Low-P,P-R (mg g-1),0.031,Tsujii_2023,2019-2020
Acacia suaveolens,Low-P,P-total (mg g-1),0.233,Tsujii_2023,2019-2020
Boronia ledifolia,Low-P,P-total (mg g-1),0.274,Tsujii_2023,2019-2020
Corymbia gummifera,Low-P,P-total (mg g-1),0.434,Tsujii_2023,2019-2020
Eriostemon australasius,Low-P,P-total (mg g-1),0.275,Tsujii_2023,2019-2020
Eucalyptus haemastoma,Low-P,P-total (mg g-1),0.388,Tsujii_2023,2019-2020
Grevillea buxifolia,Low-P,P-total (mg g-1),0.264,Tsujii_2023,2019-2020
Hakea dactyloides,Low-P,P-total (mg g-1),0.23,Tsujii_2023,2019-2020
Lambertia formosa,Low-P,P-total (mg g-1),0.228,Tsujii_2023,2019-2020
Leptospermum trinervium,Low-P,P-total (mg g-1),0.277,Tsujii_2023,2019-2020
Persoonia levis,Low-P,P-total (mg g-1),0.276,Tsujii_2023,2019-2020
Phyllota phylicoides,Low-P,P-total (mg g-1),0.236,Tsujii_2023,2019-2020
Acacia suaveolens,Low-P,Rdarea (umol CO2 m-2 s-1),1.454,Wright_2001,1998
Boronia ledifolia,Low-P,Rdarea (umol CO2 m-2 s-1),1.097,Wright_2001,1998
Corymbia gummifera,Low-P,Rdarea (umol CO2 m-2 s-1),1.216,Wright_2001,1998
Eriostemon australasius,Low-P,Rdarea (umol CO2 m-2 s-1),1.246,Wright_2001,1998
Eucalyptus haemastoma,Low-P,Rdarea (umol CO2 m-2 s-1),1.17,Wright_2001,1998
Grevillea buxifolia,Low-P,Rdarea (umol CO2 m-2 s-1),1.618,Wright_2001,1998
Hakea dactyloides,Low-P,Rdarea (umol CO2 m-2 s-1),1.146,Wright_2001,1998
Lambertia formosa,Low-P,Rdarea (umol CO2 m-2 s-1),0.885,Wright_2001,1998
Leptospermum trinervium,Low-P,Rdarea (umol CO2 m-2 s-1),1.599,Wright_2001,1998
Persoonia levis,Low-P,Rdarea (umol CO2 m-2 s-1),0.564,Wright_2001,1998
Phyllota phylicoides,Low-P,Rdarea (umol CO2 m-2 s-1),1.795,Wright_2001,1998
