family,species,Location,SDH confirm,Granite yes=y,Conservtion status,flowering_time,fruiting_time,Geographic_range_relative_to_TPBNR,taxon_name,species2,fire_response,plant_growth_substrate,life_history,woodiness,plant_growth_form
ORCHIDACEAE,Cyrtostylis huegelii Endl.,,• new PERTH,y,,,,west_of,Cyrtostylis huegelii,Cyrtostylis huegelii Endl.,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Cyrtostylis robusta D.L.Jones & M.A.Clem.,"1,2",•,,,NNNNNYYYYYNN,NNNNNYYYYYNN,centered_on,Cyrtostylis robusta,Cyrtostylis robusta D.L.Jones & M.A.Clem.,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Disa bracteata Sw.,12,• name change,y,,NNNNNNNNNNYN,NNNNNNNNNNYN,west_of,Disa bracteata,Disa bracteata Sw.,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Disa bracteata Sw.,12,• name change,y,,NNNNNNNNNNYN,NNNNNNNNNNYN,west_of,Disa bracteata,Disa bracteata Sw.,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Diuris emarginata R.Br.,,• new PERTH,,,,,,Diuris emarginata,,,,,,
ORCHIDACEAE,Diuris heberlei D.L.Jones,10,• name change,,P2,YNNNNNNNNNNN,YNNNNNNNNNNN,west_of,Diuris heberlei,,,,,,
ORCHIDACEAE,Diuris laevis Fitzg.,2,•,,,NNNNNNNNNYNN,NNNNNNNNNYNN,west_of,Diuris laevis,,,,,,
ORCHIDACEAE,Diuris laxiflora Lindley,&,• sp. Indet.,,,,,west_of,Diuris laxiflora,,,,,,
ORCHIDACEAE,Diuris littoralis D.L.Jones & C.J.French,,• new APBr,y,,,,east_of,Diuris littoralis,Diuris littoralis D.L.Jones & C.J.French,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Diuris longifolia R.Br.,"3,11",•,y,,NNNNNNNYNYNN,NNNNNNNYNYNN,west_of,Diuris longifolia,Diuris longifolia R.Br.,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,"Diuris sp. (Torndirrup - australis ms D.L. Jones, G.B Brockman & C.J. French pers. comm.)",,• new Brockman,,,,,,Diuris sp. 'Torndirrup',,,,,,
ORCHIDACEAE,Diuris sp. (Two People Bay - ammophila ms G. Brockman & C.J. French pers. comm.),,• new Brockman,,,,,,Diuris sp. (Two People Bay - ammophila ms G. Brockman & C.J. French pers. comm.),,,,,,
ORCHIDACEAE,Diuris pauciflora R.Br,,• new Brockman,,,,,west_of,Diuris pauciflora,,,,,,
ORCHIDACEAE,Drakaea livida J.Drumm.,,• new APBr,,,,,west_of,Drakaea livida,,,,,,
ORCHIDACEAE,Drakaea glyptodon Fitzg.,,• new APBr,,,,,west_of,Drakaea glyptodon,,,,,,
ORCHIDACEAE,Drakaea thynniphila A.S.George,,• new APBr,,,,,west_of,Drakaea thynniphila,,,,,,
ORCHIDACEAE,Elythranthera brunonis (Endl.) A.S.George,"1,3,8,1",•,y,,NNNNNNNNNYNN,NNNNNNNNNYNN,centered_on,Elythranthera brunonis,Elythranthera brunonis (Endl.) A.S.George,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Elythranthera emarginata (Lindley) A.S.George,11,•,,,,,west_of,Elythranthera emarginata,,,,,,
ORCHIDACEAE,Epiblema grandiflorum R.Br.,3,•,,,YNNNNNNNNNNN,YNNNNNNNNNNN,west_of,Epiblema grandiflorum,,,,,,
ORCHIDACEAE,Eriochilus dilatatus Lindl.,"1,3",•,y,,NNYYYNNNNNNN,NNYYYNNNNNNN,centered_on,Eriochilus dilatatus,Eriochilus dilatatus Lindl.,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Eriochilus dilatatus Lindl. subsp. dilatatus,,• new APBr,y,,,,centered_on,Eriochilus dilatatus subsp. dilatatus,,,,,,
ORCHIDACEAE,Eriochilus dilatatus Lindl. subsp. multiflorus (Lindl.) Hopper & A.P.Br.,,• new APBr,,,,,west_of,Eriochilus dilatatus subsp. multiflorus,,,,,,
ORCHIDACEAE,Eriochilus helonomos Hopper & A.P.Br.,,• new APBr,,,,,west_of,Eriochilus helonomos,,,,,,
ORCHIDACEAE,Eriochilus pulchellus Hopper & A.P.Br.,,•,y,,,,centered_on,Eriochilus pulchellus,Eriochilus pulchellus Hopper & A.P.Br.,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Eriochilus scaber Lindl.,,•,y,,NNNNNNNYNNNN,NNNNNNNYNNNN,centered_on,Eriochilus scaber,Eriochilus scaber Lindl.,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Leporella fimbriata (Lindl.) A.S.George,&,•,,,,,centered_on,Leporella fimbriata,,,,,,
ORCHIDACEAE,Leptoceras menziesii R.Br.,10,•,y,,NNNNNNNNYNNN,NNNNNNNNYNNN,centered_on,Leptoceras menziesii,Leptoceras menziesii R.Br.,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Pyrorchis nigricans (R.Br.) D.L.Jones & M.A.Clem.,"10,11",• name change,,,NNNNNNYNYNNN,NNNNNNYNYNNN,centered_on,Pyrorchis nigricans,,,,,,
ORCHIDACEAE,Lyperanthus serratus Lindl.,"1,11,12",•,,,NNNNNNNNYNNN,NNNNNNNNYNNN,west_of,Lyperanthus serratus,,,,,,
ORCHIDACEAE,Microtis alba R.Br.,"1,2,4",•,,,NYNNNNNNNYYN,NYNNNNNNNYYN,west_of,Microtis alba,,,,,,
ORCHIDACEAE,Microtis alboviridis R.J.Bates,,• new PERTH,,,,,west_of,Microtis alboviridis,,,,,,
ORCHIDACEAE,Microtis brownii Rchb.f.,,• new PERTH,,,,,west_of,Microtis brownii,,,,,,
ORCHIDACEAE,Microtis cupularis (D.L.Jones & G.Brockman) A.P.Br.,,• new APBr,,,,,west_of,Microtis cupularis,,,,,,
ORCHIDACEAE,Microtis familiaris R.J.Bates,,• new PERTH,,,,,west_of,Microtis familiaris,,,,,,
ORCHIDACEAE,Microtis media R.Br. subsp. densiflora (Benth.) R.J.Bates,,• new APBr,,,,,west_of,Microtis media,,,,,,
ORCHIDACEAE,Microtis media R.Br. subsp. media,"2,3",• name change,y,,YNNNNNNNNNNN,YNNNNNNNNNNN,centered_on,Microtis media subsp. media,Microtis media R.Br. subsp. media,resprout,terrestrial,perennial,herbaceous,
ORCHIDACEAE,Microtis pulchella R.Br.,,• new Brockman,,P4,,,west_of,Microtis pulchella,,,,,,
ORCHIDACEAE,Paracaleana aff. disjuncta D.L.Jones,,• new Brockman,,,,,east_of,Paracaleana aff. disjuncta D.L.Jones,,,,,,
ORCHIDACEAE,Paracaleana nigrita (Lind.) Blaxell,12,•,,,NNNNNNNNNNYN,NNNNNNNNNNYN,west_of,Paracaleana nigrita,,,,,,
ORCHIDACEAE,Praecoxanthus aphyllus (Benth.) Hopper & A.P.Br.,10,• name change,,,,,centered_on,Praecoxanthus aphyllus,,,,,,
ORCHIDACEAE,Pheladenia deformis (R.Br.) D.L.Jones & M.A.Clem.,6,• name change,,,NNNNNNYNNNNN,NNNNNNYNNNNN,west_of,Pheladenia deformis,,,,,,
ORCHIDACEAE,Prasophyllum brownii Rchb.f.,,• new APBr,,,,,west_of,Prasophyllum brownii,,,,,,
ORCHIDACEAE,Prasophyllum cucullatum Rchb.f.,,• new PERTH,,,,,west_of,Prasophyllum cucullatum,,,,,,
ORCHIDACEAE,Prasophyllum drummondii Rchb.f.,,• new APBr,,,,,west_of,Prasophyllum drummondii,,,,,,
ORCHIDACEAE,Prasophyllum elatum R.Br.,3,•,y,,NNNNNNNNYNNN,NNNNNNNNYNNN,west_of,Prasophyllum elatum,Prasophyllum elatum R.Br.,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Prasophyllum fimbria Rchb.f.,"10,12",•,y,,NNNNNNYNYNNN,NNNNNNYNYNNN,west_of,Prasophyllum fimbria,Prasophyllum fimbria Rchb.f.,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Prasophyllum gibbosum R.Br.,,• new APBr,,,,,west_of,Prasophyllum gibbosum,,,,,,
ORCHIDACEAE,Prasophyllum hians Rchb.f.,"3,10",•,,,NNNNNNNNYNNN,NNNNNNNNYNNN,west_of,Prasophyllum hians,,,,,,
ORCHIDACEAE,Prasophyllum macrostachyum R.Br.,,• new APBr,,,,,west_of,Prasophyllum macrostachyum,,,,,,
ORCHIDACEAE,Prasophyllum parvifolium Lindl.,"1,2,3,6,12",•,y,,NYNNYYYYYYNN,NYNNYYYYYYNN,centered_on,Prasophyllum parvifolium,Prasophyllum parvifolium Lindl.,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Prasophyllum paulinae D.L.Jones & M.A.Clem.,,• new PERTH,,P1,,,west_of,Prasophyllum paulinae,,,,,,
ORCHIDACEAE,Prasophyllum regium R. S. Rogers,3,•,,,NNNNNNNYNNNN,NNNNNNNYNNNN,west_of,Prasophyllum regium,,,,,,
ORCHIDACEAE,Prasophyllum sp. early (G. Brockman GBB 1626),,• new PERTH,,,,,west_of,Prasophyllum sp. early (G.Brockman GBB 1626),,,,,,
ORCHIDACEAE,Pterostylis actites (D.L.Jones & C.J.French) D.L.Jones & C.J.French,,• new APBr,,,,,west_of,Pterostylis actites,,,,,,
ORCHIDACEAE,Pterostylis ectypha (D.L.Jones & C.J.French) D.L.Jones & C.J.French,,• new Brockman,,,,,centered_on,Pterostylis ectypha,,,,,,
ORCHIDACEAE,Pterostylis microphylla D.L.Jones & C.J.French,"1,4,10,11",• name change,y,,NNNNNYNYYNNN,NNNNNYNYYNNN,west_of,Pterostylis microphylla,Pterostylis microphylla D.L.Jones & C.J.French,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Pterostylis plumosa L. Cady,"10,11",• sp. Indet.,,,NNNNNNNNNYNN,NNNNNNNNNYNN,,Pterostylis plumosa,,,,,,
ORCHIDACEAE,Pterostylis rogersii E.Coleman,"1,2,11",•,,,YNNNYNYNNNNN,YNNNYNYNNNNN,west_of,Pterostylis rogersii,,,,,,
ORCHIDACEAE,Pterostylis turfosa Endl.,12,• name change,y,,NNNNNNYNNYNN,NNNNNNYNNYNN,centered_on,Pterostylis turfosa,Pterostylis turfosa Endl.,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Pterostylis vittata Lindl.,"1,11,12",•,y,,NNNNYYNNNNNN,NNNNYYNNNNNN,centered_on,Pterostylis vittata,Pterostylis vittata Lindl.,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Thelymitra antennifera (Lindl.) Hook.f.,12,•,y,,NNNNNNNNNYNN,NNNNNNNNNYNN,centered_on,Thelymitra antennifera,Thelymitra antennifera (Lindl.) Hook.f.,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Thelymitra benthamiana Rchb.f.,,• new PERTH,,,,,west_of,Thelymitra benthamiana,,,,,,
ORCHIDACEAE,Thelymitra campanulata Lindl.,1,•,,,NNNNNNNNNYNN,NNNNNNNNNYNN,centered_on,Thelymitra campanulata,,,,,,
ORCHIDACEAE,Thelymitra canaliculata R.Br.,"1,2",•,,,NNNNNNNNNYNN,NNNNNNNNNYNN,west_of,Thelymitra canaliculata,,,,,,
ORCHIDACEAE,Thelymitra cornicina Rchb.f.,,• new PERTH,,,,,west_of,Thelymitra cornicina,,,,,,
ORCHIDACEAE,Thelymitra crinita Lindley,"1,3,6,12",•,y,,NNNNNNNNYYNN,NNNNNNNNYYNN,west_of,Thelymitra crinita,Thelymitra crinita Lindley,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Thelymitra cucullata Rupp,,•,y,,,,west_of,Thelymitra cucullata,Thelymitra cucullata Rupp,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Thelymitra fasciculata W.Fitzg.,,• new APBr,,,,,west_of,Thelymitra fasciculata,,,,,,
ORCHIDACEAE,Thelymitra flexuosa Endl.,12,•,y,,NNNNNNNNNYNN,NNNNNNNNNYNN,west_of,Thelymitra flexuosa,Thelymitra flexuosa Endl.,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Thelymitra fuscolutea R.Br.,1,•,,,NNNNNNNNNYNN,NNNNNNNNNYNN,west_of,Thelymitra fuscolutea,,,,,,
ORCHIDACEAE,Thelymitra graminea Lindl.,,•,y,,,,west_of,Thelymitra graminea,Thelymitra graminea Lindl.,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Thelymitra granitora D.L.Jones & M.A.Clem.,,• new APBr,y,,,,centered_on,Thelymitra granitora,Thelymitra granitora D.L.Jones & M.A.Clem.,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Thelymitra macrophylla Lindl.,,•,y,,,,west_of,Thelymitra macrophylla,Thelymitra macrophylla Lindl.,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Thelymitra mucida Fitzg.,,• new APBr,,,,,west_of,Thelymitra mucida,,,,,,
ORCHIDACEAE,Thelymitra nuda R.Br.,12,• sp. Indet.,,,NNNNNNNNNYNN,NNNNNNNNNYNN,,Thelymitra nuda,,,,,,
ORCHIDACEAE,Thelymitra paludosa Jeanes,,• new APBr,,,,,west_of,Thelymitra paludosa,,,,,,
ORCHIDACEAE,Thelymitra porphyrosticta F.Muell.,,• new consvn,,P2,,,centered_on,Thelymitra porphyrosticta,,,,,,
ORCHIDACEAE,Thelymitra sp. (late south coast Brown 2022 Pg 246),,• new Brockman,,,,,,Thelymitra sp. 'late south coast',,,,,,
ORCHIDACEAE,Thelymitra tigrina R.Br.,&,•,,,,,west_of,Thelymitra tigrina,,,,,,
ORCHIDACEAE,Thelymitra uliginosa Jeanes,,• new Brockman,,,,,,Thelymitra uliginosa,,,,,,
ORCHIDACEAE,Thelymitra vulgaris Jeanes,"1,2",• new APBr,y,,NNNNNNNNNYNN,NNNNNNNNNYNN,west_of,Thelymitra vulgaris,Thelymitra vulgaris Jeanes,resprout,terrestrial,perennial,herbaceous,geophyte
PHILYDRACEAE,Philydrella drummondii L.G.Adams,,sp. Indet,y,,,,,Philydrella drummondii,,,,,,
PHILYDRACEAE,Philydrella pygmaea (R.Br.) Caruel,,•,Y,,,,west_of,Philydrella pygmaea,Philydrella pygmaea (R.Br.) Caruel,resprout,terrestrial,perennial,herbaceous,geophyte
POACEAE,Aira cupaniana Guss.,,•,y,,,,west_of,Aira cupaniana,Aira cupaniana Guss.,seeder,terrestrial,annual,,
POACEAE,Aira caryophyllea L.,"6,7,11,12",•,y,,,,west_of,Aira caryophyllea,Aira caryophyllea L.,seeder,terrestrial,annual,,
POACEAE,Aira praecox L.,,•,y,,,,west_of,Aira praecox,Aira praecox L.,seeder,terrestrial,annual,,
POACEAE,Amphipogon amphipogonoides (Steud.) Vickery,,• new PERTH,,,,,west_of,Amphipogon amphipogonoides,,,,,,
POACEAE,Amphipogon debilis R.Br.,,,y,,,,west_of,Amphipogon debilis,Amphipogon debilis R.Br.,resprout,terrestrial,perennial,herbaceous,
POACEAE,Amphipogon laguroides R.Br.,"3,11",•,y,,YNNNNNNNNNNN,YNNNNNNNNNNN,west_of,Amphipogon laguroides,Amphipogon laguroides R.Br.,resprout,terrestrial,perennial,herbaceous,
POACEAE,Amphipogon strictus R.Br.,,•,y,,,,centered_on,Amphipogon strictus,Amphipogon strictus R.Br.,resprout,terrestrial,perennial,herbaceous,
POACEAE,Amphipogon turbinatus R.Br.,"5,11",•,,,,,centered_on,Amphipogon turbinatus,,,,,,
POACEAE,Anthoxanthum odoratum L.,1,•,y,,NNNNNNNNNYNN,NNNNNNNNNYNN,west_of,Anthoxanthum odoratum,,,,,,
POACEAE,Austrostipa compressa (R.Br.) S.W.L.Jacobs & J.Everett,"2,5,6,10",• name change,,,,,west_of,Austrostipa compressa,Austrostipa compressa (R.Br.) S.W.L.Jacobs & J.Everett,seeder,terrestrial,perennial,herbaceous,
POACEAE,Austrostipa elegantissima (Labill.) S.W.L.Jacobs & J.Everett,&,• sp. indet,,,,,,Austrostipa elegantissima,,,,,,
POACEAE,Austrostipa everettiana A.R.Williams,,• new PERTH,,P1,,,east_of,Austrostipa everettiana,,,,,,
POACEAE,Austrostipa flavescens (Labill.) S.W.L.Jacobs & J.Everett,8,• name change,y,,,,centered_on,Austrostipa flavescens,Austrostipa flavescens (Labill.) S.W.L.Jacobs & J.Everett,seeder,terrestrial,perennial,herbaceous,
POACEAE,Briza maxima L.,7,•,y,,,,west_of,Briza maxima,Briza maxima L.,seeder,terrestrial,annual,,
POACEAE,Briza minor L.,,•,y,,,,west_of,Briza minor,Briza minor L.,seeder,terrestrial,annual,,
POACEAE,Bromus diandrus Roth.,"7,8,9",•,,,,,west_of,Bromus diandrus,,,,,,
POACEAE,Ehrharta longiflora Sm.,7,•,,,,,west_of,Ehrharta longiflora,,,,,,
POACEAE,Holcus lanatus L.,"11,13",•,y,,NNYNNNNNNNNN,NNYNNNNNNNNN,west_of,Holcus lanatus,,,,,,
POACEAE,Lachnagrostis filiformis (G.Forst.) Trin.,"2,9",• name change,,,,,,Lachnagrostis filiformis,,,,,,
POACEAE,Lagurus ovatus L.,11,•,y,,,,west_of,Lagurus ovatus,Lagurus ovatus L.,seeder,terrestrial,annual,,
POACEAE,Neurachne alopecuroidea R.Br.,,•,y,,,,centered_on,Neurachne alopecuroidea,Neurachne alopecuroidea R.Br.,resprout,terrestrial,perennial,herbaceous,
POACEAE,Parapholis incurva (L.) C.E.Hubb.,2,•,,,,,centered_on,Parapholis incurva,,,,,,
POACEAE,Poa drummondiana Nees.,"2,6,10,11",•,,,YYNNNNNNNNNN,YYNNNNNNNNNN,centered_on,Poa drummondiana,,,,,,
POACEAE,Poa poiformis (Labill.) Druce.,"7,8,9,11",•,,,,,centered_on,Poa poiformis,,,,,,
POACEAE,Poa porphyroclados Nees,,• new PERTH,y,,,,west_of,Poa porphyroclados,Poa porphyroclados Nees,seeder,terrestrial,perennial,herbaceous,
POACEAE,Rytidosperma caespitosum (Gaudich.) Connor & Edgar,"2,6,11",• name change,y,,NNNNNNNNNNYN,NNNNNNNNNNYN,centered_on,Rytidosperma caespitosum,Rytidosperma caespitosum (Gaudich.) Connor & Edgar,seeder,terrestrial,perennial,herbaceous,
POACEAE,Spinifex hirsutus Labill.,"10,11",•,,,,,centered_on,Spinifex hirsutus,,,,,,
POACEAE,Sporobolus virginicus (L.) Kunth.,"7,8,9",•,,,,,centered_on,Sporobolus virginicus,,,,,,
POACEAE,Tetrarrhena laevis R.Br.,,• new Dilly,y,,,,west_of,Tetrarrhena laevis,,,,,,
POACEAE,Vulpia myuros (L.) C.C.Gmel.,,,y,,,,centered_on,Vulpia myuros,Vulpia myuros (L.) C.C.Gmel.,seeder,terrestrial,annual,,
RESTIONACEAE,Anarthria dioica (Steud.) C.I. Fomichev,,• new PERTH,,,,,centered_on,Anarthria dioica,,,,,,
RESTIONACEAE,Anarthria gracilis R.Br.,"1,3,8",•,y,,NNNNNNNNNYNN,NNNNNNNNNYNN,west_of,Anarthria gracilis,Anarthria gracilis R.Br.,resprout,terrestrial,perennial,herbaceous,
RESTIONACEAE,Anarthria laevis R.Br.,,• new PERTH,,,,,centered_on,Anarthria laevis,,,,,,
RESTIONACEAE,Anarthria prolifera R.Br.,"1,2,3,5,6,8,11",•,y,,YNNNYNYNNYNN,YNNNYNYNNYNN,centered_on,Anarthria prolifera,Anarthria prolifera R.Br.,resprout,terrestrial,perennial,herbaceous,
RESTIONACEAE,Anarthria scabra R.Br.,"1,3,5,8,12",•,y,,YNNNYNYYYYYY,YNNNYNYYYYYY,centered_on,Anarthria scabra,Anarthria scabra R.Br.,resprout,terrestrial,perennial,herbaceous,
RESTIONACEAE,Desmocladus austrinus B.G.Briggs & L.A.S.Johnson,,• new PERTH,,,,,centered_on,Desmocladus austrinus,,,,,,
RESTIONACEAE,Desmocladus fasciculatus (R.Br.) B.G.Briggs & L.A.S.Johnson,"3,8",• name change,y,,YNNNNNNNNNNN,YNNNNNNNNNNN,centered_on,Desmocladus fasciculatus,Desmocladus fasciculatus (R.Br.) B.G.Briggs & L.A.S.Johnson,resprout,terrestrial,perennial,herbaceous,
RESTIONACEAE,Desmocladus flexuosus (R.Br.) B.G.Briggs & L.A.S.Johnson,"1,2,5,6,11",• name change,,,YYYNNNNNNNYN,YYYNNNNNNNYN,centered_on,Desmocladus flexuosus,,,,,,
RESTIONACEAE,Empodisma gracillimum (F.Muell.) L.A.S.Johnson & D.F.Cutler,,• new PERTH,,,,,west_of,Empodisma gracillimum,,,,,,
RESTIONACEAE,Hypolaena exsulca R.Br.,"1,3,5,11",•,,,YNNNNNNNNNNN,YNNNNNNNNNNN,centered_on,Hypolaena exsulca,,,,,,
RESTIONACEAE,Hypolaena fastigiata R.Br.,,• new PERTH,,,,,centered_on,Hypolaena fastigiata,,,,,,
RESTIONACEAE,Hypolaena pubescens (R.Br.) Nees,,• new PERTH,,,,,west_of,Hypolaena pubescens,,,,,,
RESTIONACEAE,Leptocarpus coangustatus Nees.,"1,3,10,11",•,,,,,west_of,Leptocarpus coangustatus,,,,,,
RESTIONACEAE,Leptocarpus scariosus R.Br.,"1,3,6,10,13",•,,,YYNNYNNNNYNN,YYNNYNNNNYNN,west_of,Leptocarpus scariosus,,,,,,
RESTIONACEAE,Leptocarpus scoparius B.G.Briggs,,• new PERTH,,,,,west_of,Leptocarpus scoparius,,,,,,
RESTIONACEAE,Leptocarpus tenax (Labill.) R.Br.,,• new PERTH,,,,,west_of,Leptocarpus tenax,,,,,,
RESTIONACEAE,Lepyrodia drummondiana Steud.,8,•,,,,,west_of,Lepyrodia drummondiana,,,,,,
RESTIONACEAE,Lepyrodia hermaphrodita R.Br.,,• new PERTH,,,,,west_of,Lepyrodia hermaphrodita,,,,,,
RESTIONACEAE,Lepyrodia monoica F.Muell.,8,• new PERTH,,,,,west_of,Lepyrodia monoica,,,,,,
RESTIONACEAE,Lepyrodia muirii F.Muell.,,• new PERTH,,,,,west_of,Lepyrodia muirii,,,,,,
RESTIONACEAE,Lepyrodia sp. 1,8,• sp. Indet.,,,,,,Lepyrodia sp. 1 (Lucky Bay),,,,,,
RESTIONACEAE,Loxocarya cinerea R.Br.,,• new PERTH,,,,,west_of,Loxocarya cinerea,,,,,,
RESTIONACEAE,Loxocarya striata (F.Muell.) B.G.Briggs & L.A.S.Johnson,"2,3,4",• name change,,,NNNYNNNNYNNN,NNNYNNNNYNNN,west_of,Loxocarya striata,,,,,,
RESTIONACEAE,Lyginia barbata R.Br.,"1,2,5,6,11",•,,,NYNNNNYNYYNN,NYNNNNYNYYNN,west_of,Lyginia barbata,,,,,,
RESTIONACEAE,Lyginia imberbis R.Br.,,• new PERTH,,,,,centered_on,Lyginia imberbis,,,,,,
TYPHACEAE,Typha domingensis Pers.,"2,11",•,,,YYNNNYNNNNNN,YYNNNYNNNNNN,east_of,Typha domingensis,,,,,,
TYPHACEAE,Typha orientalis C.Presl,,• new PERTH,,,,,west_of,Typha orientalis,,,,,,
XANTHORRHOEACEAE,Xanthorrhoea platyphylla D.J.Bedford.,"10,12",•,y,,,,east_of,Xanthorrhoea platyphylla,Xanthorrhoea platyphylla D.J.Bedford,resprout,terrestrial,perennial,woody,
XYRIDACEAE,Xyris lanata R.Br.,"1,3",•,,,YNNNNNNNYYNN,YNNNNNNNYYNN,west_of,Xyris lanata,,,,,,
AIZOACEAE,Carpobrotus aequilaterus (Haw.) N.E.Br.,"1,11",•,,,NNNNYNYNNYNN,NNNNYNYNNYNN,centered_on,Carpobrotus aequilaterus,,,,,,
AIZOACEAE,Carpobrotus virescens (Haw.) Schwantes,"2,6,7,8,9",•,y,,NNNNNNNNYYYN,NNNNNNNNYYYN,centered_on,Carpobrotus virescens,Carpobrotus virescens (Haw.) Schwantes,seeder,terrestrial,perennial,herbaceous,
AIZOACEAE,Disphyma crassifolium subsp. clavellatum (Haw.) Chinnock,"8,9",• stat. change,,,,,east_of,Disphyma crassifolium subsp. clavellatum,,,,,,
AIZOACEAE,Tetragonia decumbens Mill.,8,•,,,,,west_of,Tetragonia decumbens,,,,,,
AIZOACEAE,Tetragonia implexicoma (Miq.) Hook.f.,"2,8",•,,,NNNNNNNNYNNN,NNNNNNNNYNNN,centered_on,Tetragonia implexicoma,,,,,,
APIACEAE,Actinotus glomeratus Benth.,1,•,,,NNNNYNNNNNNN,NNNNYNNNNNNN,west_of,Actinotus glomeratus,,,,,,
APIACEAE,Actinotus omnifertilis (F. Muell.) Benth.,"1,3",•,,,YYNYYNNNNNNN,YYNYYNNNNNNN,west_of,Actinotus omnifertilis,,,,,,
APIACEAE,Apium prostratum Vent. var. prostratum,"7,8,9,11",• stat. change,,,,,west_of,Apium prostratum var. prostratum,,,,,,
APIACEAE,"Daucus glochidiatus (Labill.) Fisch., C.A.Mey. & Ave-Lall.",,•,y,,,,centered_on,Daucus glochidiatus,"Daucus glochidiatus (Labill.) Fisch., C.A.Mey. & Ave-Lall.",seeder,terrestrial,annual,herbaceous,
APIACEAE,Centella asiatica (L.) Urb.,2,•,,,,,west_of,Centella asiatica,,,,,,
APIACEAE,Homalosciadium homalocarpum (F.Muell.) H.Eichler,11,•,y,,,,west_of,Homalosciadium homalocarpum,Homalosciadium homalocarpum (F.Muell.) H.Eichler,seeder,terrestrial,annual,,
APIACEAE,Hydrocotyle alata A.Rich.,,•,y,,,,west_of,Hydrocotyle alata,Hydrocotyle alata A.Rich.,seeder,terrestrial,annual,,
APIACEAE,Hydrocotyle callicarpa Bunge,,•,y,,,,centered_on,Hydrocotyle callicarpa,Hydrocotyle callicarpa Bunge,seeder,terrestrial,annual,,
APIACEAE,Hydrocotyle diantha DC.,"8,9",•,,,,,west_of,Hydrocotyle diantha,,,,,,
APIACEAE,Hydrocotyle intertexta A.Rich.,,•,y,,,,east_of,Hydrocotyle intertexta,Hydrocotyle intertexta A.Rich.,seeder,terrestrial,annual,,
APIACEAE,Hydrocotyle serendipita A.J.Perkins,,•,y,P2,,,west_of,Hydrocotyle serendipita,Hydrocotyle serendipita A.J.Perkins,seeder,terrestrial,annual,,
APIACEAE,Platysace compressa (Labill.) C.Norman,"1,2,3,6,10,11",•,y,,YYYYYYYYYYYY,YYYYYYYYYYYY,centered_on,Platysace compressa,Platysace compressa (Labill.) C.Norman,seeder,terrestrial,perennial,woody,
APIACEAE,Platysace filiformis (Bunge) C.Norman,,• new Dilly,y,,,,west_of,Platysace filiformis,,,,,,
APIACEAE,Trachymene coerulea Graham,,•,y,,,,west_of,Trachymene coerulea,Trachymene coerulea Graham,seeder,terrestrial,perennial,herbaceous,
APIACEAE,Trachymene cyanopetala (F. Muell.) Benth.,"1,3",•,,,,,east_of,Trachymene cyanopetala,,,,,,
APIACEAE,Trachymene pilosa Sm.,"2,6,10,11",•,y,,NNNNNNNNYYYN,NNNNNNNNYYYN,centered_on,Trachymene pilosa,Trachymene pilosa Sm.,seeder,terrestrial,annual,,
APIACEAE,Xanthosia huegelii (Benth.) Steud.,11,•,,,NNNNNNNNNYNN,NNNNNNNNNYNN,centered_on,Xanthosia huegelii,,,,,,
APIACEAE,Xanthosia rotundifolia DC.,"1,3,4,8,12",•,y,,YYYYYYYYYYYY,YYYYYYYYYYYY,west_of,Xanthosia rotundifolia,Xanthosia rotundifolia DC.,resprout,terrestrial,perennial,woody,
ASTERACEAE,Actites megalocarpus (Hook.f.) Lander,11,•,,,,,west_of,Actites megalocarpus,,,,,,
ASTERACEAE,Arctotheca calendula (L.) Levyns,"1,3,5",•,,,YNNNYNNNYYNY,YNNNYNNNYYNY,centered_on,Arctotheca calendula,,,,,,
