Species,Soil type,Mean specific leaf area (cm2 g-1),Mean percent leaf nitrogen,Mean percent leaf phosphorus,Mean area-based light saturated photosynthetic rate (umol m-2s-1),Mean area-based leaf dark respriation rate (umol m-2s-1),Minimum light requirement (PPFD5),Light compensation point for growth,Responsiveness of growth to light (RGR mol-1m-2 PPFD),Relative growth rate at 2 mol m-2 PPFD,Relative growth rate at 4 mol m-2 PPFD,Relative growth rate at 8 mol m-2 PPFD,Relative growth rate at 12 mol m-2 PPFD,Photosynthetic Photon Flux Density (PPFD),Relative Growth Rate (RGR)
Sarcopteryx stipata,Rhyolite,190.2,1.364,,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,176.07,1.449,,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,171.3,1.633,,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,184.9,1.738,,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,138.58,1.831,,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,149.59,1.833,,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,128.64,,,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,142.68,,,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,143.78,,,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,145.46,,,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,162.5,,,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,173.7,,,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,176.76,,,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,181.67,,,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,184.9,,,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,192.57,,,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,195.69,,,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,201.89,,,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,203.7,,,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,228.25,,,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,243.24,,,,,,,,,,,,,
Schizomeria ovata,Rhyolite,212.76,1.132,0.0441,1.49,-0.364,,,,,,,,,
Schizomeria ovata,Rhyolite,164.42,1.148,0.0447,,,,,,,,,,,
Schizomeria ovata,Rhyolite,198.18,1.32,0.0478,2.68,-0.386,,,,,,,,,
Schizomeria ovata,Rhyolite,149.53,1.486,0.0505,,,,,,,,,,,
Schizomeria ovata,Rhyolite,192.27,1.163,0.0512,2.01,-0.323,,,,,,,,,
Schizomeria ovata,Rhyolite,169.91,1.221,0.0539,,,,,,,,,,,
Schizomeria ovata,Rhyolite,181.83,1.213,0.0567,,,,,,,,,,,
Schizomeria ovata,Rhyolite,222.18,1.399,0.0636,3.83,-0.618,,,,,,,,,
Schizomeria ovata,Rhyolite,217.69,1.311,0.0641,5.17,-0.429,,,,,,,,,
Schizomeria ovata,Rhyolite,168.32,1.079,,,,,,,,,,,,
Schizomeria ovata,Rhyolite,144.98,1.203,,,,,,,,,,,,
Schizomeria ovata,Rhyolite,173.11,1.217,,,,,,,,,,,,
Schizomeria ovata,Rhyolite,216.64,1.24,,,,,,,,,,,,
Schizomeria ovata,Rhyolite,185.68,1.364,,,,,,,,,,,,
Schizomeria ovata,Rhyolite,144.59,1.424,,,,,,,,,,,,
Schizomeria ovata,Rhyolite,257.99,1.549,,,,,,,,,,,,
Schizomeria ovata,Rhyolite,145.61,,,,,,,,,,,,,
Schizomeria ovata,Rhyolite,148.5,,,,,,,,,,,,,
Schizomeria ovata,Rhyolite,156.41,,,,,,,,,,,,,
Schizomeria ovata,Rhyolite,158.7,,,,,,,,,,,,,
Schizomeria ovata,Rhyolite,170.59,,,,,,,,,,,,,
Schizomeria ovata,Rhyolite,175.33,,,,,,,,,,,,,
Schizomeria ovata,Rhyolite,185.09,,,,,,,,,,,,,
Schizomeria ovata,Rhyolite,194.66,,,,,,,,,,,,,
Schizomeria ovata,Rhyolite,195.93,,,,,,,,,,,,,
Schizomeria ovata,Rhyolite,222.05,,,,,,,,,,,,,
Toona australis,Basalt,285.71,2.721,0.1603,3.62,-0.53,,,,,,,,,
Toona australis,Basalt,477.65,2.573,0.1884,,,,,,,,,,,
Toona australis,Basalt,384.44,3.386,0.1894,3.96,-0.91,,,,,,,,,
Toona australis,Basalt,321.58,2.765,0.1944,,,,,,,,,,,
Toona australis,Basalt,,2.999,0.2267,,,,,,,,,,,
Toona australis,Basalt,490.18,2.928,0.2306,3.23,-0.55,,,,,,,,,
Toona australis,Basalt,456.3,2.943,0.2383,4.16,-0.7,,,,,,,,,
Toona australis,Basalt,479.04,3.318,0.2451,,,,,,,,,,,
Toona australis,Basalt,601.48,2.914,0.2605,5.24,-0.85,,,,,,,,,
Toona australis,Basalt,588.13,2.168,,,,,,,,,,,,
Toona australis,Basalt,498.51,2.376,,,,,,,,,,,,
Toona australis,Basalt,504.06,2.385,,,,,,,,,,,,
Toona australis,Basalt,367.6,2.436,,,,,,,,,,,,
Toona australis,Basalt,378.3,2.454,,,,,,,,,,,,
Toona australis,Basalt,588.42,2.728,,,,,,,,,,,,
Toona australis,Basalt,378.93,2.866,,,,,,,,,,,,
Toona australis,Basalt,406.34,2.876,,,,,,,,,,,,
Toona australis,Basalt,599.49,2.92,,,,,,,,,,,,
Toona australis,Basalt,432.8,2.985,,,,,,,,,,,,
Toona australis,Basalt,297.17,3.06,,,,,,,,,,,,
Toona australis,Basalt,583.27,3.225,,,,,,,,,,,,
Toona australis,Basalt,482.75,3.283,,,,,,,,,,,,
Toona australis,Basalt,376.5,3.339,,,,,,,,,,,,
Toona australis,Basalt,257.05,,,,,,,,,,,,,
Toona australis,Basalt,275,,,,,,,,,,,,,
Toona australis,Basalt,277.4,,,,,,,,,,,,,
Toona australis,Basalt,295.88,,,,,,,,,,,,,
Toona australis,Basalt,307.71,,,,,,,,,,,,,
Toona australis,Basalt,361.96,,,,,,,,,,,,,
Toona australis,Basalt,376.19,,,,,,,,,,,,,
Toona australis,Basalt,382,,,,,,,,,,,,,
Toona australis,Basalt,397.92,,,,,,,,,,,,,
Toona australis,Basalt,417.98,,,,,,,,,,,,,
Toona australis,Basalt,419.14,,,,,,,,,,,,,
Toona australis,Basalt,432.81,,,,,,,,,,,,,
Toona australis,Basalt,442.86,,,,,,,,,,,,,
Toona australis,Basalt,468.57,,,,,,,,,,,,,
Toona australis,Basalt,508.83,,,,,,,,,,,,,
Toona australis,Basalt,539.55,,,,,,,,,,,,,
Toona australis,Basalt,587.5,,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,,,,,,0.8,0.9842,0.5763,0.1898,0.2913,0.4809,0.6024,,
Castanospermum australe,Basalt,,,,,,1.22,1.1539,0.7365,0.1911,0.3208,0.5632,0.7185,,
Diploglottis australis,Basalt,,,,,,1.47,1.9776,0.8782,0.0213,0.176,0.4649,0.6501,,
Flindersia schottiana,Basalt,,,,,,2.41,2.3779,1.0548,-0.0552,0.1305,0.4776,0.7,,
Mallotus philippensis,Basalt,,,,,,1.04,0.8571,0.6866,0.2672,0.3881,0.6141,0.7589,,
Polyscias elegans,Basalt,,,,,,2.5,2.9015,1.2631,-0.2566,-0.0342,0.3814,0.6477,,
Polyscias murrayi,Basalt,,,,,,3.64,2.8764,2.7984,-0.3749,0.1179,1.0388,1.6288,,
Sarcopteryx stipata,Basalt,,,,,,0.69,0.8483,0.8136,0.3595,0.5204,0.821,1.0136,,
Toona australis,Basalt,,,,,,2.31,2.57,1.087,-0.0957,0.0957,0.4534,0.5894,,
Austrobuxus swainii,Rhyolite,,,,,,1.45,1.2784,0.6032,0.1305,0.2367,0.4352,0.5624,,
Callicoma serratifolia,Rhyolite,,,,,,2.38,1.9155,1.754,0.0713,0.3802,0.9573,1.3272,,
Cryptocarya rigida,Rhyolite,,,,,,1.52,1.3445,0.5618,0.1097,0.2087,0.3935,0.512,,
Elaeocarpus reticulatus,Rhyolite,,,,,,1.73,1.458,0.9156,0.1454,0.3067,0.608,0.801,,
Elaeocarpus sedentarius,Rhyolite,,,,,,0.79,1.0312,0.905,0.2798,0.4392,0.737,0.9278,,
Sarcopteryx stipata,Rhyolite,,,,,,0.9,1.2217,0.9189,0.2157,0.3775,0.6799,0.8736,,
Schizomeria ovata,Rhyolite,,,,,,1.59,1.4075,0.6469,0.1135,0.2274,0.4402,0.5766,,
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,10.599,1.157
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,1.9663,0.066
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,3.7838,0.298
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,1.3875,0.149
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,2.8963,0.152
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,2.7838,0
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,3.985,0.211
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,3.7925,0.301
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,2.7538,0.219
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,1.7413,0.145
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,1.5925,0.01
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,1.8788,0.016
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,2.0625,0.201
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,4.1088,0.299
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,2.3725,0.263
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,3.5213,0.16
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,2.505,0.157
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,2.9063,0.211
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,3.725,0.265
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,3.245,0.127
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,1.985,0.348
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,2.6425,0.388
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,1.9563,0
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,2.5475,0.083
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,1.2788,0.386
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,2.005,0.2
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,2.045,0.346
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,3.5613,0.171
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,3.725,0.378
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,1.58,0.152
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,5.12,0.343
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,1.65,0
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,10.406,0.822
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,1.8425,0.042
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,1.3525,2.00E-03
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,3.49,0.105
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,1.9888,0.086
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,1.8263,0.057
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,2.0638,0.529
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,1.3538,0.01
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,1.5513,0.059
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,1.665,0.168
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,3.07,0.485
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,0.61,4.00E-03
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,0.705,0.133
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,0.8,0.049
Argyrodendron trifoliolatum,Basalt,,,,,,,,,,,,,0.965,0.146
Castanospermum australe,Basalt,,,,,,,,,,,,,6.289,0.297
Castanospermum australe,Basalt,,,,,,,,,,,,,11.848,1.576
Castanospermum australe,Basalt,,,,,,,,,,,,,8.819,0.784
Castanospermum australe,Basalt,,,,,,,,,,,,,3.543,0.217
Castanospermum australe,Basalt,,,,,,,,,,,,,4.596,0.328
Castanospermum australe,Basalt,,,,,,,,,,,,,2.87,0.4
Castanospermum australe,Basalt,,,,,,,,,,,,,1.883,0.143
Castanospermum australe,Basalt,,,,,,,,,,,,,2.713,0.13
Castanospermum australe,Basalt,,,,,,,,,,,,,3.415,0.254
Castanospermum australe,Basalt,,,,,,,,,,,,,2.894,0.361
Castanospermum australe,Basalt,,,,,,,,,,,,,6.966,0.209
Castanospermum australe,Basalt,,,,,,,,,,,,,1.6175,0.209
Castanospermum australe,Basalt,,,,,,,,,,,,,1.348,0.053
Castanospermum australe,Basalt,,,,,,,,,,,,,3.561,0.131
Castanospermum australe,Basalt,,,,,,,,,,,,,1.42,0.08
Castanospermum australe,Basalt,,,,,,,,,,,,,4.566,0.244
Castanospermum australe,Basalt,,,,,,,,,,,,,1.565,0.032
Castanospermum australe,Basalt,,,,,,,,,,,,,1.424,0.152
Castanospermum australe,Basalt,,,,,,,,,,,,,2.483,0.25
Castanospermum australe,Basalt,,,,,,,,,,,,,3.55,0.077
Castanospermum australe,Basalt,,,,,,,,,,,,,1.971,0.245
Castanospermum australe,Basalt,,,,,,,,,,,,,2.9088,0.146
Castanospermum australe,Basalt,,,,,,,,,,,,,2.228,0.267
Castanospermum australe,Basalt,,,,,,,,,,,,,2.126,0.403
Castanospermum australe,Basalt,,,,,,,,,,,,,3.47,0.26
Castanospermum australe,Basalt,,,,,,,,,,,,,2.239,0.159
Castanospermum australe,Basalt,,,,,,,,,,,,,2.83,0.353
Castanospermum australe,Basalt,,,,,,,,,,,,,0.92,0.057
Castanospermum australe,Basalt,,,,,,,,,,,,,3.093,0.29
Castanospermum australe,Basalt,,,,,,,,,,,,,2.669,0.134
Castanospermum australe,Basalt,,,,,,,,,,,,,2.715,0.179
Castanospermum australe,Basalt,,,,,,,,,,,,,2,0.107
Castanospermum australe,Basalt,,,,,,,,,,,,,4.278,0.545
Castanospermum australe,Basalt,,,,,,,,,,,,,1.523,0.207
Castanospermum australe,Basalt,,,,,,,,,,,,,1.863,0.306
Castanospermum australe,Basalt,,,,,,,,,,,,,2.021,0.183
Castanospermum australe,Basalt,,,,,,,,,,,,,1.698,0.25
Castanospermum australe,Basalt,,,,,,,,,,,,,2.164,0.222
Castanospermum australe,Basalt,,,,,,,,,,,,,1.216,0.062
Castanospermum australe,Basalt,,,,,,,,,,,,,1.5488,0.122
Castanospermum australe,Basalt,,,,,,,,,,,,,1.24,0.013
Diploglottis australis,Basalt,,,,,,,,,,,,,8.2213,1.316
Diploglottis australis,Basalt,,,,,,,,,,,,,5.7925,0.413
Diploglottis australis,Basalt,,,,,,,,,,,,,18.855,0.7
Diploglottis australis,Basalt,,,,,,,,,,,,,7.0813,0.042
Diploglottis australis,Basalt,,,,,,,,,,,,,6.0888,0.19
Diploglottis australis,Basalt,,,,,,,,,,,,,4.6238,0.122
Diploglottis australis,Basalt,,,,,,,,,,,,,5.2413,0.309
Diploglottis australis,Basalt,,,,,,,,,,,,,7.0038,1.569
Diploglottis australis,Basalt,,,,,,,,,,,,,6.575,0.189
Diploglottis australis,Basalt,,,,,,,,,,,,,2.6825,-0.05
Diploglottis australis,Basalt,,,,,,,,,,,,,5.3825,0.383
Diploglottis australis,Basalt,,,,,,,,,,,,,5.5538,0.254
Diploglottis australis,Basalt,,,,,,,,,,,,,5.4013,0.123
Diploglottis australis,Basalt,,,,,,,,,,,,,3.6713,0.492
Diploglottis australis,Basalt,,,,,,,,,,,,,4.1575,0.027
Diploglottis australis,Basalt,,,,,,,,,,,,,4.3725,0.179
Diploglottis australis,Basalt,,,,,,,,,,,,,4.955,0.092
Diploglottis australis,Basalt,,,,,,,,,,,,,5.33,0.257
Diploglottis australis,Basalt,,,,,,,,,,,,,2.475,0.129
Diploglottis australis,Basalt,,,,,,,,,,,,,7.7888,0.245
Diploglottis australis,Basalt,,,,,,,,,,,,,3.03,0.227
Diploglottis australis,Basalt,,,,,,,,,,,,,6.9113,0.317
Diploglottis australis,Basalt,,,,,,,,,,,,,5.0838,0.065
Diploglottis australis,Basalt,,,,,,,,,,,,,3.2088,-0.096
Diploglottis australis,Basalt,,,,,,,,,,,,,6.4575,0.257
Diploglottis australis,Basalt,,,,,,,,,,,,,4.0788,0.26
Diploglottis australis,Basalt,,,,,,,,,,,,,3.2875,0.073
Diploglottis australis,Basalt,,,,,,,,,,,,,4.5638,0.111
Diploglottis australis,Basalt,,,,,,,,,,,,,3.8825,0.304
Diploglottis australis,Basalt,,,,,,,,,,,,,2.5363,0.049
Diploglottis australis,Basalt,,,,,,,,,,,,,2.0975,-0.038
Diploglottis australis,Basalt,,,,,,,,,,,,,3.2288,0.232
Diploglottis australis,Basalt,,,,,,,,,,,,,3.6525,0.175
Diploglottis australis,Basalt,,,,,,,,,,,,,3.235,0.103
Diploglottis australis,Basalt,,,,,,,,,,,,,4.8875,0.738
Diploglottis australis,Basalt,,,,,,,,,,,,,1.4,0.089
Diploglottis australis,Basalt,,,,,,,,,,,,,2.19,0.198
Diploglottis australis,Basalt,,,,,,,,,,,,,1.465,0.02
Diploglottis australis,Basalt,,,,,,,,,,,,,11.208,1.807
Diploglottis australis,Basalt,,,,,,,,,,,,,1.87,0.13
Diploglottis australis,Basalt,,,,,,,,,,,,,3.5288,0.035
Diploglottis australis,Basalt,,,,,,,,,,,,,1.4738,0.13
Diploglottis australis,Basalt,,,,,,,,,,,,,2.7025,0.176
Diploglottis australis,Basalt,,,,,,,,,,,,,2.42,0.026
Diploglottis australis,Basalt,,,,,,,,,,,,,2.4075,0.036
Diploglottis australis,Basalt,,,,,,,,,,,,,3.6075,0.062
Diploglottis australis,Basalt,,,,,,,,,,,,,2.1038,0.037
Diploglottis australis,Basalt,,,,,,,,,,,,,4.2013,0.119
Diploglottis australis,Basalt,,,,,,,,,,,,,1.8213,4.00E-03
Diploglottis australis,Basalt,,,,,,,,,,,,,1.1288,0.019
Diploglottis australis,Basalt,,,,,,,,,,,,,4.6225,0.257
Flindersia schottiana,Basalt,,,,,,,,,,,,,7.653,0.396
Flindersia schottiana,Basalt,,,,,,,,,,,,,3.49,0.139
Flindersia schottiana,Basalt,,,,,,,,,,,,,4.24,0.104
Flindersia schottiana,Basalt,,,,,,,,,,,,,3.508,0.193
Flindersia schottiana,Basalt,,,,,,,,,,,,,5.056,0.108
Flindersia schottiana,Basalt,,,,,,,,,,,,,5.878,0.313
Flindersia schottiana,Basalt,,,,,,,,,,,,,25.113,0.828
Flindersia schottiana,Basalt,,,,,,,,,,,,,5.158,0.106
Flindersia schottiana,Basalt,,,,,,,,,,,,,3.005,0.229
Flindersia schottiana,Basalt,,,,,,,,,,,,,2.414,0.177
Flindersia schottiana,Basalt,,,,,,,,,,,,,3.518,-9.00E-03
Flindersia schottiana,Basalt,,,,,,,,,,,,,4.315,0.182
Flindersia schottiana,Basalt,,,,,,,,,,,,,2.936,0.044
Flindersia schottiana,Basalt,,,,,,,,,,,,,2.841,0.022
Flindersia schottiana,Basalt,,,,,,,,,,,,,7.131,0.911
Flindersia schottiana,Basalt,,,,,,,,,,,,,4.745,0.664
Flindersia schottiana,Basalt,,,,,,,,,,,,,3.441,0.351
Flindersia schottiana,Basalt,,,,,,,,,,,,,3.524,8.00E-03
Flindersia schottiana,Basalt,,,,,,,,,,,,,2.284,0.115
Flindersia schottiana,Basalt,,,,,,,,,,,,,3.938,0.111
Flindersia schottiana,Basalt,,,,,,,,,,,,,3.311,0.04
Flindersia schottiana,Basalt,,,,,,,,,,,,,3.298,0
Flindersia schottiana,Basalt,,,,,,,,,,,,,2.965,0.079
Flindersia schottiana,Basalt,,,,,,,,,,,,,3.885,0.314
Flindersia schottiana,Basalt,,,,,,,,,,,,,4.606,0.039
Flindersia schottiana,Basalt,,,,,,,,,,,,,7.013,0.888
Flindersia schottiana,Basalt,,,,,,,,,,,,,7.285,1.254
Flindersia schottiana,Basalt,,,,,,,,,,,,,3.355,0.199
Flindersia schottiana,Basalt,,,,,,,,,,,,,5.271,0.721
Flindersia schottiana,Basalt,,,,,,,,,,,,,4.103,0.249
Flindersia schottiana,Basalt,,,,,,,,,,,,,2.67,0.084
Flindersia schottiana,Basalt,,,,,,,,,,,,,4.026,0.258
Flindersia schottiana,Basalt,,,,,,,,,,,,,5.54,0.174
Flindersia schottiana,Basalt,,,,,,,,,,,,,3.376,0.078
Flindersia schottiana,Basalt,,,,,,,,,,,,,6.421,0.174
Mallotus philippensis,Basalt,,,,,,,,,,,,,5.015,1.269
Mallotus philippensis,Basalt,,,,,,,,,,,,,2.423,0.114
Mallotus philippensis,Basalt,,,,,,,,,,,,,3.079,0.114
Mallotus philippensis,Basalt,,,,,,,,,,,,,4.733,0.826
Mallotus philippensis,Basalt,,,,,,,,,,,,,5.86,0.131
Mallotus philippensis,Basalt,,,,,,,,,,,,,5.265,0.374
Mallotus philippensis,Basalt,,,,,,,,,,,,,11.6,0.82
Mallotus philippensis,Basalt,,,,,,,,,,,,,4.934,0.45
Mallotus philippensis,Basalt,,,,,,,,,,,,,4.584,1.544
Mallotus philippensis,Basalt,,,,,,,,,,,,,4.118,0.315
Mallotus philippensis,Basalt,,,,,,,,,,,,,4.151,0.26
Mallotus philippensis,Basalt,,,,,,,,,,,,,4.363,0.384
Mallotus philippensis,Basalt,,,,,,,,,,,,,5.619,0.884
Mallotus philippensis,Basalt,,,,,,,,,,,,,4.7263,0.348
Mallotus philippensis,Basalt,,,,,,,,,,,,,4.636,0.433
Mallotus philippensis,Basalt,,,,,,,,,,,,,2.8338,0.29
Mallotus philippensis,Basalt,,,,,,,,,,,,,4.226,0.39
Mallotus philippensis,Basalt,,,,,,,,,,,,,1.684,0.496
Mallotus philippensis,Basalt,,,,,,,,,,,,,3.999,0.103
Mallotus philippensis,Basalt,,,,,,,,,,,,,1.529,0.015
Mallotus philippensis,Basalt,,,,,,,,,,,,,2.558,0.19
Mallotus philippensis,Basalt,,,,,,,,,,,,,1.985,0.315
Mallotus philippensis,Basalt,,,,,,,,,,,,,2.055,0.168
Mallotus philippensis,Basalt,,,,,,,,,,,,,3.019,0.472
Mallotus philippensis,Basalt,,,,,,,,,,,,,1.039,0.415
Mallotus philippensis,Basalt,,,,,,,,,,,,,3.224,-0.151
Polyscias elegans,Basalt,,,,,,,,,,,,,10,1.031
Polyscias elegans,Basalt,,,,,,,,,,,,,6.653,0.105
Polyscias elegans,Basalt,,,,,,,,,,,,,6.619,0.344
Polyscias elegans,Basalt,,,,,,,,,,,,,4.778,0.111
Polyscias elegans,Basalt,,,,,,,,,,,,,4.113,0.019
Polyscias elegans,Basalt,,,,,,,,,,,,,6.564,0.268
Polyscias elegans,Basalt,,,,,,,,,,,,,5.993,0.162
Polyscias elegans,Basalt,,,,,,,,,,,,,9.566,1.011
Polyscias elegans,Basalt,,,,,,,,,,,,,5.428,0.022
Polyscias elegans,Basalt,,,,,,,,,,,,,9.041,0.474
Polyscias elegans,Basalt,,,,,,,,,,,,,3.115,0.087
Polyscias elegans,Basalt,,,,,,,,,,,,,6.988,0.516
Polyscias elegans,Basalt,,,,,,,,,,,,,3.854,0.086
Polyscias elegans,Basalt,,,,,,,,,,,,,3.545,0.067
Polyscias elegans,Basalt,,,,,,,,,,,,,5.679,0.363
Polyscias elegans,Basalt,,,,,,,,,,,,,4.608,0.159
Polyscias elegans,Basalt,,,,,,,,,,,,,6.155,0.173
Polyscias elegans,Basalt,,,,,,,,,,,,,3.496,0.083
Polyscias elegans,Basalt,,,,,,,,,,,,,4.608,0.438
Polyscias elegans,Basalt,,,,,,,,,,,,,3.891,0.375
Polyscias elegans,Basalt,,,,,,,,,,,,,6.989,0.632
Polyscias elegans,Basalt,,,,,,,,,,,,,7.701,0.026
Polyscias elegans,Basalt,,,,,,,,,,,,,3.7,-0.011
Polyscias elegans,Basalt,,,,,,,,,,,,,7.3,0.07
Polyscias murrayi,Basalt,,,,,,,,,,,,,18.7613,2.794
Polyscias murrayi,Basalt,,,,,,,,,,,,,24.0563,2.35
Polyscias murrayi,Basalt,,,,,,,,,,,,,30.6338,2.354
Polyscias murrayi,Basalt,,,,,,,,,,,,,28.8238,2.556
Polyscias murrayi,Basalt,,,,,,,,,,,,,18.9913,2.416
Polyscias murrayi,Basalt,,,,,,,,,,,,,23.2488,3.323
Polyscias murrayi,Basalt,,,,,,,,,,,,,15.1513,1.522
Polyscias murrayi,Basalt,,,,,,,,,,,,,24.5538,2.23
Polyscias murrayi,Basalt,,,,,,,,,,,,,16.5463,2.713
Polyscias murrayi,Basalt,,,,,,,,,,,,,16.2388,1.492
Polyscias murrayi,Basalt,,,,,,,,,,,,,14.26,2.576
Polyscias murrayi,Basalt,,,,,,,,,,,,,14.5728,2.43
Polyscias murrayi,Basalt,,,,,,,,,,,,,24.7813,1.997
Polyscias murrayi,Basalt,,,,,,,,,,,,,14.3452,2.299
Polyscias murrayi,Basalt,,,,,,,,,,,,,11.9275,1.739
Polyscias murrayi,Basalt,,,,,,,,,,,,,10.1608,1.941
Polyscias murrayi,Basalt,,,,,,,,,,,,,7.0087,1.06
Polyscias murrayi,Basalt,,,,,,,,,,,,,6.8634,1.036
Polyscias murrayi,Basalt,,,,,,,,,,,,,5.9325,1.463
Polyscias murrayi,Basalt,,,,,,,,,,,,,5.4423,0.942
Polyscias murrayi,Basalt,,,,,,,,,,,,,5.6575,1.424
Polyscias murrayi,Basalt,,,,,,,,,,,,,8.3481,1.895
Polyscias murrayi,Basalt,,,,,,,,,,,,,7.7431,1.092
Polyscias murrayi,Basalt,,,,,,,,,,,,,8.4,0.639
Polyscias murrayi,Basalt,,,,,,,,,,,,,4.0874,-0.026
Polyscias murrayi,Basalt,,,,,,,,,,,,,4.1774,0.09
Polyscias murrayi,Basalt,,,,,,,,,,,,,6.475,0.106
Polyscias murrayi,Basalt,,,,,,,,,,,,,20.1713,1.899
Polyscias murrayi,Basalt,,,,,,,,,,,,,20.6613,2.276
Polyscias murrayi,Basalt,,,,,,,,,,,,,27.2538,3.352
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,16.726,1.454
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,9.058,1.5
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,1.546,0.44
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,0.984,0.229
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,2.11,0.148
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,3.254,0.042
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,1.328,0.097
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,1.863,0.112
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,0.726,0.176
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,1.956,0.107
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,5.619,1.091
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,5.826,0.394
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,6.818,0.395
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,0.686,0.092
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,5.363,1.105
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,1.525,0.317
Sarcopteryx stipata,Basalt,,,,,,,,,,,,,1.209,0.134
