Species,treatment,Rep,pi_o,RWC @ TLP,Emax,TLP (-Mpa),Mean Predawn water potential (Mpa) at gs<0.05,Mean Midday water potential (Mpa) at gs<0.05,site
Stylidium graminifolia,Well-watered,5,1.513004258,0.825907367,8.09763608,-1.869222312,,,The University of Melbourne Burnley campus
Senna nemophila,Well-watered,1,1.313994658,0.858915244,8.816876024,-1.587762815,,,The University of Melbourne Burnley campus
Senna nemophila,Well-watered,2,1.051105647,0.892089215,4.591753475,-1.385367779,,,The University of Melbourne Burnley campus
Senna nemophila,Well-watered,3,1.046057167,0.879957092,4.74059596,-1.363816196,,,The University of Melbourne Burnley campus
Senna nemophila,Well-watered,4,1.339410435,0.837009758,8.867724983,-1.598076565,,,The University of Melbourne Burnley campus
Senna nemophila,Well-watered,5,1.641078955,0.865733028,14.25069113,-1.884123118,,,The University of Melbourne Burnley campus
Arthropodium milleflorum ,Water-deficit,,,,,,-0.48,-0.75,The University of Melbourne Burnley campus
Pelargonium rodneyanum ,Water-deficit,,,,,,-0.9,-1.133333333,The University of Melbourne Burnley campus
Chrysocephalum apiculatum ,Water-deficit,,,,,,-2.4125,-3.3,The University of Melbourne Burnley campus
Isotoma axillaris ,Water-deficit,,,,,,-1.233333333,-1.666666667,The University of Melbourne Burnley campus
Stylidium graminifolia ,Water-deficit,,,,,,-2.9,-3.8,The University of Melbourne Burnley campus
Dianella revoluta ,Water-deficit,,,,,,-1.05,-1.575,The University of Melbourne Burnley campus
 Ficinia nodosa,Water-deficit,,,,,,-1.533333333,-3.8,The University of Melbourne Burnley campus
Lomandra filiformis,Water-deficit,,,,,,-2.74,-2.333333333,The University of Melbourne Burnley campus
Stypandra glauca,Water-deficit,,,,,,-1.28,-1.875,The University of Melbourne Burnley campus
Correa glabra ,Water-deficit,,,,,,-2.86,-3.025,The University of Melbourne Burnley campus
Eutaxia microphylla  ,Water-deficit,,,,,,-3.625,-4.75,The University of Melbourne Burnley campus
Enchylaena tomentosa ,Water-deficit,,,,,,-4.6,-5.45,The University of Melbourne Burnley campus
 Hibbertia obtusifolia,Water-deficit,,,,,,-2.3125,-3.15,The University of Melbourne Burnley campus
Olearia axillaris,Water-deficit,,,,,,-2.08,-2.32,The University of Melbourne Burnley campus
 Platylobium obtusangulum,Water-deficit,,,,,,-1.9,-2.25,The University of Melbourne Burnley campus
Prosthanthera nivea ,Water-deficit,,,,,,-2.0875,-2.725,The University of Melbourne Burnley campus
Senna nemophila ,Water-deficit,,,,,,-4.15,-4.433333333,The University of Melbourne Burnley campus
