Species,Replicate,Root Biomass (g) 0-10cm depth,Green shoot biomass (g),Non-green shoot biomass (g),Total shoot biomass (g),Root:Shoot ratio
Petrorhagia nanteuilii,4,0.0072,0.0092,0.0365,0.0457,0.157549234
Petrorhagia nanteuilii,5,0.055,0.2817,0.637,0.9187,0.059867204
Plantago varia,1,0.292,0.204,0,0.204,1.431372549
Plantago varia,2,0.682,0.098,0,0.098,6.959183673
Plantago varia,3,1.093,0.151,0,0.151,7.238410596
Plantago varia,4,0.273,0.203,0,0.203,1.344827586
Plantago varia,5,0.235,0.116,0,0.116,2.025862069
Poa bulbosa,1,0.0134,0.0117,0,0.0117,1.145299145
Poa bulbosa,2,0.0102,0.0093,0,0.0093,1.096774194
Poa bulbosa,3,0.0117,0.043,0,0.043,0.272093023
Poa labillardieri,1,29.303,11.732,85.76,97.492,0.300568252
Poa labillardieri,2,6.066,3.122,6.948,10.07,0.602383317
Poa labillardieri,3,29.56,8.3384,50.654,58.9924,0.501081495
Poa labillardieri,4,9.062,3.212,13.326,16.538,0.547950175
Poa labillardieri,5,35.875,11.103,80.062,91.165,0.393517249
Solenogyne dominii,1,0.862,0.093,0.016,0.109,7.908256881
Solenogyne dominii,2,0.196,0.091,0,0.091,2.153846154
Solenogyne dominii,3,0.625,0.129,0,0.129,4.84496124
Stipa scabra,1,2.415,1.313,1.429,2.742,0.880743982
Stipa scabra,2,1.789,0.574,1.057,1.631,1.096873084
Stipa scabra,3,0.985,0.315,1.692,2.007,0.490782262
Themeda australis,1,11.676,8.131,26.933,35.064,0.332991102
Themeda australis,2,1.542,2.153,6.972,9.125,0.168986301
Themeda australis,3,11.88,6.378,11.386,17.764,0.668768295
Themeda australis,4,1.435,1.612,10.911,12.523,0.114589156
Themeda australis,5,5.535,3.274,6.703,9.977,0.554775985
Tolpis umbellata,1,0.0126,0.0327,0.0329,0.0656,0.192073171
Tolpis umbellata,2,0.0066,0.0207,0.023,0.0437,0.151029748
Tolpis umbellata,3,0.0133,0.05,0.0426,0.0926,0.14362851
Tricoryne elator,1,12.978,4.02,0,4.02,3.228358209
Tricoryne elator,2,7.204,3.678,0,3.678,1.958673192
Tricoryne elator,3,7.787,4.53,0,4.53,1.718984547
Trifolium arvense,1,0.0101,0.0147,0.0253,0.04,0.2525
Trifolium arvense,2,0.0131,0.067,0.0216,0.0886,0.14785553
Trifolium arvense,3,0.0047,0.0257,0.0285,0.0542,0.086715867
Trifolium arvense,4,0.006,0.0192,0.0263,0.0455,0.131868132
Trifolium arvense,5,0.0118,0.0418,0.0539,0.0957,0.123301985
Trifolium dubium,1,0.0105,0.0254,0.025,0.0504,0.208333333
Trifolium dubium,2,0.0061,0.0208,0.011,0.0318,0.191823899
Trifolium dubium,3,0.0059,0.0198,0.0091,0.0289,0.204152249
Trifolium dubium,4,0.0112,0.0346,0.0246,0.0592,0.189189189
Trifolium dubium,5,0.0026,0.0082,0.0076,0.0158,0.164556962
Trifolium glomeratum,1,0.0076,0.0228,0.0183,0.0411,0.184914842
Trifolium glomeratum,2,0.022,0.0729,0.0769,0.1498,0.146862483
Trifolium glomeratum,3,0.0061,0.0191,0.0278,0.0469,0.130063966
Trifolium glomeratum,4,0.002,0.0063,0.0075,0.0138,0.144927536
Trifolium glomeratum,5,0.005,0.0133,0.0233,0.0366,0.136612022
Trifolium striatum,1,0.0137,0.0295,0.0327,0.0622,0.220257235
Trifolium striatum,2,0.0105,0.0205,0.054,0.0745,0.140939597
Trifolium striatum,3,0.0137,0.0228,0.0581,0.0809,0.16934487
Trifolium striatum,4,0.0067,0.0197,0.0492,0.0689,0.09724238
Trifolium striatum,5,0.0176,0.0489,0.1021,0.151,0.116556291
Trifolium subterraneum,1,0.079,0.168,0.136,0.304,0.259868421
Trifolium subterraneum,2,0.0183,0.0672,0.0523,0.1195,0.153138075
Trifolium subterraneum,3,0.043,0.274,0.197,0.471,0.091295117
Trifolium subterraneum,4,0.074,0.272,0.134,0.406,0.18226601
Trifolium subterraneum,5,0.018,0.0539,0.0453,0.0992,0.181451613
Triptilodiscus pygmaeus,1,0.0147,0.043,0.055,0.098,0.15
Triptilodiscus pygmaeus,2,0.006,0.0192,0.0338,0.053,0.113207547
Triptilodiscus pygmaeus,3,0.0049,0.0225,0.0399,0.0624,0.078525641
Triptilodiscus pygmaeus,4,0.0117,0.0544,0.1312,0.1856,0.063038793
