Species,Replicate,Date,leaf angle (degrees from horizontal),Leaf fresh mass (g),Leaf length (cm),Leaf width (cm),Leaf area (mm2),Specific leaf area (mm2.g-1),Leaf perimeter (mm),Leaf dry mass (g),Leaf Dry Matter Content (LDMC; dry mass / fresh mass)
Stipa scabra,2,20/09/2005,,0.0282,9.2,0.14,79.512,7036.460177,194.73,0.0113,0.40070922
Stipa scabra,3,20/09/2005,,0.0265,9.1,0.155,90.401,6746.343284,193.79,0.0134,0.505660377
Themeda australis,1,10/11/2005,29,0.0553,17.3,0.3,430.76,23035.29412,367.17,0.0187,0.338155515
Themeda australis,2,10/11/2005,70,0.0735,18.8,0.341,506.1,18884.32836,396.68,0.0268,0.36462585
Themeda australis,3,28/11/2005,27,0.0672,12.9,0.45,498.31,25953.64583,272.81,0.0192,0.285714286
Themeda australis,4,28/11/2005,80,0.0622,19.2,0.321,473.37,22328.77358,402.52,0.0212,0.340836013
Themeda australis,5,28/11/2005,50,0.0794,22.4,0.349,591.95,21843.17343,476.45,0.0271,0.341309824
Tolpis umbellata,1,13/10/2005,77,0.0284,3,0.7,123.98,37569.69697,69.019,0.0033,0.116197183
Tolpis umbellata,2,13/10/2005,79,0.0259,3.6,0.588,120.01,37503.125,80.268,0.0032,0.123552124
Tolpis umbellata,3,15/10/2005,71,0.0283,2.7,0.6,101.64,26747.36842,60.75,0.0038,0.134275618
Tricoryne elator,1,13/10/2005,62,0.0813,12.7,0.3,353.64,22524.84076,265.97,0.0157,0.193111931
Tricoryne elator,2,13/10/2005,62,0.1185,19.1,0.296,561.38,23102.05761,412.2,0.0243,0.205063291
Tricoryne elator,3,15/10/2005,83,0.1509,15,0.422,580.58,18548.88179,311.43,0.0313,0.207422134
Trifolium arvense,1,21/10/2005,63,0.0195,2.7,1.8,130.76,29057.77778,110.26,0.0045,0.230769231
Trifolium arvense,2,24/10/2005,43,0.0099,2.4,1.35,85.985,34394,95.415,0.0025,0.252525253
