Species_reconciled with updates and additions,growth form,seed size categorical: <10mm,seed size categorical: >10mm,leaf type,leaves lobed,leaf longevity,wood density species,wood density genus,wood density family,Height (m),leaf length minimum (mm),leaf length maximum (mm),leaf width minimum (mm),leaf width maximum (mm),seed length minimum (mm),seed length maximum (mm),seed width minimum (mm),seed width maximum (mm),seed breadth (mm),plant_height_duplicate,wood_density_duplicate,seed_width_min_duplicate,seed_width_max_duplicate,seed_length_min_duplicate,seed_length_max_duplicate,leaf_width_min_duplicate,leaf_width_max_duplicate,leaf_length_min_duplicate,leaf_length_max_duplicate
Melhania oblongifolia,shrub,1,0,simple,no,evergreen,NA,NA,426,1,10,90,3,40,2,3,2,2,NA,Duplicate of WAH_1998_4270,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melochia umbellata,tree,1,0,simple,no,evergreen,NA,NA,NA,20,75,150,55,110,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pavonia calycina,shrub,1,0,simple,yes,evergreen,NA,NA,NA,1,55,90,50,80,2,3,1,2,NA,Duplicate of WAH_1998_4651,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sida rohlenae ssp. rohlenae,shrub,1,0,simple,no,evergreen,NA,NA,NA,1,10,60,5,20,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sida sp. (Small Flower BG 5657),shrub,1,0,simple,no,evergreen,NA,NA,NA,1,35,85,7,17,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sida spinosa,shrub,1,0,simple,no,evergreen,NA,NA,NA,2,15,90,5,18,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sterculia Annan-River,tree,0,1,simple,no,evergreen,NA,NA,NA,26,60,130,30,72,10,12,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sterculia quadrifida,tree,1,1,simple,no,deciduous,309,309,426,25,30,280,30,190,13,20,7,10,NA,NA,Duplicate of Ilic_2000_0533,NA,NA,NA,NA,NA,NA,NA,NA
Sterculia shillinglawii,tree,1,1,simple,no,evergreen,NA,309,426,30,80,150,45,85,11,16,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thespesia lampas-thespesioides,shrub,1,0,simple,yes,evergreen,NA,NA,NA,10,100,300,65,135,10,15,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thespesia populnea,tree,0,1,simple,no,evergreen,NA,NA,NA,10,100,300,65,135,10,15,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thespesia populneoides,tree,0,1,simple,no,evergreen,NA,NA,426,10,40,200,40,150,10,15,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichospermum pleiostigma,tree,1,0,simple,no,evergreen,NA,NA,NA,25,110,350,58,180,1,2,1,2,NA,Duplicate of Metcalfe_2009_276,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triumfetta  bradshawii,shrub,0,1,simple,no,evergreen,NA,NA,NA,2,45,120,20,55,1,2,1,2,NA,Duplicate of WAH_1998_6456,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triumfetta micracantha,shrub,1,0,simple,yes,evergreen,NA,NA,NA,1,8,75,5,45,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Waltheria indica,shrub,1,0,simple,no,evergreen,NA,NA,426,4,15,100,6,40,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medinilla balls-headleyi,shrub,1,1,simple,no,evergreen,NA,NA,NA,4,70,140,40,70,1,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055
Medinilla balls-headleyi,shrub,1,1,simple,no,evergreen,NA,NA,NA,4,70,140,40,70,1,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055
Medinilla balls-headleyi,shrub,1,1,simple,no,evergreen,NA,NA,NA,4,70,140,40,70,1,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055
Medinilla balls-headleyi,shrub,1,1,simple,no,evergreen,NA,NA,NA,4,70,140,40,70,1,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055
Medinilla balls-headleyi,shrub,1,1,simple,no,evergreen,NA,NA,NA,4,70,140,40,70,1,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055
Medinilla balls-headleyi,shrub,1,1,simple,no,evergreen,NA,NA,NA,4,70,140,40,70,1,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055
Medinilla balls-headleyi,shrub,1,1,simple,no,evergreen,NA,NA,NA,4,70,140,40,70,1,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055
Medinilla balls-headleyi,shrub,1,1,simple,no,evergreen,NA,NA,NA,4,70,140,40,70,1,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055
Medinilla balls-headleyi,shrub,1,1,simple,no,evergreen,NA,NA,NA,4,70,140,40,70,1,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055
Medinilla balls-headleyi,shrub,1,1,simple,no,evergreen,NA,NA,NA,4,70,140,40,70,1,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055
Medinilla balls-headleyi,shrub,1,1,simple,no,evergreen,NA,NA,NA,4,70,140,40,70,1,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055
Medinilla balls-headleyi,shrub,1,1,simple,no,evergreen,NA,NA,NA,4,70,140,40,70,1,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055
Medinilla balls-headleyi,shrub,1,1,simple,no,evergreen,NA,NA,NA,4,70,140,40,70,1,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055
Medinilla balls-headleyi,shrub,1,1,simple,no,evergreen,NA,NA,NA,4,70,140,40,70,1,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055
Medinilla balls-headleyi,shrub,1,1,simple,no,evergreen,NA,NA,NA,4,70,140,40,70,1,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055
Medinilla balls-headleyi,shrub,1,1,simple,no,evergreen,NA,NA,NA,4,70,140,40,70,1,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055,Duplicate of Barlow_1981_3055
Melastoma cyanoides,shrub,1,0,simple,no,evergreen,NA,NA,NA,2,60,150,25,80,0.5,0.5,0.5,0.5,NA,Duplicate of Barlow_1981_3193,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3193,NA
Melastoma malabathricum,shrub,1,0,simple,no,evergreen,NA,NA,NA,3,40,150,10,65,0.5,0.5,0.5,0.5,NA,Duplicate of Barlow_1981_3063,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3063,NA,Duplicate of Barlow_1981_3063,NA
Memecylon hylandii,tree,1,0,simple,no,evergreen,NA,NA,NA,15,60,120,30,60,6,7,6,7,NA,Duplicate of Barlow_1981_3072,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3072,NA,Duplicate of Barlow_1981_3072
Memecylon pauciflorum,tree,1,0,simple,no,evergreen,NA,NA,NA,6,15,80,10,30,5,6,5,6,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3073,Duplicate of Barlow_1981_3073,NA,NA
Osbeckia australiana,shrub,1,0,simple,no,evergreen,NA,NA,NA,2,20,60,2,13,0.3,0.5,0.3,0.5,NA,Duplicate of Barlow_1981_3190,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3190,Duplicate of Barlow_1981_3190,Duplicate of Barlow_1981_3190,Duplicate of Barlow_1981_3190
Turraea pubescens,tree,1,0,simple,no,deciduous,NA,NA,537,7,35,110,20,60,4,7,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vavaea amicorum,tree,1,1,simple,no,evergreen,NA,NA,537,7,30,220,30,90,8,10,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vavaea australiana,tree,1,1,simple,no,evergreen,NA,NA,NA,8,60,210,30,95,8,10,8,10,3,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Brock_1993_332,NA
Austromatthaea elegans,shrub,0,1,simple,no,evergreen,NA,NA,522,7,110,200,20,40,9,12,9,12,NA,Duplicate of Barlow_1981_0354,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hedycarya angustifolia,tree,1,0,simple,no,evergreen,NA,NA,NA,20,50,100,15,50,1,2,1,2,NA,Duplicate of Barlow_1981_2659,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_2659,NA,NA,NA
Hedycarya loxocarya,tree,1,0,simple,no,evergreen,560,560,522,25,50,190,23,70,5,7,4,5,NA,Duplicate of Barlow_1981_2660,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_2660,NA,NA,NA
Wilkiea rigidifolia,tree,0,1,simple,no,evergreen,NA,NA,522,10,80,275,40,140,9,18,8,10,NA,Duplicate of Barlow_1981_4232,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4232,NA
Levieria acuminata,tree,1,0,simple,no,evergreen,NA,NA,522,20,50,130,17,50,5,9,4,5,NA,Duplicate of Barlow_1981_2926,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_2926,NA,NA
Steganthera cooperorum,tree,0,1,simple,no,evergreen,NA,NA,522,10,80,170,20,70,12,15,8,10,NA,Duplicate of Barlow_1981_3926,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3926,Duplicate of Barlow_1981_3926,Duplicate of Barlow_1981_3926,Duplicate of Barlow_1981_3926
Wilkiea McDowall-Range,shrub,0,1,simple,no,evergreen,NA,NA,522,2,45,85,15,40,8,10,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steganthera australiana,tree,1,1,simple,no,evergreen,NA,NA,522,7,45,145,12,56,7,9,5,6,NA,Duplicate of Barlow_1981_3925,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3925,NA,Duplicate of Barlow_1981_3925,NA
Steganthera hirsuta,tree,1,1,simple,no,evergreen,NA,NA,NA,20,85,200,35,80,8,10,6,8,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3927,NA,NA
Steganthera macooraia,tree,1,1,simple,no,evergreen,NA,NA,522,12,35,140,15,58,13,14,8,9,NA,Duplicate of Barlow_1981_3931,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3931,NA,Duplicate of Barlow_1981_3931
Steganthera laxiflora_laxiflora,tree,1,1,simple,no,evergreen,NA,520,522,20,60,220,20,85,11,13,7,8,NA,Duplicate of Barlow_1981_3929,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3929,NA
Wilkiea longipes,tree,0,1,simple,no,evergreen,NA,520,522,15,80,260,40,120,13,15,9,11,NA,Duplicate of Barlow_1981_4229,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4229,Duplicate of Barlow_1981_4229,NA,Duplicate of Barlow_1981_4229
Steganthera laxiflora_lewisensis,tree,1,1,simple,no,evergreen,NA,520,522,10,50,155,18,45,11,12,7,8,NA,Duplicate of Barlow_1981_3930,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3930,Duplicate of Barlow_1981_3930,NA,Duplicate of Barlow_1981_3930
Wilkiea pubescens,tree,1,1,simple,no,evergreen,520,520,522,9,45,120,20,50,10,12,7,8,NA,Duplicate of Metcalfe_2009_270,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4231,Duplicate of Barlow_1981_4231,Duplicate of Barlow_1981_4231,Duplicate of Barlow_1981_4231
Wilkiea angustifolia,tree,1,1,simple,no,evergreen,NA,NA,522,6,70,210,20,85,10,15,7,8,NA,Duplicate of Barlow_1981_4224,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4224,NA,Duplicate of Barlow_1981_4224,Duplicate of Barlow_1981_4224
Wilkiea austroqueenslandica,tree,1,1,simple,no,evergreen,571.9,NA,NA,7.8,60,200,20,70,6,8,5,6,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4225,Duplicate of Barlow_1981_4225,Duplicate of Barlow_1981_4225,NA
Wilkiea cordata,shrub,1,1,simple,no,evergreen,NA,NA,522,4,70,260,30,110,11,15,5,7,NA,Duplicate of Barlow_1981_4226,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4226,NA,NA,Duplicate of Barlow_1981_4226
Wilkiea huegeliana,tree,1,1,simple,no,evergreen,571.9,NA,NA,13.5,60,150,10,50,8,10,5,6,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4227,NA,Duplicate of Barlow_1981_4227,Duplicate of Barlow_1981_4227
Wilkiea macrophylla,tree,1,1,simple,no,evergreen,NA,NA,NA,10,80,220,30,90,8,10,5,6,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4230,NA,NA
Wilkiea hylandii,shrub,0,1,simple,no,evergreen,NA,NA,522,3,70,150,30,70,12,14,8,10,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4228,NA,NA,Duplicate of Barlow_1981_4228
Hemmantia webbii,shrub,1,1,simple,no,evergreen,NA,NA,522,3,45,180,30,45,12,14,8,10,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_2675,Duplicate of Barlow_1981_2675,NA,NA
Wilkiea MtLewis,tree,1,1,simple,no,evergreen,NA,NA,NA,15,60,110,20,50,15,16,7,8,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3926,NA,NA,NA
Wilkiea smithii,tree,1,1,simple,no,evergreen,NA,NA,522,10,60,145,22,60,10,11,7,9,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4233,NA,NA
Wilkiea Palmerston,tree,1,1,simple,no,evergreen,NA,NA,522,10,70,160,28,50,10,12,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wilkiea Russell-Gorge,tree,1,1,simple,no,evergreen,NA,NA,NA,6,220,380,58,115,10,12,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Endressia wardellii,tree,1,1,simple,no,evergreen,NA,NA,522,20,42,130,20,60,9,10,6,8,NA,Duplicate of Barlow_1981_1510,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1510,Duplicate of Barlow_1981_1510,NA,Duplicate of Barlow_1981_1510
Antiaris toxicaria,tree,0,1,simple,no,deciduous,NA,NA,522,35,50,190,27,100,18,30,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Artocarpus glaucus,tree,1,1,simple,no,evergreen,NA,NA,NA,20,100,180,50,80,5,6,5,6,NA,Duplicate of Barlow_1981_0321,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0321,Duplicate of Barlow_1981_0321,Duplicate of Barlow_1981_0321,Duplicate of Barlow_1981_0321
Ficus aculeata_indecora,tree,1,0,simple,no,deciduous,NA,394,522,15,45,160,40,90,1,1,1,1,NA,Duplicate of NTH_2014_189,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficus adenosperma,tree,1,0,simple,no,evergreen,NA,394,522,10,60,120,15,70,1,1,1,1,NA,Duplicate of Barlow_1981_1552,NA,NA,NA,NA,NA,Duplicate of NTH_2014_190,Duplicate of Barlow_1981_1552,Duplicate of Barlow_1981_1552,NA
Ficus albipila,tree,1,0,simple,no,evergreen,NA,394,522,45,100,190,45,110,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficus atricha,tree,1,0,simple,no,evergreen,NA,394,522,25,60,100,30,70,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficus benjamina,tree,1,0,simple,no,evergreen,NA,394,522,20,30,120,15,60,1,1,1,1,NA,Duplicate of Metcalfe_2009_117,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1556,Duplicate of Barlow_1981_1556,Duplicate of Barlow_1981_1556,Duplicate of Barlow_1981_1556
Ficus brachypoda,tree,1,0,simple,no,evergreen,NA,394,522,25,45,60,20,30,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficus congesta,tree,1,0,simple,no,evergreen,NA,394,522,6,90,250,30,140,1,1,1,1,NA,Duplicate of Metcalfe_2009_118,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1557
Ficus coronata,tree,1,0,simple,no,deciduous,399.9,NA,NA,20,50,100,20,50,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficus crassipes,tree,1,0,simple,no,evergreen,NA,394,522,30,76,220,50,154,1,1,1,1,NA,Duplicate of Barlow_1981_1561,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficus cumingii-androbrota,tree,1,0,simple,no,evergreen,NA,394,522,3,60,120,35,60,1,1,1,1,NA,Duplicate of Brock_1993_130,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1585,Duplicate of Barlow_1981_1588,NA
Ficus destruens,tree,1,0,simple,no,evergreen,NA,394,522,40,50,194,16,63,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficus drupacea,tree,1,0,simple,no,evergreen,NA,394,522,30,60,320,30,130,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficus fraseri,tree,1,0,simple,no,deciduous,390,394,522,35,50,140,25,65,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficus henneana,tree,1,0,simple,no,deciduous,NA,394,522,35,60,150,20,60,1,1,1,1,NA,Duplicate of Barlow_1981_1605,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1605,NA,NA
Ficus hispida,tree,1,0,simple,no,evergreen,NA,394,522,13,90,350,40,200,1,1,1,1,NA,Duplicate of Barlow_1981_1567,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1567,NA,Duplicate of Barlow_1981_1567
Ficus leptoclada,tree,1,0,simple,no,evergreen,NA,394,522,15,36,140,28,45,1,1,1,1,NA,Duplicate of Barlow_1981_1568,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficus macrophylla,tree,1,1,simple,no,evergreen,301,NA,NA,45,100,250,70,100,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficus melinocarpa-hololampra,tree,1,0,simple,no,evergreen,NA,394,522,35,40,200,25,90,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1574,NA,Duplicate of Barlow_1981_1574
Ficus microcarpa,tree,1,0,simple,no,evergreen,NA,394,522,20,30,120,15,90,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1575,Duplicate of Barlow_1981_1575,Duplicate of Barlow_1981_1575,Duplicate of Barlow_1981_1575
Ficus mollior,tree,1,0,simple,no,evergreen,NA,394,522,15,95,180,45,90,1,1,1,1,NA,Duplicate of Barlow_1981_1579,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1579,NA,Duplicate of Barlow_1981_1579
Ficus nodosa,tree,1,0,simple,no,deciduous,NA,394,522,20,120,240,95,180,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1580,NA,NA
Ficus obliqua,tree,1,0,simple,no,evergreen,510,394,522,50,17,130,6,60,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficus opposita,tree,1,0,simple,no,evergreen,NA,394,522,10,45,160,40,90,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1588,NA,NA,NA
Ficus platypoda,tree,1,1,simple,no,evergreen,NA,NA,NA,30,80,130,40,90,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1569,Duplicate of Barlow_1981_1569,Duplicate of Barlow_1981_1569,Duplicate of Barlow_1981_1569
Ficus pleurocarpa,tree,1,0,simple,no,evergreen,390,394,522,30,130,280,50,110,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1596,NA,NA,NA
Ficus podocarpifolia,shrub,1,0,simple,no,evergreen,NA,NA,NA,3,20,100,2,16,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1597,NA
Ficus racemosa,tree,1,0,simple,no,deciduous,NA,394,522,35,50,200,30,90,1,1,1,1,NA,Duplicate of Barlow_1981_1598,NA,NA,NA,NA,NA,Duplicate of Brock_1993_132,Duplicate of Barlow_1981_1598,NA,Duplicate of Barlow_1981_1598
Ficus rubiginosa_rubiginosa,tree,1,0,simple,no,evergreen,NA,394,522,30,40,190,10,130,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficus rubiginosa_glabrescens,tree,1,0,simple,no,evergreen,NA,394,522,30,40,190,10,130,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficus scobina,tree,1,0,simple,no,evergreen,NA,NA,NA,8,40,160,20,80,1,1,1,1,NA,Duplicate of Barlow_1981_1600,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1600,Duplicate of Brock_1993_133,Duplicate of Barlow_1981_1600
Ficus septica,tree,1,0,simple,no,evergreen,NA,394,522,15,80,250,40,70,1,1,1,1,NA,Duplicate of Barlow_1981_1601,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1601,NA,NA
Ficus subnervosa,tree,1,0,simple,no,evergreen,NA,394,522,20,60,120,25,55,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficus subpuberula,tree,1,0,simple,no,evergreen,NA,NA,NA,20,60,120,30,65,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1604,NA,NA,Duplicate of Barlow_1981_1604
Ficus tinctoria,tree,1,0,simple,no,evergreen,NA,NA,NA,10,45,140,17,60,1,1,1,1,NA,Duplicate of WAH_1998_2316,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficus triradiata,tree,1,0,simple,no,evergreen,NA,394,522,25,33,163,10,66,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficus variegata,tree,1,0,simple,no,evergreen,NA,394,522,30,110,250,75,160,1,1,1,1,NA,Duplicate of Metcalfe_2009_124,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1610,NA,Duplicate of Barlow_1981_1610
Ficus virens-sublanceolata,tree,1,0,simple,no,deciduous,340,394,522,40,40,190,25,90,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficus virens-virens,tree,1,0,simple,no,deciduous,340,394,522,40,40,190,25,90,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficus virgata,tree,1,0,simple,no,evergreen,NA,394,522,30,80,300,40,110,1,1,1,1,NA,Duplicate of Metcalfe_2009_125,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1615,NA,NA,NA
Ficus watkinsiana,tree,1,0,simple,no,evergreen,370,394,522,40,50,250,20,100,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1616,NA,NA,NA
Maclura cochinchinensis,shrub,1,1,simple,no,evergreen,NA,NA,NA,15,30,80,10,30,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streblus brunonianus,tree,1,0,simple,no,evergreen,650,650,522,30,10,140,10,55,4,4,3,4,NA,Duplicate of Metcalfe_2009_250,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streblus glaber,tree,1,0,simple,no,evergreen,NA,650,522,15,50,120,15,35,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Horsfieldia australiana,tree,0,1,simple,no,evergreen,NA,NA,460,30,110,280,30,60,14,22,10,12,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_2699,NA,NA,NA
Myristica globosa,tree,0,1,simple,no,evergreen,NA,NA,NA,30,70,210,20,80,10,22,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myristica insipida,tree,0,1,simple,no,evergreen,460,460,460,25,90,245,58,116,20,25,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myristica lancifolia_australiana,tree,0,1,simple,no,evergreen,NA,NA,NA,15,60,200,20,80,15,18,8,10,NA,Duplicate of Barlow_1981_3124,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3124,Duplicate of Barlow_1981_3124,Duplicate of Barlow_1981_3124,Duplicate of Barlow_1981_3124
Syzygium divaricatum,tree,0,1,simple,no,evergreen,NA,559,653,30,60,210,20,85,30,40,30,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium graveolens,tree,0,1,simple,no,evergreen,NA,559,653,35,55,222,20,100,30,40,30,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium hemilamprum-hemilamprum,tree,1,1,simple,no,evergreen,NA,559,653,30,40,150,18,68,7,17,7,17,NA,Duplicate of NTH_2014_573,NA,NA,NA,NA,NA,NA,Duplicate of NTH_2014_573,NA,Duplicate of NTH_2014_573
Syzygium hemilamprum-orophilum,tree,1,1,simple,no,evergreen,NA,559,653,35,10,70,12,27,9,12,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium ingens,tree,0,1,simple,no,evergreen,464.4,NA,NA,45,60,180,20,50,20,25,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
