canonicalName,,,,Resprout,Soil seed bank,Wind,Bird/mammal,Canopy seed storage
Phebalium daviesii,,,,,,,,
Pherosphaera hookeriana,,,,n,n,n,n,n
Philotheca freyciana,,,,,,,,
Phyllachne colensoi,,,,y,,n,n,n
Phyllocladus aspleniifolius,,,,n,,n,y,n
Phyllota diffusa,,,,,,,,
Pimelea cinerea,,,,,,,,
Pimelea filiformis,,,,,,,,
Pimelea leiophylla,,,,,,,,
Pimelea milliganii,,,,n,,,,
Pimelea nivea,,,,,,,,
Pimelea pygmaea,,,,,,,,
Pimelea sericea,,,,n,,,,
Planocarpa nitida,,,,n,,,,
Planocarpa petiolaris,,,,n,,,,
Planocarpa sulcata,,,,n,,,,
Plantago bellidioides,,,,y,,,,
Plantago daltonii,,,,y,,,,
Plantago glabrata,,,,y,,,,
Plantago gunnii,,,,y,,,,
Plantago paradoxa,,,,y,,,,
Plantago tasmanica,,,,y,,,,
Plantago tasmanica var. archeri,,,,y,,,,
Plantago tasmanica var. tasmanica,,,,y,,,,
Plantago triantha,,,,y,,,,
Poa gunnii,,,,y,,,,
Poa jugicola,,,,y,,,,
Poa mollis,,,,y,,,,
Polyscias sp. Douglas-Denison (R.Schahinger HO526133),,,,,,,,
Pomaderris elliptica var. diemenica,,,,,,,,
Pomaderris pilifera subsp. talpicutica,,,,,,,,
Poranthera petalifera,,,,,,,,
Prasophyllum amoenum,,,,,,,,
Prasophyllum apoxychilum,,,,,,,,
Prasophyllum castaneum,,,,,,,,
Prasophyllum crebriflorum,,,,,,,,
Prasophyllum favonium,,,,,,,,
Prasophyllum incorrectum,,,,,,,,
Prasophyllum milfordense,,,,,,,,
Prasophyllum olidum,,,,,,,,
Prasophyllum perangustum,,,,,,,,
Prasophyllum pulchellum,,,,,,,,
Prasophyllum robustum,,,,,,,,
Prasophyllum secutum,,,,,,,,
Prasophyllum stellatum,,,,,,,,
Prasophyllum taphanyx,,,,,,,,
Prasophyllum tunbridgense,,,,,,,,
Prionotes cerinthoides,,,,,,,,
Pseudopanax gunnii,,,,,,,,
Psychrophila phylloptera,,,,,,,,
Pterostylis atriola,,,,,,,,
Pterostylis commutata,,,,,,,,
Pterostylis pratensis,,,,,,,,
Pterostylis rubenachii,,,,,,,,
Pterostylis wapstrarum,,,,,,,,
Pterostylis ziegeleri,,,,,,,,
Pterygopappus lawrencei,,,,y,,,,
Puccinellia harcusiana,,,,,,,,
Ranunculus acaulis,,,,,,,,
Ranunculus collicola,,,,,,,,
Ranunculus decurvus,,,,,,,,
Ranunculus jugosus,,,,,,,,
Ranunculus nanus,,,,,,,,
Ranunculus pascuinus,,,,,,,,
Ranunculus prasinus,,,,,,,,
Ranunculus setaceus,,,,,,,,
Ranunculus triplodontus,,,,,,,,
Richea acerosa,,,,n,y,n,n,n
Richea alpina,,,,n,y,n,n,n
Richea dracophylla,,,,n,y,n,n,n
Richea gunnii,,,,n,y,n,n,n
Richea milliganii,,,,n,y,n,n,n
Richea pandanifolia,,,,n,y,n,n,n
Richea pandanifolia subsp. pandanifolia,,,,,,,,
Richea pandanifolia subsp. ramulosa,,,,,,,,
Richea procera,,,,y,y,n,n,n
Richea scoparia,,,,n,y,n,n,n
Richea sprengelioides,,,,y,y,n,n,n
Richea x curtisiae,,,,,,,,
Rubus gunnianus,,,,y,,,,
Rytidosperma diemenicum,,,,y,,,,
Rytidosperma fortunae-hibernae,,,,y,,,,
Rytidosperma gracile,,,,y,,,,
Rytidosperma nitens,,,,y,,,,
Rytidosperma pauciflorum,,,,y,,,,
Rytidosperma remotum,,,,y,,,,
Sagina diemensis,,,,,,,,
Schizacme archeri,,,,y,,,,
Schoenus absconditus,,,,y,,,,
Schoenus biglumis,,,,,,,,
Schoenus pygmaeus,,,,,,,,
Senecio albogilvus,,,,,,,,
Senecio leptocarpus,,,,,,,,
Senecio papillosus,,,,,,,,
Senecio pectinatus var. pectinatus,,,,,,,,
Senecio pinnatifolius var. capillifolius,,,,,,,,
Senecio primulifolius,,,,,,,,
Senecio spathulatus var. spathulatus,,,,,,,,
Sprengelia distichophylla,,,,,,,,
Sprengelia minima,,,,,,,,
Sprengelia montana,,,,,,,,
Sprengelia propinqua,,,,,,,,
Sprengelia sp. Mt Field (A.M.Gray 1513),,,,,,,,
Sprengelia sp. Mt Read (R.K.Crowden 0802 006) Tas Herbarium,,,,,,,,
Spyridium gunnii,,,,,,,,
Spyridium obcordatum,,,,,,,,
Spyridium obovatum,,,,,,,,
Spyridium obovatum var. obovatum,,,,,,,,
Spyridium obovatum var. velutinum,,,,,,,,
Spyridium ulicinum,,,,,,,,
Stenanthemum pimeleoides,,,,,,,,
Stonesiella selaginoides,,,,,y,,,
Telopea truncata,,,,y,,,,
Tetracarpaea tasmannica,,,,,,,,
Tetrarrhena oreophila,,,,y,,,,
Tetrarrhena oreophila var. minor,,,,,,,,
Tetrarrhena oreophila var. oreophila,,,,,,,,
Tetratheca gunnii,,,,,,,,
Tetratheca sp. Flinders Island (T.Rudman s.n. HO510551),,,,,,,,
Thelymitra jonesii,,,,,,,,
Trithuria filamentosa,,,,,,,,
Trochocarpa cunninghamii,,,,n,y,,,
Trochocarpa disticha,,,,n,y,,,
Trochocarpa gunnii,,,,n,y,,,
Trochocarpa thymifolia,,,,n,y,,,
Veronica ciliolata,,,,,,,,
Veronica ciliolata subsp. ciliolata,,,,,,,,
Veronica ciliolata subsp. fiordensis,,,,,,,,
Veronica continua,,,,,,,,
Veronica formosa,,,,,,,,
Veronica novae-hollandiae,,,,,,,,
Viola cunninghamii,,,,,,,,
Viola hederacea subsp. curtisiae,,,,,,,,
Vittadinia burbidgeae,,,,,,,,
Wahlenbergia saxicola,,,,,,,,
Westringia angustifolia,,,,,,,,
Westringia brevifolia,,,,,,,,
Westringia rubiifolia,,,,,,,,
Winifredia sola,,,,,,,,
Xanthorrhoea arenaria,,,,,,,,
Xanthorrhoea bracteata,,,,,,,,
Xerochrysum bicolor,,,,,,,,
Xerochrysum collierianum,,,,,,,,
Xerochrysum milliganii,,,,,,,,
Xyris marginata,,,,y,,,,
Xyris muelleri,,,,y,,,,
Xyris tasmanica,,,,y,,,,
