genus_root,taxon_name,text,life_history_a,life_history_f,parasitic_a,parasitic_f,plant_growth_form_a,plant_growth_form_f,plant_growth_substrate_a,plant_growth_substrate_f,sex_type_a,sex_type_f,stem_growth_habit_a,stem_growth_habit_f,woodiness_a,woodiness_f,authors
Cyperus,Cyperus polystachyos,"annuals or possibly perennials, to 60 cm tall.",annual perennial,annuals perennials,NA,NA,herb graminoid,inferred_from_life_history,NA,NA,NA,NA,NA,NA,herbaceous,NA,"Cowie, I.D., Short, P.S., and Osterkamp Madsen, M., 2011, Floodplain Flora: A flora of the coastal floodplains of the Northern Territory, Australia. Northern Territory Herbarium, Department of Natural Resources, Environment, the Arts and Sport, pp 248-250."
Cyperus,Cyperus difformis,annuals.,annual,annuals,NA,NA,herb graminoid,inferred_from_life_history,NA,NA,NA,NA,NA,NA,herbaceous,NA,"Cowie, I.D., Short, P.S., and Osterkamp Madsen, M., 2011, Floodplain Flora: A flora of the coastal floodplains of the Northern Territory, Australia. Northern Territory Herbarium, Department of Natural Resources, Environment, the Arts and Sport, pp 244-245."
Cyperus,Cyperus tenuispica,annuals to 40 cm tall;,annual,annuals,NA,NA,herb graminoid,inferred_from_life_history,NA,NA,NA,NA,NA,NA,herbaceous,NA,"Cowie, I.D., Short, P.S., and Osterkamp Madsen, M., 2011, Floodplain Flora: A flora of the coastal floodplains of the Northern Territory, Australia. Northern Territory Herbarium, Department of Natural Resources, Environment, the Arts and Sport, pp 248, 251."
Cyperus,Cyperus scariosus,"perennials with s, perennating by tubers circa 8 mm diam., rhizomatous, to 80 cm tall.",perennial,perennials,NA,NA,herb graminoid,inferred_from_life_history,NA,NA,NA,NA,rhizomatous,rhizomatous,herbaceous,NA,"Cowie, I.D., Short, P.S., and Osterkamp Madsen, M., 2011, Floodplain Flora: A flora of the coastal floodplains of the Northern Territory, Australia. Northern Territory Herbarium, Department of Natural Resources, Environment, the Arts and Sport, pp 248, 250."
Cyperus,Cyperus haspan,perennials with rhizomes.,perennial,perennials,NA,NA,herb graminoid,inferred_from_life_history,NA,NA,NA,NA,rhizomatous,rhizomes,herbaceous,NA,"Cowie, I.D., Short, P.S., and Osterkamp Madsen, M., 2011, Floodplain Flora: A flora of the coastal floodplains of the Northern Territory, Australia. Northern Territory Herbarium, Department of Natural Resources, Environment, the Arts and Sport, pp 246-247."
Cyperus,Cyperus malaccensis,"a robust, clonal perennial sedge to 1.5 m tall.",perennial,perennial,NA,NA,graminoid,sedge,NA,NA,NA,NA,NA,NA,herbaceous,inferred_from_growth_form,"Northern Territory Government 2008, Threatened Plants on the Bradshaw Field Training Area, Final Report on 2007 Survey, prepared by I.D. Cowie and B.M. Stuckey, Department Natural Resources, Environment and the Arts."
Cyperus,Cyperus viscidulus,a tussock-forming perennial sedge 0.3-1 m tall.,perennial,perennial,NA,NA,graminoid tussock,sedge tussock,NA,NA,NA,NA,caespitose,tussock,herbaceous,inferred_from_growth_form,"Northern Territory Government 2008, Threatened Plants on the Bradshaw Field Training Area, Final Report on 2007 Survey, prepared by I.D. Cowie and B.M. Stuckey, Department Natural Resources, Environment and the Arts."
Cyperus,Cyperus javanicus,"perennials, grey-green, to 1 m tall, producing tillers.",perennial,perennials,NA,NA,herb graminoid,inferred_from_life_history,NA,NA,NA,NA,NA,NA,herbaceous,NA,"Cowie, I.D., Short, P.S., and Osterkamp Madsen, M., 2011, Floodplain Flora: A flora of the coastal floodplains of the Northern Territory, Australia. Northern Territory Herbarium, Department of Natural Resources, Environment, the Arts and Sport, pp 246-248."
Cyperus,Cyperus oxycarpus,"a robust, erect, perennial, tussock-forming sedge to 1.2 m tall.",perennial,perennial,NA,NA,graminoid tussock,sedge tussock,NA,NA,NA,NA,erect caespitose,erect tussock,herbaceous,inferred_from_growth_form,"Southern Region Checklist, 2007. and  Northern Territory Government 2008, Threatened Plants on the Bradshaw Field Training Area, Final Report on 2007 Survey, prepared by I.D. Cowie and B.M. Stuckey, Department Natural Resources, Environment and the Arts."
Cyperus,Cyperus sphacelatus,"perennial sedge, root rhizomatous.",perennial,perennial,NA,NA,graminoid,sedge,NA,NA,NA,NA,rhizomatous,rhizomatous,herbaceous,inferred_from_growth_form,NA
Cyperus,Cyperus aquatilis,"annuals, lax, to 50 cm tall.",annual,annuals,NA,NA,herb graminoid,inferred_from_life_history,NA,NA,NA,NA,NA,NA,herbaceous,NA,"Cowie, I.D., Short, P.S., and Osterkamp Madsen, M., 2011, Floodplain Flora: A flora of the coastal floodplains of the Northern Territory, Australia. Northern Territory Herbarium, Department of Natural Resources, Environment, the Arts and Sport, pp 234-235."
Cyperus,Cyperus macrostachyos,"annuals to 1.4 m tall, usually smaller.",annual,annuals,NA,NA,herb graminoid,inferred_from_life_history,NA,NA,NA,NA,NA,NA,herbaceous,NA,"Cowie, I.D., Short, P.S., and Osterkamp Madsen, M., 2011, Floodplain Flora: A flora of the coastal floodplains of the Northern Territory, Australia. Northern Territory Herbarium, Department of Natural Resources, Environment, the Arts and Sport, pp 247, 249."
Cyperus,Cyperus compressus,annuals.,annual,annuals,NA,NA,herb graminoid,inferred_from_life_history,NA,NA,NA,NA,NA,NA,herbaceous,NA,"Cowie, I.D., Short, P.S., and Osterkamp Madsen, M., 2011, Floodplain Flora: A flora of the coastal floodplains of the Northern Territory, Australia. Northern Territory Herbarium, Department of Natural Resources, Environment, the Arts and Sport, pp 2440245."
Cyperus,Cyperus unioloides,an erect perennial sedge to 1 m tall.,perennial,perennial,NA,NA,graminoid,sedge,NA,NA,NA,NA,erect,erect,herbaceous,inferred_from_growth_form,"Northern Territory Government 2008, Threatened Plants on the Bradshaw Field Training Area, Final Report on 2007 Survey, prepared by I.D. Cowie and B.M. Stuckey, Department Natural Resources, Environment and the Arts."
Cyperus,Cyperus iria,annuals.,annual,annuals,NA,NA,herb graminoid,inferred_from_life_history,NA,NA,NA,NA,NA,NA,herbaceous,NA,"Cowie, I.D., Short, P.S., and Osterkamp Madsen, M., 2011, Floodplain Flora: A flora of the coastal floodplains of the Northern Territory, Australia. Northern Territory Herbarium, Department of Natural Resources, Environment, the Arts and Sport, pp 246-247."
Cyrtophyllum,Cyrtophyllum fragrans,"tree, bark deep fissured.",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Dalbergia,Dalbergia,evergreen vines or trees with smooth bark.,NA,NA,NA,NA,tree climber_herbaceous,trees vines,NA,NA,NA,NA,NA,NA,woody herbaceous,NA,NA
Dalbergia,Dalbergia candenatensis,a perennial vine;,perennial,perennial,NA,NA,climber_herbaceous,vine,NA,NA,NA,NA,NA,NA,herbaceous,NA,NA
Dalbergia,Dalbergia sissoo,a tree to 9 m tall;,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Dampiera,Dampiera cinerea,"grey shrub or subshrub to about 80 cm high, often spreading; closely held, pale grey tomentum.",NA,NA,NA,NA,subshrub shrub,subshrub shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,"Flora of Central Australia, 1981"
Dapsilanthus,Dapsilanthus spathaceus,perennial.,perennial,perennial,NA,NA,herb graminoid,inferred_from_life_history,NA,NA,NA,NA,NA,NA,herbaceous,NA,NA
Datura,Datura,annual or shortlivedperennial herbs.,annual short_lived_perennial,annual shortlivedperennial,NA,NA,herb,herbs,NA,NA,NA,NA,NA,NA,herbaceous,NA,NA
Datura,Datura ferox,a stout annual herb to about 1 m high.,annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,NA,NA,herbaceous,NA,NA
Datura,Datura inoxia,annual herb to about 1 m high.,annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,NA,NA,herbaceous,NA,"Flora of Central Australia, 1981"
Datura,Datura leichhardtii,annual herb to about 1 m high.,annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,NA,NA,herbaceous,NA,"Flora of Central Australia, 1981"
Datura,Datura wrightii,annual herb to 1 m or rarely 2 m high.,annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,NA,NA,herbaceous,NA,NA
Daucus,Daucus glochidiatus,erect annual herb to about 30 cm high with a ca scent.,annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,erect,erect,herbaceous,NA,"Flora of Central Australia, 1981; Southern Region Checklist, 2007; Fl. NSW 3:111.; Southern Region Checklist, 2007. Fl. NSW 3:111.; Southern Region Checklist, 2007. Fl. NSW 3:111.; Southern Region Checklist, 2007. Fl. NSW 3:112."
Daucus,Daucus glochidiatus,erect annual herb to about 50 cm high with a ca scent.,annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,erect,erect,herbaceous,NA,"Flora of Central Australia, 1981; Southern Region Checklist, 2007; Fl. NSW 3:111.; Southern Region Checklist, 2007. Fl. NSW 3:111.; Southern Region Checklist, 2007. Fl. NSW 3:111.; Southern Region Checklist, 2007. Fl. NSW 3:112."
Daucus,Daucus glochidiatus,erect or spreading annual herb to about 30 cm high with a ca scent.,annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,erect spreading,erect spreading,herbaceous,NA,"Flora of Central Australia, 1981; Southern Region Checklist, 2007; Fl. NSW 3:111.; Southern Region Checklist, 2007. Fl. NSW 3:111.; Southern Region Checklist, 2007. Fl. NSW 3:111.; Southern Region Checklist, 2007. Fl. NSW 3:112."
Daucus,Daucus glochidiatus,"prostrate, spreading or erect annual herb to about 10 cm high with a ca scent.",annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,erect prostrate spreading,erect prostrate spreading,herbaceous,NA,"Flora of Central Australia, 1981; Southern Region Checklist, 2007; Fl. NSW 3:111.; Southern Region Checklist, 2007. Fl. NSW 3:111.; Southern Region Checklist, 2007. Fl. NSW 3:111.; Southern Region Checklist, 2007. Fl. NSW 3:112."
Daucus,Daucus glochidiatus,erect or spreading annual herb to about 20 cm high with a ca scent.,annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,erect spreading,erect spreading,herbaceous,NA,"Flora of Central Australia, 1981; Southern Region Checklist, 2007; Fl. NSW 3:111.; Southern Region Checklist, 2007. Fl. NSW 3:111.; Southern Region Checklist, 2007. Fl. NSW 3:111.; Southern Region Checklist, 2007. Fl. NSW 3:112."
Daviesia,Daviesia arthropoda,"shrub to 2 m high, often with spiny branch tips.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Flora of Central Australia, 1981"
Daviesia,Daviesia reclinata,a prostrate or semi-erect evergreen shrub to 2 m high; glabrous throughout;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect prostrate,erect prostrate,woody,NA,NA
Decaisnina,Decaisnina signata,glabrous.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Decaschistia,Decaschistia,"shrubs or trees,",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,NA
Decaschistia,Decaschistia byrnesii,multi-stemmed perennial shrub to 1.5 m tall;,perennial,perennial,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Fryxell & Craven 1989; Cowie, I.D., Kerrigan, R.A., Dixon, D.J. & Barker, R.M. (2013). Malvaceae. In Short, P.S. & Cowie, I.D. (eds), Flora of the Darwin Region. (Northern Territory Herbarium, Department of Land Resource Management). Vol. 1, pp. 8-9."
Delonix,Delonix regia,deciduous tree to 10 m;,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Dendrolobium,Dendrolobium,perennial subshrubs or herbs with perennial rootstock and .,perennial,perennial,NA,NA,herb subshrub,herbs subshrubs,NA,NA,NA,NA,NA,NA,herbaceous,NA,NA
Dendrolobium,Dendrolobium stipatum,erect multi-stemmed subshrub to 0.6 m tall.,perennial,inferred_from_genus,NA,NA,subshrub,subshrub,NA,NA,NA,NA,erect,erect,NA,NA,NA
Dendrolobium,Dendrolobium multiflorum,a prostrate herb.,perennial,inferred_from_genus,NA,NA,herb,herb,NA,NA,NA,NA,prostrate,prostrate,herbaceous,NA,NA
Dendrolobium,Dendrolobium polyneurum,erect multi-stemmed shrub to 1 m tall.,perennial,inferred_from_genus,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,NA
Dendromyza,Dendromyza reinwardtiana,"stemparasitic, glabrous, dioecious vine or scrambling shrub.",NA,NA,stem_parasitic,stemparasitic,shrub climber_herbaceous,shrub vine,NA,NA,dioecious,dioecious,NA,NA,woody herbaceous,NA,NA
Dendrophthoe,Dendrophthoe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrophthoe,Dendrophthoe glabrescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrophthoe,Dendrophthoe odontocalyx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denhamia,Denhamia obscura,evergreen small tree to 9 m;,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Denhamia,Denhamia ferdinandi,deciduous tree to 8 m.,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Dentella,Dentella dioeca,herbs.,NA,NA,NA,NA,herb,herbs,NA,NA,NA,NA,NA,NA,herbaceous,NA,"Cowie, I.D., Short, P.S., and Osterkamp Madsen, M., 2011, Floodplain Flora: A flora of the coastal floodplains of the Northern Territory, Australia. Northern Territory Herbarium, Department of Natural Resources, Environment, the Arts and Sport, pp 176-177, 179."
Dentella,Dentella repens,herbs.,NA,NA,NA,NA,herb,herbs,NA,NA,NA,NA,NA,NA,herbaceous,NA,"Cowie, I.D., Short, P.S., and Osterkamp Madsen, M., 2011, Floodplain Flora: A flora of the coastal floodplains of the Northern Territory, Australia. Northern Territory Herbarium, Department of Natural Resources, Environment, the Arts and Sport, pp 177 - 179."
Dentella,Dentella arnhemensis,herbs.,NA,NA,NA,NA,herb,herbs,NA,NA,NA,NA,NA,NA,herbaceous,NA,NA
Derris,Derris trifoliata,"evergreen vine, the old stems brown with pale circular corky lenticels, often rooting adventitiously.",NA,NA,NA,NA,climber_herbaceous,vine,NA,NA,NA,NA,NA,NA,herbaceous,NA,NA
Desmodium,Desmodium heterocarpon,all nt material belongs to heterocarpon (l.) dvar strigosum meeuwen and further information is available under that taxon.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium,Desmodium heterocarpon,"an erect shortlivedperennial shrub to 1.5 m tall, resprouting from the rootstock after fire.",short_lived_perennial,shortlivedperennial,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,NA
Desmodium,Desmodium,annual or perennial shrubs or herbs.,annual perennial,annual perennial,NA,NA,herb shrub,herbs shrubs,NA,NA,NA,NA,NA,NA,woody herbaceous,NA,NA
Desmodium,Desmodium brachypodum,an erect perennial shrub ( ) to 1 m tall.,perennial,perennial,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,NA
Desmodium,Desmodium brownii,an erect annual herb to 60 cm tall.,annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,erect,erect,herbaceous,NA,NA
Desmodium,Desmodium campylocaulon,a prostrate or decumbent stoloniferous herb to 20 cm tall. with perennial rootstock and s.,perennial,perennial,NA,NA,herb,herb,NA,NA,NA,NA,decumbent prostrate stoloniferous,decumbent prostrate stoloniferous,herbaceous,NA,NA
Desmodium,Desmodium filiforme,a prostrate annual (rarely perennial) herb.,annual perennial,annual perennial,NA,NA,herb,herb,NA,NA,NA,NA,prostrate,prostrate,herbaceous,NA,NA
Desmodium,Desmodium flagellare,a prostrate or spreading annual herb.,annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,prostrate spreading,prostrate spreading,herbaceous,NA,NA
Desmodium,Desmodium gangeticum,"an erect shrub to 1.5 m tall, annual or with perennial rootstock and .",annual perennial,annual perennial,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,NA
Desmodium,Desmodium glareosum,"an erect or spreading annual herb to 35 cm tall, often smaller.",annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,erect spreading,erect spreading,herbaceous,NA,NA
Desmodium,Desmodium hannii,a prostrate or spreading annual herb.,annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,prostrate spreading,prostrate spreading,herbaceous,NA,NA
Desmodium,Desmodium muelleri,an erect or spreading annual herb to 40 cm tall.,annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,erect spreading,erect spreading,herbaceous,NA,"Cowie, I.D., Short, P.S., and Osterkamp Madsen, M., 2011, Floodplain Flora: A flora of the coastal floodplains of the Northern Territory, Australia. Northern Territory Herbarium, Department of Natural Resources, Environment, the Arts and Sport, pp 96-97."
Desmodium,Desmodium pullenii,"a spreading annual herb to 30 cm tall, often smaller.",annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,spreading,spreading,herbaceous,NA,NA
Desmodium,Desmodium pycnotrichum,a prostrate annual herb.,annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,prostrate,prostrate,herbaceous,NA,NA
Desmodium,Desmodium scorpiurus,"a prostrate herb, apparently perennial.",perennial,perennial,NA,NA,herb,herb,NA,NA,NA,NA,prostrate,prostrate,herbaceous,NA,NA
Desmodium,Desmodium tortuosum,an erect annual shrub to 1.2 m tall.,annual,annual,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,NA
Desmodium,Desmodium trichostachyum,"a prostrate annual herb, often forming dense mats.",annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,mat-forming prostrate dense,forming dense mats prostrate dense,herbaceous,NA,NA
Desmodium,Desmodium triflorum,prostrate annual herb.,annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,prostrate,prostrate,herbaceous,NA,NA
Desmodium,Desmodium velutinum,an erect annual shrub to 1.5 m tall.,annual,annual,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,NA
Desmodium,Desmodium tiwiense,"a trailing herb with s to 1.5 m long, and perennial rootstock.",perennial,perennial,NA,NA,herb,herb,NA,NA,NA,NA,prostrate,trailing,herbaceous,NA,NA
Desmodium,Desmodium rhytidophyllum,a trailing perennial herb.,perennial,perennial,NA,NA,herb,herb,NA,NA,NA,NA,prostrate,trailing,herbaceous,NA,NA
Desmos,Desmos,"shrubs, scrambling or scandent.",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,climbing,scandent,woody,NA,"Backer C.A. & Bakhuizen van den Brink R.C., Jr. (1963). Annonaceae. Flora of Java. (Gronigen: Noordhoff). Vol. 1, pp. 100–116  Hyland, B.P.M. & Whiffin, T. (1993). Australian Tropical Rain Forest Trees: an Interactive Identification System. (CSIRO Publishing: Melbourne). Vol. 2.  Kessler, P.J.A. (1993). Annonaceae. In Kubitzki, K., Rohwer, J.G. & Bittrich, V. (eds), The Families and Genera of Vascular Plants. (Springer-Verlag: Berlin). Vol. 2, pp. 93–129.  Jessup, L.W. (2007). Annonaceae. In Wilson, A. (ed.), Flora of Australia. (ABRS: Canberra/CSIRO Publishing: Melbourne). Vol. 2, pp. 18–57."
Desmos,Desmos wardianus,scrambling vine or scandent shrub;,NA,NA,NA,NA,shrub climber_herbaceous,shrub vine,NA,NA,NA,NA,climbing,scandent,woody herbaceous,NA,NA
Dicarpidium,Dicarpidium,"shrubs with simple,",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,NA,NA,woody,NA,"Bentham, G. (1863). Sterculiaceae L. Flora australiensis. (Lovell Reeve: London). Vol. 1, pp. 224-267.; Mueller, F.J.H. von (1857). On some new genera of Australian plants, discovered during the progress of the North Australian Exploring Expedition. Mr. Hooker's Journal of Botany and Kew Garden Miscellany 9: 302-310.; Cowie, I.D. (2012). Sterculiaceae. In Short, P.S. & Cowie, I.D. (eds), Flora of the Darwin Region. (Northern Territory Herbarium, Department of Land Resource Management). Vol. 1, pp. 1–44."
Dicarpidium,Dicarpidium monoicum,slender open or spreading shrub to 0.6 m tall.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading open,spreading open,woody,NA,"Cowie, I.D. (2012). Brachychiton. In Short, P.S. & Cowie, I.D. (eds), Flora of the Darwin Region. Sterculiaceae. (Northern Territory Herbarium, Department of Land Resource Management). Vol. 1, pp. 2-9.;Cowie, I.D. & Stuckey, B.M. (2008) Threatened Plants on the Bradshaw Field Training Area, Final Report on 2007 Survey, Northern Territory Government."
Dicarpidium,Dicarpidium sp. Arnhem Land,erect shrub to 2 m tall.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,"Cowie, I.D. (2012). Sterculiaceae. In Short, P.S. & Cowie, I.D. (eds), Flora of the Darwin Region. (Northern Territory Herbarium, Department of Land Resource Management). Vol. 1, pp. 1–44."
Dicarpidium,Dicarpidium sp. Purnululu,spreading shrub to 50 cm tall.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,"Cowie, I.D. (2012). Sterculiaceae. In Short, P.S. & Cowie, I.D. (eds), Flora of the Darwin Region. (Northern Territory Herbarium, Department of Land Resource Management). Vol. 1, pp. 1–44."
Dichanthium,Dichanthium sericeum,"annuals, robust, culms to about 1 m tall,",annual,annuals,NA,NA,herb graminoid,inferred_from_life_history,NA,NA,NA,NA,NA,NA,herbaceous,NA,"Flora of Central Australia, 1981; Cowie, I.D., Short, P.S., and Osterkamp Madsen, M., 2011, Floodplain Flora: A flora of the coastal floodplains of the Northern Territory, Australia. Northern Territory Herbarium, Department of Natural Resources, Environment, the Arts and Sport, p 288-289."
Dichapetalum,Dichapetalum timoriense,"in its juvenile growth form, it is a low perennial shrub c 0.7 m tall, ultimately becoming a vine with twining upper stems.",perennial,perennial,NA,NA,shrub climber_herbaceous,shrub vine,NA,NA,NA,NA,NA,NA,woody herbaceous,NA,"Northern Territory Government 2003, Kakadu Threatened Flora Report: Results of a threatened flora survey, Prepared by Kerrigan R., Department of Infrastructure, Planning and Environment.;Duretto, M.F. (1999). Systematics of Boronia section Valvatae sensu lato (Rutaceae). Muelleria 12: 1-132."
Dichrostachys,Dichrostachys spicata,shrub,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,NA
Dicranopteris,Dicranopteris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Short, P., Dixon, D. and Osterkamp Madsen, M. 2003, A review of ferns and fern allies of the Northern Territory, The Beagle, Records of the Museums and Art Galleries of the Northern Territory, vol. 19, p. 23."
Dicranopteris,Dicranopteris linearis,"a very distinctive fern of permanently wet, deeply shaded areas with long rhizomes, dichotomously branching leaves,",NA,NA,NA,NA,fern,fern,NA,NA,NA,NA,rhizomatous,rhizomes,herbaceous,inferred_from_growth_form,"Flora of Central Australia, 1981; Short, P., Dixon, D. and Osterkamp Madsen, M. 2003, A review of ferns and fern allies of the Northern Territory, The Beagle, Records of the Museums and Art Galleries of the Northern Territory, vol. 19, pp. 21-22."
Dicrastylis,Dicrastylis beveridgei,perennial subshrub to 1 m high with an indumentum of dense branched hairs.,perennial,perennial,NA,NA,subshrub,subshrub,NA,NA,NA,NA,dense,dense,NA,NA,NA
Dicrastylis,Dicrastylis gilesii,perennial subshrub to about 1.5 m high with an indumentum of dense branched hairs.,perennial,perennial,NA,NA,subshrub,subshrub,NA,NA,NA,NA,dense,dense,NA,NA,"Flora of Central Australia, 1981"
Dicrastylis,Dicrastylis lewellinii,compact or spreading perennial subshrub to about 0.5 m high with an indumentum of dense branched hairs.,perennial,perennial,NA,NA,subshrub,subshrub,NA,NA,NA,NA,spreading dense compact,spreading dense compact,NA,NA,"Flora of Central Australia, 1981"
Dillenia,Dillenia,trees or shrubs.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,"Hoogland, R.D. (1952). A revision of the genus Dillenia. Blumea 7: 1–306.  Hyland, B.P.M., Whiffin, T., Christophel, D.C., Gray, B. & Elick, R.W. (2002). Australian Tropical Rainforest Plants. (CDROM). (CSIRO Publishing: Melbourne)."
Dillenia,Dillenia alata,"tree to 20 m tall, trunk to 60 cm diam..",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Dinebra,Dinebra neesii,"annual or perennial tussock grasses,",annual perennial,annual perennial,NA,NA,tussock graminoid,tussock,NA,NA,NA,NA,caespitose,tussock,herbaceous,inferred_from_growth_form,"Cowie, I.D., Short, P.S., and Osterkamp Madsen, M., 2011, Floodplain Flora: A flora of the coastal floodplains of the Northern Territory, Australia. Northern Territory Herbarium, Department of Natural Resources, Environment, the Arts and Sport, pp 306-307."
Dioscorea,Dioscorea bulbifera,perennial with  and a root starchy tuber.,perennial,perennial,NA,NA,herb,inferred_from_life_history,NA,NA,NA,NA,NA,NA,herbaceous,NA,NA
Diospyros,Diospyros,trees or shrubs.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,"Kostermans, A.J.G.H. (1977). Notes on Asiatic, Pacific, and Australian Diospyros. Blumea 23: 449–474.  Kostermans, A.J.G.H. (1981). Ebenaceae. In Dassanayake, M.D. (ed.), A Revised Handbook to the Flora of Ceylon. (Amerind Publishing Co.: New Delhi). Vol. 3, pp. 1–54.  Wheeler, J.R. (1992). Ebenaceae. In Wheeler, J.R. (ed.), Flora of the Kimberley Region. (Department of Conservation & Land Management: Como). pp. 271–273.  Hyland, B.P.M., Whiffin, T., Christophel, D.C., Gray, B. & Elick, R.W. (2002). Australian Tropical Rainforest Plants. (CDROM). (CSIRO Publishing: Melbourne).  Wallnöfer, B. (2004). Ebenaceae. In Kubitzki, K., Rohwer, J.G. & Bittrich, V. (eds), The Families and Genera of Vascular Plants. (Springer-Verlag: Berlin). Vol. 6, pp. 125–130."
Diospyros,Diospyros calycantha,shrub or tree to 15 m.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Diospyros,Diospyros compacta,tree to 11 m;,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Diospyros,Diospyros humilis,shrub or tree to 15 m.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Diospyros,Diospyros littorea,"tree to 15 m, occasionally multi-stemmed;",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Diospyros,Diospyros maritima,tree to 13 m.,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Diospyros,Diospyros rugosula,"shrub or tree to 7 m, rarely seen as a scandent shrub, deciduous.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,climbing,scandent,woody,NA,NA
Diplachne,Diplachne fusca,"annuals or perennials, 60-150 cm tall.",annual perennial,annuals perennials,NA,NA,herb graminoid,inferred_from_life_history,NA,NA,NA,NA,NA,NA,herbaceous,NA,"Flora of Central Australia, 1981; Cowie, I.D., Short, P.S., and Osterkamp Madsen, M., 2011, Floodplain Flora: A flora of the coastal floodplains of the Northern Territory, Australia. Northern Territory Herbarium, Department of Natural Resources, Environment, the Arts and Sport, p 306.; Southern Region Checklist, 2007; Flora of Central Australia, 1981"
