current full name without authority,Endemicity_level,Growth Form,Raunkier_life_form,Height_max (m),Clonality,Photosynthetic pathway,MIN length Leaf (mm),MAX length Leaf (mm),MIN width Leaf (mm),MAX width Leaf (mm),Leaf_type,1_Nutrient_uptake_strategy,1_Dispersal_mode,Fruit_type,Fruit_functional_type,Min_length_fruit(mm),Max_length_fruit(mm),Min_breadth_fruit(mm),Max_breadth_fruit(mm),Width_fruit(mm),Min_length_seed (mm),Seed_mass (g),1_Pollination_syndrome,Sex habit,Shade tolerance,References,regen_strategy,plant_height_unique
Cyperus leiocaulon,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus lucidus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus macrostachyos,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus melanospermus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus metzii,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus microcephalus subsp. microcephalus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus microcephalus subsp. saxicola,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus mirus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus nervulosus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus nutans var. eleusinoides,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus odoratus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus ohwii,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus orgadophilus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus oxycarpus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus paniceus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus pedunculatus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus pedunculosus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus perangustus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus pilosus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus platystylis,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus polystachyos,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus polystachyos var. polystachyos,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus polystachyos var. laxiflorus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus procerus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus prolifer,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus pulchellus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus pumilus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus pygmaeus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus rigidellus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus rotundus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus rubicundus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus sanguinolentus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus scaber,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus scariosus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus serotinus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus sesquiflorus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus sp. (Chester River J.R.Clarkson 2392),NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus sp. (Coleman River J.R.Clarkson 3455),NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus sp. (Eungella NP P.R.Sharpe+ 5052),NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus sp. (Herberton P.R.Sharpe 1449),NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus sp. (Katherine Gorge NP C.Dunlop 4505),NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus sp. (Mission Beach N.Byrnes MB14),NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus sp. (The Boulders J.A.Elsol 818),NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus sphacelatus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus sphaeroideus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus squarrosus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus stoloniferus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus subulatus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus sulcinux,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus tenuiculmis,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus tenuispica,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus tetracarpus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus tetraphyllus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus triceps,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus trinervis,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus tuberosus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus unioloides,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus victoriensis,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus zollingeri,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Eleocharis,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleocharis acutangula,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Eleocharis atropurpurea,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Eleocharis brassii,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Eleocharis cylindrostachys,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Eleocharis dietrichiana,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Eleocharis dulcis,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Eleocharis equisetina,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Eleocharis geniculata,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Eleocharis minuta,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Eleocharis nuda,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Eleocharis ochrostachys,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Eleocharis pallens,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Eleocharis philippinensis,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Eleocharis plana,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Eleocharis retroflexa,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Eleocharis setifolia subsp. setifolia,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Eleocharis sp. (Kapalga Billabong J.A.Taylor JT273),NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Eleocharis sphacelata,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Eleocharis spiralis,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Eleocharis sundaica,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Eleocharis tetraquetra,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Exocarya scleroides,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,andromonoecious,NA,Bruhl 1995/Flora of NSW 1993,NA,NA
Fimbristylis,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fimbristylis acicularis,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis acuminata,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis adjuncta,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis aestivalis,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis aestivalis var. aestivalis,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis aestivalis var. macrostachya,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis bisumbellata,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis blakei,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis caespitosa,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis cinnamometorum,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis clavata,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis complanata,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis corynocarya,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis costiglumis,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis cymosa,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis densa,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis depauperata,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis dichotoma,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis dolera,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis elegans,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis eragrostis,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis ferruginea,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis fimbristyloides,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis furva,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis insignis,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis lanceolata,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis littoralis,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis macrantha,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis microcarya,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis miliacea,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis modesta,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis neilsonii,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis nuda,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis nutans,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis odontocarpa,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis oxystachya,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis pauciflora,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Fimbristylis phaeoleuca,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
