character,unit_in,unit_checked,unit_standard,traitname_short,dataset_id
Amass,umol/kg/s,umol/kg/s,umol/g/s,photosynthetic_rate_per_dry_mass,73
gl N,mg/g,mg/g,mg/g,gl N,73
gl P,mg/g,mg/g,mg/g,gl P,73
growth form,,,,plant_growth_form,73
Ks,kg m-1 s-1 MPa -1,kg m-1 s-1 MPa -1,kg /m /s /Mpa,sapwood_specific_conductivity,73
leaf area,cm2,cm2,mm2,leaf_area,73
leaf mass area,g/m2,g/m2,mm2/mg,leaf_mass_per_area,73
plant height maximum,m,m,m,plant_height_max,73
Rarea,,,,Rarea,73
Rmass,umol/kg/s,umol/kg/s,umol k/g /s,leaf_dark_respiration_per_dry_mass,73
wood density,,g/cm3,mg/mm3,wood_density,73
flowering month begin,,,,flowering_month_start,74
flowering month end,,,,flowering_month_end,74
growth form,,,,plant_growth_form,74
leaf length maximum,mm,mm,mm,leaf_length_max,74
leaf length minimum,mm,mm,mm,leaf_length_min,74
leaf shape,,,,leaf_shape,74
leaf width maximum,mm,mm,mm,leaf_width_max,74
leaf width minimum,mm,mm,mm,leaf_width_min,74
lignotuber,,,,lignotuber,74
longevity,,,,life_history,74
plant height maximum,m,m,m,plant_height_max,74
plant height minimum,m,m,m,plant_height_min,74
seed length maximum,mm,mm,mm,seed_length_max,74
seed length minimum,mm,mm,mm,seed_length_min,74
seed width maximum,mm,mm,mm,seed_width_max,74
seed width minimum,mm,mm,mm,seed_width_min,74
flowering month end,,,,flowering_month_end,75
flowering month start,,,,flowering_month_start,75
growth form,,,,plant_growth_form,75
leaf length maximum,mm,mm,mm,leaf_length_max,75
leaf length minimum,mm,mm,mm,leaf_length_min,75
leaf shape,,,,leaf_shape,75
leaf width maximum,mm,mm,mm,leaf_width_max,75
leaf width minimum,mm,mm,mm,leaf_width_min,75
longevity,,,,life_history,75
plant height maximum,m,m,m,plant_height_max,75
plant height minimum,m,m,m,plant_height_min,75
seed length maximum,mm,mm,mm,seed_length_max,75
seed length minimum,mm,mm,mm,seed_length_min,75
seed width maximum,mm,mm,mm,seed_width_max,75
seed with minimum,mm,mm,mm,seed_width_min,75
flowering month end,,,,flowering_month_end,76
flowering month start,,,,flowering_month_start,76
growth form,,,,plant_growth_form,76
leaf length maximum,mm,mm,mm,leaf_length_max,76
leaf length minimum,mm,mm,mm,leaf_length_min,76
leaf shape,,,,leaf_shape,76
leaf width maximum,mm,mm,mm,leaf_width_max,76
leaf width minimum,mm,mm,mm,leaf_width_min,76
longevity,,,,life_history,76
plant height maximum,m,m,m,plant_height_max,76
plant height minimum,m,m,m,plant_height_min,76
seed length maximum,mm,mm,mm,seed_length_max,76
seed length minimum,mm,mm,mm,seed_length_min,76
flowering month end,,,,flowering_month_end,77
flowering month start,,,,flowering_month_start,77
growth form,,,,plant_growth_form,77
leaf length maximum,mm,mm,mm,leaf_length_max,77
leaf length minimum,mm,mm,mm,leaf_length_min,77
leaf width maximum,mm,mm,mm,leaf_width_max,77
leaf width minimum,mm,mm,mm,leaf_width_min,77
longevity,,,,life_history,77
plant height maximum,m,m,m,plant_height_max,77
seed length maximum,mm,mm,mm,seed_length_max,77
seed length minimum,mm,mm,mm,seed_length_min,77
seed width maximum,mm,mm,mm,seed_width_max,77
seed with minimum,mm,mm,mm,seed_width_min,77
flowering month end,,,,flowering_month_end,78
flowering month start,,,,flowering_month_start,78
growth form,,,,plant_growth_form,78
leaf length extreme maximum,mm,mm,mm,leaf_length_max_extreme,78
leaf length extreme minimum,mm,mm,mm,leaf_length_min_extreme,78
leaf length maximum,mm,mm,mm,leaf_length_max,78
leaf length minimum,mm,mm,mm,leaf_length_min,78
leaf width extreme maximum,mm,mm,mm,leaf_width_max_extreme,78
leaf width extreme minimum,mm,mm,mm,leaf_width_min_extreme,78
leaf width maximum,mm,mm,mm,leaf_width_max,78
leaf width minimum,mm,mm,mm,leaf_width_min,78
longevity,,,,life_history,78
plant height extreme maximum,m,m,m,plant_height_max_extreme,78
plant height extreme minimum,m,m,m,plant_height_min_extreme,78
plant height maximum,m,m,m,plant_height_max,78
plant height minimum,m,m,m,plant_height_min,78
flowering month end,,,,flowering_month_end,79
flowering month start,,,,flowering_month_start,79
growth form,,,,plant_growth_form,79
leaf length extreme maximum,mm,mm,mm,leaf_length_max_extreme,79
leaf length extreme minimum,mm,mm,mm,leaf_length_min_extreme,79
leaf length maximum,mm,mm,mm,leaf_length_max,79
leaf length minimum,mm,mm,mm,leaf_length_min,79
leaf width extreme maximum,mm,mm,mm,leaf_width_max_extreme,79
leaf width extreme minimum,mm,mm,mm,leaf_width_min_extreme,79
leaf width maximum,mm,mm,mm,leaf_width_max,79
leaf width minimum,mm,mm,mm,leaf_width_min,79
longevity,,,,life_history,79
plant height extreme maximum,m,m,m,plant_height_max_extreme,79
plant height maximum,m,m,m,plant_height_max,79
plant height minimum,m,m,m,plant_height_min,79
seed length maximum,mm,mm,mm,seed_length_max,79
seed length minimum,mm,mm,mm,seed_length_min,79
flowering month end,,,,flowering_month_end,80
flowering month start,,,,flowering_month_start,80
growth form,,,,plant_growth_form,80
leaf length maximum,mm,mm,mm,leaf_length_max,80
leaf length minimum,mm,mm,mm,leaf_length_min,80
leaf width maximum,mm,mm,mm,leaf_width_max,80
leaf width minimum,mm,mm,mm,leaf_width_min,80
longevity,,,,life_history,80
plant height maximum,,m,m,plant_height_max,80
plant height minimum,m,m,m,plant_height_min,80
flowering month end,,,,flowering_month_end,81
flowering month start,,,,flowering_month_start,81
growth form,,,,plant_growth_form,81
leaf length maximum,mm,mm,mm,leaf_length_max,81
leaf length minimum,mm,mm,mm,leaf_length_min,81
leaf width maximum,mm,mm,mm,leaf_width_max,81
leaf width minimum,mm,mm,mm,leaf_width_min,81
longevity,,,,life_history,81
plant height maximum,m,m,m,plant_height_max,81
plant height minimum,m,m,m,plant_height_min,81
seed length maximum,mm,mm,mm,seed_length_max,81
seed length minimum,mm,mm,mm,seed_length_min,81
seed width maximum,mm,mm,mm,seed_width_max,81
seed width minimum,mm,mm,mm,seed_width_min,81
flowering month end,,,,flowering_month_end,82
flowering month start,,,,flowering_month_start,82
growth form,,,,plant_growth_form,82
leaf length maximum,mm,mm,mm,leaf_length_max,82
leaf length minimum,mm,mm,mm,leaf_length_min,82
leaf width maximum,mm,mm,mm,leaf_width_max,82
leaf width minimum,mm,mm,mm,leaf_width_min,82
longevity,,,,life_history,82
plant height maximum,m,m,m,plant_height_max,82
plant height minimum,m,m,m,plant_height_min,82
seed length maximum,mm,mm,mm,seed_length_max,82
seed length minimum,mm,mm,mm,seed_length_min,82
seed width maximum,mm,mm,mm,seed_width_max,82
seed width minimum,mm,mm,mm,seed_width_min,82
flowering month end,,,,flowering_month_end,83
flowering month start,,,,flowering_month_start,83
growth form,,,,plant_growth_form,83
leaf length maximum,mm,mm,mm,leaf_length_max,83
leaf length minimum,mm,mm,mm,leaf_length_min,83
leaf width maximum,mm,mm,mm,leaf_width_max,83
leaf width minimum,mm,mm,mm,leaf_width_min,83
longevity,,,,life_history,83
plant height maximum,m,m,m,plant_height_max,83
plant height minimum,m,m,m,plant_height_min,83
seed length maximum,mm,mm,mm,seed_length_max,83
seed length minimum,mm,mm,mm,seed_length_min,83
seed width maximum,mm,mm,mm,seed_width_max,83
seed width minimum,mm,mm,mm,seed_width_min,83
flowering month end,,,,flowering_month_end,84
flowering month start,,,,flowering_month_start,84
growth form,,,,plant_growth_form,84
leaf length maximum,mm,mm,mm,leaf_length_max,84
leaf length minimum,mm,mm,mm,leaf_length_min,84
leaf width maximum,mm,mm,mm,leaf_width_max,84
leaf width minimum,mm,mm,mm,leaf_width_min,84
longevity,,,,life_history,84
plant height maximum,m,m,m,plant_height_max,84
plant height minimum,m,m,m,plant_height_min,84
seed breadth maximum,mm,mm,mm,seed_breadth_max,84
seed breadth minimum,mm,mm,mm,seed_breadth_min,84
seed length maximum,mm,mm,mm,seed_length_max,84
seed length minimum,mm,mm,mm,seed_length_min,84
seed width maximum,mm,mm,mm,seed_width_max,84
seed width minimum,mm,mm,mm,seed_width_min,84
flowering month end,,,,flowering_month_end,85
flowering month start,,,,flowering_month_start,85
growth form,,,,plant_growth_form,85
leaf length maximum,mm,mm,mm,leaf_length_max,85
leaf length minimum,mm,mm,mm,leaf_length_min,85
leaf width maximum,mm,mm,mm,leaf_width_max,85
leaf width minimum,mm,mm,mm,leaf_width_min,85
longevity,,,,life_history,85
plant height maximum,m,m,m,plant_height_max,85
plant height minimum,m,m,m,plant_height_min,85
seed length maximum,mm,mm,mm,seed_length_max,85
seed length minimum,mm,mm,mm,seed_length_min,85
seed width maximum,mm,mm,mm,seed_width_max,85
seed width minimum,mm,mm,mm,seed_width_min,85
flowering month end,,,,flowering_month_end,86
flowering month start,,,,flowering_month_start,86
growth form,,,,plant_growth_form,86
leaf length maximum,mm,mm,mm,leaf_length_max,86
leaf length minimum,mm,mm,mm,leaf_length_min,86
leaf width maximum,mm,mm,mm,leaf_width_max,86
leaf width minimum,mm,mm,mm,leaf_width_min,86
longevity,,,,life_history,86
plant height maximum,m,m,m,plant_height_max,86
plant height minimum,m,m,m,plant_height_min,86
seed breadth maximum,mm,mm,mm,seed_breadth_max,86
seed breadth minimum,mm,mm,mm,seed_breadth_min,86
seed length maximum,mm,mm,mm,seed_length_max,86
seed length minimum,mm,mm,mm,seed_length_min,86
seed width maximum,mm,mm,mm,seed_width_max,86
seed width minimum,mm,mm,mm,seed_width_min,86
flowering month end,,,,flowering_month_end,87
flowering month start,,,,flowering_month_start,87
growth form,,,,plant_growth_form,87
leaf length maximum,mm,mm,mm,leaf_length_max,87
leaf length minimum,mm,mm,mm,leaf_length_min,87
leaf width maximum,mm,mm,mm,leaf_width_max,87
leaf width minimum,mm,mm,mm,leaf_width_min,87
longevity,,,,life_history,87
plant height maximum,m,m,m,plant_height_max,87
plant height minimum,m,m,m,plant_height_min,87
seed breadth maximum,mm,mm,mm,seed_breadth_max,87
seed breadth minimum,mm,mm,mm,seed_breadth_min,87
seed length maximum,mm,mm,mm,seed_length_max,87
seed length minimum,mm,mm,mm,seed_length_min,87
seed width maximum,,mm,mm,seed_width_max,87
seed width minimum,mm,mm,mm,seed_width_min,87
growth form,mm,,,plant_growth_form,88
leaf length extreme maximum,mm,mm,mm,leaf_length_max_extreme,88
leaf length extreme minimum,mm,mm,mm,leaf_length_min_extreme,88
leaf length maximum,,mm,mm,leaf_length_max,88
leaf length minimum,mm,mm,mm,leaf_length_min,88
leaf type,mm,,,leaf_type,88
leaf width extreme maximum,mm,mm,mm,leaf_width_max_extreme,88
leaf width extreme minimum,mm,mm,mm,leaf_width_min_extreme,88
leaf width maximum,,mm,mm,leaf_width_max,88
leaf width minimum,m,mm,mm,leaf_width_min,88
longevity,m,,,life_history,88
plant height extreme maximum,m,m,m,plant_height_max_extreme,88
plant height extreme minimum,,m,m,plant_height_min_extreme,88
plant height maximum,,m,m,plant_height_max,88
plant height minimum,,m,m,plant_height_min,88
flowering month end,mm,,,flowering_month_end,89
flowering month start,mm,,,flowering_month_start,89
growth form,mm,,,plant_growth_form,89
leaf length extreme maximum,mm,mm,mm,leaf_length_max_extreme,89
leaf length extreme minimum,,mm,mm,leaf_length_min_extreme,89
leaf length maximum,m,mm,mm,leaf_length_max,89
leaf length minimum,m,mm,mm,leaf_length_min,89
leaf width extreme maximum,,mm,mm,leaf_width_max_extreme,89
leaf width extreme minimum,,mm,mm,leaf_width_min_extreme,89
leaf width maximum,,mm,mm,leaf_width_max,89
leaf width minimum,mm,mm,mm,leaf_width_min,89
longevity,mm,,,life_history,89
plant height extreme maximum,mm,m,m,plant_height_max_extreme,89
plant height extreme minimum,mm,m,m,plant_height_min_extreme,89
plant height maximum,,m,m,plant_height_max,89
plant height minimum,m,m,m,plant_height_min,89
flowering month end,mm,,,flowering_month_end,90
flowering month start,mm,,,flowering_month_start,90
growth form,mm,,,plant_growth_form,90
leaf length maximum,mm,mm,mm,leaf_length_max,90
leaf length minimum,mm,mm,mm,leaf_length_min,90
leaf width maximum,mm,mm,mm,leaf_width_max,90
leaf width minimum,,mm,mm,leaf_width_min,90
longevity,,,,life_history,90
plant height maximum,,m,m,plant_height_max,90
plant height minimum,mm,m,m,plant_height_min,90
seed breadth maximum,mm,mm,mm,seed_breadth_max,90
seed breadth minimum,mm,mm,mm,seed_breadth_min,90
seed length maximum,mm,mm,mm,seed_length_max,90
seed length minimum,,mm,mm,seed_length_min,90
seed width maximum,mm,mm,mm,seed_width_max,90
seed width minimum,mm,mm,mm,seed_width_min,90
flowering month end,mm,,,flowering_month_end,91
flowering month start,mm,,,flowering_month_start,91
growth form,,,,plant_growth_form,91
leaf length extreme maximum,m,mm,mm,leaf_length_max_extreme,91
leaf length extreme minimum,m,mm,mm,leaf_length_min_extreme,91
leaf length maximum,mm,mm,mm,leaf_length_max,91
leaf length minimum,mm,mm,mm,leaf_length_min,91
leaf shape,mm,,,leaf_shape,91
leaf width extreme maximum,mm,mm,mm,leaf_width_max_extreme,91
leaf width extreme minimum,mm,mm,mm,leaf_width_min_extreme,91
leaf width maximum,mm,mm,mm,leaf_width_max,91
leaf width minimum,,mm,mm,leaf_width_min,91
longevity,,,,life_history,91
plant height maximum,,m,m,plant_height_max,91
plant height minimum,cm,m,m,plant_height_min,91
seed breadth maximum,mm,mm,mm,seed_breadth_max,91
seed breadth minimum,,mm,mm,seed_breadth_min,91
seed length maximum,cm,mm,mm,seed_length_max,91
seed length minimum,mm,mm,mm,seed_length_min,91
seed width maximum,,mm,mm,seed_width_max,91
seed width minimum,,mm,mm,seed_width_min,91
dispersal,mm,,,dispersal_syndrome,92
flowering time end,cm,,,flowering_month_end,92
flowering time start,mm,,,flowering_month_start,92
leaf length maximum,cm,cm,mm,leaf_length_max,92
leaf length maximum,,mm,mm,leaf_length_max,92
leaf length maximum,,,mm,leaf_length_max,92
leaf length minimum,m,cm,mm,leaf_length_min,92
leaf length minimum,cm,mm,mm,leaf_length_min,92
leaf type,m,,,leaf_compoundness,92
leaf width maximum,cm,cm,mm,leaf_width_max,92
leaf width maximum,mm,mm,mm,leaf_width_max,92
leaf width minimum,mm,cm,mm,leaf_width_min,92
leaf width minimum,mm,mm,mm,leaf_width_min,92
lifeform,,,,plant_growth_form,92
longevity,mm,,,leaf_phenology,92
plant height maximum,,m,m,plant_height_max,92
plant height minimum,mm,m,m,plant_height_min,92
seed breadth maximum,mm,mm,mm,seed_breadth_max,92
seed breadth minimum,,mm,mm,seed_breadth_min,92
seed length maximum,,mm,mm,seed_length_max,92
seed length minimum,,mm,mm,seed_length_min,92
seed shape,cm,,,seed_shape,92
seed width maximum,mm,mm,mm,seed_width_max,92
seed width minimum,m,mm,mm,seed_width_min,92
dispersal,,,,dispersal_syndrome,93
flowering time end,cm,,,flowering_month_end,93
flowering time start,mm,,,flowering_month_start,93
leaf length maximum,m,cm,mm,leaf_length_max,93
leaf length maximum,,m,mm,leaf_length_max,93
leaf length maximum,cm,mm,mm,leaf_length_max,93
leaf length minimum,mm,cm,mm,leaf_length_min,93
leaf length minimum,,m,mm,leaf_length_min,93
leaf length minimum,cm,mm,mm,leaf_length_min,93
leaf type,mm,,,leaf_compoundness,93
leaf width maximum,,cm,mm,leaf_width_max,93
leaf width maximum,,mm,mm,leaf_width_max,93
leaf width minimum,,cm,mm,leaf_width_min,93
leaf width minimum,m,mm,mm,leaf_width_min,93
lifeform,cm,,,plant_growth_form,93
longevity,mm,,,leaf_phenology,93
plant height maximum,,cm,m,plant_height_max,93
plant height maximum,m,m,m,plant_height_max,93
plant height maximum,cm,mm,m,plant_height_max,93
plant height minimum,,cm,m,plant_height_min,93
plant height minimum,mm,m,m,plant_height_min,93
seed breadth maximum,cm,cm,mm,seed_breadth_max,93
seed breadth maximum,mm,mm,mm,seed_breadth_max,93
seed breadth minimum,cm,cm,mm,seed_breadth_min,93
seed breadth minimum,mm,mm,mm,seed_breadth_min,93
seed length maximum,,cm,mm,seed_length_max,93
seed length maximum,cm,mm,mm,seed_length_max,93
seed length minimum,mm,cm,mm,seed_length_min,93
seed length minimum,cm,mm,mm,seed_length_min,93
seed shape,,,,seed_shape,93
seed width maximum,mm,mm,mm,seed_width_max,93
seed width maximum,cm,cm,mm,seed_width_max,94
seed width maximum,,mm,mm,seed_width_max,93
seed width minimum,mm,cm,mm,seed_width_min,93
seed width minimum,cm,mm,mm,seed_width_min,93
dispersal mechanism,,,,dispersal_syndrome,94
flowering month end,,,,flowering_month_end,94
flowering month start,,,,flowering_month_start,94
fruit diameter,mm,mm,mm,fruit_diameter,94
fruit length,mm,mm,mm,fruit_length,94
fruit type (botany),,,,fruit_type_botany,94
fruit type (function),,,,fruit_type_function,94
fruit type (specific),,,,fruit_type,94
seed diameter,mm,mm,mm,seed_diameter,94
seed length,mm,mm,mm,seed_length,94
dispersal mechanism,,,,dispersal_syndrome,95
fruit type (function),,,,fruit_type_function,95
15N,,,leaf_delta15N,per mille,110
branch mass fraction,,,,branch_mass_fraction,115
C mass,,%,mg/g,leaf_C_per_dry_mass,96
d13C,,,leaf_delta13C,per mille,110
diaspore weight,,mg,mg,diaspore_mass,107
DM/FM,,g g-1,g/g,leaf_dry_matter_content,116
dry matter content,,%,g/g,leaf_dry_matter_content,106
dry seed mass,,mg,mg,seed_mass,106
extreme max height,,m,m,plant_height_max_extreme,112
extreme min height,,m,m,plant_height_min_extreme,112
flowering finish,,,,flowering_month_end,112
flowering start,,,,flowering_month_start,112
growth form,,,,plant_growth_form,105
growth form,,,,plant_growth_form,107
growth form,,,,plant_growth_form,108
growth form,,,,plant_growth_form,110
growth form,,,,plant_growth_form,112
growth form,,,,plant_growth_form,116
leaf area,,cm2,mm2,leaf_area,96
leaf area,,mm2,mm2,leaf_area,107
leaf area,,mm2,mm2,leaf_area,115
leaf area,,mm2,mm2,leaf_area,117
leaf area,,mm2,mm2,leaf_area,118
leaf lifespan,,month,month,leaf_lifespan,106
leaf longevity,,,,leaf_phenology,110
leaf longevity,,,,leaf_phenology,111
leaf longevity,,,,leaf_phenology,112
leaf longevity,,,,leaf_phenology,116
leaf mass area,,g m-2,mm2/mg,specific_leaf_area,96
leaf mass area,,g m-2,mm2/mg,specific_leaf_area,105
leaf mass area,,g m-2,mm2/mg,specific_leaf_area,106
leaf mass area,,mg mm-2,mm2/mg,specific_leaf_area,115
leaf mass area,,g m-2,mm2/mg,specific_leaf_area,116
leaf mass area,,mm2 mg-1,mm2/mg,specific_leaf_area,117
leaf N,,mg g-1,mg/g,leaf_N_per_dry_mass,115
leaf P per area,,mg P m-2,g/m2,leaf_P_per_area,106
leaf type,,,,leaf_type,105
leaf type,,,,leaf_type,112
leaf type,,,,leaf_type,116
LL,,mo,month,leaf_lifespan,116
longevity,,,,leaf_phenology,105
longevity,,,,life_history,107
max height,,m,m,plant_height_max,112
min height,,m,m,plant_height_min,112
N area,,g m-2,g/m2,leaf_N_per_area,96
N area,,g m-2,g/m2,leaf_N_per_area,105
N area,,g m-2,g/m2,leaf_N_per_area,110
N area,,g m-2,g/m2,leaf_N_per_area,116
N fixer,,,,nitrogen_fixing,96
N fixer,,,,nitrogen_fixing,105
N fixer,,,,nitrogen_fixing,110
N fixer,,,,nitrogen_fixing,111
N fixer,,,,nitrogen_fixing,116
N mass,,%,mg/g,leaf_N_per_dry_mass,96
N mass,,%,mg/g,leaf_N_per_dry_mass,105
N mass,,%,mg/g,leaf_N_per_dry_mass,110
N mass,,%,mg/g,leaf_N_per_dry_mass,111
N mass,,%,mg/g,leaf_N_per_dry_mass,116
N mass,,%,mg/g,leaf_N_per_dry_mass,117
P area,,g m-2,g/m2,leaf_P_per_area,96
P area,,g m-2,g/m2,leaf_P_per_area,105
P mass,,%,g/m2,leaf_P_per_area,96
P mass,,%,g/m2,leaf_P_per_area,105
photosynthetic pathway,,,,photosynthetic pathway,105
photosynthetic pathway,,,,photosynthetic pathway,111
photosynthetic pathway,,,,photosynthetic pathway,116
plant height,,cm,m,plant_height,107
plant height,,m,m,plant_height,113
plant height,,m,m,plant_height,117
plant longevity,,,,life_history,112
regeneration strategy,,,,regen_strategy,117
seed mass,,mg,mg,seed_mass,107
seed mass,,mg,mg,seed_mass,115
seed mass,,mg,mg,seed_mass,117
seed P concentration,,mg g-1,mg/g,seed_P_concentration,106
specific leaf area,,cm2 g-1,mm2/mg,specific_leaf_area,105
specific leaf area,,mm2 g-1,mm2/mg,specific_leaf_area,109
specific leaf area,,cm2 g-1,mm2/mg,specific_leaf_area,110
specific leaf area,,cm2 g-1,mm2/mg,specific_leaf_area,111
specific leaf area,,cm2 g-1,mm2/mg,specific_leaf_area,116
specific leaf area,,mm2 g-1,mm2/mg,specific_leaf_area,118
stem tissue density,,mg mm-3,mg/mm3,stem_tissue_density,117
stem wood density,,mg mm-3,mg/mm3,wood_density,118
storage organ present,,,,storage_organ_present,107
wood density,,mg mm-3,mg/mm3,wood_density,96
wood density,,mg mm-3,mg/mm3,wood_density,115
