character,unit_in,unit_checked,unit_standard,data_type,conversion,traitname_short,traitname_full,dataset_id
longevity,,,,C,NA,leaf_phenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",50
nitrogen fixer,,,,C,NA,nitrogen_fixing,Plant nitrogen fixation capacity,50
Nmass,?,%,mg/g,N,10,leaf_N_per_dry_mass,Leaf nitrogen (N) content per leaf dry mass,50
photosynthetic pathway,,,,C,NA,photosynthetic_pathway,Photosynthetic pathway,50
Pmass,?,%,mg/g,N,10,leaf_P_per_dry_mass,Leaf phosphorus (P) content per leaf dry mass,50
leaf longevity,,,,C,NA,leaf_phenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",51
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",51
nitrogen fixer,,,,C,NA,nitrogen_fixing,Plant nitrogen fixation capacity,51
Nmass,,%,mg/g,N,10,leaf_N_per_dry_mass,Leaf nitrogen (N) content per leaf dry mass,51
photosynthetic pathway,,,,C,NA,photosynthetic_pathway,Photosynthetic pathway,51
plant height maximum,cm,cm,m,N,0.01,plant_height_max,Plant height maximum,51
seed mass,mg,mg,mg,N,1,seed_mass,Seed dry mass,51
specific leaf area,cm2/g,cm2/g,mm2/mg,N,0.1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",51
Carea,?,g/m2,g/m2,N,1,leaf_C_per_area,Leaf carbon (C) content per leaf area,52
Cmass,?,mg/g,mg/g,N,1,leaf_C_per_dry_mass,Leaf carbon (C) content per dry mass,52
compound_l,,,,C,NA,leaf_compoundness,Leaf compoundness,52
evergreen,,,,C,NA,leaf_phenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",52
latitude,,,,NA,NA,NA,NA,52
leaf area,?,mm2,mm2,N,1,leaf_area,Leaf area,52
longitude,,,,NA,NA,NA,NA,52
Narea,?,g/m2,g/m2,N,1,leaf_N_per_area,Leaf nitrogen (N) content per leaf area,52
nitrogen fixer,,,,C,NA,nitrogen_fixing,Plant nitrogen fixation capacity,52
Nmass,?,mg /g,mg/g,N,1,leaf_N_per_dry_mass,Leaf nitrogen (N) content per leaf dry mass,52
Parea,?,g / m2,g/m2,N,1,leaf_P_per_area,Leaf phosphorus (P) content per leaf area,52
photosynth,,,,NA,NA,NA,NA,52
plant height,m,m,m,N,1,plant_height,Plant height,52
Pmass,?,mg /g,mg/g,N,1,leaf_P_per_dry_mass,Leaf phosphorus (P) content per leaf dry mass,52
seed mass,?,mg,mg,N,1,seed_mass,Seed dry mass,52
specific leaf area,mm2/mg,mm2/mg,mm2/mg,N,1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",52
woodiness,,,,C,NA,woodiness,Woodiness,52
seed_mass,mg,mg,mg,N,1,seed_mass,Seed dry mass,53
flowering time,,,,C,NA,flowering_time,Plant reproductive phenology timing (flowering),54
habit,,,,C,NA,growth_habit,Growth habit (data actually describes plant vegetative reproduction capacity),54
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,54
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,54
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,54
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,54
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",54
photosynthetic pathway,,,,C,NA,photosynthetic_pathway,Photosynthetic pathway,54
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,54
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,54
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),54
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),54
seed mass,mg,mg,mg,N,1,seed_mass,Seed dry mass,54
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,55
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,55
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,55
leaf shape,,,,C,NA,leaf_shape,Leaf shape,55
leaf type,,,,C,NA,leaf_type,"Leaf type (broadleaf, needle, article)",55
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,55
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,55
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",55
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,55
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,55
flowering time,,,,C,NA,flowering_time,Plant reproductive phenology timing (flowering),56
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,56
leaf length maximum,cm,cm,mm,N,10,leaf_length_max,Leaf length maximum,56
leaf length minimum,cm,cm,mm,N,10,leaf_length_min,Leaf length minimum,56
leaf longevity,,,,C,NA,leaf_phenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",56
leaf shape,,,,C,NA,leaf_shape,Leaf shape,56
leaf type,,,,C,NA,leaf_type,"Leaf type (broadleaf, needle, article)",56
leaf width maximum,cm,cm,mm,N,10,leaf_width_max,Leaf width maximum,56
leaf width minimum,cm,cm,mm,N,10,leaf_width_min,Leaf width minimum,56
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",56
plant height,m,m,m,N,1,plant_height,Plant height,56
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,56
seed breadth,mm,mm,mm,N,1,seed_breadth,Seed breadth,56
seed length,mm,mm,mm,N,1,seed_length,Seed length,56
seed shape,,,,C,NA,seed_shape,Seed shape,56
seed width,mm,mm,mm,N,1,seed_width,Seed width,56
dispersal mechanism,,,,C,NA,dispersal_syndrome,Dispersal syndrome,57
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,57
LDMC,mg/g,mg/g,g/g,N,0.001,leaf_dry_matter_content,Leaf dry mass per leaf fresh mass,57
LDMC,%,%,g/g,N,0.01,leaf_dry_matter_content,Leaf dry mass per leaf fresh mass,57
leaf area,mm2,mm2,mm2,N,1,leaf_area,Leaf area,57
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",57
plant height,cm,cm,m,N,0.01,plant_height,Plant height,57
seed mass,mg,mg,mg,N,1,seed_mass,Seed dry mass,57
specific leaf area,mg/mm2,mg/mm2,mm2/mg,N,1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",57
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,58
leaf length extreme maximum,mm,mm,mm,N,1,leaf_length_max_extreme,Leaf length extreme maximum,58
leaf length extreme minimum,mm,mm,mm,N,1,leaf_length_min_extreme,Leaf length extreme minimum,58
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,58
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,58
leaf shape,,,,C,NA,leaf_shape,Leaf shape,58
leaf type,,,,C,NA,leaf_type,"Leaf type (broadleaf, needle, article)",58
leaf width extreme maximum,mm,mm,mm,N,1,leaf_width_max_extreme,Leaf width extreme maximum,58
leaf width extreme minimum,mm,mm,mm,N,1,leaf_width_min_extreme,Leaf width extreme minimum,58
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,58
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,58
plant height extreme maximum,m,m,m,N,1,plant_height_max_extreme,Plant height maximum extreme,58
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,58
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,58
seed breadth maximum,mm,mm,mm,N,1,seed_breadth_max,Seed breadth maximum,58
seed breadth minimum,mm,mm,mm,N,1,seed_breadth_min,Seed breadth min,58
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),58
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),58
seed shape,,,,C,NA,seed_shape,Seed shape,58
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,58
seed width minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,58
"wood density, oven dry mass/fresh volume",g/cm3,g/cm3,mg/mm3,N,1,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",59
dispersal mechanism,,,,C,NA,dispersal_syndrome,Dispersal syndrome,60
flowering time,,,,C,NA,flowering_time,Plant reproductive phenology timing (flowering),60
fruiting time,,,,C,NA,fruiting_time,Plant reproductive phenology timing (fruiting),60
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,60
leaf length,mm,mm,mm,N,1,leaf_length,Leaf length,60
leaf longevity,,,,C,NA,leaf_phenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",60
leaf shape,,,,C,NA,leaf_shape,Leaf shape,60
leaf type,,,,C,NA,leaf_type,"Leaf type (broadleaf, needle, article)",60
leaf width,mm,mm,mm,N,1,leaf_width,Leaf width,60
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",60
plant height,m,m,m,N,1,plant_height,Plant height,60
seed breadth,mm,mm,mm,N,1,seed_breadth,Seed breadth,60
seed length,mm,mm,mm,N,1,seed_length,Seed length,60
seed shape,,,,C,NA,seed_shape,Seed shape,60
seed width,mm,mm,mm,N,1,seed_width,Seed width,60
Aarea,?,umolCO2/m2/s,umol/m2/s,N,1,photosynthetic_rate_per_area,Leaf photosynthesis rate per leaf area,61
Amass,umol/kg/s,umol/kg/s,umol/g/s,N,1,photosynthetic_rate_per_dry_mass,Leaf photosynthesis rate per leaf dry mass,61
bark thickness (bark/whole stem),,,mm,N,1,bark_thickness,Bark thickness,61
d13C,?,unknown,per mille,N,1,leaf_delta13C,Leaf carbon (C) isotope signature (delta 13C),61
E,mmol/m2/s,mmol/m2/s,mmol/m2/s,N,1,leaf_elasticModulus,Leaf elastic modulus,61
Kl,10^4 x kg m-1 s-1 MPa -1,10^4 x kg m-1 s-1 MPa -1,10^4xkg/m/s/Mpa,N,1,leaf_specific_conductivity,Leaf area-specific conductivity / leaf specific conductivity,61
Ksap,kg m-1 s-1 MPa -1,kg m-1 s-1 MPa -1,kg/m/s/Mpa,N,1,sapwood_specific_conductivity,Sapwood specific conductivity / stem specific conductivity,61
LA/SA,m2/m2,m2/m2,m2/m2,N,1,leafArea_per_sapwood_area,Leaf area per sapwood area,61
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,61
leaf mass area,g/m2,g/m2,mm2/mg,N,1,leaf_mass_per_area,Leaf dry mass per area,61
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,61
PSImd,MPa,MPa,,NA,NA,NA,NA,61
PSIpd,Mpa,Mpa,,NA,NA,NA,NA,61
Rarea,?,mmol CO2 m-2 s-1,mmol/m2/s,N,1,leaf_dark_respiration_per_area,Leaf respiration rate per leaf area,61
Rmass,umol/kg/s,umol/kg/s,umol k/g /s,N,1,leaf_dark_respiration_per_dry_mass,Leaf respiration rate per leaf dry mass,61
SA,mm,mm,mm2,N,1,stem_cross_section_area,Stem cross-sectional area,61
wood density (Kasia),?,g / cm3,mg/mm3,N,1,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",61
wood density (Sean),?,g / cm3,mg/mm3,N,1,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",61
WUE,mmol CO2/mol H2O/m2/s,mmol CO2/mol H2O/m2/s,,NA,NA,water_use_efficiency,Water use efficiency,61
d13C,?,unknown,per mille,N,1,leaf_delta13C,Leaf carbon (C) isotope signature (delta 13C),62
d15N,?,unknown,per mille,N,1,leaf_delta15N,Leaf nitrogen (C) isotope signature (delta 15N),62
leaf carbon,%,%,mg/g,N,10,leaf_C_per_dry_mass,Leaf carbon (C) content per leaf dry mass,62
leaf nitrogen,?,mg /g,mg/g,N,1,leaf_N_per_dry_mass,Leaf nitrogen (N) content per leaf dry mass,62
leaf phosphorous,?,ug / g,mg/g,N,0.001,leaf_P_per_dry_mass,Leaf phosphorus (P) content per leaf dry mass,62
Aarea,?,umol/m2/s,umol/m2/s,N,1,photosynthetic_rate_per_area,Leaf photosynthesis rate per leaf area,63
Amass,?,nmol g-1 s-1,umol/g/s,N,0.001,photosynthetic_rate_per_dry_mass,Leaf photosynthesis rate per leaf dry mass,63
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,63
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,63
leaf chlorophyll,umol/g,umol/g,umol /g,N,1,leaf_chlorophyll_per_dry_mass,Leaf chlorophyll content per leaf dry mass,63
leaf longevity,,,,C,NA,leaf_phenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",63
leaf longevity,month,month,month,N,1,leaf_lifespan,Leaf lifespan (longevity),63
leaf thickness,mm,mm,mm,N,1,leaf_thickness,Leaf thickness,63
leaf type,,,,C,NA,leaf_type,"Leaf type (broadleaf, needle, article)",63
Narea,?,g/m2,g/m2,N,1,leaf_N_per_area,Leaf nitrogen (N) content per leaf area,63
nitrogen fixer,,,,C,NA,nitrogen_fixing,Plant nitrogen fixation capacity,63
Nmass,?,%,mg/g,N,10,leaf_N_per_dry_mass,Leaf nitrogen (N) content per leaf dry mass,63
Parea,?,g / m2,g/m2,N,1,leaf_P_per_area,Leaf phosphorus (P) content per leaf area,63
photosynthetic pathway,,,,C,NA,photosynthetic_pathway,Photosynthetic pathway,63
Pmass,?,%,mg/g,N,10,leaf_P_per_dry_mass,Leaf phosphorus (P) content per leaf dry mass,63
specific leaf area,cm2/g,cm2/g,mm2/mg,N,0.1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",63
water content (saturated),gH2O/gDW,gH2O/gDW,gH2O/gDW,N,1,leaf_water_content_per_mass,Leaf water content per mass,63
water content?,%,%,%,N,1,leaf_water_content_per_mass,Leaf water content per mass,63
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,64
leaf mass area,mg/cm2,mg/cm2,mm2/mg,N,10,leaf_mass_per_area,Leaf dry mass per area,64
leaf mass area standard error,mg/cm2,mg/cm2,mm2/mg,N,10,leaf_mass_per_area_SE,Leaf dry mass per area standard error,64
Aarea,umol/m2/s,umol/m2/s,umol/m2/s,N,1,photosynthetic_rate_per_area,Leaf photosynthesis rate per leaf area,65
Amass,nmol/g/s,nmol/g/s,umol/g/s,N,0.001,photosynthetic_rate_per_dry_mass,Leaf photosynthesis rate per leaf dry mass,65
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,65
leaf longevity,,,,C,NA,leaf_phenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",65
leaf type,,,,C,NA,leaf_type,"Leaf type (broadleaf, needle, article)",65
Narea,g/m2,g/m2,g/m2,N,1,leaf_N_per_area,Leaf nitrogen (N) content per leaf area,65
nitrogen fixer,,,,C,NA,nitrogen_fixing,Plant nitrogen fixation capacity,65
Nmass,%,%,mg/g,N,10,leaf_N_per_dry_mass,Leaf nitrogen (N) content per leaf dry mass,65
photosynthetic pathway,,,,C,NA,photosynthetic_pathway,Photosynthetic pathway,65
specific leaf area,cm2/g,cm2/g,mm2/mg,N,0.1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",65
Aarea,umol/m2/s,umol/m2/s,umol/m2/s,N,1,photosynthetic_rate_per_area,Leaf photosynthesis rate per leaf area,66
Amass,nmol/g/s,nmol/g/s,umol/g/s,N,0.001,photosynthetic_rate_per_dry_mass,Leaf photosynthesis rate per leaf dry mass,66
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,66
leaf area,,cm2,mm2,N,100,leaf_area,Leaf area,66
leaf form,,,,C,NA,leaf_compoundness,LeafCompoundness,66
leaf longevity,,,,C,NA,leaf_phenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",66
longevity,,,,C,NA,leaf_phenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",66
Narea,g/m2,g/m2,g/m2,N,1,leaf_N_per_area,Leaf nitrogen (N) content per leaf area,66
nitrogen fixer,,,,C,NA,nitrogen_fixing,Plant nitrogen fixation capacity,66
Nmass,%,%,mg/g,N,10,leaf_N_per_dry_mass,Leaf nitrogen (N) content per leaf dry mass,66
photosynthetic pathway,,,,C,NA,photosynthetic_pathway,Photosynthetic pathway,66
Rdarea,?,mmol CO2 m-2 s-1,umol/m2/s,N,1000,leaf_dark_respiration_per_area,Leaf respiration rate per leaf area,66
Rdmass,?,mmol CO2 g-1 s-1,mmol/g /s,N,1,leaf_dark_respiration_per_dry_mass,Leaf respiration rate per leaf dry mass,66
specific leaf area,cm2/g,cm2/g,mm2/mg,N,0.1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",66
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,67
leaf area,mm2,mm2,mm2,N,1,leaf_area,Leaf area,67
leaf type,,,,C,NA,leaf_type,"Leaf type (broadleaf, needle, article)",67
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,67
specific leaf area,cm2/g,cm2/g,mm2/mg,N,0.1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",67
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,68
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,68
leaf longevity,,,,C,NA,leaf_phenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",68
leaf shape,,,,C,NA,leaf_shape,Leaf shape,68
leaf type,,,,C,NA,leaf_type,"Leaf type (broadleaf, needle, article)",68
leaflet area,cm2,cm2,mm2,N,100,leaf_area,leaf_area,68
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",68
nitrogen fixer,,,,C,NA,nitrogen_fixing,Plant nitrogen fixation capacity,68
photosynthetic pathway,,,,C,NA,photosynthetic_pathway,Photosynthetic pathway,68
woodiness,,,,C,NA,woodiness,Woodiness,68
A,nmol/g/s,nmol/g/s,umol/g/s,N,0.001,photosynthetic_rate_per_dry_mass,Leaf photosynthesis rate per leaf dry mass,69
nitrogen?,%,%,mg/g,N,10,leaf_N_per_dry_mass,Leaf nitrogen (N) content per leaf dry mass,69
specific leaf area,m2/kg,m2/kg,mm2/mg,N,1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",69
leaf area,mm2,mm2,mm2,N,1,leaf_area,Leaf area,70
leaf mass area,?,ug / mm2,mm2/mg,N,1,leaf_mass_per_area,Leaf dry mass per area,70
leaf N,mg/g,mg/g,mg/g,N,1,leaf_N_per_dry_mass,Leaf nitrogen (N) content per leaf dry mass,70
leaf P,mg/g,mg/g,mg/g,N,1,leaf_P_per_dry_mass,Leaf phosphorus (P) content per leaf dry mass,70
leaf thickness,mm,mm,mm,N,1,leaf_thickness,Leaf thickness,70
specific leaf area,?,cm2/g,mm2/mg,N,0.1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",70
leaf N,%,%,mg/g,N,10,leaf_N_per_dry_mass,Leaf nitrogen (N) content per leaf dry mass,71
specific leaf area,cm2/g,cm2/g,mm2/mg,N,0.1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",71
altitude,m,m,m,N,1,altitude,,72
easting,m,m,m,N,1,easting,,72
foliage height,cm,cm,m,N,0.01,plant_height,Plant height,72
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,72
LDMC,mg/g-1,mg/g-1,g/g,N,0.001,leaf_dry_matter_content,Leaf dry mass per leaf fresh mass,72
leaf area,mm2,mm2,mm2,N,1,leaf_area,Leaf area,72
northing,m,m,m,N,1,northing,,72
seed mass (mean),mg,mg,mg,N,1,seed_mass,Seed dry mass,72
specific leaf area,mm2/mg-1,mm2/mg-1,mm2/mg,N,1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",72
Aarea,?,?,umol/m2/s,N,1,photosynthetic_rate_per_area,Photosynthetic rate per area,73
Amass,umol/kg/s,umol/kg/s,umol/g/s,N,1,photosynthetic_rate_per_dry_mass,Leaf photosynthesis rate per leaf dry mass,73
gl N,mg/g,mg/g,mg/g,N,1,gl N,,73
gl P,mg/g,mg/g,mg/g,N,1,gl P,,73
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,73
Ks,kg m-1 s-1 MPa -1,kg m-1 s-1 MPa -1,kg /m /s /Mpa,N,1,sapwood_specific_conductivity,Sapwood specific conductivity / stem specific conductivity,73
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,73
leaf mass area,g/m2,g/m2,mm2/mg,N,1,leaf_mass_per_area,Leaf dry mass per area,73
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,73
Rarea,,,,N,NA,Rarea,,73
Rmass,umol/kg/s,umol/kg/s,umol k/g /s,N,1,leaf_dark_respiration_per_dry_mass,Leaf respiration rate per leaf dry mass,73
wood density,,g/cm3,mg/mm3,N,1,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",73
flowering month begin,,,,C,NA,flowering_month_start,Flowering month start,74
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,74
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,74
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,74
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,74
leaf shape,,,,C,NA,leaf_shape,Leaf shape,74
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,74
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,74
lignotuber,,,,C,NA,lignotuber,Lignotuber,74
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",74
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,74
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,74
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),74
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),74
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,74
seed width minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,74
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,75
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,75
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,75
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,75
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,75
leaf shape,,,,C,NA,leaf_shape,Leaf shape,75
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,75
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,75
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",75
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,75
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,75
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),75
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),75
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,75
seed with minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,75
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,76
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,76
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,76
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,76
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,76
leaf shape,,,,C,NA,leaf_shape,Leaf shape,76
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,76
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,76
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",76
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,76
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,76
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),76
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),76
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,77
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,77
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,77
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,77
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,77
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,77
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,77
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",77
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,77
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),77
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),77
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,77
seed with minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,77
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,78
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,78
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,78
leaf length extreme maximum,mm,mm,mm,N,1,leaf_length_max_extreme,Leaf length extreme maximum,78
leaf length extreme minimum,mm,mm,mm,N,1,leaf_length_min_extreme,Leaf length extreme minimum,78
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,78
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,78
leaf width extreme maximum,mm,mm,mm,N,1,leaf_width_max_extreme,Leaf width extreme maximum,78
leaf width extreme minimum,mm,mm,mm,N,1,leaf_width_min_extreme,Leaf width extreme minimum,78
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,78
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,78
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",78
plant height extreme maximum,m,m,m,N,1,plant_height_max_extreme,Plant height maximum extreme,78
plant height extreme minimum,m,m,m,N,1,plant_height_min_extreme,Plant height minimum extreme,78
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,78
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,78
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,79
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,79
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,79
leaf length extreme maximum,mm,mm,mm,N,1,leaf_length_max_extreme,Leaf length extreme maximum,79
leaf length extreme minimum,mm,mm,mm,N,1,leaf_length_min_extreme,Leaf length extreme minimum,79
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,79
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,79
leaf width extreme maximum,mm,mm,mm,N,1,leaf_width_max_extreme,Leaf width extreme maximum,79
leaf width extreme minimum,mm,mm,mm,N,1,leaf_width_min_extreme,Leaf width extreme minimum,79
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,79
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,79
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",79
plant height extreme maximum,m,m,m,N,1,plant_height_max_extreme,Plant height maximum extreme,79
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,79
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,79
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),79
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),79
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,80
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,80
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,80
