dataset_id,dataset_num,metadata_id,primary_source_id,source_access,compiled_for,data_contributor,contributor_institution_2016,year_collected,primary_data_collector,data_collector_institution_2016,primary_lab_leader_when_collected,primary_lab_leader_institution,data_description,collection_type,sample_age_class,original_file,need_further_checking,notes
dataset_054,54,82,79,URL: http://www.kew.org/data/grasses-db.html,AUSTRAITS,Rachael Gallagher,Macquarie University Sydney,2014,Kew Botanic Gardens,Kew Botanic Gardens,NA,NA,grass trait data from various sources,unknown,adult,poaceae_GrassBase.xls,,
dataset_054,54,83,80,NA,Colin Osbourne research ,Rachael Gallagher,Macquarie University Sydney,2014,Colin Osbourne,University of Sheffield,Colin Osbourne,University of Sheffield,grass trait data from various sources,unknown,adult,poaceae_GrassBase.xls,,
dataset_054,54,84,13,URL: http://plantnet.rbgsyd.nsw.gov.au/search/simple.htm,AUSTRAITS,Rachael Gallagher,Macquarie University Sydney,2014,National Herbarium of NSW,National Herbarium of NSW,NA,NA,grass trait data from various sources,herbarium specimens,adult,poaceae_GrassBase.xls,,
dataset_055,55,85,81,ISBN: 10: 0 642 56816 2 ,AUSTRAITS,Rachael Gallagher,Macquarie University Sydney,2014,"Judith Wheeler, Neville Marchant, Margaret Lewington",unknown,NA,NA,traits of the flora of South west of Western Australia,unknown,adult_assumed,flora of the SW.xls,,
dataset_056,56,86,82,ISBN: 9781877069246 ,AUSTRAITS,Rachael Gallagher,Macquarie University Sydney,2014,John Brock,unknown,NA,NA,traits of NT flora from John Brocks book Flora of Northern Australia,field_assumed,adult_assumed,flora Northern Aust.xls,,
dataset_057,57,87,83,NA,Grassy Woodland Trait Database,Rachael Gallagher,Macquarie University Sydney,2011,John Morgan,Latrobe University,John Morgan,Latrobe University,John Morgan Grassy woodland trait database,field_assumed,adult_assumed,2014  updated plant functional trait database.xls,,
dataset_057,57,88,84,NA,Woodlands of western Victoria trait database,Rachael Gallagher,Macquarie University Sydney,2011,Erika Cross,Charles Sturt University,Ian Lunt,Charles Sturt University,Erika Cross Woodlands of western Victoria trait data,field_assumed,adult_assumed,2014  updated plant functional trait database.xls,,
dataset_057,57,89,85,NA,Andrew Scott Honours Project,Rachael Gallagher,Macquarie University Sydney,2010,Andrew John Scott,Latrobe University,John Morgan,Latrobe University,Andrew John Scott 2010 data via John Morgan ,field_assumed,adult_assumed,2014  updated plant functional trait database.xls,,
dataset_057,57,90,86,NA,John Morgan 2011 Trait Database Campaign,Rachael Gallagher,Macquarie University Sydney,2011,John Morgan,Latrobe University,John Morgan,Latrobe University,John Morgan Grassy woodland trait database,field_assumed,adult_assumed,2014  updated plant functional trait database.xls,,
dataset_057,57,91,87,NA,Tara Angevin Honours project,Rachael Gallagher,Macquarie University Sydney,2010,Tara Angevin,Latrobe University,John Morgan,Latrobe University,Tara Trait database via John Morgan,field_assumed,adult_assumed,2014  updated plant functional trait database.xls,,
dataset_057,57,92,88,NA,10.1007/s11258-010-9806-x,Rachael Gallagher,Macquarie University Sydney,2007,Amber Briggs,unknown,John Morgan,Latrobe University,Amber Briggs 2007 via John Morgan Terrick Terrick NP,field_assumed,adult_assumed,2014  updated plant functional trait database.xls,,
dataset_057,57,93,89,NA,Bryan Roberts project,Rachael Gallagher,Macquarie University Sydney,2006,Bryan Roberts,unknown,John Morgan,Latrobe University,Bryan Roberts 2006 data via John Morgan,field_assumed,adult_assumed,2014  updated plant functional trait database.xls,,
dataset_057,57,94,90,NA,various Morgan and Lunt projects 1990-2012,Rachael Gallagher,Macquarie University Sydney,1990-2012,Ian Lunt,Charles Sturt University,Ian Lunt,Charles Sturt University,"Lunt, Morgan, Scarlett, Salmon, Angevin trait data 1990s-2012 via John Morgan",field_assumed,adult_assumed,2014  updated plant functional trait database.xls,,
dataset_057,57,95,91,NA,"Venn, Angevin, Pickering projects ",Rachael Gallagher,Macquarie University Sydney,,Susanna Venn,Latrobe University,Catherine Pickering,Griffith University,"Venn, Angevin, Pickering projects via John Morgan",field_assumed,adult_assumed,2014  updated plant functional trait database.xls,,
dataset_057,57,96,92,NA,John Morgan unnamed trait campaign,Rachael Gallagher,Macquarie University Sydney,unknown,John Morgan,Latrobe University,John Morgan,Latrobe University,trait data from John Morgan not specifically associated with a campaign in 2014  updated plant functional trait database.xls,field_assumed,adult_assumed,2014  updated plant functional trait database.xls,,
dataset_058,58,97,93,ISBN: 9781877058165,AUSTRAITS,Rachael Gallagher,Macquarie University Sydney,2007,Robert Chinnock,State Herbarium of South Australia,NA,NA,transposed from taxonomic descriptions in Eremophila and Allied Genera by RJ Chinnock,herbarium_specimens_assumed ,adult_assumed,eremophila.xls,,
dataset_060,60,98,94,URL: http://demo1.tmag.tas.gov.au/treatments/family_accounts.html,AUSTRAITS,Rachael Gallagher,Macquarie University Sydney,2009,Marco Duretto,Tasmanian Herbarium,NA,NA,transposed from taxonomic descriptions in the Flora of Tasmania accessed online http://demo1.tmag.tas.gov.au/treatments/family_accounts.html,herbarium_specimens_assumed ,adult_assumed,TAS_flora.xls,,
dataset_061,61,99,95,NA,10.1111/j.1365-2435.2012.01962.x,Rachael Gallagher,Macquarie University Sydney,2011,Sean Gleason,USDA,Mark Westoby,Macquarie University,field campaigns of Sean Gleason in eastern Australia,field,adult,"Gleason Trait Data, 25-8-2011.xls",,
dataset_062,62,100,96,NA,10.1111/j.1365-2745.2012.01962.x,Rachael Gallagher,Macquarie University Sydney,2010,Etienne Laliberte,Université de Montréal,Hans Lambers,University of Western Australia,field campaigns of Hans Lambers and Etienne Laliberte in western Australia,field,adult,jurienleafnut.xls,,
dataset_063,63,101,97,NA,10.1046/j.1365-2435.2003.00761.x,Ian Wright,Macquarie University Sydney,2003,Lynda Prior,University of Tasmania,David Bowman,University of Tasmania,field campaigns of Lynda Prior in NT via Ian Wright,field,adult,Prior compiled.xls,,
dataset_064,64,102,98,NA,10.1046/j.1095-8312.2002.00091.x,Ian Wright,Macquarie University Sydney,2002,Paula Peters,unknown,NA,NA,field campaigns of Paula Peters for herbivory study via Ian Wright,field,adult,peeters02.xls,,
dataset_065,65,103,99,NA,10.1093/treephys/19.10.665,Ian Wright,Macquarie University Sydney,1997,Derek Eamus,University of Technology Sydney,unknown,unknown,field campaigns of Derek Eamus via Ian Wright,field,adult,eamus1.xls,,
dataset_066,66,104,70,NA,10.1093/treephys/18.8-9.537,Ian Wright,Macquarie University Sydney,1997,Derek Eamus,University of Technology Sydney,unknown,unknown,field campaigns of Derek Eamus via Ian Wright,field,adult,eamus2.xls,,
dataset_069,69,106,101,NA,Northern Australian Transect Study,Ian Wright,Macquarie University Sydney,unknown,Marcus Schortemeyer,unknown,unknown,unknown,data from Marcus Schortemeyer Northern Australian transect study,field,adult,Schortemeyer NATT data.xls,,
dataset_070,70,107,102,NA,10.1046/j.1365-2435.2002.00631.x,Ian Wright,Macquarie University Sydney,2002,Byron Lamont,Curtin University,Byron Lamont,Curtin University,Hakea and Banksia data from Western Uastralia from Byron Lamont ,field,adult,Lamont hakea-protea data(updated).xls,,
dataset_071,71,108,103,Paper: 10.1016/S0006-3207(02)00245-8,10.1016/S0006-3207(02)00245-8,Rachael Gallagher,Macquarie University Sydney,1999,Anna Richards,CSIRO,Susanne Schmidt,University of Queensland,Rainforest traitd ata from Anna Richards,field,adult,Richards_2003.pdf,,
dataset_072,72,109,104,NA,10.1007/s11258-011-9923-1,Rachael Gallagher,Macquarie University Sydney,2003-2008,Susanna Venn,Latrobe University,NA,NA,data for traits from alpine zone from Susanna Venn,field,adult,AusTraits database_SV.xls,,
dataset_073,73,110,105,Paper: 10.1093/aob/mcu131,10.1093/aob/mcu131,Rachael Gallagher,Macquarie University Sydney,2011,Chris Blackman,Western Sydney University,Mark Westoby,Macquarie University,hydraulic traits data from Chris Blackman and Sean Gleason at Fowlers Gap,field,adult,trait data for Rach.xls,,
dataset_074,74,111,106,"Paper: Rye, B. L. (2015). A revision of the south-western Australian genus Babingtonia (Myrtaceae: Chamelaucieae). Nuytsia 25: 219-250.","Rye, B. L. (2015). A revision of the south-western Australian genus Babingtonia (Myrtaceae: Chamelaucieae). Nuytsia 25: 219-250.",Rachael Gallagher,Macquarie University Sydney,2015,Barbara Rye,Western Australian Herbarium,NA,NA,"transposed from Rye, B. L. (2015). A revision of the south-western Australian genus Babingtonia (Myrtaceae: Chamelaucieae). Nuytsia 25: 219-250.",herbarium specimens,adult_assumed,Rye_2013_Astartea.pdf,,
dataset_075,75,112,107,"Paper: Trudgeon, M. E., & Rye, B. L. (2005). Astus, a new Western Australian genus of Myrtaceae with heterocarpidic fruits. Nuytsia 15: 495-512.","Trudgeon, M. E., & Rye, B. L. (2005). Astus, a new Western Australian genus of Myrtaceae with heterocarpidic fruits. Nuytsia 15: 495-512.",Rachael Gallagher,Macquarie University Sydney,2005,Trudgeon; Barbara Rye,Western Australian Herbarium,NA,NA,"transposed from Trudgeon, M. E., & Rye, B. L. (2005). Astus, a new Western Australian genus of Myrtaceae with heterocarpidic fruits. Nuytsia 15: 495-512.",herbarium specimens,adult_assumed,Trudgen_2005_Astus.pdf,,
dataset_076,76,113,108,"Paper: Bean, A. R. (1997). A revision of Baeckea (Myrtaceae) in eastern Australia, Malesia and south-east Asia. Telopea, 7(3): 245-268.","Bean, A. R. (1997). A revision of Baeckea (Myrtaceae) in eastern Australia, Malesia and south-east Asia. Telopea, 7(3): 245-268.",Rachael Gallagher,Macquarie University Sydney,1997,Anthony Bean,Queensland Herbarium,NA,NA,"transposed from Bean, A. R. (1997). A revision of Baeckea (Myrtaceae) in eastern Australia, Malesia and south-east Asia. Telopea, 7(3): 245-268.",herbarium specimens,adult_assumed,Bean_1997_Baeckea.pdf,,
dataset_077,77,114,109,Paper: 10.1071/BRU9870001 ,10.1071/BRU9870001 ,Rachael Gallagher,Macquarie University Sydney,1987,Lyn Craven,Australian National Herbarium,NA,NA,transposed from Calytrix revision from Craven 1987,herbarium specimens,adult_assumed,Craven_1987_calytrix.xls,,
