character,unit_in,unit_checked,unit_standard,data_type,conversion,traitname_short,traitname_full,dataset_id,character2,unit2,dataset_id2
seed mass,mg,mg,mg,N,1,seed_mass,Seed dry mass,27,seed mass,mg,27
leaf area,mm2,mm2,mm2,N,1,leaf_area,Leaf area,28,leaf area,mm2,28
leaf type,,,,C,NA,leaf_type,LeafType,28,leaf type,,28
specific leaf area,m2kg,m2kg,mm2 mg-1,N,1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",28,specific leaf area,m2kg,28
stem area,mm,mm,mm2,N,1,stem_crossSectionArea,Stem cross-sectional area,28,stem area,mm,28
stem area no bark,mm,mm,mm2,N,1,stem_crossSectionArea,Stem cross-sectional area,28,stem area no bark,mm,28
stem density,g/m3,g/cm3,mg mm-3,N,1,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",28,stem density,g/m3,28
wood density,g/cm3,g/cm3,mg mm-3,N,1,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",28,wood density,g/cm3,28
aquatic,,,,C,NA,aquatic,Aquatic,29,aquatic,,29
dispersal appendage,,,,C,NA,dispersal_appendage,Dispersal unit appendages,29,dispersal appendage,,29
flowering time,,,,C,NA,flowering_time,Plant reproductive phenology timing (flowering),29,flowering time,,29
fruiting time,,,,C,NA,fruiting_time,Plant reproductive phenology timing (fruiting),29,fruiting time,,29
glacous,,,,C,NA,glaucous,Glaucous,29,glacous,,29
growth form,,,,C,NA,PlantGrowthForm,Plant Growth Form,29,growth form,,29
leaf length (range),mm,mm,mm,N,1,leaf_length_range,Leaf length range,29,leaf length (range),mm,29
leaf longevity,,,,C,NA,LeafPhenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",29,leaf longevity,,29
leaf shape,,,,C,NA,leaf_shape,Leaf shape,29,leaf shape,,29
leaf type,,,,C,NA,leaf_type,LeafType,29,leaf type,,29
leaf width (range),mm,mm,mm,N,1,leaf_width_range,Leaf width range,29,leaf width (range),mm,29
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",29,longevity,,29
maximum height,m,m,m,N,1,plant_height_max,Plant height maximum,29,maximum height,m,29
seed depth (range),mm,mm,mm,N,2,seed_depth_range,Seed depth range,29,seed depth (range),mm,29
