character,unit_in,unit_checked,unit_standard,data_type,conversion,traitname_short,traitname_full,dataset_id,character2,unit2,dataset_id2
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,90,seed length minimum,mm,90
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,90,seed width maximum,mm,90
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,90,seed width minimum,mm,91
leaf width minimum,,mm,mm,N,1,leaf_width_min,Leaf width minimum,90,flowering month end,,91
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",90,flowering month start,,91
plant height maximum,,m,m,N,1,plant_height_max,Plant height maximum,90,growth form,,91
plant height minimum,mm,m,m,N,1,plant_height_min,Plant height minimum,90,leaf length extreme maximum,mm,91
seed breadth maximum,mm,mm,mm,N,1,seed_breadth_max,Seed breadth maximum,90,leaf length extreme minimum,mm,91
seed breadth minimum,mm,mm,mm,N,1,seed_breadth_min,Seed breadth min,90,leaf length maximum,mm,91
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),90,leaf length minimum,mm,91
seed length minimum,,mm,mm,N,1,seed_length_min,Seed length (min),90,leaf shape,,91
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,90,leaf width extreme maximum,mm,91
seed width minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,90,leaf width extreme minimum,mm,91
flowering month end,mm,,,C,NA,flowering_month_end,Flowering month end,91,leaf width maximum,mm,91
flowering month start,mm,,,C,NA,flowering_month_start,Flowering month start,91,leaf width minimum,mm,91
growth form,,,,C,NA,growth_form,Plant Growth Form,91,longevity,,91
leaf length extreme maximum,m,mm,mm,N,1,leaf_length_max_extreme,Leaf length extreme maximum,91,plant height maximum,m,91
leaf length extreme minimum,m,mm,mm,N,1,leaf_length_min_extreme,Leaf length extreme minimum,91,plant height minimum,m,91
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,91,seed breadth maximum,mm,91
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,91,seed breadth minimum,mm,91
leaf shape,mm,,,C,NA,leaf_shape,Leaf shape,91,seed length maximum,mm,91
leaf width extreme maximum,mm,mm,mm,N,1,leaf_width_max_extreme,Leaf width extreme maximum,91,seed length minimum,mm,91
leaf width extreme minimum,mm,mm,mm,N,1,leaf_width_min_extreme,Leaf width extreme minimum,91,seed width maximum,mm,91
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,91,seed width minimum,mm,92
leaf width minimum,,mm,mm,N,1,leaf_width_min,Leaf width minimum,91,dispersal,,92
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",91,flowering time end,,92
plant height maximum,,m,m,N,1,plant_height_max,Plant height maximum,91,flowering time start,,92
plant height minimum,cm,m,m,N,1,plant_height_min,Plant height minimum,91,leaf length maximum,cm,92
seed breadth maximum,mm,mm,mm,N,1,seed_breadth_max,Seed breadth maximum,91,leaf length maximum,mm,92
seed breadth minimum,,mm,mm,N,1,seed_breadth_min,Seed breadth min,91,leaf length maximum,,92
seed length maximum,cm,mm,mm,N,1,seed_length_max,Seed length (max),91,leaf length minimum,cm,92
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),91,leaf length minimum,mm,92
seed width maximum,,mm,mm,N,1,seed_width_max,Seed width maximum,91,leaf length minimum,,92
seed width minimum,,mm,mm,N,1,seed_width_min,Seed width minimum,91,leaf type,,92
dispersal,mm,,,C,NA,dispersal_syndrome,Dispersal syndrome,92,leaf width maximum,mm,92
flowering time end,cm,,,C,NA,flowering_month_end,Flowering month end,92,leaf width maximum,cm,92
flowering time start,mm,,,C,NA,flowering_month_start,Flowering month start,92,leaf width minimum,mm,92
leaf length maximum,cm,cm,mm,N,10,leaf_length_max,Leaf length maximum,92,leaf width minimum,cm,92
leaf length maximum,,mm,mm,N,1,leaf_length_max,Leaf length maximum,92,lifeform,,92
leaf length maximum,,,mm,N,1,leaf_length_max,Leaf length maximum,92,longevity,,92
leaf length minimum,m,cm,mm,N,10,leaf_length_min,Leaf length minimum,92,plant height maximum,m,92
leaf length minimum,cm,mm,mm,N,1,leaf_length_min,Leaf length minimum,92,plant height maximum,cm,92
leaf type,m,,,C,NA,LeafCompoundness,Leaf compoundness,92,plant height minimum,m,92
leaf width maximum,cm,cm,mm,N,10,leaf_width_max,Leaf width maximum,92,plant height minimum,cm,92
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,92,seed breadth maximum,mm,92
leaf width minimum,mm,cm,mm,N,10,leaf_width_min,Leaf width minimum,92,seed breadth minimum,mm,92
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,92,seed length maximum,mm,92
lifeform,,,,C,NA,PlantGrowthForm,Plant growth form,92,seed length maximum,,92
longevity,mm,,,C,NA,LeafPhenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",92,seed length minimum,mm,92
plant height maximum,,m,m,N,1,plant_height_max,Plant height maximum,92,seed shape,,92
plant height minimum,mm,m,m,N,1,plant_height_min,Plant height minimum,92,seed width maximum,mm,92
seed breadth maximum,mm,mm,mm,N,1,seed_breadth_max,Seed breadth maximum,92,seed width minimum,mm,93
seed breadth minimum,,mm,mm,N,1,seed_breadth_min,Seed breadth minimum,92,dispersal,,93
seed length maximum,,mm,mm,N,1,seed_length_max,Seed length maximum,92,flowering time end,,93
seed length minimum,,mm,mm,N,1,seed_length_min,Seed length minimum,92,flowering time start,,93
seed shape,cm,,,C,NA,seed_shape,Seed shape,92,leaf length maximum,cm,93
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,92,leaf length maximum,mm,93
seed width minimum,m,mm,mm,N,1,seed_width_min,Seed width minimum,92,leaf length maximum,m,93
dispersal,,,,C,NA,dispersal_syndrome,Dispersal syndrome,93,leaf length maximum,,93
flowering time end,cm,,,C,NA,flowering_month_end,Flowering month end,93,leaf length minimum,cm,93
flowering time start,mm,,,C,NA,flowering_month_start,Flowering month start,93,leaf length minimum,mm,93
leaf length maximum,m,cm,mm,N,10,leaf_length_max,Leaf length maximum,93,leaf length minimum,m,93
leaf length maximum,,m,mm,N,1000,leaf_length_max,Leaf length maximum,93,leaf type,,93
leaf length maximum,cm,mm,mm,N,1,leaf_length_max,Leaf length maximum,93,leaf width maximum,cm,93
leaf length minimum,mm,cm,mm,N,10,leaf_length_min,Leaf length minimum,93,leaf width maximum,mm,93
leaf length minimum,,m,mm,N,1000,leaf_length_min,Leaf length minimum,93,leaf width maximum,,93
leaf length minimum,cm,mm,mm,N,1,leaf_length_min,Leaf length minimum,93,leaf width minimum,cm,93
leaf type,mm,,,C,NA,LeafCompoundness,Leaf compoundness,93,leaf width minimum,mm,93
leaf width maximum,,cm,mm,N,10,leaf_width_max,Leaf width maximum,93,leaf width minimum,,93
leaf width maximum,,mm,mm,N,1,leaf_width_max,Leaf width maximum,93,lifeform,,93
leaf width minimum,,cm,mm,N,10,leaf_width_min,Leaf width minimum,93,longevity,,93
leaf width minimum,m,mm,mm,N,1,leaf_width_min,Leaf width minimum,93,plant height maximum,m,93
lifeform,cm,,,C,NA,PlantGrowthForm,Plant growth form,93,plant height maximum,cm,93
longevity,mm,,,C,NA,LeafPhenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",93,plant height maximum,mm,93
plant height maximum,,cm,m,N,0.01,plant_height_max,Plant height maximum,93,plant height maximum,,93
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,93,plant height minimum,m,93
plant height maximum,cm,mm,m,N,0.001,plant_height_max,Plant height maximum,93,plant height minimum,cm,93
plant height minimum,,cm,m,N,0.01,plant_height_min,Plant height minimum,93,plant height minimum,,93
plant height minimum,mm,m,m,N,1,plant_height_min,Plant height minimum,93,seed breadth maximum,mm,93
seed breadth maximum,cm,cm,mm,N,10,seed_breadth_max,Seed breadth maximum,93,seed breadth maximum,cm,93
seed breadth maximum,mm,mm,mm,N,1,seed_breadth_max,Seed breadth maximum,93,seed breadth minimum,mm,93
seed breadth minimum,cm,cm,mm,N,10,seed_breadth_min,Seed breadth minimum,93,seed breadth minimum,cm,93
seed breadth minimum,mm,mm,mm,N,1,seed_breadth_min,Seed breadth minimum,93,seed length maximum,mm,93
seed length maximum,,cm,mm,N,10,seed_length_max,Seed length maximum,93,seed length maximum,,93
seed length maximum,cm,mm,mm,N,1,seed_length_max,Seed length maximum,93,seed length maximum,cm,93
seed length minimum,mm,cm,mm,N,10,seed_length_min,Seed length minimum,93,seed length minimum,mm,93
seed length minimum,cm,mm,mm,N,1,seed_length_min,Seed length minimum,93,seed length minimum,cm,93
seed shape,,,,C,NA,seed_shape,Seed shape,93,seed shape,,93
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,93,seed width maximum,mm,93
seed width maximum,cm,cm,mm,N,10,seed_width_max,Seed width maximum,94,seed width maximum,cm,93
seed width maximum,,mm,mm,N,1,seed_width_max,Seed width maximum,93,seed width maximum,,93
seed width minimum,mm,cm,mm,N,10,seed_width_min,Seed width minimum,93,seed width minimum,mm,93
seed width minimum,cm,mm,mm,N,1,seed_width_min,Seed width minimum,93,seed width minimum,cm,94
dispersal mechanism,,,,C,NA,dispersal_syndrome,Dispersal syndrome,94,dispersal mechanism,,94
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,94,flowering month end,,94
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,94,flowering month start,,94
fruit diameter,mm,mm,mm,N,1,fruit_diameter,Fruit diameter,94,fruit diameter,mm,94
fruit length,mm,mm,mm,N,1,fruit_length,Fruit length,94,fruit length,mm,94
fruit type (botany),,,,C,NA,fruit_type_botany,Fruit type (fleshy / dry),94,fruit type (botany),,94
fruit type (function),,,,C,NA,fruit_type_function,Fruit type (fleshy / dry),94,fruit type (function),,94
fruit type (specific),,,,C,NA,fruit_type,Fruit type,94,fruit type (specific),,94
seed diameter,mm,mm,mm,N,1,seed_diameter,seed diameter,94,seed diameter,mm,94
seed length,mm,mm,mm,N,1,seed_length,Seed length,94,seed length,mm,95
dispersal mechanism,,,,C,NA,dispersal_syndrome,Dispersal syndrome,95,dispersal mechanism,NA,95
fruit type (function),,,,C,NA,fruit_type_function,Fruit type (fleshy / dry),95,fruit type (function),NA,
