Individual,Species,Batch,Nutrient Treatment,Grass Treatment,Continent,Climate,Leaf Habit,Mass_g,RMF_g_per_g,SER_mm_per_day,SLA_mm2_per_mg,N_mg_per_g,P_mg_per_g,K_mg_per_g,A_nmol_CO2_per_g_s,gs_mmol_H2O_per_m2_s,PWUE_umol_CO2_per_mmol_H2O
231,Acacia natalitia,3,Nl,G0,Africa,Humid,Deciduous,6.07,0.37,0.24,18.15,26.51,3.83,15.43,NA,NA,NA
232,Acacia natalitia,3,Nl,G0,Africa,Humid,Deciduous,8.66,0.294,0.29,18.51,25.08,1.45,9.43,NA,NA,NA
233,Acacia natalitia,2,Nh,G0,Africa,Humid,Deciduous,59.02,0.354,0.6,16.29,15.84,2.34,9.81,87.18,120.01,1.04
234,Acacia natalitia,2,Nl,G0,Africa,Humid,Deciduous,24.5,0.331,0.48,13.99,14.06,0.94,6.36,128.95,203.13,1.05
235,Acacia natalitia,2,Nh,G0,Africa,Humid,Deciduous,61.88,0.297,0.62,13.46,15.87,2.95,13.63,46.75,55,1.06
236,Acacia natalitia,2,Nh,G0,Africa,Humid,Deciduous,69.19,0.409,0.67,17.69,15.36,1.58,8.02,121.26,141,1.05
237,Acacia natalitia,2,Nl,G0,Africa,Humid,Deciduous,6.87,0.465,0.16,20.97,29.7,2.08,15.72,126.55,176.31,1.03
238,Acacia natalitia,2,Nl,G0,Africa,Humid,Deciduous,8.31,0.535,0.25,20.44,26.07,1.94,11.9,138.6,70.48,1.1
239,Acacia natalitia,2,Nl,G0,Africa,Humid,Deciduous,52.36,0.475,0.51,13.65,11.55,0.83,5.83,75.25,123.75,1.04
240,Acacia natalitia,2,Nl,G0,Africa,Humid,Deciduous,5.98,0.408,0.18,14.96,27.58,2.73,11.53,NA,NA,NA
241,Acacia nigrescens,1,Nh,G1,Africa,Semi-arid,Deciduous,4.32,0.61,NA,20.87,30.42,1.5,18.3,152.59,163.2,1.05
242,Acacia nigrescens,1,Nh,G1,Africa,Semi-arid,Deciduous,2.81,0.413,NA,20.69,33.59,2.06,14.86,259.19,86.8,1.15
243,Acacia nigrescens,1,Nh,G0,Africa,Semi-arid,Deciduous,27.07,0.459,0.45,20.32,30.4,2.46,10.06,148.8,70.77,1.1
244,Acacia nigrescens,1,Nh,G0,Africa,Semi-arid,Deciduous,21.3,0.517,0.35,22.26,33.41,3.37,14.41,306.22,116.31,1.12
245,Acacia nigrescens,1,Nh,G0,Africa,Semi-arid,Deciduous,35.63,0.361,0.46,18.22,29.04,1.96,17.27,107.43,26.7,1.23
246,Acacia nigrescens,1,Nh,G0,Africa,Semi-arid,Deciduous,23.47,0.543,0.27,17.41,33.77,4.59,14.77,231.88,117.02,1.11
247,Acacia nigrescens,1,Nh,G0,Africa,Semi-arid,Deciduous,28.39,0.475,0.48,15.95,36.31,2.12,11.75,240.04,148.73,1.1
248,Acacia nigrescens,1,Nl,G0,Africa,Semi-arid,Deciduous,16.05,0.443,0.26,22.59,NA,NA,NA,165.94,63,1.12
249,Acacia nigrescens,1,Nl,G0,Africa,Semi-arid,Deciduous,4.25,0.333,0.2,18.43,24.79,2.86,9.77,111.55,33,1.19
250,Acacia nigrescens,1,Nl,G0,Africa,Semi-arid,Deciduous,12.44,0.535,0.32,18.31,37.63,1.72,9.56,252.82,122.89,1.11
251,Acacia nigrescens,1,Nl,G0,Africa,Semi-arid,Deciduous,18.24,0.332,0.38,23.56,29.7,1.53,13.02,NA,NA,NA
252,Acacia nigrescens,1,Nl,G0,Africa,Semi-arid,Deciduous,10.18,0.422,0.24,17.26,23.56,2.09,10.57,252.76,171.81,1.09
253,Acacia nigrescens,2,Nh,G0,Africa,Semi-arid,Deciduous,19.55,0.575,0.24,16.06,30.17,2.12,8.35,155.17,86,1.11
254,Acacia nigrescens,2,Nh,G0,Africa,Semi-arid,Deciduous,34.89,0.489,0.38,15.54,29.28,3.21,9.14,86.67,157.69,1.04
255,Acacia nigrescens,2,Nh,G0,Africa,Semi-arid,Deciduous,45.4,0.437,0.32,15.85,28.4,6.09,5.21,64.42,27,1.15
256,Acacia nigrescens,2,Nh,G0,Africa,Semi-arid,Deciduous,37.36,0.415,0.33,18.84,26.99,3.28,10.12,90.23,108.63,1.04
257,Acacia nigrescens,2,Nh,G0,Africa,Semi-arid,Deciduous,53.38,0.389,0.34,19.06,28.12,5.44,11.83,222.23,149.68,1.08
258,Acacia nigrescens,2,Nl,G0,Africa,Semi-arid,Deciduous,8.95,0.541,0.23,14.68,37.83,2.32,6.59,NA,NA,NA
259,Acacia nigrescens,2,Nl,G0,Africa,Semi-arid,Deciduous,8.78,0.599,0.11,10.64,31.48,2.34,5.69,92.17,117.88,1.07
260,Acacia nigrescens,2,Nl,G0,Africa,Semi-arid,Deciduous,8.19,0.584,0.11,9.3,39.9,1,5.68,75.49,96.69,1.08
261,Acacia nigrescens,2,Nl,G0,Africa,Semi-arid,Deciduous,14.67,0.556,0.03,14.7,29.11,2.03,7.01,108.84,139.12,1.05
262,Acacia nigrescens,2,Nl,G0,Africa,Semi-arid,Deciduous,15.67,0.596,0.03,16.67,29.29,3.1,7.15,132.38,248.1,1.03
263,Acacia nigrescens,1,Nh,G1,Africa,Semi-arid,Deciduous,2.25,0.469,NA,22.26,32.88,1.33,19.11,NA,NA,NA
264,Acacia nigrescens,1,Nh,G1,Africa,Semi-arid,Deciduous,2.34,0.214,NA,24.16,31.17,1.92,13.16,214.59,80.11,1.11
265,Acacia nigrescens,1,Nh,G1,Africa,Semi-arid,Deciduous,4.27,0.366,NA,24.22,33.56,1.99,19.81,173.55,38.6,1.19
266,Acacia nigrescens,1,Nl,G1,Africa,Semi-arid,Deciduous,2.55,0.445,NA,21.03,24.94,0.99,10.82,108.66,66.43,1.08
267,Acacia nigrescens,1,Nl,G1,Africa,Semi-arid,Deciduous,1.22,0.521,NA,26.96,32.19,1.56,13.42,97.94,30.42,1.12
268,Acacia nigrescens,1,Nl,G1,Africa,Semi-arid,Deciduous,3.08,0.566,NA,19.4,28.26,0.88,10.85,161.91,62.21,1.14
269,Acacia nigrescens,1,Nl,G1,Africa,Semi-arid,Deciduous,0.8,0.31,NA,30.76,30.96,3.16,15.42,265.3,150.42,1.06
270,Acacia nigrescens,1,Nl,G1,Africa,Semi-arid,Deciduous,3.6,0.422,NA,22.98,30.76,1.68,14.29,199.5,83.27,1.11
271,Acacia nigrescens,2,Nh,G1,Africa,Semi-arid,Deciduous,15.6,0.3,NA,17.85,29.6,1.72,9.07,141.12,134.94,1.06
272,Acacia nigrescens,2,Nh,G1,Africa,Semi-arid,Deciduous,1.52,0.3,NA,37.71,31.98,2.39,13.4,89.6,63.19,1.04
273,Acacia nigrescens,2,Nh,G1,Africa,Semi-arid,Deciduous,1.22,0.22,NA,32,32.54,3.04,15.88,89.45,67.92,1.04
274,Acacia nigrescens,2,Nh,G1,Africa,Semi-arid,Deciduous,1.54,0.238,NA,31.77,26.97,2.05,11.85,26.26,120.29,1.01
275,Acacia nigrescens,2,Nh,G1,Africa,Semi-arid,Deciduous,3.65,0.261,NA,28.87,25.96,1.85,11.69,145.88,122.27,1.04
276,Acacia nigrescens,2,Nl,G1,Africa,Semi-arid,Deciduous,1.6,0.401,NA,24.12,24.64,1.52,10.42,106.21,42.38,1.11
277,Acacia nigrescens,2,Nl,G1,Africa,Semi-arid,Deciduous,1.91,0.325,NA,26.3,25.32,2.32,11.08,56.72,44.62,1.05
278,Acacia nigrescens,2,Nl,G1,Africa,Semi-arid,Deciduous,3.03,0.525,NA,19.2,16.5,1.49,7.49,16.41,270.61,1
279,Acacia nigrescens,2,Nl,G1,Africa,Semi-arid,Deciduous,2.83,0.369,NA,26.45,21.67,1.82,7.88,81.32,56.86,1.05
280,Acacia nigrescens,2,Nl,G1,Africa,Semi-arid,Deciduous,6.56,0.4,NA,20.63,23.6,0.82,7.5,222.97,148.39,1.07
281,Acacia nilotica,1,Nl,G0,Africa,Humid,Deciduous,3.16,0.281,0.22,31.95,35.81,2.13,17.01,73.71,NA,NA
282,Acacia nilotica,1,Nl,G0,Africa,Humid,Deciduous,5.03,0.494,0.19,24.57,35.58,2.09,14.31,214.23,32.24,1.28
283,Acacia nilotica,1,Nl,G0,Africa,Humid,Deciduous,7.01,0.333,0.35,22.17,32.79,1.32,13.24,184.37,50.22,1.17
284,Acacia nilotica,1,Nl,G0,Africa,Humid,Deciduous,5.33,0.288,0.3,24.7,33.7,2.58,13.32,49.36,32.82,1.06
285,Acacia nilotica,1,Nl,G0,Africa,Humid,Deciduous,5.5,0.422,0.23,25.3,33.64,1.67,16.31,295.38,120.83,1.1
289,Acacia nilotica,1,Nh,G0,Africa,Humid,Deciduous,19.09,0.384,0.38,27.8,32.04,1.66,19.02,68.92,21.67,1.12
290,Acacia nilotica,1,Nh,G0,Africa,Humid,Deciduous,18.08,0.431,0.43,26.27,32.12,1.26,16.17,NA,NA,NA
291,Acacia nilotica,1,Nh,G0,Africa,Humid,Deciduous,20.02,0.345,0.42,24.15,31.37,1.17,17.24,200.67,50.22,1.17
292,Acacia nilotica,1,Nh,G0,Africa,Humid,Deciduous,18.93,0.348,0.37,32.3,29.34,1.54,16.36,64.25,32.82,1.06
293,Acacia nilotica,1,Nh,G0,Africa,Humid,Deciduous,14.97,0.262,0.32,33.01,34.42,2.17,16.72,385.12,120.83,1.1
294,Acacia nilotica,1,Nh,G1,Africa,Humid,Deciduous,1.26,0.357,NA,36.34,45.4,2.49,29.28,873.05,151,1.16
295,Acacia nilotica,1,Nh,G1,Africa,Humid,Deciduous,1.62,0.402,NA,27.48,25.75,1.5,16.2,46.42,23.04,1.08
296,Acacia nilotica,1,Nh,G1,Africa,Humid,Deciduous,1.03,0.266,NA,42.02,NA,NA,NA,NA,NA,NA
297,Acacia nilotica,1,Nh,G1,Africa,Humid,Deciduous,0.97,0.251,NA,NA,NA,NA,NA,NA,87.47,1.07
298,Acacia nilotica,1,Nh,G1,Africa,Humid,Deciduous,1.8,0.233,NA,38.18,27.32,1.93,18.54,601.68,224.74,1.07
299,Acacia nilotica,1,Nl,G1,Africa,Humid,Deciduous,1.06,0.402,NA,33.37,28.72,1.41,18.03,NA,730.27,NA
300,Acacia nilotica,1,Nl,G1,Africa,Humid,Deciduous,0.75,0.32,NA,42.51,NA,NA,NA,139.16,51,1.07
301,Acacia nilotica,1,Nl,G1,Africa,Humid,Deciduous,0.84,0.228,NA,35.98,NA,NA,NA,348.83,129.89,1.08
302,Acacia nilotica,1,Nl,G1,Africa,Humid,Deciduous,1.84,0.603,NA,28.23,NA,NA,NA,283.45,93.92,1.11
303,Acacia nilotica,1,Nl,G1,Africa,Humid,Deciduous,1.16,0.307,NA,41.28,NA,NA,NA,542.43,147.59,1.09
304,Acacia nilotica,3,Nh,G1,Africa,Humid,Deciduous,0.98,0.203,NA,NA,NA,NA,NA,NA,NA,NA
305,Acacia nilotica,3,Nh,G1,Africa,Humid,Deciduous,0.96,0.475,NA,NA,NA,NA,NA,NA,NA,NA
306,Acacia nilotica,3,Nh,G1,Africa,Humid,Deciduous,0.8,0.284,NA,NA,NA,NA,NA,NA,NA,NA
307,Acacia nilotica,3,Nh,G1,Africa,Humid,Deciduous,3.88,0.21,NA,NA,28.12,1.25,12,NA,NA,NA
308,Acacia nilotica,3,Nh,G1,Africa,Humid,Deciduous,1.47,0.384,NA,NA,20.21,0.81,15.15,NA,NA,NA
309,Acacia nilotica,3,Nl,G1,Africa,Humid,Deciduous,0.65,0.314,NA,NA,19.25,1.52,9.81,NA,NA,NA
310,Acacia nilotica,3,Nl,G1,Africa,Humid,Deciduous,1.09,0.306,NA,NA,NA,NA,NA,NA,NA,NA
311,Acacia nilotica,3,Nl,G1,Africa,Humid,Deciduous,0.6,0.691,NA,NA,NA,NA,NA,NA,NA,NA
312,Acacia nilotica,3,Nl,G1,Africa,Humid,Deciduous,0.88,0.754,NA,NA,NA,NA,NA,NA,NA,NA
321,Acacia shirleyi,1,Nh,G1,Australia,Semi-arid,Evergreen,0.69,0.114,NA,16.37,21.25,1.64,10.56,138.55,37.53,1.23
322,Acacia shirleyi,1,Nh,G1,Australia,Semi-arid,Evergreen,0.55,0.057,NA,34.96,NA,NA,NA,62.05,53.39,1.03
323,Acacia shirleyi,1,Nh,G0,Australia,Semi-arid,Evergreen,3.05,0.117,0.17,14.51,25.45,2.33,14.15,135.98,149.26,1.06
324,Acacia shirleyi,1,Nh,G0,Australia,Semi-arid,Evergreen,1.97,0.099,0.13,13.47,23.12,2.68,14.74,145.48,87.74,1.12
325,Acacia shirleyi,1,Nh,G0,Australia,Semi-arid,Evergreen,0.76,0.084,0.05,14.44,23.98,5.96,18.95,146.23,146.85,1.07
326,Acacia shirleyi,1,Nh,G0,Australia,Semi-arid,Evergreen,4.72,0.136,0.17,14.57,28.06,2.89,14.84,254.53,191.35,1.09
327,Acacia shirleyi,1,Nh,G0,Australia,Semi-arid,Evergreen,0.7,0.09,0.04,15.41,26.08,7.67,21.25,95.82,109.87,1.06
328,Acacia shirleyi,1,Nl,G0,Australia,Semi-arid,Evergreen,1.7,0.136,0.09,14.53,30.41,3.29,14.69,188.71,138.05,1.09
329,Acacia shirleyi,1,Nl,G0,Australia,Semi-arid,Evergreen,2.85,0.16,0.13,12.16,28.11,1.45,14.62,152,57.06,1.22
330,Acacia shirleyi,1,Nl,G0,Australia,Semi-arid,Evergreen,2.94,0.162,0.14,9.81,18.27,1.2,8.56,72.75,64.05,1.12
331,Acacia shirleyi,1,Nl,G0,Australia,Semi-arid,Evergreen,2.53,0.13,0.11,15.19,25.68,1.58,16.94,218.69,132.99,1.11
332,Acacia shirleyi,1,Nl,G0,Australia,Semi-arid,Evergreen,1.09,0.064,0.1,17.35,26.55,1.72,19.15,137.61,120.46,1.07
333,Acacia shirleyi,2,Nh,G0,Australia,Semi-arid,Evergreen,13.11,0.106,0.2,9.56,26.28,5,11.49,100.76,203.38,1.05
334,Acacia shirleyi,2,Nh,G0,Australia,Semi-arid,Evergreen,10.97,0.08,0.45,12.56,25.72,3.26,12.66,52.35,68.31,1.06
335,Acacia shirleyi,2,Nh,G0,Australia,Semi-arid,Evergreen,38.91,0.238,0.52,9.13,21.4,5.73,12,60.62,76.22,1.09
336,Acacia shirleyi,2,Nh,G0,Australia,Semi-arid,Evergreen,45.56,0.121,0.59,9.54,18.32,5.1,13.3,21.99,49.7,1.05
337,Acacia shirleyi,2,Nh,G0,Australia,Semi-arid,Evergreen,12.36,0.116,0.31,12.93,30.47,3.73,16.88,30.74,NA,NA
338,Acacia shirleyi,2,Nl,G0,Australia,Semi-arid,Evergreen,4.42,0.127,0.13,13.24,32.17,3.07,10.7,65.35,45.88,1.11
339,Acacia shirleyi,2,Nl,G0,Australia,Semi-arid,Evergreen,11.23,0.084,0.23,9.87,21.55,1.62,10.29,108.71,292.02,1.04
341,Acacia shirleyi,2,Nl,G0,Australia,Semi-arid,Evergreen,6.48,0.139,0.22,11.03,29.86,3.41,10.92,22.24,44.78,1.04
342,Acacia shirleyi,2,Nl,G0,Australia,Semi-arid,Evergreen,1.34,0.22,0.06,12.29,23.86,1.78,11.28,21.83,NA,NA
343,Acacia shirleyi,1,Nh,G1,Australia,Semi-arid,Evergreen,0.52,0.174,NA,NA,NA,NA,NA,NA,219.66,1.05
344,Acacia shirleyi,1,Nh,G1,Australia,Semi-arid,Evergreen,0.54,0.05,NA,23.02,NA,NA,NA,NA,NA,NA
345,Acacia shirleyi,1,Nh,G1,Australia,Semi-arid,Evergreen,0.72,0.124,NA,15.1,19.23,1.37,9.03,22.72,34.56,1.04
346,Acacia shirleyi,1,Nl,G1,Australia,Semi-arid,Evergreen,0.76,0.112,NA,15.25,19.2,1.39,8.89,NA,NA,NA
347,Acacia shirleyi,1,Nl,G1,Australia,Semi-arid,Evergreen,0.61,0.147,NA,18.8,21.92,0.81,8.84,NA,NA,NA
348,Acacia shirleyi,1,Nl,G1,Australia,Semi-arid,Evergreen,0.56,0.111,NA,24.06,16.9,1.08,8.88,15.42,36.97,1.02
349,Acacia shirleyi,1,Nl,G1,Australia,Semi-arid,Evergreen,0.56,0.085,NA,20.36,NA,NA,NA,66.54,57.34,1.06
350,Acacia shirleyi,1,Nl,G1,Australia,Semi-arid,Evergreen,0.56,0.19,NA,21.1,NA,NA,NA,NA,NA,NA
351,Acacia shirleyi,2,Nh,G1,Australia,Semi-arid,Evergreen,0.89,0.094,NA,21.55,29.15,1.81,12.98,21.85,54.21,1.02
352,Acacia shirleyi,2,Nh,G1,Australia,Semi-arid,Evergreen,0.95,0.252,NA,13.04,29.27,1.97,9.42,25.38,38.41,1.05
354,Acacia shirleyi,2,Nh,G1,Australia,Semi-arid,Evergreen,0.62,0.058,NA,19.09,28.72,4.82,20.05,1,27.75,1
355,Acacia shirleyi,2,Nh,G1,Australia,Semi-arid,Evergreen,2.81,0.096,NA,10.84,24.48,3.54,7.78,44.78,102,1.04
356,Acacia shirleyi,2,Nl,G1,Australia,Semi-arid,Evergreen,0.56,0.292,NA,6.96,5.78,0.28,3.1,4.1,32.19,1.01
357,Acacia shirleyi,2,Nl,G1,Australia,Semi-arid,Evergreen,0.6,0.15,NA,17.69,15.88,1.11,10.29,1,57.3,1
358,Acacia shirleyi,2,Nl,G1,Australia,Semi-arid,Evergreen,0.58,0.169,NA,14.9,15.56,1.78,8.31,38.81,77.13,1.03
359,Acacia shirleyi,2,Nl,G1,Australia,Semi-arid,Evergreen,0.53,0.361,NA,17.64,13.16,0.47,5.53,NA,NA,NA
360,Acacia shirleyi,2,Nl,G1,Australia,Semi-arid,Evergreen,0.63,0.182,NA,16.31,20.51,1.1,7.29,32.54,120.24,1.02
361,Acacia sieberiana,1,Nl,G0,Africa,Humid,Deciduous,4.66,0.678,0.11,20.47,32.48,1.42,14.23,196.27,5.89,2.95
362,Acacia sieberiana,1,Nl,G0,Africa,Humid,Deciduous,19.35,0.826,0.17,21.52,32.41,0.73,15.81,195.76,109.62,1.08
363,Acacia sieberiana,1,Nl,G0,Africa,Humid,Deciduous,13.86,0.747,0.16,27.24,32.05,0.89,13.72,200.7,139.1,1.05
364,Acacia sieberiana,1,Nl,G0,Africa,Humid,Deciduous,25.83,0.854,0.26,23.98,29,0.73,12.55,NA,NA,NA
365,Acacia sieberiana,1,Nl,G0,Africa,Humid,Deciduous,10.17,0.78,0.15,25.86,31.19,1.1,15.56,350.66,152.58,1.09
366,Acacia sieberiana,2,Nh,G0,Africa,Humid,Deciduous,95.14,0.618,0.66,22.65,24.6,1.63,10.67,148.18,NA,NA
367,Acacia sieberiana,2,Nh,G0,Africa,Humid,Deciduous,36.19,0.268,0.49,30.24,25.37,1.41,12.28,310.19,176.1,1.06
369,Acacia sieberiana,1,Nh,G0,Africa,Humid,Deciduous,25.96,0.701,0.28,20.71,31.01,1.35,23.92,NA,NA,NA
370,Acacia sieberiana,1,Nh,G0,Africa,Humid,Deciduous,23.96,0.796,0.26,22.87,31.52,1.38,19.31,119.05,40.15,1.13
371,Acacia sieberiana,1,Nh,G0,Africa,Humid,Deciduous,33.07,0.816,0.21,22.35,30.69,1.01,15,182.96,65.35,1.13
372,Acacia sieberiana,1,Nh,G0,Africa,Humid,Deciduous,27.49,0.663,0.21,28.32,36.3,1.43,13.05,428.74,152.04,1.1
373,Acacia sieberiana,1,Nh,G0,Africa,Humid,Deciduous,14.05,0.75,0.18,30.16,31.86,1.1,15.25,368.3,156.77,1.08
374,Acacia sieberiana,1,Nh,G1,Africa,Humid,Deciduous,1.16,0.317,NA,37.88,32.82,1.13,26.32,336.47,60.04,1.15
375,Acacia sieberiana,1,Nh,G1,Africa,Humid,Deciduous,2.21,0.684,NA,29.03,34.92,2.62,17.63,194.35,82.73,1.08
376,Acacia sieberiana,1,Nh,G1,Africa,Humid,Deciduous,1.77,0.198,NA,19.87,37.35,1.65,19.12,271.46,30.94,1.46
377,Acacia sieberiana,1,Nh,G1,Africa,Humid,Deciduous,2.05,0.662,NA,31.82,31.44,1.3,22.7,1,1,NA
378,Acacia sieberiana,1,Nh,G1,Africa,Humid,Deciduous,3.7,0.697,NA,24.64,33.26,1.1,23.04,138.19,50.49,1.11
379,Acacia sieberiana,1,Nl,G1,Africa,Humid,Deciduous,5.79,0.47,NA,26.58,40.43,1.79,16.84,346.51,98.14,1.13
380,Acacia sieberiana,1,Nl,G1,Africa,Humid,Deciduous,1.48,0.693,NA,33.05,24.68,0.93,11.4,308.7,94.11,1.1
381,Acacia sieberiana,1,Nl,G1,Africa,Humid,Deciduous,1.1,0.364,NA,31.59,32.74,1.62,15.06,573.62,332.72,1.06
382,Acacia sieberiana,1,Nl,G1,Africa,Humid,Deciduous,4.95,0.754,NA,24.2,28.09,1.1,11.62,33.31,94.45,1.01
383,Acacia sieberiana,1,Nl,G1,Africa,Humid,Deciduous,1.47,0.684,NA,27.26,17.5,0.96,7.57,485.15,307.73,1.06
384,Acacia sieberiana,2,Nh,G1,Africa,Humid,Deciduous,1.98,0.338,NA,35.67,29.91,2.08,16.37,275.62,274,1.03
385,Acacia sieberiana,2,Nh,G1,Africa,Humid,Deciduous,2.67,0.662,NA,26.87,28.67,1.1,10.68,NA,NA,NA
386,Acacia sieberiana,2,Nh,G1,Africa,Humid,Deciduous,22.7,0.473,NA,23.52,30.35,2,12.4,291.55,177.26,1.07
387,Acacia sieberiana,2,Nh,G1,Africa,Humid,Deciduous,0.92,0.22,NA,51.66,44.28,2.84,22.98,242.07,224.34,1.02
388,Acacia sieberiana,2,Nh,G1,Africa,Humid,Deciduous,10.19,0.285,NA,31.67,40.03,4.05,16.25,NA,NA,NA
389,Acacia sieberiana,2,Nl,G1,Africa,Humid,Deciduous,1.76,0.494,NA,31.98,20.37,1.01,6.89,110.47,69.45,1.05
390,Acacia sieberiana,2,Nl,G1,Africa,Humid,Deciduous,0.97,0.537,NA,24.14,15.9,1.38,5.71,10.02,180.37,1
391,Acacia sieberiana,2,Nl,G1,Africa,Humid,Deciduous,0.81,0.497,NA,26.34,14.59,1.53,8.26,107.02,268.53,1.02
392,Acacia sieberiana,2,Nl,G1,Africa,Humid,Deciduous,1.86,0.251,NA,29.7,30.24,2.67,14.3,218.74,335.32,1.02
393,Acacia sieberiana,2,Nl,G1,Africa,Humid,Deciduous,3.33,0.488,NA,33.35,31.79,1.32,11.07,144.37,175.82,1.03
394,Acacia sieberiana,2,Nh,G0,Africa,Humid,Deciduous,31.42,0.388,0.52,26.27,36.66,5.75,20.06,206.46,112.13,1.07
395,Acacia sieberiana,2,Nl,G0,Africa,Humid,Deciduous,15.17,0.595,0.35,24.87,29.35,1.79,8.38,379.07,412.56,1.04
396,Acacia sieberiana,2,Nl,G0,Africa,Humid,Deciduous,6.16,0.542,0.24,27.04,39.08,3.74,12.6,54.27,285.57,1.01
397,Acacia sieberiana,2,Nh,G0,Africa,Humid,Deciduous,53.07,0.505,0.62,23.8,26.61,3.65,11.92,260.87,176.27,1.06
398,Acacia sieberiana,2,Nl,G0,Africa,Humid,Deciduous,7.2,0.603,0.23,23.38,32.88,3.72,16.17,289.31,392.39,1.03
399,Acacia sieberiana,2,Nl,G0,Africa,Humid,Deciduous,15.96,0.558,0.37,21.84,20.45,2.15,7.67,298.64,228.85,1.06
400,Acacia sieberiana,2,Nl,G0,Africa,Humid,Deciduous,42.33,0.586,0.44,18.4,12.8,1.41,4.66,132.37,147.84,1.05
401,Acacia tortilis,1,Nh,G1,Africa,Semi-arid,Deciduous,4.29,0.632,NA,22.82,33.08,1.27,17.71,110.24,35.82,1.14
402,Acacia tortilis,1,Nh,G1,Africa,Semi-arid,Deciduous,1.96,0.345,NA,33.62,32.24,2.13,19.72,292.86,85.41,1.1
403,Acacia tortilis,1,Nh,G1,Africa,Semi-arid,Deciduous,0.71,0.215,NA,36.33,35.86,3.23,29.54,392.94,154.14,1.07
404,Acacia tortilis,2,Nh,G1,Africa,Semi-arid,Deciduous,0.66,0.172,NA,57.93,34.24,3.62,19.31,121.78,80.23,1.03
405,Acacia tortilis,2,Nh,G1,Africa,Semi-arid,Deciduous,0.78,0.184,NA,48.97,35.76,4.21,23.57,81.93,69.16,1.02
406,Acacia tortilis,2,Nh,G1,Africa,Semi-arid,Deciduous,3.41,0.352,NA,28.55,22.51,1.33,8.67,126.6,95,1.05
407,Acacia tortilis,2,Nh,G1,Africa,Semi-arid,Deciduous,1.41,0.151,NA,43.35,30.55,2.54,12.42,282.9,208.27,1.03
408,Acacia tortilis,2,Nh,G1,Africa,Semi-arid,Deciduous,1.95,0.175,NA,36.4,32.46,2.63,11.77,96.31,96.99,1.03
409,Acacia tortilis,2,Nl,G1,Africa,Semi-arid,Deciduous,0.7,0.3,NA,36.56,28.89,1.82,9.89,NA,NA,NA
410,Acacia tortilis,2,Nl,G1,Africa,Semi-arid,Deciduous,0.67,0.214,NA,37.94,25.92,2.01,7.43,91.9,142.35,1.02
411,Acacia tortilis,2,Nl,G1,Africa,Semi-arid,Deciduous,0.75,0.224,NA,36.53,30.07,1.87,14.82,59.84,459.97,1
412,Acacia tortilis,2,Nl,G1,Africa,Semi-arid,Deciduous,1.94,0.465,NA,23.93,20.68,1.67,2.08,92.08,278.89,1.01
413,Acacia tortilis,2,Nl,G1,Africa,Semi-arid,Deciduous,0.83,0.279,NA,37.62,28.57,1.91,15.87,330.85,9.22,2.07
414,Acacia tortilis,2,Nh,G0,Africa,Semi-arid,Deciduous,60.56,0.501,0.46,25.98,32.38,2.55,10.19,339.02,101.23,1.13
415,Acacia tortilis,2,Nh,G0,Africa,Semi-arid,Deciduous,14.07,0.308,0.45,31.58,33.54,4.02,17.18,111.52,289.34,1.01
416,Acacia tortilis,2,Nh,G0,Africa,Semi-arid,Deciduous,55.92,0.519,0.59,28.57,25.96,3.2,12.92,251.09,155.32,1.06
417,Acacia tortilis,2,Nh,G0,Africa,Semi-arid,Deciduous,42.13,0.469,0.48,27.28,25,2.89,13.79,229.61,175.73,1.05
418,Acacia tortilis,2,Nh,G0,Africa,Semi-arid,Deciduous,24.18,0.408,0.59,30.79,38.81,5.35,18.39,333.72,222.59,1.05
419,Acacia tortilis,2,Nl,G0,Africa,Semi-arid,Deciduous,5.49,0.416,0.31,32.09,41,2.51,15.86,394.23,188.13,1.07
420,Acacia tortilis,2,Nl,G0,Africa,Semi-arid,Deciduous,12.63,0.584,0.36,27.89,35.49,2.43,11.97,408.3,296.03,1.05
421,Acacia tortilis,2,Nl,G0,Africa,Semi-arid,Deciduous,10.91,0.515,0.29,23.78,28.3,2.35,10.5,231.02,184.75,1.05
422,Acacia tortilis,2,Nl,G0,Africa,Semi-arid,Deciduous,9.52,0.639,0.24,22.21,39.21,3.17,13.71,197.24,131.79,1.07
423,Acacia tortilis,2,Nl,G0,Africa,Semi-arid,Deciduous,17.97,0.542,0.46,27.37,27.35,1.54,8.28,339.17,278.57,1.05
424,Acacia tortilis,1,Nh,G1,Africa,Semi-arid,Deciduous,1.08,0.223,NA,NA,14.8,0.63,7.75,NA,NA,NA
425,Acacia tortilis,1,Nh,G1,Africa,Semi-arid,Deciduous,1.94,0.245,NA,36.96,34.04,1.76,18.72,700,273.54,1.07
426,Acacia tortilis,1,Nl,G1,Africa,Semi-arid,Deciduous,0.87,0.48,NA,17.23,NA,NA,NA,359.4,175.92,1.12
427,Acacia tortilis,1,Nl,G1,Africa,Semi-arid,Deciduous,1.11,0.621,NA,30.67,27.18,1.22,11.37,373,145.53,1.08
428,Acacia tortilis,1,Nl,G1,Africa,Semi-arid,Deciduous,1.73,0.691,NA,31.82,30.79,1.19,14.84,326.17,108.85,1.1
429,Acacia tortilis,1,Nl,G1,Africa,Semi-arid,Deciduous,0.97,0.535,NA,NA,58.32,3.1,30.11,NA,NA,NA
