Individual,Species,Continent,Climate,Leaf Habit,Mass0_g
303,Eucalyptus erythrophloia,Australia,Semi-arid,Evergreen,0.00860
304,Eucalyptus erythrophloia,Australia,Semi-arid,Evergreen,0.00870
305,Eucalyptus erythrophloia,Australia,Semi-arid,Evergreen,0.00900
306,Eucalyptus erythrophloia,Australia,Semi-arid,Evergreen,0.00910
307,Eucalyptus erythrophloia,Australia,Semi-arid,Evergreen,0.00980
308,Eucalyptus platyphylla,Australia,Humid,Deciduous,0.00060
309,Eucalyptus platyphylla,Australia,Humid,Deciduous,0.00060
310,Eucalyptus platyphylla,Australia,Humid,Deciduous,0.00060
311,Eucalyptus platyphylla,Australia,Humid,Deciduous,0.00060
312,Eucalyptus platyphylla,Australia,Humid,Deciduous,0.00070
321,Eucalyptus platyphylla,Australia,Humid,Deciduous,0.00070
322,Eucalyptus platyphylla,Australia,Humid,Deciduous,0.00070
323,Eucalyptus platyphylla,Australia,Humid,Deciduous,0.00070
324,Eucalyptus platyphylla,Australia,Humid,Deciduous,0.00080
325,Eucalyptus platyphylla,Australia,Humid,Deciduous,0.00080
326,Eucalyptus tessellaris,Australia,Humid,Evergreen,0.00080
327,Eucalyptus tessellaris,Australia,Humid,Evergreen,0.00090
328,Eucalyptus tessellaris,Australia,Humid,Evergreen,0.00100
329,Eucalyptus tessellaris,Australia,Humid,Evergreen,0.00100
330,Eucalyptus tessellaris,Australia,Humid,Evergreen,0.00100
331,Eucalyptus tessellaris,Australia,Humid,Evergreen,0.00110
332,Eucalyptus tessellaris,Australia,Humid,Evergreen,0.00110
333,Eucalyptus tessellaris,Australia,Humid,Evergreen,0.00120
334,Eucalyptus tessellaris,Australia,Humid,Evergreen,0.00120
335,Eucalyptus tessellaris,Australia,Humid,Evergreen,0.00150
336,Eugenia dysenterica,South America,Humid,Evergreen,0.34590
337,Eugenia dysenterica,South America,Humid,Evergreen,0.37260
338,Eugenia dysenterica,South America,Humid,Evergreen,0.38660
339,Eugenia dysenterica,South America,Humid,Evergreen,0.40980
341,Eugenia dysenterica,South America,Humid,Evergreen,0.42090
342,Eugenia dysenterica,South America,Humid,Evergreen,0.50360
343,Eugenia dysenterica,South America,Humid,Evergreen,0.53430
344,Eugenia dysenterica,South America,Humid,Evergreen,0.57290
345,Eugenia dysenterica,South America,Humid,Evergreen,0.58380
346,Eugenia dysenterica,South America,Humid,Evergreen,0.73330
347,Grevillea pteridifolia,Australia,Humid,Evergreen,0.01750
348,Grevillea pteridifolia,Australia,Humid,Evergreen,0.01970
349,Grevillea pteridifolia,Australia,Humid,Evergreen,0.02130
350,Grevillea pteridifolia,Australia,Humid,Evergreen,0.02390
351,Grevillea pteridifolia,Australia,Humid,Evergreen,0.02430
352,Grevillea pteridifolia,Australia,Humid,Evergreen,0.02730
354,Julbernardia globiflora,Africa,Humid,Deciduous,0.19380
355,Julbernardia globiflora,Africa,Humid,Deciduous,0.20590
356,Julbernardia globiflora,Africa,Humid,Deciduous,0.21410
357,Julbernardia globiflora,Africa,Humid,Deciduous,0.23190
358,Julbernardia globiflora,Africa,Humid,Deciduous,0.23540
359,Julbernardia globiflora,Africa,Humid,Deciduous,0.24580
360,Julbernardia globiflora,Africa,Humid,Deciduous,0.25350
361,Julbernardia globiflora,Africa,Humid,Deciduous,0.25940
362,Julbernardia globiflora,Africa,Humid,Deciduous,0.30810
363,Kielmeyera coriacea,South America,Humid,Deciduous,0.04700
364,Kielmeyera coriacea,South America,Humid,Deciduous,0.05800
365,Kielmeyera coriacea,South America,Humid,Deciduous,0.05900
366,Kielmeyera coriacea,South America,Humid,Deciduous,0.06400
367,Kielmeyera coriacea,South America,Humid,Deciduous,0.07800
369,Kielmeyera coriacea,South America,Humid,Deciduous,0.07900
370,Kielmeyera coriacea,South America,Humid,Deciduous,0.08000
371,Kielmeyera coriacea,South America,Humid,Deciduous,0.08200
372,Kielmeyera coriacea,South America,Humid,Deciduous,0.08400
373,Kielmeyera coriacea,South America,Humid,Deciduous,0.08600
374,Melaleuca viridiflora,Australia,Humid,Evergreen,0.00018
375,Melaleuca viridiflora,Australia,Humid,Evergreen,0.00018
376,Melaleuca viridiflora,Australia,Humid,Evergreen,0.00021
377,Melaleuca viridiflora,Australia,Humid,Evergreen,0.00024
378,Melaleuca viridiflora,Australia,Humid,Evergreen,0.00028
379,Melaleuca viridiflora,Australia,Humid,Evergreen,0.00028
380,Melaleuca viridiflora,Australia,Humid,Evergreen,0.00030
381,Melaleuca viridiflora,Australia,Humid,Evergreen,0.00031
382,Melaleuca viridiflora,Australia,Humid,Evergreen,0.00034
383,Melaleuca viridiflora,Australia,Humid,Evergreen,0.00037
384,Mimosa clausenii,South America,Humid,Deciduous,0.00600
385,Mimosa clausenii,South America,Humid,Deciduous,0.00700
386,Mimosa clausenii,South America,Humid,Deciduous,0.00800
387,Mimosa clausenii,South America,Humid,Deciduous,0.00800
388,Mimosa clausenii,South America,Humid,Deciduous,0.00900
389,Mimosa clausenii,South America,Humid,Deciduous,0.00970
390,Mimosa clausenii,South America,Humid,Deciduous,0.01200
391,Mimosa clausenii,South America,Humid,Deciduous,0.01300
392,Mimosa clausenii,South America,Humid,Deciduous,0.01400
393,Mimosa clausenii,South America,Humid,Deciduous,0.01500
394,Mimosa tenuifolia,South America,Semi-arid,Deciduous,0.00450
395,Mimosa tenuifolia,South America,Semi-arid,Deciduous,0.00450
396,Mimosa tenuifolia,South America,Semi-arid,Deciduous,0.00490
