"species","plant_growth_form","leaf_lifespan","plant_height","plant_height_unit","leaf_length_min","leaf_length_max","leaf_length_unit","leaf_width_min","leaf_width_max","leaf_width_unit","seed_length_min","seed_length_max","seed_length_unit","seed_width_min","seed_width_max","seed_width_unit"
"Eucalyptus canescens subsp. beadellii","","",3,"m",6,14.5,"cm",1.7,5,"cm",1.5,4,"mm",NA,NA,""
"Eucalyptus canescens subsp. canescens","","",3,"m",6,14.5,"cm",1.7,5.8,"cm",1.5,3.5,"mm",NA,NA,""
"Eucalyptus canobolensis","T","",12,"m",6.5,19,"cm",1.1,3.7,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus capillosa subsp. capillosa","T","",12,"m",7,12.5,"cm",1,2.2,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus capillosa subsp. polyclada","","",12,"m",7,12.5,"cm",1,2.2,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus capitellata","T","",25,"m",8,13,"cm",2,3.5,"cm",1.8,2.7,"mm",NA,NA,""
"Eucalyptus captiosa","","",NA,"",4,8.8,"cm",0.5,1.3,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus carnabyi","","",5,"m",6,9.5,"cm",2.5,5.5,"cm",2,3.5,"mm",NA,NA,""
"Eucalyptus carnea","T","",25,"m",8,17,"cm",1.7,4,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus carnei","T","",6,"m",8.3,14.5,"cm",1.5,3,"cm",1,2.2,"mm",NA,NA,""
"Eucalyptus celastroides subsp. celastroides","T","",8,"m",5.3,11.2,"cm",0.5,1.7,"cm",0.7,2,"mm",NA,NA,""
"Eucalyptus celastroides subsp. virella","T","",10,"m",4.2,9.5,"cm",0.4,1.5,"cm",0.7,2,"mm",NA,NA,""
"Eucalyptus cephalocarpa","T","",20,"m",8.5,25,"cm",0.8,3,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus ceracea","T","",6,"m",6,10,"cm",3,5.5,"cm",3,4,"mm",NA,NA,""
"Eucalyptus cerasiformis","","",3,"m",5,11.2,"cm",0.5,1.5,"cm",0.5,1.5,"mm",NA,NA,""
"Eucalyptus ceratocorys","T","",10,"m",6,15.5,"cm",1.2,4.5,"cm",2,5.5,"mm",NA,NA,""
"Eucalyptus cernua","","",5,"m",4.8,9.3,"cm",1.2,3,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus chapmaniana","T","",35,"m",14,30,"cm",1.7,4.8,"cm",1,3,"mm",NA,NA,""
"Eucalyptus chartaboma","T","",18,"m",8.5,18.5,"cm",1,3.5,"cm",5,8,"mm",NA,NA,""
"Eucalyptus chloroclada","T","",20,"m",8.5,18,"cm",1,3.5,"cm",0.7,1.3,"mm",NA,NA,""
"Eucalyptus chlorophylla","T","",18,"m",7,21,"cm",0.8,2.5,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus cinerea subsp. cinerea","T","",15,"m",9,14,"cm",1.5,5,"cm",NA,NA,"",NA,NA,""
"Eucalyptus cinerea subsp. triplex","T","",10,"m",3.5,12,"cm",1.2,3,"cm",NA,NA,"",NA,NA,""
"Eucalyptus cladocalyx","T","",35,"m",8,17,"cm",1.2,3.2,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus clelandii","T","",10,"m",8,15.5,"cm",0.9,2.5,"cm",1.2,3,"mm",NA,NA,""
"Eucalyptus clivicola","","",12,"m",4.5,9.5,"cm",0.5,2,"cm",0.7,1.5,"mm",NA,NA,""
"Eucalyptus cloeziana","T","D",55,"m",6,14.5,"cm",0.9,3.2,"cm",1.8,3,"mm",NA,NA,""
"Eucalyptus cneorifolia","T","",10,"m",4.5,10,"cm",0.5,1,"cm",1,2,"mm",NA,NA,""
"Eucalyptus coccifera","T","",15,"m",5,10,"cm",1,2,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus communalis","","",4,"m",5,8.5,"cm",1,1.8,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus concinna","T","",8,"m",7.3,14,"cm",0.8,2,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus conferruminata","TS","",8,"m",4,9,"cm",1,3,"cm",2,4,"mm",NA,NA,""
"Eucalyptus confluens","T","",8,"m",6,17,"cm",0.9,2.2,"cm",1.5,2.2,"mm",NA,NA,""
"Eucalyptus conglobata subsp. conglobata","T","",20,"m",7,13,"cm",1.5,4,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus conglobata subsp. perata","","",5,"m",6.2,10,"cm",0.8,2,"cm",1.1,2.2,"mm",NA,NA,""
"Eucalyptus conglomerata","T","",8,"m",5.7,13.7,"cm",1.4,3.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus conica","T","",20,"m",5.5,14,"cm",1,2.5,"cm",0.8,1.3,"mm",NA,NA,""
"Eucalyptus consideniana","T","",30,"m",6.5,18,"cm",1,3,"cm",1,3,"mm",NA,NA,""
"Eucalyptus conspicua","T","",10,"m",6,22,"cm",1.4,4.5,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus conveniens","","",2.5,"m",6,13,"cm",1.8,5,"cm",4,6,"mm",NA,NA,""
"Eucalyptus coolabah","T","",10,"m",8,17,"cm",1,2.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus cooperiana","","",4,"m",5.8,11,"cm",1,2.5,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus cordata","TS","",20,"m",5,13,"cm",2.5,8,"cm",2,2.5,"mm",NA,NA,""
"Eucalyptus cornuta","T","",20,"m",5,15.2,"cm",1,3.3,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus coronata","","",3,"m",7,13,"cm",1.3,2.5,"cm",3,6,"mm",NA,NA,""
"Eucalyptus corrugata","T","",15,"m",7,13,"cm",1.2,2.4,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus corticosa","T","",8,"m",7,15,"cm",0.9,2.2,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus corynodes","T","",20,"m",8,17,"cm",1.5,3.5,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus cosmophylla","T","",10,"m",8,18,"cm",1.3,5,"cm",1,3,"mm",NA,NA,""
"Eucalyptus crebra","T","",35,"m",5.5,18,"cm",0.6,2.7,"cm",0.8,2,"mm",NA,NA,""
"Eucalyptus crenulata","T","",12,"m",2,6.5,"cm",1.5,5.5,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus creta","","",10,"m",4.7,13.2,"cm",0.8,3.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus cretata","","",4,"m",7.8,15,"cm",1.3,3.5,"cm",1.5,2.8,"mm",NA,NA,""
"Eucalyptus crispata","","",8,"m",5.5,12.5,"cm",1,2,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus croajingolensis","T","",30,"m",8,18,"cm",1.2,4.2,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus crucis subsp. crucis","","",15,"m",1.7,6.5,"cm",1.3,6.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus crucis subsp. lanceolata","","",15,"m",3,10,"cm",0.5,1.7,"cm",1,2,"mm",NA,NA,""
"Eucalyptus crucis subsp. praecipua","","",15,"m",6,15,"cm",0.5,2.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus cullenii","T","",25,"m",5.5,19,"cm",0.8,2.5,"cm",1.8,2.5,"mm",NA,NA,""
"Eucalyptus cunninghamii","","",2,"m",3,10,"cm",0.3,0.8,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus cuprea","","",6,"m",8,13.5,"cm",1.2,2,"cm",0.5,1.5,"mm",NA,NA,""
"Eucalyptus cupularis","T","",8,"m",10,23,"cm",0.9,3.5,"cm",1,1.7,"mm",NA,NA,""
"Eucalyptus curtisii","T","",7,"m",6.3,14.5,"cm",0.7,3.3,"cm",1,1.8,"mm",0.3,0.3,"mm"
"Eucalyptus cyanophylla","","",5,"m",7,16,"cm",1.7,3.5,"cm",1,3,"mm",NA,NA,""
"Eucalyptus cyclostoma","","",3,"m",6,10,"cm",1,1.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus cylindriflora","","",4,"m",4,9.5,"cm",0.4,1.2,"cm",0.5,1.5,"mm",NA,NA,""
"Eucalyptus cylindrocarpa","","",6,"m",5.8,11.2,"cm",0.5,1.3,"cm",0.8,1.6,"mm",NA,NA,""
"Eucalyptus cypellocarpa","T","",65,"m",9,30.5,"cm",1,4.8,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus dalrympleana subsp. dalrympleana","T","",40,"m",8,22,"cm",1,4,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus dalrympleana subsp. heptantha","T","",40,"m",7,24,"cm",1.2,3.5,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus dawsonii","T","",20,"m",7,16,"cm",1.2,3.2,"cm",1,1.7,"mm",NA,NA,""
"Eucalyptus dealbata","T","",20,"m",5.5,14,"cm",1,4,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus deanei","T","",65,"m",7,18.5,"cm",1.5,4,"cm",1,2,"mm",NA,NA,""
"Eucalyptus decipiens subsp. adesmophloia","","",5,"m",5.5,12.5,"cm",1,3.2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus decipiens subsp. chalara","","",5,"m",6.5,12.5,"cm",1,3.2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus decipiens subsp. decipiens","T","",5,"m",6.5,12.5,"cm",1,3.2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus decolor","T","",25,"m",6.5,17,"cm",0.8,2.2,"cm",1.2,2,"mm",NA,NA,""
"Eucalyptus decorticans","T","",40,"m",5.5,17,"cm",1,3,"cm",1,2,"mm",NA,NA,""
"Eucalyptus decurva","","",3,"m",5,10.5,"cm",1.2,2.5,"cm",1.8,3,"mm",NA,NA,""
"Eucalyptus deflexa","","",3,"m",5,9,"cm",0.5,1.1,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus delegatensis subsp. delegatensis","T","",90,"m",7.5,23,"cm",1.3,5.5,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus delegatensis subsp. tasmaniensis","T","",50,"m",7,17,"cm",1.5,4.5,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus delicata","T","",15,"m",6,11,"cm",0.5,1,"cm",1,2,"mm",NA,NA,""
"Eucalyptus dendromorpha","T","",30,"m",7,12,"cm",1,2.5,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus densa subsp. densa","","",10,"m",4,9,"cm",0.4,1,"cm",0.7,1.3,"mm",NA,NA,""
"Eucalyptus densa subsp. improcera","","",3,"m",4.7,8.2,"cm",0.5,1,"cm",0.7,1.3,"mm",NA,NA,""
"Eucalyptus denticulata","T","",35,"m",13,25,"cm",1.4,2.5,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus depauperata","","",4,"m",3,7.7,"cm",0.4,1.5,"cm",0.7,2,"mm",NA,NA,""
"Eucalyptus desmondensis","","",6,"m",5.5,11,"cm",1.5,2.5,"cm",0.7,1.5,"mm",NA,NA,""
"Eucalyptus deuaensis","","",4,"m",7,10,"cm",1,2.3,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus dielsii","","",8,"m",5,11.5,"cm",0.8,2,"cm",0.8,2,"mm",NA,NA,""
"Eucalyptus diminuta","","",4,"m",5,11.2,"cm",0.7,2,"cm",0.7,2,"mm",NA,NA,""
"Eucalyptus diptera","","",10,"m",6,12.2,"cm",0.7,2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus discreta","","",5,"m",4,9.5,"cm",0.5,1.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus dissimulata","","",3,"m",4.5,9.5,"cm",0.5,1.7,"cm",1,2.2,"mm",NA,NA,""
"Eucalyptus distans","T","",7,"m",5.5,15,"cm",1.2,2.6,"cm",1,2,"mm",NA,NA,""
"Eucalyptus diversicolor","T","",80,"m",7,13.5,"cm",1.5,3.7,"cm",1.2,3,"mm",NA,NA,""
"Eucalyptus diversifolia subsp. diversifolia","","",6,"m",5.5,10,"cm",1,2.2,"cm",2,3,"mm",NA,NA,""
"Eucalyptus diversifolia subsp. hesperia","S","",4,"m",6.5,11.5,"cm",0.9,1.8,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus dives","T","",20,"m",7,15,"cm",1.4,4.2,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus dolichocera","T","",6,"m",6,15,"cm",1.2,2.3,"cm",1.5,2.2,"mm",NA,NA,""
"Eucalyptus dolichorhyncha","","",6,"m",4.5,9,"cm",1,2.7,"cm",2,5,"mm",NA,NA,""
"Eucalyptus dolorosa","","",1.5,"m",7.5,10.2,"cm",1.4,2.3,"cm",2,4,"mm",NA,NA,""
"Eucalyptus doratoxylon","T","",5,"m",4.2,9.5,"cm",0.5,1.6,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus dorrigoensis","T","",30,"m",6,22,"cm",1.2,2.7,"cm",1,2,"mm",NA,NA,""
"Eucalyptus drummondii","T","",4,"m",3.2,8,"cm",0.8,2.7,"cm",1,3,"mm",NA,NA,""
"Eucalyptus dumosa","","",10,"m",4.8,12,"cm",0.8,2.5,"cm",1,3,"mm",NA,NA,""
"Eucalyptus dundasii","T","",15,"m",6,13.5,"cm",0.6,1.7,"cm",1,2,"mm",NA,NA,""
"Eucalyptus dunnii","T","",50,"m",8,30,"cm",1.5,4,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus dura","T","",25,"m",9,18,"cm",1.5,3.3,"cm",1,2,"mm",NA,NA,""
"Eucalyptus dwyeri","T","",10,"m",7,15,"cm",1,2.7,"cm",0.8,1.4,"mm",NA,NA,""
"Eucalyptus ebbanoensis subsp. ebbanoensis","","",6,"m",5.5,12.5,"cm",0.7,2.2,"cm",2,3,"mm",NA,NA,""
"Eucalyptus ebbanoensis subsp. photina","","",6,"m",6,13,"cm",1,2.4,"cm",2,3,"mm",NA,NA,""
"Eucalyptus educta","","",4,"m",2.5,3.5,"cm",2,3,"cm",1,1.7,"mm",NA,NA,""
"Eucalyptus effusa","","",4,"m",5,12.5,"cm",0.5,2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus elaeophloia","T","",10,"m",7,11.5,"cm",1.2,2.5,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus elata","T","",40,"m",6,22,"cm",0.6,2,"cm",1.5,2.2,"mm",NA,NA,""
"Eucalyptus elliptica","T","",20,"m",7,20,"cm",1.3,3,"cm",1,2.1,"mm",NA,NA,""
"Eucalyptus erectifolia","","",2.5,"m",5.5,10.5,"cm",0.7,1.5,"cm",4,5,"mm",NA,NA,""
"Eucalyptus eremicola subsp. eremicola","","",4,"m",4.5,10,"cm",0.6,1.7,"cm",1.2,2,"mm",NA,NA,""
"Eucalyptus eremicola subsp. peeneri","","",6,"m",5,10,"cm",0.6,1.3,"cm",1,2,"mm",NA,NA,""
"Eucalyptus eremophila","","",5,"m",4.5,11,"cm",0.5,2.5,"cm",0.7,2,"mm",NA,NA,""
"Eucalyptus erythrandra","T","",5,"m",8,13.5,"cm",1.5,3.5,"cm",2.5,4.5,"mm",NA,NA,""
"Eucalyptus erythrocorys","T","",8,"m",9,20,"cm",1.2,3,"cm",2,4,"mm",NA,NA,""
"Eucalyptus erythronema var. erythronema","T","",6,"m",4.3,9.2,"cm",0.7,1.5,"cm",0.5,1.5,"mm",NA,NA,""
"Eucalyptus erythronema var. marginata","T","",6,"m",3,11,"cm",0.5,1.5,"cm",0.5,2,"mm",NA,NA,""
"Eucalyptus eudesmioides subsp. eudesmioides","","",6,"m",3,10,"cm",0.6,1.7,"cm",3,4,"mm",NA,NA,""
"Eucalyptus eudesmioides subsp. pallida","","",8,"m",4,9,"cm",0.8,2,"cm",3,4,"mm",NA,NA,""
"Eucalyptus eudesmioides subsp. selachiana","","",3,"m",5,10,"cm",0.8,1.8,"cm",3,4,"mm",NA,NA,""
"Eucalyptus eugenioides","T","",25,"m",6.2,16,"cm",0.9,3.5,"cm",1.2,3,"mm",NA,NA,""
"Eucalyptus ewartiana","","",7,"m",3.8,9.5,"cm",1,4,"cm",0.8,2,"mm",NA,NA,""
"Eucalyptus exigua","","",3,"m",4,9,"cm",0.5,1.3,"cm",0.5,1.5,"mm",NA,NA,""
"Eucalyptus exilipes","T","",35,"m",5,12,"cm",0.5,1,"cm",1,2,"mm",NA,NA,""
"Eucalyptus exilis","","",4,"m",3.5,6.5,"cm",0.8,1.5,"cm",3,5,"mm",NA,NA,""
"Eucalyptus exserta","T","",20,"m",6.5,18,"cm",0.7,2.7,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus extensa","","",12,"m",4,10.5,"cm",0.5,2,"cm",1.8,3,"mm",NA,NA,""
"Eucalyptus extrica","","",4,"m",7,14,"cm",2,5,"cm",5,6.5,"mm",NA,NA,""
"Eucalyptus falcata","","",5,"m",5.5,13,"cm",0.7,2.5,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus famelica","","",4,"m",4.5,11,"cm",0.9,2.3,"cm",1.5,3.5,"mm",NA,NA,""
"Eucalyptus farinosa","T","",9,"m",6,12,"cm",2.2,6,"cm",1.8,2.5,"mm",NA,NA,""
"Eucalyptus fasciculosa","T","",10,"m",8,13,"cm",1.3,3.5,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus fastigata","T","",60,"m",7,20.5,"cm",1.5,3.6,"cm",2,3.5,"mm",NA,NA,""
"Eucalyptus fibrosa subsp. fibrosa","T","",35,"m",8.5,18,"cm",1.5,4.5,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus fibrosa subsp. nubila","T","",35,"m",8.5,23,"cm",1.5,5.5,"cm",1.4,2,"mm",NA,NA,""
"Eucalyptus flavida","","",10,"m",6.5,11,"cm",0.9,1.5,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus flindersii","T","",5,"m",5.5,18,"cm",1,3,"cm",0.9,1.5,"mm",NA,NA,""
"Eucalyptus flocktoniae subsp. flocktoniae","","",8,"m",6,12,"cm",0.8,2.5,"cm",1.5,2.2,"mm",NA,NA,""
"Eucalyptus flocktoniae subsp. hebes","","",8,"m",6,14,"cm",1,2,"cm",1.2,2,"mm",NA,NA,""
"Eucalyptus foecunda","","",3,"m",5,9.5,"cm",0.5,1.3,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus foliosa","","",3,"m",4.5,7.5,"cm",0.5,1.1,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus formanii","T","",10,"m",3.5,9.5,"cm",0.2,0.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus forrestiana","T","",4,"m",5.5,9.5,"cm",1.5,2.5,"cm",3,5,"mm",NA,NA,""
"Eucalyptus fraseri subsp. fraseri","T","",15,"m",9,17,"cm",1.3,3.5,"cm",0.6,3,"mm",NA,NA,""
"Eucalyptus fraseri subsp. melanobasis","T","",15,"m",9.5,25,"cm",1.3,4,"cm",0.6,3,"mm",NA,NA,""
"Eucalyptus fraxinoides","T","",40,"m",8,18,"cm",1,3.5,"cm",1.5,3.5,"mm",NA,NA,""
"Eucalyptus froggattii","T","",10,"m",6.5,13,"cm",1.2,2.5,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus fruticosa","","",5,"m",3,8,"cm",0.7,1.7,"cm",1,2,"mm",NA,NA,""
"Eucalyptus fulgens","T","",20,"m",9,24.5,"cm",1.3,4,"cm",1.2,2,"mm",NA,NA,""
"Eucalyptus fusiformis","T","",30,"m",7.5,17.5,"cm",1.3,2.6,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus gamophylla","","",8,"m",4,10,"cm",0.9,2,"cm",3,4,"mm",NA,NA,""
"Eucalyptus gardneri subsp. gardneri","","",15,"m",5,11,"cm",0.8,2.2,"cm",0.8,1.7,"mm",NA,NA,""
"Eucalyptus gardneri subsp. ravensthorpensis","","",10,"m",6,10.5,"cm",1,2.7,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus georgei subsp. fulgida","","",15,"m",10,20,"cm",1.5,4,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus georgei subsp. georgei","","",12,"m",10,20,"cm",1.5,4.5,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus gigantangion","T","",30,"m",6,16,"cm",1,2,"cm",4,7,"mm",NA,NA,""
"Eucalyptus gillenii","T","",13,"m",7,19,"cm",0.9,2.6,"cm",1,2,"mm",NA,NA,""
"Eucalyptus gillii","T","",8,"m",3,8,"cm",1.2,3.5,"cm",1.2,3,"mm",NA,NA,""
"Eucalyptus gittinsii subsp. gittinsii","","",5,"m",6,15,"cm",1.2,3,"cm",2,4,"mm",NA,NA,""
"Eucalyptus gittinsii subsp. illucida","","",4,"m",5.5,11,"cm",1.2,3.5,"cm",3,5,"mm",NA,NA,""
"Eucalyptus glaucescens","T","",50,"m",6,17,"cm",1.2,3.5,"cm",1.5,3.5,"mm",NA,NA,""
"Eucalyptus glaucina","T","",20,"m",9,17,"cm",2,4.2,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus globoidea","T","",40,"m",7,13.5,"cm",1.2,4,"cm",1.2,2.5,"mm",NA,NA,""
"Eucalyptus globulus subsp. bicostata","T","",45,"m",14,40,"cm",2,6,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus globulus subsp. globulus","T","",70,"m",12,30,"cm",1.7,3,"cm",2,4,"mm",NA,NA,""
"Eucalyptus globulus subsp. maidenii","T","",50,"m",12,35.5,"cm",1.2,4,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus globulus subsp. pseudoglobulus","T","",45,"m",13,35,"cm",1.5,4.5,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus glomericassis","T","",10,"m",10,25,"cm",1,3,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus glomerosa","","",5,"m",3.8,9.5,"cm",0.8,2.3,"cm",3,5,"mm",NA,NA,""
"Eucalyptus gomphocephala","T","",40,"m",10,18,"cm",1.5,3,"cm",2,3.5,"mm",NA,NA,""
"Eucalyptus gongylocarpa","T","",16,"m",3,8,"cm",0.8,1.8,"cm",2,3,"mm",NA,NA,""
"Eucalyptus goniantha subsp. goniantha","T","",7,"m",7,13,"cm",1.5,4.5,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus goniantha subsp. notactites","","",3,"m",7.5,15,"cm",1.5,4,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus goniantha subsp. semiglobosa","S","",5,"m",7.5,15,"cm",1.7,3.8,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus goniocalyx subsp. exposa","","",6,"m",5.5,17.5,"cm",0.8,2.1,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus goniocalyx subsp. goniocalyx","T","",15,"m",6,25,"cm",1.3,4,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus goniocarpa","","",7,"m",3.5,9.5,"cm",0.5,1.2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus gracilis","T","",7,"m",4.5,11,"cm",0.4,1.7,"cm",1,1.7,"mm",NA,NA,""
"Eucalyptus grandis","T","",75,"m",8,18,"cm",1.5,4,"cm",1,1.7,"mm",NA,NA,""
"Eucalyptus granitica","T","",20,"m",7,15,"cm",1.3,3.2,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus gregoriensis","T","",8,"m",8,22,"cm",1.2,3,"cm",1.2,2,"mm",NA,NA,""
"Eucalyptus gregsoniana","","",4,"m",5.5,12,"cm",0.8,2.5,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus griffithsii","","",10,"m",8,13.5,"cm",0.8,2.7,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus grisea","T","",28,"m",8,18,"cm",2.2,6.4,"cm",1,2.2,"mm",NA,NA,""
"Eucalyptus grossa","S","",3,"m",6.5,12.5,"cm",2.5,6.3,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus guilfoylei","T","",40,"m",8,15,"cm",1.5,4,"cm",2,3.5,"mm",NA,NA,""
"Eucalyptus gunnii","T","",25,"m",4,9,"cm",1.2,3.5,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus gypsophila","","",6,"m",7.5,13.5,"cm",1,3.5,"cm",1.5,3.5,"mm",NA,NA,""
"Eucalyptus haemastoma","T","",12,"m",9,21,"cm",1.5,3.5,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus hallii","T","",20,"m",9,21,"cm",1.5,4.5,"cm",0.7,1.1,"mm",NA,NA,""
"Eucalyptus halophila","S","",4,"m",4.3,8,"cm",0.5,1.2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus hebetifolia","","",8,"m",7,10.5,"cm",0.8,2,"cm",0.5,1.5,"mm",NA,NA,""
"Eucalyptus helidonica","T","",20,"m",6,15.5,"cm",0.9,2.5,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus herbertiana","T","",10,"m",8,22,"cm",1,2.6,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus histophylla","T","",6,"m",6.5,12.5,"cm",0.6,1.6,"cm",0.8,1.8,"mm",NA,NA,""
"Eucalyptus horistes","T","",8,"m",4.5,11.5,"cm",0.4,1.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus houseana","T","",20,"m",9,19,"cm",1.7,4.5,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus howittiana","T","",25,"m",7,13,"cm",1.6,4.2,"cm",0.7,1,"mm",NA,NA,""
"Eucalyptus hypolaena","T","",15,"m",8,16,"cm",1.3,3,"cm",1.5,2.2,"mm",NA,NA,""
"Eucalyptus hypostomatica","T","",30,"m",8,18,"cm",1,3,"cm",1,2,"mm",NA,NA,""
"Eucalyptus ignorabilis","T","",20,"m",7,20,"cm",1,3,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus imitans","T","",10,"m",5,13,"cm",1.5,3.5,"cm",1.3,2.5,"mm",NA,NA,""
"Eucalyptus imlayensis","","",7,"m",7.5,15,"cm",1.5,3,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus impensa","","",1.5,"m",10.5,14,"cm",4,8,"cm",4.5,6.5,"mm",NA,NA,""
"Eucalyptus incerata","","",5,"m",5,10.5,"cm",1,3.2,"cm",0.7,2,"mm",NA,NA,""
"Eucalyptus incrassata","","",8,"m",5,15,"cm",0.8,3,"cm",2,4,"mm",NA,NA,""
"Eucalyptus indurata","T","",8,"m",6.3,10.5,"cm",1,2.2,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus infera","T","",8,"m",6,11,"cm",2,5,"cm",0.8,1,"mm",NA,NA,""
"Eucalyptus insularis","","",8,"m",2.8,5.5,"cm",0.4,0.7,"cm",1,3.5,"mm",NA,NA,""
"Eucalyptus interstans","T","",20,"m",8,18,"cm",1,3.2,"cm",0.9,1.2,"mm",NA,NA,""
"Eucalyptus intertexta","T","",20,"m",5,16,"cm",0.8,2.5,"cm",1,1.7,"mm",NA,NA,""
"Eucalyptus jacksonii","T","",65,"m",6,11.5,"cm",1.2,3,"cm",2,3.5,"mm",NA,NA,""
"Eucalyptus jensenii","T","",10,"m",4.3,11.5,"cm",0.7,4,"cm",1.3,3,"mm",NA,NA,""
"Eucalyptus johnsoniana","","",3,"m",5.5,10.5,"cm",0.8,2,"cm",3,6,"mm",NA,NA,""
"Eucalyptus johnstonii","T","",50,"m",6.5,15,"cm",2,4,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus jucunda","T","",7,"m",5,16,"cm",0.6,2.5,"cm",2,3.5,"mm",NA,NA,""
"Eucalyptus jutsonii","","",6,"m",7.5,13.5,"cm",0.3,0.6,"cm",0.8,2,"mm",NA,NA,""
