species,Tree,date,sampling_period,burn_status,R25_stem,Q10,Photosynthesis (umol m-2 s-1),PARi (umol m-2 s-1),Stomatal conductance (mol m-2 s-1),Ci (umol mol-1),Transpiration (mmol m-2 s-1),position,leaf respiraton at 30degC,sapwood cross sectional area (cm2),leaf fresh weight (g),dry weight to fresh weight ratio,leaf dry weight (kg),SW area per leaf dry mass (cm2 kg-1),specific leaf area (m2 kg-1),SW area per leaf area (cm2 m-2),diameter,diameter under bark,bark_thickness,context
Eucalyptus tetrodonta,ET3B,10/19/2004,October,burn,0.71,1.89,14.58333333,1301,0.5615,277.5,9.578333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in October
Eucalyptus tetrodonta,ET4B,10/19/2004,October,burn,0.77,1.9,NA,NA,NA,NA,NA,detached,-3.263333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in October
Eucalyptus tetrodonta,ET5B,10/19/2004,October,burn,0.36,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in October
Eucalyptus tetrodonta,ET6B,10/19/2004,October,burn,0.51,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in October
Corymbia bleeseri,EB1N,10/21/2004,October,unburnt,2.61,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in October
Corymbia bleeseri,EB2N,10/21/2004,October,unburnt,3.55,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in October
Corymbia bleeseri,EB3N,10/21/2004,October,unburnt,3.45,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in October
Corymbia bleeseri,EB4N,10/21/2004,October,unburnt,3.29,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in October
Corymbia bleeseri,EB5N,10/21/2004,October,unburnt,2.23,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in October
Corymbia bleeseri,EB6N,10/21/2004,October,unburnt,1.51,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in October
Erythrophleum chlorostachys,EC1N,10/21/2004,October,unburnt,1.26,1.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in October
Erythrophleum chlorostachys,EC2N,10/21/2004,October,unburnt,0.51,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in October
Erythrophleum chlorostachys,EC3N,10/21/2004,October,unburnt,1.03,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in October
Erythrophleum chlorostachys,EC4N,10/21/2004,October,unburnt,0.67,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in October
Erythrophleum chlorostachys,EC5N,10/21/2004,October,unburnt,0.58,2.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in October
Erythrophleum chlorostachys,EC6N,10/21/2004,October,unburnt,0.64,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in October
Eucalyptus miniata,EM1N,10/21/2004,October,unburnt,0.74,1.67,16.99285714,1367.928571,0.496714286,264.2142857,9.474285714,detached,-3.690909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in October
Eucalyptus miniata,EM2N,10/21/2004,October,unburnt,0.77,1.35,17.6,1570,0.664444444,274.5555556,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in October
Eucalyptus miniata,EM3N,10/21/2004,October,unburnt,0.77,1.57,17.6,1733.375,0.608375,265.5,13.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in October
Eucalyptus miniata,EM4N,10/21/2004,October,unburnt,0.88,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in October
Eucalyptus miniata,EM5N,10/21/2004,October,unburnt,1.03,1.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in October
Eucalyptus miniata,EM6N,10/21/2004,October,unburnt,1.15,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in October
Eucalyptus tetrodonta,ET1N,10/21/2004,October,unburnt,0.72,1.89,11.18,1578.6,0.2886,263.2,7.652,detached,-2.252857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in October
Eucalyptus tetrodonta,ET2N,10/21/2004,October,unburnt,0.52,1.79,10.915,1714.833333,0.2725,259.3333333,8.228333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in October
Eucalyptus tetrodonta,ET3N,10/21/2004,October,unburnt,1.21,1.51,12.7625,1743.625,0.416625,271.375,11.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in October
Eucalyptus tetrodonta,ET4N,10/21/2004,October,unburnt,0.68,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in October
Eucalyptus tetrodonta,ET5N,10/21/2004,October,unburnt,0.63,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in October
Eucalyptus tetrodonta,ET6N,10/21/2004,October,unburnt,0.74,1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in October
Corymbia bleeseri,EB1B,1/17/2005,January,burn,1.67,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in January
Corymbia bleeseri,EB2B,1/17/2005,January,burn,0.97,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in January
Corymbia bleeseri,EB3B,1/17/2005,January,burn,0.55,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in January
Corymbia bleeseri,EB4B,1/17/2005,January,burn,0.4,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in January
Corymbia bleeseri,EB5B,1/17/2005,January,burn,0.38,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in January
Corymbia bleeseri,EB6B,1/17/2005,January,burn,0.59,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in January
Erythrophleum chlorostachys,EC1B,1/17/2005,January,burn,0.45,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in January
Erythrophleum chlorostachys,EC2B,1/17/2005,January,burn,0.64,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in January
Erythrophleum chlorostachys,EC3B,1/17/2005,January,burn,0.8,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in January
Erythrophleum chlorostachys,EC4B,1/17/2005,January,burn,0.73,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in January
Erythrophleum chlorostachys,EC5B,1/17/2005,January,burn,1.65,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in January
Erythrophleum chlorostachys,EC6B,1/17/2005,January,burn,0.8,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in January
Eucalyptus miniata,EM1B,1/17/2005,January,burn,2.84,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in January
Eucalyptus miniata,EM2B,1/17/2005,January,burn,2.45,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in January
Eucalyptus miniata,EM3B,1/17/2005,January,burn,2.51,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in January
Eucalyptus miniata,EM4B,1/17/2005,January,burn,2.05,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in January
Eucalyptus miniata,EM5B,1/17/2005,January,burn,3,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in January
Eucalyptus miniata,EM6B,1/17/2005,January,burn,3.96,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in January
Eucalyptus tetrodonta,ET1B,1/17/2005,January,burn,1.41,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in January
Eucalyptus tetrodonta,ET2B,1/17/2005,January,burn,1.22,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in January
Eucalyptus tetrodonta,ET3B,1/17/2005,January,burn,2.79,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in January
Eucalyptus tetrodonta,ET4B,1/17/2005,January,burn,2.61,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in January
Eucalyptus tetrodonta,ET5B,1/17/2005,January,burn,0.5,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in January
Eucalyptus tetrodonta,ET6B,1/17/2005,January,burn,1.34,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in January
Corymbia bleeseri,EB1N,1/18/2005,January,unburnt,2.71,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Corymbia bleeseri,EB1N,1/18/2005,January,unburnt,2.25,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Corymbia bleeseri,EB2N,1/18/2005,January,unburnt,5.24,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Corymbia bleeseri,EB2N,1/18/2005,January,unburnt,4.72,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Corymbia bleeseri,EB3N,1/18/2005,January,unburnt,1.51,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Corymbia bleeseri,EB4N,1/18/2005,January,unburnt,4.35,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Corymbia bleeseri,EB5N,1/18/2005,January,unburnt,1.96,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Corymbia bleeseri,EB6N,1/18/2005,January,unburnt,1.42,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Erythrophleum chlorostachys,EC1N,1/18/2005,January,unburnt,2.27,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Erythrophleum chlorostachys,EC2N,1/18/2005,January,unburnt,0.41,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Erythrophleum chlorostachys,EC3N,1/18/2005,January,unburnt,1.12,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Erythrophleum chlorostachys,EC4N,1/18/2005,January,unburnt,0.87,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Erythrophleum chlorostachys,EC5N,1/18/2005,January,unburnt,1.12,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Erythrophleum chlorostachys,EC6N,1/18/2005,January,unburnt,2.28,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Eucalyptus miniata,EM1N,1/18/2005,January,unburnt,1.71,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Eucalyptus miniata,EM2N,1/18/2005,January,unburnt,3.34,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Eucalyptus miniata,EM3N,1/18/2005,January,unburnt,2.65,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Eucalyptus miniata,EM4N,1/18/2005,January,unburnt,2.59,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Eucalyptus miniata,EM5N,1/18/2005,January,unburnt,2.79,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Eucalyptus miniata,EM6N,1/18/2005,January,unburnt,3.77,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Eucalyptus tetrodonta,ET1N,1/18/2005,January,unburnt,1.88,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Eucalyptus tetrodonta,ET2N,1/18/2005,January,unburnt,1.34,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Eucalyptus tetrodonta,ET3N,1/18/2005,January,unburnt,2.35,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Eucalyptus tetrodonta,ET4N,1/18/2005,January,unburnt,1.63,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Eucalyptus tetrodonta,ET5N,1/18/2005,January,unburnt,1.14,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Eucalyptus tetrodonta,ET6N,1/18/2005,January,unburnt,1.88,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in January
Erythrophleum chlorostachys,EC2,NA,October,NA,NA,NA,NA,NA,NA,NA,NA,detached,-1.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tree sampled in October
Eucalyptus miniata,EM1,NA,October,unburnt,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.306,2808.41,0.5005,1.405609205,13.73496981,6,2.29,5.64,4.963,0.3385,unburnt tree sampled in October
Eucalyptus miniata,EM2,NA,October,unburnt,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.534,1855.84,0.4509,0.836798256,14.9785207,6,2.5,4.7,4.213,0.2435,unburnt tree sampled in October
Eucalyptus miniata,EM3,NA,October,unburnt,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.193,2740.49,0.4446,1.218421854,13.29014245,6,2.22,5.53,4.7,0.415,unburnt tree sampled in October
Eucalyptus miniata,EM4,NA,October,unburnt,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.29,2378.98,0.4256,1.012493888,12.13834488,6,2.02,4.58,4.138,0.221,unburnt tree sampled in October
Eucalyptus miniata,EM5,NA,October,unburnt,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.278,2220.08,0.4511,1.001478088,13.25840291,6,2.21,4.75,4.238,0.256,unburnt tree sampled in October
Eucalyptus miniata,EM6,NA,October,unburnt,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.281,2251.9,0.4217,0.94962623,43.47078745,6,7.25,9.63,9.1,0.265,unburnt tree sampled in October
Eucalyptus tetrodonta,ET1,NA,October,unburnt,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.899,2103.6,0.4974,1.04633064,10.41640145,5.25,1.98,5.08,4.55,0.265,unburnt tree sampled in October
Eucalyptus tetrodonta,ET2,NA,October,unburnt,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.86,4075.35,0.4955,2.019335925,8.844491785,5.25,1.68,5.93,4.963,0.4835,unburnt tree sampled in October
Eucalyptus tetrodonta,ET3,NA,October,unburnt,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.786,2651.51,0.5065,1.342989815,10.26515603,5.25,1.96,5.33,4.45,0.44,unburnt tree sampled in October
Eucalyptus tetrodonta,ET4,NA,October,unburnt,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.094,2759.34,0.4432,1.222939488,8.25388345,5.25,1.57,4.85,4.08,0.385,unburnt tree sampled in October
Eucalyptus tetrodonta,ET5,NA,October,unburnt,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.213,1541.97,0.4371,0.673995087,7.734477744,5.25,1.47,3.45,2.6,0.425,unburnt tree sampled in October
Eucalyptus tetrodonta,ET6,NA,October,unburnt,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.103,3065.3,0.4623,1.41708819,9.952097618,5.25,1.9,7.28,6.375,0.4525,unburnt tree sampled in October
